,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS01545,392,450,489,996
CHF17_RS01550,317,330,365,1017
CHF17_RS01555,445,423,376,920
CHF17_RS01560,228,291,238,276
CHF17_RS01565,1364,1217,833,1021
CHF17_RS01570,258,383,326,323
CHF17_RS01575,42,56,56,57
CHF17_RS01580,188,250,235,312
CHF17_RS01585,199,291,214,282
CHF17_RS01590,234,355,286,284
CHF17_RS01595,2342,2708,1560,1558
CHF17_RS01600,66682,62490,40098,39681
CHF17_RS01605,18387,20530,20942,29077
CHF17_RS01610,4419,5546,5551,9869
CHF17_RS01615,3527,4162,4224,8617
CHF17_RS01620,1274,1420,1500,3039
CHF17_RS01625,6812,7925,7856,14975
CHF17_RS01630,4703,4974,3840,5727
CHF17_RS01635,4375,3710,3439,4997
CHF17_RS01640,3515,3222,2777,3579
CHF17_RS01645,51941,34804,30069,32841
CHF17_RS01650,239,266,204,309
CHF17_RS01655,302,331,271,437
CHF17_RS01660,88953,81614,71204,57232
CHF17_RS01665,96088,90863,83982,61040
CHF17_RS01670,12933,13998,13758,14248
CHF17_RS01675,2480,2974,2195,3372
CHF17_RS01680,36,52,37,37
CHF17_RS01685,178,226,170,149
CHF17_RS01690,47,77,63,28
CHF17_RS01695,25,35,39,16
CHF17_RS01700,23,18,18,9
CHF17_RS01705,2017,1355,1053,1352
CHF17_RS01710,11637,11983,9762,9861
CHF17_RS01715,10414,13023,9320,9148
CHF17_RS01720,4144,6681,5146,3977
CHF17_RS01725,13,15,11,11
CHF17_RS01730,23,17,12,17
CHF17_RS01735,610,345,230,355
CHF17_RS01740,2554,1363,1112,1639
CHF17_RS01745,2000,938,809,1288
CHF17_RS01750,22290,17098,13034,18395
CHF17_RS01755,38143,30987,23902,32054
CHF17_RS01760,18379,14722,12114,15978
CHF17_RS01765,29363,20369,16086,22195
CHF17_RS01770,3039,4478,2297,1439
CHF17_RS01775,3,20,10,5
CHF17_RS01780,940,1786,867,878
CHF17_RS01785,5,25,9,6
CHF17_RS01790,34,20,16,12
CHF17_RS01795,103,82,62,43
CHF17_RS01800,216,198,141,107
CHF17_RS01805,221,226,163,117
CHF17_RS01810,230,245,183,135
CHF17_RS01815,140,155,121,82
CHF17_RS01820,140,143,126,78
CHF17_RS01825,155,153,139,93
CHF17_RS01830,152,144,138,96
CHF17_RS01835,199,198,198,147
CHF17_RS01840,317,311,320,229
CHF17_RS01845,353,350,383,278
CHF17_RS01850,1056,855,469,807
CHF17_RS01855,2957,2804,2137,3781
CHF17_RS01860,988,1185,1091,2029
CHF17_RS01865,1081,1227,989,1770
CHF17_RS01870,1487,1387,1278,2362
CHF17_RS01875,2430,1164,742,814
CHF17_RS01880,1520,728,419,398
CHF17_RS01885,5260,3407,2315,3207
CHF17_RS01890,3959,2796,2135,2969
CHF17_RS01895,1710,1306,954,1394
CHF17_RS01900,232,207,147,209
CHF17_RS01905,1114,835,721,841
CHF17_RS01910,1633,1426,1121,1354
CHF17_RS01915,980,804,632,827
CHF17_RS01920,2233,2680,1361,1614
CHF17_RS01925,684,968,340,329
CHF17_RS01930,36653,27571,18530,25641
CHF17_RS01935,9358,5150,5433,12009
CHF17_RS01940,498,271,175,247
CHF17_RS01945,20550,24143,19943,20841
CHF17_RS01950,11536,16173,13675,13955
CHF17_RS01955,29241,47937,41975,38549
CHF17_RS01960,4111,6009,4563,3980
CHF17_RS01965,1233,1456,1490,1090
CHF17_RS01970,176,255,247,359
CHF17_RS01975,283,527,476,548
CHF17_RS01980,267,366,305,306
CHF17_RS01985,904,1124,1056,1176
CHF17_RS01990,1101,1423,1358,1562
CHF17_RS01995,79566,79654,74641,102652
CHF17_RS02000,2767,3111,3153,5628
CHF17_RS02005,16813,16351,14481,23962
CHF17_RS02010,54605,44919,39751,64811
CHF17_RS02015,3901,2932,2920,3911
CHF17_RS02020,6445,5029,4288,5978
CHF17_RS02025,12622,10375,8773,11235
CHF17_RS02030,11395,9484,7330,7770
CHF17_RS02035,4202,3994,3148,3197
CHF17_RS02040,18019,26229,21572,21438
CHF17_RS02045,11069,14627,11555,10877
CHF17_RS02050,34832,23484,18923,21033
CHF17_RS02055,48878,34902,32985,45146
CHF17_RS02060,67306,61756,56189,70469
CHF17_RS02065,83628,75701,70624,88877
CHF17_RS02070,2878,2227,2163,1984
CHF17_RS02075,15647,11715,9872,9788
CHF17_RS02080,13700,14147,12861,16682
CHF17_RS02085,12666,12157,10642,13525
CHF17_RS02090,40572,52553,39956,47525
CHF17_RS02095,36455,32781,28251,41018
CHF17_RS02100,16928,12214,10009,13638
CHF17_RS02105,900,756,612,552
CHF17_RS02110,175,175,138,137
CHF17_RS02115,15159,10633,7264,9087
CHF17_RS02120,34516,21845,17192,17559
CHF17_RS02125,11382,14039,11945,9794
CHF17_RS02130,61320,65415,44936,40718
CHF17_RS02135,20010,11565,8915,12705
CHF17_RS02140,28421,28484,21578,17500
CHF17_RS02145,1072,1130,1150,968
CHF17_RS02150,2316,1541,1328,1726
CHF17_RS02155,1747,1201,941,1544
CHF17_RS02160,9109,6599,4805,7111
CHF17_RS02165,6974,4869,3684,4837
CHF17_RS02170,8099,5961,4401,5661
CHF17_RS02175,33298,21389,17844,21192
CHF17_RS02180,24063,16675,13895,16366
CHF17_RS02185,8647,7440,6773,10079
CHF17_RS02190,2387,2490,2112,4452
CHF17_RS02195,2580,2426,2538,6863
CHF17_RS02200,7824,7792,7030,9287
CHF17_RS02205,56178,58327,46405,51080
CHF17_RS02210,2397,1787,1354,1810
CHF17_RS02215,6802,5364,4470,5611
CHF17_RS02220,2202,1883,1761,1938
CHF17_RS02225,26213,21522,18629,21111
CHF17_RS02230,12877,10508,9870,10091
CHF17_RS02235,2732,2398,2182,2231
CHF17_RS02240,1616,1457,1453,1958
CHF17_RS02245,2174,2496,2442,2990
CHF17_RS02250,18,42,25,19
CHF17_RS02255,18,43,33,14
CHF17_RS02260,435,499,369,383
CHF17_RS02265,576,950,826,999
CHF17_RS02270,343,644,463,523
CHF17_RS02275,706,1239,836,973
CHF17_RS02280,208280,109562,96843,128989
CHF17_RS02285,3910,2856,2372,2694
CHF17_RS02290,156,197,159,133
CHF17_RS02295,22,31,29,22
CHF17_RS02300,27,24,18,10
CHF17_RS02305,9784,8046,4183,6096
CHF17_RS02310,3042,4480,2297,1439
CHF17_RS02315,3,20,10,5
CHF17_RS02320,945,1789,870,879
CHF17_RS02325,5,25,9,6
CHF17_RS02330,4,3,2,3
CHF17_RS02335,8576,5028,3763,4070
CHF17_RS02340,5297,3511,2439,2954
CHF17_RS02345,104413,116072,105516,146849
CHF17_RS02350,45987,48006,40886,60870
CHF17_RS02355,199980,216714,206133,291255
CHF17_RS02360,38642,39857,33992,52569
CHF17_RS02365,34800,28293,34481,99888
CHF17_RS02370,36286,30853,40008,129534
CHF17_RS02375,27938,23908,29687,91616
CHF17_RS02380,48767,42892,50569,146320
CHF17_RS02385,21129,20251,24820,73239
CHF17_RS02390,8255,7600,9933,30670
CHF17_RS02395,34989,41394,47385,122049
CHF17_RS02400,37653,55147,56544,109264
CHF17_RS02405,29498,36578,37660,66707
CHF17_RS02410,6369,5698,4454,5276
CHF17_RS02415,37310,25585,24790,28451
CHF17_RS02420,5548,5351,3776,4226
CHF17_RS02425,10283,7300,5669,7394
CHF17_RS02430,44758,50121,56655,67725
CHF17_RS02435,25883,35841,40510,50193
CHF17_RS02440,39881,43720,48875,58281
CHF17_RS02445,1246,1134,1185,1326
CHF17_RS02450,16056,10395,8108,9499
CHF17_RS02455,5948,4653,3650,4996
CHF17_RS02460,9221,8391,4971,7218
CHF17_RS02465,7419,12157,9153,8192
CHF17_RS02470,3548,2738,2001,2753
CHF17_RS02475,9853,9583,6913,7352
CHF17_RS02480,27367,29613,20606,20316
CHF17_RS02485,6928,4667,3355,3598
CHF17_RS02490,7391,3795,2900,3290
CHF17_RS02495,9542,8969,4543,6132
CHF17_RS02500,1655,1369,1031,1049
CHF17_RS02505,2856,2571,1883,2325
CHF17_RS02510,4053,4634,3298,3403
CHF17_RS02515,16401,16643,13973,15634
CHF17_RS02520,18196,15412,11818,13039
CHF17_RS02525,1458,968,731,555
CHF17_RS02530,3991,4072,2953,4176
CHF17_RS02535,12268,14975,13681,20531
CHF17_RS02540,1868,2382,2180,4658
CHF17_RS02545,1759,2092,1946,5148
CHF17_RS02550,19159,24770,22798,42609
CHF17_RS02555,5320,7607,5813,6321
CHF17_RS02560,4020,2522,1962,2640
CHF17_RS02565,715,748,381,411
CHF17_RS02570,12209,14383,11793,10781
CHF17_RS02575,785,756,667,465
CHF17_RS02580,3273,2405,1495,1300
CHF17_RS02585,9302,8586,6478,7877
CHF17_RS02590,26552,31989,25521,28903
CHF17_RS02595,6417,7648,6200,5817
CHF17_RS02600,23001,20009,15072,17211
CHF17_RS02605,227,305,281,204
CHF17_RS02610,6828,4418,3541,4329
CHF17_RS02615,13906,9690,7553,9073
CHF17_RS02620,10508,7558,5863,7300
CHF17_RS02625,17765,10558,11229,9985
CHF17_RS02630,1716,1027,891,1003
CHF17_RS02635,5379,3803,3472,3786
CHF17_RS02640,9167,9430,6929,10498
CHF17_RS02645,3685,3128,2249,2711
CHF17_RS02650,270,185,101,85
CHF17_RS02655,134403,120486,102115,90806
CHF17_RS02660,2622,2909,1442,2057
CHF17_RS02665,2504,2278,1562,1966
CHF17_RS02670,4721,15206,9736,6552
CHF17_RS02675,16030,16277,13740,20346
CHF17_RS02680,8734,10328,9423,14817
CHF17_RS02685,3268,2271,1806,2370
CHF17_RS02690,26124,19426,15501,16879
CHF17_RS02695,37328,27806,20150,21945
CHF17_RS02700,3039,4478,2297,1439
CHF17_RS02705,3,20,10,5
CHF17_RS02710,936,1777,859,873
CHF17_RS02715,5,25,9,6
CHF17_RS02720,42,34,27,19
CHF17_RS02725,107,89,85,63
CHF17_RS02730,169,166,158,117
CHF17_RS02735,277,289,276,181
CHF17_RS02740,187,210,201,130
CHF17_RS02745,161,164,153,88
CHF17_RS02750,95,98,73,56
CHF17_RS02755,12562,9329,7782,7753
CHF17_RS02760,5066,2942,2176,2438
CHF17_RS02765,5221,4142,3470,3866
CHF17_RS02770,1631,949,812,1125
CHF17_RS02775,4475,2182,1778,2633
CHF17_RS02780,2063,4121,2742,5022
CHF17_RS02785,9295,4775,3907,5275
CHF17_RS02790,1592,2137,1779,2061
CHF17_RS02795,411,629,547,529
CHF17_RS02800,2246,4355,3666,4101
CHF17_RS02805,4012,7418,6804,7100
CHF17_RS02810,1231,1530,1446,1353
CHF17_RS02815,1298,1301,1213,1225
CHF17_RS02820,415,577,482,475
CHF17_RS02825,287,449,330,300
CHF17_RS02830,324,517,453,392
CHF17_RS02835,431,719,570,452
CHF17_RS02840,351,471,401,456
CHF17_RS02845,1008,1110,932,1310
CHF17_RS02850,637,721,662,719
CHF17_RS02855,6103,4908,3593,3852
CHF17_RS02860,1064,759,552,495
CHF17_RS02865,11166,7275,5541,6690
CHF17_RS02870,217049,349147,367053,486017
CHF17_RS02875,18,44,39,27
CHF17_RS02880,975,742,582,846
CHF17_RS02885,2185,1632,1286,1809
CHF17_RS02890,5048,3744,2580,2819
CHF17_RS02895,68,129,63,46
CHF17_RS02900,1286,1281,705,852
CHF17_RS02905,608,679,506,507
CHF17_RS02910,24781,25013,18045,17263
CHF17_RS02915,630,319,231,246
CHF17_RS02920,5183,2955,2701,3769
CHF17_RS02925,3591,2709,3240,4295
CHF17_RS02930,3294,3948,4354,6875
CHF17_RS02935,11848,14298,15529,21577
CHF17_RS02940,10892,8041,5866,7255
CHF17_RS02945,37,44,32,25
CHF17_RS02950,461,319,287,409
CHF17_RS02955,2968,2530,2091,3406
CHF17_RS02960,6576,4504,3441,4435
CHF17_RS02965,2257,1648,1300,1590
