GeneID,WT_mapped_reads.11975585.,stk_mapped_reads.16477864.
SSU05_1985,6122,11701
SSU05_0969,99,81
SSU05_1417,317,848
SSU05_1394,578,1355
SSU05_0884,484,612
SSU05_1030,56,282
SSU05_1621,12596,14709
SSU05_1882,3377,1744
SSU05_1190,13328,19956
SSU05_0502,23,21
SSU05_0824,12769,17487
SSU05_0057,5,17
SSU05_0389,322,78
SSU05_0861,521,1367
SSU05_0747,5428,4171
SSU05_0823,10010,16988
SSU05_0671,1892,5989
SSU05_0613,13366,19623
SSU05_0135,17993,32379
SSU05_1149,52,54
SSU05_1113,2010,5050
SSU05_0839,2074,3412
SSU05_0576,343,1789
SSU05_2022,469,697
SSU05_1774,854,2175
SSU05_2083,3148,8481
SSU05_0549,48399,24727
SSU05_0354,2721,4099
SSU05_1802,64469,145401
SSU05_1220,233,383
SSU05_0636,363,212
SSU05_0309,1815,945
SSU05_1875,9468,11743
SSU05_1537,1324,2983
SSU05_1947,1216,521
SSU05_1435,256,384
SSU05_0799,1106,655
SSU05_1874,9688,10675
SSU05_1630,5564,3454
SSU05_1305,2567,5400
SSU05_2042,1520,2201
SSU05_1706,2842,4536
SSU05_1666,37350,58755
SSU05_0273,487,487
SSU05_1586,172,474
SSU05_1954,16807,23390
SSU05_1206,781,2918
SSU05_0047,20,18
SSU05_0261,221,170
SSU05_0753,213683,220634
SSU05_1577,1827,2894
SSU05_2105,121,228
SSU05_0851,3525,3986
SSU05_0328,18354,25289
SSU05_1636,3635,6600
SSU05_0149,15135,16467
SSU05_1047,565,2667
SSU05_0115,199,240
SSU05_1487,374,565
SSU05_0778,1778,2291
SSU05_0707,108,183
SSU05_0547,1138,5648
SSU05_0217,357,781
SSU05_1534,1730,2386
SSU05_0717,887,760
SSU05_0247,828,1063
SSU05_1817,621,658
SSU05_1463,599,621
SSU05_1856,4484,5438
SSU05_1086,7691,8918
SSU05_1549,826,1133
SSU05_0643,561,944
SSU05_1252,3741,5783
SSU05_0313,492,1582
SSU05_0238,537,1696
SSU05_1557,418,427
SSU05_0622,3177,5955
SSU05_0593,-,1
SSU05_1718,6340,11455
SSU05_1626,182,368
SSU05_1850,1595,1344
SSU05_0349,13699,31675
SSU05_0037,462,1658
SSU05_0404,17286,58004
SSU05_1334,1048,1852
SSU05_1515,24,43
SSU05_1053,584,658
SSU05_1096,76,575
SSU05_1312,2645,4820
SSU05_0408,22,28
SSU05_1329,2930,7497
SSU05_1807,53052,133008
SSU05_1186,391,453
SSU05_0155,343891,369565
SSU05_1934,90805,109758
SSU05_0157,68958,37989
SSU05_1966,20890,13355
SSU05_1640,7133,11187
SSU05_1835,16,28
SSU05_1553,8179,11596
SSU05_1166,20,36
SSU05_0478,5095,13541
SSU05_0665,2349,969
SSU05_1219,94,120
SSU05_1257,1021,809
SSU05_0223,2398,3427
SSU05_1089,7291,5676
SSU05_2056,4102,5815
SSU05_1887,1779,1180
SSU05_0686,26335,18790
SSU05_1659,1067,1019
SSU05_0287,2082,3300
SSU05_0109,1564,1069
SSU05_1379,1589,6067
SSU05_0668,542,322
SSU05_1202,2764,764
SSU05_1015,6337,7927
SSU05_0492,13100,22760
SSU05_1763,460,219
SSU05_0566,27203,42238
SSU05_1711,4140,6939
SSU05_1617,3491,4603
SSU05_1693,8702,19208
SSU05_1810,1693,6418
SSU05_0993,367,5908
SSU05_0599,1892,2591
SSU05_0527,13547,17503
SSU05_0101,11,8
SSU05_1516,3,4
SSU05_0777,2625,3534
SSU05_1645,12,24
SSU05_1332,11698,16138
SSU05_1048,154,536
SSU05_0858,1408,3107
SSU05_0918,9,11
SSU05_1484,518,254
SSU05_1104,3179,11728
SSU05_1650,1842,1477
SSU05_1454,9769,15259
SSU05_0696,1639,6070
SSU05_1814,42736,33408
SSU05_0927,2,19
SSU05_1194,921,1915
SSU05_1996,617,1689
SSU05_1425,152,505
SSU05_1494,234,804
SSU05_1037,362,677
SSU05_1950,600,712
SSU05_0578,7572,16715
SSU05_1442,25,37
SSU05_1959,4624,12428
SSU05_0794,1003,2402
SSU05_1162,375,806
SSU05_0066,9902,23362
SSU05_1750,439,582
SSU05_1742,11175,16293
SSU05_0051,2602,4943
SSU05_1825,3651,4972
SSU05_1185,568,884
SSU05_1625,1251,2190
SSU05_1522,7,3
SSU05_1768,964,1496
SSU05_0558,4779,8810
SSU05_2131,1259,1413
SSU05_0811,506,287
SSU05_1580,4276,11830
SSU05_1229,534,2307
SSU05_0323,57,49
SSU05_1738,1259,2465
SSU05_0447,4428,7992
SSU05_1449,1552,2619
SSU05_1729,6200,9782
SSU05_1942,166,311
SSU05_1027,11029,6325
SSU05_1992,2165,2552
SSU05_0939,4,7
SSU05_1721,7925,12152
SSU05_0418,2307,8725
SSU05_0629,2789,8045
SSU05_0425,5861,8452
SSU05_1700,1623,2648
SSU05_0552,14478,9686
SSU05_1242,3995,11645
SSU05_1981,1470,4081
SSU05_2174,3159,2447
SSU05_0372,2009,2292
SSU05_2058,45,13
SSU05_0462,2041,3541
SSU05_0310,3279,8209
SSU05_0435,75861,131810
SSU05_0571,14429,43656
SSU05_0424,5414,7539
