GeneID,WT_mapped_reads.11975585.,stk_mapped_reads.16477864.
SSU05_0573,5844,19585
SSU05_0042,21,26
SSU05_1530,62,337
SSU05_1405,2746,14989
SSU05_1245,18368,19634
SSU05_1930,392,579
SSU05_1894,7998,10590
SSU05_1433,5976,3403
SSU05_0976,6,4
SSU05_0213,182,148
SSU05_2054,37179,40009
SSU05_1880,1301,1988
SSU05_0651,11863,20700
SSU05_0832,2634,2530
SSU05_1118,59,118
SSU05_1615,987,2722
SSU05_0709,16,2
SSU05_0821,337,764
SSU05_2004,717,1902
SSU05_1593,2877,5973
SSU05_0542,8617,16970
SSU05_1111,1209,1214
SSU05_1071,120,214
SSU05_1510,20358,19358
SSU05_0352,26178,22613
SSU05_0096,5537,6276
SSU05_0638,7192,9009
SSU05_0006,7406,13008
SSU05_0853,2575,3680
SSU05_0504,405,617
SSU05_0035,2581,1373
SSU05_0071,31393,48419
SSU05_0849,4734,6880
SSU05_0326,270,588
SSU05_1016,3457,4095
SSU05_1415,233,699
SSU05_1918,79,72
SSU05_1289,7,11
SSU05_0624,171864,165182
SSU05_2037,7812,7749
SSU05_1518,11,4
SSU05_0236,3709,3979
SSU05_1837,4044,11077
SSU05_0673,7292,8256
SSU05_0771,210,165
SSU05_0574,8490,20021
SSU05_1575,229,601
SSU05_1969,2969,6078
SSU05_1712,1,3
SSU05_0926,142,401
SSU05_2036,7083,6438
SSU05_1840,13330,30976
SSU05_0221,273,367
SSU05_1509,18189,18382
SSU05_1776,4223,795
SSU05_0684,1511,2992
SSU05_1618,1298,2347
SSU05_0620,2753,5513
SSU05_2179,1437,1507
SSU05_0745,3971,11100
SSU05_0432,1733,977
SSU05_1570,108,320
SSU05_1628,469,655
SSU05_1138,906,2396
SSU05_0978,15,20
SSU05_1974,254,170
SSU05_1532,1695,5812
SSU05_0180,1656,2183
SSU05_0054,1074,2527
SSU05_0863,44,251
SSU05_2089,1075,1659
SSU05_2193,585,1071
SSU05_0203,68,62
SSU05_1418,7551,3928
SSU05_1889,547,416
SSU05_0710,12,17
SSU05_1327,3538,6204
SSU05_2081,18064,17489
SSU05_0597,349,645
SSU05_1342,643,791
SSU05_2049,37,41
SSU05_1440,98,147
SSU05_1800,15107,37021
SSU05_1314,1319,2039
SSU05_2103,3779,1025
SSU05_0875,357,1277
SSU05_0690,6714,3752
SSU05_0285,2508,3651
SSU05_1336,5,3
SSU05_1647,66821,80885
SSU05_0245,597,781
SSU05_1369,6953,17243
SSU05_1060,2075,2426
SSU05_0242,156,180
SSU05_1819,198,447
SSU05_0045,72,33
SSU05_0488,1271,1888
SSU05_1340,196,528
SSU05_1217,192,217
SSU05_0465,1455,3714
SSU05_1632,2058,2553
SSU05_1444,4850,7585
SSU05_0498,11,30
SSU05_0723,71,33
SSU05_1555,134,401
SSU05_1106,1053,5632
SSU05_0586,115,288
SSU05_0729,5842,5512
SSU05_0645,311,630
SSU05_1254,140,65
SSU05_1208,480,1318
SSU05_1535,208,137
SSU05_1833,28942,32503
SSU05_0406,12520,32893
SSU05_0770,6395,4430
SSU05_0469,947,3790
SSU05_1013,5456,6238
SSU05_2137,1823,2354
SSU05_1520,18,8
SSU05_1188,3403,4823
SSU05_0107,37,47
SSU05_0755,7745,12138
SSU05_1041,40,41
SSU05_1765,4948,3173
SSU05_0735,31,57
SSU05_0830,8165,7738
SSU05_0359,6367,3726
SSU05_1492,5431,10440
SSU05_0402,7346,8111
SSU05_1691,828,2223
SSU05_0110,2249,1707
SSU05_0350,8837,7838
SSU05_1259,5163,11269
SSU05_1299,4884,6093
SSU05_1215,193,181
SSU05_1164,38,43
SSU05_0781,24563,28764
SSU05_0663,636,1374
SSU05_2009,1431,3310
SSU05_0540,8827,8762
SSU05_1474,1879,3658
SSU05_0093,44755,50895
SSU05_1359,763,1558
SSU05_1039,93,128
SSU05_1192,21,12
SSU05_0074,67647,54066
SSU05_1922,322,244
SSU05_0998,2074,3742
SSU05_1384,36,28
SSU05_0768,96,620
SSU05_0740,85,301
SSU05_0361,4147,6816
SSU05_1990,8119,9945
SSU05_1542,703,1566
SSU05_2127,245,279
SSU05_0060,3625,6535
SSU05_1210,4313,14250
SSU05_1604,2354,3598
SSU05_2151,6,36
SSU05_1732,2033,3085
SSU05_1396,1769,2661
SSU05_0040,3,6
SSU05_1022,13600,29464
SSU05_1456,3127,3826
SSU05_1688,497,751
SSU05_1656,6089,11852
SSU05_0013,1363,2995
SSU05_1260,1526,2133
SSU05_1926,3015,4740
SSU05_1355,186,1177
SSU05_1983,183,224
SSU05_1200,144572,96682
SSU05_1796,50328,83902
SSU05_0433,8182,8044
SSU05_1809,18664,91971
SSU05_1074,9015,9790
SSU05_1906,45,65
SSU05_1755,2741,1763
SSU05_1102,6272,14866
SSU05_0722,56,24
SSU05_1294,11170,18076
SSU05_2172,1888,1870
SSU05_0393,251,89
SSU05_0148,11559,13615
SSU05_1812,4990,3599
SSU05_0522,2522,4525
SSU05_1940,1866,2900
SSU05_0422,2097,3492
SSU05_0812,2854,1553
SSU05_1703,1720,2561
SSU05_2189,19,41
SSU05_0960,109,599
SSU05_1780,40969,14592
SSU05_1999,935,2114
SSU05_0689,2597,13050
SSU05_2061,7,6
SSU05_1665,17564,14563
SSU05_1846,37522,30243
SSU05_0374,5007,5242
SSU05_0025,338,483
SSU05_2001,6126,7535
SSU05_0886,246,172
SSU05_2070,266,135
SSU05_0081,18250,12788
SSU05_0262,2892,1822
SSU05_1857,1129,1204
SSU05_1227,315,1146
SSU05_0658,7051,9636
SSU05_1237,1987,2511
SSU05_0876,7539,11485
SSU05_1156,453,368
SSU05_1514,73,124
SSU05_0943,115,491
SSU05_0382,1375,2587
SSU05_0168,516,1809
SSU05_1170,6357,11801
SSU05_2018,14,19
SSU05_0893,149,723
SSU05_0314,960,1618
SSU05_0989,696,2102
SSU05_1321,2496,5269
SSU05_0803,2641,3427
SSU05_0931,50,31
SSU05_1708,4499,9393
SSU05_1505,1641,6313
SSU05_1478,2095,3569
SSU05_2165,9,8
SSU05_1370,6694,9522
SSU05_1683,622,1905
SSU05_1679,3380,6414
SSU05_0293,5800,9363
SSU05_1624,2541,4507
SSU05_0493,417,256
SSU05_2147,515,668
SSU05_1010,307,5079
SSU05_0476,6563,12371
SSU05_0332,427,507
SSU05_2119,237,699
SSU05_1826,125,149
SSU05_0187,398,1006
SSU05_0426,9727,16237
SSU05_0481,29975,37937
SSU05_1409,6637,3279
SSU05_0208,1633,2796
SSU05_0200,84042,53057
SSU05_2075,52,92
SSU05_0451,269,308
SSU05_0419,6402,15920
SSU05_1268,19942,15023
SSU05_1307,5040,7756
SSU05_1731,4326,13270
SSU05_0905,107,258
SSU05_0699,83,203
SSU05_1868,47053,33003
SSU05_0138,5219,6354
SSU05_1278,3870,9625
SSU05_1309,3812,7217
SSU05_0618,3695,4301
SSU05_0551,8294,3228
SSU05_0193,3433,10057
SSU05_0702,394,1206
SSU05_2192,7935,15342
SSU05_0818,108,305
SSU05_1828,13483,18940
SSU05_1065,3409,8026
SSU05_1153,882,394
SSU05_0698,857,3287
SSU05_0828,5232,5492
SSU05_0395,2090,6412
SSU05_1365,13912,6103
SSU05_1987,4640,4540
SSU05_1892,10575,14055
SSU05_0980,1,2
SSU05_1140,29374,47591
SSU05_1131,263,279
SSU05_0444,2386,11013
SSU05_0568,9589,21036
SSU05_1862,2829,2873
SSU05_1587,1251,2190
SSU05_0281,9095,6664
SSU05_1943,3750,5383
SSU05_1284,1669,4183
SSU05_1949,1105,680
SSU05_1912,128,257
SSU05_0879,208,455
SSU05_1958,7860,20423
SSU05_0256,1194,1182
SSU05_1582,1565,2303
SSU05_1550,595,418
SSU05_0916,144,1408
SSU05_2176,1873,2218
SSU05_0366,5290,4034
SSU05_2120,7993,14506
SSU05_1462,26352,18875
SSU05_0890,374,1376
SSU05_1222,99,46
SSU05_1250,2708,4728
SSU05_0399,2,3
SSU05_0031,206,119
SSU05_1642,2028,2476
SSU05_1634,4271,4846
SSU05_0621,4777,7394
SSU05_0648,309,1450
SSU05_0706,772,2152
SSU05_0269,8038,10154
SSU05_2182,822,1511
SSU05_2079,139,117
SSU05_0271,163,379
SSU05_1290,3265,5512
SSU05_1196,19,35
SSU05_2162,5568,4143
SSU05_1091,1535,5211
SSU05_1271,5675,13033
SSU05_0808,5912,4960
SSU05_0219,534,960
SSU05_0075,14690,15411
SSU05_0807,2911,2623
SSU05_0303,960,1997
SSU05_0278,3861,6129
SSU05_1885,9383,15881
SSU05_1303,2284,2580
SSU05_1759,6448,5609
SSU05_0776,2998,3971
SSU05_1339,61,125
SSU05_1562,2245,7472
SSU05_0041,45,26
SSU05_0854,2420,3525
SSU05_1674,330,864
SSU05_2068,19745,16943
SSU05_1502,6,9
SSU05_2180,1415,1402
SSU05_0378,363,736
SSU05_0634,5584,3365
SSU05_0224,8969,12153
SSU05_1670,1100,1929
SSU05_0159,3858,9517
SSU05_1761,1521,1658
SSU05_0845,68,36
SSU05_1114,1787,2489
SSU05_0170,247,378
SSU05_0184,47,73
SSU05_0133,7138,16704
SSU05_0841,17503,21893
SSU05_0038,453,1876
SSU05_0113,1711,2659
SSU05_1255,219,115
SSU05_2187,8295,13319
SSU05_1695,968,2378
SSU05_0822,12165,25032
SSU05_0789,542,10663
SSU05_0175,156,454
SSU05_0529,114,271
SSU05_0837,9092,14410
SSU05_1662,184,621
SSU05_1150,20697,15921
SSU05_0581,18261,40131
SSU05_0857,2427,6027
SSU05_0738,24,80
SSU05_1025,1939,3903
SSU05_1547,3311,2626
SSU05_1921,257,318
SSU05_2085,10561,23139
SSU05_0715,47,162
SSU05_1346,5009,7731
SSU05_1055,83,58
SSU05_0534,1496,2224
SSU05_1722,5554,6286
SSU05_0730,38885,31241
SSU05_1716,776,988
SSU05_0294,2901,9015
SSU05_1078,432,1415
SSU05_2158,5110,3930
SSU05_1902,2533,3870
SSU05_2027,7570,7274
SSU05_0355,13739,13321
SSU05_0122,80118,60693
SSU05_2106,1818,2117
SSU05_0677,472,1312
SSU05_1046,32,51
SSU05_1970,5776,10878
SSU05_1964,1846,1948
SSU05_1083,36366,47232
SSU05_1436,3604,6700
SSU05_1497,2282,3322
SSU05_0008,4097,3263
SSU05_1669,789,2320
SSU05_0339,6157,3559
SSU05_0312,1012,2979
SSU05_0944,380,1141
SSU05_0340,16626,11951
SSU05_2166,356,752
SSU05_1590,203,526
SSU05_2099,1258,406
SSU05_1438,1184,3098
SSU05_0508,383,1128
SSU05_1932,1065,1327
SSU05_1171,18082,16606
SSU05_0249,6079,7324
SSU05_0991,118,508
SSU05_2090,815,1676
SSU05_1377,5636,12502
SSU05_0438,273,1179
SSU05_1699,3540,5377
SSU05_0971,25,24
SSU05_1330,719,1770
SSU05_0562,1334,4155
SSU05_2115,327,254
SSU05_0494,375,260
SSU05_1098,-,4
SSU05_0153,14751,9938
SSU05_0445,3351,4563
SSU05_1998,9772,13248
SSU05_1652,1086,1634
SSU05_0750,42,44
SSU05_1181,70,199
SSU05_0152,91547,75740
SSU05_1238,18606,39958
SSU05_2016,129,71
SSU05_1524,8,5
SSU05_1735,3181,3883
SSU05_0103,15,15
SSU05_0450,209,204
SSU05_0792,3758,90906
SSU05_1447,1502,1938
SSU05_1354,9192,19837
SSU05_1315,3366,5665
SSU05_1459,747,920
SSU05_0550,2753,1576
SSU05_0902,1623,1618
SSU05_1816,3845,5976
SSU05_0233,1731,2323
SSU05_2046,1892,1097
SSU05_0628,5150,12064
SSU05_0028,1940,856
SSU05_1128,10743,27404
SSU05_1936,5,55
SSU05_1420,225,440
SSU05_1124,4410,8475
SSU05_1414,1364,1862
SSU05_0937,510,848
SSU05_1226,1014,2439
SSU05_0956,376,582
SSU05_1466,2630,9351
SSU05_0010,1287,2357
SSU05_2118,4119,3092
SSU05_1363,6076,6493
SSU05_1610,14757,35235
SSU05_0228,4601,6580
SSU05_0097,17581,16115
SSU05_0347,902,2853
SSU05_1690,11468,33315
SSU05_1994,2925,4068
SSU05_0058,4405,8799
SSU05_1727,2465,3506
SSU05_1559,876,1715
SSU05_1183,965,2677
SSU05_0455,924,1629
SSU05_1029,33825,6437
SSU05_1749,572,629
SSU05_1273,6626,14281
SSU05_0693,9557,15566
SSU05_1351,159,517
SSU05_0681,19,28
SSU05_1766,1125,843
SSU05_1159,423,355
SSU05_1423,202,785
SSU05_0556,4292,8847
SSU05_0049,7,3
SSU05_0205,127,189
SSU05_1799,98304,234486
SSU05_1387,4943,8687
SSU05_0569,15472,41794
SSU05_1310,1055,2716
SSU05_0416,283,901
SSU05_2019,130,236
SSU05_0509,2787,8590
SSU05_1374,8449,16442
SSU05_0545,12201,18147
SSU05_0318,484,806
SSU05_0288,1594,2480
SSU05_1685,1403,2123
SSU05_2025,476,374
SSU05_0473,14350,24338
SSU05_1056,2075,3489
SSU05_1143,11067,15135
SSU05_2031,14977,24437
SSU05_0164,1123,1939
SSU05_1565,200,244
SSU05_0764,15467,22654
SSU05_1567,547,945
SSU05_1573,345,511
SSU05_1008,106,1469
SSU05_1429,6594,13379
SSU05_1380,7002,16832
SSU05_1866,8674,7172
SSU05_1597,1504,5363
SSU05_0843,343,569
SSU05_0670,903,696
SSU05_1898,21491,24966
SSU05_0996,2509,5099
SSU05_2094,7943,12605
SSU05_0882,2859,3187
SSU05_2169,229,248
SSU05_1410,5669,8105
SSU05_1264,3755,7434
SSU05_1744,3476,4651
SSU05_0064,9475,14721
SSU05_0514,2244,2948
SSU05_0307,42,47
SSU05_0867,111,244
SSU05_0085,38755,31271
SSU05_1004,1277,4872
SSU05_1771,1695,6536
SSU05_0641,7626,13502
SSU05_2178,2942,3257
SSU05_1736,2284,4216
SSU05_0076,39020,43892
SSU05_1452,2034,5441
SSU05_1169,355,922
SSU05_1392,339,299
SSU05_0480,14156,20565
SSU05_2134,5134,3111
SSU05_1397,12054,17045
SSU05_0826,1011,1775
SSU05_1135,542,516
SSU05_0965,371,436
SSU05_1804,29062,66770
SSU05_1406,5207,19686
SSU05_1017,407,193
SSU05_0320,142,85
SSU05_0460,11,329
SSU05_1977,1250,2696
SSU05_0411,3337,6136
SSU05_1317,1140,1412
SSU05_1823,8143,11453
SSU05_1176,7235,15627
SSU05_0752,139,128
SSU05_2040,5280,5353
SSU05_0936,850,1421
SSU05_1281,3061,8240
SSU05_0975,23,5
SSU05_1811,3277,4341
SSU05_0188,29,43
SSU05_0790,906,18185
SSU05_0401,77,102
SSU05_0929,6,3
SSU05_0897,856,2416
SSU05_0734,33,55
SSU05_2048,20,44
SSU05_2171,1392,1792
SSU05_1322,273,510
SSU05_2104,2063,1120
SSU05_0466,2387,5059
SSU05_1341,318,483
SSU05_0385,339,434
SSU05_0443,327,1291
SSU05_1101,5850,14381
SSU05_1782,6166,4037
SSU05_1808,13709,29166
SSU05_1612,1693,2728
SSU05_0736,68,361
SSU05_2059,32,11
SSU05_1657,1833,3733
SSU05_1105,1252,4697
SSU05_0598,2555,3135
SSU05_0559,4069,6603
SSU05_0894,133,806
SSU05_0724,29,11
SSU05_0666,1470,715
SSU05_1328,6645,12148
SSU05_0592,-,4
SSU05_1489,2462,734
SSU05_0125,159,353
SSU05_1606,12083,18144
SSU05_1061,208,1151
SSU05_0685,121,286
SSU05_0241,56,59
SSU05_1867,16866,16936
SSU05_1163,79,108
SSU05_0405,1142,2832
SSU05_1007,577,7107
SSU05_1919,202,251
SSU05_0953,125,236
SSU05_1583,1739,2959
SSU05_2191,173,424
SSU05_0497,1863,4939
SSU05_1191,1254,1202
SSU05_0272,49184,19510
SSU05_0108,110,644
SSU05_1049,48,121
SSU05_1335,6569,9453
SSU05_1427,831,1529
SSU05_1832,2280,1555
SSU05_1556,393,1121
SSU05_1212,72,68
SSU05_0528,55,148
SSU05_1490,4503,1093
SSU05_1491,856,153
SSU05_2163,7475,7985
SSU05_0325,187,678
SSU05_0711,27,15
SSU05_0797,2786,3395
SSU05_1080,8914,10798
SSU05_1594,1990,4028
SSU05_0981,32,61
SSU05_0762,2430,4206
SSU05_0351,2284,2245
SSU05_1893,1241,2175
SSU05_1595,1968,4848
SSU05_0179,9495,12888
SSU05_1563,366,565
SSU05_1483,130,93
SSU05_1038,28,44
SSU05_0833,1088,5858
SSU05_0275,10,14
SSU05_0977,8,20
SSU05_0007,436,531
SSU05_1240,180,494
SSU05_2005,62,40
SSU05_0650,3121,9692
SSU05_0543,31202,47333
SSU05_0604,731,989
SSU05_1536,272,620
SSU05_2136,858,1363
SSU05_0575,5697,12385
SSU05_0949,43,144
SSU05_0963,36,32
SSU05_2154,3577,898
SSU05_0503,255,858
SSU05_0848,7633,11751
SSU05_1120,2,14
SSU05_0306,2818,2378
SSU05_0345,394,904
SSU05_0852,13527,14128
SSU05_0906,509,2892
SSU05_0639,3995,7098
SSU05_1877,9702,17317
SSU05_1925,3647,4077
SSU05_1112,1586,4974
SSU05_1261,6881,11655
SSU05_0150,35534,40018
SSU05_0985,5515,32136
SSU05_1754,3901,4450
SSU05_0979,86,85
SSU05_1077,91,215
SSU05_0222,1991,2713
SSU05_0623,4154,3073
SSU05_1199,6881,30566
SSU05_1286,3322,6603
SSU05_1531,17250,38894
SSU05_2186,414,543
SSU05_1028,10415,-
SSU05_0862,217,1108
SSU05_1971,3254,3196
SSU05_0607,1006,1601
SSU05_0657,2411,7047
SSU05_0140,1038,1236
SSU05_1792,369,929
SSU05_0421,13057,8032
SSU05_1095,1098,5187
SSU05_0181,968,1220
SSU05_1787,2064,3263
SSU05_1933,170,386
SSU05_0358,1287,12579
SSU05_1051,2378,1726
SSU05_0539,9751,10487
SSU05_0831,374,302
SSU05_1178,2181,3505
SSU05_0116,3693,3584
SSU05_0900,4507,8405
SSU05_1137,701,1998
SSU05_1627,7820,9167
SSU05_1054,3258,2938
SSU05_0840,111,671
SSU05_0932,13,4
SSU05_0496,1049,564
SSU05_0348,7172,8886
SSU05_0877,532,692
SSU05_0479,3603,5056
SSU05_1793,951,2726
SSU05_0174,763,1811
SSU05_1513,34,91
SSU05_0022,5497,8140
SSU05_1155,489,530
SSU05_0829,3273,3603
SSU05_0869,49,200
SSU05_1443,891,964
SSU05_1031,731,6909
SSU05_2148,307,1082
SSU05_0420,3328,9322
SSU05_0988,12,27
SSU05_1366,11796,8417
SSU05_1855,2141,4469
SSU05_0162,1230,1143
SSU05_1709,21165,38570
SSU05_1272,1997,4912
SSU05_1552,16,52
SSU05_0454,678,1482
SSU05_1719,262,612
SSU05_1469,2466,4753
SSU05_1085,10348,13539
SSU05_1506,1382,4496
SSU05_1623,2111,4499
SSU05_0484,6150,8546
SSU05_1064,-,3
SSU05_0838,153,244
SSU05_0390,396,49
SSU05_1477,524,556
SSU05_0933,4,6
SSU05_1529,1578,3276
SSU05_1311,2719,7681
SSU05_0229,2549,2930
SSU05_1598,1669,1398
SSU05_1011,355,5735
SSU05_0813,1243,3223
SSU05_1160,298,304
SSU05_0475,2254,3630
SSU05_0459,17069,12474
SSU05_0819,997,2935
SSU05_1201,23329,18499
SSU05_0068,10326,17424
SSU05_1644,340,924
SSU05_1872,196,340
SSU05_0209,32,64
SSU05_1139,249,485
SSU05_1277,3302,8182
SSU05_0167,3703,4645
SSU05_1205,3906,3030
SSU05_1187,8871,11801
SSU05_1014,10287,12135
SSU05_0194,412,495
SSU05_1308,2786,5307
SSU05_0782,12200,9775
SSU05_1988,4968,3667
SSU05_1829,472,328
SSU05_0920,62,455
SSU05_2053,384,741
SSU05_1658,2,3
SSU05_0765,3400,7127
SSU05_0100,131,136
SSU05_1141,9833,22684
SSU05_0915,318,786
SSU05_1154,661,526
SSU05_1843,1179,2304
SSU05_2076,675,1012
SSU05_1762,97,204
SSU05_1507,280,300
SSU05_0255,888,1434
SSU05_0756,6556,20898
SSU05_1134,766,957
SSU05_0612,7045,12492
SSU05_0336,20684,19932
SSU05_1891,593,433
SSU05_1909,2047,7295
SSU05_2000,727,2347
SSU05_0375,2523,3788
SSU05_0024,7837,12272
SSU05_1119,17,24
SSU05_1605,6442,11621
SSU05_1211,209,298
SSU05_0810,261,261
SSU05_1148,460,3192
SSU05_2128,2696,4946
SSU05_1664,2188,1868
SSU05_1402,145,283
SSU05_0769,11578,9537
SSU05_0793,589,1691
SSU05_1473,2371,3529
SSU05_1541,3471,4998
SSU05_0362,832,924
SSU05_2124,758,832
SSU05_1616,726,1029
SSU05_1434,1632,4238
SSU05_0012,3075,4615
SSU05_1455,1786,4011
SSU05_2098,1521,1973
SSU05_1040,138,167
SSU05_1221,138,189
SSU05_0212,125,153
SSU05_0517,5280,3042
SSU05_1348,6299,7358
SSU05_1739,11404,17031
SSU05_1356,336,1531
SSU05_1820,406,254
SSU05_1858,10075,12069
SSU05_1386,906,298
SSU05_1689,5282,4270
SSU05_1941,1056,1905
SSU05_2024,740,462
SSU05_0230,1911,1481
SSU05_2064,1337,1039
SSU05_1702,2067,2850
SSU05_2188,2755,5135
SSU05_0718,4828,4227
SSU05_0487,11525,12368
SSU05_1249,3446,5524
SSU05_2088,279,686
SSU05_1818,452,935
SSU05_1383,5052,8692
SSU05_0094,15805,14633
SSU05_2100,1614,650
SSU05_0121,53225,44367
SSU05_1382,729,632
SSU05_0678,140,110
SSU05_1024,2347,6423
SSU05_1694,2752,7883
SSU05_0802,4872,5276
SSU05_1915,71,33
SSU05_2032,3737,9354
SSU05_1236,29577,28948
SSU05_2071,255,314
SSU05_0720,102,237
SSU05_0555,1775,12781
SSU05_2084,5951,15250
SSU05_0570,14492,29400
SSU05_1965,2653,2474
SSU05_1109,348,381
SSU05_1218,149,150
SSU05_1611,611,1028
SSU05_0749,2763,4658
SSU05_1686,1867,2944
SSU05_0714,276,353
SSU05_1345,124,236
SSU05_1888,7291,5570
SSU05_0436,639,1616
SSU05_1760,4486,4098
SSU05_1671,56,71
SSU05_0945,7,79
SSU05_1897,7639,5931
SSU05_1485,41,32
SSU05_1758,321,780
SSU05_1084,3639,5749
SSU05_1045,124,225
SSU05_2060,39,10
SSU05_0992,663,2316
SSU05_1698,22,85
SSU05_1978,2979,4981
SSU05_1437,3028,5685
SSU05_1269,6756,9997
SSU05_2116,1500,1131
SSU05_1439,790,1484
SSU05_1401,162,362
SSU05_0512,1382,2677
SSU05_1730,1415,2135
SSU05_2157,871,1186
SSU05_1836,1792,4017
SSU05_2107,604,762
SSU05_0669,493,262
SSU05_0388,160,122
SSU05_0154,5,13
SSU05_1579,2010,4852
SSU05_1174,37516,54622
SSU05_0582,9232,17348
SSU05_1913,326,554
SSU05_0739,55,269
SSU05_2013,8573,8251
SSU05_1325,2470,3195
SSU05_0144,1123,2170
SSU05_0922,1894,10489
SSU05_0972,7,1
SSU05_0827,6143,7542
SSU05_2067,33996,20473
SSU05_1498,1030,2297
SSU05_0009,536,914
SSU05_1115,54,40
SSU05_1924,10020,11689
SSU05_0727,121,215
SSU05_2033,8463,12678
SSU05_0333,7,3
SSU05_1803,36378,83890
SSU05_0649,2707,6909
SSU05_1581,3521,3698
SSU05_1285,5417,13055
SSU05_0367,6555,5980
SSU05_0705,451,824
SSU05_2160,2305,2093
SSU05_0023,2918,4970
SSU05_0565,14907,24075
SSU05_0030,322,158
SSU05_0697,138,471
SSU05_1648,1716,2194
SSU05_0225,2992,4563
SSU05_1824,2593,3422
SSU05_0185,21,46
SSU05_2132,1049,1233
SSU05_1643,760,2313
SSU05_1521,8,1
SSU05_0627,18393,18934
SSU05_1957,18803,69810
SSU05_1929,1,2
SSU05_1861,33102,42612
SSU05_2190,200,391
SSU05_0866,173,935
SSU05_2183,12823,5457
SSU05_0206,1015,1528
SSU05_1270,17051,19041
SSU05_0276,489,850
SSU05_1602,143,265
SSU05_0635,581,413
SSU05_1984,76,57
SSU05_1635,1112,2429
SSU05_1204,1953,703
SSU05_1258,4407,8453
SSU05_0268,13055,18962
SSU05_1304,1086,1327
SSU05_0302,6653,9037
SSU05_0600,1545,2374
SSU05_0295,302,500
SSU05_1244,86,136
SSU05_1778,35293,15567
SSU05_1364,5442,4500
SSU05_0982,1,3
SSU05_0449,1552,1377
SSU05_0546,11078,5901
SSU05_1482,303,203
SSU05_1551,690,585
SSU05_0279,4565,1669
SSU05_0694,2593,4925
SSU05_0521,679,1462
SSU05_0329,48,81
SSU05_1960,15501,33010
SSU05_0898,1015,3198
SSU05_0708,1092,1766
SSU05_0379,477,871
SSU05_0218,572,1119
SSU05_1407,29,51
SSU05_0844,69,70
SSU05_0002,5780,5937
SSU05_0237,11310,8143
SSU05_1751,2014,3445
SSU05_0731,7896,13691
SSU05_0948,28,66
SSU05_0786,2295,2569
SSU05_0472,158,397
SSU05_0044,44,31
SSU05_1265,20,33
SSU05_1411,4323,9877
SSU05_0324,695,1066
SSU05_1661,2651,7023
SSU05_1175,3961,7118
SSU05_2045,540,470
SSU05_1865,8604,8738
SSU05_0490,6996,4651
SSU05_1373,3802,12491
SSU05_0437,60,120
SSU05_0842,149,168
SSU05_0883,1401,1559
SSU05_1842,1224,2917
SSU05_1980,46217,48361
SSU05_0145,467,900
SSU05_0289,3590,3770
SSU05_1003,1716,4639
SSU05_0654,315,454
SSU05_0461,758,4701
SSU05_0119,7929,8088
SSU05_0761,1464,2690
SSU05_0458,440,333
SSU05_1092,36,128
SSU05_0130,14,6
SSU05_1574,42941,87366
SSU05_0995,2422,3492
SSU05_1430,1371,3341
SSU05_0806,4010,4571
SSU05_1576,600,1070
SSU05_0178,7466,8433
SSU05_0344,1234,1655
SSU05_0642,642,1261
SSU05_1566,2192,4019
SSU05_1546,3890,2778
SSU05_1568,980,1816
SSU05_0371,186,126
SSU05_0086,34545,45864
SSU05_1391,11159,14053
SSU05_1070,376,492
SSU05_2133,15933,14515
SSU05_1144,5962,11257
SSU05_0126,41,20
SSU05_1791,35,38
SSU05_1316,1371,2826
SSU05_1723,-,1
SSU05_0034,1027,432
SSU05_1465,199,689
SSU05_0608,6912,7060
SSU05_1318,34,12
SSU05_0507,2419,6811
SSU05_0577,15795,34660
SSU05_0964,13,12
SSU05_0891,405,1194
SSU05_0321,188,148
SSU05_1952,2121,2711
SSU05_0834,8286,22510
SSU05_0290,3523,4276
SSU05_0796,15857,8819
SSU05_2177,1659,2138
SSU05_1944,5249,9618
SSU05_0412,2231,8102
SSU05_2150,558,1774
SSU05_1298,20084,26638
SSU05_1675,431,646
SSU05_1280,2521,6062
SSU05_1680,1088,1978
SSU05_0984,34655,45038
SSU05_0251,2349,5416
SSU05_1127,3555,10073
SSU05_0901,11877,20407
SSU05_0486,15508,26189
SSU05_2065,641,254
SSU05_1746,682,804
SSU05_1783,5,15
SSU05_0112,4819,5164
SSU05_1035,52,86
SSU05_1470,1780,2529
SSU05_1767,3554,5026
SSU05_2143,3074,3551
SSU05_1734,1376,1861
SSU05_0870,283,1434
SSU05_0872,888,4591
SSU05_1239,2231,6305
SSU05_1993,3918,5305
SSU05_0234,5746,8466
SSU05_0067,14566,29396
SSU05_0448,4395,4758
SSU05_2175,1471,1616
SSU05_1209,17566,33542
SSU05_1446,5886,5075
SSU05_0513,16487,13809
SSU05_1068,1049,1871
SSU05_0311,853,2330
SSU05_1854,2887,5815
SSU05_0396,122,65
SSU05_1997,350,763
SSU05_0053,1549,6261
SSU05_2020,602,2141
SSU05_1903,1070,2805
SSU05_1599,610,1062
SSU05_0682,217,533
SSU05_1021,80,221
SSU05_0258,1846,1583
SSU05_1701,3516,5648
SSU05_2052,246,780
SSU05_1422,435,1218
SSU05_1653,4776,7120
SSU05_0163,1,-
SSU05_1123,926,1991
SSU05_0662,2539,5484
SSU05_0772,19,12
SSU05_1338,325,578
SSU05_1831,4270,4932
SSU05_0415,6116,14015
SSU05_0282,136,184
SSU05_1428,9131,14692
SSU05_0104,55,69
SSU05_0016,22,36
SSU05_1769,2260,5652
