,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS01945,18691,22146,17087,15254
CHF17_RS01950,13229,14917,13061,8846
CHF17_RS01955,48920,52299,47977,28026
CHF17_RS01960,5354,5642,6575,2696
CHF17_RS01965,1787,1783,1795,924
CHF17_RS01970,299,321,454,225
CHF17_RS01975,695,580,789,315
CHF17_RS01980,459,381,501,197
CHF17_RS01985,1687,1525,2004,817
CHF17_RS01990,1938,1931,2376,1151
CHF17_RS01995,77805,109375,73063,81613
CHF17_RS02000,2926,5176,3639,4094
CHF17_RS02005,14804,24472,16712,18470
CHF17_RS02010,35907,55578,36898,50789
CHF17_RS02015,2810,3159,2987,2934
CHF17_RS02020,5105,5182,4781,2609
CHF17_RS02025,11897,10954,11462,4659
CHF17_RS02030,8143,8203,9193,3734
CHF17_RS02035,3297,3365,3694,1549
CHF17_RS02040,25756,21608,26777,10114
CHF17_RS02045,12934,9372,12971,5060
CHF17_RS02050,26204,27703,24320,15338
CHF17_RS02055,49636,45482,46677,25943
CHF17_RS02060,86842,78190,69253,41839
CHF17_RS02065,98347,95659,77526,53787
CHF17_RS02070,3130,2602,2703,1408
CHF17_RS02075,14914,12817,12971,5701
CHF17_RS02080,18878,20762,17306,9739
CHF17_RS02085,16514,17120,15323,8306
CHF17_RS02090,30210,32238,29411,16061
CHF17_RS02095,38465,41887,39384,23550
CHF17_RS02100,9721,11904,9500,6963
CHF17_RS02105,535,405,535,289
CHF17_RS02110,86,68,102,45
CHF17_RS02115,9878,9528,10083,4603
CHF17_RS02120,18014,45905,26555,17053
CHF17_RS02125,16454,21334,20907,8622
CHF17_RS02130,55073,43023,55043,17247
CHF17_RS02135,9601,11760,8366,7450
CHF17_RS02140,37560,27522,38224,10980
CHF17_RS02145,1288,1007,1194,700
CHF17_RS02150,1839,2113,1542,1206
CHF17_RS02155,1671,1964,1469,1133
CHF17_RS02160,3718,4624,3710,2716
CHF17_RS02165,3212,3694,2903,2149
CHF17_RS02170,3510,4146,3303,2326
CHF17_RS02175,27947,29454,25859,17009
CHF17_RS02180,21698,22562,18953,13447
CHF17_RS02185,9920,9858,12386,6873
CHF17_RS02190,3057,3801,4546,2669
CHF17_RS02195,4241,4284,6457,3779
CHF17_RS02200,10058,10230,11503,4460
CHF17_RS02205,53933,53899,54614,23235
