,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS06705,8292,10926,8008,9024
CHF17_RS06710,1923,1595,2412,1428
CHF17_RS06715,428,327,544,347
CHF17_RS06720,1350,1398,1438,760
CHF17_RS06725,25855,20098,29553,10206
CHF17_RS06730,1961,1184,2139,631
CHF17_RS06735,1352,1164,1623,477
CHF17_RS06740,515,455,556,202
CHF17_RS06745,139,102,177,46
CHF17_RS06750,56,35,70,16
CHF17_RS06755,708,511,792,315
CHF17_RS06760,745,573,756,319
CHF17_RS06765,1074,893,1422,509
CHF17_RS06770,12038,11066,11604,6432
CHF17_RS06775,763,512,885,207
CHF17_RS06780,267,207,295,95
CHF17_RS06785,574,551,632,288
CHF17_RS06790,237,208,209,133
CHF17_RS06795,1813,2140,1892,1245
CHF17_RS06800,19077,14617,22677,7097
CHF17_RS06805,7899,6165,11182,2379
CHF17_RS06810,17645,13695,19508,4849
CHF17_RS06815,202401,127669,185125,55853
CHF17_RS06820,324909,194501,281877,79689
CHF17_RS06825,1771,2480,3095,1043
CHF17_RS06830,2059,2868,2248,1809
CHF17_RS06835,2628,3545,2642,2614
CHF17_RS06840,306,287,322,167
CHF17_RS06845,429,457,475,231
CHF17_RS06850,46,57,52,19
CHF17_RS06855,661,785,599,345
CHF17_RS06860,10414,10030,11416,4824
CHF17_RS06865,24162,22876,23562,11802
CHF17_RS06870,1941,1808,2188,848
CHF17_RS06875,7106,7460,7637,4128
CHF17_RS06880,6440,5840,6865,2913
CHF17_RS06885,5331,6498,5357,3635
CHF17_RS06890,7485,9150,7390,4508
CHF17_RS06895,827,905,1682,381
CHF17_RS06900,2172,2368,4191,1001
CHF17_RS06905,13883,15573,14695,8695
CHF17_RS06910,6135,8152,5387,4122
CHF17_RS06915,1640,1454,1734,724
CHF17_RS06920,12041,9737,12126,4251
CHF17_RS06925,9054,7186,10041,2962
CHF17_RS06930,6538,6129,6699,2650
CHF17_RS06935,4465,4134,4673,1985
CHF17_RS06940,9499,10268,8944,5791
CHF17_RS06945,5796,6214,5609,2865
CHF17_RS06950,4107,4297,4026,1803
CHF17_RS06955,4309,5040,4431,2768
CHF17_RS06960,3618,4473,3682,2732
CHF17_RS06965,905,1087,1114,615
CHF17_RS06970,33216,36219,22479,38770
CHF17_RS06975,4874,4900,4339,3141
CHF17_RS06980,15192,13354,11820,5697
CHF17_RS06985,12898,18015,11162,13658
CHF17_RS06990,14845,14417,15707,8343
CHF17_RS06995,10055,9979,11334,4483
CHF17_RS07000,2153,2347,2900,840
CHF17_RS07005,9556,10571,12174,4756
CHF17_RS07010,5176,5243,6578,2183
CHF17_RS07015,27352,26857,25179,10685
CHF17_RS07020,10197,10016,9611,4389
CHF17_RS07025,1724,1656,1779,688
CHF17_RS07030,857,771,1188,388
CHF17_RS07035,13334,13227,15337,11156
CHF17_RS07040,5380,5313,6655,3717
CHF17_RS07045,2996,2657,3656,2062
CHF17_RS07050,9954,19756,10548,8729
CHF17_RS07055,13017,42740,15127,12074
CHF17_RS07060,14832,11631,16601,5491
CHF17_RS07065,14914,11217,15301,6061
CHF17_RS07070,4162,2683,5119,1146
CHF17_RS07075,4295,2714,4940,1119
CHF17_RS07080,1902,1061,2017,465
CHF17_RS07085,64,26,76,16
CHF17_RS07090,69,37,81,15
CHF17_RS07095,7735,6535,7731,2538
CHF17_RS07100,65666,53584,61504,21842
CHF17_RS07105,96593,70585,87839,33339
CHF17_RS07110,19109,18991,21293,17705
CHF17_RS07115,3493,4079,5815,4523
CHF17_RS07120,9519,10704,13790,10645
CHF17_RS07125,11725,22131,13114,13949
CHF17_RS07130,6280,11028,6637,6598
CHF17_RS07135,2859,5139,3121,3343
CHF17_RS07140,9486,7478,9111,4150
CHF17_RS07145,3190,2314,3457,1288
CHF17_RS07150,6802,5305,6643,3229
CHF17_RS07155,18812,10624,25668,2956
CHF17_RS07160,53230,35654,60918,17969
CHF17_RS07165,66620,46554,60150,22648
CHF17_RS07170,9299,9551,9764,4529
CHF17_RS07175,16842,12247,18089,5950
CHF17_RS07180,14448,10473,14009,5676
CHF17_RS07185,2588,2721,2567,1636
CHF17_RS07190,12601,11747,13137,7450
CHF17_RS07195,10429,10160,15096,6729
CHF17_RS07200,5744,6347,7840,4007
CHF17_RS07205,8633,8608,12398,5286
CHF17_RS07210,5406,5585,7746,2983
CHF17_RS07215,10457,9819,14684,5378
CHF17_RS07220,3440,3248,4102,1742
CHF17_RS07225,11797,9863,12350,5658
CHF17_RS07230,12172,9125,12307,5089
CHF17_RS07235,6651,4811,6966,3135
CHF17_RS07240,221647,188800,184726,102363
CHF17_RS07245,6266,8076,5792,4336
CHF17_RS07250,5975,6677,5825,2685
CHF17_RS07255,2233,2862,2559,1117
CHF17_RS07260,20010,18922,18971,8074
CHF17_RS07265,38149,33360,36063,16528
CHF17_RS07270,32332,27404,30767,15381
CHF17_RS07275,39263,21997,36941,11755
CHF17_RS07280,39120,20134,35576,8082
CHF17_RS07285,121577,56839,102961,21089
CHF17_RS07290,21884,23404,20501,13112
CHF17_RS07295,12312,14057,12824,7110
CHF17_RS07300,2771,3247,3746,970
CHF17_RS07305,9595,10859,9700,5236
CHF17_RS07310,23785,33257,22955,16745
CHF17_RS07315,13694,12964,12444,9331
CHF17_RS07320,12077,13342,10748,8194
CHF17_RS07325,20821,18956,22357,9750
CHF17_RS07330,44052,35005,44658,16191
CHF17_RS07335,16923,14786,17819,8088
CHF17_RS07340,12306,10189,13183,6057
CHF17_RS07345,5425,4376,5418,3709
CHF17_RS07350,37949,48007,31241,35014
CHF17_RS07355,3392,3500,3286,1982
CHF17_RS07360,31409,32156,27764,15323
CHF17_RS07365,1741,2138,2068,1361
CHF17_RS07370,3575,4539,4091,2747
CHF17_RS07375,7451,8882,7367,5868
CHF17_RS07380,11037,7821,9880,7888
CHF17_RS07385,9150,5801,7753,6513
CHF17_RS07390,3463,2825,3468,1530
CHF17_RS07395,6184,5281,6516,2357
CHF17_RS07400,5026,4561,5679,2199
CHF17_RS07405,10307,9914,11378,5482
CHF17_RS07410,11186,11563,14924,8290
CHF17_RS07415,1172,1128,1340,660
CHF17_RS07420,480,413,600,282
CHF17_RS07425,23237,18972,24616,9766
CHF17_RS07430,14140,11255,15532,5024
CHF17_RS07435,22809,19370,25535,10695
CHF17_RS07440,14285,13102,16649,7848
CHF17_RS07445,11771,11756,15177,6239
CHF17_RS07450,13355,13880,16230,6799
CHF17_RS07455,14593,15711,18283,7682
CHF17_RS07460,9048,10596,10898,5266
CHF17_RS07465,8107,8792,10300,4065
CHF17_RS07470,14036,15241,19360,7082
CHF17_RS07475,1775,1908,2471,908
CHF17_RS07480,3723,4172,4621,2027
CHF17_RS07485,7404,8422,8474,4188
CHF17_RS07490,10749,10651,10698,5106
CHF17_RS07495,11713,14740,10457,9326
CHF17_RS07500,7902,6605,6985,2338
CHF17_RS07505,28349,21678,25152,8050
CHF17_RS07510,24380,19143,24914,8246
CHF17_RS07515,4835,6247,4105,3117
CHF17_RS07520,4916,5837,4107,3203
CHF17_RS07525,7924,11814,10515,3650
CHF17_RS07530,3129,2590,2963,1333
CHF17_RS07535,967,853,956,421
CHF17_RS07540,256,215,211,161
CHF17_RS07545,648,443,623,284
CHF17_RS07550,22515,16131,13548,9137
CHF17_RS07555,809,1530,779,482
CHF17_RS07560,962,1008,862,550
CHF17_RS07565,4397,4453,5092,2159
CHF17_RS07570,1920,2181,2174,1275
CHF17_RS07575,7791,9089,7690,5401
CHF17_RS07580,10924,12212,10271,7971
CHF17_RS07585,6830,7050,6473,4313
CHF17_RS07590,4761,4782,4466,3053
CHF17_RS07595,18489,19593,15995,12462
CHF17_RS07600,1702,1715,1636,1063
CHF17_RS07605,1388,1301,1615,860
CHF17_RS07610,980,851,1077,382
CHF17_RS07615,3233,2395,3953,1055
CHF17_RS07620,12453,14857,10781,5402
CHF17_RS07625,19700,19214,18224,12315
CHF17_RS07630,221069,156443,186991,110318
CHF17_RS07635,92784,61651,80364,41932
CHF17_RS07640,1870,1797,1947,1038
CHF17_RS07645,1413,1529,1496,909
CHF17_RS07650,24377,27187,26134,17091
CHF17_RS07655,1585,1746,1763,1088
CHF17_RS07660,5290,7456,4394,4173
CHF17_RS07665,2578,3609,3164,1813
CHF17_RS07670,2784,2645,2407,1166
CHF17_RS07675,843,1043,988,656
CHF17_RS07680,1320,1510,1121,865
CHF17_RS07685,4856,8145,4011,3899
CHF17_RS07690,1084,1818,1534,1211
CHF17_RS07695,2479,3740,2312,2688
CHF17_RS07700,2376,2704,2516,1686
CHF17_RS07705,29067,15302,25382,8729
CHF17_RS07710,4560,3355,5123,1724
CHF17_RS07715,20156,17722,21004,10957
CHF17_RS07720,6320,6560,8447,4923
CHF17_RS07725,1776,1476,2114,871
CHF17_RS07730,6003,5343,5357,3810
CHF17_RS07735,3543,3361,3643,2693
CHF17_RS07740,2161,2228,1939,1607
CHF17_RS07745,732,861,796,413
CHF17_RS07750,1280,1481,1387,653
CHF17_RS07755,822,952,1007,572
CHF17_RS07760,973,1044,1040,930
CHF17_RS07765,106,112,113,103
CHF17_RS07770,121,110,117,67
CHF17_RS07775,158,134,146,58
CHF17_RS07780,67,46,78,19
CHF17_RS07785,384,352,401,120
CHF17_RS07790,685,653,646,232
CHF17_RS07795,238,259,247,80
CHF17_RS07800,4395,4170,4514,2302
CHF17_RS07805,18890,18774,19377,7486
CHF17_RS07810,5991,5590,5237,2539
CHF17_RS07815,10253,10905,9443,5520
CHF17_RS07820,1681,2298,1693,1212
CHF17_RS07825,89,94,115,41
CHF17_RS07830,1858,1885,1632,1099
CHF17_RS07835,4331,4267,3992,2841
CHF17_RS07840,15326,18275,12204,13633
CHF17_RS07845,4219,4804,3455,3717
CHF17_RS07850,2055,2617,1950,1354
CHF17_RS07855,6171,7191,5529,3747
CHF17_RS07860,14732,15895,13339,9027
CHF17_RS07865,30253,29921,28270,16205
CHF17_RS07870,33254,36812,30222,22744
CHF17_RS07875,234,188,217,132
CHF17_RS07880,116,91,177,76
CHF17_RS07885,77,62,113,60
CHF17_RS07890,121,101,160,84
CHF17_RS07895,199,173,242,157
CHF17_RS07900,167324,99630,148148,42307
CHF17_RS07905,166979,92799,138400,39845
CHF17_RS07910,1034,1274,1208,815
CHF17_RS07915,4436,5403,5120,2969
CHF17_RS07920,3253,4092,3829,2199
CHF17_RS07925,2779,3272,2640,1356
CHF17_RS07930,793,815,731,400
CHF17_RS07935,1068,1116,1151,585
CHF17_RS07940,7438,7653,7406,3795
CHF17_RS07945,21036,16787,20270,7228
CHF17_RS07950,5512,7489,5282,4553
CHF17_RS07955,5711,5657,5215,4181
CHF17_RS07960,4917,4662,4177,2896
CHF17_RS07965,12150,13791,11420,11672
CHF17_RS07970,3515,4674,3329,2342
CHF17_RS07975,5277,6078,6191,2834
CHF17_RS07980,1248,1403,1878,547
CHF17_RS07985,4424,4476,5504,2457
CHF17_RS07990,7820,8803,9969,6112
CHF17_RS07995,165,193,179,71
CHF17_RS08000,163,246,172,105
CHF17_RS08005,5520,6436,6276,3669
CHF17_RS08010,1966,1991,2142,1089
CHF17_RS08015,1203,1257,1341,537
CHF17_RS08020,1762,2044,1936,971
CHF17_RS08025,514,597,618,280
CHF17_RS08030,461,581,789,198
CHF17_RS08035,786,971,1039,312
CHF17_RS08040,386,154,589,77
CHF17_RS08045,1974,1129,2344,559
CHF17_RS08050,4184,2232,5391,1011
CHF17_RS08055,1668,873,2451,475
CHF17_RS08060,842,473,941,304
CHF17_RS08065,967,463,1198,419
CHF17_RS08070,23514,16352,21704,7838
CHF17_RS08075,59505,64072,49876,34098
CHF17_RS08080,3499,4169,3118,2359
CHF17_RS08085,1349,871,1337,391
CHF17_RS08090,145,81,148,28
CHF17_RS08095,5662,7549,5047,5659
CHF17_RS08100,7300,8631,6324,5104
CHF17_RS08105,12043,13934,9855,8240
CHF17_RS08110,2571,2393,2266,1456
CHF17_RS08115,2616,2428,2174,1258
CHF17_RS08120,26506,48286,28057,28157
CHF17_RS08125,14840,24610,17062,14054
CHF17_RS08130,24657,41353,25986,25761
CHF17_RS08135,1600,1820,1471,962
CHF17_RS08140,331,375,315,178
CHF17_RS08145,565,600,621,283
CHF17_RS08150,14726,16090,13984,8205
CHF17_RS08155,4741,5163,4475,2803
CHF17_RS08160,12151,14556,11751,8561
CHF17_RS08165,9853,12791,9066,7704
CHF17_RS08170,999,1229,1168,774
CHF17_RS08175,160,174,225,99
CHF17_RS08180,62,54,118,45
CHF17_RS08185,78,79,135,54
CHF17_RS08190,110,140,191,105
CHF17_RS08195,121,184,185,60
CHF17_RS08200,4228,3108,4392,1263
CHF17_RS08205,996,1295,1289,972
CHF17_RS08210,12661,18034,10621,10840
CHF17_RS08215,15778,21555,13923,14966
CHF17_RS08220,2806,2962,2768,1417
CHF17_RS08225,2821,2407,2433,1275
CHF17_RS08230,21798,15284,19251,7623
CHF17_RS08235,22819,30070,20242,18858
CHF17_RS08240,25914,31305,23066,20190
CHF17_RS08245,2913,2839,3193,1867
CHF17_RS08250,8331,7011,9932,4044
CHF17_RS08255,4379,4087,6211,2368
CHF17_RS08260,5527,5564,7515,3328
CHF17_RS08265,5384,5798,8241,3033
CHF17_RS08270,5512,6283,7117,3260
CHF17_RS08275,4937,5879,5751,3344
CHF17_RS08280,9245,10199,10811,5200
CHF17_RS08285,8918,9780,9137,4809
CHF17_RS08290,7042,7248,7291,3192
CHF17_RS08295,401,427,352,453
CHF17_RS08300,1568,1702,1746,1402
CHF17_RS08305,13492,12523,13834,5969
CHF17_RS08310,14300,12913,14213,5003
CHF17_RS08315,21657,17613,21918,7933
CHF17_RS08320,917,626,913,315
CHF17_RS08325,26311,21250,23270,11857
CHF17_RS08330,8550,5658,6610,4047
CHF17_RS08335,9791,6159,7705,4180
CHF17_RS08340,1742,1817,1734,1278
CHF17_RS08345,12913,8391,13330,3647
CHF17_RS08350,71129,60214,74442,27928
CHF17_RS08355,6081,5737,7278,2555
CHF17_RS08360,27764,27416,28800,13763
CHF17_RS08365,15307,14819,15983,6697
CHF17_RS08370,1273,1042,1191,513
CHF17_RS08375,35154,36682,33306,15239
CHF17_RS08380,28731,24070,26050,10369
CHF17_RS08385,8947,7677,10677,2954
CHF17_RS08390,7662,7177,9827,3253
CHF17_RS08395,2851,2533,3084,1147
CHF17_RS08400,31720,23623,31611,10285
CHF17_RS08405,59825,44951,54691,20923
CHF17_RS08410,5564,4369,6265,1094
CHF17_RS08415,35315,45463,30237,28326
CHF17_RS08420,30135,37143,25865,23735
CHF17_RS08425,3367,4228,3338,2767
CHF17_RS08430,12552,14951,11636,8136
CHF17_RS08435,6927,7581,6309,3587
CHF17_RS08440,12840,8389,12146,3852
CHF17_RS08445,24819,15497,22867,6975
CHF17_RS08450,9001,6863,8298,4386
CHF17_RS08455,42584,34966,35234,22812
CHF17_RS08460,24044,13693,22876,6212
CHF17_RS08465,692,627,686,520
CHF17_RS08470,6790,6029,5831,4022
CHF17_RS08475,8192,6500,8024,3509
CHF17_RS08480,6427,5366,6500,2800
CHF17_RS08485,7514,8227,7455,5358
CHF17_RS08490,17751,19896,14383,12914
CHF17_RS08495,10833,10768,8242,6926
CHF17_RS08500,272,200,259,98
CHF17_RS08505,15416,13083,15450,6565
CHF17_RS08510,750,715,915,400
CHF17_RS08515,896,934,1140,562
CHF17_RS08520,4435,4893,4527,2699
CHF17_RS08525,29,24,39,10
CHF17_RS08530,45,49,76,22
CHF17_RS08535,18,14,34,5
CHF17_RS08540,1732,1678,1755,970
CHF17_RS08545,351,284,420,246
CHF17_RS08550,25,14,35,15
CHF17_RS08555,233,211,325,146
CHF17_RS08560,172,151,286,124
CHF17_RS08565,184,164,314,112
CHF17_RS08570,404,432,625,270
CHF17_RS08575,4263,5028,4078,2842
CHF17_RS08580,2116,1584,2958,548
CHF17_RS08585,4452,3773,5410,1628
CHF17_RS08590,1011,848,1312,379
CHF17_RS08595,2997,2575,3509,1287
CHF17_RS08600,4505,3919,5773,1378
CHF17_RS08605,9268,7790,11551,3194
CHF17_RS08610,11039,9987,11304,4614
CHF17_RS08615,13795,12449,14817,5416
CHF17_RS08620,4801,4033,5732,1596
CHF17_RS08625,13158,10099,14915,4682
CHF17_RS08630,6015,4575,5848,2520
CHF17_RS08635,2933,1887,3586,818
CHF17_RS08640,37270,37742,39293,20411
CHF17_RS08645,24779,27236,28565,16033
CHF17_RS08650,4581,5031,6081,2732
CHF17_RS08655,613,1099,780,648
CHF17_RS08660,492,900,562,439
CHF17_RS08665,821,1554,812,727
CHF17_RS08670,743,988,607,579
CHF17_RS08675,4070,4944,4334,4303
CHF17_RS08680,43296,42244,38276,28031
CHF17_RS08685,24419,26822,21739,14271
CHF17_RS08690,2000,3212,2144,1770
CHF17_RS08695,9338,8181,8232,4284
CHF17_RS08700,2271,2271,2363,1456
CHF17_RS08705,1108,1186,1047,706
CHF17_RS08710,1815,1849,1749,993
CHF17_RS08715,9830,11293,8823,5914
CHF17_RS08720,87114,81003,81463,50653
CHF17_RS08725,4851,5233,6371,3568
CHF17_RS08730,1032,1072,1745,590
CHF17_RS08735,4519,5203,6421,2704
CHF17_RS08740,155951,147202,138216,66395
CHF17_RS08745,9456,10377,9293,6041
CHF17_RS08750,127,139,166,55
CHF17_RS08755,354,338,358,215
CHF17_RS08760,2821,2348,2789,1475
CHF17_RS08765,2407,1962,2500,1073
CHF17_RS08770,18400,19771,18719,12159
CHF17_RS08775,27833,29332,24170,18760
CHF17_RS08780,36161,39177,32526,27539
CHF17_RS08785,1492,1159,1461,807
CHF17_RS08790,783,834,766,303
CHF17_RS08795,874,898,987,390
CHF17_RS08800,192,184,280,72
CHF17_RS08805,375,473,467,219
CHF17_RS08810,494,617,615,260
CHF17_RS08815,510,523,669,262
CHF17_RS08820,189,182,218,91
CHF17_RS08825,631,689,765,328
CHF17_RS08830,1306,1685,1523,633
CHF17_RS08835,5203,6449,4549,3266
CHF17_RS08840,1583,1254,1357,680
CHF17_RS08845,1837,1684,1512,1124
CHF17_RS08850,15,12,17,7
CHF17_RS08855,6534,7927,7730,5008
CHF17_RS08860,12479,8279,11951,2991
CHF17_RS08865,20899,11705,18577,3944
CHF17_RS08870,59674,39087,63235,19106
CHF17_RS08875,293072,166633,241444,82265
CHF17_RS08880,123220,68849,106843,35467
CHF17_RS08885,4240,4306,4029,1746
CHF17_RS08890,1049,893,1040,598
CHF17_RS08895,3217,3301,3789,1170
CHF17_RS08900,4170,3724,4589,1698
CHF17_RS08905,14380,16025,15259,7048
CHF17_RS08910,4467,4982,3934,2582
CHF17_RS08915,3231,3892,2975,1733
CHF17_RS08920,7524,7497,6526,4432
CHF17_RS08925,4321,4393,4472,2238
CHF17_RS08930,7646,5773,8177,2233
CHF17_RS08935,26696,28353,24455,18842
CHF17_RS08940,9887,9257,8485,5763
CHF17_RS08945,77584,100406,71646,68558
CHF17_RS08950,2470,2466,2544,1685
CHF17_RS08955,11371,12908,10059,7274
CHF17_RS08960,11507,13347,9878,6843
CHF17_RS08965,7753,6026,6560,4052
CHF17_RS08970,64748,56701,60102,30246
CHF17_RS08975,273,261,273,162
CHF17_RS08980,352,367,342,231
CHF17_RS08985,3485,4336,3360,2261
CHF17_RS08990,12797,16926,15488,9980
CHF17_RS08995,3023,3381,3600,1928
CHF17_RS09000,12937,13505,12585,6945
CHF17_RS09005,10920,7021,9028,3479
CHF17_RS09010,10075,6688,8476,3252
CHF17_RS09015,19359,13985,13316,8685
CHF17_RS09020,17306,13174,13828,7153
CHF17_RS09025,14439,13553,12445,6327
CHF17_RS09030,12581,12648,10352,5626
CHF17_RS09035,165,200,177,96
CHF17_RS09040,93,82,82,40
CHF17_RS09045,19,24,23,12
CHF17_RS09050,2772,2631,4291,739
CHF17_RS09055,5730,5730,5325,4001
CHF17_RS09060,2126,2077,2150,1246
CHF17_RS09065,1278,1283,1123,846
CHF17_RS09070,11272,11811,11392,6321
CHF17_RS09075,5375,6825,4611,2707
CHF17_RS09080,2175,2749,2182,1449
CHF17_RS09085,4565,4677,5206,3427
CHF17_RS09090,2124,2158,2417,2158
CHF17_RS09095,4911,4488,4221,2383
CHF17_RS09100,4351,3751,4393,2075
CHF17_RS09105,1707,1646,2051,839
CHF17_RS09110,3627,4041,3741,2380
CHF17_RS09115,2916,2863,3650,1330
CHF17_RS09120,75465,73632,66011,37252
CHF17_RS09125,2492,1804,2214,1213
CHF17_RS09130,157798,115443,142188,93645
CHF17_RS09135,38929,26257,37868,21220
CHF17_RS09140,2355,1646,2332,1070
CHF17_RS09145,186646,229822,153380,142702
CHF17_RS09150,4659,5170,5195,4022
CHF17_RS09155,776273,917341,617229,660535
CHF17_RS09160,453972,385008,424386,184288
CHF17_RS09165,116479,77448,108397,37729
CHF17_RS09170,169089,98374,157917,39722
CHF17_RS09175,30195,34160,28205,19658
CHF17_RS09180,9146,10065,9889,5297
CHF17_RS09185,7805,11331,10301,6685
CHF17_RS09190,3436,5296,4322,3215
CHF17_RS09195,10506,12412,10158,6229
CHF17_RS09200,15779,17950,14653,8834
CHF17_RS09205,9748,9345,10244,4799
CHF17_RS09210,13808,14921,12759,8402
CHF17_RS09215,4750,5076,5641,2271
CHF17_RS09220,4462,5191,4442,2341
CHF17_RS09225,4937,4946,4976,2288
CHF17_RS09230,1178,1778,1510,962
CHF17_RS09235,1752,2276,2099,1154
CHF17_RS09240,5326,7039,6536,3690
CHF17_RS09245,1404,1640,1800,676
CHF17_RS09250,118504,106349,126293,42002
CHF17_RS09255,19763,17390,20776,6816
CHF17_RS09260,87791,80873,87954,32924
CHF17_RS09265,100798,103349,99171,43583
CHF17_RS09270,6438,6138,7621,2339
CHF17_RS09275,59494,55463,58858,23309
CHF17_RS09280,41651,39236,39308,16974
CHF17_RS09285,15456,12182,15768,5731
CHF17_RS09290,14627,8236,13242,4198
CHF17_RS09295,1179,1438,1400,901
CHF17_RS09300,25240,18545,35424,10615
CHF17_RS09305,15680,11780,22332,6055
CHF17_RS09310,149,60,247,32
CHF17_RS09315,327,291,369,178
CHF17_RS09320,380,412,365,201
CHF17_RS09325,12650,13811,10683,7835
CHF17_RS09330,108,78,112,58
CHF17_RS09335,61,62,81,34
CHF17_RS09340,47,49,72,18
CHF17_RS09345,84,52,96,36
CHF17_RS09350,383,430,421,220
CHF17_RS09355,207,226,201,105
CHF17_RS09360,2034,2441,2057,1731
CHF17_RS09365,37,46,29,66
CHF17_RS09370,59,57,40,50
CHF17_RS09375,27,37,32,94
CHF17_RS09380,8,19,12,60
CHF17_RS09385,7,17,8,87
CHF17_RS09390,8,31,16,105
CHF17_RS09395,60,227,78,784
CHF17_RS09400,11272,13751,10124,13275
CHF17_RS09405,6935,8863,6785,9039
CHF17_RS09410,63908,93289,47597,80563
CHF17_RS09415,4929,5038,4511,2918
CHF17_RS09420,4282,4399,3967,2261
CHF17_RS09425,6471,8480,7172,4959
CHF17_RS09430,2941,3365,2756,1427
CHF17_RS09435,6709,7431,6019,2793
CHF17_RS09440,10475,10146,10021,5328
CHF17_RS09445,21391,21099,20073,11938
CHF17_RS09450,10458,8839,10795,4736
CHF17_RS09455,10246,9217,9632,5027
CHF17_RS09460,30097,32433,29428,14254
CHF17_RS09465,2853,3718,3112,1824
CHF17_RS09470,2734,3991,3059,2958
CHF17_RS09475,156016,111194,132967,53159
CHF17_RS09480,253020,171574,212360,81927
CHF17_RS09485,6633,7558,6714,4281
CHF17_RS09490,27779,31073,27154,16764
CHF17_RS09495,208,154,170,129
CHF17_RS09500,7308,7896,6820,4084
CHF17_RS09505,812,916,943,454
CHF17_RS09510,6006,9249,4738,5939
CHF17_RS09515,22936,21657,20542,13683
CHF17_RS09520,3721,4974,3527,2583
CHF17_RS09525,2283,1937,2423,1375
CHF17_RS09530,273,263,285,155
CHF17_RS09535,3474,3841,3586,2007
CHF17_RS09540,12256,12805,11166,6683
CHF17_RS09545,5987,7365,5646,3329
CHF17_RS09550,279,286,371,161
CHF17_RS09555,38,38,31,41
CHF17_RS09560,41,42,57,32
CHF17_RS09565,13,6,14,3
CHF17_RS09570,31,37,46,21
CHF17_RS09575,13,22,16,8
CHF17_RS09580,149,242,228,133
CHF17_RS09585,66,110,106,70
CHF17_RS09590,167,184,257,109
CHF17_RS09595,179,146,195,100
CHF17_RS09600,6549,6562,8228,6580
CHF17_RS09605,6190,4621,6067,1847
CHF17_RS09610,3568,2323,3831,796
CHF17_RS09615,41294,33063,40331,12756
CHF17_RS09620,1693,1624,1599,1113
CHF17_RS09625,44090,39264,43400,17278
CHF17_RS09630,13208,14679,16049,8298
CHF17_RS09635,5556,6266,6398,4598
CHF17_RS09640,6761,7460,6898,4261
CHF17_RS09645,40298,46838,41482,33760
CHF17_RS09650,6710,6657,5443,4776
CHF17_RS09655,89,64,62,65
CHF17_RS09660,69,62,76,43
CHF17_RS09665,63,91,97,49
CHF17_RS09670,2806,2388,2930,1344
CHF17_RS09675,1161,1006,1256,637
CHF17_RS09680,10018,11108,9512,6737
CHF17_RS09685,1769,1531,1917,795
CHF17_RS09690,10651,13989,9421,7093
CHF17_RS09695,2994,3634,2728,2166
CHF17_RS09700,727,695,783,420
CHF17_RS09705,524,522,646,261
CHF17_RS09710,487,567,614,343
CHF17_RS09715,1174,1220,1273,641
CHF17_RS09720,159,155,147,98
CHF17_RS09725,92,80,70,26
CHF17_RS09730,7850,7089,8174,3760
CHF17_RS09735,48,53,52,44
CHF17_RS09740,169,147,136,95
CHF17_RS09745,611,461,535,289
CHF17_RS09750,2734,3287,2720,1659
CHF17_RS09755,391,261,362,161
CHF17_RS09760,170,133,170,79
CHF17_RS09765,3323,3633,3564,1466
CHF17_RS09770,16974,17008,16646,7830
CHF17_RS09775,9443,14792,8600,13709
CHF17_RS09780,2862,3677,2594,2587
CHF17_RS09785,9581,13077,8497,8739
CHF17_RS09790,6071,7611,5281,4965
CHF17_RS09795,2239,2358,2146,1223
CHF17_RS09800,1769,1858,1604,831
CHF17_RS09805,2017,2279,2068,1065
CHF17_RS09810,124,124,122,96
CHF17_RS09815,77,87,88,65
CHF17_RS09820,70,97,62,46
CHF17_RS09825,33,73,51,44
CHF17_RS09830,3264,3313,2806,2997
CHF17_RS09835,168,135,167,89
CHF17_RS09840,8452,7820,8506,5908
CHF17_RS09845,6573,6635,7191,4528
CHF17_RS09850,1087,1038,1267,536
CHF17_RS09855,1380,1481,1405,938
CHF17_RS09860,11426,10973,12215,7063
CHF17_RS09865,5279,4941,5375,3938
CHF17_RS09870,278,197,333,134
CHF17_RS09875,420,396,492,212
CHF17_RS09880,974,955,1209,613
CHF17_RS09885,3421,3827,3583,1679
CHF17_RS09890,1210,1445,1331,630
CHF17_RS09895,263,259,291,111
CHF17_RS09900,108,119,141,42
CHF17_RS09905,117,166,185,61
CHF17_RS09910,93,234,113,49
CHF17_RS09915,197,479,234,93
CHF17_RS09920,2017,1730,2645,914
CHF17_RS09925,2074,1867,2415,1225
CHF17_RS09930,1282,1093,1589,973
CHF17_RS09935,303,304,630,173
CHF17_RS09940,1603,1808,2229,1143
CHF17_RS09945,1672,2304,2036,1452
CHF17_RS09950,1224,1725,1439,1139
CHF17_RS09955,324,376,372,226
CHF17_RS09960,1902,2476,2014,1614
CHF17_RS09965,1815,2200,1621,1154
CHF17_RS09970,7602,8690,6739,4536
CHF17_RS09975,1867,6628,3186,2461
CHF17_RS09980,377,1866,800,736
CHF17_RS09985,2002,1737,1966,1461
CHF17_RS09990,49,34,56,27
CHF17_RS09995,2779,3075,3370,2462
CHF17_RS10000,161,169,192,100
CHF17_RS10005,68,75,150,36
CHF17_RS10010,212,170,284,114
CHF17_RS10015,6939,11033,7032,5778
CHF17_RS10020,7282,8467,6618,7074
CHF17_RS10025,1438,1054,1723,658
