,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS00570,2420,3343,3257,7653,8194,7519,1494,1693,1224
SSUSC84_RS01915,24,35,40,23,29,33,52,40,35
SSUSC84_RS04670,3,4,2,0,2,0,9,3,8
SSUSC84_RS06675,495,676,535,493,521,408,548,469,411
SSUSC84_RS04960,11,17,23,8,24,22,20,24,32
SSUSC84_RS04915,1564,1926,2181,7195,8083,6731,898,1069,796
SSUSC84_RS04635,0,0,0,0,0,0,0,0,0
SSUSC84_RS06170,148,242,224,100,132,113,157,137,133
SSUSC84_RS03385,276,367,273,208,264,271,309,289,211
SSUSC84_RS05955,783,1101,966,706,815,796,1128,1026,910
SSUSC84_RS07785,1164,1731,1344,824,910,951,1727,1415,1260
SSUSC84_RS01480,662,903,751,401,426,402,1171,864,854
SSUSC84_RS00265,137,176,117,52,63,35,245,147,80
SSUSC84_RS04570,20,21,24,20,17,18,21,10,12
SSUSC84_RS06475,4828,6803,5409,5335,6024,4908,11947,12698,9601
SSUSC84_RS02395,3733,6156,5521,3681,4365,3999,5341,5080,4091
SSUSC84_RS10185,628,774,462,293,240,204,898,803,484
SSUSC84_RS01585,489,717,694,573,544,569,352,216,195
SSUSC84_RS05045,626,1039,1084,887,1074,897,613,638,561
SSUSC84_RS10340,5,16,6,8,5,3,15,17,8
SSUSC84_RS09560,318,408,370,334,331,292,230,191,187
SSUSC84_RS06525,323,454,428,225,306,279,705,837,570
SSUSC84_RS01440,2372,3243,2459,2093,2610,2283,3272,3559,2338
SSUSC84_RS02495,98,78,110,138,124,141,37,31,43
SSUSC84_RS04445,0,0,0,0,0,0,0,0,0
SSUSC84_RS06265,1634,2262,1844,1668,1788,1463,2233,1912,1587
SSUSC84_RS06565,325,447,302,403,404,295,393,360,277
SSUSC84_RS00045,45,73,77,74,88,95,59,59,51
SSUSC84_RS02015,73,96,79,78,106,74,77,61,38
SSUSC84_RS05115,3399,4515,4373,2474,2838,2524,5012,4803,4310
SSUSC84_RS00780,2,1,4,6,0,3,7,0,0
SSUSC84_RS10645,20,20,20,20,13,7,41,46,44
SSUSC84_RS05200,1218,1843,1644,1215,1234,1252,2228,1986,1810
SSUSC84_RS04190,3453,4268,3951,3522,3655,3311,2999,2757,2218
SSUSC84_RS09180,7343,7447,12310,11826,14849,13319,14155,11975,15515
SSUSC84_RS09100,117,165,135,132,144,166,163,144,123
SSUSC84_RS01285,580,611,592,1321,1138,729,534,359,361
SSUSC84_RS04630,3,5,1,0,0,2,0,2,0
SSUSC84_RS01425,956,1349,1209,1791,1906,1655,654,683,574
SSUSC84_RS00940,438,553,489,371,392,358,446,369,309
SSUSC84_RS02275,3090,4687,3724,2230,2575,2532,5047,5364,4441
SSUSC84_RS09270,95,141,134,112,140,123,114,60,67
SSUSC84_RS09280,961,1262,961,236,320,324,2031,1896,1482
SSUSC84_RS08935,368,549,409,324,304,279,701,654,509
SSUSC84_RS04205,134,182,160,135,165,142,220,164,155
SSUSC84_RS02425,4210,6647,4917,1937,2495,2240,8685,8861,6770
SSUSC84_RS09190,579,765,872,686,701,724,2479,1582,2473
SSUSC84_RS08150,2277,3084,2331,1853,2002,1749,2594,3130,2008
SSUSC84_RS10170,5928,8183,7234,6960,7277,6494,6685,5683,4309
SSUSC84_RS03030,4337,4560,9654,7340,11702,12578,8801,10039,13135
SSUSC84_RS04110,312,590,564,419,557,516,543,587,575
SSUSC84_RS03155,476,631,679,2191,2324,1929,646,526,464
SSUSC84_RS08740,984,1351,1079,1105,1227,910,1178,1197,943
SSUSC84_RS05145,3891,5686,4457,2558,2744,2506,5815,5390,5015
SSUSC84_RS09060,299,546,440,279,449,429,798,661,735
SSUSC84_RS01780,449,797,694,424,523,422,587,444,424
SSUSC84_RS03630,3421,4959,4453,4827,6028,5701,5130,4609,4373
SSUSC84_RS07920,831,1247,1199,1258,1294,1303,1142,1077,890
SSUSC84_RS05065,474,659,494,588,640,525,484,429,346
SSUSC84_RS07510,391,449,374,318,389,337,574,425,365
SSUSC84_RS03785,375,592,521,1203,694,746,495,466,343
SSUSC84_RS03040,1207,2238,2047,352,717,1009,7381,6695,9841
SSUSC84_RS07855,618,809,802,488,651,486,1757,1063,899
SSUSC84_RS00245,38,54,21,12,20,20,64,28,29
SSUSC84_RS06555,186,277,277,263,297,308,234,239,170
SSUSC84_RS00055,0,0,0,0,0,0,0,0,0
SSUSC84_RS02810,5357,8696,9170,6047,7268,6801,6775,4721,4801
SSUSC84_RS03245,124,206,136,96,113,118,151,181,124
SSUSC84_RS03825,477,757,1063,3037,4084,4319,311,330,301
SSUSC84_RS08475,6208,8445,7650,8229,11746,9545,11216,7288,4774
SSUSC84_RS08205,949,1271,1056,912,1117,802,1068,604,559
SSUSC84_RS09700,7644,11186,11346,20761,23477,21031,3656,4805,3058
SSUSC84_RS07775,3668,5469,4472,2772,3037,3047,5243,4977,4164
SSUSC84_RS02490,1979,2091,2433,3141,2962,2838,998,918,777
SSUSC84_RS05440,4,3,7,15,11,21,2,3,3
SSUSC84_RS03895,629,759,572,284,288,185,1532,1548,1005
SSUSC84_RS05140,4265,6162,4840,2906,2832,2638,6959,5977,5536
SSUSC84_RS05355,54,83,85,90,100,76,78,62,55
SSUSC84_RS10585,1,2,1,0,1,0,0,0,0
SSUSC84_RS08165,1252,1750,1508,897,974,880,1851,1620,1423
SSUSC84_RS01625,20,54,36,10,22,13,35,58,31
SSUSC84_RS04545,22,53,46,41,52,47,40,27,23
SSUSC84_RS01325,287,456,351,155,143,165,639,538,470
SSUSC84_RS05415,1461,2177,2026,1470,1721,1420,1904,1681,1486
SSUSC84_RS07905,1385,2039,1826,1205,1404,1234,1738,1341,1158
SSUSC84_RS09725,15,18,18,19,10,11,42,38,31
SSUSC84_RS07010,98,129,120,289,275,246,97,84,105
SSUSC84_RS02400,6381,10299,9384,6410,7394,6527,8492,8671,6705
SSUSC84_RS05240,910,1286,1045,965,1004,960,1091,833,806
SSUSC84_RS10510,1,3,2,4,3,2,3,1,1
SSUSC84_RS10565,33,40,47,36,34,27,82,94,68
SSUSC84_RS09835,3741,5021,3577,1604,1981,1723,8613,7435,6439
SSUSC84_RS03130,174,198,174,220,206,177,132,108,92
SSUSC84_RS09650,699,864,844,1158,1259,945,748,648,514
SSUSC84_RS07730,1851,2409,2107,3098,2865,2504,1496,1442,1157
SSUSC84_RS10320,16,18,10,24,23,25,11,11,15
SSUSC84_RS00975,122,192,158,98,100,92,218,185,169
SSUSC84_RS09915,1405,1876,1514,1012,1076,1049,2579,2475,1824
SSUSC84_RS03555,17,29,54,13,21,16,39,25,17
SSUSC84_RS04820,160,271,242,310,179,178,346,270,209
SSUSC84_RS00730,187,249,211,201,194,197,362,166,167
SSUSC84_RS09670,1,3,1,1,0,3,0,1,2
SSUSC84_RS02135,0,0,0,0,0,0,0,0,0
SSUSC84_RS03885,554,987,797,979,1243,1164,421,561,350
SSUSC84_RS00675,3,25,12,16,13,14,3,3,6
SSUSC84_RS03995,14,28,32,11,22,15,35,18,28
SSUSC84_RS00115,0,0,0,0,0,0,0,0,0
SSUSC84_RS06610,13,11,9,21,17,23,11,6,5
SSUSC84_RS07675,180,270,279,136,134,144,257,110,88
SSUSC84_RS07550,657,953,687,286,345,337,1270,1393,1150
SSUSC84_RS08000,54,57,45,65,54,46,58,73,47
SSUSC84_RS10225,108,190,109,160,177,177,93,128,74
SSUSC84_RS07900,485,701,685,503,489,464,642,474,437
SSUSC84_RS10085,105,152,131,151,129,137,107,127,119
SSUSC84_RS05100,1570,2140,1508,319,434,378,4883,5261,3794
SSUSC84_RS10595,114,176,140,101,70,69,294,267,280
SSUSC84_RS04075,308,386,463,682,599,615,200,179,179
SSUSC84_RS01525,216,364,653,348,524,723,215,253,228
SSUSC84_RS04825,30,42,51,75,45,27,50,42,45
SSUSC84_RS08865,3,4,2,5,2,8,4,4,4
SSUSC84_RS10420,5,5,3,5,2,3,12,8,8
SSUSC84_RS07680,100,93,93,43,42,25,74,58,43
SSUSC84_RS01975,3665,4941,4294,625,614,583,3368,3289,2713
SSUSC84_RS02980,5287,6735,5522,3676,4041,3578,9658,6970,6665
SSUSC84_RS07120,6,8,19,12,16,4,9,5,5
SSUSC84_RS10015,450,770,529,509,697,553,900,721,638
SSUSC84_RS03350,2309,3230,2945,1879,2344,2248,3904,3235,2739
SSUSC84_RS05505,305,387,390,285,329,284,412,397,270
SSUSC84_RS02035,939,1357,959,552,520,409,1366,1534,1117
SSUSC84_RS02785,11614,18236,16784,12839,14838,13021,14721,13491,12336
SSUSC84_RS03445,46,89,149,71,94,121,112,120,108
SSUSC84_RS01745,499,718,575,337,400,420,914,671,496
SSUSC84_RS00655,0,0,0,0,0,0,0,0,0
SSUSC84_RS09335,1011,1407,1254,1126,1324,1222,1063,1156,867
SSUSC84_RS00350,656,851,738,796,906,808,592,610,504
SSUSC84_RS01810,83,178,176,101,139,153,270,235,304
SSUSC84_RS08780,18278,27684,21428,4988,5432,5132,16599,17924,14181
SSUSC84_RS07985,561,693,530,747,826,628,552,480,351
SSUSC84_RS08905,3414,5038,4085,6078,6088,4368,3819,2354,2230
SSUSC84_RS01725,0,0,0,0,0,0,0,0,0
SSUSC84_RS01870,616,935,892,487,558,531,835,504,509
SSUSC84_RS09625,11093,13763,12472,17510,17248,15511,8167,8552,6906
SSUSC84_RS08420,173,210,178,151,254,237,221,215,165
SSUSC84_RS04065,2945,3843,3524,3030,3385,3098,2931,2707,2357
SSUSC84_RS00035,211,274,222,310,329,315,170,177,119
SSUSC84_RS04000,3906,5207,3890,2716,2661,2559,5708,5609,3959
SSUSC84_RS03980,481,597,782,643,926,830,630,775,611
SSUSC84_RS07740,0,1,0,2,1,3,2,0,4
SSUSC84_RS05745,52,47,41,21,21,20,105,70,110
SSUSC84_RS06680,94,143,82,130,163,106,74,30,28
SSUSC84_RS07255,353,578,514,401,369,345,593,515,481
SSUSC84_RS05420,7791,10954,8909,6721,7222,7031,9456,8838,7431
SSUSC84_RS03265,136,193,142,344,217,199,158,168,147
SSUSC84_RS04350,3,6,8,1,4,3,5,1,0
SSUSC84_RS03185,955,1398,1090,1003,1172,1043,2546,2869,2233
SSUSC84_RS02800,10259,16247,15912,12021,13045,12056,12166,9987,9052
SSUSC84_RS00125,0,0,0,0,0,0,0,0,0
SSUSC84_RS09445,332,500,467,305,359,313,599,474,454
SSUSC84_RS10030,245,420,400,369,502,425,408,364,364
SSUSC84_RS06990,126,216,158,167,194,164,97,147,107
SSUSC84_RS00950,1146,1651,1311,1070,1134,1065,1315,1135,792
SSUSC84_RS00725,1037,1403,1334,1493,1739,1485,1391,1167,1044
SSUSC84_RS00875,699,957,1194,1917,2521,2024,404,361,337
SSUSC84_RS00015,151,207,172,189,244,183,211,158,153
SSUSC84_RS06865,48,77,74,58,55,67,56,34,35
SSUSC84_RS09150,6388,7969,6781,6370,6705,6175,5886,5911,4546
SSUSC84_RS06135,3553,4794,3839,3010,3100,2744,6177,5707,4824
SSUSC84_RS02340,7367,12198,11510,5593,6766,6401,8367,8188,7371
SSUSC84_RS02130,0,0,0,0,0,0,0,0,0
SSUSC84_RS04875,3,7,10,8,14,9,6,4,5
SSUSC84_RS02440,154,239,208,378,327,289,89,87,84
SSUSC84_RS09750,8,12,6,8,7,6,11,8,5
SSUSC84_RS08545,162,185,171,159,126,129,346,246,279
SSUSC84_RS07365,299,472,358,358,385,354,408,389,281
SSUSC84_RS00590,0,0,0,0,0,0,0,0,0
SSUSC84_RS00635,0,0,0,0,0,0,0,0,0
SSUSC84_RS09205,1479,2359,2171,1623,1891,1666,1873,1230,1121
SSUSC84_RS04090,308,452,394,300,315,299,591,612,487
SSUSC84_RS05425,6432,9008,7244,5869,6517,5129,7307,6453,5163
SSUSC84_RS04720,1,0,0,0,0,0,0,1,0
SSUSC84_RS07925,174,216,227,247,248,244,170,170,147
SSUSC84_RS00190,49,82,71,243,199,222,34,28,23
SSUSC84_RS01005,2666,3608,4462,5581,6788,6584,3126,2996,2899
SSUSC84_RS10335,3,2,2,4,4,1,3,1,1
SSUSC84_RS08435,28559,37657,27141,17225,21927,21147,51011,55831,43873
SSUSC84_RS07935,724,1054,855,487,513,483,601,610,544
SSUSC84_RS07520,343,554,407,216,305,252,665,651,540
SSUSC84_RS08820,1959,3420,2467,2046,2389,2146,1704,2399,1550
SSUSC84_RS09230,2771,3946,2817,1095,1243,1167,4845,3937,2964
SSUSC84_RS00680,9,3,10,9,14,5,3,5,2
SSUSC84_RS02760,495,641,544,460,524,504,1053,1009,784
SSUSC84_RS06080,990,1321,1280,1306,1273,1216,878,661,669
SSUSC84_RS09040,490,730,693,729,799,766,389,319,291
SSUSC84_RS08225,120,178,160,140,156,154,219,197,168
SSUSC84_RS00400,1981,2294,3226,1922,2540,2326,3601,3326,2882
SSUSC84_RS04300,2009,2723,2600,1986,2287,2182,2323,2591,2252
SSUSC84_RS08810,1633,1961,1678,1341,1423,1107,2275,1931,1514
SSUSC84_RS05985,2638,3501,3610,3348,3827,3266,4271,3363,3112
SSUSC84_RS05220,1974,2824,2497,2020,2031,2069,2620,2905,2445
SSUSC84_RS01630,43,86,47,20,27,13,57,85,67
SSUSC84_RS01260,2511,4242,2920,803,969,863,5418,3353,2875
SSUSC84_RS09380,454,625,580,279,357,308,670,424,379
SSUSC84_RS07780,332,515,385,280,332,271,543,438,385
SSUSC84_RS06290,2063,2640,2940,9569,8738,6487,1327,1276,1092
SSUSC84_RS03720,859,1111,1007,1031,1058,1104,695,616,528
SSUSC84_RS01750,1098,1800,1746,1033,1488,1537,3044,3756,2773
SSUSC84_RS02180,0,0,0,0,0,0,0,0,0
SSUSC84_RS01885,313,464,559,496,622,562,415,369,311
SSUSC84_RS07195,578,731,561,499,617,538,817,739,651
SSUSC84_RS03700,0,0,0,0,0,0,0,0,0
SSUSC84_RS05675,9012,11515,9132,7284,6371,5515,17506,18019,14232
SSUSC84_RS05055,2556,3655,2499,1510,1357,1234,3221,3556,2624
SSUSC84_RS05125,20384,27113,22304,19245,19071,18334,24135,28327,19820
SSUSC84_RS06240,51,91,59,47,41,50,98,94,89
SSUSC84_RS10310,2,2,2,1,3,1,1,0,1
SSUSC84_RS00010,3079,4614,3699,3043,3402,3109,3919,4471,3403
SSUSC84_RS04965,50,73,120,74,103,111,28,25,39
SSUSC84_RS02125,4075,5578,5144,4164,5794,5038,12207,13227,9585
SSUSC84_RS05305,0,1,2,2,1,1,0,1,1
SSUSC84_RS01865,1251,1661,1611,964,1029,1040,1605,1516,1317
SSUSC84_RS00620,0,0,0,0,0,0,0,0,0
SSUSC84_RS01210,846,1072,698,709,779,681,853,790,492
SSUSC84_RS02210,75,95,115,105,134,85,102,95,61
SSUSC84_RS07205,1144,1448,1419,1309,1463,1402,1111,1120,880
SSUSC84_RS09660,1,2,4,5,5,3,1,4,0
SSUSC84_RS06880,80,134,124,279,309,207,107,74,75
SSUSC84_RS01380,2633,3342,2416,4011,3731,2815,1826,1889,1347
SSUSC84_RS09140,69,136,130,285,326,338,53,49,31
SSUSC84_RS05035,1014,1372,1227,878,896,742,1356,1157,997
SSUSC84_RS08785,3313,5559,4035,990,1072,1065,3199,3368,2571
SSUSC84_RS01540,657,949,799,146,205,190,1522,1067,1030
SSUSC84_RS01455,436,625,520,533,668,590,655,513,469
SSUSC84_RS02465,2,3,1,1,6,7,1,7,6
SSUSC84_RS01760,1588,2578,1918,1980,2224,1952,2587,2643,2081
SSUSC84_RS00240,79,100,88,26,29,29,156,75,57
SSUSC84_RS06795,3205,4912,3585,1832,1980,1764,6348,5525,5511
SSUSC84_RS03655,257,356,339,435,474,434,214,177,164
SSUSC84_RS05805,34,55,50,41,50,27,55,40,48
SSUSC84_RS01320,212,301,251,226,226,166,375,360,338
SSUSC84_RS07040,268,357,265,103,109,98,465,644,403
SSUSC84_RS10670,4,3,2,4,8,5,6,5,4
SSUSC84_RS01505,8,19,12,14,16,12,11,9,9
SSUSC84_RS10480,6,10,11,20,9,18,11,20,9
SSUSC84_RS05830,56,126,73,72,91,71,178,157,123
SSUSC84_RS02690,542,775,755,862,1065,1037,717,665,582
SSUSC84_RS09975,1359,2029,1800,1530,1891,1735,1685,1400,1045
SSUSC84_RS09925,77,95,126,496,630,620,60,41,53
SSUSC84_RS07160,0,0,0,0,0,0,0,0,0
SSUSC84_RS03255,910,1304,877,456,423,291,1370,1450,995
SSUSC84_RS01140,28,42,60,38,62,62,23,25,30
SSUSC84_RS02120,7,4,6,7,14,7,1,6,0
SSUSC84_RS00710,117,163,142,159,212,143,156,103,98
SSUSC84_RS03750,1270,1781,1389,1094,1231,1077,1911,1389,1339
SSUSC84_RS05575,2483,3112,3578,4527,4936,4492,1207,999,1054
SSUSC84_RS05620,3159,4588,4000,2397,2666,2402,5215,4595,3657
SSUSC84_RS05905,806,1223,926,746,928,855,1088,1072,823
SSUSC84_RS09025,905,1289,1380,1374,1572,1405,810,540,489
SSUSC84_RS06015,17,19,32,18,18,21,18,20,23
SSUSC84_RS09985,6612,9662,7897,5875,7190,6540,8457,8667,6279
SSUSC84_RS03525,5,9,6,9,11,5,4,4,4
SSUSC84_RS08965,36,56,36,39,38,43,50,47,50
SSUSC84_RS04185,109,144,141,122,116,72,144,90,103
SSUSC84_RS05430,204,336,226,173,186,148,252,283,178
SSUSC84_RS07345,488,622,547,630,707,613,387,414,323
SSUSC84_RS03140,138,181,184,589,656,677,181,178,163
SSUSC84_RS09580,1802,2659,1926,1537,1679,1534,3255,3238,2407
SSUSC84_RS08950,508,812,563,722,738,694,715,696,608
SSUSC84_RS07105,928,1153,993,1146,1192,969,890,733,642
SSUSC84_RS07650,295,594,549,267,333,312,613,343,273
SSUSC84_RS03770,683,943,843,1235,1196,1009,537,538,436
SSUSC84_RS04130,9,16,15,9,16,14,18,17,18
SSUSC84_RS05730,11,15,18,10,10,8,40,13,28
SSUSC84_RS01465,618,848,852,691,970,886,767,541,576
SSUSC84_RS08830,3298,4633,2899,3164,2794,2026,6522,6935,4865
SSUSC84_RS02630,660,980,791,653,695,597,781,627,666
SSUSC84_RS01960,6997,10178,7288,12433,12166,8779,5107,4766,3369
SSUSC84_RS05820,86,128,92,81,99,74,162,147,128
SSUSC84_RS06210,823,1258,1123,767,849,816,1035,800,590
SSUSC84_RS07500,407,565,486,288,359,301,698,564,539
SSUSC84_RS07670,2728,3946,3259,2241,2317,2231,3626,2938,2405
SSUSC84_RS07585,4990,7242,6686,9336,10607,8591,4586,4822,3969
SSUSC84_RS02475,80,130,123,122,129,150,63,71,57
SSUSC84_RS06905,562,789,789,1028,1082,1008,571,333,376
SSUSC84_RS08200,66,104,99,99,104,90,92,65,53
SSUSC84_RS02555,308,368,342,347,397,305,289,221,181
SSUSC84_RS09850,440,581,524,349,499,361,891,692,622
SSUSC84_RS04170,497,574,544,734,586,677,404,289,238
SSUSC84_RS08715,274,411,408,194,252,210,675,644,431
SSUSC84_RS07275,636,939,829,978,1096,952,477,440,332
SSUSC84_RS10600,0,0,0,0,0,0,0,0,0
SSUSC84_RS01000,1248,1756,1981,2599,3169,3172,1373,1305,1253
SSUSC84_RS08245,307,497,473,610,703,678,367,402,334
SSUSC84_RS10005,187,250,290,232,294,250,496,430,377
SSUSC84_RS02300,900,1471,1336,833,1047,983,1412,1034,874
SSUSC84_RS02435,76,123,103,169,145,114,51,62,33
SSUSC84_RS09900,158,232,183,204,181,142,186,178,133
SSUSC84_RS07895,1404,1953,1572,1291,1418,1328,1414,1326,1245
SSUSC84_RS05875,924,1452,1412,902,1139,987,1587,1259,1106
SSUSC84_RS01805,117,168,385,214,438,561,179,147,164
SSUSC84_RS10215,641,829,812,690,677,653,561,480,412
SSUSC84_RS06515,3241,5402,4250,1766,2116,1928,6626,5475,4730
SSUSC84_RS07270,979,1443,1393,1559,1772,1669,701,756,565
SSUSC84_RS05825,2,2,1,2,0,1,0,7,2
SSUSC84_RS01815,287,369,259,231,288,233,466,400,326
SSUSC84_RS01580,420,585,548,477,468,457,324,215,182
SSUSC84_RS01170,88,130,128,98,108,94,106,145,107
SSUSC84_RS06860,243,402,363,280,292,288,568,373,300
SSUSC84_RS09735,3,6,3,1,5,1,8,15,4
SSUSC84_RS00615,0,0,0,0,0,0,0,0,0
SSUSC84_RS00445,1166,1813,2516,5498,6327,4815,532,510,371
SSUSC84_RS07600,4453,5777,4547,1338,1484,1373,6982,7310,5429
SSUSC84_RS06945,0,0,2,0,0,0,0,0,0
SSUSC84_RS03800,264,484,358,347,367,295,376,303,213
SSUSC84_RS04400,0,0,0,0,0,0,0,0,1
SSUSC84_RS09370,1130,1543,1224,717,802,683,2089,1705,1392
SSUSC84_RS07320,16,21,18,35,48,40,15,13,5
SSUSC84_RS05390,121,201,188,138,172,145,248,251,215
SSUSC84_RS10315,1,4,0,2,1,0,0,2,1
SSUSC84_RS01350,475,595,512,499,584,448,894,774,811
SSUSC84_RS03090,222,293,234,646,471,360,122,120,66
SSUSC84_RS03935,1873,2888,2496,2501,2874,2907,3082,2852,2755
SSUSC84_RS05635,3744,5415,4706,3200,3837,3564,6236,4816,3980
SSUSC84_RS07945,305,475,418,166,211,181,93,52,49
SSUSC84_RS04660,12,10,8,8,8,4,4,3,1
SSUSC84_RS08170,2624,3769,3145,1814,2092,1816,3705,3325,2805
SSUSC84_RS04495,136,230,190,110,119,111,242,220,210
SSUSC84_RS09080,355,487,345,1598,652,509,384,404,293
SSUSC84_RS01575,1104,1501,1189,913,1035,916,2163,2018,1563
SSUSC84_RS00955,248,334,334,402,431,328,517,522,382
SSUSC84_RS04250,163,222,176,152,210,215,194,203,159
SSUSC84_RS05480,45,66,67,23,40,41,100,64,64
SSUSC84_RS01420,1044,1477,1726,3634,3610,2636,779,658,518
SSUSC84_RS06995,89,150,133,177,179,139,64,70,61
SSUSC84_RS05020,1,3,3,1,3,6,4,4,6
SSUSC84_RS04430,0,1,0,1,4,1,1,3,0
SSUSC84_RS02500,552,944,809,1084,1400,1053,649,742,465
SSUSC84_RS04255,56,86,77,86,87,104,75,66,44
SSUSC84_RS03795,329,424,372,374,374,294,386,250,261
SSUSC84_RS08755,3778,5910,5501,5389,6343,5873,3624,3852,3308
SSUSC84_RS00535,1528,2536,3532,7974,9512,7970,1362,1352,1192
SSUSC84_RS10135,1767,2536,2041,2289,2525,2185,2168,1663,1439
SSUSC84_RS00210,741,1011,855,698,857,834,804,566,462
SSUSC84_RS07380,112,166,96,80,83,73,150,168,124
SSUSC84_RS02635,384,540,484,396,398,394,444,368,360
SSUSC84_RS01355,147,224,189,180,185,181,349,370,285
SSUSC84_RS05515,4,5,2,2,5,9,4,3,0
SSUSC84_RS00895,23494,28906,28509,61760,61669,60215,20056,20951,17409
SSUSC84_RS06385,3273,4384,3832,3685,4231,3898,3305,3168,2510
SSUSC84_RS02080,480,691,599,778,964,768,725,633,450
SSUSC84_RS07440,188,278,289,236,255,216,280,269,205
SSUSC84_RS00175,0,0,0,0,0,0,0,0,0
SSUSC84_RS06045,4121,5841,6140,6876,6690,6001,4147,3529,3097
SSUSC84_RS03330,985,1123,1248,1284,1448,981,617,474,432
SSUSC84_RS05715,1482,2124,1492,725,869,718,3151,3176,2078
SSUSC84_RS03620,44950,74117,72487,79838,104272,93651,46860,55157,45453
SSUSC84_RS08580,1368,1812,1882,1970,1972,1829,1251,1097,1017
SSUSC84_RS07070,302,445,404,276,397,320,526,373,338
SSUSC84_RS01390,75,113,103,32,35,37,153,174,106
SSUSC84_RS08565,3740,5088,4155,3179,3329,3029,5512,5211,4113
SSUSC84_RS08410,25,26,38,24,25,28,41,34,38
SSUSC84_RS09090,319,478,452,568,647,575,336,278,253
SSUSC84_RS02740,692,1098,1008,812,892,920,834,755,548
SSUSC84_RS07530,585,861,690,249,250,259,790,630,482
SSUSC84_RS07525,361,493,376,154,172,149,438,411,306
SSUSC84_RS04525,86,148,112,116,114,128,138,95,112
SSUSC84_RS06885,231,313,237,234,264,249,367,478,304
SSUSC84_RS01775,372,483,425,627,627,542,293,300,243
SSUSC84_RS02935,1008,1399,971,850,1001,970,1735,1644,1113
SSUSC84_RS07145,0,1,0,0,4,1,4,0,1
SSUSC84_RS05475,84,125,136,54,64,66,156,111,146
SSUSC84_RS09640,14258,19709,13351,5888,6052,5325,22162,23086,17534
SSUSC84_RS05395,111,144,121,91,107,97,162,192,138
SSUSC84_RS02020,999,1379,1019,787,797,583,1951,1928,1327
SSUSC84_RS10080,170,340,294,184,237,230,365,549,441
SSUSC84_RS06125,2039,2757,2103,1669,1694,1637,3310,3030,2557
SSUSC84_RS03705,378,493,473,837,863,738,144,147,113
SSUSC84_RS07490,0,0,0,0,0,0,0,0,0
SSUSC84_RS04315,170,176,185,203,184,203,260,184,152
SSUSC84_RS01695,2278,2628,2641,5592,5276,3835,1599,1757,1182
SSUSC84_RS05645,113,164,108,70,92,93,293,240,202
SSUSC84_RS03680,16,15,25,59,48,36,31,12,14
SSUSC84_RS05845,32,49,50,49,53,74,73,77,39
SSUSC84_RS05105,508,823,536,105,146,122,1094,1277,914
SSUSC84_RS09145,201,272,203,228,231,263,240,270,176
SSUSC84_RS08685,454,668,630,1004,1071,923,556,402,402
SSUSC84_RS10530,1,5,7,2,2,5,3,4,8
SSUSC84_RS10205,282,442,388,308,358,310,265,184,144
SSUSC84_RS01600,867,1228,1029,1024,1004,1051,818,786,716
SSUSC84_RS00120,0,0,0,0,0,0,0,0,0
SSUSC84_RS07450,1470,2147,1679,1730,1792,1622,2147,2028,1643
SSUSC84_RS08450,9690,13331,10563,6912,9748,8558,18753,16754,13756
SSUSC84_RS07060,77688,105419,77777,46371,44397,39879,118650,122289,97592
SSUSC84_RS07965,788,1344,997,139,139,118,2202,2348,2299
SSUSC84_RS04195,124,140,101,115,115,96,148,130,95
SSUSC84_RS03045,349,542,538,73,67,100,2342,1924,2957
SSUSC84_RS03715,0,7,2,5,8,9,4,2,6
SSUSC84_RS00275,229,288,281,269,232,211,328,144,116
SSUSC84_RS10090,386,504,511,449,518,465,439,484,426
SSUSC84_RS03985,833,1222,1141,798,886,770,1202,776,675
SSUSC84_RS01080,2136,3100,2631,2313,2578,2460,2596,2616,2034
SSUSC84_RS09495,209,260,221,154,162,105,381,346,258
SSUSC84_RS09045,3531,4557,3941,4370,4459,3972,3041,2686,2257
SSUSC84_RS07210,758,1077,877,955,991,861,948,862,729
SSUSC84_RS01730,729,1017,938,502,579,507,1502,966,916
SSUSC84_RS10665,43,66,81,158,166,184,61,38,51
SSUSC84_RS04790,152,167,112,184,171,158,189,125,112
SSUSC84_RS03285,125,225,194,209,232,219,116,110,88
SSUSC84_RS03725,1512,2027,1836,2055,2107,2086,1081,1117,793
SSUSC84_RS05760,19,33,43,37,26,22,69,35,60
SSUSC84_RS03840,2042,3213,2288,1790,2006,2065,1848,2445,1516
SSUSC84_RS02450,0,0,1,1,1,2,0,1,1
SSUSC84_RS04435,0,0,1,2,1,1,0,0,0
SSUSC84_RS07350,36,64,38,51,48,54,102,92,64
SSUSC84_RS05655,181,268,236,275,309,308,184,185,175
SSUSC84_RS06710,298,384,259,230,189,196,584,569,426
SSUSC84_RS10440,14,18,12,20,15,23,17,13,14
SSUSC84_RS03590,433,718,612,669,861,819,661,625,532
SSUSC84_RS00315,683,973,883,530,624,569,789,556,465
SSUSC84_RS02065,2822,4017,3354,1881,2161,1980,4054,3584,3188
SSUSC84_RS06100,888,1177,1223,1115,1246,1272,1126,1001,879
SSUSC84_RS05330,3,5,12,0,6,4,15,12,7
SSUSC84_RS02455,0,0,2,2,4,1,1,2,0
SSUSC84_RS00845,227,210,208,146,150,173,212,180,172
SSUSC84_RS01435,9125,15064,13682,2170,2831,3975,9992,11275,13411
