,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS02640,0,0,0,1,0,0,0,0,0
SSUSC84_RS04725,4238,5813,6090,17179,17812,17749,3439,4307,3083
SSUSC84_RS00585,0,0,0,0,0,0,0,0,0
SSUSC84_RS04665,0,0,0,0,0,0,0,0,0
SSUSC84_RS10260,0,0,1,0,2,0,0,0,0
SSUSC84_RS08480,8780,12053,9068,6083,7278,6208,16212,20483,11268
SSUSC84_RS02770,5410,8185,7135,4962,5578,5236,6768,6589,5321
SSUSC84_RS06275,1480,2247,1812,1857,2095,1967,904,1264,904
SSUSC84_RS08025,407,530,536,348,379,319,628,570,513
SSUSC84_RS06890,4,6,8,4,3,4,1,13,2
SSUSC84_RS10195,594,864,811,586,606,617,630,555,458
SSUSC84_RS09505,69,76,86,67,66,52,76,99,66
SSUSC84_RS09965,8,15,18,12,15,11,16,11,12
SSUSC84_RS08160,8674,12632,9099,6632,7052,6482,11492,11528,8975
SSUSC84_RS05755,52,74,64,40,38,42,176,71,114
SSUSC84_RS05980,2155,2759,2210,1769,1859,1634,3026,2718,2112
SSUSC84_RS02985,10257,13488,10609,7835,8412,7959,17362,15176,13636
SSUSC84_RS07335,129,167,145,194,181,147,173,161,155
SSUSC84_RS04750,50,58,75,46,68,38,48,41,30
SSUSC84_RS04465,0,0,3,0,0,3,1,1,1
SSUSC84_RS08240,722,1055,698,347,369,326,1487,1364,1068
SSUSC84_RS02185,0,0,0,0,0,0,0,0,0
SSUSC84_RS00365,1837,2466,2074,1158,1279,1277,2398,2078,1651
SSUSC84_RS01930,357,464,377,364,366,321,537,505,391
SSUSC84_RS00915,189,231,246,208,275,220,169,126,104
SSUSC84_RS04690,4,3,0,1,0,0,0,1,1
SSUSC84_RS09950,1009,1621,1933,5867,6696,6699,1215,1394,1494
SSUSC84_RS05175,848,1202,1055,1175,1402,901,1914,1592,1426
SSUSC84_RS00650,0,0,0,0,0,0,0,0,0
SSUSC84_RS10425,41,64,54,35,50,33,69,56,40
SSUSC84_RS00325,404,479,503,352,354,329,475,385,324
SSUSC84_RS01100,653,879,758,457,552,539,828,794,633
SSUSC84_RS03315,5307,7414,5140,5813,6298,5093,11565,12427,9356
SSUSC84_RS06790,2712,3944,3004,1513,1616,1482,5257,4915,4742
SSUSC84_RS09170,660,992,1021,1075,1091,1187,1431,999,1073
SSUSC84_RS05195,952,1451,1277,784,866,792,1775,1486,1517
SSUSC84_RS05930,138,254,241,769,965,741,114,109,61
SSUSC84_RS04135,3,2,9,9,11,7,8,6,10
SSUSC84_RS03970,441,719,682,629,791,765,1064,1215,990
SSUSC84_RS01555,1389,1940,1747,339,391,389,1910,1987,1893
SSUSC84_RS03205,615,858,777,646,776,675,677,453,421
SSUSC84_RS04355,12,17,23,25,16,16,14,7,5
SSUSC84_RS08155,876,1258,1150,1125,1115,980,870,651,568
SSUSC84_RS10035,981,1640,1373,1569,1791,1730,1508,1309,1338
SSUSC84_RS01700,0,0,0,0,0,0,0,0,0
SSUSC84_RS03940,650,928,662,601,668,557,807,673,568
SSUSC84_RS02100,676,1030,931,672,728,762,861,803,702
SSUSC84_RS00405,1568,2220,2124,1717,2096,2053,2701,2631,2157
SSUSC84_RS04515,2,1,1,7,2,6,3,1,0
SSUSC84_RS03435,15,11,11,8,5,8,13,4,21
SSUSC84_RS01735,699,973,694,538,567,523,1196,1168,830
SSUSC84_RS02085,605,876,757,1082,1165,959,877,761,547
SSUSC84_RS04450,0,0,0,0,0,0,0,1,0
SSUSC84_RS00465,4543,6396,8822,21439,22354,21686,2241,2571,2112
SSUSC84_RS07665,127,148,118,308,288,239,99,115,55
SSUSC84_RS10460,1567,2362,2126,1339,1688,1660,2586,2059,1631
SSUSC84_RS01925,310,565,492,475,590,534,552,780,619
SSUSC84_RS07155,1,0,0,0,1,0,0,0,0
SSUSC84_RS03485,115,157,93,24,31,13,177,203,148
SSUSC84_RS06470,3068,4084,4025,11120,10255,8751,1369,1237,894
SSUSC84_RS07035,776,1076,902,872,931,927,646,633,447
SSUSC84_RS07325,51,86,95,241,301,271,40,43,38
SSUSC84_RS03010,1813,2585,2218,1023,1190,1091,3741,3165,2852
SSUSC84_RS10270,0,1,0,1,0,1,0,1,1
SSUSC84_RS07340,797,1112,999,907,1097,1033,862,864,668
SSUSC84_RS03635,3031,3984,3158,2502,3245,2256,4148,4174,2995
SSUSC84_RS00330,1000,1390,1517,1158,1289,1100,1021,828,811
SSUSC84_RS00645,0,0,0,0,0,0,0,0,0
SSUSC84_RS08370,2280,3413,2614,3744,3573,3254,3595,3536,3618
SSUSC84_RS06155,528,639,637,550,610,507,712,446,458
SSUSC84_RS02095,2421,3458,3312,3087,3373,3132,2661,2356,1977
SSUSC84_RS02310,2937,4476,4099,4843,5703,5275,3038,2830,2115
SSUSC84_RS03210,772,1015,1074,733,855,930,955,674,550
SSUSC84_RS08285,409,558,604,700,722,655,289,254,249
SSUSC84_RS06010,1258,1850,1995,1520,1964,1654,2431,2063,1874
SSUSC84_RS00385,1575,2147,1761,849,868,803,2377,1823,1587
SSUSC84_RS09705,4260,6278,6093,10769,11915,11163,2287,2941,1901
SSUSC84_RS07315,27,43,34,62,77,58,23,18,15
SSUSC84_RS09430,475,612,592,357,378,349,765,792,647
SSUSC84_RS09855,161,184,207,288,330,302,165,235,172
SSUSC84_RS03665,3194,4360,4607,6022,6015,5485,3337,2534,2132
SSUSC84_RS00270,119,228,169,170,173,151,278,155,132
SSUSC84_RS05570,1511,1968,2337,2889,3175,2862,758,599,591
SSUSC84_RS00095,0,0,0,0,0,0,0,0,0
SSUSC84_RS07540,103,152,124,32,38,40,205,84,79
SSUSC84_RS05595,667,902,767,666,751,739,769,752,655
SSUSC84_RS01650,75,105,77,87,81,75,53,62,45
SSUSC84_RS04535,32,41,42,48,59,40,57,32,25
SSUSC84_RS08035,878,1246,1070,776,904,835,1318,1130,1008
SSUSC84_RS00460,1328,2019,2972,6255,7343,6463,627,641,562
SSUSC84_RS03565,218,344,307,245,277,253,345,193,175
SSUSC84_RS10370,1,5,1,2,0,0,16,8,8
SSUSC84_RS00360,1638,2341,2030,2307,2363,2032,2031,1791,1440
SSUSC84_RS02725,1239,1781,1503,1082,1108,1087,1762,1663,1358
SSUSC84_RS06465,1466,2035,1769,1527,1884,1524,2217,1656,1549
