X,UA159_1count,UA159_2_count,UA159_3_count,X1995_1_count,X1995_2_count,X1995_3_count
SMU_1889c,66,90,113,102,142,129
SMU_188c,5719,7591,8102,7997,8859,9870
SMU_189,1454.3,1380.96,1751.56,1519.83,1634.51,1274.62
SMU_1891c,17,19,22,20,33,21
SMU_1892c,0,1,0,0,1,1
SMU_1893c,59.58,0.49,119.72,27.63,22.62,0
SMU_1894c,117.36,129.16,127.04,113.12,76.98,86.55
SMU_1895c,1295,1270,1249,926,859,1160
SMU_1896c,450,372,476,330,284,344
SMU_1897,204,231,228,251,257,288
SMU_1898,145,181,224,208,192,194
SMU_1899,0,0,0,0,0,0
SMU_1900,64,57,81,63,74,68
SMU_1902c,181,225,281,226,197,203
SMU_1903c,351,436,511,493,415,447
SMU_1904c,19306,14180,20801,16475,13608,11382
SMU_1905c,2588,1460,2332,1998,1555,1300
SMU_1906c,19511,16019,21789,16403,12863,11607
SMU_1907,0,0,0,0,0,0
SMU_1908c,2746,2158,2481,2240,1896,1774
SMU_1909c,26458,17364,25034,19018,14516,12297
SMU_1910c,22454,17434,22579,16943,13031,13029
SMU_1912c,594,948,1057,840,704,909
SMU_1913c,3101,3695,5303,4153,3496,3621
SMU_1914c,5082,2686,3814,3078,2677,2262
SMU_1915,53,38,49,37,36,19
SMU_1916,5450,6655,6785,7031,5416,6923
SMU_1917,3588,3786,4474,3706,2719,3756
SMU_1918,4470,5114,5566,6535,6210,5783
SMU_1919,5883,7010,7685,8554,7893,7876
SMU_191c,2,5,4,29,37,34
SMU_1920,22628,22925,27071,27968,26525,24108
SMU_1921,7612,9183,10203,10065,8972,8980
SMU_1922,8898,10859,10616,9284,7871,7985
SMU_1923c,1987,2400,2671,2127,1961,1954
SMU_1924,11299,16034,15573,16229,17160,16211
SMU_1925c,380,502,545,496,474,517
SMU_1926,304,345,342,360,277,334
SMU_1927,830,763,850,538,519,507
SMU_1928,4358,4576,4973,3320,3085,2850
SMU_1929,15301,17099,19122,18575,19105,16420
SMU_1930,12310,16427,16579,15866,15211,14050
SMU_1931,2088,2455,2544,2699,2680,2556
SMU_1933c,1677,2252,2157,1968,1941,1775
SMU_1934c,6371,7233,7520,6443,6269,5494
SMU_1935c,1319,1605,1585,1296,1305,1098
SMU_1936c,2163,2820,2990,2183,2017,1872
SMU_1937,1707,2291,2335,1597,1755,1450
SMU_1938c,1248,1565,1821,1185,1187,1006
SMU_1939c,3244,3825,3646,2555,2400,1944
SMU_193c,2,2,0,2,1,1
SMU_1940c,3218,4082,4025,2673,2498,2138
SMU_1941,2550,3564,3026,1984,1969,1910
SMU_1942c,5169,7971,6485,4270,4746,4416
SMU_1943,51514,59376,65084,67953,85166,69961
SMU_1945,879,1242,1281,1001,963,984
SMU_1946,1430,1883,2090,1983,1879,1778
SMU_1947,5455,7243,7790,6983,7520,7220
SMU_1948,253,600,440,524,670,631
SMU_1949,10830,12880,13787,12862,12666,10912
SMU_194c,0,0,4,6,1,5
SMU_1950,2417,2103,2272,2229,2041,1830
SMU_1951c,272,371,417,255,240,209
SMU_1954,66187,75038,87664,60874,61698,62608
SMU_1955,1811,2657,2841,1873,1667,2274
SMU_1956c,3621,4813,1323,1701,1479,846
SMU_1957,19144,20344,6131,7308,5943,2997
SMU_1958c,37996,32978,9550,10922,8728,4144
SMU_195c,0,0,1,9,4,6
SMU_1960c,10522,8702,2485,3048,2542,1295
SMU_1961c,7322,5137,1348,1546,1198,684
SMU_1963c,1977,2436,2123,1952,1919,1846
SMU_1964c,982,1266,1146,1083,973,976
SMU_1965c,2500,2353,2497,2382,2277,1936
SMU_1966c,1227,1515,1458,1417,1385,1223
SMU_1967,807,870,770,717,779,715
SMU_1968c,252,268,245,215,183,190
SMU_1969c,134,138,151,117,115,101
SMU_196c,33,46,46,121,129,111
SMU_1970c,2513,2946,2934,2756,3277,3210
SMU_1971c,1491,1660,1676,1592,1806,1750
SMU_1972c,697,805,785,709,881,844
SMU_1973,6269,7913,7471,7959,9792,8490
SMU_1974,7543,8531,8003,8300,9797,8146
SMU_1975c,2214,2953,2684,3101,3172,2735
SMU_1976c,1521,2052,2105,2055,2126,1575
SMU_1977c,1895,2745,2203,2323,2179,2020
SMU_1978,30632,36303,34984,39250,45657,40525
SMU_1979c,2108,2556,2335,2195,2062,1954
SMU_197c,107,112,144,416,388,347
SMU_1980c,20,17,17,11,13,9
SMU_1981c,9,17,19,16,2,12
SMU_1982c,24,31,25,40,15,49
SMU_1983,13,22,21,15,7,12
SMU_1984,34,41,44,32,26,42
SMU_1985,53,77,89,56,28,66
SMU_1987,138,218,188,147,108,131
SMU_1988c,1830,2453,2390,2307,2352,4043
SMU_1989,154965,183653,197880,173926,195297,162938
SMU_198c,155,202,145,417,339,356
SMU_1990,111069,136545,145657,124568,132105,113115
SMU_1991,13030,15361,15547,33681,32231,30427
SMU_1992,12016,13022,13115,8959,9063,7216
SMU_1993,2040,2414,2571,35075,29912,29257
SMU_1994,1304,1612,1753,25386,22825,23930
SMU_1995c,213,294,319,0,0,0
SMU_1996,2153,3152,2918,2866,2702,2724
SMU_1997,86,110,119,111,84,88
SMU_1999c,2220.3,3188.56,2848.56,2807.43,2850.28,2909.99
SMU_199c,0,9,3,11,16,12
SMU_20,1013,1713,1522,1402,1283,1318
SMU_2000,30335,40677,43184,35815,33961,26647
SMU_2001,55921,80248,76021,62082,56180,48116
SMU_2002,18882,20541,21687,17178,16331,12076
SMU_2003,93822,77471,71462,63139,52610,40861
SMU_2003a,9384,9856,8439,6427,5553,5451
SMU_2004,13667,14998,15024,11817,10554,8480
SMU_2005,10483,12606,12490,9889,9672,8432
SMU_2006,41767,65516,62811,55708,57973,49766
SMU_2007,11140,14787,14520,11712,11874,10282
SMU_2008,10942,13913,12895,11074,10832,9232
SMU_2009,43253,45638,44942,39259,37684,28676
SMU_200c,19,16,15,41,25,47
SMU_2010,55468,75200,74112,65737,65065,48018
SMU_2011,27381,37174,35841,28277,26832,22524
SMU_2012,32902,50460,41817,34715,33973,31478
SMU_2014,15358,17060,16750,13824,13699,11197
SMU_2015,35214,46749,45168,36633,35929,27941
SMU_2016,33887,36487,33487,27762,25146,20360
SMU_2017,28260,40002,38628,30944,30248,25051
SMU_2018,15497,18655,16557,13587,12288,11208
SMU_2019,979,1570,1346,1041,988,1059
SMU_201c,16,29,14,66,49,60
SMU_2020,25046,30829,33445,26529,28090,20617
SMU_2021,30500,43514,43902,35881,36384,28318
SMU_2022,14569,17222,15753,13813,13346,11179
SMU_2023c,24658,30949,26840,23057,21844,19213
SMU_2024c,56813,69723,73013,64427,64278,47478
SMU_2025,52373,63473,59000,53089,51979,44405
SMU_2026c,38479,40865,42742,38585,39808,30679
,,NA,NA,NA,NA,NA
neumoniae] >COS93200.1 ribosomal protein S10 [Streptococcus pneumoniae] >CTM68254.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTN06748.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTM88848.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTP49443.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTM90022.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTN01756.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTM93845.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTM68440.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTM74466.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >CTM91778.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >BBA58397.1 30S ribosomal protein S10 [Streptococcus pneumoniae] >VSX21814.1 ribosomal protein S10 [Streptococcus pneumoniae] >VPM25257.1 ribosomal protein S10 [Streptococcus pneumoniae] >VQQ30865.1 ribosomal protein S10 [Streptococcus pneumoniae] >VQK13424.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSP23283.1 ribosomal protein S10 [Streptococcus pneumoniae] >VRC58813.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSR58837.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSD89679.1 ribosomal protein S10 [Streptococcus pneumoniae] >VPF08499.1 ribosomal protein S10 [Streptococcus pneumoniae] >VPJ12955.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSD97101.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSD57609.1 ribosomal protein S10 [Streptococcus pneumoniae] >VOT58474.1 ribosomal protein S10 [Streptococcus pneumoniae] >VMQ42526.1 ribosomal protein S10 [Streptococcus pneumoniae] >VNB40929.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSC88222.1 ribosomal protein S10 [Streptococcus pneumoniae] >VOW84360.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSH71491.1 ribosomal protein S10 [Streptococcus pneumoniae] >VPU00057.1 ribosomal protein S10 [Streptococcus pneumoniae] >VKN25499.1 ribosomal protein S10 [Streptococcus pneumoniae] >VTE19071.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSU23417.1 ribosomal protein S10 [Streptococcus pneumoniae] >VJV18463.1 ribosomal protein S10 [Streptococcus pneumoniae] >VKO50963.1 ribosomal protein S10 [Streptococcus pneumoniae] >VLW58276.1 ribosomal protein S10 [Streptococcus pneumoniae] >VPD67294.1 ribosomal protein S10 [Streptococcus pneumoniae] >VKG62703.1 ribosomal protein S10 [Streptococcus pneumoniae] >VQQ20982.1 ribosomal protein S10 [Streptococcus pneumoniae] >VQI10791.1 ribosomal protein S10 [Streptococcus pneumoniae] >VLK56240.1 ribosomal protein S10 [Streptococcus pneumoniae] >VOP78808.1 ribosomal protein S10 [Streptococcus pneumoniae] >VRQ80720.1 ribosomal protein S10 [Streptococcus pneumoniae] >VTE19605.1 ribosomal protein S10 [Streptococcus pneumoniae] >VNC24667.1 ribosomal protein S10 [Streptococcus pneumoniae] >VIW76372.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSQ80974.1 ribosomal protein S10 [Streptococcus pneumoniae] >VSC19125.1 ribosomal protein S10 [Streptococcus pneumoniae]),sp|C0MBW5|RS10_STRE4(30S ribosomal protein S10 OS=Streptococcus equi subsp. equi (strain 4047) OX=553482 GN=rpsJ PE=3 SV=1),NA,NA,NA,NA,NA
SMU_2027,864,1325,1149,1221,1204,1395
SMU_2028,19353,24644,28688,18318,19868,19123
SMU_2029,22615,27205,27693,27304,31735,30103
SMU_202c,7,14,16,40,31,40
SMU_2030,2813,3464,3408,3048,3494,3127
SMU_2031,37202,44798,44949,42647,46008,37686
SMU_2032,51642,61234,61598,58968,65393,50635
SMU_2033c,7146,9228,8615,7982,7392,6785
SMU_2035,5789,6582,6550,7172,7385,5987
SMU_2036,59568,68743,73654,77962,87435,83257
SMU_2037,9541,9830,7301,9375,9163,6635
SMU_2038,7510,7727,6074,7588,8232,5815
SMU_2040,679,864,766,810,838,712
SMU_2042,16457,19045,19826,19146,18541,17118
SMU_2043c,1901,2438,2597,2364,2320,2110
SMU_2044,16040,19526,20459,18547,17429,18779
SMU_2046c,3460,4467,4462,4467,4488,3860
SMU_2047,45915,58354,56496,65035,78364,64454
SMU_2048,13,22,22,22,25,23
SMU_2049c,4826,5859,6340,6582,7733,6235
SMU_204c,0,0,0,0,0,1
SMU_2050c,6076,5572,6044,6417,7582,5745
SMU_2052c,247,338,309,344,380,326
SMU_2053c,0,0,0,0,5,0
SMU_2054c,952,839,934,942,1085,978
SMU_2055,1950,2148,2420,2219,2525,2465
