,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_1277,4390,5957,6051,4447,5571,5620,4324,7194,5711
SpyM3_1278,2504,3281,3838,2594,2392,3358,3066,3772,5114
SpyM3_1279,5569,7310,6921,4371,5159,5531,6111,11545,8397
SpyM3_1280,11487,15193,13591,8418,10804,11549,12682,24461,17681
SpyM3_1281,1016,1364,1132,1228,1453,1515,747,1418,1108
SpyM3_1282,2043,2471,2210,2266,2730,2755,1346,2229,1435
SpyM3_1283,2876,3590,3239,2663,3104,3610,2453,4254,3198
SpyM3_1284,1466,1843,1796,1819,2235,2362,1140,2083,1905
SpyM3_1285,1513,1904,1867,1402,1587,1681,2024,3843,3206
SpyM3_1286,482,643,583,452,589,531,672,1306,936
SpyM3_1287,960,1444,1349,896,1053,1182,1507,2313,2037
SpyM3_1288,226,300,264,212,225,234,352,489,415
SpyM3_1289,330,359,375,400,396,402,272,435,395
SpyM3_1290,126,149,162,165,160,144,132,206,171
SpyM3_1291,159,208,169,200,171,227,142,217,222
SpyM3_1292,357,520,438,440,465,405,314,568,449
SpyM3_1293,1695,2265,2068,1887,2170,2181,1342,2790,2203
SpyM3_1294,1846,2481,2380,1971,2225,2373,1740,2897,2364
SpyM3_1295,756,1261,1068,887,990,1123,791,1307,1035
SpyM3_1296,951,1309,1308,825,1074,1266,978,1714,1275
SpyM3_1297,3132,4042,4011,2677,3384,3563,2959,5145,4224
SpyM3_1298,3962,4745,4473,3474,3990,4391,4093,6877,5285
SpyM3_1299,1629,2248,2140,1497,1922,1643,1360,2633,2093
SpyM3_1300,3,17,14,14,18,20,3,3,10
SpyM3_1301,314,521,455,951,1041,1381,89,148,100
SpyM3_1302,37,67,107,36,43,41,56,79,98
SpyM3_1303,23,44,40,22,18,14,34,55,46
SpyM3_1304,86,128,82,46,40,64,96,155,117
SpyM3_1305,22,43,50,26,25,27,52,67,65
SpyM3_1306,69,54,86,42,43,44,82,102,97
SpyM3_1307,33,41,50,16,35,22,28,57,42
SpyM3_1308,2,8,2,1,1,2,2,4,0
SpyM3_1309,13,10,13,3,3,4,3,14,15
SpyM3_1310,18,17,16,15,12,6,15,31,21
SpyM3_1311,13,32,22,10,15,12,20,47,36
SpyM3_1312,17,23,23,9,13,11,19,22,25
SpyM3_1313,20,28,24,8,14,9,23,41,32
SpyM3_1314,3,4,3,1,4,1,2,3,4
SpyM3_1315,3,4,5,2,5,1,3,2,1
SpyM3_1316,3,4,5,1,2,8,5,7,8
SpyM3_1317,1,1,4,3,2,0,4,7,5
SpyM3_1318,4,3,4,4,4,7,4,7,11
SpyM3_1319,2,5,2,0,4,2,4,3,7
SpyM3_1320,3,1,2,0,3,1,1,4,0
SpyM3_1321,1,4,3,1,2,4,4,5,5
SpyM3_1322,12,13,12,6,10,10,12,17,10
SpyM3_1323,4,9,9,1,4,5,6,8,7
SpyM3_1324,1,1,5,1,6,2,6,1,6
SpyM3_1325,9,8,15,8,5,11,8,35,18
SpyM3_1326,28,24,34,14,15,26,10,35,31
