,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_0001,10557,12628,13000,11848,14444,16185,8874,14121,12028
SpyM3_0002,11343,13981,13335,12952,14830,17440,9910,16521,12779
SpyM3_0003,271,334,365,265,296,341,245,376,315
SpyM3_0004,20132,28103,25571,20654,24105,27821,22195,37637,32296
SpyM3_0005,1060,1591,1421,1098,1223,1514,1073,1886,1473
SpyM3_0006,9496,13522,12654,10058,12026,13964,10320,14770,14008
SpyM3_0007,1368,1666,1664,1547,1607,1802,1189,1799,1396
SpyM3_0008,1463,2052,1836,1499,1707,2202,1361,2187,1459
SpyM3_0009,8603,11074,10985,9554,10990,12342,7943,11963,9663
SpyM3_0010,9180,13020,11787,29796,32189,39240,7056,11094,9244
SpyM3_0011,11958,16220,16493,45255,47670,51113,9151,15188,12226
SpyM3_0012,69185,95226,85654,259582,292220,319978,49896,90241,70947
SpyM3_0013,8198,10131,10060,7031,7941,8842,9004,15423,12883
SpyM3_0014,39658,48012,48446,28979,39543,36963,32216,61874,48275
SpyM3_0015,10634,13349,11776,15102,16731,19104,9906,18442,14412
SpyM3_0016,1042,1376,1280,1652,1764,2302,732,1112,960
SpyM3_0017,11400,16133,15106,15625,16979,19520,8533,14935,13876
SpyM3_0018,527,705,557,733,812,904,356,647,399
SpyM3_0019,969,1324,1426,335,576,641,1564,2423,2704
SpyM3_0020,2362,3560,3267,791,1462,1577,4175,7247,6974
SpyM3_0021,2566,3678,3680,1032,1489,1751,4257,6801,7373
SpyM3_0022,1609,2272,2525,619,1015,901,2537,4089,4522
SpyM3_0023,521,630,780,201,324,382,949,1413,2007
SpyM3_0024,1590,1949,2134,650,987,1027,2498,4733,5357
SpyM3_0025,285,348,452,115,186,226,479,769,874
SpyM3_0026,3281,4150,4561,791,1186,1335,5293,8222,9537
SpyM3_0027,1252,1809,1751,296,510,560,2169,3412,3728
SpyM3_0028,1985,2860,3121,596,893,922,3417,5854,6806
SpyM3_0029,7394,10944,11090,4379,5131,5675,10734,16111,15913
SpyM3_0030,9503,13456,13412,6089,7981,8831,12779,21289,20226
SpyM3_0031,1068,1569,1407,507,717,905,969,1668,1557
SpyM3_0032,13401,18026,18392,12141,13265,14661,11954,20752,17976
SpyM3_0033,1730,2117,2148,1523,1716,1822,1810,3093,2746
SpyM3_0034,3880,5361,5457,3428,3690,4276,3859,6683,6062
SpyM3_0035,13210,17231,17774,12139,13518,16202,14283,25028,20744
SpyM3_0036,4259,6090,5422,9394,15710,15920,6652,9643,11536
SpyM3_0037,2410,4127,3219,5295,5984,5394,3716,5026,5555
SpyM3_0038,2127,2707,2526,1611,2080,1859,1445,2566,2150
SpyM3_0060,218009,332889,318862,216116,282945,271127,237360,403300,260027
SpyM3_0061,26669,38351,35814,24223,30642,33096,27677,47991,38828
SpyM3_0062,38401,44188,44541,32552,35540,40766,39497,53330,43092
SpyM3_0066,245768,284250,308691,220620,256533,278795,245473,433032,346221
SpyM3_0068,337,516,407,267,227,183,287,546,628
SpyM3_0069,2367,3206,3186,1833,2199,2224,2049,3727,2990
SpyM3_0070,6674,8330,9418,5191,5768,6370,6600,10470,9510
SpyM3_0071,4397,5326,6074,3784,4033,4042,3924,7659,6645
SpyM3_0072,5195,7982,8078,3677,5177,6250,6726,9541,7691
SpyM3_0073,17910,24728,23065,13834,18809,20319,20215,35133,29003
SpyM3_0074,17462,21283,20857,23282,26259,27153,11792,21070,17388
SpyM3_0075,61061,81110,79274,59909,79022,77957,54718,96581,76561
SpyM3_0076,99952,131320,124700,92287,118701,116817,86545,147426,115303
SpyM3_0077,1885,2361,2633,685,593,608,1525,2271,1658
SpyM3_0078,59,75,86,42,35,52,78,90,116
SpyM3_0079,68,83,102,28,61,56,98,126,167
SpyM3_0080,13,17,22,5,10,15,20,42,26
SpyM3_0081,19,16,18,12,4,18,22,30,30
SpyM3_0082,28,26,27,17,9,16,27,44,33
SpyM3_0083,17,23,28,9,14,14,25,47,33
SpyM3_0084,28,49,47,23,22,27,23,53,48
SpyM3_0085,8557,10596,11789,6859,7839,8595,8287,14382,11444
SpyM3_0086,19432,28576,28244,25384,27261,29688,21187,34983,32045
SpyM3_0087,115,137,138,147,146,169,92,173,128
SpyM3_0088,3217,4431,3861,3297,4207,4193,2926,4609,3847
SpyM3_0089,4943,7021,6077,4910,5995,5067,4401,6948,6347
SpyM3_0090,1724,2728,2519,2046,2399,2524,1626,3563,2637
SpyM3_0091,2462,3631,3104,2251,2546,3280,2477,4471,3348
SpyM3_0092,4436,6049,5376,4481,4933,5883,4230,7620,5908
SpyM3_0093,69,98,91,64,73,95,87,170,147
SpyM3_0094,6291,6933,8257,5608,6722,7125,4690,8740,7361
SpyM3_0095,7967,8767,10483,7405,8019,9213,6232,10691,9446
SpyM3_0096,4374,5508,5623,4055,4815,5346,3333,7164,5080
SpyM3_0097,1058,1458,1567,965,1149,1338,1382,2232,1919
SpyM3_0098,3452,4372,3777,1563,1987,2046,12319,25505,16589
SpyM3_0099,919,1079,1105,523,529,557,3103,5770,4413
SpyM3_0100,1309,1793,1577,685,816,851,4737,9570,5853
SpyM3_0101,1267,1477,1439,630,694,841,3165,6737,4673
SpyM3_0102,852,983,916,511,546,602,1885,4286,2842
SpyM3_0103,3443,4149,5249,2187,2322,2462,3457,5284,4416
SpyM3_0104,114761,175267,160322,104725,126611,140339,127882,205991,160586
SpyM3_0105,1690,2682,2398,8461,7215,9796,452,688,625
SpyM3_0106,290,514,480,315,416,476,461,549,487
SpyM3_0107,136,253,222,198,231,255,207,259,260
SpyM3_0108,133,181,218,126,168,206,143,206,209
SpyM3_0109,50,92,122,70,77,137,65,123,108
SpyM3_0110,104,121,144,129,159,196,91,172,147
SpyM3_0111,4095,5617,5843,4717,6113,7263,4311,6232,5776
SpyM3_0112,1167,2708,2035,2652,3222,4487,1427,1646,1808
SpyM3_0113,2231,4320,3366,4685,6566,7554,2066,2583,2721
SpyM3_0114,56,166,134,154,149,235,98,79,77
SpyM3_0115,552,1136,925,1148,1338,1641,719,895,858
SpyM3_0116,111,214,182,204,267,285,135,183,155
SpyM3_0117,117,172,168,186,232,229,106,153,129
SpyM3_0118,357,629,535,648,754,893,403,581,508
SpyM3_0119,70,118,91,141,129,138,63,108,97
SpyM3_0120,816,1115,1037,1353,1263,1434,658,1111,1019
SpyM3_0121,791,1140,1024,1356,1360,1538,723,1147,1013
SpyM3_0122,370,448,434,557,541,625,313,483,395
SpyM3_0123,3712,5198,5111,5348,7371,8592,3221,5690,4174
SpyM3_0124,3215,4450,4788,4723,5714,7006,3147,4541,3974
SpyM3_0125,11135,13345,12335,18363,21257,21773,7457,13074,11110
SpyM3_0126,15266,21706,20360,20779,22871,24253,12473,18922,18652
SpyM3_0127,4950,7303,6349,5095,6187,6609,5342,8486,7515
SpyM3_0128,51964,75374,65619,49279,54249,61169,21299,30708,25440
SpyM3_0129,16993,25194,21488,15764,17649,19489,7075,10368,7266
SpyM3_0130,105226,157910,137206,98391,108856,126096,45548,59280,48870
SpyM3_0131,215,591,492,1053,1248,1905,35,62,54
SpyM3_0132,436,865,567,2862,2401,3398,28,50,26
SpyM3_0133,1549,1802,1686,701,871,841,5017,9952,7704
SpyM3_0134,24871,32595,31354,21692,27812,30834,24921,43193,36271
SpyM3_0135,146,182,202,74,131,151,167,299,226
SpyM3_0136,13,15,15,1,12,7,13,15,26
SpyM3_0137,11,15,12,6,7,15,13,23,20
SpyM3_0138,37,37,53,17,24,33,43,53,59
SpyM3_0139,53,82,83,44,29,40,88,127,107
SpyM3_0140,63,94,66,25,39,56,75,143,116
SpyM3_0141,4596,6239,5929,2952,3571,4172,5131,8817,6440
SpyM3_0142,501,623,589,354,422,420,569,1008,917
SpyM3_0143,16200,18704,24394,8645,11288,11223,9429,17876,15370
SpyM3_0144,28705,31348,38494,15700,21849,20025,15975,30941,26762
SpyM3_0145,18153,23877,23151,26606,32596,36120,10671,20993,15322
SpyM3_0146,5560,6499,6136,6191,6846,8313,4166,7461,5846
SpyM3_0147,5801,7784,7214,7477,8893,9803,4304,7923,6354
SpyM3_0148,2713,3211,3258,2647,3079,3445,2475,4757,3788
SpyM3_0149,12373,15288,13633,9653,12465,13243,14047,25569,19605
SpyM3_0150,334,407,384,158,202,221,374,629,532
SpyM3_0151,664,965,926,384,492,507,770,1365,1191
SpyM3_0152,6112,7243,8188,8056,9419,11434,4793,8118,7312
SpyM3_0153,3211,3999,4616,4169,5172,5785,2393,4241,3599
SpyM3_0154,1654,2324,2176,2505,2590,3076,1225,1730,1532
SpyM3_0155,1851,2654,2833,1647,1765,2027,1710,2556,2229
SpyM3_0156,47142,67800,59914,39968,52006,58571,55986,96184,75047
SpyM3_0157,4447,6656,6754,5896,6954,8543,3604,5001,4675
SpyM3_0158,222,298,282,355,357,372,133,252,227
SpyM3_0159,1949,2751,2492,1933,2181,2034,1797,3062,2728
SpyM3_0160,15461,20615,20522,23621,28998,33431,10968,17558,14747
SpyM3_0161,10554,12981,13464,15797,19040,20891,7055,11634,9842
SpyM3_0162,1444,1736,1963,563,794,751,1521,2554,1726
SpyM3_0163,4848,5214,5614,2214,2748,3005,4510,8832,5988
SpyM3_0164,3852,3481,3800,1749,2038,2178,2908,6932,4443
SpyM3_0165,1677,2454,2413,1801,2186,2560,1680,2963,2547
SpyM3_0166,2899,4202,3615,3091,3321,3579,2263,4311,4181
SpyM3_0167,6749,8899,8326,6864,8368,8490,5244,9148,8378
SpyM3_0168,2528,3283,3275,2353,2923,2628,1594,3037,2726
SpyM3_0169,3320,4659,4313,3636,5184,5512,3299,5688,3664
SpyM3_0170,25102,34330,31237,29351,37572,42238,23306,39766,30046
SpyM3_0171,3393,4463,4384,3093,3737,4107,3526,6128,4693
SpyM3_0172,944,1220,1149,928,1112,1183,985,1765,1296
SpyM3_0173,1680,2340,2113,1517,1844,2026,1719,2984,2168
SpyM3_0174,2464,3247,3451,2144,2682,2790,2399,3908,3402
SpyM3_0175,3460,4586,4356,3175,3554,3736,2899,6264,4447
SpyM3_0176,12816,15876,17054,12302,13958,15354,11971,20762,20147
SpyM3_0177,11644,15014,15184,11442,13434,14767,10383,18055,15288
SpyM3_0179,63,88,91,79,76,75,92,118,133
SpyM3_0180,134,181,205,123,158,165,150,238,257
SpyM3_0181,5,17,13,8,7,9,7,8,8
SpyM3_0182,142,187,209,145,168,168,173,278,260
SpyM3_0183,117,160,217,145,163,174,144,261,244
SpyM3_0184,161,281,291,208,247,282,211,353,282
SpyM3_0185,232,297,354,291,306,356,231,441,390
SpyM3_0186,241,317,346,262,354,389,262,459,385
SpyM3_0187,1205,1520,1632,1129,1320,1462,1190,2152,2018
SpyM3_0188,3363,3983,4149,3440,3821,4067,2897,5097,4820
SpyM3_0189,3876,4776,4879,3763,3791,4182,3613,6098,5586
SpyM3_0190,3513,4392,4280,3305,3865,4157,3367,6355,4873
SpyM3_0192,3370,4631,4431,4732,5623,6398,2795,4949,4000
SpyM3_0193,2839,4218,4093,4083,4710,5630,2333,4040,3413
SpyM3_0194,6165,8687,9280,8901,10368,12720,5296,8694,8070
SpyM3_0195,4685,6417,6315,6800,8195,9309,3710,6611,5770
SpyM3_0196,13548,18120,15260,13571,14802,15817,11831,20478,16063
SpyM3_0197,105074,145283,137751,117011,138871,156708,97464,162295,132204
SpyM3_0201,150453,188222,172222,174371,240805,249195,133149,234857,177495
SpyM3_0202,6947,10106,9402,5970,7278,7787,7081,11725,10109
SpyM3_0203,8993,11206,10401,7872,9307,10051,8444,14815,12116
SpyM3_0204,7190,10383,9225,7963,10363,9326,5049,8537,6829
SpyM3_0205,2626,3535,3228,3082,3876,2843,1609,2917,2329
SpyM3_0206,7889,11481,11096,8685,10663,12955,6801,11828,9875
SpyM3_0207,7719,10406,9560,9202,10876,11636,6068,11936,9405
SpyM3_0208,5570,7454,7661,4934,5785,6755,4156,7057,5272
SpyM3_0209,8874,10375,11313,8923,10386,10772,5679,11046,8656
SpyM3_0210,9335,10825,12001,9532,10661,12450,5614,13437,10116
SpyM3_0211,7534,7423,8504,7486,7819,8504,4416,8654,7801
SpyM3_0212,11187,10743,11411,11440,12407,13468,5943,14252,11447
SpyM3_0213,11732,16311,14035,7906,10266,11860,8410,13846,10499
SpyM3_0214,1691,2176,2270,2572,2854,2996,1273,2022,1640
SpyM3_0215,49851,67320,63219,49309,60018,63304,47829,83551,69938
SpyM3_0216,12590,16114,14820,11604,14501,15053,11048,19626,15600
SpyM3_0217,10220,14489,14016,10085,12824,12279,9351,16320,12698
SpyM3_0218,13256,18728,18223,13035,16357,18221,12471,23526,18258
SpyM3_0219,14654,18774,18051,14146,17388,18517,13615,23051,17484
SpyM3_0220,31,29,46,4,16,39,15,32,62
SpyM3_1640,32,24,37,6,29,46,17,29,50
SpyM3_0221,0,0,3,6,0,0,0,0,0
SpyM3_0222,264,364,372,194,172,198,304,474,366
SpyM3_0223,7121,8850,9255,9375,10030,10776,5231,9468,8825
SpyM3_0225,3587,4296,4563,4602,4581,5514,2788,4490,3692
SpyM3_0226,5973,7275,7350,7803,8731,8906,4374,7794,6402
SpyM3_0227,6114,7656,7830,7955,9311,9606,4537,7186,6396
SpyM3_0228,1461,1899,1793,2216,2224,2239,1114,1837,1647
SpyM3_0229,2338,2689,2479,3023,3274,3319,1548,2595,2486
SpyM3_0230,3473,4610,4369,4827,5249,6166,2667,4391,4091
SpyM3_0231,16253,22794,19115,21730,25564,28098,12589,20623,17248
SpyM3_0232,25672,31222,34882,16678,18185,18761,24950,41273,36546
SpyM3_0233,2654,3389,3653,2146,2592,2644,2402,3934,3407
SpyM3_0234,3564,4730,4600,2689,3276,3466,3255,5687,4880
SpyM3_0235,2188,2893,2683,1669,2050,1929,1806,3651,2983
SpyM3_0236,8660,9780,11687,3689,4283,4601,11553,23010,16767
SpyM3_0237,14849,18427,19093,6023,7456,8115,11966,23605,19583
SpyM3_0238,4166,5386,5155,5533,6404,6740,3599,5939,5350
SpyM3_0239,6471,8424,7937,8780,10235,10677,5374,9748,8080
SpyM3_0240,2620,3572,3581,2592,3168,3291,2591,5176,3785
SpyM3_0241,14328,19408,18651,14641,19582,22442,11563,21803,13915
SpyM3_0242,21680,28028,26971,22932,29794,32079,16992,30872,24680
SpyM3_0243,9752,14697,15555,10984,12431,14082,6741,10801,9279
SpyM3_0244,23114,28417,25922,17731,20523,22103,20952,40802,29094
SpyM3_0245,10299,13906,13117,9693,11241,13367,10691,18746,15431
SpyM3_0246,3662,4899,4689,3310,3840,4284,3964,6659,5572
SpyM3_0247,7653,9888,9728,6920,7683,8584,8031,12527,11184
SpyM3_0248,6289,8171,7829,5330,6548,7084,6118,11575,8556
SpyM3_0249,17465,24664,22501,15748,19274,21424,17588,32642,27509
SpyM3_0250,10867,14194,14290,12374,14363,16301,8148,14509,12559
SpyM3_0251,14035,19278,18484,14109,16236,19731,14545,23779,19679
SpyM3_0252,21686,30710,29938,22632,27398,31076,22577,36464,29516
SpyM3_0253,2310,3008,3056,2434,3114,3275,2192,3798,2955
SpyM3_0254,31297,43370,42114,31118,37975,41389,29631,49461,42239
SpyM3_0255,5960,8356,7952,5508,6624,7107,6485,10768,8037
SpyM3_0256,12860,15352,16214,39165,47753,46578,10750,17430,15875
SpyM3_0257,1294,1892,1639,1238,1601,1964,1086,2253,1500
SpyM3_0258,2346,3069,2833,1807,2135,2387,2153,4538,3264
SpyM3_0259,8663,11670,11672,5969,6342,7280,11264,16471,15992
SpyM3_0260,6031,7259,6872,4554,5230,5218,6681,12118,9687
SpyM3_0261,2617,5018,4352,3438,3894,5330,2747,5308,5668
SpyM3_0262,3398,4979,4717,3936,4397,5062,3254,5395,4968
SpyM3_0263,6001,8945,8440,7001,9061,9699,5307,9211,8856
SpyM3_0264,2423,3407,3288,2757,3225,3855,2115,3807,3264
SpyM3_0265,3074,4522,4098,3520,4235,4615,2683,4268,3843
SpyM3_0266,2979,3897,3723,3510,3887,4050,2490,3651,3355
SpyM3_0267,5124,7769,7178,6036,6795,7700,4759,7436,6664
SpyM3_0268,3259,4132,4028,3721,4376,4498,2684,4656,4100
SpyM3_0270,1808,2570,2832,2150,2727,2664,1693,2630,2215
SpyM3_0271,4660,5976,6028,4675,5301,5753,4744,8572,6810
SpyM3_0272,661,852,854,407,408,427,924,1495,1267
SpyM3_0273,2859,3596,3310,2555,3003,3314,2548,4637,3810
SpyM3_0274,5274,6702,6947,5072,5673,6083,5454,8664,8030
SpyM3_0275,2670,3749,3319,2638,3050,3241,2708,4867,4083
SpyM3_0276,12511,15855,17281,13034,13616,15711,12214,21586,21013
SpyM3_0277,3570,6403,5943,4851,4631,6138,4706,5457,4963
SpyM3_0278,28837,38024,34785,29491,34776,38901,27690,42182,36132
SpyM3_0279,3367,4186,3998,3655,4649,4800,3019,5470,4863
SpyM3_0280,1968,3015,2781,1453,1737,1968,3200,5117,4208
SpyM3_0281,1560,2184,2023,1203,1508,1572,2301,3814,2924
SpyM3_0282,1956,2813,2405,1254,1723,1760,2993,4692,3496
SpyM3_0283,1272,1572,1640,878,1081,1205,1924,2890,2494
SpyM3_0284,7940,10804,9915,8964,11440,12377,6940,13948,10905
SpyM3_0285,6204,7543,7338,10049,11695,11390,3993,7207,6384
SpyM3_0286,8455,11379,11857,10855,12231,10622,8140,12562,12848
SpyM3_0287,22345,30909,33252,28194,31720,35060,21628,32474,32228
SpyM3_0288,540,634,724,681,856,898,462,685,633
SpyM3_0289,3834,5076,4735,4553,5487,6043,3381,5500,4685
SpyM3_0290,4893,5802,5650,5466,6645,7178,4225,6532,5972
SpyM3_0291,3148,4367,4417,4167,5101,5960,2905,4562,4100
SpyM3_0292,6060,7809,7510,7796,9485,10677,5355,8993,7995
SpyM3_0293,2044,3101,2627,3030,3576,3657,1694,3338,2368
SpyM3_0294,2586,3287,3069,2415,2962,3381,2508,4350,4004
SpyM3_0295,785,1050,1090,666,816,930,795,1264,1068
SpyM3_0296,2513,2952,3118,3332,3762,4235,1419,2754,2125
SpyM3_0297,67,85,88,71,50,61,69,150,102
SpyM3_0298,23834,44011,39793,94433,95754,127479,1640,2204,2184
SpyM3_0299,1277,1519,1571,751,899,998,1726,2955,2867
SpyM3_0300,25646,34050,30516,18396,23050,25363,27946,52362,41120
SpyM3_0301,792,1189,1114,675,981,967,668,930,848
SpyM3_0302,351,507,432,272,386,424,236,360,366
SpyM3_0303,2326,3184,2756,2030,2815,3031,1516,2524,2064
SpyM3_0304,8140,10922,9228,10097,11961,11694,2864,5010,4022
SpyM3_0305,1320,2504,1807,3085,3113,3047,301,476,373
SpyM3_0306,2438,3765,3636,3786,4792,5816,1616,2829,2648
SpyM3_0307,3108,5373,4467,3954,4397,5118,1421,2447,1802
SpyM3_0308,3920,5182,5073,3698,4687,4399,2905,5076,4158
SpyM3_0309,4812,5473,5139,4498,5185,5287,3408,6391,5049
SpyM3_0310,8702,10962,10996,8852,11087,11647,6788,12131,10475
SpyM3_0311,2221,3364,3107,2372,2507,2812,2615,4434,3683
SpyM3_0312,20400,28025,27470,24920,28705,33012,20366,33188,31308
SpyM3_0313,7058,9643,9803,8652,9626,11332,7388,12394,10702
SpyM3_0314,1651,2445,2453,2229,2686,2395,1756,2247,1969
SpyM3_0315,16100,23216,22369,19911,22905,26240,16341,27037,24479
SpyM3_0316,6948,10174,10043,8458,11028,12371,6689,11850,10375
SpyM3_0317,6555,8226,8776,6438,7600,9027,5182,9713,6774
SpyM3_0318,89152,101306,89047,64252,66147,73635,65233,126581,77069
SpyM3_0319,8715,8425,8274,6693,6301,6540,6209,12470,8409
SpyM3_0320,12141,13198,12491,9910,9962,10409,8864,19983,13948
SpyM3_0321,8087,11415,10567,7902,9942,10664,9506,15351,12948
SpyM3_0322,9273,11930,11537,7908,8777,9488,9510,16396,14114
SpyM3_0323,784,920,1145,778,858,730,874,1197,874
SpyM3_0326,12523,15019,15686,13262,14733,15318,11937,19221,17484
SpyM3_0328,5862,7267,7185,5941,7079,7059,5635,8752,7622
SpyM3_0329,2333,3166,3441,2057,2236,2764,2315,3906,3923
SpyM3_0330,1105,1436,1584,928,1076,1240,1055,1750,1322
SpyM3_0331,29187,39566,42692,29413,39239,42123,16343,27936,24029
SpyM3_0332,11337,14107,12991,14006,20723,21081,6700,12312,9126
SpyM3_0333,5247,6584,6572,8039,9420,10613,3562,6044,5500
SpyM3_0334,1537,1850,1956,2553,3382,3349,1025,1959,1594
SpyM3_0335,7448,9987,9530,8918,10345,11989,5939,10637,8465
SpyM3_0336,2168,2840,2806,2413,3403,3443,1591,3043,2305
SpyM3_0337,11674,15125,15207,12911,15569,17611,9298,16868,13022
SpyM3_0338,4987,5347,5712,5719,6766,6692,3637,6253,5373
SpyM3_0339,176,271,299,224,244,298,191,340,338
SpyM3_0340,332,476,448,393,497,419,355,403,350
SpyM3_0341,3,6,2,4,5,5,0,5,0
SpyM3_0342,90,85,92,83,93,99,63,128,119
SpyM3_0343,511,697,658,584,741,895,470,743,561
SpyM3_0344,242,333,240,246,363,420,204,396,238
SpyM3_0345,27,28,30,20,37,35,20,49,20
SpyM3_0346,989,1452,1243,1251,1610,1131,597,899,729
SpyM3_0347,1880,2651,2555,2523,3242,3178,1211,1979,1758
SpyM3_0348,1475,2100,1967,2135,2729,2881,908,1679,1293
SpyM3_0349,8893,11626,10599,12203,16181,17591,5992,11518,8942
SpyM3_0350,11222,12521,14219,13976,16237,17583,9927,15906,13416
SpyM3_0351,2397,4133,3391,2873,3768,3937,2011,5619,2586
SpyM3_0352,12523,16890,15781,12102,13500,15026,12757,22460,18835
SpyM3_0354,3531,4475,4352,3399,3943,3826,3488,5601,4791
SpyM3_0355,10994,14079,14148,12655,16105,16849,8754,17121,13451
SpyM3_0356,6311,7304,7533,5448,6355,6333,5778,10832,9006
SpyM3_0357,3590,4226,4026,3104,3413,3672,3195,6766,5089
SpyM3_0358,2610,3121,3253,2354,2932,3047,2288,4359,3233
SpyM3_0359,2460,3937,3555,4285,5673,6325,1633,2833,2370
SpyM3_0360,6943,8690,8739,10274,13712,15154,4105,6365,5748
SpyM3_0361,10438,13670,13377,15632,22513,24524,6134,10512,8658
SpyM3_0362,22019,30491,28885,21028,27850,29970,23425,42614,33922
SpyM3_0363,10183,13935,12975,62461,68043,76936,7241,12683,9664
SpyM3_0364,9883,12982,11833,63949,75079,76926,6936,12044,8843
SpyM3_0365,33155,44089,44274,25185,35619,39822,35043,58597,50725
SpyM3_0366,328,517,450,429,427,445,325,490,472
SpyM3_0367,274,433,399,358,377,417,232,440,374
SpyM3_0368,370,419,473,494,519,513,297,523,463
SpyM3_0369,778,985,953,520,729,786,541,970,818
SpyM3_0370,974,1289,1212,667,918,997,704,1166,983
SpyM3_0371,3341,4377,4302,2688,3312,3703,3167,4970,4305
SpyM3_0372,7707,10183,10191,7863,9176,9621,6683,11537,9255
SpyM3_0373,20914,28106,26472,20223,24327,27979,18830,33837,26724
SpyM3_0374,9944,12259,12344,9685,11269,12564,8830,15301,11684
SpyM3_0375,3087,3918,3589,4809,6148,6354,2223,3324,2874
SpyM3_0376,24032,34855,30552,39103,48971,55855,17538,29139,23090
SpyM3_0377,554,720,698,337,368,442,769,1222,1068
SpyM3_0378,142,150,187,126,160,174,128,193,146
SpyM3_0379,203,297,263,227,249,262,205,287,240
SpyM3_0380,239,390,336,258,327,313,217,389,303
SpyM3_0381,408,616,503,382,417,517,394,632,499
SpyM3_0382,856,1071,946,741,803,787,750,1270,975
SpyM3_0383,904,1111,1119,763,779,909,800,1364,1084
SpyM3_0384,590,836,768,566,636,689,614,925,800
SpyM3_0385,940,1325,1236,928,948,1031,937,1521,1171
SpyM3_0386,907,1169,1108,883,1029,1062,933,1475,1239
SpyM3_0387,7,6,6,3,8,10,6,12,10
SpyM3_0388,25,39,31,13,8,31,27,33,37
SpyM3_0389,35,46,60,35,29,51,44,69,56
SpyM3_0390,6,3,5,1,3,2,4,9,8
SpyM3_0392,15,11,14,8,13,10,7,23,16
SpyM3_0391,0,0,0,1,0,2,3,1,2
SpyM3_0393,487,688,597,666,939,1009,495,930,712
SpyM3_0394,906,1358,1355,1316,1994,2383,1077,1922,1515
SpyM3_0395,1,2,2,4,1,3,3,5,1
SpyM3_0396,5,9,8,2,3,9,12,11,8
SpyM3_0397,96,122,138,100,145,159,108,158,111
SpyM3_0398,210,284,277,276,297,350,209,310,249
SpyM3_0399,7027,9614,9345,8331,10804,11896,5700,9776,7517
SpyM3_0400,11785,16293,16089,13398,16810,18127,9076,16073,13957
SpyM3_0401,17315,24245,22048,20948,25219,27635,13589,23719,18517
SpyM3_0402,2028,2632,2775,1414,1766,2034,3525,6743,5199
SpyM3_0403,232,357,363,267,295,330,448,645,754
SpyM3_0404,990,1397,1575,1187,1372,1502,1552,2540,3017
SpyM3_0405,589,853,895,859,1039,1104,851,1551,1568
SpyM3_0406,2591,3098,3489,3902,5035,5589,1296,2512,2212
SpyM3_0407,2188,2538,2791,2950,3797,4035,1088,2035,1630
SpyM3_0408,5940,10016,8877,7068,13682,13538,3506,4498,3266
SpyM3_0409,13517,18042,17443,14410,17639,21017,10835,19983,16215
SpyM3_0410,2740,3847,3286,3212,4032,4438,1995,4321,3016
SpyM3_0411,5092,6933,5916,30888,37526,38896,1187,2413,1917
SpyM3_0412,9983,12947,12490,11020,13157,13917,7895,14479,10399
SpyM3_0413,9160,11663,12293,10402,11524,12477,7533,12963,11968
SpyM3_0414,4736,6070,5849,4846,5696,6369,3564,7072,4938
SpyM3_0415,6662,9147,9434,6973,8074,9019,5396,9533,6732
SpyM3_0416,1405,1587,1458,1415,1656,1793,1211,2082,1526
SpyM3_0417,3992,5033,5213,4503,5362,5562,3723,5935,5399
SpyM3_0418,11129,14895,14839,12347,14747,16490,10593,18346,15669
SpyM3_0419,1278,2396,1935,1624,1928,2421,907,1876,1290
SpyM3_0420,20324,24636,24158,20572,24423,26116,19621,36612,28535
SpyM3_0421,5386,7165,6845,4646,5547,5902,5857,11506,9461
SpyM3_0422,1619,2014,1984,1168,1590,1654,1886,3309,2705
SpyM3_0423,1843,2453,2235,1348,1734,1911,2076,3867,3008
SpyM3_0424,859,1076,1113,819,937,1054,798,1270,1170
SpyM3_0425,3048,4391,4498,3806,4173,5117,3076,5204,3999
SpyM3_0426,1003,1246,1402,1208,1323,1315,659,1179,999
SpyM3_0427,910,1267,1270,984,1020,1142,629,1213,764
SpyM3_0428,5117,7224,7276,8184,10656,12732,3849,6356,5657
SpyM3_0429,9574,11383,11782,15565,18914,20389,6438,10561,9423
SpyM3_0430,13296,15217,14670,13272,16764,17504,8388,15051,12172
SpyM3_0431,9433,12834,11951,10946,13557,13502,7575,13603,11473
SpyM3_0433,42353,57528,53034,53104,68674,75599,34752,60320,48540
SpyM3_0434,9974,12929,12276,11721,15502,17684,7884,14149,10366
SpyM3_0435,12860,16790,15466,14592,18996,21283,10151,17264,13424
SpyM3_0436,7616,10186,9312,8407,10930,12739,5834,11232,8489
SpyM3_0437,165,245,245,267,349,340,117,252,217
SpyM3_0438,6601,8731,9597,9237,11264,13031,5377,8397,7777
SpyM3_0439,1026,1209,1340,1370,1416,1715,938,1590,1377
SpyM3_0440,40234,52828,48630,41815,50038,53963,36125,67432,53132
SpyM3_0441,2774,3852,3748,2336,2959,3327,2796,4433,3781
SpyM3_0442,251,300,276,257,223,267,190,350,301
SpyM3_0443,52,57,53,47,67,71,39,70,65
SpyM3_0444,44,48,39,40,44,52,33,57,62
SpyM3_0445,20,21,15,18,17,22,13,24,25
SpyM3_0446,57,90,69,62,81,60,58,104,74
SpyM3_0447,15,17,17,11,15,13,13,24,27
