,WT,T287A,D53E
HSISS4_01577,14923,10334,20596
HSISS4_01578,13364,8205,7419
HSISS4_01579,66156,49136,30692
HSISS4_01580,14694,8933,12204
HSISS4_01581,5527,2229,1989
HSISS4_01582,3304,340,897
HSISS4_11582,1048,110,37
HSISS4_11583,1633,113,91
HSISS4_11584,332,55,18
HSISS4_01584,728,57,40
HSISS4_01585,1213,203,36
HSISS4_01586,2801,175,175
HSISS4_01587,20502,20285,17002
HSISS4_01588,19051,19358,13530
HSISS4_01589,7822,6168,4753
HSISS4_01590,20924,21984,17184
HSISS4_01591,44389,47253,36255
HSISS4_01592,30962,32105,21966
HSISS4_01593,20210,13349,19027
HSISS4_01594,1479,104,150
HSISS4_01595,34788,36633,34936
HSISS4_01596,39135,38696,40166
HSISS4_01597,64459,72176,60631
HSISS4_01598,5217,2803,3989
HSISS4_01599,24238,26096,17948
HSISS4_01600,20157,19247,24622
HSISS4_01601,3979,3829,6015
HSISS4_01602,3259,559,2194
HSISS4_01603,16711,6169,24698
HSISS4_01604,2766,1319,4275
HSISS4_01605,39957,43619,14601
HSISS4_01606,24691,23742,5326
HSISS4_01607,8642,4452,6273
HSISS4_01608,3279,2341,2476
HSISS4_01609,3780,2454,4780
HSISS4_01610,21186,16671,12402
HSISS4_01611,16389,11122,10828
HSISS4_01612,17823,18179,14718
HSISS4_01613,17305,14387,10126
HSISS4_01614,25637,22629,16825
HSISS4_01615,1817,1324,978
HSISS4_01616,5805,3161,2952
HSISS4_01617,5746,4207,2996
HSISS4_01618,4088,3534,2512
HSISS4_01619,13154,12449,9075
HSISS4_01620,3758,1788,6887
HSISS4_01621,2151,1508,3982
HSISS4_01622,33693,25790,19118
HSISS4_01623,22212,16883,11401
HSISS4_01624,20993,21433,32779
HSISS4_01625,5563,5676,8685
HSISS4_01626,658,542,1005
HSISS4_01627,1381,1246,1358
HSISS4_01628,3380,1676,3426
HSISS4_01629,1065,779,893
HSISS4_01630,831,958,16224
HSISS4_01631,2439,1167,2170
HSISS4_01632,10990,8875,9887
HSISS4_01633,18812,17546,12014
HSISS4_01634,5601,4933,3301
HSISS4_01635,17398,16432,8448
HSISS4_01636,60990,54344,44017
HSISS4_01637,125805,128014,81893
HSISS4_01638,3169,1960,3615
HSISS4_01639,7883,5833,6794
HSISS4_01640,16838,13884,33071
HSISS4_01641,23416,23525,53268
HSISS4_01642,9999,7872,23547
HSISS4_01643,9793,5273,22694
HSISS4_01644,37532,32387,29653
HSISS4_01645,47391,46396,37760
HSISS4_01646,62942,47660,50374
HSISS4_01647,8984,7238,7383
HSISS4_01648,15732,12546,15580
HSISS4_01649,3250,358,392
HSISS4_01650,1666,291,330
HSISS4_01651,2477,308,257
HSISS4_01652,925,70,321
HSISS4_01653,789,68,262
HSISS4_01654,320,106,1338
HSISS4_01655,19014,20415,44774
HSISS4_01656,23420,22670,20800
HSISS4_01657,10475,7966,11244
HSISS4_01658,3440,1407,3851
HSISS4_01659,209697,165305,150894
HSISS4_01660,331865,354777,255967
HSISS4_01661,231366,175138,138252
HSISS4_01662,2917,1681,1841
HSISS4_01663,7004,8772,11556
HSISS4_01664,1675,168,88
HSISS4_01665,4063,146,156
HSISS4_01666,11243,13428,10372
HSISS4_01667,1066,1743,1775
HSISS4_01668,30490,41412,42310
HSISS4_01669,23565,23824,11979
HSISS4_01670,8191,7233,12369
HSISS4_01671,3420,3283,8080
HSISS4_01672,8369,7878,9446
HSISS4_01673,10803,10460,14038
HSISS4_01674,10498,6645,5297
HSISS4_01675,4045,1329,1263
HSISS4_01676,3887,1586,1932
HSISS4_01677,8282,7444,7579
HSISS4_01678,2436,1572,2071
HSISS4_01679,3739,2234,2919
HSISS4_01680,9662,6526,5569
HSISS4_01681,58591,58129,36698
HSISS4_01682,5375,3704,4151
HSISS4_01683,97820,89911,174632
HSISS4_01684,23779,16923,34929
HSISS4_01685,3988,908,3964
HSISS4_01686,227145,205975,104993
HSISS4_01687,3191,980,1891
HSISS4_01688,1265827,1126978,855260
HSISS4_01689,383735,397133,183690
HSISS4_01690,172613,188408,85341
HSISS4_01691,224263,208017,96055
HSISS4_01692,16251,7454,21504
HSISS4_01693,18910,15702,15500
HSISS4_01694,18633,11527,9793
HSISS4_01695,7635,3783,3602
HSISS4_01696,14295,13079,10643
HSISS4_01697,20333,14818,11503
HSISS4_01698,18725,8663,10735
HSISS4_01699,10820,8738,4633
HSISS4_01700,9544,7618,4971
HSISS4_01701,3229,1118,14780
HSISS4_01702,9289,6301,48711
HSISS4_01703,16954,10524,53605
HSISS4_01704,5140,1287,10620
HSISS4_01705,1790,258,2623
HSISS4_01706,25463,20010,37871
HSISS4_01707,80343,88242,52706
HSISS4_01708,1562,674,1629
HSISS4_01709,1500,791,1364
HSISS4_01710,36006,29870,33640
HSISS4_01711,17679,12963,14347
HSISS4_01712,4270,2764,3801
HSISS4_01713,17047,16825,21618
HSISS4_01714,80681,78988,29851
HSISS4_01715,8734,3294,6280
HSISS4_01716,14895,6835,9720
HSISS4_01717,11940,5672,6419
HSISS4_01718,10216,3974,4532
HSISS4_01719,19632,11233,7613
HSISS4_01720,55199,50032,50224
HSISS4_01721,115106,73015,52236
HSISS4_01722,308353,316944,410167
HSISS4_01723,190019,175107,247545
HSISS4_01724,2841,1333,2235
HSISS4_01725,33171,42517,43200
HSISS4_01726,7858,7838,11348
HSISS4_01727,11815,11151,9341
HSISS4_01728,3789,2563,3494
HSISS4_01729,3355,3109,3545
HSISS4_01730,5257,3756,4648
HSISS4_01731,21821,25144,23521
HSISS4_01732,2372,1095,1468
HSISS4_01733,2039,1184,1239
HSISS4_01734,26820,27091,16518
HSISS4_01735,31073,27345,20480
HSISS4_01736,5857,4610,16046
HSISS4_01737,3381,1907,7504
HSISS4_01738,19749,16388,15151
HSISS4_01739,44069,34843,37880
HSISS4_01740,2551,1414,2571
HSISS4_01741,17904,16256,19769
HSISS4_01742,1343,149,116
HSISS4_01743,1563,132,225
HSISS4_01744,1082,105,112
HSISS4_01745,7994,7335,5834
HSISS4_01746,1026,268,186
HSISS4_01747,770,135,176
HSISS4_01748,2562,597,344
HSISS4_01749,16162,13785,11967
HSISS4_01750,6806,1065,4381
HSISS4_01751,5489,4348,3929
HSISS4_01752,3995,3641,4430
HSISS4_01753,4860,3494,4756
HSISS4_01754,5151,4146,5503
HSISS4_01755,7191,5200,9258
HSISS4_01756,1884,285,1138
HSISS4_01757,3329,768,2067
HSISS4_01758,1091,810,585
HSISS4_01759,49752,64330,75956
HSISS4_01760,11113,7940,12481
HSISS4_01761,446,134,183
HSISS4_01762,631,135,93
HSISS4_01763,335,97,50
HSISS4_01764,529,140,90
HSISS4_01765,360,94,79
HSISS4_01766,1350,327,204
HSISS4_01767,4517,676,210
HSISS4_01768,17187,20214,49325
HSISS4_01769,239750,230770,105874
HSISS4_01770,223493,191149,67550
HSISS4_01771,27276,25379,17826
HSISS4_01772,35175,30405,22692
HSISS4_01773,221409,218793,128827
HSISS4_01774,23733,25501,19586
HSISS4_01775,110755,102988,80718
HSISS4_01776,12310,7673,27536
HSISS4_01777,97881,105325,95379
HSISS4_01778,12966,8167,13380
HSISS4_01779,9966,7753,6467
HSISS4_01780,47114,40439,36833
HSISS4_01781,23732,16981,18617
HSISS4_01782,19659,14417,10242
HSISS4_01783,17699,13546,10537
HSISS4_01784,25720,23150,22744
HSISS4_01785,2867,1706,3117
HSISS4_01786,4261,1772,2667
HSISS4_01787,1500,613,1125
HSISS4_01788,13254,11062,12681
HSISS4_01789,21274,15276,15709
HSISS4_01790,3841,803,3743
HSISS4_01791,3662,626,2031
HSISS4_01792,467,84,211
HSISS4_01793,722384,665814,368633
HSISS4_01794,824,306,833
HSISS4_01795,14598,8329,12403
HSISS4_01796,111713,89352,47310
HSISS4_01797,384087,307140,153261
HSISS4_01798,100463,99567,43830
HSISS4_01799,162847,143420,69266
HSISS4_01800,78873,36883,34666
HSISS4_01801,135937,66999,58646
HSISS4_01802,43774,47733,27391
HSISS4_01803,282107,120498,184952
HSISS4_01804,112922,84344,63433
HSISS4_01805,59611,45167,32919
HSISS4_01806,82168,89473,43685
HSISS4_01807,119026,90608,57174
HSISS4_01808,109089,69803,46044
HSISS4_01809,90519,26349,32269
HSISS4_01810,28769,24504,10282
HSISS4_01811,129188,78880,48464
HSISS4_01812,78628,60400,27151
HSISS4_01813,68839,61278,23208
HSISS4_01814,73527,37088,22032
HSISS4_01815,37801,21039,11423
HSISS4_01816,103409,95673,28177
HSISS4_01817,158942,125733,51135
HSISS4_01818,66785,54219,19043
HSISS4_01819,86287,49053,23722
HSISS4_01820,199173,168767,60347
HSISS4_01821,46321,11616,15228
HSISS4_01822,110616,74256,42320
HSISS4_01823,176942,148565,74772
HSISS4_01824,105196,96732,52937
HSISS4_01825,13251,12217,31848
HSISS4_01826,47404,30226,48560
HSISS4_01827,8557,6084,10603
HSISS4_01828,9576,8208,12246
HSISS4_01829,86057,79314,47244
HSISS4_01830,4790,1372,3783
HSISS4_01831,8491,6893,9009
HSISS4_01832,117990,85963,125279
HSISS4_01833,12118,12537,12879
HSISS4_01834,36725,39050,40486
HSISS4_01835,38072,23255,44575
HSISS4_01836,13616,4291,10390
HSISS4_01837,24260,9862,34029
HSISS4_01838,485,112,383
HSISS4_01839,2558,1352,2274
HSISS4_01840,2956,1574,2795
HSISS4_01841,7444,5482,29257
HSISS4_01842,25772,17367,13000
HSISS4_01843,34209,32947,18046
HSISS4_01844,12818,10375,10820
HSISS4_01845,28137,22641,21513
HSISS4_01846,918,244,124
HSISS4_01847,2419,366,129
HSISS4_01848,2336,1083,2386
HSISS4_01849,74040,55447,62509
HSISS4_01850,58342,34359,64669
HSISS4_01851,2588,580,3325
HSISS4_01852,1546,237,2008
HSISS4_01853,1902,785,2170
HSISS4_01854,1944,1148,3149
HSISS4_01855,419,184,479
HSISS4_01856,1334,538,1408
HSISS4_01857,734,391,784
HSISS4_01858,2617,629,2302
HSISS4_01859,3491,1032,2517
HSISS4_01860,10973,3439,7194
HSISS4_01861,7081,1889,7404
HSISS4_01862,1854,445,1103
HSISS4_01863,530,128,256
HSISS4_01864,1623,426,711
HSISS4_01865,1309,334,853
HSISS4_01866,2789,1045,1346
HSISS4_01867,612,174,627
HSISS4_01868,1333,614,1048
HSISS4_01869,2749,661,2263
HSISS4_01870,5530,2347,7659
HSISS4_01871,2005,681,4146
HSISS4_01872,1941,225,9159
HSISS4_01873,2901,1328,6314
HSISS4_01874,186083,164826,221750
HSISS4_01875,6530,2172,6992
HSISS4_01876,46216,47393,34302
HSISS4_01877,18095,14312,10860
HSISS4_01878,51556,46268,23291
HSISS4_01879,26008,20475,26674
HSISS4_01880,11321,4914,13074
HSISS4_01881,30009,24306,30389
HSISS4_01882,8281,3441,7491
HSISS4_01883,2532,1551,3238
HSISS4_01884,8142,5744,12574
HSISS4_01885,10250,3224,7410
HSISS4_01886,12477,9473,9083
HSISS4_01887,13258,9719,12956
HSISS4_01888,7047,3317,8127
HSISS4_01889,10845,6579,14153
HSISS4_01890,7116,2464,4428
HSISS4_01891,11465,2595,9817
HSISS4_01892,7284,2295,9559
HSISS4_01893,24490,11993,30589
HSISS4_01894,34326,22857,71311
HSISS4_01895,2074,1016,1527
HSISS4_01896,22035,18411,8463
HSISS4_01897,5015,2801,9416
HSISS4_01898,39712,28179,41320
HSISS4_01899,15547,4561,13046
HSISS4_01900,6318,2987,6754
HSISS4_01901,4457,2847,4877
HSISS4_01902,29721,28909,86481
HSISS4_01903,2971,1071,3246
