,Raw Counts WT  Replicate 1,Raw Counts WT  Replicate 2,Raw Counts 125g calp Replicate 1,Raw Counts 125g calp Replicate 2
SpyM3_1246,179,287,17,62
SpyM3_1247,201,247,19,77
SpyM3_1248,208,321,13,81
SpyM3_1249,308,315,32,220
SpyM3_1250,345,569,21,120
SpyM3_1251,168,216,19,62
SpyM3_1252,134,244,10,54
SpyM3_1253,106,186,14,36
SpyM3_1254,229,334,17,78
SpyM3_1255,63,85,1,18
SpyM3_1256,156,207,12,43
SpyM3_1257,281,370,26,123
SpyM3_1258,180,279,18,90
SpyM3_1259,715,975,172,484
SpyM3_1260,41,69,3,15
SpyM3_1261,304,466,28,97
SpyM3_1262,117,183,8,36
predicted RNA,93564,78953,11768,95708
SpyM3_1263,3043,4008,614,3138
SpyM3_1264,3423,3622,515,4402
SpyM3_1265,974,1273,181,929
SpyM3_1266,5678,3722,1381,6651
SpyM3_1267,1149,1003,182,582
SpyM3_1268,527,434,87,262
SpyM3_1269,459,408,71,225
SpyM3_1270,2293,1991,328,1532
SpyM3_1271,1945,2066,409,1411
SpyM3_1272,1188,1325,189,1264
SpyM3_1273,14258,14268,2393,10843
SpyM3_1274,3620,2992,544,2300
SpyM3_1275,327,296,45,234
SpyM3_1276,536,635,101,371
SpyM3_1277,2874,1967,359,2930
SpyM3_1278,2947,2865,381,3066
SpyM3_t49,8,0,0,4
SpyM3_1279,2830,2599,359,1715
SpyM3_1280,6424,5758,1073,4598
SpyM3_1281,758,657,133,813
SpyM3_1282,3202,3019,643,3102
SpyM3_1283,3122,3594,644,2297
SpyM3_1284,1365,2061,261,1090
SpyM3_1285,5409,7324,771,2455
SpyM3_1286,1822,2291,250,818
SpyM3_1287,3878,4514,539,2010
SpyM3_1288,764,886,89,366
SpyM3_1289,2033,1603,318,742
SpyM3_1290,515,466,71,270
SpyM3_1291,896,772,172,491
SpyM3_1292,268,182,65,179
SpyM3_1293,2282,2493,412,1823
SpyM3_1294,2710,3336,526,1918
SpyM3_1295,953,946,156,665
SpyM3_1296,627,886,148,515
SpyM3_1297,2434,3651,473,2150
SpyM3_1298,3009,2980,323,2102
SpyM3_1299,2480,2265,400,1577
SpyM3_1300,1,4,2,8
SpyM3_1301,877,104,204,1324
SpyM3_1302,4,7,1,12
SpyM3_1303,2,4,0,5
SpyM3_1304,5,3,1,8
SpyM3_1305,8,4,1,8
SpyM3_1306,40,30,11,35
SpyM3_1307,6,7,1,9
SpyM3_1308,6,4,0,6
SpyM3_1309,13,10,2,12
SpyM3_1310,12,14,4,23
SpyM3_1311,21,25,9,35
SpyM3_1312,11,11,3,20
SpyM3_1313,15,16,2,29
SpyM3_1314,1,8,1,3
SpyM3_1315,3,0,0,10
SpyM3_1316,2,5,0,8
SpyM3_1317,1,2,1,2
SpyM3_1318,4,6,0,11
SpyM3_1319,0,6,0,7
SpyM3_1320,4,3,2,10
SpyM3_1321,5,4,0,6
SpyM3_1322,5,8,4,23
SpyM3_1323,10,7,1,17
SpyM3_1324,3,3,0,6
SpyM3_1325,6,7,3,12
SpyM3_1326,9,12,3,23
SpyM3_1327,2,6,4,9
SpyM3_1328,2,6,0,4
SpyM3_1329,3,2,1,3
SpyM3_1330,311,380,44,142
SpyM3_1331,178,214,34,87
SpyM3_1332,150,120,19,81
SpyM3_1333,123,176,17,61
SpyM3_1334,79,98,9,34
SpyM3_1335,244,261,33,129
SpyM3_1336,102,144,11,57
SpyM3_1337,239,231,24,123
SpyM3_1338,167,225,19,82
SpyM3_1339,478,637,43,173
SpyM3_1340,192,216,20,82
SpyM3_1341,163,191,22,59
SpyM3_1342,78,94,10,20
SpyM3_1343,402,506,39,147
SpyM3_1344,321,417,41,113
SpyM3_1345,170,219,13,51
SpyM3_1346,206,191,16,64
SpyM3_1347,194,219,23,71
SpyM3_1348,288,466,30,142
SpyM3_1349,171,214,14,67
SpyM3_1350,2336,2308,449,1881
SpyM3_1351,1070,1360,169,849
SpyM3_1352,685,697,134,430
SpyM3_1353,2591,3473,473,1533
SpyM3_1354,1718,1867,291,1052
SpyM3_1356,8953,6320,890,7730
SpyM3_1357,14,14,3,11
SpyM3_t50,90,58,2,54
SpyM3_t51,122,89,13,168
SpyM3_t52,229,161,24,402
SpyM3_t53,292,309,73,324
SpyM3_t54,320,382,119,218
SpyM3_t56,65,32,5,47
SpyM3_t57,29,11,7,23
SpyM3_1358,79041,102136,9474,57240
SpyM3_1359,16,27,2,25
SpyM3_1360,11,9,2,7
SpyM3_1361,57,49,12,46
SpyM3_1362,3053,3427,407,2302
SpyM3_1364,6136,6991,1311,6127
SpyM3_1365,13692,15390,2520,13153
SpyM3_1366,2770,3167,532,2601
SpyM3_1367,2974,3601,526,2675
SpyM3_1368,1048,1077,116,1113
SpyM3_1369,31491,29093,5846,30474
SpyM3_1370,14286,12945,2830,14014
SpyM3_1371,7463,6639,1239,6201
SpyM3_1372,9284,8060,1346,6415
SpyM3_1373,3076,2650,641,2877
SpyM3_1374,7376,10004,2087,7138
SpyM3_1375,7790,8040,1248,7781
SpyM3_1376,40603,42836,8689,38110
SpyM3_1377,273,205,34,302
SpyM3_1378,689,777,161,641
SpyM3_1379,217,254,39,209
SpyM3_1380,449,546,82,404
SpyM3_1381,130,116,14,88
SpyM3_1382,170,258,30,162
SpyM3_1383,268,319,62,269
SpyM3_1384,679,647,124,653
SpyM3_1385,9548,10092,1819,10358
SpyM3_1386,9622,7956,1967,9496
SpyM3_1387,3262,3082,497,4074
SpyM3_1388,1071,999,210,1031
SpyM3_1389,4346,4811,948,3517
SpyM3_1390,24801,26144,5193,22031
SpyM3_1391,36562,44504,11303,52698
SpyM3_1392,4695,4426,735,4721
SpyM3_1393,7994,8000,1308,7962
SpyM3_1394,7832,7451,1577,10635
SpyM3_1395,5306,5271,968,4979
SpyM3_1396,1056,624,105,1247
SpyM3_1397,1857,3369,491,2039
SpyM3_1398,1170,1799,264,1516
SpyM3_1399,8569,9226,1730,6756
SpyM3_1400,6633,7783,1380,6797
SpyM3_1401,13016,12993,2598,12905
SpyM3_1402,876,797,122,1162
SpyM3_1403,5368,6091,1007,5479
SpyM3_1404,235,449,92,153
SpyM3_1405,486,532,87,335
SpyM3_1406,2717,2910,440,2275
SpyM3_1407,3291,3146,497,2724
SpyM3_1408,74,56,11,30
SpyM3_1410,904,1021,126,672
SpyM3_1411,158,255,50,183
SpyM3_1412,40,47,6,47
SpyM3_1413,300,352,64,441
SpyM3_1414,210,301,51,208
SpyM3_1415,568,728,123,769
SpyM3_1416,174,273,58,426
SpyM3_1417,641,1066,123,711
SpyM3_1418,406,612,93,501
SpyM3_1419,1263,2420,278,1496
SpyM3_1420,405,728,81,461
SpyM3_1421,2097,3662,423,1966
SpyM3_1422,248,375,19,216
SpyM3_1423,618,1088,159,643
SpyM3_1424,511,934,102,736
SpyM3_1425,321,595,62,276
SpyM3_1426,448,880,88,404
SpyM3_1427,411,897,92,594
SpyM3_1428,224,553,40,286
SpyM3_1429,560,1162,124,584
SpyM3_1430,893,1540,207,1180
SpyM3_1431,188,320,22,126
SpyM3_1432,291,412,28,195
SpyM3_1433,578,1088,60,399
SpyM3_1434,569,931,56,389
SpyM3_1435,548,898,80,323
SpyM3_1436,156,241,23,120
SpyM3_1437,370,446,36,107
SpyM3_1438,337,324,25,86
SpyM3_1439,233,291,21,55
SpyM3_1440,626,848,52,182
SpyM3_1441,162,223,14,51
SpyM3_1442,2046,2725,214,592
SpyM3_1443,1844,2313,149,519
SpyM3_1445,2848,3349,156,847
SpyM3_1446,884,979,62,207
SpyM3_1448,144,208,10,38
SpyM3_1449,508,602,34,129
SpyM3_1450,342,356,22,94
SpyM3_1452,579,718,42,160
SpyM3_1454,380,500,33,153
SpyM3_1455,2992,4255,589,2681
SpyM3_1456,2486,3363,385,1888
SpyM3_1457,2754,4396,659,1881
SpyM3_1458,756,876,199,990
SpyM3_1459,3610,5005,922,3053
SpyM3_1460,4220,4130,593,4094
SpyM3_1461,1967,2523,241,2025
SpyM3_1462,31522,27339,5771,23638
SpyM3_1463,4518,4918,852,3013
SpyM3_1464,7628,6135,1230,5611
SpyM3_1465,6732,5688,1257,4216
SpyM3_1466,529,722,123,334
SpyM3_1467,2123,2632,307,1143
SpyM3_1468,1944,2820,280,1069
SpyM3_1470,762,1370,274,520
SpyM3_1471,8797,10036,1528,6845
SpyM3_1472,4603,3847,615,3777
SpyM3_1473,5749,4961,702,4724
SpyM3_1476,6911,6276,1335,6091
SpyM3_1477,3731,4627,712,3040
SpyM3_1479,499,560,125,422
SpyM3_1480,3026,3246,416,1994
SpyM3_1481,5650,7036,879,4116
SpyM3_1489,1950,1975,201,999
SpyM3_1490,308,629,49,189
SpyM3_1491,3430,9167,675,2612
SpyM3_1494,878,458,54,1086
SpyM3_1495,47503,43921,9546,37823
predicted RNA,734,582,112,432
SpyM3_1496,8788,8344,1347,7285
SpyM3_1497,1664,1770,303,1460
SpyM3_1498,7326,6890,1435,6802
SpyM3_1499,5722,4869,1047,4649
SpyM3_t58,56,80,8,32
SpyM3_1500,6455,6531,1070,6177
SpyM3_1501,12279,11449,2020,10100
SpyM3_1502,5721,5302,880,4762
SpyM3_1503,1972,1639,301,1878
SpyM3_1504,2328,2772,491,2133
SpyM3_1505,4842,4679,971,3948
SpyM3_1506,6679,8286,1257,7041
SpyM3_1507,1893,2010,244,1704
SpyM3_1509,306,530,36,271
SpyM3_1510,6151,5961,1045,5719
SpyM3_1513,5500,8596,988,4011
SpyM3_1514,2033,1451,203,2362
SpyM3_1515,1409,1551,214,955
SpyM3_1516,15469,10831,1590,9420
SpyM3_1517,20486,10749,3603,14960
SpyM3_1518,23145,14252,5020,17574
SpyM3_1519,59654,33497,12228,42567
predicted RNA,703,314,67,612
SpyM3_1520,12583,5515,1724,8742
SpyM3_1521,12664,5709,2374,9055
SpyM3_1522,44155,19249,6968,35274
SpyM3_1523,20045,9119,2961,13461
SpyM3_1524,13905,6479,2460,9707
SpyM3_1525,18566,9693,3288,12610
SpyM3_1526,25017,10937,2954,19126
SpyM3_1527,69343,45727,9174,47188
SpyM3_1528,16073,11076,2148,9695
SpyM3_1529,26859,20470,3571,18582
SpyM3_1534,3053,3686,683,1978
SpyM3_1535,6314,6732,903,4158
SpyM3_1536,9692,9917,1371,5895
SpyM3_1537,1173,972,193,427
SpyM3_1538,1356,685,80,1519
SpyM3_1539,10631,11760,1638,8367
SpyM3_1540,5523,6178,882,4360
SpyM3_1541,3641,3782,472,3182
SpyM3_1542,22,22,4,12
SpyM3_1543,176,78,20,112
SpyM3_1544,13339,11148,2150,15141
SpyM3_1545,9474,12346,1727,8639
SpyM3_1546,29085,42502,5323,15640
SpyM3_1547,14136,22061,2800,11618
SpyM3_1548,2465,2757,448,1907
SpyM3_1549,229,325,47,259
SpyM3_1550,231,226,36,232
SpyM3_1551,4256,4735,672,3792
SpyM3_1552,3,3,0,2
SpyM3_1553,5082,5092,833,4456
SpyM3_1554,3370,3339,524,3143
SpyM3_1555,1198,1418,248,990
SpyM3_1556,2092,2090,315,2114
SpyM3_1557,2873,3286,584,2646
SpyM3_1558,1077,1161,207,1034
SpyM3_1559,537,640,114,578
SpyM3_1560,2624,2506,594,2599
SpyM3_1561,16764,10914,3203,15075
SpyM3_1562,22911,32387,4467,21724
SpyM3_1563,2879,3584,584,2592
SpyM3_1564,1031,1001,163,974
SpyM3_1565,51274,51203,10745,52022
SpyM3_1566,3183,3601,617,3864
SpyM3_1567,362,243,60,132
SpyM3_1568,26431,14999,3466,8395
SpyM3_1569,7218,5775,1387,3122
SpyM3_1570,3785,2962,519,3149
SpyM3_1571,1264,1380,256,883
SpyM3_1572,18050,18654,2818,14873
SpyM3_1573,24783,21849,3757,24674
SpyM3_1574,35956,29488,6293,31513
SpyM3_1575,1924,2254,419,1465
SpyM3_1576,2038,2327,326,1837
SpyM3_1577,12260,13094,2864,11770
SpyM3_1578,2818,3078,485,2661
SpyM3_1579,2895,2715,529,3614
SpyM3_1580,1489,1718,506,1116
SpyM3_1581,23812,18055,3730,25206
SpyM3_1582,16980,10402,1645,17806
SpyM3_1585,233,201,82,300
SpyM3_1586,8778,10179,1218,10918
SpyM3_1587,2822,2766,385,2560
SpyM3_1588,10514,11192,1588,10098
SpyM3_1589,2022,2500,340,1481
SpyM3_1590,1684,1512,254,1269
SpyM3_1591,2856,2690,388,2827
SpyM3_1592,2859,2749,511,3330
SpyM3_1593,2248,2185,465,2248
SpyM3_1594,1145,2264,240,695
SpyM3_1595,1744,2127,359,1645
SpyM3_1596,108131,79668,13568,80602
SpyM3_1597,7180,8283,1025,6588
SpyM3_1598,11406,14255,1556,9240
SpyM3_1599,786,791,115,698
SpyM3_1600,2034,2443,383,1558
SpyM3_1601,3230,4016,201,928
SpyM3_1602,2767,2410,454,2569
SpyM3_1603,5712,4955,943,5520
SpyM3_1604,41,21,7,33
SpyM3_1605,3316,1630,359,3931
SpyM3_1606,1236,1361,312,959
SpyM3_1607,589,694,117,493
SpyM3_1608,449,477,51,449
SpyM3_1609,9747,9208,1484,8238
SpyM3_1610,2799,2541,367,2728
SpyM3_1614,798,966,194,1683
SpyM3_1616,8517,9143,1541,5408
SpyM3_1617,5874,6469,1020,4308
SpyM3_1618,6630,7064,1262,5941
SpyM3_1619,4583,4371,578,3811
SpyM3_1620,19152,17621,3126,17331
SpyM3_1621,36932,25610,9072,46185
SpyM3_1622,6694,3643,1077,9759
SpyM3_1623,674,672,85,731
SpyM3_1624,21112,22584,3410,18797
SpyM3_1625,19449,32832,3189,12578
SpyM3_1626,3588,3737,584,2505
SpyM3_1627,31328,33103,7539,29356
SpyM3_1628,6229,6216,1088,5642
SpyM3_1630,42442,39425,6332,41979
SpyM3_t59,129,148,19,117
SpyM3_1631,5650,7191,1021,5618
SpyM3_1632,7834,8078,1428,5875
SpyM3_1633,24065,25790,3903,26349
SpyM3_1634,75438,71622,12774,63865
SpyM3_1635,718,605,86,1020
SpyM3_1636,3881,3362,522,3097
SpyM3_1637,3910,4084,677,2946
SpyM3_1638,3130,3146,561,2669
SpyM3_1639,10848,9591,1533,8553
SpyM3_1640,36,37,3,34
SpyM3_t60,5,3,1,1
SpyM3_t61,31,31,12,23
SpyM3_t62,27,22,6,14
SpyM3_1641,1389,1382,211,1219
SpyM3_1642,8793,8253,1306,7499
SpyM3_1643,3307,3351,598,2943
SpyM3_1644,4136,3835,731,3542
SpyM3_1645,4681,4128,557,3811
SpyM3_1646,5992,6074,866,4718
SpyM3_1647,2172,2279,205,1234
SpyM3_1649,3524,4801,403,1560
SpyM3_1650,742,941,69,327
SpyM3_1651,6992,9450,824,3219
SpyM3_1652,1246,1235,161,599
SpyM3_1653,32028,41935,4303,16358
SpyM3_1661,1175,1371,149,1010
SpyM3_1662,151,362,25,103
SpyM3_1663,14458,11738,2970,11547
SpyM3_1664,33810,33862,6089,29573
SpyM3_1665,215,174,24,116
SpyM3_1666,1346,1501,217,915
SpyM3_1667,10224,10573,2098,9789
SpyM3_1668,6262,5496,997,5392
SpyM3_1670,1365,1617,257,1087
SpyM3_1671,2310,2024,314,2595
SpyM3_1672,4414,4343,652,4002
SpyM3_1673,863,1189,203,469
SpyM3_1674,7948,7752,1536,5995
SpyM3_1675,3087,2766,580,3014
SpyM3_1676,15444,14461,2855,13274
SpyM3_1677,7554,4068,1488,3520
SpyM3_1678,15151,7582,2275,6925
SpyM3_1680,23321,10287,2978,10260
SpyM3_1681,4109,4493,1267,3634
SpyM3_1682,60,70,9,41
SpyM3_1683,1,0,0,1
SpyM3_1685,1421,1990,282,1512
SpyM3_1686,2056,2404,419,1869
SpyM3_1687,11623,13689,2299,11789
SpyM3_1688,12751,13402,2119,9891
SpyM3_1689,4657,6000,954,4033
SpyM3_1690,1761,1854,214,1630
SpyM3_1691,5763,6256,928,4467
SpyM3_1692,8505,13410,2426,6039
predicted RNA,566,640,68,451
SpyM3_1693,3506,3582,527,4341
SpyM3_1696,7171,6035,1539,6431
SpyM3_1697,1033,822,168,785
SpyM3_1698,9271,1687,1926,8154
SpyM3_1699,26,22,7,21
SpyM3_1700,2291,2823,470,1934
SpyM3_1701,10331,12469,1932,8397
SpyM3_1702,4,2,3,16
SpyM3_1703,8,4,2,23
SpyM3_1704,1461,1704,209,1063
SpyM3_1705,136,159,21,68
SpyM3_1706,5785,6620,1013,4970
SpyM3_1707,7105,7155,1312,5969
SpyM3_1708,17475,16106,4188,19372
SpyM3_1709,3910,2976,522,2555
SpyM3_1710,4210,4156,927,2275
SpyM3_1711,2411,2014,308,1372
SpyM3_1712,5927,6352,1078,4398
SpyM3_1713,2109,2517,410,1437
SpyM3_1714,4135,4617,656,3328
SpyM3_t63,27,36,45,6
SpyM3_1715,212,206,49,197
SpyM3_1716,92,74,9,96
SpyM3_1717,23,37,2,9
predicted RNA,11,3,137,1572
SpyM3_1726,45853,9866,15206,82006
SpyM3_1727,1549646,1174112,305270,1255903
predicted RNA,4867,1701,516,3795
SpyM3_1728,22129,12290,3323,17017
SpyM3_1729,0,1,0,2
SpyM3_1730,223,304,64,156
SpyM3_1731,8840,9381,1776,6558
SpyM3_1732,3629,4124,636,2716
SpyM3_1733,3217,3590,559,2516
SpyM3_1734,1976,1770,310,1393
SpyM3_1735,1297,1284,292,774
SpyM3_1736,2797,2241,584,1802
SpyM3_1737,6739,4072,1293,4361
SpyM3_1738,711,675,118,571
SpyM3_1743,25,193,22,1
SpyM3_1744,772,2021,86,293
SpyM3_1746,1643,1891,323,1098
SpyM3_1747,1144,1790,261,823
SpyM3_1748,823,1256,141,597
SpyM3_1749,2312,3115,433,1950
SpyM3_1750,851,1473,175,542
SpyM3_1751,206,274,43,95
SpyM3_1752,431,550,58,311
SpyM3_1753,1663,1462,230,1246
SpyM3_1754,988,1326,194,709
SpyM3_1755,367,458,102,413
SpyM3_1756,14,16,0,15
SpyM3_1757,4096,3089,618,3358
predicted RNA,157,228,40,225
SpyM3_1758,13460,17996,2892,16630
SpyM3_1760,2640,2748,383,2104
SpyM3_1761,4622,6131,778,3989
SpyM3_1762,7823,7981,1470,7136
SpyM3_1763,29307,37671,4560,18646
predicted RNA,591,672,77,366
SpyM3_1764,25,33,1,16
predicted RNA,1454,1714,228,886
SpyM3_1767,8152,8561,1551,8120
SpyM3_1768,2474,2443,549,2995
SpyM3_1769,8721,8906,3172,4705
SpyM3_t64,9,5,1,2
SpyM3_1770,27590,22750,7495,28696
SpyM3_1771,24494,19694,7040,25630
SpyM3_1773,49082,25745,6369,16224
SpyM3_1774,29347,16076,3904,9012
SpyM3_1776,32120,19466,4369,9806
SpyM3_1777,13164,6868,1852,4499
SpyM3_1778,15790,8363,2061,4883
SpyM3_1779,31494,15459,3584,9409
SpyM3_1781,4965,5190,1697,5430
SpyM3_1782,29430,23576,3611,32388
predicted RNA,2820,2898,543,1973
SpyM3_1783,10888,8847,1709,10032
SpyM3_1784,32443,26361,6595,40246
predicted RNA,295,262,63,173
SpyM3_1785,18197,18804,3174,11534
SpyM3_1786,91031,84445,14253,60208
SpyM3_1787,539,738,95,626
SpyM3_1788,90,98,11,58
SpyM3_1789,1165,1119,184,963
SpyM3_1790,3552,3963,629,2819
SpyM3_1791,1836,1842,322,1339
SpyM3_1792,2327,2264,432,1363
SpyM3_1793,3262,3068,528,2517
SpyM3_1794,10359,8788,1340,8664
SpyM3_1795,3915,4384,559,3001
SpyM3_1796,6071,5716,1018,5337
SpyM3_1797,17103,23346,2817,15919
SpyM3_1798,5439,4727,592,6190
SpyM3_1799,7163,6278,1600,10210
SpyM3_1800,10236,12904,2377,8020
SpyM3_1801,2468,3667,413,1875
SpyM3_1802,730,1113,151,668
SpyM3_1803,1294,1996,332,1292
SpyM3_1804,2731,3631,575,2556
SpyM3_1805,8253,9850,1468,9582
SpyM3_1806,4706,6597,599,3934
SpyM3_1807,841,966,122,521
SpyM3_1808,2302,3335,328,1772
SpyM3_1809,19545,16035,2826,13920
SpyM3_1810,337,330,68,305
SpyM3_1811,3141,3613,678,2485
SpyM3_1812,10969,10128,1631,8811
SpyM3_1813,4581,5154,849,3483
SpyM3_1814,10019,10277,1635,8268
SpyM3_1815,5621,6231,682,4657
SpyM3_1816,52038,36825,7755,68695
SpyM3_1817,5388,4354,853,4050
SpyM3_1818,601,704,85,358
SpyM3_1819,845,985,123,645
SpyM3_1820,2413,2330,281,1306
SpyM3_1821,1644,1523,214,995
SpyM3_1822,1671,1457,279,1181
SpyM3_1823,296,253,35,179
SpyM3_1824,161,160,18,122
SpyM3_1825,909,967,112,1096
SpyM3_1826,526,540,80,456
SpyM3_1827,267,251,42,178
SpyM3_1828,252,415,44,202
SpyM3_1829,277,351,47,230
SpyM3_1830,1303,1509,181,1494
SpyM3_1831,279,389,60,374
SpyM3_1832,254,266,34,267
SpyM3_1833,8476,7143,1162,9674
SpyM3_1834,2086,2264,415,1596
SpyM3_1835,15189,19791,2675,12961
SpyM3_1837,13578,18028,2201,10292
SpyM3_1839,342,903,52,309
SpyM3_1840,4112,15274,1132,5607
SpyM3_1841,4182,9713,818,5348
SpyM3_1842,4622,10028,927,5460
SpyM3_1843,1892,3323,320,1722
SpyM3_1844,3388,3704,633,3518
SpyM3_1845,2225,2037,302,2416
SpyM3_1846,5339,5454,953,5399
SpyM3_1847,1905,2378,367,1840
SpyM3_1848,10954,12649,2117,10325
SpyM3_1849,3031,2671,699,3619
SpyM3_1850,3207,2652,659,4715
SpyM3_1854,2302,1766,393,2100
SpyM3_1855,1407,1725,319,1082
SpyM3_1856,4058,2962,824,4561
SpyM3_1857,10808,14840,1703,8579
SpyM3_1859,2556,2679,276,1661
SpyM3_1860,11271,11811,2003,10011
SpyM3_1861,2744,2979,383,3201
SpyM3_t65,2,2,1,1
SpyM3_t66,4,2,0,4
SpyM3_1862,195,200,29,174
SpyM3_t67,0,0,0,0
SpyM3_1863,827,939,79,566
SpyM3_1864,18067,23604,3107,20696
SpyM3_1865,2684,3816,518,2974
