,Raw Counts WT  Replicate 1,Raw Counts WT  Replicate 2,Raw Counts 125g calp Replicate 1,Raw Counts 125g calp Replicate 2
SpyM3_0085,4649,5211,661,4520
SpyM3_0086,29655,26654,5028,32299
SpyM3_0087,68,59,16,50
SpyM3_0088,2615,3220,555,2504
SpyM3_0089,3883,4986,1039,3457
SpyM3_0090,2166,2287,357,1649
SpyM3_0091,2704,3219,437,2456
SpyM3_0092,2472,3284,552,2192
SpyM3_0093,56,44,8,57
SpyM3_0094,4397,3785,692,3851
SpyM3_0095,6053,6037,972,5329
SpyM3_0096,2048,2243,358,1716
SpyM3_0097,2593,2308,227,1023
SpyM3_0104,47855,49789,8745,51809
SpyM3_0106,27,19,5,13
SpyM3_0107,550,746,108,511
SpyM3_0108,165,137,23,90
SpyM3_0109,104,70,6,54
SpyM3_0110,64,58,8,31
SpyM3_0111,3015,3843,583,2638
SpyM3_0112,3903,8826,962,7445
SpyM3_0113,2902,7447,1146,5510
SpyM3_0114,1488,2936,304,2436
SpyM3_0115,6784,21242,2447,8358
SpyM3_0116,1081,3028,273,1530
SpyM3_0117,1508,4477,446,1719
SpyM3_0118,3665,11384,1014,4989
SpyM3_0120,8012,24080,2409,7691
SpyM3_0121,7087,16456,1773,7164
SpyM3_0123,3477,3651,525,3317
SpyM3_0124,3258,4230,755,3154
SpyM3_0125,4551,4706,929,4158
SpyM3_0126,7067,6284,1296,7595
SpyM3_0127,2059,1836,267,2023
SpyM3_0128,76830,15940,15397,60610
SpyM3_0129,31190,5351,4713,24321
SpyM3_0130,172393,36407,35269,143540
SpyM3_0131,58,14,24,119
SpyM3_0133,983,6049,160,444
SpyM3_0134,12043,12396,2022,11083
SpyM3_0135,1897,1469,153,876
SpyM3_0136,373,479,41,189
SpyM3_0137,544,477,23,206
SpyM3_0138,951,1147,105,372
SpyM3_0139,844,1027,94,275
SpyM3_0140,575,743,54,221
SpyM3_0141,2650,2662,303,1687
SpyM3_0142,3499,3507,658,2644
SpyM3_0143,2186,4240,453,2011
SpyM3_0144,2596,4696,507,2315
SpyM3_0145,19075,18934,3660,14503
SpyM3_0146,5561,7406,952,4400
SpyM3_0147,3884,4399,701,3035
SpyM3_0148,1758,1694,269,1287
SpyM3_0149,7885,8345,1438,6120
SpyM3_0150,69,40,9,38
SpyM3_0151,139,77,16,88
SpyM3_0152,4942,6252,930,5625
SpyM3_0153,2658,3399,533,2687
SpyM3_0154,1167,774,176,1305
SpyM3_0155,1754,1686,267,1649
SpyM3_0156,18843,19176,3251,16776
SpyM3_0157,1554,792,479,3296
SpyM3_0158,140,55,25,278
SpyM3_0159,968,1306,204,822
SpyM3_0160,15436,14749,2581,14131
SpyM3_0161,11270,10616,2517,12658
SpyM3_0162,611,1323,96,439
SpyM3_0163,1790,3159,270,1172
SpyM3_0164,770,1518,136,494
SpyM3_0165,1386,1539,233,1165
SpyM3_0166,2308,2738,390,2391
SpyM3_0167,2719,3445,531,2402
SpyM3_0168,751,1018,206,822
SpyM3_0170,12645,12657,2336,13400
SpyM3_0171,1325,1235,166,1196
SpyM3_0172,578,498,42,409
SpyM3_0173,956,954,106,752
SpyM3_0174,1449,1255,136,1102
SpyM3_0175,2849,3622,386,1918
SpyM3_0176,10563,12072,1620,9198
SpyM3_0177,7066,8664,1401,6202
SpyM3_0178,1521,3041,416,1288
SpyM3_0179,3113,2188,413,1478
SpyM3_0181,773,525,109,417
SpyM3_0182,2886,3306,556,1270
SpyM3_0183,1682,1560,233,811
SpyM3_0184,1961,2016,298,881
SpyM3_0185,2066,1926,276,851
SpyM3_0186,3136,2293,404,1292
SpyM3_0187,848,879,129,681
SpyM3_0188,3474,3031,539,2561
SpyM3_0189,5252,4500,1048,3941
SpyM3_0190,3406,2480,565,2997
SpyM3_0191,5606,4788,1229,4853
SpyM3_0192,3896,3323,515,4120
SpyM3_0193,2787,3209,631,2648
SpyM3_0194,5866,6574,1281,5556
SpyM3_0195,3812,3792,559,3902
SpyM3_0196,12280,11522,1947,8892
SpyM3_0197,102959,75876,16292,78082
SpyM3_0198,41551,55825,11895,33621
predicted RNA,1259,701,192,1066
SpyM3_0199,23509,15500,2657,28016
predicted RNA,7051,12172,2416,5085
predicted RNA,4442,4334,650,4602
SpyM3_0200,115135,97783,22050,111089
SpyM3_0201,101625,77395,15057,88232
predicted RNA,6,9,2126,3343
SpyM3_0202,2868,2703,456,2757
SpyM3_0203,3421,3863,664,3479
SpyM3_0204,4846,6143,817,3603
SpyM3_0205,1027,1484,178,839
SpyM3_0206,3808,5267,678,4261
SpyM3_0207,2795,3765,645,2957
SpyM3_0208,3623,4910,662,3261
SpyM3_0209,4259,4591,656,3818
SpyM3_0210,5060,5688,756,4171
SpyM3_0211,5001,5286,894,4699
SpyM3_0212,4028,5241,1047,3631
SpyM3_0213,9928,8814,2374,7838
SpyM3_0214,1719,1149,274,1491
SpyM3_0215,56465,48142,8089,41456
SpyM3_0216,7616,7161,1248,5696
SpyM3_0217,11190,7814,1504,6907
SpyM3_0218,12170,11778,2125,7716
SpyM3_0219,13453,13146,1752,9012
SpyM3_t42,19,11,4,8
SpyM3_t43,35,23,13,23
