,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS06685,15194,7938,7884,6986
CHF17_RS06690,6302,4387,5042,3270
CHF17_RS06695,1213,1232,1112,893
CHF17_RS06700,14633,10435,8298,7917
CHF17_RS06705,14856,15692,17115,12183
CHF17_RS06710,847,1089,787,776
CHF17_RS06715,201,197,176,166
CHF17_RS06720,1916,1777,1343,1185
CHF17_RS06725,11778,16028,10373,10983
CHF17_RS06730,1042,1417,964,567
CHF17_RS06735,1178,1173,913,624
CHF17_RS06740,469,467,307,179
CHF17_RS06745,181,167,109,51
CHF17_RS06750,59,50,38,21
CHF17_RS06755,529,569,443,333
CHF17_RS06760,642,607,436,466
CHF17_RS06765,1198,1066,1284,629
CHF17_RS06770,17486,13238,12025,9925
CHF17_RS06775,696,355,354,996
CHF17_RS06780,161,170,174,113
CHF17_RS06785,537,482,445,312
CHF17_RS06790,314,268,298,189
CHF17_RS06795,2842,2102,2503,989
CHF17_RS06800,14123,14955,11468,6485
CHF17_RS06805,5677,5334,4307,3773
CHF17_RS06810,11061,10458,7575,6634
CHF17_RS06815,74021,94734,47786,67820
CHF17_RS06820,125741,192674,91272,87420
CHF17_RS06825,2343,1714,2199,1381
CHF17_RS06830,1643,2063,2323,2000
CHF17_RS06835,1986,2325,2540,2547
CHF17_RS06840,242,289,194,174
CHF17_RS06845,509,418,255,255
CHF17_RS06850,67,51,25,35
CHF17_RS06855,898,749,495,496
CHF17_RS06860,9320,7923,6133,10615
CHF17_RS06865,24339,22659,19930,18100
CHF17_RS06870,3146,2618,2571,1248
CHF17_RS06875,10028,8124,7103,6996
CHF17_RS06880,8041,7462,6693,4399
CHF17_RS06885,10050,6883,7363,5052
CHF17_RS06890,11173,8696,8192,7460
CHF17_RS06895,30411,19780,21505,9188
CHF17_RS06900,82572,71405,79208,39173
CHF17_RS06905,118270,107386,107553,61476
CHF17_RS06910,13600,11098,10348,7140
CHF17_RS06915,1359,1127,891,685
CHF17_RS06920,7366,7880,5935,5295
CHF17_RS06925,5596,5723,4392,3451
CHF17_RS06930,4605,4641,4100,2820
CHF17_RS06935,3346,3290,2628,2564
CHF17_RS06940,8039,6577,6032,4940
CHF17_RS06945,5324,3612,3543,3794
CHF17_RS06950,4596,2876,2763,2106
CHF17_RS06955,3901,3372,3774,2791
CHF17_RS06960,3369,2846,3383,3135
CHF17_RS06965,1014,816,1059,721
CHF17_RS06970,9364,13331,10093,26797
CHF17_RS06975,7192,5473,4871,3868
CHF17_RS06980,22648,15216,14703,12794
CHF17_RS06985,26513,16043,18328,17340
CHF17_RS06990,15779,14985,12868,11430
CHF17_RS06995,8051,9452,7039,5996
CHF17_RS07000,1635,1676,1483,2156
CHF17_RS07005,8968,9559,8433,6047
CHF17_RS07010,4696,4151,3798,3130
CHF17_RS07015,22799,19077,20574,13735
CHF17_RS07020,9482,7660,8203,5368
CHF17_RS07025,2217,1402,1758,994
CHF17_RS07030,1045,907,699,773
CHF17_RS07035,10249,11559,10924,13326
CHF17_RS07040,4220,4001,4347,6240
CHF17_RS07045,2389,2248,2090,3883
CHF17_RS07050,29980,14369,18421,11899
CHF17_RS07055,63508,18554,24899,25459
CHF17_RS07060,10977,13143,10407,7266
CHF17_RS07065,9748,12644,9323,7369
CHF17_RS07070,1716,2348,1521,1318
CHF17_RS07075,1925,2410,1590,1640
CHF17_RS07080,801,986,718,730
CHF17_RS07085,26,21,12,24
CHF17_RS07090,94,63,55,28
CHF17_RS07095,11818,9949,9333,4463
CHF17_RS07100,50965,57038,36322,22631
CHF17_RS07105,67239,77314,54972,29340
CHF17_RS07110,12228,11267,10274,12115
CHF17_RS07115,2944,2048,2521,3573
CHF17_RS07120,12907,6863,8674,8493
CHF17_RS07125,20725,8728,19094,13988
CHF17_RS07130,9082,4119,8649,7686
CHF17_RS07135,4576,1905,4509,3757
CHF17_RS07140,6358,5349,4223,5454
CHF17_RS07145,2892,2328,1993,1274
CHF17_RS07150,5864,4996,3573,3151
CHF17_RS07155,7228,5938,4148,25646
CHF17_RS07160,39089,48111,33963,23100
CHF17_RS07165,32718,38471,22373,27302
CHF17_RS07170,14840,8338,9839,8039
CHF17_RS07175,10294,10603,8494,6600
CHF17_RS07180,8914,9988,7636,5910
CHF17_RS07185,5434,4645,4368,2527
CHF17_RS07190,11296,8206,8641,8790
CHF17_RS07195,5222,5759,5142,4244
CHF17_RS07200,2700,3209,2572,3191
CHF17_RS07205,4788,5151,4264,3159
CHF17_RS07210,2475,2428,2256,2749
CHF17_RS07215,4383,4901,4510,3984
CHF17_RS07220,1364,1642,1541,1139
CHF17_RS07225,4536,4615,3957,3840
CHF17_RS07230,5068,4999,3993,3173
CHF17_RS07235,2977,2584,2160,2192
CHF17_RS07240,80049,84982,60908,60564
CHF17_RS07245,9081,6319,5649,6183
CHF17_RS07250,4171,3438,3127,3615
CHF17_RS07255,1967,1276,1287,1409
CHF17_RS07260,16775,12901,12671,8626
CHF17_RS07265,33205,27235,24413,14749
CHF17_RS07270,37529,41324,33463,20602
CHF17_RS07275,16943,23428,12878,10450
CHF17_RS07280,15499,20934,10963,9524
CHF17_RS07285,43653,60982,34339,21920
CHF17_RS07290,17276,14133,12438,15944
CHF17_RS07295,12489,9580,9265,7861
CHF17_RS07300,4065,1966,2224,1849
CHF17_RS07305,11923,7693,8037,6178
CHF17_RS07310,34238,20968,23373,18142
CHF17_RS07315,15935,15772,14850,10946
CHF17_RS07320,17279,10710,11582,8151
CHF17_RS07325,19653,16634,18121,8150
CHF17_RS07330,40849,35432,38768,13705
CHF17_RS07335,14625,13685,13117,7158
CHF17_RS07340,10541,10186,9039,4870
CHF17_RS07345,5598,4610,4039,3216
CHF17_RS07350,35000,29990,29794,38248
CHF17_RS07355,3174,2133,1989,2710
CHF17_RS07360,27000,20809,17357,16361
CHF17_RS07365,1234,1211,1305,1253
CHF17_RS07370,3410,1990,2618,3415
CHF17_RS07375,7075,4823,5432,5447
CHF17_RS07380,26121,11626,9413,7932
CHF17_RS07385,22462,10134,8789,5725
CHF17_RS07390,3800,2863,3053,2901
CHF17_RS07395,7138,5323,5515,4424
CHF17_RS07400,6135,4198,4836,4750
CHF17_RS07405,13271,8489,10704,11591
CHF17_RS07410,17407,10321,17781,17255
CHF17_RS07415,2144,1130,1701,1330
CHF17_RS07420,797,426,603,419
CHF17_RS07425,15796,18323,11579,12349
CHF17_RS07430,10467,12362,9387,6091
CHF17_RS07435,18240,22163,15985,11677
CHF17_RS07440,12316,15594,11730,7942
CHF17_RS07445,11066,12891,9695,7501
CHF17_RS07450,12252,13689,10943,9426
CHF17_RS07455,15347,17016,14187,9512
CHF17_RS07460,9994,10664,8991,7027
CHF17_RS07465,8514,8256,6981,6393
CHF17_RS07470,16785,17592,15778,7885
CHF17_RS07475,1879,1593,1701,1607
CHF17_RS07480,3909,3084,3295,3162
CHF17_RS07485,9299,7977,7637,5039
CHF17_RS07490,12110,10436,9862,6525
CHF17_RS07495,14979,11052,12671,16809
CHF17_RS07500,4228,4347,3156,3281
CHF17_RS07505,13635,15603,11292,10348
CHF17_RS07510,14083,17407,14511,10074
CHF17_RS07515,7413,3983,4316,2620
CHF17_RS07520,7109,4696,5315,3791
CHF17_RS07525,6566,6089,3368,3984
CHF17_RS07530,1905,1713,1299,1099
CHF17_RS07535,646,607,462,772
CHF17_RS07540,193,177,131,175
CHF17_RS07545,517,426,413,231
CHF17_RS07550,18046,9939,9369,11604
CHF17_RS07555,2944,959,1120,739
CHF17_RS07560,1075,820,844,929
CHF17_RS07565,3283,2930,3216,2267
CHF17_RS07570,1712,1404,1720,1204
CHF17_RS07575,11086,6525,7209,7089
CHF17_RS07580,7928,5983,6163,7216
CHF17_RS07585,4400,4350,3861,3432
CHF17_RS07590,3284,3115,2807,2354
CHF17_RS07595,16325,12894,12536,12407
CHF17_RS07600,1268,1233,1063,1381
CHF17_RS07605,1387,1317,1120,1091
CHF17_RS07610,688,954,708,375
CHF17_RS07615,1949,2734,1825,962
CHF17_RS07620,23749,13279,12532,9746
CHF17_RS07625,16532,11283,10191,9023
CHF17_RS07630,189308,227489,143030,132183
CHF17_RS07635,79157,100651,60440,57063
CHF17_RS07640,1781,1285,1436,710
CHF17_RS07645,1318,867,1061,1887
CHF17_RS07650,23003,16463,19206,26589
CHF17_RS07655,1571,1057,1250,1097
CHF17_RS07660,4750,3544,4543,3931
CHF17_RS07665,7818,3655,4285,7789
CHF17_RS07670,2929,1444,1691,1370
CHF17_RS07675,621,563,603,615
CHF17_RS07680,1316,916,1504,847
CHF17_RS07685,15273,5872,8059,9935
CHF17_RS07690,2372,1435,1925,1915
CHF17_RS07695,4835,2637,3704,3937
CHF17_RS07700,3486,2569,2463,2671
CHF17_RS07705,14691,22884,12178,9361
CHF17_RS07710,3000,2705,2178,1931
CHF17_RS07715,15819,12351,12144,11738
CHF17_RS07720,6449,4599,3575,3347
CHF17_RS07725,1691,1245,1009,772
CHF17_RS07730,5785,5343,4273,4653
CHF17_RS07735,3619,2676,2999,1948
CHF17_RS07740,2435,1554,1612,1353
CHF17_RS07745,1049,793,786,764
CHF17_RS07750,2030,1583,1626,1003
CHF17_RS07755,1350,1133,1336,837
CHF17_RS07760,1499,1144,1502,1016
CHF17_RS07765,149,108,151,132
CHF17_RS07770,137,97,93,98
CHF17_RS07775,132,106,67,81
CHF17_RS07780,59,49,26,21
CHF17_RS07785,311,232,114,115
CHF17_RS07790,687,503,267,228
CHF17_RS07795,386,197,107,68
CHF17_RS07800,5690,5361,4544,2774
CHF17_RS07805,18231,11593,10013,14505
CHF17_RS07810,6604,4413,4240,3435
CHF17_RS07815,14466,9220,8267,6713
CHF17_RS07820,2705,1834,2426,1459
CHF17_RS07825,105,51,70,71
CHF17_RS07830,1995,1618,1765,1422
CHF17_RS07835,6961,5285,5937,3722
CHF17_RS07840,22404,19392,16578,19529
CHF17_RS07845,13283,11322,11975,11418
CHF17_RS07850,2641,1998,1796,2042
CHF17_RS07855,7077,5274,5070,6157
CHF17_RS07860,14583,11352,11708,9385
CHF17_RS07865,25542,19744,17725,18676
CHF17_RS07870,27756,21413,19663,27313
CHF17_RS07875,201,194,145,122
CHF17_RS07880,115,107,91,98
CHF17_RS07885,63,74,71,56
CHF17_RS07890,111,145,121,89
CHF17_RS07895,157,243,162,153
CHF17_RS07900,63609,104846,52596,58725
CHF17_RS07905,64320,113852,59444,41573
CHF17_RS07910,756,699,758,731
CHF17_RS07915,3773,3124,4141,3105
CHF17_RS07920,2779,2385,3185,2464
CHF17_RS07925,3209,1835,1791,1307
CHF17_RS07930,833,606,940,327
CHF17_RS07935,774,733,638,880
CHF17_RS07940,8226,5021,5196,5814
CHF17_RS07945,14057,13119,11134,10160
CHF17_RS07950,7982,5939,5821,6676
CHF17_RS07955,4831,7419,3818,4337
CHF17_RS07960,3374,5606,2672,3076
CHF17_RS07965,10400,14461,8711,14077
CHF17_RS07970,5533,3809,3425,2409
CHF17_RS07975,4339,3509,3377,4551
CHF17_RS07980,1235,756,842,1134
CHF17_RS07985,4040,3026,3603,2803
CHF17_RS07990,8150,5840,7231,6590
CHF17_RS07995,195,105,150,219
CHF17_RS08000,285,165,191,176
CHF17_RS08005,7388,5878,5569,6023
CHF17_RS08010,2463,1653,1700,2409
CHF17_RS08015,1651,942,1136,1360
CHF17_RS08020,2471,1477,1594,2368
CHF17_RS08025,872,438,393,503
CHF17_RS08030,1034,440,524,768
CHF17_RS08035,1721,801,809,1300
CHF17_RS08040,288,418,339,76
CHF17_RS08045,865,1372,644,732
CHF17_RS08050,1935,3339,1769,1197
CHF17_RS08055,788,1265,628,547
CHF17_RS08060,396,630,368,319
CHF17_RS08065,462,738,399,420
CHF17_RS08070,21313,27171,14756,8825
CHF17_RS08075,63238,49009,49617,52078
CHF17_RS08080,4983,3515,3735,3213
CHF17_RS08085,731,837,498,308
CHF17_RS08090,72,82,40,24
CHF17_RS08095,14044,9950,13332,6580
CHF17_RS08100,15584,11394,14251,7435
CHF17_RS08105,18457,14461,15317,11863
CHF17_RS08110,3475,2673,2310,2171
CHF17_RS08115,3281,2343,1961,1753
CHF17_RS08120,24505,19103,28988,31945
CHF17_RS08125,14888,11086,18989,17328
CHF17_RS08130,23151,18609,30658,32174
CHF17_RS08135,1802,1323,1292,1318
CHF17_RS08140,435,394,325,250
CHF17_RS08145,774,611,508,467
CHF17_RS08150,15626,10923,10040,8796
CHF17_RS08155,4830,2953,3052,3236
CHF17_RS08160,13683,8683,8599,8518
CHF17_RS08165,12062,7233,6691,9284
CHF17_RS08170,734,678,736,705
CHF17_RS08175,224,235,173,122
CHF17_RS08180,107,98,78,67
CHF17_RS08185,108,137,102,68
CHF17_RS08190,173,189,131,111
CHF17_RS08195,213,228,137,85
CHF17_RS08200,4160,4416,2341,1754
CHF17_RS08205,1794,1078,1019,946
CHF17_RS08210,23622,14474,15493,15294
CHF17_RS08215,14843,10968,12507,17481
CHF17_RS08220,6735,3878,4801,2961
CHF17_RS08225,1612,1522,1151,1552
CHF17_RS08230,11839,13258,8834,7631
CHF17_RS08235,28959,20639,23002,19057
CHF17_RS08240,27502,22876,22940,18249
CHF17_RS08245,2168,2461,2001,1617
CHF17_RS08250,4799,5389,4553,3185
CHF17_RS08255,2919,2971,2844,2245
CHF17_RS08260,3850,4021,3707,3369
CHF17_RS08265,4623,4173,4256,3273
CHF17_RS08270,5192,5567,5426,3501
CHF17_RS08275,4221,4305,4127,3948
CHF17_RS08280,8207,6599,6537,6079
CHF17_RS08285,8043,6612,6474,5609
CHF17_RS08290,4785,2788,2648,5391
CHF17_RS08295,283,235,207,299
CHF17_RS08300,1869,1050,882,2210
CHF17_RS08305,17341,10858,9797,12175
CHF17_RS08310,19415,12592,11139,9020
CHF17_RS08315,24721,16146,13397,10800
CHF17_RS08320,1376,731,640,350
CHF17_RS08325,22257,23093,18477,13560
CHF17_RS08330,6524,5324,5007,5208
CHF17_RS08335,8224,5843,5790,5598
CHF17_RS08340,2116,1538,1767,2085
CHF17_RS08345,5793,7499,4779,3631
CHF17_RS08350,43864,49260,41779,33568
CHF17_RS08355,4110,4945,3457,3252
CHF17_RS08360,21162,22846,19585,15953
CHF17_RS08365,13503,12236,10823,8503
CHF17_RS08370,936,731,659,512
CHF17_RS08375,43367,33374,26882,18761
CHF17_RS08380,16299,15890,12538,14495
CHF17_RS08385,7071,5113,5045,5982
CHF17_RS08390,7921,6016,6400,5036
CHF17_RS08395,2671,1852,1566,2123
CHF17_RS08400,27832,26054,18422,14557
CHF17_RS08405,46848,45979,34568,42510
CHF17_RS08410,7802,4086,4189,6500
CHF17_RS08415,38495,30398,34771,42018
CHF17_RS08420,38083,29295,33907,26999
CHF17_RS08425,5259,3628,3924,2464
CHF17_RS08430,16702,12603,12968,8910
CHF17_RS08435,7799,5800,5853,4586
CHF17_RS08440,7377,9105,5044,3205
CHF17_RS08445,13831,15308,8604,7659
CHF17_RS08450,5975,6151,4397,4252
CHF17_RS08455,25832,28276,24138,23034
CHF17_RS08460,10768,23746,9658,3954
CHF17_RS08465,580,472,487,585
CHF17_RS08470,3989,4092,2816,3838
CHF17_RS08475,5752,5479,4419,4090
CHF17_RS08480,4497,4330,3918,3621
CHF17_RS08485,7805,6077,5751,4149
CHF17_RS08490,16314,12107,12958,12581
CHF17_RS08495,8355,5929,7637,8886
CHF17_RS08500,147,66,92,230
CHF17_RS08505,10542,9138,8150,11427
CHF17_RS08510,713,542,613,632
CHF17_RS08515,1383,954,1109,802
CHF17_RS08520,5669,3906,4680,4758
CHF17_RS08525,39,31,49,25
CHF17_RS08530,84,66,76,23
CHF17_RS08535,22,31,28,8
CHF17_RS08540,1470,1080,928,1238
CHF17_RS08545,447,370,388,171
CHF17_RS08550,19,25,23,8
CHF17_RS08555,782,305,237,274
CHF17_RS08560,259,311,252,209
CHF17_RS08565,230,325,206,204
CHF17_RS08570,422,883,454,506
CHF17_RS08575,5139,2991,3188,9369
CHF17_RS08580,1392,1508,1005,608
CHF17_RS08585,2379,3096,2171,1655
CHF17_RS08590,590,749,563,305
CHF17_RS08595,1685,2107,1490,1209
CHF17_RS08600,2742,2159,1339,2948
CHF17_RS08605,7454,7770,5059,4201
CHF17_RS08610,7720,8740,5813,4685
CHF17_RS08615,11019,11673,8852,5584
CHF17_RS08620,3907,3748,2919,1495
CHF17_RS08625,8269,8439,7543,3845
CHF17_RS08630,2934,3246,2955,2467
CHF17_RS08635,1263,1460,934,1194
CHF17_RS08640,29366,29936,26047,21937
CHF17_RS08645,21300,20500,21254,20003
CHF17_RS08650,4665,4022,3853,3710
CHF17_RS08655,933,489,661,1018
CHF17_RS08660,1072,451,492,878
CHF17_RS08665,1974,766,845,959
CHF17_RS08670,1980,987,1308,991
CHF17_RS08675,6011,4113,4281,5851
CHF17_RS08680,49288,47440,42561,36642
CHF17_RS08685,47142,42560,38860,31216
CHF17_RS08690,3834,2200,2431,2474
CHF17_RS08695,7670,7292,5968,5134
CHF17_RS08700,2259,1453,1753,1371
CHF17_RS08705,1076,816,887,986
CHF17_RS08710,2342,2037,1714,1928
CHF17_RS08715,16107,10554,11775,8392
CHF17_RS08720,120001,102360,108334,79082
CHF17_RS08725,3630,4690,4161,3745
CHF17_RS08730,682,721,578,1106
CHF17_RS08735,4084,4976,3824,3106
CHF17_RS08740,110020,105998,94662,81161
CHF17_RS08745,9805,9607,10010,8579
CHF17_RS08750,112,120,100,94
CHF17_RS08755,346,347,323,241
CHF17_RS08760,2397,2225,2273,1394
CHF17_RS08765,2122,1833,1936,1046
CHF17_RS08770,15145,12632,11618,13037
CHF17_RS08775,23606,21910,19435,16592
CHF17_RS08780,30007,27953,24455,20860
CHF17_RS08785,1090,810,705,636
CHF17_RS08790,1137,829,851,363
CHF17_RS08795,1106,707,682,669
CHF17_RS08800,256,135,160,136
CHF17_RS08805,690,500,586,281
CHF17_RS08810,916,644,689,281
CHF17_RS08815,1029,804,1295,240
CHF17_RS08820,330,265,376,116
CHF17_RS08825,1057,795,864,391
CHF17_RS08830,1699,1066,1276,2087
CHF17_RS08835,7667,5164,6555,4067
CHF17_RS08840,1294,1017,972,867
CHF17_RS08845,1714,1355,1348,1347
CHF17_RS08850,22,15,25,8
CHF17_RS08855,7641,5405,6422,6993
CHF17_RS08860,7308,10732,6152,3185
CHF17_RS08865,11405,16092,9009,3976
CHF17_RS08870,31717,40944,20485,22630
CHF17_RS08875,126693,184668,100346,87683
CHF17_RS08880,53995,78348,46422,35556
CHF17_RS08885,4248,2822,2871,2577
CHF17_RS08890,1291,1061,900,660
CHF17_RS08895,4375,2490,2374,5283
CHF17_RS08900,3540,3199,2495,2031
CHF17_RS08905,14567,11807,10766,9067
CHF17_RS08910,6420,3981,3281,2877
CHF17_RS08915,5144,2711,2390,2313
CHF17_RS08920,9998,7157,7650,4912
CHF17_RS08925,5874,3454,3473,3607
CHF17_RS08930,6952,6600,4490,3026
CHF17_RS08935,27172,18957,16455,12981
CHF17_RS08940,9338,7383,6394,6050
CHF17_RS08945,76356,75771,79111,67804
CHF17_RS08950,2182,2744,2402,1632
CHF17_RS08955,11258,9825,10405,8391
CHF17_RS08960,11833,8988,10381,9074
CHF17_RS08965,4303,4552,3879,3697
CHF17_RS08970,38449,42048,34358,25791
CHF17_RS08975,313,284,216,278
CHF17_RS08980,480,352,397,426
CHF17_RS08985,5319,3626,4166,2266
CHF17_RS08990,15920,14467,16337,10244
CHF17_RS08995,3676,3776,3499,1792
CHF17_RS09000,13468,11102,10601,8713
CHF17_RS09005,5512,5864,4158,4261
CHF17_RS09010,6041,5845,4931,3562
CHF17_RS09015,11926,11018,9716,9287
CHF17_RS09020,12338,10219,10010,8997
CHF17_RS09025,11811,8560,8322,9041
CHF17_RS09030,12392,9112,8531,5969
CHF17_RS09035,436,240,275,120
CHF17_RS09040,179,103,93,66
CHF17_RS09045,48,16,15,14
CHF17_RS09050,3631,2034,1969,3673
CHF17_RS09055,8128,6191,7801,5926
CHF17_RS09060,2264,1766,1931,1439
CHF17_RS09065,1081,778,841,765
CHF17_RS09070,7134,6826,6600,8033
CHF17_RS09075,8455,4126,4328,3319
CHF17_RS09080,3302,1729,1788,1534
CHF17_RS09085,3644,2650,1928,2092
CHF17_RS09090,2376,3091,3042,1302
CHF17_RS09095,4535,4846,3696,2641
CHF17_RS09100,3459,2591,2715,2600
CHF17_RS09105,1865,1338,1807,1224
CHF17_RS09110,4192,3138,3704,3444
CHF17_RS09115,3140,2057,1850,1882
CHF17_RS09120,67906,64505,53518,46882
CHF17_RS09125,1154,1450,949,1513
CHF17_RS09130,128712,127713,104834,115375
CHF17_RS09135,35185,32303,26782,28571
CHF17_RS09140,2217,1447,1171,1090
CHF17_RS09145,217004,191212,196685,183903
CHF17_RS09150,5060,5191,4578,4694
CHF17_RS09155,780870,727587,699837,707415
CHF17_RS09160,298943,325640,275483,199697
CHF17_RS09165,52204,70009,41701,42306
CHF17_RS09170,75782,105099,65883,46425
CHF17_RS09175,30208,21830,20756,22828
CHF17_RS09180,11194,8349,9024,8202
CHF17_RS09185,10778,8495,10027,8231
CHF17_RS09190,5074,3542,4372,3881
CHF17_RS09195,13085,9460,10137,8051
CHF17_RS09200,22139,14902,15915,10936
CHF17_RS09205,8788,7376,7080,6347
CHF17_RS09210,12411,11226,9783,10907
CHF17_RS09215,5560,3620,3626,4041
CHF17_RS09220,4221,3085,3118,4399
CHF17_RS09225,5279,3560,4116,3468
CHF17_RS09230,3048,2389,2196,2028
CHF17_RS09235,4186,3361,3816,2604
CHF17_RS09240,11881,8961,10004,11891
CHF17_RS09245,3015,2087,2460,2882
CHF17_RS09250,66840,65286,52840,51465
CHF17_RS09255,10385,9238,7360,8077
CHF17_RS09260,51931,50579,41531,30674
CHF17_RS09265,64730,58965,51320,42503
CHF17_RS09270,4370,3404,2690,2687
CHF17_RS09275,37627,31779,27356,22316
CHF17_RS09280,29460,22560,19398,17285
CHF17_RS09285,8455,6743,3419,6598
CHF17_RS09290,5999,8226,5469,3573
CHF17_RS09295,834,803,843,789
CHF17_RS09300,8125,11923,9238,4274
CHF17_RS09305,5635,7424,6668,2518
CHF17_RS09310,36,31,31,9
CHF17_RS09315,255,269,251,159
CHF17_RS09320,350,232,300,280
CHF17_RS09325,9225,7504,7619,6198
CHF17_RS09330,72,49,33,37
CHF17_RS09335,50,50,53,34
CHF17_RS09340,43,45,36,33
CHF17_RS09345,65,57,46,48
CHF17_RS09350,434,383,426,375
CHF17_RS09355,333,315,310,223
CHF17_RS09360,2320,1354,1304,1437
CHF17_RS09365,45,22,41,61
CHF17_RS09370,49,20,40,68
CHF17_RS09375,34,24,53,68
CHF17_RS09380,23,7,19,53
CHF17_RS09385,24,8,35,45
CHF17_RS09390,55,8,37,95
CHF17_RS09395,456,54,239,472
CHF17_RS09400,13914,9422,10410,10302
CHF17_RS09405,10649,6513,9620,6721
CHF17_RS09410,85711,58148,75583,80159
CHF17_RS09415,3928,3376,3356,3461
CHF17_RS09420,4078,3299,2677,1919
CHF17_RS09425,10912,8348,10227,7579
CHF17_RS09430,5611,3922,4157,1946
CHF17_RS09435,10279,7576,8220,4742
CHF17_RS09440,6891,5697,5088,6405
CHF17_RS09445,14401,12781,11797,12664
CHF17_RS09450,8279,7801,6677,4271
CHF17_RS09455,7330,7921,6732,4717
CHF17_RS09460,33287,26464,26293,19334
CHF17_RS09465,5165,2993,3428,2912
CHF17_RS09470,4315,3273,2707,4082
CHF17_RS09475,81517,95926,62272,62277
CHF17_RS09480,121061,166697,99424,93855
CHF17_RS09485,12571,10709,12898,7335
CHF17_RS09490,48014,46382,54739,31948
CHF17_RS09495,247,341,376,287
CHF17_RS09500,9420,6588,5552,4818
CHF17_RS09505,1721,791,734,453
CHF17_RS09510,9594,6282,9384,8732
CHF17_RS09515,32544,29728,24127,19393
CHF17_RS09520,9965,5796,8632,6945
CHF17_RS09525,3038,1704,1827,2130
CHF17_RS09530,440,242,201,170
CHF17_RS09535,5251,4558,4067,2798
CHF17_RS09540,12516,10818,9645,8989
CHF17_RS09545,8866,4573,3982,5333
CHF17_RS09550,314,263,264,150
CHF17_RS09555,36,39,38,28
CHF17_RS09560,31,37,52,40
CHF17_RS09565,6,8,12,10
CHF17_RS09570,33,28,34,19
CHF17_RS09575,43,16,13,14
CHF17_RS09580,277,100,116,118
CHF17_RS09585,91,40,66,94
CHF17_RS09590,182,141,145,155
CHF17_RS09595,172,153,126,116
CHF17_RS09600,21004,8348,7061,4606
CHF17_RS09605,3544,4276,2379,2240
CHF17_RS09610,1744,2121,1366,1091
CHF17_RS09615,24507,28020,19788,18695
CHF17_RS09620,2665,2621,2393,2379
CHF17_RS09625,29203,31367,24697,24716
CHF17_RS09630,12240,13000,12061,9887
CHF17_RS09635,4728,4402,4703,5035
CHF17_RS09640,7491,6418,7004,5075
CHF17_RS09645,53347,46439,39773,54258
CHF17_RS09650,7701,5937,6333,6032
CHF17_RS09655,70,36,26,51
CHF17_RS09660,59,50,55,50
CHF17_RS09665,90,72,67,47
CHF17_RS09670,3141,2571,2239,1395
CHF17_RS09675,1271,1038,946,601
CHF17_RS09680,15932,11398,12941,9139
CHF17_RS09685,1328,1185,1096,809
CHF17_RS09690,10221,8239,7791,7183
CHF17_RS09695,3783,2730,2578,2902
CHF17_RS09700,543,587,465,365
CHF17_RS09705,361,324,323,453
CHF17_RS09710,400,369,374,391
CHF17_RS09715,821,788,666,1004
CHF17_RS09720,90,60,78,86
CHF17_RS09725,54,24,37,41
CHF17_RS09730,4875,4237,4341,5604
CHF17_RS09735,64,55,44,37
CHF17_RS09740,175,152,130,92
CHF17_RS09745,607,654,594,297
CHF17_RS09750,3883,1941,1998,2549
CHF17_RS09755,267,279,184,159
CHF17_RS09760,136,171,125,81
CHF17_RS09765,3471,2301,2154,2301
CHF17_RS09770,15792,11432,11722,12220
CHF17_RS09775,3427,5656,4590,9300
CHF17_RS09780,3065,2595,2808,2560
CHF17_RS09785,13488,10723,12173,11107
CHF17_RS09790,7581,6184,6774,7061
CHF17_RS09795,2375,1905,1758,1736
CHF17_RS09800,1893,1581,1394,1034
CHF17_RS09805,2683,2055,1883,1128
CHF17_RS09810,79,82,85,92
CHF17_RS09815,51,47,34,52
CHF17_RS09820,50,32,34,42
CHF17_RS09825,24,12,24,41
CHF17_RS09830,2289,1775,1392,2146
CHF17_RS09835,89,79,64,72
CHF17_RS09840,6056,6900,4930,4230
CHF17_RS09845,4642,4395,3507,4246
CHF17_RS09850,762,639,540,617
CHF17_RS09855,1349,1309,1120,778
CHF17_RS09860,12268,11092,9623,7429
CHF17_RS09865,7279,5628,4874,3438
CHF17_RS09870,302,169,176,150
CHF17_RS09875,281,288,298,228
CHF17_RS09880,668,581,677,562
CHF17_RS09885,6251,4238,4370,3074
CHF17_RS09890,2013,1161,1287,1706
CHF17_RS09895,298,154,165,290
CHF17_RS09900,119,72,75,85
CHF17_RS09905,399,106,81,76
CHF17_RS09910,694,63,67,54
CHF17_RS09915,1896,160,135,87
CHF17_RS09920,1145,1476,1065,1076
CHF17_RS09925,962,1287,956,1563
CHF17_RS09930,546,652,613,1293
CHF17_RS09935,204,195,204,504
CHF17_RS09940,1904,1721,1703,1544
CHF17_RS09945,2088,1127,1550,2333
CHF17_RS09950,1424,828,934,1942
CHF17_RS09955,292,149,160,668
CHF17_RS09960,2048,1255,1532,2406
CHF17_RS09965,2239,1454,1352,1461
CHF17_RS09970,8583,6486,6397,5184
CHF17_RS09975,3197,2899,1488,1698
CHF17_RS09980,794,802,363,443
CHF17_RS09985,1581,1715,1590,1341
CHF17_RS09990,35,42,42,21
CHF17_RS09995,2625,1979,2369,2662
CHF17_RS10000,109,128,102,114
CHF17_RS10005,68,90,63,35
