,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS01250,60729,50486,56339,39700
CHF17_RS01255,11341,7997,7934,5636
CHF17_RS01260,13806,10016,9615,8859
CHF17_RS01265,10737,8493,6834,6991
CHF17_RS01270,30000,28368,21208,18487
CHF17_RS01275,5138,2457,3223,3707
CHF17_RS01280,8035,4928,6290,6446
CHF17_RS01285,7187,5340,6758,5683
CHF17_RS01290,2329,1927,2219,1834
CHF17_RS01295,10809,9254,9564,9064
CHF17_RS01300,9183,7821,7355,7105
CHF17_RS01305,7280,4618,4611,3706
CHF17_RS01310,120194,81943,79822,71116
CHF17_RS01315,18144,21031,14032,12352
CHF17_RS01320,17354,24858,15183,12347
CHF17_RS01325,16769,22075,13745,13812
CHF17_RS01330,22444,32081,18147,16057
CHF17_RS01335,1845,1301,1012,237012
CHF17_RS01340,2,1,2,5785
CHF17_RS01345,378,197,299,252811
CHF17_RS01350,2,0,2,7145
CHF17_RS01355,4,0,1,44
CHF17_RS01360,6111,3035,3272,3835
CHF17_RS01365,8621,5794,5794,2961
CHF17_RS01370,8877,6953,6264,6850
CHF17_RS01375,9534,9165,7219,7823
CHF17_RS01380,939,670,646,468
CHF17_RS01385,37726,25158,27620,25474
CHF17_RS01390,22991,18597,15628,13685
CHF17_RS01395,60542,70997,82531,69207
CHF17_RS01400,73331,83060,87802,83196
CHF17_RS01405,2289,696,743,1832
CHF17_RS01410,3900,1255,1450,2069
CHF17_RS01415,1052,495,611,457
CHF17_RS01420,171,139,162,74
CHF17_RS01425,74,72,65,48
CHF17_RS01430,78,74,82,72
CHF17_RS01435,10078,8172,8206,7723
CHF17_RS01440,39976,35874,34802,33118
CHF17_RS01445,492,355,317,482
CHF17_RS01450,345,208,199,177
CHF17_RS01455,1557,1130,1249,446
CHF17_RS01460,7297,6162,5796,4128
CHF17_RS01465,10215,8310,10199,5452
CHF17_RS01470,11992,8724,11109,7976
CHF17_RS01475,818,701,703,239
CHF17_RS01480,575,293,244,417
CHF17_RS01485,3119,1631,1680,1785
CHF17_RS01490,11270,7860,8506,5764
CHF17_RS01495,3661,2929,3541,2428
CHF17_RS01500,110,91,93,82
CHF17_RS01505,1326,732,853,1306
CHF17_RS01510,4088,3246,3284,3371
CHF17_RS01515,1610,1422,1296,1319
CHF17_RS01520,89,71,62,59
CHF17_RS01525,77,77,78,65
CHF17_RS01530,1,1,1,1
CHF17_RS01535,4334,4800,4138,3090
CHF17_RS01540,847,968,1022,623
CHF17_RS01545,457,536,572,436
CHF17_RS01550,398,493,673,441
CHF17_RS01555,446,483,525,384
CHF17_RS01560,348,222,211,227
CHF17_RS01565,984,723,752,831
CHF17_RS01570,363,306,244,166
CHF17_RS01575,59,58,49,48
CHF17_RS01580,243,270,236,214
CHF17_RS01585,266,262,235,207
CHF17_RS01590,295,319,262,247
CHF17_RS01595,1867,726,854,504
CHF17_RS01600,42542,42045,25744,22367
CHF17_RS01605,21333,22303,22107,20515
CHF17_RS01610,6429,7200,7858,6597
CHF17_RS01615,4692,5499,5756,5631
CHF17_RS01620,1546,1955,1966,1945
CHF17_RS01625,8922,9479,10121,10946
CHF17_RS01630,4602,5066,4421,4463
CHF17_RS01635,5869,3202,3931,3466
CHF17_RS01640,5717,2787,3510,2867
CHF17_RS01645,38038,25523,29781,28219
CHF17_RS01650,370,215,245,112
CHF17_RS01655,443,285,338,170
CHF17_RS01660,71273,70697,49677,47348
CHF17_RS01665,76707,82457,57455,48737
CHF17_RS01670,17173,13020,13804,10027
CHF17_RS01675,4962,2322,2954,2713
CHF17_RS01680,40,42,40,22
CHF17_RS01685,191,162,158,87
CHF17_RS01690,57,56,37,28
CHF17_RS01695,27,24,22,25
CHF17_RS01700,17,15,17,15
CHF17_RS01705,1913,1159,1197,783
CHF17_RS01710,13273,10037,8463,9368
CHF17_RS01715,10523,11241,9236,4236
CHF17_RS01720,5257,5942,3930,3886
CHF17_RS01725,11,14,7,4
CHF17_RS01730,18,13,8,5
CHF17_RS01735,364,250,305,147
CHF17_RS01740,1357,1061,1290,1372
CHF17_RS01745,1154,766,990,981
CHF17_RS01750,19783,14589,14566,13025
CHF17_RS01755,39202,26663,27038,20124
CHF17_RS01760,21041,13343,14286,10234
CHF17_RS01765,33401,17393,18314,16916
CHF17_RS01770,1845,1301,1012,237012
CHF17_RS01775,2,1,2,5785
CHF17_RS01780,378,197,299,252811
CHF17_RS01785,2,0,2,7152
CHF17_RS01790,16,12,5,93
CHF17_RS01795,61,40,18,123
CHF17_RS01800,163,90,54,148
CHF17_RS01805,204,96,65,106
CHF17_RS01810,268,100,82,84
CHF17_RS01815,202,57,47,43
CHF17_RS01820,182,59,44,51
CHF17_RS01825,194,75,48,68
CHF17_RS01830,167,77,47,71
CHF17_RS01835,202,120,64,103
CHF17_RS01840,287,220,106,173
CHF17_RS01845,305,261,122,211
CHF17_RS01850,1726,530,616,501
CHF17_RS01855,5345,2674,3272,2663
CHF17_RS01860,1871,1361,1796,1313
CHF17_RS01865,1927,1371,1784,944
CHF17_RS01870,2156,1664,1893,1446
CHF17_RS01875,1590,684,958,1357
CHF17_RS01880,1137,497,765,1057
CHF17_RS01885,4295,2460,3339,2372
CHF17_RS01890,3446,2634,3085,1342
CHF17_RS01895,1606,1141,1558,622
CHF17_RS01900,170,200,259,89
CHF17_RS01905,767,758,859,345
CHF17_RS01910,1198,1156,1285,583
CHF17_RS01915,661,569,622,597
CHF17_RS01920,3506,1364,1379,846
CHF17_RS01925,1406,285,260,354
CHF17_RS01930,26916,22347,22012,12448
CHF17_RS01935,13067,4067,10336,12409
CHF17_RS01940,314,249,261,509
CHF17_RS01945,19031,19567,17452,18253
CHF17_RS01950,14014,14488,12217,8827
CHF17_RS01955,42057,41651,35690,41962
CHF17_RS01960,5221,4591,3691,4522
CHF17_RS01965,1330,1178,700,1825
CHF17_RS01970,247,299,234,296
CHF17_RS01975,417,545,412,511
CHF17_RS01980,219,360,262,303
CHF17_RS01985,1230,1138,1054,915
CHF17_RS01990,1463,1516,1454,1085
CHF17_RS01995,89317,72772,88684,96438
CHF17_RS02000,4763,3102,4550,4851
CHF17_RS02005,24197,15275,22059,19467
CHF17_RS02010,53385,41611,55742,43158
CHF17_RS02015,3071,2623,3061,2760
CHF17_RS02020,6510,4276,5170,3691
CHF17_RS02025,14517,9108,10027,9260
CHF17_RS02030,9779,7690,7065,6597
CHF17_RS02035,3880,3372,2987,2200
CHF17_RS02040,21734,22482,17101,13531
CHF17_RS02045,10038,11033,7415,5511
CHF17_RS02050,29292,17504,17654,18298
CHF17_RS02055,47607,29864,27761,34810
CHF17_RS02060,82126,58090,67788,53408
CHF17_RS02065,90794,72307,70964,63608
CHF17_RS02070,2422,1854,1554,2259
CHF17_RS02075,11647,8855,8640,8640
CHF17_RS02080,20309,13015,14928,14325
CHF17_RS02085,16085,10998,11644,12528
CHF17_RS02090,55923,49075,56136,33542
CHF17_RS02095,41146,34399,37903,24930
CHF17_RS02100,13685,11314,12742,6965
CHF17_RS02105,480,466,444,359
CHF17_RS02110,113,100,112,52
CHF17_RS02115,9579,6585,5241,7102
CHF17_RS02120,24175,23875,14660,26261
CHF17_RS02125,13491,12825,7380,16177
CHF17_RS02130,43141,43747,32675,27130
CHF17_RS02135,10016,9279,9030,10270
CHF17_RS02140,21226,19514,13674,17495
CHF17_RS02145,728,880,541,762
CHF17_RS02150,1514,1161,1300,1464
CHF17_RS02155,1293,962,967,1338
CHF17_RS02160,6836,4804,5119,3832
CHF17_RS02165,4851,3414,3457,3959
CHF17_RS02170,5783,4171,4261,3896
CHF17_RS02175,23291,15994,16745,18166
CHF17_RS02180,17396,13077,13426,12982
CHF17_RS02185,8537,7295,7628,8776
CHF17_RS02190,3529,2555,3055,3479
CHF17_RS02195,3791,3269,4313,4060
CHF17_RS02200,10978,7521,7939,7723
CHF17_RS02205,57396,52261,46771,33025
CHF17_RS02210,1603,1442,1507,719
CHF17_RS02215,5250,4657,4688,3395
CHF17_RS02220,2125,1701,1712,2093
CHF17_RS02225,21340,16791,15722,16292
CHF17_RS02230,9560,7928,7040,8312
CHF17_RS02235,2013,1835,1668,1654
CHF17_RS02240,1663,1544,1379,1316
CHF17_RS02245,3022,2608,2457,2515
CHF17_RS02250,18,34,16,13
CHF17_RS02255,29,35,20,19
