Synonym,Expression.TH4527,Expression.TH5031
SPD_1824,156,214
SPD_1737,959,1311
SPD_1949,11,15
SPD_1736,12,16
SPD_1804,14,20
SPD_1684,8,11
SPD_1805,18,25
SPD_0846,189,255
SPD_1545,86,116
SPD_1854,87,118
SPD_0015,111,151
SPD_0020,1,1
SPD_0110,4,5
SPD_0291,3,4
SPD_0457,2,3
SPD_1011,1,1
SPD_1492,1,2
SPD_1494,4,5
SPD_1514,1,2
SPD_1582,1,1
SPD_1584,0,1
SPD_1723,0,1
SPD_1844,1,1
SPD_1847,1,1
SPD_1973,6,9
SPD_1856,1025,1374
SPD_0050,1570,2113
SPD_1509,52,70
SPD_1557,42,56
SPD_1599,12,16
SPD_1676,7,9
SPD_2017,40,54
SPD_1732,23,30
SPD_0266,8,10
SPD_1553,16,21
SPD_0189,56,73
SPD_0317,324,427
SPD_0109,3,4
SPD_0164,3,5
SPD_1574,27,35
SPD_1720,6,8
SPD_1811,13,16
SPD_1655,82,108
SPD_1955,11,14
SPD_0104,355,463
SPD_1507,73,95
SPD_0537,56,73
SPD_1508,59,77
SPD_1602,14,19
SPD_0122,2,2
SPD_0125,2,2
SPD_1442,15,20
SPD_0716,33,43
SPD_1808,15,19
SPD_0186,428,554
SPD_1571,101,131
SPD_0025,14,18
SPD_1518,7,9
SPD_1689,31,42
SPD_0552,5,6
SPD_0158,16,21
SPD_1601,14,18
SPD_0545,6,8
SPD_1609,3,4
SPD_1971,3,4
SPD_0318,337,431
SPD_1382,44,57
SPD_1237,24,31
SPD_0522,4,5
SPD_1443,17,21
SPD_1882,16,21
SPD_0087,76,96
SPD_0845,239,305
SPD_1544,112,143
SPD_1510,62,80
SPD_0475,385,488
SPD_2029,14,18
SPD_1743,598,759
SPD_1122,187,236
SPD_0043,33,42
SPD_1558,41,52
SPD_0227,1,1
SPD_0351,19,24
SPD_0456,1,1
SPD_0484,1,1
SPD_0530,8,10
SPD_0618,2,2
SPD_0673,1,1
SPD_1191,12,15
SPD_1303,6,8
SPD_1695,17,21
SPD_1902,50,64
SPD_1936,10,12
SPD_1951,2,2
SPD_1542,187,236
SPD_1573,60,75
SPD_1220,34,42
SPD_1696,20,26
SPD_1758,112,141
SPD_1741,397,498
SPD_1876,16,20
SPD_1759,102,127
SPD_1652,101,126
SPD_2056,24,31
SPD_1881,12,14
SPD_2050,28,35
SPD_0131,236,296
SPD_0177,34,43
SPD_0049,1664,2076
SPD_0154,42,52
SPD_2048,32,40
SPD_0342,111,138
SPD_1778,479,597
SPD_0320,234,291
SPD_1554,43,54
SPD_1883,31,39
SPD_0028,113,142
SPD_0436,3,4
SPD_1302,3,4
SPD_1607,3,4
SPD_1972,3,4
SPD_1977,40,50
SPD_0424,6,8
SPD_0249,52,64
SPD_1653,39,47
SPD_0319,361,447
SPD_0248,189,235
SPD_0534,26,32
SPD_0037,447,552
SPD_0044,61,74
SPD_0352,22,28
SPD_0662,2,3
SPD_1213,5,6
SPD_1410,10,13
SPD_1630,5,6
SPD_1678,10,12
SPD_1921,74,92
SPD_2030,62,76
SPD_1227,94,116
SPD_0152,24,30
SPD_1419,9,11
SPD_1719,10,12
SPD_0174,106,131
SPD_1937,22,27
SPD_0367,132,162
SPD_0341,125,154
SPD_1643,54,66
SPD_0187,316,387
SPD_0265,23,29
SPD_0616,4,5
SPD_1756,3,4
SPD_0516,61,76
SPD_1250,38,46
SPD_1922,58,71
SPD_1654,71,86
SPD_2065,360,437
SPD_2022,103,126
SPD_0031,67,82
SPD_1770,20,24
SPD_1595,304,370
SPD_0163,16,19
SPD_0543,16,20
SPD_1694,16,20
SPD_0153,61,74
SPD_1708,17,21
SPD_1900,71,86
SPD_1920,68,84
SPD_0246,98,119
SPD_1821,40,49
SPD_1864,510,620
SPD_1742,635,771
SPD_0247,14,17
SPD_0280,1,1
SPD_0486,1,1
SPD_0510,3,3
SPD_1165,1,1
SPD_1501,1,1
SPD_1608,2,3
SPD_1648,1,1
SPD_1749,1,1
SPD_1659,111,134
SPD_1348,63,75
SPD_1884,43,53
SPD_1422,17,20
SPD_1536,56,68
SPD_0316,413,499
SPD_2068,124,149
SPD_1871,11,14
SPD_1631,10,12
SPD_2021,20,24
SPD_2069,67,80
SPD_0171,67,81
SPD_0469,73,88
SPD_2019,28,33
SPD_0184,63,76
SPD_1651,171,206
SPD_1572,71,85
SPD_1063,16,19
SPD_1219,37,44
SPD_0651,57,68
SPD_0614,4,5
SPD_1111,9,10
SPD_1626,37,45
SPD_0682,167,201
SPD_1712,33,39
SPD_1826,362,434
SPD_1621,93,112
SPD_1716,76,91
SPD_1570,54,65
SPD_1978,27,32
SPD_1932,50,60
SPD_1556,64,76
SPD_1434,32,38
SPD_0350,24,29
SPD_1543,218,259
SPD_1848,13,16
SPD_1658,115,137
SPD_0985,17,20
SPD_1433,20,23
SPD_0433,6,7
SPD_0981,6,7
SPD_1798,12,15
SPD_1907,45,53
SPD_1810,23,28
SPD_1762,37,44
SPD_1555,34,41
SPD_2045,34,41
SPD_1656,85,101
SPD_1874,103,123
SPD_0495,8,9
SPD_1606,8,9
