Synonym,Expression.TH4527,Expression.TH5031
SPD_1027,59,55
SPD_0803,44,40
SPD_0923,15,14
SPD_0960,387,362
SPD_1304,15,14
SPD_1309,411,385
SPD_2013,39,36
SPD_1823,2542,2380
SPD_0308,190,177
SPD_1481,158,148
SPD_0979,50,46
SPD_0742,34,32
SPD_0014,2637,2471
SPD_0009,56,53
SPD_1830,46,43
SPD_2053,92,86
SPD_0826,41,39
SPD_0082,30,28
SPD_0825,79,74
SPD_1085,170,158
SPD_0952,30,28
SPD_0702,206,193
SPD_1526,135,126
SPD_1550,37,34
SPD_1430,73,69
SPD_1449,152,142
SPD_1040,3632,3388
SPD_0492,7,7
SPD_0528,7,7
SPD_0712,3,3
SPD_0870,11,10
SPD_1026,11,10
SPD_0081,109,101
SPD_2009,427,396
SPD_1381,928,866
SPD_0672,115,107
SPD_0455,28,27
SPD_0729,21,20
SPD_1068,249,231
SPD_0489,18,16
SPD_0222,211,196
SPD_0074,274,255
SPD_1160,52,48
SPD_1451,52,48
SPD_0264,167,155
SPD_1839,69,64
SPD_1407,194,180
SPD_0399,269,249
SPD_0420,257,239
SPD_1399,54,51
SPD_1460,113,104
SPD_1392,266,247
SPD_0507,108,100
SPD_0257,217,200
SPD_1831,17,15
SPD_1245,605,560
SPD_0526,1075,994
SPD_1945,26,24
SPD_1283,55,51
SPD_2042,3302,3054
SPD_1866,204,187
SPD_0273,1163,1076
SPD_1851,273,250
SPD_1706,389,359
SPD_0752,19,17
SPD_0262,121,111
SPD_1249,12,11
SPD_1679,57,52
SPD_0678,97,89
SPD_1788,63,57
SPD_0468,291,267
SPD_0645,52,48
SPD_0764,65,60
SPD_0959,136,126
SPD_0791,3,2
SPD_0795,3,3
SPD_0804,3,3
SPD_0859,9,8
SPD_1693,9,8
SPD_0181,571,523
SPD_1996,354,325
SPD_1288,21,19
SPD_1330,39,36
SPD_0488,73,67
SPD_0740,15,14
SPD_1117,15,14
SPD_0062,73,67
SPD_0309,209,192
SPD_1464,619,567
SPD_0906,36,33
SPD_0723,189,172
SPD_1767,86,79
SPD_1393,35,32
SPD_0719,21,19
SPD_1637,104,95
SPD_1954,20,19
SPD_0788,91,84
SPD_0072,6,5
SPD_1958,18,16
SPD_0776,102,93
SPD_0737,167,152
SPD_0098,189,172
SPD_0692,52,47
SPD_1340,107,97
SPD_0760,17,15
SPD_1525,318,288
SPD_0652,80,72
SPD_1462,614,558
SPD_0311,65,59
SPD_0967,153,139
SPD_1086,62,56
SPD_1728,1094,996
SPD_0068,2,2
SPD_0236,2,2
SPD_0250,8,7
SPD_1531,25,23
SPD_1379,147,134
SPD_0126,176,160
SPD_0047,342,311
SPD_1196,249,226
SPD_0538,30,28
SPD_1187,174,156
SPD_0567,27,25
SPD_1225,47,43
SPD_1726,278,252
SPD_0871,22,20
SPD_1522,153,138
SPD_0733,30,27
SPD_0980,116,105
SPD_0114,14,12
SPD_1310,1557,1411
SPD_0272,58,52
SPD_0566,33,29
SPD_1562,136,123
SPD_1432,495,448
SPD_0592,13,12
SPD_0663,73,66
SPD_0766,37,34
SPD_2014,88,79
SPD_1146,16,14
SPD_1216,21,19
SPD_1715,133,120
SPD_0302,170,154
SPD_0003,50,44
SPD_0092,37,33
SPD_1025,7,7
SPD_2026,125,113
SPD_1897,963,869
SPD_0229,10,9
SPD_0759,10,9
SPD_0969,31,28
SPD_1456,10,9
SPD_0670,12,11
SPD_0973,26,23
SPD_0160,51,46
SPD_0340,56020,50341
SPD_0650,82,74
SPD_1137,28,25
SPD_0289,2,2
SPD_0549,23,20
SPD_0773,5,4
SPD_0827,17,15
SPD_0928,7,7
SPD_1024,5,4
SPD_1515,2,2
SPD_1832,17,16
SPD_1077,67,61
SPD_0802,32,29
SPD_1195,125,112
SPD_1257,17,15
SPD_1838,342,306
SPD_0419,25,22
SPD_0854,49,44
SPD_1729,2341,2099
SPD_0680,61,55
SPD_0898,62,55
SPD_1050,41,37
SPD_0847,1048,935
SPD_0441,249,222
SPD_0220,79,71
SPD_0561,26,23
SPD_1358,100,89
SPD_1320,126,112
SPD_0085,83,74
SPD_0263,134,120
SPD_0903,78,69
SPD_0763,77,68
SPD_0655,16,14
SPD_0875,9,8
SPD_0838,150,133
SPD_0953,23,20
SPD_0677,106,94
SPD_0491,13,12
SPD_0687,29,26
SPD_0840,63,54
SPD_0724,112,99
SPD_0479,140,125
SPD_0467,186,165
SPD_1100,54,48
SPD_0745,59,51
SPD_0060,11,10
SPD_0139,2,2
SPD_0666,116,103
SPD_0910,76,67
SPD_0917,2,2
SPD_0954,2,2
SPD_1016,6,6
SPD_1170,2,2
SPD_1179,29,26
SPD_1911,9,7
SPD_1067,110,96
SPD_1098,56,49
SPD_0593,120,105
SPD_1235,22,19
SPD_0709,42,37
SPD_0722,115,101
SPD_1450,119,105
SPD_1567,612,539
SPD_1039,589,517
SPD_0857,22,19
SPD_1287,96,85
SPD_1307,19,17
SPD_1793,236,208
SPD_0058,8,7
SPD_0627,8,7
SPD_0848,679,596
SPD_1224,124,108
SPD_1326,91,80
SPD_0751,28,24
SPD_1372,28,24
SPD_0790,112,98
SPD_0982,39,34
SPD_0091,256,225
SPD_0700,114,100
SPD_0241,51,45
SPD_0738,125,109
SPD_1298,159,139
SPD_1292,67,59
SPD_1964,2200,1928
SPD_1941,351,307
SPD_2036,86,76
SPD_0144,116,101
SPD_1069,217,189
SPD_1461,1531,1342
SPD_1129,4,3
SPD_1800,21,18
SPD_1217,52,46
SPD_1396,71,62
SPD_1097,67,58
SPD_0664,92,80
SPD_1277,10,9
SPD_1091,40,35
SPD_0576,350,304
SPD_1585,6,5
SPD_1946,37,32
SPD_0609,191,166
SPD_1918,327,285
SPD_1126,24,21
SPD_0055,18,15
SPD_0671,20,17
SPD_1363,237,205
SPD_0814,34,29
SPD_0541,216,187
SPD_0621,248,215
SPD_0646,405,350
SPD_1647,231,201
SPD_1188,598,518
SPD_1797,315,274
SPD_1051,98,85
SPD_0290,2,1
SPD_0335,2,1
SPD_0481,55,48
SPD_1049,6,5
SPD_1354,2,1
SPD_1833,15,13
SPD_1993,2,1
SPD_1772,170,148
SPD_1369,2146,1854
SPD_0856,49,42
SPD_1057,25,22
SPD_0815,21,18
SPD_0996,153,132
SPD_1135,61,52
SPD_1404,1048,901
SPD_1282,24,21
SPD_1004,7,6
SPD_1377,7,6
SPD_1665,7,6
SPD_1153,51,44
SPD_1999,51,44
SPD_0410,862,741
SPD_0736,39,34
SPD_0834,1533,1317
SPD_0717,86,74
SPD_1118,145,125
SPD_1211,41,35
SPD_1674,5,4
SPD_0905,43,37
SPD_0560,67,57
SPD_2027,173,149
SPD_1278,102,88
SPD_0963,50,42
SPD_0833,112,96
SPD_1286,90,77
SPD_0217,974,837
SPD_1133,466,399
SPD_0701,1168,1000
SPD_1066,116,100
SPD_0675,80,68
SPD_1007,3,3
SPD_1299,3,3
SPD_0762,139,118
SPD_0989,3226,2752
SPD_0524,112,96
SPD_0958,129,110
SPD_1926,254,216
SPD_0915,94,80
SPD_1158,141,119
SPD_0590,196,167
SPD_0580,55,47
SPD_0414,104,88
SPD_0837,42,36
SPD_0696,19,16
SPD_0798,39,33
SPD_1134,604,513
SPD_0519,11,9
SPD_0784,16,13
SPD_0679,97,83
SPD_0056,12,10
SPD_1431,52,45
SPD_1446,102,86
SPD_1632,68,57
SPD_0800,63,53
SPD_0423,100,84
SPD_1023,36,31
SPD_0813,23,19
SPD_0026,13,11
SPD_0448,664,561
SPD_1306,29,24
SPD_0574,121,103
SPD_0437,394,333
SPD_0659,140,118
SPD_1452,112,94
SPD_0636,633,533
SPD_0511,3,3
SPD_0553,3,3
SPD_0597,2,1
SPD_0603,1,1
SPD_0782,5,4
SPD_0812,15,12
SPD_0925,3,3
SPD_0929,1,1
SPD_1125,18,15
SPD_1783,10,8
SPD_0608,782,657
SPD_0665,321,270
SPD_0216,1093,918
SPD_0750,25,21
SPD_0789,483,406
SPD_1148,3523,2955
SPD_1041,53,45
SPD_0775,101,84
SPD_0964,74,62
SPD_0874,28,23
SPD_0836,36,30
SPD_0588,23,19
SPD_1157,11,9
SPD_1984,520,437
SPD_0878,98,81
SPD_0797,9,8
SPD_0619,38,32
SPD_0255,907,759
SPD_0460,132,110
SPD_0792,8,6
SPD_0994,80,66
SPD_1020,21,17
SPD_1748,42,35
SPD_1127,90,75
SPD_0904,206,171
SPD_1002,17,14
SPD_1143,40,33
SPD_0630,11,9
SPD_1400,122,100
SPD_0658,281,234
SPD_0080,4,4
SPD_0877,14,12
SPD_1159,28,24
SPD_1028,173,143
SPD_0284,378,314
SPD_0039,556,463
SPD_0694,125,103
SPD_0478,763,632
SPD_0256,727,604
SPD_1012,614,510
SPD_1727,562,467
SPD_0120,3,2
SPD_0235,6,5
SPD_0883,3,2
SPD_0955,3,2
SPD_0866,286,236
SPD_0886,17,14
SPD_0976,35,29
SPD_1814,186,154
SPD_0849,266,220
SPD_0559,151,124
SPD_1214,7,6
SPD_1592,12,10
SPD_1418,81,67
SPD_0598,192,158
SPD_0547,80,65
SPD_0413,223,184
SPD_0855,265,218
SPD_0166,36,30
SPD_0226,4,3
SPD_0689,90,74
SPD_1119,356,294
SPD_0234,15,12
SPD_1711,6917,5671
SPD_2000,46,37
SPD_1934,260,213
SPD_1078,409,335
SPD_0894,35,29
SPD_1516,6,5
SPD_1873,6,4
SPD_0016,352,287
SPD_1255,49,40
SPD_1700,187,153
SPD_1044,502,409
SPD_1152,246,200
SPD_0018,565,461
SPD_1447,33,27
SPD_1891,188,152
SPD_0231,8,7
SPD_0633,9,7
SPD_0939,8,7
SPD_0233,29,23
SPD_1702,117,95
SPD_1524,1175,957
SPD_0900,11,9
SPD_0914,22,18
SPD_1745,22,18
SPD_0965,49,40
SPD_0688,32,26
SPD_0565,36,29
SPD_0641,75,61
SPD_0132,2492,2024
SPD_0990,4889,3953
SPD_1893,117,94
SPD_0059,8,7
SPD_0503,1,1
SPD_0639,1,1
SPD_0768,35,28
SPD_0781,1,1
SPD_0787,1,1
SPD_0807,1,1
SPD_0933,4,3
SPD_1073,2,2
SPD_1080,11,9
SPD_1081,17,13
SPD_1242,78,63
SPD_1751,1,1
SPD_0133,2942,2375
SPD_0853,116,94
SPD_0746,84,68
SPD_0168,61,49
SPD_0735,118,96
SPD_0817,95,76
SPD_0839,53,42
SPD_0693,22,18
SPD_0267,16,13
SPD_0907,30,24
SPD_0117,53,42
SPD_0816,104,83
SPD_1947,72,58
SPD_0851,801,642
SPD_1052,245,198
SPD_0466,301,241
SPD_0820,19,15
SPD_1401,940,751
SPD_0625,8,6
SPD_1019,47,38
SPD_0968,38,30
SPD_1816,117,94
SPD_2033,249,200
SPD_1357,19,15
SPD_0624,5,4
SPD_0809,21,16
SPD_0799,141,111
SPD_1746,232,185
SPD_0447,1938,1539
SPD_1590,114,91
SPD_0649,542,431
SPD_1747,96,76
SPD_0772,11,9
SPD_0821,11,9
SPD_0830,4,3
SPD_0924,3,3
SPD_1166,4,3
SPD_1186,4,3
SPD_0073,164,130
SPD_0705,88,70
SPD_1212,462,367
SPD_1910,10,8
SPD_0695,58,46
SPD_0902,37,29
SPD_1090,17,13
SPD_0908,266,212
SPD_1015,13,10
SPD_1927,148,117
SPD_0757,301,237
SPD_0704,129,102
SPD_0167,58,46
SPD_0780,2,2
SPD_0909,153,120
SPD_0971,2,2
SPD_1752,2,2
SPD_1244,351,275
SPD_0801,13,10
SPD_1030,26,20
SPD_1341,216,170
SPD_1588,268,208
SPD_1053,313,243
SPD_0230,40,31
SPD_0761,30,23
SPD_0858,10,8
SPD_1018,7,5
SPD_0896,72,56
SPD_0862,12,9
SPD_0876,12,9
SPD_0739,176,136
SPD_0998,18,14
SPD_1913,14,11
SPD_1327,136,105
SPD_1454,128,99
SPD_1005,22,17
SPD_0995,17,13
SPD_0169,90,69
SPD_0767,26,20
SPD_0999,13,10
SPD_1332,40,30
SPD_0771,43,33
SPD_0754,131,100
SPD_0301,251,191
SPD_0749,151,115
SPD_1789,294,225
SPD_0843,590,452
SPD_1138,97,74
SPD_1087,18,13
SPD_0685,56,42
SPD_0681,454,345
SPD_0261,355,269
SPD_0215,1595,1207
SPD_0831,1,0
SPD_0927,5,4
SPD_1265,2,1
SPD_1579,19,14
SPD_1617,3,2
SPD_1840,1,1
SPD_0730,42,32
SPD_1089,32,24
SPD_1021,16,12
SPD_1948,45,34
SPD_0449,13,10
SPD_0852,157,118
SPD_1243,121,91
SPD_1629,12,9
SPD_0708,174,131
SPD_0626,9,7
SPD_1150,165,122
SPD_0581,174,130
SPD_0819,21,16
SPD_1017,6,4
SPD_0631,11,8
SPD_0642,12,9
SPD_1782,141,104
SPD_0558,79,58
SPD_0657,135,100
SPD_0667,1105,817
SPD_0880,4,3
SPD_1589,68,50
SPD_1591,77,56
SPD_1001,74,55
SPD_1048,3,2
SPD_0885,26,19
SPD_0442,109,79
SPD_1136,138,101
SPD_1088,37,27
SPD_1415,296,216
SPD_0731,213,154
SPD_0459,643,466
SPD_0228,1,1
SPD_0237,3,3
SPD_0604,1,1
SPD_0895,6,4
SPD_0931,41,30
SPD_1263,1,1
SPD_0610,80,58
SPD_1359,94,68
SPD_1710,601,430
SPD_1490,5,3
SPD_1151,169,119
SPD_1168,3,2
SPD_0873,52,36
SPD_0408,6,4
SPD_1006,6,4
SPD_1156,31,22
SPD_0595,40,28
SPD_0957,589,410
SPD_1470,9,6
SPD_1032,561,386
SPD_0232,22,15
SPD_1031,37,25
SPD_0818,125,84
SPD_0988,22,15
SPD_0293,1,0
SPD_0297,0,0
SPD_0360,1,0
SPD_0612,3,2
SPD_0778,2,1
SPD_0779,4,3
SPD_0786,1,1
SPD_0805,1,1
SPD_0889,9,6
SPD_1162,1,0
SPD_1321,0,0
SPD_1583,0,0
SPD_1149,53,36
SPD_0268,6,4
SPD_1037,12,8
SPD_0623,12,7
SPD_0879,12,7
SPD_1155,58,38
SPD_1953,4,3
SPD_0850,79,51
SPD_1008,4,2
SPD_1266,14,9
SPD_0069,3,2
SPD_0458,887,566
SPD_0622,75,47
SPD_0613,4,2
SPD_1272,2,1
SPD_0755,36,22
SPD_1414,8,5
SPD_0882,8,5
SPD_1965,61,37
SPD_0887,5,3
SPD_1355,1,0
SPD_0888,9,5
SPD_0916,5,3
SPD_0974,83,49
SPD_1275,3,2
SPD_0865,83,48
SPD_0832,4,2
SPD_1319,2,1
SPD_1316,6,3
SPD_0890,27,15
SPD_2001,7,4
SPD_0930,34,19
SPD_0571,3,2
SPD_1038,40,21
SPD_1082,16,8
SPD_0283,0,0
SPD_0715,2,1
SPD_0808,0,0
SPD_0884,3,1
SPD_0992,0,0
SPD_1054,0,0
SPD_1181,0,0
SPD_1269,1,0
SPD_1324,0,0
SPD_1469,3,1
SPD_1610,1,0
SPD_1760,0,0
SPD_1917,4,2
SPD_1317,5,3
SPD_1471,8,3
SPD_0975,648,264
SPD_1271,1,0
SPD_1930,0,0
SPD_1616,1,0
SPD_0096,122,30
SPD_0300,0,0
SPD_0485,0,0
SPD_0899,0,0
SPD_0951,0,0
SPD_1270,0,0
SPD_1533,0,0
SPD_0143,0,0
SPD_0276,0,0
SPD_0278,0,0
SPD_0298,0,0
SPD_0299,0,0
SPD_0359,0,0
SPD_0361,0,0
SPD_0362,0,0
SPD_0363,0,0
SPD_0364,0,0
SPD_0499,0,0
SPD_0770,0,0
SPD_0869,0,0
SPD_0920,0,0
SPD_0934,0,0
SPD_0935,0,0
SPD_0936,0,0
SPD_0940,0,0
SPD_0941,0,0
SPD_0942,0,0
SPD_0943,0,0
SPD_0944,0,0
SPD_0945,0,0
SPD_0946,0,0
SPD_0947,0,0
SPD_0948,0,0
SPD_0950,0,0
SPD_1003,0,0
SPD_1035,0,0
SPD_1036,0,0
SPD_1045,0,0
SPD_1046,0,0
SPD_1059,0,0
SPD_1174,0,0
SPD_1180,0,0
SPD_1182,0,0
SPD_1185,0,0
SPD_1323,0,0
SPD_1611,0,0
SPD_1614,0,0
SPD_1615,0,0
