,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count
SMU_164,429.5,581,801.5,771,520,1571,776.5,971,1181,549,535.5,653,653,609.5,861,716.5,781,731
SMU_165,774.5,1016,1387.5,1074,799,1674,939.5,1068,1419,916,851.5,1035,1155,1000.5,1280,1039.5,1068,1037
SMU_166,193,175.5,458.5,594.5,409.5,1250,619,576.5,969.5,249,257.5,252,253,321.5,621,373.5,400.5,392.5
SMU_167,112,156,226.5,359,272.5,436.5,275,259.5,359.5,191,202,192.5,198,200,284,243,297,272.5
SMU_168,145,134.5,204,300.5,324,450.5,469,374,374,203,179.5,177.5,210,161.5,263,334.5,294.5,345
SMU_169,5591.5,8260.5,7980.5,16970,9706.5,7378,9899,6994.5,6906.5,4833.5,3842,4359,10528,10192.5,9091,5327,5048.5,4424.5
SMU_170,8402.5,9808.5,10040.5,19110,11930.5,13191,11786,12121.5,10937.5,7037.5,5920,6195,12763,12468.5,10812,6210,6123.5,5154.5
SMU_172,139.5,191.5,306,248.5,266.5,346,202,374.5,405,360,313,352.5,406.5,382.5,487,332.5,414,479.5
SMU_173,322.5,489.5,484,415.5,467.5,1057,517,1050.5,778,854,721,856.5,756.5,672.5,709,778.5,1056,1184.5
SMU_174c,186,275,467,293,255,1224,325,571,909,328,298,271,324,360,538,358,466,457
SMU_175,3,5,33,5,11,208,15,40,100,12,12,12,6,11,57,23,45,25
SMU_176,8,4,52,5,8,226,17,59,127,19,21,23,17,15,78,18,33,20
SMU_177,187.5,273.5,943.5,434,322.5,2272,627.5,818,1649,453.5,406,404.5,500.5,537,1215.5,591,545,477
SMU_178,439.5,625.5,853.5,793,582.5,1325,644.5,941,1150,700.5,616,720.5,930.5,870,1043.5,1005,957,879
SMU_179,883.5,920,1126,494,396.5,925.5,279,484.5,501.5,1109,1150,1266.5,656.5,547.5,949.5,2785.5,3123,2570.5
SMU_180,3836.5,5232,5326,2250,1404.5,2980.5,991,1302.5,1699.5,4882,5324,4728.5,2906.5,2410.5,3277.5,12753.5,13599,11543.5
SMU_181,441,591,767,804,607,1572,930,1177,1343,553,704,567,619,474,736,755,704,739
