gene,IU1824.1,IU1824.2,IU1824.4,IU9036.1,IU9036.3,IU9036.4
Inter.NC_008533.1.848842.36,1,0,0,0,1,0
Inter.NC_008533.0.1750693.26,0,0,0,0,0,0
Inter.NC_008533.0.1216026.52,1,0,1,0,1,1
Inter.NC_008533.1.994457.11,1,1,0,3,0,1
Inter.NC_008533.0.1387559.6,0,1,0,0,0,0
Inter.NC_008533.1.310564.27,1,2,0,0,2,1
Inter.NC_008533.1.609796.45,0,0,0,0,0,1
Inter.NC_008533.1.757283.98,1,2,0,3,0,0
Inter.NC_008533.1.179084.132,0,0,0,0,0,1
ABJ54893.1,1,2,1,4,1,1
Inter.NC_008533.0.1889188.39,0,0,0,0,1,0
Inter.NC_008533.0.1397152.69,0,1,0,0,0,0
Inter.NC_008533.0.997969.22,0,0,0,1,0,0
Inter.NC_008533.1.361081.23,0,0,0,0,0,0
Inter.NC_008533.1.916617.63,1,0,0,0,0,0
Inter.NC_008533.0.1709836.111,0,0,0,1,0,0
Inter.NC_008533.1.949173.318,0,0,0,0,0,0
Inter.NC_008533.1.218389.188,0,0,0,0,1,0
ABJ54398.1,315,262,287,323,334,277
Inter.NC_008533.1.1028489.8,0,0,0,0,1,0
Inter.NC_008533.1.35663.81,0,0,0,0,0,0
Inter.NC_008533.0.1479761.145,0,0,1,2,0,0
Inter.NC_008533.1.1178659.20,1,0,0,0,0,1
Inter.NC_008533.1.343145.50,0,1,0,0,0,4
Inter.NC_008533.1.0.197,0,0,0,1,0,1
Inter.NC_008533.0.1439453.71,0,0,0,0,0,0
Inter.NC_008533.1.1117070.2,1,0,0,0,0,0
Inter.NC_008533.0.348687.0,0,6,2,3,1,2
Inter.NC_008533.1.382966.76,1,0,1,0,0,0
Inter.NC_008533.0.39745.0,0,0,0,0,0,0
Inter.NC_008533.0.1759651.50,1,1,0,0,0,0
Inter.NC_008533.0.1415114.171,1,1,0,0,1,0
Inter.NC_008533.1.588008.204,0,0,0,0,0,0
ABJ55039.1,4,11,4,6,6,5
ABJ55412.1,4,4,4,9,7,4
Inter.NC_008533.0.1145128.56,1,0,0,0,0,0
Inter.NC_008533.1.1186316.7,1,0,0,0,0,0
Inter.NC_008533.1.757283.106,5,0,0,4,3,4
Inter.NC_008533.1.609796.30,1,1,0,4,0,0
Inter.NC_008533.0.1479761.223,0,0,0,0,0,0
ABJ55313.1,46,65,54,48,48,55
Inter.NC_008533.1.1123424.0,0,0,0,0,0,0
Inter.NC_008533.1.788482.59,0,0,1,0,0,0
Inter.NC_008533.1.666908.135,0,0,0,1,0,0
Inter.NC_008533.1.2042963.1,1,1,1,0,0,0
Inter.NC_008533.0.681086.0,3,0,2,0,2,0
Inter.NC_008533.0.8581.0,0,1,0,0,0,0
