,covR_Cu1,covR_Cu2,covR_Cu3,covR_Cu4
CHF17_RS02765,4699,3675,3568,2902
CHF17_RS02770,1094,754,715,795
CHF17_RS02775,2737,1917,1829,1805
CHF17_RS02780,20878,22651,26382,25800
CHF17_RS02785,6612,5332,5327,5084
CHF17_RS02790,288,307,295,288
CHF17_RS02795,76,93,112,83
CHF17_RS02800,455,596,700,623
CHF17_RS02805,1139,1152,1499,1313
CHF17_RS02810,279,250,273,255
CHF17_RS02815,812,685,709,638
CHF17_RS02820,361,286,344,355
CHF17_RS02825,246,252,233,203
CHF17_RS02830,315,316,327,290
CHF17_RS02835,379,300,330,285
CHF17_RS02840,750,583,516,439
CHF17_RS02845,2342,2129,1742,1460
CHF17_RS02850,522,385,393,307
CHF17_RS02855,5027,3236,3017,3019
CHF17_RS02860,2719,1822,1833,1520
CHF17_RS02865,5544,3705,3639,3136
CHF17_RS02870,254151,320771,222546,179713
CHF17_RS02875,34,28,40,32
CHF17_RS02880,574,418,404,541
CHF17_RS02885,982,847,737,880
CHF17_RS02890,2093,1559,1705,1463
CHF17_RS02895,139,83,116,106
CHF17_RS02900,533,345,424,414
CHF17_RS02905,2345,1691,1588,1721
CHF17_RS02910,103174,70525,69268,59715
CHF17_RS02915,439,202,280,229
CHF17_RS02920,2410,2296,1886,1892
CHF17_RS02925,2960,3609,3027,3370
CHF17_RS02930,3819,5377,5735,6059
CHF17_RS02935,15776,18238,17907,19870
CHF17_RS02940,4192,3363,3059,3485
CHF17_RS02945,23,14,21,15
CHF17_RS02950,298,275,332,210
CHF17_RS02955,2574,1859,1802,1527
CHF17_RS02960,3198,2278,2341,2230
CHF17_RS02965,1047,787,852,665
CHF17_RS02970,6922,5472,4670,4615
CHF17_RS02975,1299,867,897,880
CHF17_RS02980,3752,3128,2776,2582
CHF17_RS02985,1865,1800,1554,1412
CHF17_RS02990,3157,1754,2228,1328
CHF17_RS02995,7041,5228,5182,3650
CHF17_RS03000,1138,972,1005,800
CHF17_RS03005,4149,3305,3457,2684
CHF17_RS03010,12275,10318,9605,7799
CHF17_RS03015,4436,3701,3760,2952
CHF17_RS03020,2658,2572,2947,2475
CHF17_RS03025,3299,3013,3181,2522
CHF17_RS03030,1538,1299,1251,1290
CHF17_RS03035,285,333,279,249
CHF17_RS03040,207,165,188,158
CHF17_RS03045,23,29,31,26
CHF17_RS03050,98,95,108,111
CHF17_RS03055,249,196,214,200
CHF17_RS03060,1527,1169,966,1087
CHF17_RS03065,460,325,393,325
CHF17_RS03070,412,262,258,211
CHF17_RS03075,9875,7846,5975,5433
CHF17_RS03080,5553,3834,3659,3217
CHF17_RS03085,114604,85271,79176,66257
CHF17_RS03090,15231,13416,13088,10761
CHF17_RS03095,5312,5565,5719,4170
CHF17_RS03100,3903,4398,4633,3409
CHF17_RS03105,5316,4944,5615,4316
CHF17_RS03110,21025,24003,21147,19711
CHF17_RS03115,18298,23105,24450,23966
CHF17_RS03120,10781,17952,17035,17455
CHF17_RS03125,8183,10861,13403,11793
CHF17_RS03130,3627,4761,5689,4151
CHF17_RS03135,22088,21847,24215,23448
CHF17_RS03140,28467,25878,26612,27954
CHF17_RS03145,57065,57715,51360,47541
CHF17_RS03150,5102,3628,3915,3740
CHF17_RS03155,2772,2319,1962,1898
CHF17_RS03160,34014,26890,26962,24118
CHF17_RS03165,1855,1601,1041,1537
CHF17_RS03170,1118,782,793,738
CHF17_RS03175,1601,986,1171,1054
CHF17_RS03180,17619,13984,15066,11451
CHF17_RS03185,4583,4027,3452,2894
CHF17_RS03190,4759,4368,3703,3235
CHF17_RS03195,8610,7761,7395,6051
CHF17_RS03200,1056,879,960,682
CHF17_RS03205,2914,3272,2985,2685
CHF17_RS03210,2208,2992,3017,2626
CHF17_RS03215,1611,2047,2080,2080
CHF17_RS03220,5139,7572,7794,7299
CHF17_RS03225,11059,9566,9269,8051
CHF17_RS03230,7106,8286,6551,5615
CHF17_RS03235,4546,3622,3778,3247
CHF17_RS03240,28240,17781,15767,20362
CHF17_RS03245,391,319,616,231
CHF17_RS03250,25679,15668,15161,11801
CHF17_RS03255,12616,12428,11704,9683
CHF17_RS03260,9934,10658,10832,8779
CHF17_RS03265,12238,11875,11939,9743
CHF17_RS03270,9169,8382,8017,6785
CHF17_RS03275,4212,3460,3624,2795
CHF17_RS03280,1432,921,868,764
CHF17_RS03285,48899,43831,41024,38106
CHF17_RS03290,2670,1884,2441,2418
CHF17_RS03295,523,532,565,482
CHF17_RS03300,1690,1868,1667,1618
CHF17_RS03305,10135,11796,9705,9503
CHF17_RS03310,8419,7929,7190,7063
CHF17_RS03315,19178,18337,15321,14765
CHF17_RS03320,1858,1888,1917,1623
CHF17_RS03325,6538,4105,4877,4201
CHF17_RS03330,5864,3955,4193,3420
CHF17_RS03335,7906,6190,4818,6100
CHF17_RS03340,6914,6237,6496,5422
CHF17_RS03345,13093,13310,10984,9220
CHF17_RS03350,25415,20832,18643,15547
CHF17_RS03355,6866,4932,4882,3368
CHF17_RS03360,12630,8621,8517,5968
CHF17_RS03365,1616,1325,1267,1145
CHF17_RS03370,2879,2896,2545,2442
CHF17_RS03375,3219,3612,3378,2873
CHF17_RS03380,3301,3683,3415,3049
CHF17_RS03385,10484,8383,8649,7285
CHF17_RS03390,10572,5809,9677,8895
CHF17_RS03395,49489,24302,29113,33907
