,covR_Cu1,covR_Cu2,covR_Cu3,covR_Cu4
CHF17_RS06755,993,766,888,809
CHF17_RS06760,837,580,585,571
CHF17_RS06765,1009,607,866,819
CHF17_RS06770,14798,10049,11199,9701
CHF17_RS06775,796,550,704,359
CHF17_RS06780,76,89,106,99
CHF17_RS06785,435,346,422,391
CHF17_RS06790,239,192,242,203
CHF17_RS06795,1572,1045,1206,1048
CHF17_RS06800,6782,7429,7791,7969
CHF17_RS06805,2756,2372,3426,2960
CHF17_RS06810,5856,6804,7232,6311
CHF17_RS06815,109832,81480,61557,78499
CHF17_RS06820,179695,123739,102630,114349
CHF17_RS06825,5809,4707,3949,3722
CHF17_RS06830,1079,1038,760,790
CHF17_RS06835,1063,1207,857,921
CHF17_RS06840,157,163,170,184
CHF17_RS06845,291,218,251,254
CHF17_RS06850,42,25,41,36
CHF17_RS06855,615,486,479,519
CHF17_RS06860,7740,6697,5960,5607
CHF17_RS06865,16298,17101,15264,13352
CHF17_RS06870,1259,1312,1445,1118
CHF17_RS06875,5612,5596,5298,5031
CHF17_RS06880,4989,4683,4515,4137
CHF17_RS06885,6476,5143,4829,4269
CHF17_RS06890,8634,7568,6348,5545
CHF17_RS06895,12424,8451,10579,11884
CHF17_RS06900,30566,22774,29854,31393
CHF17_RS06905,51942,48109,47082,53514
CHF17_RS06910,6008,4915,5861,5121
CHF17_RS06915,863,640,752,656
CHF17_RS06920,5930,5237,5819,4851
CHF17_RS06925,3518,4037,4267,3276
CHF17_RS06930,3855,3642,3758,3229
CHF17_RS06935,3761,2930,3251,2547
CHF17_RS06940,6081,4816,4487,4069
CHF17_RS06945,3972,3108,2930,1969
CHF17_RS06950,3421,2404,2313,1528
CHF17_RS06955,1556,1330,1580,1600
CHF17_RS06960,1464,1409,1699,1570
CHF17_RS06965,469,433,530,456
CHF17_RS06970,35313,26831,22905,11354
CHF17_RS06975,3053,2189,2509,1834
CHF17_RS06980,7764,5494,5933,4713
CHF17_RS06985,16781,10148,11725,13036
CHF17_RS06990,9346,7720,9056,7725
CHF17_RS06995,4167,5254,5308,4395
CHF17_RS07000,946,924,1215,811
CHF17_RS07005,4002,5036,5175,4470
CHF17_RS07010,2455,2590,2642,2169
CHF17_RS07015,15849,11426,10738,7984
CHF17_RS07020,6649,3768,4472,2977
CHF17_RS07025,1551,1103,1193,757
CHF17_RS07030,802,534,610,755
CHF17_RS07035,6271,7059,5769,7253
CHF17_RS07040,2208,2847,2491,2660
CHF17_RS07045,1483,1737,1583,1521
CHF17_RS07050,3707,2736,2851,2091
CHF17_RS07055,6110,3855,4534,2994
CHF17_RS07060,10079,8127,7458,6530
CHF17_RS07065,9762,7764,7124,6461
CHF17_RS07070,1442,1790,1453,1286
CHF17_RS07075,1914,1677,1688,1365
CHF17_RS07080,856,789,647,545
CHF17_RS07085,35,26,31,25
CHF17_RS07090,55,42,48,42
CHF17_RS07095,7612,5086,5586,4502
CHF17_RS07100,41170,30455,24567,26839
CHF17_RS07105,58658,38919,41590,37855
CHF17_RS07110,10578,11223,10633,11611
CHF17_RS07115,1731,2419,2190,3446
CHF17_RS07120,6689,5681,6873,7359
CHF17_RS07125,5332,5085,5568,5014
CHF17_RS07130,2631,2774,3055,2802
CHF17_RS07135,1465,1675,1490,1357
CHF17_RS07140,5718,5118,4352,4193
CHF17_RS07145,1956,1471,1710,1559
CHF17_RS07150,4197,3419,3563,3323
CHF17_RS07155,14120,5892,6777,4771
CHF17_RS07160,38642,18219,26178,22622
CHF17_RS07165,50563,32754,30528,29537
CHF17_RS07170,4785,4933,5073,4315
CHF17_RS07175,8313,8808,7749,7353
CHF17_RS07180,8742,8940,7652,7656
CHF17_RS07185,4154,2652,2594,2516
CHF17_RS07190,18805,25304,22945,21727
CHF17_RS07195,17999,24097,34196,29314
CHF17_RS07200,10549,15093,19769,16316
CHF17_RS07205,16972,23121,31425,24828
CHF17_RS07210,11019,14418,18604,15098
CHF17_RS07215,18419,28196,37814,31096
CHF17_RS07220,6746,9387,11309,9357
CHF17_RS07225,25829,30894,35023,28095
CHF17_RS07230,33035,33993,37909,29805
CHF17_RS07235,28351,20591,25455,22101
CHF17_RS07240,894829,719302,824357,612403
CHF17_RS07245,6230,3893,3988,4241
CHF17_RS07250,3194,2957,2895,2239
CHF17_RS07255,939,1294,983,1007
CHF17_RS07260,12922,10537,9237,8021
CHF17_RS07265,25106,18831,18849,14799
CHF17_RS07270,37160,28106,27512,23088
CHF17_RS07275,25967,17139,16365,17164
CHF17_RS07280,23509,16093,16191,12446
CHF17_RS07285,71062,59700,47613,36831
CHF17_RS07290,11542,11231,9342,8215
CHF17_RS07295,6951,5085,6186,4726
CHF17_RS07300,1515,866,1296,875
CHF17_RS07305,4113,4438,4283,3503
CHF17_RS07310,14150,12428,13035,10287
CHF17_RS07315,16640,13843,12604,12569
CHF17_RS07320,15600,9872,9913,8155
CHF17_RS07325,17825,11060,10943,8013
CHF17_RS07330,27999,21827,19657,13784
CHF17_RS07335,9297,7769,7981,5896
CHF17_RS07340,6535,5242,5913,4895
CHF17_RS07345,3283,2444,2484,2299
CHF17_RS07350,24174,18970,15513,15898
CHF17_RS07355,2898,2227,1951,1777
CHF17_RS07360,22604,17274,15455,15223
CHF17_RS07365,880,1154,978,1046
CHF17_RS07370,2149,1866,2010,1685
CHF17_RS07375,4853,4797,4096,3558
CHF17_RS07380,17234,12648,12106,12960
CHF17_RS07385,13946,9900,9873,10489
CHF17_RS07390,4524,4466,5027,4976
CHF17_RS07395,8271,7749,10230,8033
CHF17_RS07400,6297,6354,8254,7290
CHF17_RS07405,13165,14407,19719,17340
CHF17_RS07410,18673,18877,26005,24698
CHF17_RS07415,2976,2243,2797,2048
CHF17_RS07420,1407,1131,1313,1006
CHF17_RS07425,15071,14759,15201,12478
CHF17_RS07430,8260,9070,9598,7227
CHF17_RS07435,12441,13454,17280,13150
CHF17_RS07440,7133,9223,10866,9398
CHF17_RS07445,5711,7609,9898,8029
CHF17_RS07450,6804,9234,11041,8769
CHF17_RS07455,7478,11174,12293,10268
CHF17_RS07460,5060,7176,7668,6365
CHF17_RS07465,4432,6091,6963,5714
CHF17_RS07470,7953,10854,12444,10104
CHF17_RS07475,1115,1446,1638,1474
CHF17_RS07480,2846,2880,3229,2870
CHF17_RS07485,5577,6249,6406,5862
CHF17_RS07490,9661,9701,9228,8124
CHF17_RS07495,9863,8122,6762,5984
CHF17_RS07500,4075,4235,2795,2499
CHF17_RS07505,12797,13777,10418,8025
CHF17_RS07510,13535,13009,11940,8871
CHF17_RS07515,11293,7056,6995,7389
CHF17_RS07520,8838,6790,7275,6092
CHF17_RS07525,5279,5374,3434,4922
CHF17_RS07530,1841,1800,1855,1239
CHF17_RS07535,898,577,612,482
CHF17_RS07540,214,168,149,128
CHF17_RS07545,407,239,310,306
CHF17_RS07550,10267,5617,6672,5438
CHF17_RS07555,911,448,602,480
CHF17_RS07560,873,632,623,549
CHF17_RS07565,1861,1523,1556,1261
CHF17_RS07570,674,729,699,587
CHF17_RS07575,5702,3737,4448,4958
CHF17_RS07580,5282,3049,3591,2953
CHF17_RS07585,2411,1896,2233,1773
CHF17_RS07590,1792,1344,1612,1364
CHF17_RS07595,13417,9440,9045,8573
CHF17_RS07600,1068,928,945,867
CHF17_RS07605,1051,754,891,822
CHF17_RS07610,577,575,681,535
CHF17_RS07615,2056,1712,2322,2073
CHF17_RS07620,11602,10117,8905,6790
CHF17_RS07625,13676,9993,10475,11670
CHF17_RS07630,89223,65001,66956,53778
CHF17_RS07635,38870,25639,29453,23528
CHF17_RS07640,1606,795,1053,1041
CHF17_RS07645,882,819,721,822
CHF17_RS07650,15668,14206,11879,11438
CHF17_RS07655,941,938,761,720
CHF17_RS07660,8639,6073,5446,4540
CHF17_RS07665,5472,2441,3690,3731
CHF17_RS07670,1647,997,1419,864
CHF17_RS07675,447,574,469,483
CHF17_RS07680,1222,883,789,477
CHF17_RS07685,4618,2794,3214,2938
CHF17_RS07690,929,1148,1097,1326
CHF17_RS07695,1774,1425,1553,1758
CHF17_RS07700,3080,1961,2241,2233
CHF17_RS07705,21683,13928,14131,13266
CHF17_RS07710,2466,2078,2186,2019
CHF17_RS07715,11057,11053,10234,10339
CHF17_RS07720,5434,4622,4262,5886
CHF17_RS07725,1801,1290,1584,1369
CHF17_RS07730,5869,4770,4306,4690
CHF17_RS07735,1980,1556,1682,1596
CHF17_RS07740,1341,1019,1046,784
CHF17_RS07745,642,511,486,449
CHF17_RS07750,1149,880,929,675
CHF17_RS07755,902,693,832,652
CHF17_RS07760,1152,767,840,603
CHF17_RS07765,112,85,76,67
CHF17_RS07770,103,80,87,72
CHF17_RS07775,134,127,109,91
CHF17_RS07780,61,44,45,42
CHF17_RS07785,225,181,209,325
CHF17_RS07790,417,343,428,564
CHF17_RS07795,167,124,153,206
CHF17_RS07800,3202,2269,2797,2971
CHF17_RS07805,13924,10170,11134,9198
CHF17_RS07810,3583,3467,3251,2818
CHF17_RS07815,8046,6563,6079,5997
CHF17_RS07820,1070,980,1000,778
CHF17_RS07825,70,39,66,28
CHF17_RS07830,1471,1115,1009,906
CHF17_RS07835,5601,3247,3460,3158
CHF17_RS07840,15038,13001,9736,12677
CHF17_RS07845,6130,4945,4302,4456
CHF17_RS07850,1477,871,966,794
CHF17_RS07855,4649,2847,2971,2435
CHF17_RS07860,7289,8077,6801,6422
CHF17_RS07865,20395,18819,16365,14086
CHF17_RS07870,26061,22090,18568,18136
CHF17_RS07875,154,151,212,125
CHF17_RS07880,112,106,112,94
CHF17_RS07885,56,75,101,78
CHF17_RS07890,123,122,143,117
CHF17_RS07895,189,211,230,198
CHF17_RS07900,109293,74794,70341,74532
CHF17_RS07905,110287,77656,73049,71649
CHF17_RS07910,532,704,561,607
CHF17_RS07915,2495,2370,2309,2018
CHF17_RS07920,1781,1680,1781,1396
CHF17_RS07925,2609,1379,1558,1225
CHF17_RS07930,574,344,489,405
CHF17_RS07935,716,602,620,551
CHF17_RS07940,3883,2886,2946,2095
CHF17_RS07945,11720,9903,9480,7053
CHF17_RS07950,6501,5431,4848,4828
CHF17_RS07955,5242,4820,5137,4934
CHF17_RS07960,4207,3779,4084,3458
CHF17_RS07965,11067,10015,10084,8912
CHF17_RS07970,4686,3123,3128,3383
CHF17_RS07975,3272,2768,2445,2418
CHF17_RS07980,563,471,591,492
CHF17_RS07985,1922,2166,1926,2040
CHF17_RS07990,3568,4107,3703,4449
CHF17_RS07995,147,102,140,157
CHF17_RS08000,182,159,154,152
CHF17_RS08005,9141,8330,9137,7423
CHF17_RS08010,2820,3397,3284,2522
CHF17_RS08015,1562,2162,1946,1468
CHF17_RS08020,2377,3306,3087,2364
CHF17_RS08025,757,816,1013,764
CHF17_RS08030,621,680,1043,644
CHF17_RS08035,1620,1809,2361,1597
CHF17_RS08040,12646,7908,11107,9127
CHF17_RS08045,59318,51271,55517,44215
CHF17_RS08050,92510,103479,125975,90818
CHF17_RS08055,47664,49869,55157,39242
CHF17_RS08060,31019,30098,27594,22652
CHF17_RS08065,41515,31431,34563,28277
CHF17_RS08070,6066,4586,4648,5001
CHF17_RS08075,43857,32934,29383,24796
CHF17_RS08080,2878,2046,1920,1700
CHF17_RS08085,1004,693,741,691
CHF17_RS08090,129,82,84,76
CHF17_RS08095,6789,4437,4786,4554
CHF17_RS08100,7898,5171,5640,4498
CHF17_RS08105,12431,8080,8242,7113
CHF17_RS08110,2218,1806,1901,1733
CHF17_RS08115,2528,2065,1833,1742
CHF17_RS08120,9695,9827,8560,7033
CHF17_RS08125,4842,4954,4848,3209
CHF17_RS08130,9342,9646,8360,6204
CHF17_RS08135,1691,1171,1129,1111
CHF17_RS08140,321,223,245,232
CHF17_RS08145,497,361,387,323
CHF17_RS08150,8415,6419,6698,5273
CHF17_RS08155,2682,1997,2149,1747
CHF17_RS08160,6968,5272,5541,4817
CHF17_RS08165,7125,4988,5147,4826
CHF17_RS08170,522,674,541,583
CHF17_RS08175,79,79,79,79
CHF17_RS08180,21,20,40,47
CHF17_RS08185,23,33,45,61
CHF17_RS08190,34,40,51,80
CHF17_RS08195,54,48,40,56
CHF17_RS08200,1111,610,832,718
CHF17_RS08205,819,674,659,913
CHF17_RS08210,17506,11380,11925,12960
CHF17_RS08215,11063,9307,7139,7780
CHF17_RS08220,3301,2569,2813,2139
CHF17_RS08225,1854,1363,1178,1105
CHF17_RS08230,12269,8531,8448,8921
CHF17_RS08235,18682,14132,13963,11606
CHF17_RS08240,20316,16222,15005,13110
CHF17_RS08245,1805,1560,1653,1483
CHF17_RS08250,4501,4407,4065,4018
CHF17_RS08255,1797,2557,2320,2364
CHF17_RS08260,2173,3114,3037,3166
CHF17_RS08265,2289,2665,3233,2992
CHF17_RS08270,2245,2707,3256,2705
CHF17_RS08275,1941,2611,2826,2548
CHF17_RS08280,4161,4667,4962,4620
CHF17_RS08285,4942,4950,4976,4117
CHF17_RS08290,4597,3127,3313,2530
CHF17_RS08295,189,169,173,143
CHF17_RS08300,1538,1190,1341,1332
CHF17_RS08305,16605,11935,11335,10645
CHF17_RS08310,16805,12523,12945,10080
CHF17_RS08315,17708,14330,15089,12202
CHF17_RS08320,1010,691,957,576
CHF17_RS08325,31084,17932,18515,16614
CHF17_RS08330,2236,1505,1706,1259
CHF17_RS08335,2520,1615,1929,1457
CHF17_RS08340,788,548,689,504
CHF17_RS08345,6496,6535,5460,5052
CHF17_RS08350,37617,36737,37465,30199
CHF17_RS08355,2692,4587,4556,4341
CHF17_RS08360,22133,21699,21986,18343
CHF17_RS08365,15588,13726,13466,10336
CHF17_RS08370,1038,1115,1239,755
CHF17_RS08375,21693,20929,20381,18498
CHF17_RS08380,16189,15268,13263,11569
CHF17_RS08385,3933,4210,4428,3410
CHF17_RS08390,4285,4259,4752,3688
CHF17_RS08395,1974,1832,1649,1229
CHF17_RS08400,1341,1009,1070,1079
CHF17_RS08405,329,341,306,364
CHF17_RS08410,8578,6283,6950,4019
CHF17_RS08415,24222,16187,16319,16614
CHF17_RS08420,21790,14622,15043,15083
CHF17_RS08425,3153,2426,2698,2682
CHF17_RS08430,10144,8692,8899,7817
CHF17_RS08435,6323,5031,4713,4167
CHF17_RS08440,6996,5020,5474,5269
CHF17_RS08445,13561,10191,10769,9134
CHF17_RS08450,5602,4306,4060,4104
CHF17_RS08455,27861,19545,18335,19186
CHF17_RS08460,10650,7103,8048,7409
CHF17_RS08465,455,262,283,257
CHF17_RS08470,4657,3977,3307,3883
CHF17_RS08475,6186,4426,4852,4007
CHF17_RS08480,4247,3988,4031,3127
CHF17_RS08485,6744,4106,4444,3719
CHF17_RS08490,26076,16312,14841,9025
CHF17_RS08495,15356,9557,9132,4483
CHF17_RS08500,432,217,293,92
CHF17_RS08505,12586,9735,8648,6546
CHF17_RS08510,576,384,432,331
CHF17_RS08515,645,501,480,554
CHF17_RS08520,3476,2957,2704,2121
CHF17_RS08525,31,28,30,38
CHF17_RS08530,61,60,58,53
CHF17_RS08535,29,22,25,32
CHF17_RS08540,1511,857,951,797
CHF17_RS08545,297,204,278,241
CHF17_RS08550,24,20,31,28
CHF17_RS08555,208,198,194,184
CHF17_RS08560,126,109,114,124
CHF17_RS08565,109,101,91,107
CHF17_RS08570,271,244,203,224
CHF17_RS08575,8845,6182,5230,5167
CHF17_RS08580,871,850,1143,806
CHF17_RS08585,1687,2201,2257,1786
CHF17_RS08590,373,480,549,438
CHF17_RS08595,1207,1560,1551,1407
CHF17_RS08600,2751,2330,2378,1836
CHF17_RS08605,5469,4505,5286,4165
CHF17_RS08610,6100,6105,5858,5348
CHF17_RS08615,7585,7059,7607,6332
CHF17_RS08620,2513,2712,2716,2235
CHF17_RS08625,6781,6868,6667,5948
CHF17_RS08630,3411,4075,2946,2920
CHF17_RS08635,1228,1093,1186,1065
CHF17_RS08640,19825,20160,17205,16696
CHF17_RS08645,11537,14172,12683,12548
CHF17_RS08650,2718,2511,2714,2509
CHF17_RS08655,382,406,379,395
CHF17_RS08660,391,352,331,297
CHF17_RS08665,682,572,514,466
CHF17_RS08670,922,582,628,575
CHF17_RS08675,4183,3263,3402,3135
CHF17_RS08680,43865,33875,30649,29138
CHF17_RS08685,23649,19976,18320,16229
CHF17_RS08690,1623,1151,1178,1205
CHF17_RS08695,7708,5908,5158,4461
CHF17_RS08700,2049,1304,1197,1194
CHF17_RS08705,1092,764,751,641
CHF17_RS08710,3707,2952,2639,2813
CHF17_RS08715,8522,8091,6876,6386
CHF17_RS08720,144127,95704,89598,72352
CHF17_RS08725,3171,4116,4372,4348
CHF17_RS08730,587,586,818,763
CHF17_RS08735,2449,3335,3502,3652
CHF17_RS08740,86961,90910,71729,58353
CHF17_RS08745,6353,7089,6079,5415
CHF17_RS08750,115,95,125,102
CHF17_RS08755,576,399,394,415
CHF17_RS08760,1845,1464,1325,1099
CHF17_RS08765,1823,1404,1221,1002
CHF17_RS08770,12235,10039,8212,9457
CHF17_RS08775,20451,14828,13533,14031
CHF17_RS08780,29278,17492,19047,20269
CHF17_RS08785,1151,712,1073,818
CHF17_RS08790,361,429,462,380
CHF17_RS08795,415,439,570,413
CHF17_RS08800,84,48,127,77
CHF17_RS08805,185,203,234,229
CHF17_RS08810,235,241,323,261
CHF17_RS08815,260,243,391,313
CHF17_RS08820,89,90,106,105
CHF17_RS08825,311,289,318,292
CHF17_RS08830,816,739,690,472
CHF17_RS08835,3540,3133,2824,2374
CHF17_RS08840,2200,1718,1688,1566
CHF17_RS08845,3185,2120,2192,2181
CHF17_RS08850,31,13,30,18
CHF17_RS08855,7875,7643,6643,7584
CHF17_RS08860,9961,7666,7108,6770
CHF17_RS08865,17552,14107,12607,10447
CHF17_RS08870,37761,22418,22151,26589
CHF17_RS08875,161652,130420,104444,110362
CHF17_RS08880,73305,54474,47073,48110
CHF17_RS08885,4197,2926,2769,1937
CHF17_RS08890,845,731,667,637
CHF17_RS08895,2915,1946,1892,1665
CHF17_RS08900,2273,2413,2271,1914
CHF17_RS08905,8836,8522,7773,6796
CHF17_RS08910,4801,3206,3298,4165
CHF17_RS08915,4207,2748,2786,3237
CHF17_RS08920,9507,6690,6503,5746
CHF17_RS08925,5463,2764,3792,3067
CHF17_RS08930,4904,4082,4491,3418
CHF17_RS08935,24933,14344,15327,14829
CHF17_RS08940,6946,5617,6053,4695
CHF17_RS08945,74062,64682,47923,47290
CHF17_RS08950,1902,1888,1783,1455
CHF17_RS08955,8530,5864,5789,4591
CHF17_RS08960,9386,5922,5910,4253
CHF17_RS08965,5682,3952,3398,3344
CHF17_RS08970,48619,37242,29245,29528
CHF17_RS08975,437,307,272,291
CHF17_RS08980,674,439,390,348
CHF17_RS08985,3541,2338,2369,2202
CHF17_RS08990,8100,6746,7985,6930
CHF17_RS08995,1776,1488,1694,1318
CHF17_RS09000,8387,6375,6492,5421
CHF17_RS09005,6026,5722,6700,4878
CHF17_RS09010,5179,5524,6837,5150
CHF17_RS09015,13402,11794,12555,10971
CHF17_RS09020,11325,11455,12882,10592
CHF17_RS09025,11670,10311,12374,9986
CHF17_RS09030,11441,10532,11212,9460
CHF17_RS09035,431,235,314,222
CHF17_RS09040,142,81,100,95
CHF17_RS09045,45,23,27,21
CHF17_RS09050,2761,1076,1600,1170
CHF17_RS09055,9295,5644,6049,4670
CHF17_RS09060,1892,1292,1500,1206
CHF17_RS09065,1048,815,692,686
CHF17_RS09070,9667,6274,6252,5523
CHF17_RS09075,5727,3926,4136,3123
CHF17_RS09080,1714,1157,1395,1253
CHF17_RS09085,3989,2406,2406,3001
CHF17_RS09090,1321,1084,1302,1486
CHF17_RS09095,12222,7042,8602,7468
CHF17_RS09100,3116,3207,2504,2503
CHF17_RS09105,1263,1122,1128,966
CHF17_RS09110,3534,2624,2643,2248
CHF17_RS09115,2785,1887,2045,1943
CHF17_RS09120,63602,42843,44514,40602
CHF17_RS09125,7858,8050,5128,4630
CHF17_RS09130,68904,54571,50322,40023
CHF17_RS09135,19621,10700,14108,9526
CHF17_RS09140,1491,1040,1315,1083
CHF17_RS09145,168410,129018,100612,93206
CHF17_RS09150,3237,3236,3189,2300
CHF17_RS09155,779041,576763,457342,493914
CHF17_RS09160,244945,236702,192038,184316
CHF17_RS09165,61018,56281,45193,47769
CHF17_RS09170,94501,79111,65358,57162
CHF17_RS09175,21148,15841,15205,14815
CHF17_RS09180,6224,5958,6222,4788
CHF17_RS09185,4277,5303,5898,5391
CHF17_RS09190,1940,2667,2563,2461
CHF17_RS09195,8276,7142,6730,6172
CHF17_RS09200,13035,11710,10252,8766
CHF17_RS09205,5518,4258,4490,3837
CHF17_RS09210,7634,6640,6454,5627
CHF17_RS09215,2185,1724,2206,1587
CHF17_RS09220,2006,1988,1912,1567
CHF17_RS09225,2456,2486,2322,1734
CHF17_RS09230,1146,1205,1473,1438
CHF17_RS09235,1282,1908,2017,1740
CHF17_RS09240,3158,5101,6010,5171
CHF17_RS09245,966,1099,1623,1116
CHF17_RS09250,71576,60548,67525,50258
CHF17_RS09255,11308,10442,10935,8287
CHF17_RS09260,39294,47005,47407,36203
CHF17_RS09265,52737,55190,60375,47148
CHF17_RS09270,3666,3147,4396,2985
CHF17_RS09275,34609,35886,35427,28962
CHF17_RS09280,25967,26596,24446,20188
CHF17_RS09285,13024,8069,7144,8013
CHF17_RS09290,13123,8140,8449,6880
CHF17_RS09295,611,758,638,686
CHF17_RS09300,10245,11622,9821,11714
CHF17_RS09305,6850,8032,6920,8077
CHF17_RS09310,66,73,98,76
CHF17_RS09315,335,315,308,244
CHF17_RS09320,419,309,298,244
CHF17_RS09325,14130,10173,9558,7996
CHF17_RS09330,121,92,126,69
CHF17_RS09335,85,57,63,68
CHF17_RS09340,63,42,48,39
CHF17_RS09345,69,71,65,66
CHF17_RS09350,376,258,253,210
CHF17_RS09355,212,209,158,148
CHF17_RS09360,2034,1236,1344,1425
CHF17_RS09365,33,24,27,22
CHF17_RS09370,45,30,32,20
CHF17_RS09375,26,26,34,23
CHF17_RS09380,6,10,6,17
CHF17_RS09385,16,6,10,9
CHF17_RS09390,16,9,10,4
CHF17_RS09395,80,55,62,46
CHF17_RS09400,7760,6150,5072,5703
CHF17_RS09405,3917,2986,3014,2805
CHF17_RS09410,35023,27795,20736,16259
CHF17_RS09415,3819,2528,2410,2161
CHF17_RS09420,4111,3101,2848,2783
CHF17_RS09425,5344,5105,5185,4555
CHF17_RS09430,3269,2304,2127,1502
CHF17_RS09435,7074,4465,4212,3137
CHF17_RS09440,8714,6257,6129,4982
CHF17_RS09445,15522,11173,11262,9748
CHF17_RS09450,6368,5081,5426,4325
CHF17_RS09455,6340,5076,4957,3974
CHF17_RS09460,25709,25538,21939,20262
CHF17_RS09465,3481,2501,2851,2937
CHF17_RS09470,3314,3062,2123,3354
CHF17_RS09475,121901,86927,81786,81442
CHF17_RS09480,179552,145230,116582,119092
CHF17_RS09485,2386,2012,1599,1613
CHF17_RS09490,8000,7918,6001,5646
CHF17_RS09495,41,45,65,30
CHF17_RS09500,12524,10732,10503,11188
CHF17_RS09505,1401,1331,1330,1473
CHF17_RS09510,6778,4586,4867,4765
CHF17_RS09515,62243,52247,50069,40713
CHF17_RS09520,3059,1750,2149,1823
CHF17_RS09525,3597,2502,2565,3055
CHF17_RS09530,458,245,350,384
CHF17_RS09535,6072,3213,3984,3933
CHF17_RS09540,13933,8670,8744,8482
CHF17_RS09545,5957,4374,4468,3925
CHF17_RS09550,341,273,327,253
CHF17_RS09555,41,33,47,37
CHF17_RS09560,42,48,34,33
CHF17_RS09565,10,7,14,13
CHF17_RS09570,43,33,34,28
CHF17_RS09575,18,15,16,17
CHF17_RS09580,142,123,136,147
CHF17_RS09585,62,60,70,73
CHF17_RS09590,129,117,136,119
CHF17_RS09595,171,129,135,152
CHF17_RS09600,161209,101752,129838,123918
CHF17_RS09605,4976,3440,5075,3120
CHF17_RS09610,1073,1010,995,740
CHF17_RS09615,18688,17076,14865,11996
CHF17_RS09620,1488,1134,1143,1162
CHF17_RS09625,28566,26840,24850,21737
CHF17_RS09630,7658,9803,9718,9763
CHF17_RS09635,3758,4580,4027,4676
CHF17_RS09640,6548,5853,5588,5301
CHF17_RS09645,40011,32367,26687,30880
CHF17_RS09650,4743,3831,4149,3203
CHF17_RS09655,61,52,66,51
CHF17_RS09660,71,37,51,44
CHF17_RS09665,49,40,54,52
CHF17_RS09670,2260,1297,1694,1244
CHF17_RS09675,963,581,687,562
CHF17_RS09680,11317,7375,6584,6708
CHF17_RS09685,1068,874,870,774
CHF17_RS09690,7121,5488,4588,4128
CHF17_RS09695,2576,1676,1725,1701
CHF17_RS09700,454,430,416,378
CHF17_RS09705,314,298,330,269
CHF17_RS09710,312,285,355,337
CHF17_RS09715,788,664,682,620
CHF17_RS09720,75,82,59,43
CHF17_RS09725,48,15,29,23
CHF17_RS09730,2160,1654,1730,1089
CHF17_RS09735,56,51,50,44
CHF17_RS09740,174,93,90,81
CHF17_RS09745,502,319,312,284
CHF17_RS09750,2713,1714,1807,1781
CHF17_RS09755,273,183,219,184
CHF17_RS09760,151,124,113,120
CHF17_RS09765,2100,1722,1579,1423
CHF17_RS09770,9635,8636,8114,6726
CHF17_RS09775,4724,4507,3875,2498
CHF17_RS09780,2600,1586,1650,1338
CHF17_RS09785,9212,5889,5795,4765
CHF17_RS09790,5187,3459,3589,2776
CHF17_RS09795,1671,1236,1350,1050
CHF17_RS09800,1130,860,994,710
CHF17_RS09805,1617,1268,1358,1190
CHF17_RS09810,97,96,92,102
CHF17_RS09815,77,63,76,63
CHF17_RS09820,56,55,59,47
CHF17_RS09825,44,41,32,45
CHF17_RS09830,7858,5783,5973,7070
CHF17_RS09835,236,208,256,201
CHF17_RS09840,11127,9573,10028,9983
CHF17_RS09845,8278,7370,8402,7045
CHF17_RS09850,1213,1069,1349,918
CHF17_RS09855,1619,1473,1611,1443
CHF17_RS09860,13685,10413,12836,10806
CHF17_RS09865,6949,5962,6007,6003
CHF17_RS09870,399,256,350,259
CHF17_RS09875,309,274,249,249
CHF17_RS09880,676,483,493,451
CHF17_RS09885,4078,3200,3584,2806
CHF17_RS09890,1480,1171,1281,987
CHF17_RS09895,332,310,426,352
CHF17_RS09900,209,228,304,230
CHF17_RS09905,298,291,408,345
CHF17_RS09910,335,363,392,375
CHF17_RS09915,801,617,682,625
CHF17_RS09920,1348,1355,1335,1482
CHF17_RS09925,1335,1581,1394,1731
CHF17_RS09930,738,1128,844,1351
CHF17_RS09935,243,242,257,302
CHF17_RS09940,1735,1428,1462,1523
CHF17_RS09945,1145,1077,976,1119
CHF17_RS09950,635,888,659,747
CHF17_RS09955,172,205,168,178
CHF17_RS09960,1208,1441,980,1067
CHF17_RS09965,1598,1086,1023,964
CHF17_RS09970,5668,4306,4055,3553
CHF17_RS09975,1160,4721,1550,1577
CHF17_RS09980,225,1404,381,445
CHF17_RS09985,1546,1353,1489,1162
CHF17_RS09990,58,33,47,47
CHF17_RS09995,3449,2587,2520,2217
CHF17_RS10000,252,182,233,173
CHF17_RS10005,129,80,111,100
CHF17_RS10010,303,269,295,263
CHF17_RS10015,3738,5976,2785,4016
CHF17_RS10020,3716,6682,4602,4167
CHF17_RS10025,1314,1111,1562,1286
CHF17_RS10030,132,109,181,156
CHF17_RS10035,102,94,121,108
CHF17_RS10040,365,345,385,378
CHF17_RS10045,1769,1206,1211,1405
CHF17_RS10050,2547,1762,1956,1971
CHF17_RS10055,134,91,112,119
CHF17_RS10060,269,208,224,206
CHF17_RS10065,201,154,150,149
CHF17_RS10070,6549,4128,4794,3734
CHF17_RS10075,12500,7095,9419,7853
CHF17_RS10080,48,31,29,44
CHF17_RS10085,58,59,56,57
CHF17_RS10090,219,195,208,153
CHF17_RS10095,410,477,438,334
CHF17_RS10100,128,131,138,102
