,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy0370,151,138,135,121,190,205,175,220,169,151,151,151,156,178,109,143,194,140,144,182,213,114,171,207
M5005_Spy0371,737,506,550,661,493,640,653,773,708,496,495,523,559,495,308,520,602,479,419,511,919,636,1150,911
M5005_Spy0372,427,431,416,578,453,494,655,880,544,430,386,477,104,95,89,312,372,175,98,110,255,122,154,100
M5005_Spy0373,357,311,447,492,387,428,522,584,497,273,458,388,440,397,344,422,585,336,316,422,867,310,582,562
M5005_Spy0374,12,15,14,21,16,23,12,27,8,27,7,21,12,13,11,21,13,17,7,8,24,17,36,33
M5005_Spy0375,9,12,9,13,20,25,12,20,15,21,8,9,13,5,4,9,8,7,9,4,18,15,29,23
M5005_Spy0376,17,13,13,23,26,23,17,35,18,15,14,18,18,11,10,17,18,18,21,12,31,30,43,33
M5005_Spy0377,4184,4204,4383,5567,6066,6684,4729,8521,4871,5156,4662,5904,1782,1802,1303,1070,1760,1112,1659,1714,3607,482,899,838
M5005_Spy0380,95,92,105,111,92,104,129,161,112,79,76,117,59,45,44,49,75,59,101,84,156,113,158,119
M5005_Spy0381,303,294,352,631,384,657,490,366,415,392,367,583,339,339,226,228,426,199,302,409,719,512,749,447
M5005_Spy0382,1385,1364,1385,2250,1786,2248,1799,2229,1613,1595,1509,1975,696,643,463,408,640,349,767,733,1631,229,397,331
M5005_Spy0383,1365,1377,1451,2221,1777,2214,1930,2482,1737,1790,1561,2110,753,644,538,539,764,522,804,775,1799,315,507,419
M5005_Spy0384,1720,1619,1807,2645,2173,2664,2060,3159,2087,2001,1958,2671,1034,1052,792,1464,1808,1154,1005,1156,2396,765,903,885
M5005_Spy0385,22,18,19,38,27,31,20,53,29,30,21,37,11,10,13,6,14,18,10,17,22,19,27,20
M5005_Spy0386,3126,3215,3308,3855,4216,4852,3899,5867,4275,4088,3288,4547,2090,1840,1328,3336,3758,3390,1808,1983,3787,3605,4018,3917
M5005_Spy0387,3862,3872,4026,4946,4878,5699,4432,6818,4795,4865,4010,5053,2781,2449,1757,3993,4955,3833,2538,2715,5167,4595,5184,5183
M5005_Spy0388,1956,2064,2522,2626,2975,3364,2351,3637,2528,2529,2341,2996,1085,1037,860,1261,1790,1180,958,1132,2078,1269,1575,1561
M5005_Spy0389,92223,86270,86076,65239,51466,107198,90497,92644,84748,73832,59448,82934,39049,40473,32514,59965,72156,75152,29793,29136,55959,38590,35459,32066
M5005_Spy0390,18141,15584,15583,13064,9967,18227,16536,16916,16253,13013,11431,15348,8658,8142,6350,10054,11036,13663,5244,5334,10829,8147,8002,6642
M5005_Spy0391,34429,31229,30551,25940,20369,38035,34432,35535,32084,27202,23077,31932,21258,19547,15597,32327,35801,36914,14771,15304,28480,30746,28712,25489
M5005_Spy0392,13415,13801,12232,10663,8591,18233,14758,16230,14212,12411,10708,15918,7189,7702,5916,9195,11723,13492,5439,5848,11392,12115,10140,9515
M5005_Spy0393,494,478,410,603,540,677,627,864,614,635,544,686,353,303,247,416,545,386,383,398,741,628,884,701
M5005_Spy0394,40,34,34,34,25,52,69,154,97,65,51,66,25,25,12,27,30,27,95,100,172,69,73,52
M5005_Spy0395,80,76,69,62,57,88,234,509,256,137,112,133,64,55,49,40,63,52,367,340,644,119,134,124
M5005_Spy0396,140,107,117,118,111,128,275,701,300,160,139,195,225,193,127,75,67,74,501,513,1068,119,158,153
M5005_Spy0397,84,67,100,95,73,123,75,143,104,95,94,112,571,461,327,203,162,169,450,471,1151,232,336,287
M5005_Spy0398,28,25,33,47,41,47,32,55,36,33,40,39,219,235,173,52,70,77,216,242,533,76,93,95
M5005_Spy0399,73,59,92,102,87,115,77,165,91,116,90,121,120,100,85,78,104,79,123,163,258,161,264,214
M5005_Spy0400,25,28,40,80,101,101,47,119,69,79,71,92,64,65,58,58,63,42,75,97,169,80,105,127
M5005_Spy0401,1634,1636,1619,4016,3486,3837,2690,5279,2918,3967,3514,4235,1672,1757,1107,1055,1574,1039,1468,1856,3978,674,1160,1031
M5005_Spy0402,173,185,270,4069,3406,3575,244,3882,382,2937,2619,2559,338,268,196,165,269,159,272,327,639,194,1122,871
M5005_Spy0403,3,2,11,46,56,59,7,38,11,27,35,35,117,88,79,35,51,44,66,65,130,46,272,281
M5005_Spy0404,2770,2524,2858,5520,5811,6338,3985,7023,4753,5456,5123,6762,7783,7006,4964,6101,8236,6919,5147,6461,11452,6689,6942,8070
M5005_Spy0405,2148,2226,2166,4622,4541,5353,3249,5591,3554,4596,4077,5083,4294,3795,2763,3287,4039,3995,3033,3452,6572,2897,3704,3662
M5005_Spy0406,9731,9383,11268,10560,9631,9168,10636,17641,10359,10835,9074,13225,7712,6933,4570,4635,6084,4605,5824,6194,11627,6787,7415,6536
M5005_Spy0407,468,439,442,647,690,554,583,3735,826,431,408,422,287,246,146,289,380,252,219,288,555,224,242,176
M5005_Spy0408,47,42,44,50,48,47,46,226,89,62,63,70,43,33,17,17,22,7,17,31,54,16,13,12
M5005_Spy0409,0,0,1,0,0,0,3,9,3,0,1,3,1,0,1,0,1,0,6,11,9,3,1,2
M5005_Spy0410,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,1,3,0,0,0
M5005_Spy0411,3,2,2,1,2,1,4,5,3,3,0,3,6,1,2,0,4,0,3,4,4,0,1,2
M5005_Spy0412,77,60,74,89,87,91,87,130,121,113,80,118,371,338,299,162,177,141,212,199,438,333,461,332
M5005_Spy0413,9,6,9,3,4,2,8,13,7,4,7,3,63,58,35,10,16,15,31,20,56,32,43,27
M5005_Spy0414,12,8,9,11,12,6,7,12,16,6,3,5,80,82,66,20,28,17,47,53,89,41,64,69
M5005_Spy0415,32,20,34,18,35,32,24,41,34,18,22,25,211,201,122,67,93,61,78,72,169,107,178,139
M5005_Spy0416,21,16,19,22,18,27,23,46,23,28,13,19,161,154,148,54,54,24,52,67,136,57,96,89
M5005_Spy0417,4,5,3,1,2,4,4,8,4,1,5,2,11,7,4,4,6,4,8,5,15,3,12,17
M5005_Spy0418,3941,3562,3198,3390,2642,3965,4858,5091,4322,3410,2689,3618,2067,1872,1464,3400,4226,3437,2647,2661,4768,4822,5641,4973
M5005_Spy0419,445,330,396,318,308,420,506,583,502,314,326,365,1389,1243,1038,735,861,509,535,578,1090,721,846,842
M5005_Spy0420,3243,2778,3171,4576,4317,5103,3258,4990,3559,4605,4089,5003,4953,4552,2840,3159,4219,3566,2591,3373,5530,3126,3917,4118
M5005_Spy0421,14107,10564,11994,16746,14149,19660,13500,20005,15044,17506,15235,20117,17232,15270,9581,11903,14651,14071,10358,12841,21967,11138,11953,13328
M5005_Spy0422,11429,8981,10244,13929,11328,15410,12021,16947,13422,14364,12818,17813,16351,15491,10550,12839,15229,13641,12786,16295,29695,12097,14914,16137
M5005_Spy0423,44,30,42,32,23,34,46,73,41,47,37,42,59,41,16,17,31,30,37,42,65,42,48,32
M5005_Spy0424,9,15,15,8,10,28,16,28,21,18,12,20,11,19,11,7,14,14,10,11,21,26,27,41
M5005_Spy0425,321,348,342,417,486,537,388,839,507,417,547,546,403,395,301,379,450,411,399,485,800,645,846,929
M5005_Spy0426,81,87,50,80,143,152,94,197,119,151,129,114,134,123,78,87,109,153,83,103,196,51,50,97
M5005_Spy0427,288,289,283,273,227,316,313,391,310,293,215,287,470,471,318,439,536,386,341,396,761,820,1152,996
M5005_Spy0428,60,56,70,59,48,51,65,61,56,48,27,65,75,59,50,52,87,66,67,66,136,108,130,118
M5005_Spy0429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0430,1995,2246,2213,2612,2688,3320,2502,4027,2398,2289,2308,2838,2654,2758,2057,2445,3393,2312,1697,2547,4158,2385,2605,2533
M5005_Spy0431,466,463,489,646,482,699,583,537,370,391,258,470,139,120,100,114,231,135,198,133,358,283,487,233
M5005_Spy0432,98,105,120,121,125,140,111,293,126,120,117,139,100,103,78,41,60,34,68,77,121,77,90,85
M5005_Spy0433,213,239,278,228,286,310,310,660,306,253,241,330,297,277,177,135,155,116,199,189,440,222,311,234
M5005_Spy0434,2515,2581,2826,5332,4952,5072,3406,5568,3501,4342,3907,4901,2555,2396,1531,3175,3683,2808,1702,2121,3715,1422,1819,1969
M5005_Spy0435,1852,1660,1904,3626,2902,3159,2298,3668,2289,2784,2492,3179,1957,1548,994,2015,2363,1770,1163,1412,2438,957,1074,1206
M5005_Spy0436,589,566,679,885,1000,1064,765,1966,975,1239,1117,1397,414,361,244,287,412,287,402,426,927,330,484,431
M5005_Spy0437,2,6,9,5,11,15,3,13,7,4,6,6,8,3,6,4,1,3,6,6,8,2,7,5
M5005_Spy0438,64,67,72,76,59,79,90,107,85,96,67,88,69,69,32,34,40,41,58,49,122,65,76,74
M5005_Spy0439,45,42,32,15,38,37,42,50,51,47,31,38,26,24,21,19,26,33,29,37,60,21,41,31
M5005_Spy0440,3707,4313,4219,747,860,924,1164,3444,1518,1578,1017,1622,12148,10197,6220,899,954,622,1772,1512,3890,802,1406,1021
M5005_Spy0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0443,6,8,7,10,3,5,3,11,7,8,3,3,16,18,16,8,17,12,10,15,30,11,20,21
M5005_Spy0444,144,138,108,131,142,170,135,194,103,140,134,182,59,71,53,31,47,51,65,63,126,47,63,48
M5005_Spy0445,1119,899,916,1255,985,1226,1281,1512,1175,1081,940,1228,812,763,559,759,966,702,825,912,1570,914,1298,962
M5005_Spy0446,1160,946,852,1295,1347,1723,1993,2882,2335,2028,2055,2533,1922,1743,1081,1728,1970,2909,1733,1930,3397,5306,9127,5103
M5005_Spy0447,2938,2157,2381,3639,3133,4551,5520,6667,6057,5381,4978,6261,4989,4212,2918,6534,7722,10667,5210,6299,9658,21222,29007,21665
M5005_Spy0448,2344,1469,1905,2381,2523,3384,4055,5067,5230,3881,3683,4975,4069,3684,2584,5562,7141,8476,4515,6352,8812,19674,24214,22826
M5005_Spy0449,1097,1059,1163,1498,1263,1649,1314,2002,1527,1440,1256,1673,710,660,495,719,926,760,638,733,1484,1223,1686,1300
M5005_Spy0450,1413,1130,1360,2385,1996,1895,1651,2596,1679,1691,1623,1933,655,605,398,365,489,349,568,553,1277,316,403,331
M5005_Spy0451,779,700,970,1561,1406,1128,1121,1548,1154,920,946,1231,419,422,278,366,514,383,454,410,930,377,454,374
M5005_Spy0452,3550,3151,4104,7245,5579,8170,6461,9177,8715,9879,9399,13559,12366,11932,8826,9942,15570,10282,11635,15237,28494,9567,11000,12080
M5005_Spy0453,5025,4929,5151,8126,7802,7750,6477,11556,6865,7289,7087,8925,3443,3152,2173,3877,4777,3253,2974,3344,6550,2701,3299,2777
M5005_Spy0454,4333,4440,5021,7310,6547,6743,5943,10525,6470,6816,6116,8405,4689,4009,2857,7159,8748,5879,4168,4390,8777,5819,5768,5447
M5005_Spy0455,10,10,15,17,18,16,12,34,22,20,12,17,13,10,8,9,8,11,10,21,33,35,21,27
M5005_Spy0456,112,117,156,104,99,123,68,121,119,109,85,95,1578,1244,819,510,433,368,836,1151,1853,1167,1234,1407
M5005_Spy0457,342,302,344,305,304,386,261,424,308,230,246,285,2909,2683,1989,1055,1257,827,1691,2444,3626,2130,2255,2913
M5005_Spy0458,186,155,172,94,121,150,161,301,215,175,136,156,1365,1288,870,589,605,387,807,1114,1687,1296,1539,1829
M5005_Spy0459,112,110,123,83,75,121,96,178,167,98,94,118,719,688,519,317,348,213,558,721,1112,676,729,1052
M5005_Spy0460,202,191,219,176,159,191,184,321,225,207,155,210,1029,948,643,451,457,315,819,915,1507,885,1017,1195
M5005_Spy0461,329,255,326,255,260,339,242,506,343,333,278,288,1669,1400,975,653,622,451,1077,1259,2258,1016,1157,1504
M5005_Spy0462,1081,1078,1073,1059,1112,1328,1051,2006,1162,1071,1041,1319,1200,1133,777,770,901,715,938,1115,1974,985,1283,1245
M5005_Spy0463,1966,1967,2038,2735,2453,2773,2074,3565,2276,2433,1874,2558,1779,1569,956,926,1245,1007,1284,1540,2976,1100,1217,1318
M5005_Spy0464,2361,2167,2553,3717,3728,4150,2625,5285,3050,3760,3545,4427,2651,2563,1718,1631,2476,1950,2198,2551,4645,2256,2883,2617
M5005_Spy0465,1924,1821,2210,3432,3092,3577,2155,4221,2524,3290,2716,3552,3249,2904,1756,1714,2526,2180,2485,2775,4616,3015,3453,3365
M5005_Spy0466,4872,4345,5349,7945,7881,8247,5163,11315,6547,8210,7494,9028,8757,7636,4979,4966,6687,6200,5902,7461,12411,7464,8824,8758
M5005_Spy0467,2,2,4,0,1,1,0,7,0,1,2,5,1,0,2,0,1,0,3,2,1,0,0,0
M5005_Spy0468,3601,3339,3506,4860,4191,4641,3635,5663,3648,3891,3594,4102,1795,1694,1154,2681,3475,2593,1270,1230,2526,2201,2443,2124
M5005_Spy0469,4119,4319,4252,5488,5976,6419,4212,7148,4427,4963,4530,5050,2190,2153,1581,3532,4711,3121,1567,1655,3224,1891,2305,1983
M5005_Spy0470,2946,2625,2550,5048,4677,4813,3626,4697,3902,3916,3635,4471,5417,5203,3597,4426,5733,3899,3374,4320,7381,4918,5985,5770
M5005_Spy0471,2961,2759,2896,4077,4153,4878,4288,6551,4235,4389,4165,5395,2048,2131,1630,2236,3243,2815,2495,2617,5111,2996,3373,2910
M5005_Spy0472,2417,1937,2571,3527,3474,4016,2837,4403,3133,3174,3402,4008,1763,1675,1229,1681,2273,1952,1839,2018,3848,1673,2405,2096
M5005_Spy0473,2816,2602,3184,4367,4573,5240,3867,5701,4263,4134,4111,5026,2895,2724,1931,3194,3957,3648,2719,3047,5583,4081,5124,5047
M5005_Spy0474,3360,3116,4048,5234,5523,6006,4659,7704,5091,4665,4873,6175,2379,2530,1791,2787,3628,3543,2520,2980,5558,5077,5926,6387
M5005_Spy0475,3292,3073,3190,4347,3407,4658,3886,7243,4646,4191,3079,4154,1738,1675,1224,2890,3240,2032,1753,2142,4168,3148,4626,2796
M5005_Spy0476,18,9,11,15,21,17,9,32,17,12,22,19,6,6,2,4,3,7,10,18,39,10,15,13
M5005_Spy0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0478,30,20,14,10,19,21,18,24,19,21,15,23,35,40,25,38,37,36,20,18,37,27,26,14
M5005_Spy0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M5005_Spy0481,3567,3324,3579,6261,6459,6864,3718,8933,4625,6288,6629,7249,2305,2080,1410,1134,1751,1091,1699,2003,4486,609,904,876
M5005_Spy0482,7543,7214,8395,12759,11715,13129,7799,16085,9469,11671,11080,13072,3812,3911,2558,2415,3807,2675,2892,3394,7515,1452,1889,1905
M5005_Spy0483,1698,1603,1688,2654,2782,3177,1803,3759,2145,2774,2387,3076,889,890,557,539,836,664,664,773,1564,293,394,404
M5005_Spy0484,2589,2630,2889,4094,4329,5020,2717,7063,4219,4740,4624,5631,1561,1477,965,1266,1640,1466,1189,1396,3028,831,1040,1066
M5005_Spy0485,599,576,765,1134,948,1115,727,1762,911,1034,1015,1280,398,401,300,271,405,317,359,404,919,252,273,286
M5005_Spy0486,677,713,903,1324,1309,1430,955,2741,1291,1449,1408,1686,571,591,334,272,394,322,495,532,1285,232,334,365
M5005_Spy0487,1204,1346,1691,2416,2289,2548,1685,4630,2239,2542,2370,3074,988,954,593,463,659,613,891,1039,2229,518,626,685
M5005_Spy0488,341,268,286,542,308,489,428,464,287,331,271,401,150,139,92,58,131,62,185,134,340,33,76,68
M5005_Spy0489,7150,6864,6466,10392,8936,11011,7751,10572,7663,7190,7001,9473,4153,4207,3301,4228,6380,4081,4078,4273,9430,1817,2141,2115
M5005_Spy0491,2126,1875,2941,7061,5631,7530,3191,7741,3523,6572,5883,7630,3605,3302,2338,2937,4479,3153,2747,3401,6403,2306,3031,3149
M5005_Spy0492,826,796,897,1346,1324,1675,1327,2232,1369,1640,1501,1785,1114,1151,724,1320,1810,1475,1236,1366,2451,1184,1483,1597
M5005_Spy0493,1362,1206,1481,2098,1884,2281,2056,3563,2232,2406,2064,2513,1957,1777,1325,2092,2972,2325,2030,2323,4170,2684,3194,3517
M5005_Spy0494,670,544,620,960,883,1062,961,1432,971,1023,864,1115,858,815,575,787,1118,958,925,1035,1627,1204,1459,1577
M5005_Spy0495,3848,4324,3905,5018,4841,4694,4477,5944,4415,4237,3993,4845,1258,1168,795,2203,2701,1350,1011,1119,2272,1181,1423,1081
M5005_Spy0496,1770,1739,2043,2894,2837,3183,1947,3668,2241,2711,2585,3246,1481,1466,1022,1470,2064,1666,1231,1369,2713,1726,1544,1645
M5005_Spy0497,2839,2995,3346,4953,5258,6131,3509,6172,3754,4532,4169,5467,2890,2857,2021,2504,3611,2768,2399,2511,4721,2701,3127,3201
M5005_Spy0498,7239,6282,7241,13772,12714,13289,8159,12487,9107,8923,8395,10974,12069,11836,8726,12076,14939,13274,7129,8331,16049,8917,9366,10699
M5005_Spy0499,4188,3589,3628,4910,5833,6298,4489,7766,5492,3611,3727,4731,2573,2728,2053,2238,2319,2935,1775,1866,4201,1214,1620,1394
M5005_Spy0500,813,857,1037,1126,1059,1060,946,1904,1130,1077,1029,1195,391,321,279,271,421,242,547,672,1398,406,542,416
M5005_Spy0501,6241,6300,6390,8854,8259,10122,7713,13003,8086,9429,8498,11198,5319,4490,3380,4364,6003,4758,5611,6050,12139,6392,8100,7559
M5005_Spy0502,1162,1074,1074,1524,1822,2014,1439,2917,1595,1834,1565,2096,1005,974,652,710,924,961,934,1004,1870,878,857,1016
M5005_Spy0503,14126,14888,14861,19533,19103,23174,16543,28231,18932,21530,18400,24051,8326,8072,5876,5577,8599,6626,8063,9342,19700,5678,6886,6667
M5005_Spy0504,99,91,83,100,123,129,81,226,127,154,137,150,41,41,36,22,55,25,46,52,127,16,30,20
M5005_Spy0505,6973,7653,8235,14160,16267,16009,8042,16929,9676,13731,14385,18288,11522,11338,8465,9455,12322,8608,6636,9019,16898,8544,10237,10470
M5005_Spy0506,468,471,587,892,784,970,644,1127,686,710,709,921,1483,1497,1071,733,1059,790,763,1094,1806,705,980,947
M5005_Spy0507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0509,1013,1031,990,1297,1292,1564,1126,1767,1226,1081,939,1268,567,583,478,413,626,413,480,469,958,269,428,377
M5005_Spy0510,3156,2870,3037,4378,3272,3857,5472,9347,5777,4801,3880,5311,5206,5223,3569,3102,4520,3342,10015,9633,21743,2768,5233,3809
M5005_Spy0511,1653,1464,1662,2347,2037,2297,2983,4890,2874,2513,2148,3017,3266,3445,2662,2224,3465,2263,6568,6663,13498,2914,3588,3734
M5005_Spy0512,1608,1627,2224,2845,2045,2308,1761,3376,1802,2032,2219,2710,878,946,736,534,895,511,1179,1460,3579,622,919,744
M5005_Spy0513,2318,2468,2639,3129,3662,3803,2996,5736,3478,3695,3662,4447,2293,2126,1645,2184,2857,2571,3170,3425,6854,3092,3346,3368
M5005_Spy0514,1548,1550,1762,2318,1977,2345,2293,3774,2313,2656,2378,2980,1445,1368,863,1406,1909,1685,1994,2138,3996,2127,2476,2415
M5005_Spy0515,1782,1918,1912,2403,2691,3317,2372,4506,2981,3103,2997,3538,1687,1661,1249,1674,2246,2525,2395,2537,5295,2498,2772,2860
M5005_Spy0516,1388,1341,1264,1567,1829,2182,1796,3234,2068,2313,2080,2453,1287,1272,811,1075,1555,1385,1856,1967,3583,1720,1746,1926
M5005_Spy0517,2678,2576,3176,4101,3346,4064,3767,6732,4254,4355,3959,5279,2879,2491,1834,2231,3436,2969,4047,4412,8471,4458,4746,4860
M5005_Spy0518,1487,1511,1639,1914,2238,2402,2067,3897,2510,2583,2417,3021,1775,1648,1196,1472,2129,1829,2529,2792,5222,2900,2725,3159
M5005_Spy0519,2080,2192,2255,2685,2598,3195,2810,4853,3164,3255,3085,3690,3154,2937,2208,2961,4121,3125,3803,4469,7792,4423,4404,5054
M5005_Spy0520,631,724,901,1042,776,998,1011,1628,1067,1042,1003,1321,1206,1175,949,1242,1737,1337,1280,1766,3180,2280,2101,2318
M5005_Spy0521,548,666,736,972,1036,1041,699,1857,873,952,906,1133,593,637,470,415,648,454,654,756,1715,434,546,600
M5005_Spy0522,440,434,509,607,623,798,506,853,446,552,493,595,437,504,337,237,477,291,333,330,694,426,818,573
M5005_Spy0523,995,1025,1194,1810,1910,2040,1257,1960,1246,1369,1415,1601,831,909,795,735,1155,774,667,821,1563,899,1283,1124
M5005_Spy0524,4070,3671,3619,4744,4351,5270,4031,5898,3937,4103,3379,4013,2740,2388,1611,2248,2550,2184,1828,1996,3881,2162,3040,2305
M5005_Spy0525,1500,1335,1499,1751,1614,1915,1274,2023,1552,1403,1220,1526,1026,985,679,893,1226,1003,733,831,1657,1235,1460,1167
M5005_Spy0526,1673,1929,1946,2377,2930,3179,2111,4680,2458,2621,2410,3057,1309,1496,1098,838,1224,1081,1316,1548,3149,1010,1186,1460
M5005_Spy0527,3050,3037,3092,5325,5998,6105,3848,5749,4417,4809,4526,5904,2173,2230,1748,1690,2774,1802,1786,1913,3774,1314,1884,1870
M5005_Spy0528,511,558,524,800,963,1002,675,1158,738,853,741,935,637,593,424,309,437,344,489,568,1225,308,430,421
M5005_Spy0529,402,344,516,714,516,663,572,1012,624,656,530,726,379,298,255,210,332,308,441,424,936,513,677,596
M5005_Spy0530,165,173,140,202,285,347,226,472,315,283,294,346,185,177,119,105,171,174,191,232,397,170,211,233
M5005_Spy0531,1416,1291,1459,2341,2033,2317,1947,3086,1811,2122,1857,2271,1178,1048,691,732,910,862,1174,1178,2369,1255,1420,1243
M5005_Spy0532,3364,3374,3344,5013,6150,6390,4299,8277,4867,5289,4935,6080,3264,2991,2145,2365,3028,2822,2896,3178,6048,2579,3279,3486
M5005_Spy0533,1152,1097,1345,2102,2153,2347,1521,2715,1580,1726,1624,2236,1151,1222,902,762,1195,901,1161,1205,2255,929,1179,1184
M5005_Spy0534,198,204,233,321,414,357,214,320,223,202,201,300,169,164,140,187,226,122,134,140,340,80,116,126
M5005_Spy0535,2523,880,2893,624,775,970,512,1480,1604,359,616,578,49648,50454,38030,28989,32177,17711,37668,53418,92626,53041,68562,99729
M5005_Spy0536,226,265,311,349,313,306,308,457,284,259,193,266,98,101,54,55,93,59,67,105,202,108,185,124
M5005_Spy0537,444,440,463,470,528,600,500,891,548,518,385,440,297,246,174,130,169,139,220,205,418,216,347,233
M5005_Spy0538,49,47,56,65,71,61,137,142,134,159,99,128,37,46,27,33,50,17,65,51,116,65,107,69
M5005_Spy0539,5,3,1,6,5,5,5,15,8,3,11,6,2,6,2,11,7,6,7,4,13,17,19,18
M5005_Spy0540,50,48,49,69,57,72,74,183,104,52,58,57,64,41,40,35,48,43,68,64,111,38,47,53
M5005_Spy0541,176,176,224,391,364,333,208,378,193,200,217,233,216,191,139,222,297,193,134,148,268,131,223,167
M5005_Spy0542,291,236,266,363,340,389,347,484,311,265,223,327,260,226,190,243,368,218,205,244,425,240,276,281
M5005_Spy0543,58,68,61,80,80,101,66,126,71,72,63,79,48,43,26,25,61,40,43,40,103,51,52,46
M5005_Spy0544,449,413,357,537,467,538,534,961,552,515,393,469,311,306,211,298,379,289,350,408,747,689,866,643
M5005_Spy0545,2452,2003,2280,4188,2613,3289,2480,2242,2137,1911,1706,2086,1893,1638,1073,1382,1801,1261,1091,1196,2694,770,988,834
M5005_Spy0546,2612,2122,2072,3889,3480,4064,2491,2756,2584,2264,1925,2786,2862,2595,1832,2790,3510,2742,1673,1835,3745,1550,1800,1824
M5005_Spy0547,4919,4332,4793,7371,7221,7966,4680,5477,5232,4550,4026,5360,7567,7019,5243,10985,11940,9729,3809,4437,9195,6185,5674,6328
M5005_Spy0548,1726,1562,1751,1951,1996,2279,1708,2322,1979,1711,1534,1951,4116,4478,3359,3170,3627,2976,2797,3319,6510,3587,4427,3886
M5005_Spy0549,4974,4842,4618,7356,7118,8250,5379,9793,5676,6313,5671,6996,4648,3763,2626,4742,6033,5731,3582,4357,7374,4060,4005,4749
M5005_Spy0550,1737,1734,1747,2879,2289,2849,2099,3249,2030,2284,2033,2353,1733,1254,1010,1835,2226,2099,1390,1557,2761,2342,2058,2282
M5005_Spy0551,7877,7716,9314,12742,9664,11722,9018,15307,10138,10146,9535,11729,8812,7696,5684,9526,11592,10754,7690,9848,18931,13784,12482,13868
M5005_Spy0552,3369,3187,3512,4931,4945,4989,4680,9809,5341,4933,4807,5906,2866,2516,2038,2307,3473,2345,4672,5012,11242,2026,2545,2473
M5005_Spy0553,379,459,462,548,568,833,562,703,530,481,506,631,988,1048,846,779,1223,805,649,844,1672,831,1443,1348
M5005_Spy0554,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,1,0,1,1,3,5,0,1
M5005_Spy0555,1637,1467,1731,2235,2104,2042,1727,3463,2093,1827,1899,2108,745,666,492,749,879,806,756,794,1764,507,606,476
M5005_Spy0556,570,541,515,1082,1058,1122,518,1018,672,817,676,890,296,232,166,648,723,521,300,324,708,709,1085,799
M5005_Spy0557,6030,7242,6188,9677,10809,10625,6595,15774,7849,10923,7497,10280,3379,3168,2126,8735,10002,5970,3325,3698,7919,7850,10822,8475
M5005_Spy0558,7153,3853,8770,46701,44982,65620,8421,9647,12171,46447,41732,54694,33298,36122,27776,77840,106320,87070,16934,23126,36245,42970,47152,64478
M5005_Spy0559,593,569,752,1422,1517,1619,735,1510,892,1251,1210,1680,603,566,465,769,1028,829,515,603,1235,692,794,847
M5005_Spy0560,3541,3450,3777,6357,5518,6517,4607,7240,4951,5575,4965,6305,2854,2419,1641,2342,3414,2679,2328,2633,5319,2074,2575,2443
M5005_Spy0561,2885,3020,2909,4460,4303,5332,3777,6362,4171,4376,4135,5361,2396,2129,1451,2623,3225,2906,1874,2095,4162,2375,2561,2764
M5005_Spy0562,11,16,12,27,15,18,24,37,11,16,27,18,19,16,12,10,21,16,11,14,43,31,60,48
M5005_Spy0563,609,434,462,794,444,580,665,738,615,504,464,636,403,399,277,527,574,454,342,383,793,863,1019,844
M5005_Spy0564,864,732,656,947,1130,1065,846,1187,1112,834,849,1098,589,557,451,818,767,866,473,570,1217,821,1098,1076
