,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy1267,3,6,3,8,7,10,14,6,7,9,6,10,8,12,6,9,13,13,11,9,24,28,38,29
M5005_Spy1268,5,8,6,6,4,7,6,13,7,8,7,14,17,5,6,6,9,3,12,8,21,13,26,24
M5005_Spy1269,97,88,98,112,81,139,107,157,102,109,97,141,138,128,76,80,133,80,109,98,166,153,235,137
M5005_Spy1270,8107,7519,7716,12333,10884,14248,10687,15660,10719,11608,10780,13619,9946,10013,6712,7792,10951,9675,8915,10291,17833,6856,7840,8878
M5005_Spy1271,12718,10625,11466,13349,9216,13168,11720,16625,11955,10467,9277,11805,17874,16346,10915,8020,11162,7873,9750,13390,24762,4768,7676,7479
M5005_Spy1272,7688,8067,6792,12190,11477,13164,9635,14229,9357,9992,8969,10901,3951,3618,2654,7496,9437,7376,3954,3939,7461,6433,5677,5601
M5005_Spy1273,1685,1817,1460,1755,1817,2470,1634,2288,1532,1743,1405,1735,502,520,411,929,1085,860,651,630,1171,810,863,759
M5005_Spy1274,1473,1575,1443,1716,1623,2238,1549,2141,1478,1549,1429,1603,495,494,367,652,852,649,583,520,1151,621,744,561
M5005_Spy1275,213,263,258,316,358,397,263,587,351,354,335,432,288,316,197,212,281,344,238,345,628,436,459,564
M5005_Spy1276,2739,2488,2629,3508,3460,4094,3771,6430,4356,4310,3654,4842,4952,4718,3203,3849,5110,4537,4473,5599,9230,10405,10867,12010
M5005_Spy1277,1763,1522,1409,2101,2001,2598,2387,3897,2552,2545,2315,2773,3043,2894,1916,2627,3084,3201,2553,3185,5305,5452,5928,6596
