Locus_tag,Cont_1,Cont_2,HPUra_1,HPUra_2,Kan_1
SPD_1027,101416,80882,54990,25847,80922
SPD_1028,250135,247928,158769,74313,253702
SPD_1029,343091,635488,172555,88298,260311
SPD_1030,168415,162892,80243,44738,133657
SPD_1031,71398,72624,37330,17738,68726
SPD_1032,77646,90857,42520,28823,94694
SPD_1033,29339,42644,13923,6532,34532
SPD_1034,83695,75305,30643,11365,114280
SPD_1035,1248,1870,318,229,0
SPD_1036,1892,1608,164,226,125
SPD_1037,1331391,1286085,518712,283212,736519
SPD_1038,632483,442337,175193,60920,570138
SPD_1039,8805041,6868827,3602095,1815471,5996072
SPD_1040,13438687,13639288,5659403,2032306,16441381
SPD_1041,581555,369517,178984,55670,419544
SPD_1042,2391712,1238035,716369,267127,1151963
SPD_1043,1899691,1021041,592647,210598,1091891
SPD_1044,1112600,1950649,1038999,683657,1682829
SPD_1045,399,1044,228,0,0
SPD_1046,4175,4998,2284,1317,3090
SPD_1047,9240,11188,5782,4995,4906
SPD_1048,3400,3197,1689,485,1413
SPD_1049,12948,16644,6037,3609,7800
SPD_1050,49467,49798,23147,13039,31570
SPD_1051,49587,46984,26648,15502,34756
SPD_1052,26462,20118,11915,9728,21076
SPD_1053,64183,49816,42418,19677,49620
SPD_1054,1276,3297,1114,811,513
SPD_1057,2291,1172,2478,523,325
SPD_1059,747,376,59,0,0
SPD_1060,394462,367261,234019,122562,341811
SPD_1061,267961,249094,144983,91297,228733
SPD_1062,384729,387145,208606,120503,353041
SPD_1063,75605,76300,44472,30054,96423
SPD_1064,219210,189010,132916,78192,236680
SPD_1065,91275,97074,60043,30745,98909
SPD_1066,13227,16890,11631,6789,21123
SPD_1067,38512,39423,26056,15286,67761
SPD_1068,97242,98832,63023,32793,145307
SPD_1069,106525,101560,54570,27092,56108
SPD_1070,37899,44276,32197,25077,46660
SPD_1071,35772,74236,24772,17272,76107
SPD_1072,30706,45019,27815,17943,52418
SPD_1073,13967,7885,4498,2161,10536
SPD_1074,420,1077,173,282,513
SPD_1075,38996,90854,27678,20904,40510
SPD_1076,357034,371391,243710,117315,454577
SPD_1077,1127175,842717,625510,336037,862781
SPD_1078,2428354,1843144,1079567,360111,1708896
SPD_1079,408189,392920,266456,174068,494820
SPD_1080,228426,212928,163927,89471,254042
SPD_1081,50157,37047,29997,13053,55602
SPD_1082,45028,40804,30253,11458,59091
SPD_1083,246602,169093,123859,69599,129745
SPD_1084,936897,754310,501181,264772,470325
SPD_1085,461830,405093,265214,123291,260770
SPD_1086,331752,237122,151522,73017,134850
SPD_1087,208262,199092,170955,95973,108603
SPD_1088,123423,88568,90858,29706,62467
SPD_1089,358612,315681,289925,76341,216315
SPD_1090,813999,721753,562640,162371,412637
SPD_1091,54426,50496,40494,16061,36142
SPD_1093,82374,75681,49183,22621,53380
SPD_1092,35071,43031,21373,9831,22573
SPD_1094,91674,77096,44456,24476,45684
SPD_1095,152532,115364,78595,40683,101025
SPD_1096,250829,200306,147137,70440,147858
SPD_1097,63051,107998,41944,22347,57465
SPD_1098,2894326,1850680,821787,350197,600588
SPD_1099,1019095,507533,249733,134157,190062
SPD_1100,1359431,726207,576304,218650,452310
SPD_1101,313086,280265,150039,88898,172270
SPD_1102,147783,144943,89265,46379,115747
SPD_1103,165271,118973,92714,54712,111083
SPD_1104,539328,447568,324894,171749,413883
SPD_1105,44306,41811,29344,12520,39014
SPD_1106,821,742,924,140,612
SPD_1107,622401,544002,456680,152532,305681
SPD_1108,38182,48865,26395,9478,33440
SPD_1109,52841,65894,35124,16116,57961
SPD_1110,3404,4655,2932,1070,3442
SPD_1111,5314,6264,4764,2885,3068
SPD_1112,3391,4280,3826,4394,5020
SPD_1113,17812,15441,15666,8778,15598
SPD_1114,515,937,190,150,0
SPD_1115,29741,20496,21900,10265,36148
SPD_1117,12098,11716,7633,4870,17239
SPD_1118,92875,59588,67605,44827,149711
SPD_1119,115760,131478,81859,34272,195423
SPD_1120,952324,644937,494907,295248,556476
SPD_1121,101943,89890,144389,69957,69105
SPD_1122,21904,20786,7346521,3070391,707191
SPD_1123,1107538,969890,647930,301740,583242
SPD_1124,1569739,1573311,1071754,435144,769781
SPD_1125,810261,598097,549727,254640,397128
