,covR_Zn1,covR_Zn2,covR_Zn3,covR_Zn4
CHF17_RS06685,6377,8492,6957,5238
CHF17_RS06690,2775,2641,2698,2331
CHF17_RS06695,957,1049,1166,832
CHF17_RS06700,7427,12786,10129,8117
CHF17_RS06705,9386,12779,11307,12484
CHF17_RS06710,457,412,448,536
CHF17_RS06715,114,107,118,126
CHF17_RS06720,1020,1373,1180,1034
CHF17_RS06725,26161,28550,29224,30006
CHF17_RS06730,1961,1765,2010,1523
CHF17_RS06735,1067,1006,1080,808
CHF17_RS06740,367,409,380,359
CHF17_RS06745,210,211,223,228
CHF17_RS06750,96,87,97,80
CHF17_RS06755,1438,1354,1500,1382
CHF17_RS06760,823,864,950,719
CHF17_RS06765,1282,1190,1401,1141
CHF17_RS06770,12595,14799,13437,10645
CHF17_RS06775,728,646,712,304
CHF17_RS06780,157,154,164,140
CHF17_RS06785,530,519,521,487
CHF17_RS06790,271,274,256,238
CHF17_RS06795,1785,1858,1826,1554
CHF17_RS06800,9915,10640,10269,9505
CHF17_RS06805,4423,4271,4456,3396
CHF17_RS06810,8849,8907,8688,6640
CHF17_RS06815,68285,65807,67525,83756
CHF17_RS06820,105889,98679,107531,120617
CHF17_RS06825,1078,1587,1572,949
CHF17_RS06830,1014,989,1071,1365
CHF17_RS06835,1209,1266,1348,1691
CHF17_RS06840,182,340,238,253
CHF17_RS06845,272,566,349,334
CHF17_RS06850,35,70,49,34
CHF17_RS06855,482,841,655,466
CHF17_RS06860,6932,7167,6827,6141
CHF17_RS06865,16648,17504,16793,15215
CHF17_RS06870,1576,1651,1611,1263
CHF17_RS06875,5617,6192,5525,5239
CHF17_RS06880,5058,5294,5014,4386
CHF17_RS06885,5570,6970,5685,4677
CHF17_RS06890,7500,8841,7913,6317
CHF17_RS06895,10542,17102,13217,12536
CHF17_RS06900,26153,47491,38276,35935
CHF17_RS06905,48588,85244,70785,65845
CHF17_RS06910,5554,9322,7485,6226
CHF17_RS06915,935,937,919,818
CHF17_RS06920,7069,7116,7388,6314
CHF17_RS06925,5127,4725,5271,4276
CHF17_RS06930,4269,3774,4215,3797
CHF17_RS06935,3422,3040,3420,2763
CHF17_RS06940,5419,6149,5836,4777
CHF17_RS06945,3064,3483,3463,2402
CHF17_RS06950,2628,2950,2723,1639
CHF17_RS06955,1728,1632,1755,1468
CHF17_RS06960,1744,1470,1611,1444
CHF17_RS06965,443,342,405,332
CHF17_RS06970,6053,12087,3933,8694
CHF17_RS06975,2174,2958,2280,1960
CHF17_RS06980,7673,8369,7492,5432
CHF17_RS06985,8783,11721,9143,8899
CHF17_RS06990,9538,11423,10602,8629
CHF17_RS06995,6860,7292,6903,6108
CHF17_RS07000,1526,1479,1479,1098
CHF17_RS07005,6719,7659,6998,6081
CHF17_RS07010,3583,3970,3605,2688
CHF17_RS07015,13439,12313,13187,8985
CHF17_RS07020,5332,4839,5273,3433
CHF17_RS07025,1461,1137,1229,737
CHF17_RS07030,1282,1164,1411,1331
CHF17_RS07035,7631,7426,7977,10064
CHF17_RS07040,3428,2759,3367,3008
CHF17_RS07045,2002,1521,1878,1671
CHF17_RS07050,3194,6405,4290,2746
CHF17_RS07055,6358,16848,11828,4456
CHF17_RS07060,10345,9933,10943,9505
CHF17_RS07065,9925,9548,10413,10305
CHF17_RS07070,1913,1503,1678,1806
CHF17_RS07075,1990,1653,1847,1540
CHF17_RS07080,890,667,812,634
CHF17_RS07085,39,31,34,26
CHF17_RS07090,66,66,56,47
CHF17_RS07095,7028,8087,7581,5574
CHF17_RS07100,30329,24976,28922,25550
CHF17_RS07105,42606,39351,45325,39219
CHF17_RS07110,14823,16059,16024,16696
CHF17_RS07115,3430,3869,3528,4113
CHF17_RS07120,9257,10576,9573,8318
CHF17_RS07125,7604,7796,8268,7689
CHF17_RS07130,4438,3943,4271,3798
CHF17_RS07135,1864,1772,1773,1682
CHF17_RS07140,5726,6414,6109,5117
CHF17_RS07145,2187,2564,2422,2026
CHF17_RS07150,4239,5349,4642,4234
CHF17_RS07155,8321,5550,7338,4087
CHF17_RS07160,26000,25395,28077,25157
CHF17_RS07165,35166,32706,35086,32116
CHF17_RS07170,5578,7188,5846,4120
CHF17_RS07175,11256,10447,10534,10791
CHF17_RS07180,9885,9178,9621,10261
CHF17_RS07185,2594,2381,2411,2301
CHF17_RS07190,33807,28020,31297,28914
CHF17_RS07195,42926,37596,43181,40374
CHF17_RS07200,23176,20604,23365,21076
CHF17_RS07205,33702,31316,34634,32709
CHF17_RS07210,22903,18562,22648,18654
CHF17_RS07215,43824,34485,44057,37515
CHF17_RS07220,13158,10673,13039,11579
CHF17_RS07225,40070,34873,39382,34306
CHF17_RS07230,42108,37610,42003,34558
CHF17_RS07235,25556,24131,26377,21613
CHF17_RS07240,857685,714608,804369,664850
CHF17_RS07245,4771,5319,4525,4107
CHF17_RS07250,3882,4278,4062,3262
CHF17_RS07255,1474,1798,1635,1282
CHF17_RS07260,11834,14349,12864,9365
CHF17_RS07265,21775,25566,23318,17145
CHF17_RS07270,25517,26404,25698,21874
CHF17_RS07275,19358,17734,18060,21351
CHF17_RS07280,18103,15265,17516,14637
CHF17_RS07285,56704,43954,51767,43420
CHF17_RS07290,11433,12510,11870,10487
CHF17_RS07295,7446,8497,7940,6814
CHF17_RS07300,2060,2021,1883,953
CHF17_RS07305,5375,6185,5472,4201
CHF17_RS07310,15412,19443,16795,12650
CHF17_RS07315,13304,12216,13878,13185
CHF17_RS07320,11374,11882,11974,9010
CHF17_RS07325,19336,10932,17182,14426
CHF17_RS07330,35514,20002,32184,25124
CHF17_RS07335,13490,9321,13317,11631
CHF17_RS07340,10228,7525,10065,9810
CHF17_RS07345,3340,3992,3766,3273
CHF17_RS07350,16904,17559,16822,17388
CHF17_RS07355,1895,1976,1993,1545
CHF17_RS07360,21025,25058,22929,20091
CHF17_RS07365,1284,1318,1419,1575
CHF17_RS07370,2011,1941,2118,1864
CHF17_RS07375,4265,4072,4174,3735
CHF17_RS07380,5452,5521,5317,4578
CHF17_RS07385,4349,4526,4330,3998
CHF17_RS07390,10216,10968,10573,9966
CHF17_RS07395,19181,19107,19721,15073
CHF17_RS07400,15918,15336,15748,13832
CHF17_RS07405,32014,31096,32360,28955
CHF17_RS07410,39481,35318,38451,38558
CHF17_RS07415,4569,3629,4261,3200
CHF17_RS07420,1908,1435,1746,1421
CHF17_RS07425,18889,17073,17809,15427
CHF17_RS07430,12265,10218,11033,9047
CHF17_RS07435,19980,17530,18833,16460
CHF17_RS07440,12326,11169,11194,11553
CHF17_RS07445,9773,9231,9348,8763
CHF17_RS07450,10800,10557,10403,9153
CHF17_RS07455,11696,12035,11264,10564
CHF17_RS07460,7199,7515,7247,6401
CHF17_RS07465,6496,6156,6226,5203
CHF17_RS07470,11214,10764,10940,9604
CHF17_RS07475,1496,1361,1399,1260
CHF17_RS07480,3099,3065,2999,2593
CHF17_RS07485,6091,7060,6250,5891
CHF17_RS07490,8987,10077,9186,8129
CHF17_RS07495,7526,7355,7120,6059
CHF17_RS07500,4442,3896,4242,3555
CHF17_RS07505,16178,13562,15661,12215
CHF17_RS07510,17484,13091,16521,12833
CHF17_RS07515,7500,8959,6952,6695
CHF17_RS07520,6015,7686,6429,5338
CHF17_RS07525,5034,6698,6448,4090
CHF17_RS07530,1483,2013,2106,1232
CHF17_RS07535,294,1030,484,224
CHF17_RS07540,138,106,141,95
CHF17_RS07545,240,237,220,180
CHF17_RS07550,6400,7995,5094,4416
CHF17_RS07555,591,762,572,395
CHF17_RS07560,581,616,587,491
CHF17_RS07565,2235,1928,2273,1710
CHF17_RS07570,1017,958,1009,790
CHF17_RS07575,4345,6395,4964,4526
CHF17_RS07580,4826,4555,5098,3824
CHF17_RS07585,2812,2774,2930,2429
CHF17_RS07590,2057,1994,2213,1801
CHF17_RS07595,9165,11398,10334,8774
CHF17_RS07600,1064,1150,1172,1051
CHF17_RS07605,2091,1327,1848,1616
CHF17_RS07610,4792,2119,4469,2938
CHF17_RS07615,13132,6529,13133,9625
CHF17_RS07620,9739,14403,11193,7423
CHF17_RS07625,12831,19730,15909,13445
CHF17_RS07630,105570,117664,116358,97235
CHF17_RS07635,47350,49815,52230,41921
CHF17_RS07640,1530,1572,1423,1218
CHF17_RS07645,1064,1199,1036,945
CHF17_RS07650,17387,18764,17456,15708
CHF17_RS07655,1236,1289,1128,1028
CHF17_RS07660,6242,5414,5873,4986
CHF17_RS07665,3195,4374,3310,2394
CHF17_RS07670,1484,1518,1244,965
CHF17_RS07675,603,618,630,727
CHF17_RS07680,1025,658,839,645
CHF17_RS07685,2777,4351,2997,2193
CHF17_RS07690,1306,1384,1289,1465
CHF17_RS07695,1615,1864,1491,1615
CHF17_RS07700,2203,2465,2220,2072
CHF17_RS07705,13484,12147,13629,12645
CHF17_RS07710,2480,2387,2414,1987
CHF17_RS07715,12273,13571,12687,11100
CHF17_RS07720,4962,5578,5388,5675
CHF17_RS07725,1711,1908,1894,1563
CHF17_RS07730,5496,5731,6095,5812
CHF17_RS07735,2883,3385,3357,3072
CHF17_RS07740,1814,2143,1991,1432
CHF17_RS07745,877,821,789,636
CHF17_RS07750,1561,1430,1532,1138
CHF17_RS07755,1152,993,1040,1004
CHF17_RS07760,1108,792,1070,807
CHF17_RS07765,101,90,97,86
CHF17_RS07770,77,152,110,91
CHF17_RS07775,102,212,162,109
CHF17_RS07780,58,93,69,49
CHF17_RS07785,202,467,311,246
CHF17_RS07790,313,840,547,430
CHF17_RS07795,123,400,226,183
CHF17_RS07800,3113,4275,3492,3355
CHF17_RS07805,12345,14536,13135,9327
CHF17_RS07810,3750,4636,3953,3110
CHF17_RS07815,6903,9049,7249,5741
CHF17_RS07820,1503,1563,1429,1051
CHF17_RS07825,90,78,77,44
CHF17_RS07830,1251,1177,1135,926
CHF17_RS07835,4554,5017,4900,3669
CHF17_RS07840,8338,12298,9706,10172
CHF17_RS07845,4040,4472,3966,3312
CHF17_RS07850,1077,1120,1151,903
CHF17_RS07855,3389,3428,3481,2707
CHF17_RS07860,8134,9023,8685,7523
CHF17_RS07865,17468,18220,19009,14867
CHF17_RS07870,20118,22218,21788,18751
CHF17_RS07875,2626,1133,2522,1813
CHF17_RS07880,3586,1437,3370,2077
CHF17_RS07885,3262,1287,3064,2166
CHF17_RS07890,4840,2011,4536,3056
CHF17_RS07895,6929,2561,6025,4169
CHF17_RS07900,69337,64774,72987,70813
CHF17_RS07905,69181,62398,71191,66895
CHF17_RS07910,717,755,755,889
CHF17_RS07915,2429,1934,2203,2301
CHF17_RS07920,1835,1289,1618,1630
CHF17_RS07925,2190,2246,2419,1665
CHF17_RS07930,627,711,705,596
CHF17_RS07935,782,759,820,761
CHF17_RS07940,3550,3545,3505,2566
CHF17_RS07945,18172,17862,18669,14939
CHF17_RS07950,5810,7289,6354,5834
CHF17_RS07955,42294,37173,41828,42190
CHF17_RS07960,40297,32514,38900,30050
CHF17_RS07965,92229,62473,83461,71646
CHF17_RS07970,3649,4666,4217,3530
CHF17_RS07975,2918,3356,3064,2353
CHF17_RS07980,676,736,655,392
CHF17_RS07985,2288,2369,2131,1841
CHF17_RS07990,3794,4219,3838,3867
CHF17_RS07995,177,183,194,108
CHF17_RS08000,208,229,262,174
CHF17_RS08005,12426,12168,13757,11010
CHF17_RS08010,4673,4320,4879,3828
CHF17_RS08015,3243,2703,3163,2086
CHF17_RS08020,4704,4315,4756,3373
CHF17_RS08025,1478,1418,1458,950
CHF17_RS08030,1430,1229,1393,700
CHF17_RS08035,3051,2705,3169,1869
CHF17_RS08040,18945,13595,16637,12897
CHF17_RS08045,76461,59068,71722,56753
CHF17_RS08050,166415,114737,149097,108437
CHF17_RS08055,65728,43167,58808,42797
CHF17_RS08060,31021,22492,29021,23719
CHF17_RS08065,31061,24562,30631,24690
CHF17_RS08070,5289,8700,6938,5921
CHF17_RS08075,33227,35029,34736,26756
CHF17_RS08080,2426,2762,2447,2067
CHF17_RS08085,1047,1145,1296,949
CHF17_RS08090,125,143,143,100
CHF17_RS08095,6001,6090,6000,5102
CHF17_RS08100,6880,6985,6990,5297
CHF17_RS08105,9530,10176,10308,7890
CHF17_RS08110,2035,2894,2557,1897
CHF17_RS08115,2310,3534,2808,2046
CHF17_RS08120,13302,11924,11823,12113
CHF17_RS08125,6489,5150,5527,5032
CHF17_RS08130,10770,7928,8597,8596
CHF17_RS08135,1131,1235,1193,1002
CHF17_RS08140,245,257,264,209
CHF17_RS08145,384,372,427,307
CHF17_RS08150,8884,11695,10503,7293
CHF17_RS08155,2892,3862,3433,2412
CHF17_RS08160,7195,10633,9287,6479
CHF17_RS08165,5800,8867,7124,5097
CHF17_RS08170,705,733,737,855
CHF17_RS08175,97,201,117,90
CHF17_RS08180,37,133,66,55
CHF17_RS08185,47,165,82,68
CHF17_RS08190,69,372,166,87
CHF17_RS08195,72,526,257,77
CHF17_RS08200,997,2992,1883,968
CHF17_RS08205,667,1075,778,725
CHF17_RS08210,8150,13370,9534,8063
CHF17_RS08215,7630,8965,7987,7466
CHF17_RS08220,3006,3399,3232,2293
CHF17_RS08225,1380,1318,1373,1067
CHF17_RS08230,9809,12125,11021,9536
CHF17_RS08235,16694,17479,17042,14255
CHF17_RS08240,18158,18906,18568,16535
CHF17_RS08245,1992,2103,2205,2363
CHF17_RS08250,6313,5949,6302,6812
CHF17_RS08255,3427,3096,3486,3659
CHF17_RS08260,4274,4016,4215,4914
CHF17_RS08265,4377,4186,4303,4439
CHF17_RS08270,3964,3947,4057,3883
CHF17_RS08275,3387,3640,3488,3520
CHF17_RS08280,6577,7222,6752,6119
CHF17_RS08285,6146,7441,6743,5468
CHF17_RS08290,3791,3847,3644,2318
CHF17_RS08295,164,160,184,169
CHF17_RS08300,1251,1832,1403,1182
CHF17_RS08305,11499,13790,11482,9845
CHF17_RS08310,11437,14097,12301,8478
CHF17_RS08315,14973,18785,15816,11870
CHF17_RS08320,763,1152,956,539
CHF17_RS08325,18350,17475,19067,15826
CHF17_RS08330,1456,1366,1220,1029
CHF17_RS08335,1604,1478,1280,1091
CHF17_RS08340,772,760,712,565
CHF17_RS08345,6475,5802,6151,5653
CHF17_RS08350,40084,33522,38263,32300
CHF17_RS08355,4364,4445,4291,4368
CHF17_RS08360,18294,17969,18522,16415
CHF17_RS08365,10865,9919,10143,7813
CHF17_RS08370,803,902,857,592
CHF17_RS08375,21898,32115,24700,19349
CHF17_RS08380,16871,16800,17502,15276
CHF17_RS08385,6218,5428,5966,3721
CHF17_RS08390,6102,5734,6076,4262
CHF17_RS08395,2128,1978,1981,1274
CHF17_RS08400,1138,1297,1300,1107
CHF17_RS08405,259,332,306,279
CHF17_RS08410,5815,6866,6854,2967
CHF17_RS08415,17764,18870,19590,17527
CHF17_RS08420,15732,15463,16511,15028
CHF17_RS08425,2849,3312,2729,2789
CHF17_RS08430,9963,11621,10223,8520
CHF17_RS08435,5516,6076,5563,4481
CHF17_RS08440,7797,8743,8784,7548
CHF17_RS08445,15252,16891,16776,13651
CHF17_RS08450,5211,5577,5353,4689
CHF17_RS08455,21278,18888,22205,20657
CHF17_RS08460,12815,15613,15014,14829
CHF17_RS08465,351,322,391,282
CHF17_RS08470,5169,4775,5007,5290
CHF17_RS08475,7715,6179,7293,5920
CHF17_RS08480,5831,4667,5590,4363
CHF17_RS08485,6636,5346,5426,3765
CHF17_RS08490,24778,15021,15754,9112
CHF17_RS08495,14303,7800,8320,4219
CHF17_RS08500,426,202,223,73
CHF17_RS08505,10347,7178,8758,6254
CHF17_RS08510,620,557,646,466
CHF17_RS08515,643,616,642,535
CHF17_RS08520,3413,2782,3156,2389
CHF17_RS08525,63,49,54,44
CHF17_RS08530,130,110,138,92
CHF17_RS08535,77,60,70,58
CHF17_RS08540,1516,1477,1581,1165
CHF17_RS08545,437,398,478,412
CHF17_RS08550,74,51,73,61
CHF17_RS08555,414,498,460,475
CHF17_RS08560,207,338,260,194
CHF17_RS08565,158,255,209,143
CHF17_RS08570,366,607,421,354
CHF17_RS08575,6344,6370,5940,4711
CHF17_RS08580,1768,1452,1725,1263
CHF17_RS08585,3176,2518,3119,2720
CHF17_RS08590,707,600,668,681
CHF17_RS08595,1866,1801,1878,1965
CHF17_RS08600,2873,2751,2841,1930
CHF17_RS08605,5899,6145,6178,4855
CHF17_RS08610,6644,7242,6896,6297
CHF17_RS08615,8619,9358,9210,7753
CHF17_RS08620,3178,3250,3181,2750
CHF17_RS08625,8050,7173,7443,7201
CHF17_RS08630,3393,2913,3033,3481
CHF17_RS08635,2077,1998,2119,1739
CHF17_RS08640,21769,22926,22659,22657
CHF17_RS08645,15871,16932,16457,17525
CHF17_RS08650,3348,3285,3359,3136
CHF17_RS08655,407,641,537,368
CHF17_RS08660,312,726,446,233
CHF17_RS08665,505,1226,724,443
CHF17_RS08670,574,849,514,446
CHF17_RS08675,3323,3921,3824,3283
CHF17_RS08680,32078,31586,33316,31525
CHF17_RS08685,19956,24385,22208,19736
CHF17_RS08690,1267,1552,1431,1028
CHF17_RS08695,5765,5735,5813,5092
CHF17_RS08700,1542,1698,1464,1601
CHF17_RS08705,950,947,990,806
CHF17_RS08710,2499,3196,2805,2604
CHF17_RS08715,9595,10577,9827,7897
CHF17_RS08720,104464,84989,94552,76724
CHF17_RS08725,4926,5232,5205,5737
CHF17_RS08730,984,1018,1080,845
CHF17_RS08735,3990,5052,4635,4257
CHF17_RS08740,84219,83921,83222,65542
CHF17_RS08745,6235,6639,6191,6096
CHF17_RS08750,142,139,122,111
CHF17_RS08755,453,388,493,422
CHF17_RS08760,2381,1746,1963,1821
CHF17_RS08765,2463,1726,2266,1901
CHF17_RS08770,8884,10179,9942,8984
CHF17_RS08775,14355,17137,16112,14241
CHF17_RS08780,20080,22475,21358,20433
CHF17_RS08785,1160,1190,1169,900
CHF17_RS08790,902,764,858,621
CHF17_RS08795,976,915,975,676
CHF17_RS08800,229,188,220,133
CHF17_RS08805,470,402,450,367
CHF17_RS08810,570,539,576,425
CHF17_RS08815,608,621,560,552
CHF17_RS08820,187,190,178,165
CHF17_RS08825,585,564,581,428
CHF17_RS08830,1136,1012,1158,672
CHF17_RS08835,4212,4079,4094,3298
CHF17_RS08840,1449,1485,1536,1341
CHF17_RS08845,2279,2306,2365,2043
CHF17_RS08850,24,26,25,19
CHF17_RS08855,6866,7401,6915,7688
CHF17_RS08860,6666,7168,7062,6667
CHF17_RS08865,11952,11233,11903,9805
CHF17_RS08870,23188,23427,23162,23790
CHF17_RS08875,100006,99800,103278,107379
CHF17_RS08880,44054,44684,46315,47090
CHF17_RS08885,3282,3128,3399,2031
CHF17_RS08890,823,1147,923,766
CHF17_RS08895,2374,2304,2148,1384
CHF17_RS08900,2414,2535,2392,2232
CHF17_RS08905,8318,9761,8998,7105
CHF17_RS08910,2708,4771,3360,3036
CHF17_RS08915,2145,3608,2682,2021
CHF17_RS08920,6472,7643,6989,5843
CHF17_RS08925,3689,4484,4126,2798
CHF17_RS08930,5025,5887,5280,3720
CHF17_RS08935,21750,24003,21477,17426
CHF17_RS08940,6796,10445,8687,6164
CHF17_RS08945,53120,52466,61059,52274
CHF17_RS08950,1743,2019,2224,1697
CHF17_RS08955,7234,6687,7166,6037
CHF17_RS08960,7363,6385,7283,5315
CHF17_RS08965,4825,4068,4905,4289
CHF17_RS08970,27866,25705,30758,28145
CHF17_RS08975,262,437,321,285
CHF17_RS08980,406,613,464,317
CHF17_RS08985,2893,3273,2900,2485
CHF17_RS08990,10666,11307,11615,11076
CHF17_RS08995,2220,2219,2443,2153
CHF17_RS09000,9140,10081,9682,8438
CHF17_RS09005,7222,6938,6374,5635
CHF17_RS09010,7431,7094,6132,5731
CHF17_RS09015,11945,12556,10559,11726
CHF17_RS09020,12694,12445,10366,10995
CHF17_RS09025,11178,12120,9948,9307
CHF17_RS09030,10050,11193,9056,8654
CHF17_RS09035,337,390,431,273
CHF17_RS09040,164,155,147,96
CHF17_RS09045,36,45,50,29
CHF17_RS09050,2066,1665,1774,768
CHF17_RS09055,6823,6030,6540,4986
CHF17_RS09060,1528,1639,1724,1295
CHF17_RS09065,816,799,820,697
CHF17_RS09070,6892,4797,6381,4897
CHF17_RS09075,3883,4937,4083,3048
CHF17_RS09080,1304,1988,1576,1281
CHF17_RS09085,683,698,607,524
CHF17_RS09090,324,370,335,354
CHF17_RS09095,9108,9809,9313,7374
CHF17_RS09100,3186,2899,2758,2751
CHF17_RS09105,1427,1248,1283,1123
CHF17_RS09110,3144,2800,2847,2512
CHF17_RS09115,3550,2954,3213,2250
CHF17_RS09120,64575,68408,69932,55318
CHF17_RS09125,2097,2424,2668,2104
CHF17_RS09130,89440,73295,86804,77361
CHF17_RS09135,24762,19310,23424,17600
CHF17_RS09140,1366,1819,1554,1086
CHF17_RS09145,107628,119231,117395,105309
CHF17_RS09150,2693,3574,2868,2634
CHF17_RS09155,458002,500305,503102,476033
CHF17_RS09160,240621,231487,236711,245534
CHF17_RS09165,48425,46265,48606,56657
CHF17_RS09170,75916,64888,73958,67691
CHF17_RS09175,16024,22263,17261,15350
CHF17_RS09180,7285,7916,7276,5695
CHF17_RS09185,6514,8091,7104,6391
CHF17_RS09190,2954,4080,3411,3036
CHF17_RS09195,8173,11140,9073,7682
CHF17_RS09200,12392,17024,14190,11011
CHF17_RS09205,5020,5403,5251,4506
CHF17_RS09210,6727,7292,7110,6421
CHF17_RS09215,2643,2700,2724,1845
CHF17_RS09220,2524,2509,2520,1820
CHF17_RS09225,2903,2589,2623,2058
CHF17_RS09230,1761,1890,1769,1513
CHF17_RS09235,2270,2475,2355,2054
CHF17_RS09240,6386,6386,6167,5174
CHF17_RS09245,1595,1375,1585,920
CHF17_RS09250,93196,83572,92028,74655
CHF17_RS09255,15689,13550,14687,12760
CHF17_RS09260,71650,61180,66592,57870
CHF17_RS09265,94408,85884,89674,73197
CHF17_RS09270,6524,6346,6604,4513
CHF17_RS09275,53824,58360,55456,45647
CHF17_RS09280,35192,43653,39133,29287
CHF17_RS09285,10329,9000,8487,7922
CHF17_RS09290,8932,7424,9331,7738
CHF17_RS09295,785,821,854,955
CHF17_RS09300,4919,6490,5040,4929
CHF17_RS09305,3306,5642,4166,3001
CHF17_RS09310,46,75,57,23
CHF17_RS09315,207,200,197,182
CHF17_RS09320,216,201,190,170
CHF17_RS09325,6068,8200,6521,5669
CHF17_RS09330,92,105,108,81
CHF17_RS09335,92,83,80,99
CHF17_RS09340,53,55,76,67
CHF17_RS09345,71,71,99,76
CHF17_RS09350,250,289,319,240
CHF17_RS09355,152,139,160,125
CHF17_RS09360,1475,2193,1936,1473
CHF17_RS09365,32,29,29,23
CHF17_RS09370,31,28,34,16
CHF17_RS09375,23,21,22,32
CHF17_RS09380,17,5,8,11
CHF17_RS09385,8,11,13,13
CHF17_RS09390,7,15,8,8
CHF17_RS09395,65,101,79,61
CHF17_RS09400,7125,8653,7931,7687
CHF17_RS09405,4709,5375,4737,4248
CHF17_RS09410,31923,32116,28267,30312
CHF17_RS09415,2847,2712,2963,2455
CHF17_RS09420,3604,3699,3646,3426
CHF17_RS09425,5628,6677,6151,5650
CHF17_RS09430,2281,2019,2131,1563
CHF17_RS09435,5548,5050,5163,3490
CHF17_RS09440,6479,5619,6044,5076
CHF17_RS09445,11110,10872,11478,10133
CHF17_RS09450,6650,6038,6666,5692
CHF17_RS09455,6154,5708,6245,5376
CHF17_RS09460,17100,23292,18275,15842
CHF17_RS09465,2058,3429,2406,1942
CHF17_RS09470,1471,2647,2202,1891
CHF17_RS09475,73127,72824,76443,72540
CHF17_RS09480,106403,101748,107907,101743
CHF17_RS09485,2178,1977,2008,1998
CHF17_RS09490,8982,8057,8268,7756
CHF17_RS09495,45,68,70,54
CHF17_RS09500,12985,18411,15543,13896
CHF17_RS09505,1477,2196,1696,1433
CHF17_RS09510,5377,5616,5523,5011
CHF17_RS09515,55739,61360,54440,43247
CHF17_RS09520,2453,2747,2448,1845
CHF17_RS09525,5740,5152,5847,4189
CHF17_RS09530,745,760,782,491
CHF17_RS09535,3693,4428,4070,3332
CHF17_RS09540,9940,9852,10046,8176
CHF17_RS09545,4636,7582,6111,3649
CHF17_RS09550,333,447,381,269
CHF17_RS09555,46,44,57,42
CHF17_RS09560,38,48,46,38
CHF17_RS09565,10,12,10,12
CHF17_RS09570,47,56,40,53
CHF17_RS09575,10,17,25,17
CHF17_RS09580,95,235,202,104
CHF17_RS09585,47,78,74,59
CHF17_RS09590,108,156,142,117
CHF17_RS09595,141,167,145,145
CHF17_RS09600,167628,187483,195728,158412
CHF17_RS09605,5124,6814,7473,4550
CHF17_RS09610,1492,1518,1567,1094
CHF17_RS09615,21159,19590,21118,18476
CHF17_RS09620,1100,1108,1093,1054
CHF17_RS09625,27389,27305,27687,24443
CHF17_RS09630,10064,10553,10254,10802
CHF17_RS09635,4270,4501,4134,5368
CHF17_RS09640,5528,5704,5363,4936
CHF17_RS09645,27659,30518,29467,24714
CHF17_RS09650,3804,5087,4595,3761
CHF17_RS09655,50,83,63,74
CHF17_RS09660,76,84,72,47
CHF17_RS09665,66,113,99,87
CHF17_RS09670,1961,2031,2119,1625
CHF17_RS09675,884,915,973,745
CHF17_RS09680,7487,8396,7692,7005
CHF17_RS09685,1078,1065,1087,975
CHF17_RS09690,5516,6471,6189,4830
CHF17_RS09695,1926,2202,2197,1691
CHF17_RS09700,581,622,622,724
CHF17_RS09705,540,414,536,436
CHF17_RS09710,493,419,518,486
CHF17_RS09715,833,793,847,792
CHF17_RS09720,76,66,84,71
CHF17_RS09725,52,45,55,22
CHF17_RS09730,2246,1591,1927,1307
CHF17_RS09735,54,64,49,49
CHF17_RS09740,136,122,139,108
CHF17_RS09745,384,381,424,359
CHF17_RS09750,1745,2456,1880,1423
CHF17_RS09755,232,294,257,224
CHF17_RS09760,179,151,134,131
CHF17_RS09765,1995,2043,1895,1265
CHF17_RS09770,10493,9712,9679,7059
CHF17_RS09775,1490,2449,1299,2382
CHF17_RS09780,1791,1479,1590,1493
CHF17_RS09785,6489,5962,6396,5494
CHF17_RS09790,3700,3815,3919,3316
CHF17_RS09795,1700,1786,1898,1267
CHF17_RS09800,1285,1256,1392,994
CHF17_RS09805,1877,1999,1913,1426
CHF17_RS09810,200,212,210,230
CHF17_RS09815,181,179,203,158
CHF17_RS09820,135,220,198,132
CHF17_RS09825,108,171,167,73
CHF17_RS09830,22474,22802,24687,21557
CHF17_RS09835,618,640,777,554
CHF17_RS09840,31343,26433,32148,33824
CHF17_RS09845,26844,20742,26634,23925
CHF17_RS09850,4065,2740,3841,2236
CHF17_RS09855,2253,2628,2390,2196
CHF17_RS09860,16008,21028,18955,14176
CHF17_RS09865,6899,10505,8283,7027
CHF17_RS09870,388,531,452,276
CHF17_RS09875,261,363,359,272
CHF17_RS09880,655,705,760,650
CHF17_RS09885,4384,5117,4626,3227
CHF17_RS09890,1632,1800,1614,1040
CHF17_RS09895,308,439,315,200
CHF17_RS09900,148,330,166,111
CHF17_RS09905,168,693,305,172
CHF17_RS09910,148,936,384,170
CHF17_RS09915,232,1765,659,192
CHF17_RS09920,1898,1735,2018,2339
CHF17_RS09925,1801,1868,1940,2570
CHF17_RS09930,1184,995,1182,1899
CHF17_RS09935,333,258,413,324
CHF17_RS09940,1617,1913,1925,2092
CHF17_RS09945,1222,1531,1264,1342
CHF17_RS09950,797,1074,815,1001
CHF17_RS09955,204,241,208,227
CHF17_RS09960,1270,1535,1273,1353
CHF17_RS09965,1338,1790,1494,1272
CHF17_RS09970,5026,6404,5816,4734
CHF17_RS09975,1482,2603,3088,1403
CHF17_RS09980,308,658,809,354
CHF17_RS09985,1453,1435,1667,1345
CHF17_RS09990,46,73,68,35
CHF17_RS09995,2717,2123,2327,2116
CHF17_RS10000,193,258,288,194
