,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_1780,186,229,87,136
SPD_1781,358,439,259,404
SPD_1782,365,319,242,250
SPD_1783,5,16,6,12
SPD_1784,23,35,37,43
SPD_1785,88,113,75,120
SPD_1786,286,134,174,356
SPD_1787,195,143,141,239
SPD_1788,209,177,183,254
SPD_1789,37,29,7,16
SPD_1790,67,67,37,62
SPD_1791,2217,1915,964,1661
SPD_1792,11,9,11,25
SPD_1793,434,170,83,134
SPD_1794,1116,888,1488,2550
SPD_1795,144,127,198,325
SPD_1796,342,299,439,718
SPD_1797,1651,780,535,895
SPD_1798,118,65,92,164
SPD_1799,106,114,107,172
SPD_1800,29,44,20,52
SPD_1801,30,43,32,50
SPD_1802,1,4,0,4
SPD_1803,6,2,5,2
SPD_1804,1,0,0,1
SPD_1805,0,0,0,0
SPD_1806,0,0,0,0
SPD_1807,0,0,0,0
SPD_1808,0,0,0,0
SPD_1809,0,0,0,0
SPD_1810,0,0,0,0
SPD_1811,0,0,0,0
SPD_1812,0,0,0,0
SPD_1813,0,0,0,0
SPD_1814,0,0,0,0
SPD_1815,0,0,0,0
SPD_1816,0,0,0,0
SPD_1817,0,0,0,0
SPD_1818,0,0,0,0
SPD_1819,280,98,52,128
SPD_1820,83,42,15,47
SPD_1821,1325,1221,460,744
SPD_1822,202,307,156,235
SPD_1823,13178,6250,8497,14361
SPD_1824,206,148,136,157
SPD_1825,30,39,18,21
SPD_1826,355,247,97,155
SPD_1827,534,383,112,186
SPD_1828,304,51,28,50
SPD_1829,187,133,74,114
SPD_1830,91,113,169,244
SPD_1831,113,124,311,386
SPD_1832,9,6,24,32
SPD_1833,22,18,48,83
SPD_1834,1884,2192,1208,1331
SPD_1835,0,1,4,8
SPD_1836,91,78,209,298
SPD_1837,109,84,204,328
SPD_1838,123,140,245,326
SPD_1839,3188,2287,3124,5127
SPD_1840,6,8,7,3
SPD_1841,4,8,4,11
SPD_1842,1,1,1,2
SPD_1843,3,0,1,1
SPD_1844,1,1,0,4
SPD_1845,1,1,0,0
SPD_1846,1,1,2,2
SPD_1847,12,8,4,13
SPD_1848,20,7,10,12
SPD_1849,795,518,417,664
SPD_1850,359,270,216,316
SPD_1851,101,157,66,107
SPD_1852,0,0,0,0
SPD_1853,1337,550,494,1030
SPD_1854,229,93,30,74
SPD_1855,375,2,8,3
SPD_1856,214,3,2,6
SPD_1857,594,5,6,13
SPD_1858,316,4,4,10
SPD_1859,74,1,1,3
SPD_1860,363,11,3,9
SPD_1861,162,2,3,3
SPD_1862,1337,15,35,53
SPD_1863,1083,24,31,57
SPD_1864,342,291,229,489
SPD_1865,1399,776,879,1257
SPD_1866,1685,1372,2288,4493
SPD_1867,2715,2569,2468,3723
SPD_1868,1563,1079,184,265
SPD_1869,229,218,119,195
SPD_1870,215,178,148,176
SPD_1871,24,25,11,26
SPD_1872,27,34,14,34
SPD_1873,2,1,1,3
SPD_1874,1258,999,303,533
SPD_1875,42,54,28,39
SPD_1876,110,113,73,137
SPD_1877,807,511,279,483
SPD_1878,464,420,279,383
SPD_1879,0,1,2,0
SPD_1880,0,0,0,0
SPD_1881,0,1,1,0
SPD_1882,0,0,0,0
SPD_1883,0,0,0,0
SPD_1884,0,0,0,0
SPD_1885,0,0,0,0
SPD_1886,5,4,0,6
SPD_1887,2,0,0,1
SPD_1888,0,0,0,0
SPD_1889,0,0,0,0
SPD_1890,0,0,0,0
SPD_1891,0,0,0,0
SPD_1892,0,0,0,0
SPD_1893,1,0,0,0
SPD_1894,0,0,0,0
SPD_1895,137,61,156,331
SPD_1896,871,753,1160,1976
SPD_1897,4634,3439,5796,10235
SPD_1898,19,8,38,52
SPD_1899,1283,889,2278,3274
SPD_1900,1856,2139,5605,8660
SPD_1901,561,727,1022,1587
SPD_1902,1070,1064,1926,3140
SPD_1903,802,937,273,459
SPD_1904,44,22,17,26
SPD_1905,1437,1499,775,1043
SPD_1906,139,184,72,121
SPD_1907,291,262,99,159
SPD_1908,850,933,427,686
SPD_1909,1589,2007,942,1424
SPD_1910,155,158,108,191
SPD_1911,83,86,54,79
SPD_1912,56,72,30,62
SPD_1913,88,112,49,105
SPD_1914,91,69,43,94
SPD_1915,11,8,1,9
SPD_1916,10,9,8,8
SPD_1917,12,8,19,36
SPD_1918,1420,1262,683,964
SPD_1919,2033,1623,1196,2032
SPD_1920,243,171,394,788
SPD_1921,85,133,256,445
SPD_1922,364,362,622,1086
SPD_1923,618,513,884,1508
SPD_1924,448,377,279,423
SPD_1925,1900,1427,1174,1710
SPD_1926,2278,1572,2027,3528
SPD_1927,969,682,606,962
SPD_1928,83,67,54,70
SPD_1929,152,171,144,178
SPD_1930,1,5,4,3
SPD_1931,62,49,24,37
SPD_1932,2541,2728,464,758
SPD_1933,1436,1698,330,503
SPD_1934,2323,1765,1383,1511
SPD_1935,441,400,430,504
SPD_1936,173,189,219,320
SPD_1937,150,200,137,244
SPD_1938,348,348,220,429
SPD_1939,131,110,133,196
SPD_1940,620,438,563,887
SPD_1941,1559,1287,1214,1879
SPD_1942,20,3,25,39
SPD_1943,16,40,23,46
SPD_1944,94,53,101,135
SPD_1945,54,59,133,163
SPD_1946,0,6,7,1
SPD_1947,0,4,1,4
SPD_1948,10,15,28,12
SPD_1949,7,5,3,4
SPD_1950,783,591,471,843
SPD_1951,26,19,13,15
SPD_1952,47,36,39,37
SPD_1953,3,0,4,5
SPD_1954,194,84,41,46
SPD_1955,608,323,351,673
SPD_1956,6932,4039,4932,7248
SPD_1957,30,24,20,39
SPD_1958,23,26,16,35
SPD_1959,45,41,30,53
SPD_1960,2,7,1,2
SPD_1961,112,96,77,94
SPD_1962,259,220,306,470
SPD_1963,153,151,28,57
SPD_1964,60,53,10,16
SPD_1965,662,885,189,212
SPD_1966,1,4,1,5
SPD_1967,1,1,0,0
SPD_1968,0,2,1,0
SPD_1969,36,36,10,18
SPD_1970,4,6,1,3
SPD_1971,86,49,38,58
SPD_1972,32,38,19,23
SPD_1973,100,108,98,133
SPD_1974,20,22,4,23
SPD_1975,1228,1198,940,999
SPD_1976,1671,1192,980,994
SPD_1977,339,254,293,330
SPD_1978,349,301,390,560
SPD_1979,247,259,519,916
SPD_1980,7,8,4,10
SPD_1981,11,8,8,14
SPD_1982,5,2,2,1
SPD_1983,98,80,130,233
SPD_1984,1702,1253,1938,3774
SPD_1985,12,19,13,18
SPD_1986,26,37,24,61
SPD_1987,8,15,11,21
SPD_1988,9,7,7,18
SPD_1989,5,7,19,21
SPD_1990,7,4,13,14
SPD_1991,3,1,6,2
SPD_1992,3,3,6,0
SPD_1993,2,1,6,4
SPD_1994,18,13,28,26
SPD_1995,79,74,87,117
SPD_1996,129,193,228,194
SPD_1997,562,563,277,511
SPD_1998,203,188,70,138
SPD_1999,89,88,33,86
SPD_2000,18,22,10,9
SPD_2001,3,10,0,1
SPD_2002,991,1042,113,186
SPD_2003,72,79,13,26
SPD_2004,1201,1051,141,287
SPD_2005,2491,2366,329,467
SPD_2006,57,14,2,8
SPD_2007,49,36,71,164
SPD_2008,2,3,3,12
SPD_2009,128,91,44,56
SPD_2010,4,0,2,3
SPD_2011,30,34,11,10
SPD_2012,188,135,31,52
SPD_2013,220,135,34,33
SPD_2014,972,1206,662,929
SPD_2015,593,661,154,249
SPD_2016,1626,1878,555,921
SPD_2017,1931,2398,1565,2765
SPD_2018,125,142,72,112
SPD_2019,450,499,268,419
SPD_2020,289,245,156,247
SPD_2021,126,106,67,94
SPD_2022,4170,4107,3450,5707
SPD_2023,124,104,102,136
SPD_2024,377,346,476,579
SPD_2025,377,376,681,737
SPD_2026,140,138,245,270
SPD_2027,55,67,137,125
SPD_2028,1094,17,8,10
SPD_2029,7,3,0,5
SPD_2030,1090,668,264,381
SPD_2031,344,170,75,128
SPD_2032,1918,1181,532,810
SPD_2033,1717,573,507,851
SPD_2034,426,7,0,0
SPD_2035,611,2,3,3
SPD_2036,180,298,104,116
SPD_2037,3563,1723,5746,9094
SPD_2038,113,107,129,202
SPD_2039,78,62,121,151
SPD_2040,133,122,162,232
SPD_2041,2524,1461,330,528
SPD_2042,3616,3108,783,1287
SPD_2043,1097,549,294,703
SPD_2044,113,98,27,63
SPD_2045,303,361,94,183
SPD_2046,203,200,80,96
SPD_2047,213,178,100,145
SPD_2048,302,237,172,220
SPD_2049,141,87,60,113
SPD_2050,352,237,191,255
SPD_2051,674,432,589,891
SPD_2052,623,538,709,1068
SPD_2053,11,4,5,2
SPD_2054,138,118,38,50
SPD_2055,1115,765,1243,2275
SPD_2056,234,97,131,215
SPD_2057,1174,659,550,874
SPD_2058,289,299,191,361
SPD_2059,28,21,1876,2918
SPD_2060,21,13,98,139
SPD_2061,2,1,3,3
SPD_2062,0,0,0,0
SPD_2063,321,30,59,95
SPD_2064,600,44,129,196
SPD_2065,5,1,3,3
SPD_2066,0,0,0,1
SPD_2067,79,31,54,57
SPD_2068,6658,6120,393,841
SPD_2069,3832,2992,405,874
