,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0356,134,156,54,97
SPD_0357,587,774,294,489
SPD_0358,10,11,7,7
SPD_0359,0,0,0,0
SPD_0360,5,3,4,3
SPD_0361,4,1,1,3
SPD_0362,0,0,1,0
SPD_0363,0,1,3,2
SPD_0364,0,0,0,0
SPD_0365,3636,3294,2334,3062
SPD_0366,762,928,336,511
SPD_0367,530,503,167,360
SPD_0368,303,415,111,156
SPD_0369,56,52,29,69
SPD_0370,511,508,252,416
SPD_0371,1393,1391,533,849
SPD_0372,899,454,169,241
SPD_0373,1456,1138,2682,5420
SPD_0374,848,891,1128,1736
SPD_0375,1385,1453,743,1071
SPD_0376,192,167,214,392
SPD_0377,808,846,737,1187
SPD_0378,692,587,4,10
SPD_0379,1737,1632,175,324
SPD_0380,5086,3670,483,863
SPD_0381,194,237,12,29
SPD_0382,922,880,36,65
SPD_0383,1424,1204,112,192
SPD_0384,993,807,12,41
SPD_0385,4142,3838,110,224
SPD_0386,1104,1025,35,70
SPD_0387,597,640,16,24
SPD_0388,4431,3846,119,213
SPD_0389,2035,1187,51,77
SPD_0390,1748,746,32,53
SPD_0391,59,38,8,7
SPD_0392,132,47,7,12
SPD_0393,853,547,664,1224
SPD_0394,587,508,566,842
SPD_0395,424,383,434,730
SPD_0396,1768,1573,1117,1837
SPD_0397,1498,1507,623,917
SPD_0398,38,43,10,27
SPD_0399,2381,2000,2245,4157
SPD_0400,1042,726,762,1307
SPD_0401,92,76,54,89
SPD_0402,488,419,248,249
SPD_0403,6392,4785,3895,6383
SPD_0404,2500,1793,343,542
SPD_0405,709,552,66,123
SPD_0406,4156,2395,342,489
SPD_0407,1052,567,83,137
SPD_0408,808,356,75,105
SPD_0409,482,388,32,64
SPD_0410,512,768,379,272
SPD_0411,403,262,349,488
SPD_0412,653,687,486,686
SPD_0413,265,299,181,351
SPD_0414,1274,1414,1051,1507
SPD_0415,649,596,298,524
SPD_0416,354,289,177,286
SPD_0417,1294,648,543,954
SPD_0418,14,6,5,12
SPD_0419,130,104,75,149
SPD_0420,23901,16411,12942,17998
SPD_0421,77,59,96,95
SPD_0422,101,132,144,188
SPD_0423,250,470,419,444
SPD_0424,12,16,12,11
SPD_0425,26,26,11,28
SPD_0426,4,3,1,4
SPD_0427,11,25,14,17
SPD_0428,38,67,45,63
SPD_0429,682,873,429,675
SPD_0430,775,847,393,691
SPD_0431,195,119,26,42
SPD_0432,100,82,13,34
SPD_0433,9,13,0,4
SPD_0434,900,899,715,989
SPD_0435,338,326,183,293
SPD_0436,19,10,4,9
SPD_0437,2235,1457,1671,2590
SPD_0438,327,270,174,324
SPD_0439,198,153,71,149
SPD_0440,557,457,205,357
SPD_0441,510,303,318,525
SPD_0442,2301,1837,379,629
SPD_0443,339,444,167,191
SPD_0444,127,156,147,219
SPD_0445,785,805,445,690
SPD_0446,78,47,31,47
SPD_0447,477,218,985,1560
SPD_0448,4175,2785,4494,7870
SPD_0449,42,18,20,33
SPD_0450,196,249,560,891
SPD_0451,242,356,566,1059
SPD_0452,213,157,47,73
SPD_0453,471,698,438,638
SPD_0454,405,424,386,554
SPD_0455,1251,1136,892,1147
SPD_0456,4,1,3,1
SPD_0457,4,4,2,2
SPD_0458,3085,3988,3322,5531
SPD_0459,4276,6751,4916,6786
SPD_0460,13977,15116,9545,15996
SPD_0461,3576,2532,1344,2528
SPD_0462,66,67,47,69
SPD_0463,124,191,90,123
SPD_0464,429,454,168,255
SPD_0465,1226,1224,745,1287
SPD_0466,103,135,106,140
SPD_0467,150,168,103,170
SPD_0468,717,571,400,711
SPD_0469,726,529,331,598
SPD_0470,68,55,25,59
SPD_0471,914,997,642,850
SPD_0472,926,1225,857,1143
SPD_0473,623,762,655,1048
SPD_0474,76,90,98,175
SPD_0475,390,401,530,687
SPD_0476,223,160,279,499
SPD_0477,203,98,191,368
SPD_0478,321,287,119,196
SPD_0479,804,756,309,499
SPD_0480,68,75,25,48
SPD_0481,50,60,17,32
SPD_0482,4476,3180,1310,2249
SPD_0483,267,162,70,120
SPD_0484,3,0,1,2
SPD_0485,0,0,0,0
SPD_0486,0,0,0,0
SPD_0487,7,12,4,7
SPD_0488,533,428,216,355
SPD_0489,10,10,1,2
SPD_0490,43,26,3,5
SPD_0491,107,102,1,1
SPD_0492,59,45,0,4
SPD_0493,210,198,2,7
SPD_0494,2649,2537,309,544
SPD_0495,94,59,45,50
SPD_0496,163,138,101,128
SPD_0497,5,14,6,6
SPD_0498,4,3,1,1
SPD_0499,0,0,0,0
SPD_0500,91,81,73,153
SPD_0501,38,14,11,10
SPD_0502,133,59,33,42
SPD_0503,167,113,37,88
SPD_0504,137,101,35,59
SPD_0505,65,62,13,27
SPD_0506,918,790,230,375
SPD_0507,544,422,170,397
SPD_0508,0,2,1,2
SPD_0509,3,3,1,0
SPD_0510,2514,3540,17,36
SPD_0511,1217,1348,13,18
SPD_0512,3079,2852,838,1241
SPD_0513,724,567,153,310
SPD_0514,687,681,138,292
SPD_0515,1392,1255,296,489
SPD_0516,199,183,35,69
SPD_0517,1191,625,217,377
SPD_0518,17,29,5,5
SPD_0519,1,1,0,1
SPD_0520,7,2,0,3
SPD_0521,177,226,69,90
SPD_0522,95,148,50,83
SPD_0523,462,653,207,327
SPD_0524,100,124,51,59
SPD_0525,330,368,149,253
SPD_0526,1678,935,895,1737
SPD_0527,37,39,46,83
SPD_0528,43,56,105,111
SPD_0529,41,44,65,87
SPD_0530,66,65,58,111
SPD_0531,53,108,34,97
SPD_0532,816,519,306,494
SPD_0533,2186,1297,974,1710
SPD_0534,203,215,78,181
SPD_0535,792,727,392,570
SPD_0536,525,579,244,409
SPD_0537,511,260,35,69
SPD_0538,629,654,451,613
SPD_0539,299,275,141,185
SPD_0540,789,743,759,1244
SPD_0541,784,740,242,291
SPD_0542,4259,3373,1460,2406
SPD_0543,183,149,56,84
SPD_0544,17,18,4,5
SPD_0545,6,9,1,1
SPD_0546,1094,782,204,348
SPD_0547,552,547,299,529
SPD_0548,122,97,60,121
SPD_0549,457,436,284,547
SPD_0550,858,757,207,318
SPD_0551,1606,1155,247,464
SPD_0552,25,12,7,7
SPD_0553,6,2,1,2
SPD_0554,2000,1918,1361,2249
SPD_0555,1367,1389,1156,2296
SPD_0556,1723,1501,1383,2733
SPD_0557,1019,457,633,1178
SPD_0558,7750,9330,3667,4547
SPD_0559,191,228,34,25
SPD_0560,40,56,5,8
SPD_0561,345,305,78,98
SPD_0562,1211,1230,695,1092
SPD_0563,11,22,9,17
SPD_0564,15,15,6,14
SPD_0565,39,41,14,9
SPD_0566,54,45,14,23
SPD_0567,70,92,37,33
SPD_0568,7,9,2,3
SPD_0569,676,709,166,246
SPD_0570,202,248,54,107
SPD_0571,16,15,18,34
SPD_0572,26,29,26,40
SPD_0573,81,76,72,99
SPD_0574,234,306,211,381
SPD_0575,580,543,402,788
SPD_0576,990,988,652,1037
SPD_0577,26156,24518,18803,33150
SPD_0578,819,856,467,849
SPD_0579,353,321,223,371
SPD_0580,566,465,339,607
SPD_0581,441,373,390,617
SPD_0582,69,114,76,189
SPD_0583,324,210,182,269
SPD_0584,836,759,377,533
SPD_0585,335,345,107,137
SPD_0586,625,692,190,260
SPD_0587,552,395,119,163
SPD_0588,201,314,2,2
SPD_0589,28,22,11,11
SPD_0590,171,148,84,183
SPD_0591,30,16,22,55
SPD_0592,5,8,4,0
SPD_0593,2524,2280,1901,3553
SPD_0594,89,109,81,185
SPD_0595,21,22,5,7
SPD_0596,102,99,55,64
SPD_0597,19,15,20,20
SPD_0598,612,633,401,676
SPD_0599,462,338,193,283
SPD_0600,838,685,330,552
SPD_0601,17,21,10,9
SPD_0602,37,30,11,20
SPD_0603,133,103,53,62
SPD_0604,92,103,32,19
SPD_0605,103,112,26,36
SPD_0606,56,58,24,29
SPD_0607,46,30,13,17
SPD_0608,124,73,27,52
SPD_0609,79,43,23,38
