,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS01965,2031,2256,2188,1680
CHF17_RS01970,214,241,249,343
CHF17_RS01975,357,387,422,527
CHF17_RS01980,232,288,278,298
CHF17_RS01985,1162,1038,1126,998
CHF17_RS01990,1275,1269,1236,1294
CHF17_RS01995,132699,120908,121480,95664
CHF17_RS02000,4887,4592,4406,4504
CHF17_RS02005,25988,22374,23510,19103
CHF17_RS02010,43284,41506,41026,40855
CHF17_RS02015,2809,2686,2454,2899
CHF17_RS02020,5435,4743,5339,4170
CHF17_RS02025,12024,10287,11949,8487
CHF17_RS02030,7163,6875,8040,6349
CHF17_RS02035,2776,2484,2881,2148
CHF17_RS02040,15373,16654,18692,15644
CHF17_RS02045,4668,5972,6628,7204
CHF17_RS02050,26156,23227,23826,18511
CHF17_RS02055,55256,47007,46440,38223
CHF17_RS02060,89505,74146,74930,60692
CHF17_RS02065,105421,89604,87086,73745
CHF17_RS02070,3341,3293,2860,2733
CHF17_RS02075,11276,10259,10908,7598
CHF17_RS02080,19899,17468,18442,12674
CHF17_RS02085,15620,14606,15202,11700
CHF17_RS02090,27867,30328,38686,29084
CHF17_RS02095,35283,28582,31822,30079
CHF17_RS02100,8828,8036,8398,7781
CHF17_RS02105,565,656,579,491
CHF17_RS02110,42,47,51,56
CHF17_RS02115,9035,9195,10630,8452
CHF17_RS02120,35072,31608,57387,31645
CHF17_RS02125,15308,15927,24665,14819
CHF17_RS02130,27914,31265,34787,26627
CHF17_RS02135,11932,12671,12167,10483
CHF17_RS02140,24761,23726,26995,18022
CHF17_RS02145,661,916,791,871
CHF17_RS02150,2444,1803,1615,1421
CHF17_RS02155,1918,1365,1289,1200
CHF17_RS02160,3774,3887,4048,4038
CHF17_RS02165,3155,3546,3745,3468
CHF17_RS02170,3087,3418,3787,3708
CHF17_RS02175,28308,23463,23676,18236
CHF17_RS02180,16717,14312,14177,12479
CHF17_RS02185,10817,8472,8026,7726
CHF17_RS02190,3806,2808,2881,3401
CHF17_RS02195,3705,2815,3065,4721
CHF17_RS02200,9057,7919,9223,7082
CHF17_RS02205,38849,38624,41922,32397
CHF17_RS02210,1173,991,1076,978
CHF17_RS02215,5109,4398,4369,3310
CHF17_RS02220,2917,2347,2488,1516
CHF17_RS02225,23203,22200,22645,16789
CHF17_RS02230,9913,10399,10305,8351
CHF17_RS02235,2324,2523,2215,2249
CHF17_RS02240,2076,1636,1689,1457
CHF17_RS02245,3166,2674,2825,2519
CHF17_RS02250,17,16,12,16
CHF17_RS02255,14,21,16,15
CHF17_RS02260,255,284,259,246
CHF17_RS02265,578,617,679,667
CHF17_RS02270,316,366,427,372
CHF17_RS02275,510,589,739,688
CHF17_RS02280,182940,170758,161652,125262
CHF17_RS02285,4990,4558,4021,2973
CHF17_RS02290,87,102,134,96
CHF17_RS02295,10,13,15,12
CHF17_RS02300,8,12,11,6
CHF17_RS02305,3214,3842,4117,3635
CHF17_RS02310,3472,2939,5557,1831
CHF17_RS02315,4,5,13,7
CHF17_RS02320,760,651,1647,1052
CHF17_RS02325,3,4,15,9
CHF17_RS02330,3,2,5,2
CHF17_RS02335,5548,4268,4189,3680
CHF17_RS02340,2648,2148,2254,2176
CHF17_RS02345,93666,102549,104129,94011
CHF17_RS02350,47072,48587,50776,48169
CHF17_RS02355,160623,186437,183750,185543
CHF17_RS02360,25051,27522,28768,31098
CHF17_RS02365,39751,44441,45273,80686
CHF17_RS02370,34035,44368,41375,87402
CHF17_RS02375,22563,32550,27442,58480
CHF17_RS02380,49411,67473,60786,109415
CHF17_RS02385,27612,37644,34748,59876
CHF17_RS02390,12174,16941,15314,32652
