,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS06720,1117,1215,1369,1200
CHF17_RS06725,9352,9105,10936,11603
CHF17_RS06730,747,684,788,648
CHF17_RS06735,497,544,601,483
CHF17_RS06740,173,155,154,167
CHF17_RS06745,48,63,58,66
CHF17_RS06750,14,15,20,22
CHF17_RS06755,324,335,358,390
CHF17_RS06760,504,542,541,490
CHF17_RS06765,615,470,523,543
CHF17_RS06770,9783,10531,11427,9496
CHF17_RS06775,1102,868,1188,421
CHF17_RS06780,137,125,129,85
CHF17_RS06785,451,405,415,338
CHF17_RS06790,138,154,165,145
CHF17_RS06795,1565,1220,1312,1214
CHF17_RS06800,5992,5931,6619,6540
CHF17_RS06805,3337,2883,3380,2958
CHF17_RS06810,6957,6442,7686,5776
CHF17_RS06815,54605,68830,61304,53606
CHF17_RS06820,77989,99137,89989,75158
CHF17_RS06825,1466,2122,2302,1858
CHF17_RS06830,3003,2440,2331,2329
CHF17_RS06835,3967,3248,2953,3244
CHF17_RS06840,190,171,170,188
CHF17_RS06845,258,231,242,272
CHF17_RS06850,33,29,35,32
CHF17_RS06855,434,503,559,507
CHF17_RS06860,9353,10518,11568,10092
CHF17_RS06865,19622,21862,24205,20408
CHF17_RS06870,1224,1175,1432,1301
CHF17_RS06875,6409,7145,7999,7344
CHF17_RS06880,4999,5252,5845,5636
CHF17_RS06885,5147,5517,6149,5427
CHF17_RS06890,7528,8609,9704,7528
CHF17_RS06895,5803,11213,14363,12458
CHF17_RS06900,16266,38790,47590,43951
CHF17_RS06905,26275,56493,68483,67255
CHF17_RS06910,5758,7097,7114,7359
CHF17_RS06915,792,718,751,783
CHF17_RS06920,6430,6824,7540,6240
CHF17_RS06925,4358,4247,5080,4079
CHF17_RS06930,4295,4016,4549,3544
CHF17_RS06935,3010,3014,3342,2689
CHF17_RS06940,6977,6378,6339,5527
CHF17_RS06945,5594,4796,5081,3472
CHF17_RS06950,3898,2836,3178,2023
CHF17_RS06955,2961,2730,2705,2488
CHF17_RS06960,3437,3093,2962,2533
CHF17_RS06965,888,690,624,541
CHF17_RS06970,64486,34945,25094,10637
CHF17_RS06975,4674,4128,4368,3616
CHF17_RS06980,9718,11316,14293,10372
CHF17_RS06985,16159,18889,20056,20193
CHF17_RS06990,10184,10970,11096,10782
CHF17_RS06995,5681,6339,6815,6043
CHF17_RS07000,1621,1596,1938,1224
CHF17_RS07005,6007,6301,6839,6192
CHF17_RS07010,3722,3381,3850,3388
CHF17_RS07015,20817,17622,19062,13935
CHF17_RS07020,9453,7526,8166,5827
CHF17_RS07025,1971,1676,1794,1180
CHF17_RS07030,612,638,778,759
CHF17_RS07035,12615,11801,12766,15274
CHF17_RS07040,6390,5925,6329,5486
CHF17_RS07045,3907,3780,3752,3088
CHF17_RS07050,18512,13150,11175,9065
CHF17_RS07055,42934,26755,21850,14605
CHF17_RS07060,8023,9059,9989,7177
CHF17_RS07065,7944,9572,10223,8107
CHF17_RS07070,1398,1504,1740,1593
CHF17_RS07075,1750,1905,2194,1818
CHF17_RS07080,709,713,900,682
CHF17_RS07085,23,21,31,23
CHF17_RS07090,35,38,49,46
CHF17_RS07095,3409,4018,4698,4422
CHF17_RS07100,19291,17473,20594,23276
CHF17_RS07105,33306,32088,34751,38043
CHF17_RS07110,11175,10546,11560,12409
CHF17_RS07115,2726,1878,2336,3406
CHF17_RS07120,9336,6923,7875,8738
CHF17_RS07125,15676,13392,13367,13369
CHF17_RS07130,10152,7827,8499,7835
CHF17_RS07135,5687,4363,4344,3844
CHF17_RS07140,5957,5791,6295,5254
CHF17_RS07145,1555,1421,1578,1459
CHF17_RS07150,3733,3488,3512,3580
CHF17_RS07155,19608,17475,20886,11063
CHF17_RS07160,24629,25221,24475,21758
CHF17_RS07165,36514,39854,37638,29891
CHF17_RS07170,8704,8245,9252,7318
CHF17_RS07175,7319,6972,8745,8906
CHF17_RS07180,6812,6779,7926,7840
CHF17_RS07185,2938,3262,3842,3085
CHF17_RS07190,9518,8193,9101,8719
CHF17_RS07195,4318,3350,3493,4005
CHF17_RS07200,2799,2394,2503,2602
CHF17_RS07205,3906,3139,3279,3569
CHF17_RS07210,3144,2334,2618,2679
CHF17_RS07215,4679,3440,4066,4376
CHF17_RS07220,1311,1037,1060,1263
CHF17_RS07225,4937,3702,4017,4392
CHF17_RS07230,4582,3113,3605,3945
CHF17_RS07235,3159,2376,2659,2905
CHF17_RS07240,89579,59470,59169,57692
CHF17_RS07245,6864,7356,7784,6255
CHF17_RS07250,5123,5102,5295,4209
CHF17_RS07255,1635,1469,1676,1603
CHF17_RS07260,12003,10447,11571,9877
CHF17_RS07265,23032,19340,21302,17100
CHF17_RS07270,22527,25375,28868,25343
CHF17_RS07275,12454,14114,14527,14490
CHF17_RS07280,10901,12216,13677,9856
CHF17_RS07285,32099,33793,38393,26634
CHF17_RS07290,17877,16976,17037,14205
CHF17_RS07295,12646,10847,11470,8578
CHF17_RS07300,2420,1751,2196,1408
CHF17_RS07305,6767,5722,6039,5593
CHF17_RS07310,26202,22603,22726,18206
CHF17_RS07315,11923,13238,13852,13111
CHF17_RS07320,15470,12052,13584,10883
CHF17_RS07325,31547,24757,27436,20548
CHF17_RS07330,42757,34904,39315,30460
CHF17_RS07335,18749,17067,18092,14930
CHF17_RS07340,10876,10084,10492,10143
CHF17_RS07345,4589,3101,2887,3204
CHF17_RS07350,42313,39413,36736,37151
CHF17_RS07355,3648,3253,3130,2490
CHF17_RS07360,19574,18411,19659,17882
CHF17_RS07365,1514,1169,1265,1458
CHF17_RS07370,5221,3480,3657,3494
CHF17_RS07375,8838,6411,6326,5596
CHF17_RS07380,5101,9236,9050,18429
CHF17_RS07385,3618,6797,6283,13628
CHF17_RS07390,1813,2781,2448,2794
CHF17_RS07395,3293,4500,4173,3875
CHF17_RS07400,2986,4149,3789,3686
CHF17_RS07405,8032,11089,9781,10522
CHF17_RS07410,13403,16335,14339,15742
CHF17_RS07415,1138,1441,1350,1068
CHF17_RS07420,491,609,561,466
CHF17_RS07425,11996,14486,15000,11655
CHF17_RS07430,6763,8025,8211,6351
CHF17_RS07435,13266,16309,16333,13453
CHF17_RS07440,8348,10212,9887,9357
CHF17_RS07445,7651,9385,9530,8720
CHF17_RS07450,9617,11685,12252,10234
CHF17_RS07455,10292,12229,12782,11368
CHF17_RS07460,6816,8133,8841,7514
CHF17_RS07465,6047,6895,7769,7015
CHF17_RS07470,9402,9949,11276,9848
CHF17_RS07475,1566,1684,1981,1853
CHF17_RS07480,3834,3685,4505,3650
CHF17_RS07485,5367,5540,6406,5769
CHF17_RS07490,7263,7529,8834,8055
CHF17_RS07495,17529,16087,17288,13340
CHF17_RS07500,4269,4221,4210,3524
CHF17_RS07505,16181,14355,15294,10580
CHF17_RS07510,16480,14262,14467,10339
CHF17_RS07515,5202,4392,4437,4105
CHF17_RS07520,5626,5127,5017,4723
CHF17_RS07525,6798,7248,7433,6281
CHF17_RS07530,3452,3534,2913,2576
CHF17_RS07535,733,675,679,591
CHF17_RS07540,244,253,248,218
CHF17_RS07545,437,336,362,345
CHF17_RS07550,16580,14503,11161,10621
CHF17_RS07555,1081,886,916,728
CHF17_RS07560,917,967,941,709
CHF17_RS07565,3133,2477,2526,2227
CHF17_RS07570,1583,1183,1261,1195
CHF17_RS07575,4913,5156,5423,6117
CHF17_RS07580,11007,8256,8454,6354
CHF17_RS07585,4146,3547,3551,3303
CHF17_RS07590,2773,2451,2526,2234
CHF17_RS07595,15938,13922,13737,13620
CHF17_RS07600,1674,1617,1572,1506
CHF17_RS07605,1255,1153,1285,1182
CHF17_RS07610,416,458,530,537
CHF17_RS07615,1195,1346,1472,1421
CHF17_RS07620,10244,11047,12105,9149
CHF17_RS07625,10058,9619,9766,10504
CHF17_RS07630,181263,179176,176655,145656
CHF17_RS07635,72185,73433,71074,56538
CHF17_RS07640,1491,1262,1034,1006
CHF17_RS07645,1439,1271,1347,1373
CHF17_RS07650,30551,23199,25759,21333
CHF17_RS07655,1661,1252,1338,1166
CHF17_RS07660,8660,6118,5835,4368
CHF17_RS07665,4420,4257,5495,4039
CHF17_RS07670,2718,2084,1995,1523
CHF17_RS07675,853,626,682,739
CHF17_RS07680,2176,1431,1467,930
CHF17_RS07685,8137,7922,7368,7681
CHF17_RS07690,1701,1475,1841,2248
CHF17_RS07695,4406,3875,3560,3964
CHF17_RS07700,2669,2766,2759,2771
CHF17_RS07705,9076,10858,12794,12131
CHF17_RS07710,2528,1869,2185,2037
CHF17_RS07715,16770,11965,12357,11238
CHF17_RS07720,5614,4911,5255,5212
CHF17_RS07725,2364,1912,1970,1580
CHF17_RS07730,4526,4942,4798,4736
CHF17_RS07735,1844,1665,1775,1558
CHF17_RS07740,1611,1299,1389,1018
CHF17_RS07745,713,766,879,659
CHF17_RS07750,1273,1226,1353,1003
CHF17_RS07755,936,869,930,892
CHF17_RS07760,2256,1662,1516,912
CHF17_RS07765,239,183,171,99
CHF17_RS07770,125,119,109,78
CHF17_RS07775,65,73,90,69
CHF17_RS07780,33,30,31,19
CHF17_RS07785,53,74,116,160
CHF17_RS07790,92,166,210,310
CHF17_RS07795,40,52,77,100
CHF17_RS07800,1382,1636,1758,2185
CHF17_RS07805,12248,12428,14864,11254
CHF17_RS07810,2628,2831,3202,2922
CHF17_RS07815,6563,6635,7353,6836
CHF17_RS07820,2164,1846,1761,1400
CHF17_RS07825,161,127,118,70
CHF17_RS07830,1746,1519,1645,1310
CHF17_RS07835,4804,4146,4458,3657
CHF17_RS07840,14031,17072,17762,18891
CHF17_RS07845,4912,9306,9341,7949
CHF17_RS07850,2238,2033,2236,1606
CHF17_RS07855,7173,6503,6968,4987
CHF17_RS07860,12989,11064,11894,9941
CHF17_RS07865,25819,21675,22658,17688
CHF17_RS07870,39140,34019,34374,27161
CHF17_RS07875,293,254,207,172
CHF17_RS07880,140,104,133,109
CHF17_RS07885,80,74,60,67
CHF17_RS07890,161,118,119,115
CHF17_RS07895,322,234,225,204
CHF17_RS07900,47366,61126,63857,59132
CHF17_RS07905,44303,53651,58288,49507
CHF17_RS07910,1018,759,819,903
CHF17_RS07915,5479,4181,4122,4135
CHF17_RS07920,5108,3497,3569,3020
CHF17_RS07925,2520,1780,1794,1533
CHF17_RS07930,261,279,249,336
CHF17_RS07935,1203,1156,1170,964
CHF17_RS07940,6784,5718,6184,4456
CHF17_RS07945,15602,13424,14895,10434
CHF17_RS07950,6665,6471,6698,6235
CHF17_RS07955,9260,7690,7683,7500
CHF17_RS07960,10863,8423,8377,6473
CHF17_RS07965,50846,33616,34773,26652
CHF17_RS07970,3014,2978,3035,3063
CHF17_RS07975,3792,3507,3899,3332
CHF17_RS07980,898,794,914,1049
CHF17_RS07985,2675,2021,2561,3106
CHF17_RS07990,6292,4807,5590,7671
CHF17_RS07995,186,139,200,149
CHF17_RS08000,168,145,178,161
CHF17_RS08005,5715,5976,6611,5446
CHF17_RS08010,2190,2278,2459,2169
CHF17_RS08015,1001,942,1140,743
CHF17_RS08020,2018,2043,2371,1925
CHF17_RS08025,743,708,828,552
CHF17_RS08030,541,485,669,414
CHF17_RS08035,767,640,904,492
CHF17_RS08040,31,41,58,66
CHF17_RS08045,334,444,491,534
CHF17_RS08050,771,917,1276,980
CHF17_RS08055,330,346,502,394
CHF17_RS08060,170,196,247,224
CHF17_RS08065,203,219,249,256
CHF17_RS08070,5142,6759,8646,8750
CHF17_RS08075,62236,58861,62159,44014
CHF17_RS08080,4070,3735,4172,3387
CHF17_RS08085,531,478,520,494
CHF17_RS08090,59,53,65,50
CHF17_RS08095,6966,6413,6742,6101
CHF17_RS08100,8737,8350,8672,6885
CHF17_RS08105,14874,14501,15276,11477
CHF17_RS08110,2162,2342,2291,2189
CHF17_RS08115,1537,1803,1965,1761
CHF17_RS08120,43402,28981,28123,26696
CHF17_RS08125,27301,15942,15962,13969
CHF17_RS08130,44613,28496,26566,23986
CHF17_RS08135,1457,1418,1421,1293
CHF17_RS08140,235,250,263,253
CHF17_RS08145,324,339,393,328
CHF17_RS08150,11969,10149,11101,9163
CHF17_RS08155,3599,3165,3416,3230
CHF17_RS08160,10806,9220,9782,9110
CHF17_RS08165,10925,9908,10081,8782
CHF17_RS08170,986,733,795,861
CHF17_RS08175,100,90,98,115
CHF17_RS08180,14,32,39,58
CHF17_RS08185,26,18,34,69
CHF17_RS08190,37,45,42,85
CHF17_RS08195,35,46,53,86
CHF17_RS08200,815,918,1376,1082
CHF17_RS08205,947,890,888,1054
CHF17_RS08210,16461,16081,17238,15861
CHF17_RS08215,22238,19209,18541,17610
CHF17_RS08220,2722,2879,3243,2552
CHF17_RS08225,2584,2113,2094,1694
CHF17_RS08230,7256,7925,9376,9616
CHF17_RS08235,27254,23317,25115,19932
CHF17_RS08240,24328,22563,22908,20902
CHF17_RS08245,1624,1699,1676,2074
CHF17_RS08250,3877,3677,4203,4733
CHF17_RS08255,2352,1947,2272,2915
CHF17_RS08260,3537,3261,3544,4314
CHF17_RS08265,3700,3301,3659,4057
CHF17_RS08270,3647,3372,3711,3696
CHF17_RS08275,3401,3540,3698,3991
CHF17_RS08280,6802,6570,7165,6826
CHF17_RS08285,6182,5973,6388,5663
CHF17_RS08290,7946,5773,6517,4372
CHF17_RS08295,557,330,241,293
CHF17_RS08300,2548,1877,1616,1596
CHF17_RS08305,11534,12350,14086,10830
CHF17_RS08310,9948,10193,11486,8124
CHF17_RS08315,13693,13224,14583,10931
CHF17_RS08320,865,871,896,638
CHF17_RS08325,18979,18853,21414,17526
CHF17_RS08330,7347,5778,5450,4458
CHF17_RS08335,8208,5968,6064,4957
CHF17_RS08340,3354,2069,2057,1300
CHF17_RS08345,4914,5053,5935,5026
CHF17_RS08350,46893,42729,47907,34871
CHF17_RS08355,3013,3350,3534,3356
CHF17_RS08360,18362,18468,20279,16695
CHF17_RS08365,12807,11454,13352,9261
CHF17_RS08370,1210,1166,1141,881
CHF17_RS08375,17805,20030,22309,19534
CHF17_RS08380,15865,15548,16802,13477
CHF17_RS08385,6708,5377,6680,4002
CHF17_RS08390,6767,5536,6176,4418
CHF17_RS08395,2478,2108,2296,1462
CHF17_RS08400,13826,15090,17279,14782
CHF17_RS08405,38417,45813,52325,41657
CHF17_RS08410,4426,4147,5654,2935
CHF17_RS08415,42577,40493,38634,35558
CHF17_RS08420,33327,29833,29139,26694
CHF17_RS08425,3531,3187,3238,3198
CHF17_RS08430,11657,10726,11371,9902
CHF17_RS08435,6935,6096,6779,5396
CHF17_RS08440,4053,4228,4860,4391
CHF17_RS08445,8386,8374,9681,8830
CHF17_RS08450,5288,4755,5156,4801
CHF17_RS08455,28228,25341,25908,24461
CHF17_RS08460,5708,5244,6823,5921
CHF17_RS08465,940,684,604,548
CHF17_RS08470,4143,4450,4253,4082
CHF17_RS08475,5045,4735,5058,3944
CHF17_RS08480,4395,4104,4284,3333
CHF17_RS08485,7101,5243,5101,4706
CHF17_RS08490,29292,19747,16811,13707
CHF17_RS08495,21688,14019,12051,8119
CHF17_RS08500,1120,644,563,239
CHF17_RS08505,19049,15377,17854,11488
CHF17_RS08510,696,551,611,382
CHF17_RS08515,571,545,585,606
CHF17_RS08520,5028,4480,5040,3599
CHF17_RS08525,39,25,31,20
CHF17_RS08530,43,32,33,37
CHF17_RS08535,8,7,6,8
CHF17_RS08540,1677,1520,1581,1207
CHF17_RS08545,280,221,244,237
CHF17_RS08550,14,16,11,16
CHF17_RS08555,113,130,152,217
CHF17_RS08560,67,103,135,165
CHF17_RS08565,65,111,121,129
CHF17_RS08570,151,310,298,320
CHF17_RS08575,6804,6939,6973,5326
CHF17_RS08580,910,837,904,702
CHF17_RS08585,2278,2200,2279,1904
CHF17_RS08590,478,482,468,425
CHF17_RS08595,1555,1518,1608,1495
CHF17_RS08600,3504,3640,4276,3076
CHF17_RS08605,4188,4186,4935,4405
CHF17_RS08610,4937,5368,5928,5747
CHF17_RS08615,7091,7477,8339,7279
CHF17_RS08620,2406,2198,2530,2183
CHF17_RS08625,5927,4795,5912,6092
CHF17_RS08630,3452,3110,3502,3683
CHF17_RS08635,1043,963,1108,943
CHF17_RS08640,25545,24795,26506,24217
CHF17_RS08645,20923,20024,21735,21184
CHF17_RS08650,4888,4077,4963,3750
CHF17_RS08655,844,752,735,839
CHF17_RS08660,735,634,611,573
CHF17_RS08665,1131,1127,1025,932
CHF17_RS08670,877,972,830,803
CHF17_RS08675,6585,5222,5390,4732
CHF17_RS08680,32884,35375,39160,36387
CHF17_RS08685,18805,26887,31245,28573
CHF17_RS08690,2908,2689,2734,2215
CHF17_RS08695,6380,6247,6510,5162
CHF17_RS08700,2773,1699,2049,1993
CHF17_RS08705,1572,1315,1280,992
CHF17_RS08710,1632,2057,1991,1714
CHF17_RS08715,9859,9407,10401,8836
CHF17_RS08720,114516,104746,120888,96984
CHF17_RS08725,4441,4132,4351,4967
CHF17_RS08730,889,857,957,1006
CHF17_RS08735,3061,3032,3258,3505
CHF17_RS08740,113188,106009,111795,83692
CHF17_RS08745,8122,9172,9440,8808
CHF17_RS08750,157,151,148,105
CHF17_RS08755,319,339,334,277
CHF17_RS08760,2367,1964,1936,1661
CHF17_RS08765,1909,1409,1578,1333
CHF17_RS08770,14074,13376,13844,14234
CHF17_RS08775,20554,19580,19392,19356
CHF17_RS08780,32187,28932,29100,27695
CHF17_RS08785,2374,2117,2079,1541
CHF17_RS08790,462,445,519,390
CHF17_RS08795,654,661,771,573
CHF17_RS08800,154,144,157,130
CHF17_RS08805,174,161,201,198
CHF17_RS08810,322,278,326,293
CHF17_RS08815,236,202,208,261
CHF17_RS08820,72,74,75,87
CHF17_RS08825,359,366,381,336
CHF17_RS08830,1727,1423,1703,1093
CHF17_RS08835,5916,4975,5305,4277
CHF17_RS08840,974,938,857,783
CHF17_RS08845,1388,1446,1196,1161
CHF17_RS08850,18,15,10,12
CHF17_RS08855,7512,6596,6650,7900
CHF17_RS08860,3187,3841,4663,4410
CHF17_RS08865,5344,5692,7132,6162
CHF17_RS08870,20447,22523,22980,19485
CHF17_RS08875,86042,100647,96003,85144
CHF17_RS08880,44546,49871,46471,39740
CHF17_RS08885,4230,3299,3664,2236
CHF17_RS08890,939,666,677,636
CHF17_RS08895,3044,2624,3614,2284
CHF17_RS08900,2356,2411,2439,2279
CHF17_RS08905,11326,10212,11011,9596
CHF17_RS08910,2273,2516,2559,3122
CHF17_RS08915,2152,2333,2421,2402
CHF17_RS08920,6751,6519,6758,6032
CHF17_RS08925,4974,4214,4934,3594
CHF17_RS08930,3508,3617,4557,3473
CHF17_RS08935,18968,14502,15777,11820
CHF17_RS08940,6101,5607,5309,5117
CHF17_RS08945,94813,83103,94069,69448
CHF17_RS08950,2189,2109,2130,2003
CHF17_RS08955,12329,11242,10717,8567
CHF17_RS08960,14299,12524,11980,8182
CHF17_RS08965,5997,5026,5079,4563
CHF17_RS08970,47324,43008,45286,36778
CHF17_RS08975,275,335,284,259
CHF17_RS08980,521,470,498,431
CHF17_RS08985,3649,3012,3259,2780
CHF17_RS08990,15845,13238,13851,12821
CHF17_RS08995,2552,2191,2262,2048
CHF17_RS09000,11940,10682,11212,9199
CHF17_RS09005,5674,4972,3964,3340
CHF17_RS09010,5384,4708,3698,3600
CHF17_RS09015,11353,10989,8673,9843
CHF17_RS09020,12692,11267,9761,10053
CHF17_RS09025,11347,10851,9853,8834
CHF17_RS09030,7158,7348,6607,6462
CHF17_RS09035,236,193,249,141
CHF17_RS09040,65,51,65,64
CHF17_RS09045,17,19,20,20
CHF17_RS09050,3670,3145,4102,1931
CHF17_RS09055,9067,7261,7449,5588
CHF17_RS09060,1744,1443,1497,1275
CHF17_RS09065,1133,940,888,790
CHF17_RS09070,10913,8857,8810,6611
CHF17_RS09075,4790,3989,4484,3636
CHF17_RS09080,2258,1863,1850,1832
CHF17_RS09085,4482,3896,4710,3756
CHF17_RS09090,828,885,877,1281
CHF17_RS09095,2119,2288,2639,2675
CHF17_RS09100,3785,3174,3607,3480
CHF17_RS09105,1489,1180,1393,1331
CHF17_RS09110,4650,4064,4156,3471
CHF17_RS09115,2822,2564,3282,2172
CHF17_RS09120,52252,56214,60360,50188
CHF17_RS09125,3490,3549,3376,2579
CHF17_RS09130,188872,144690,143637,127811
CHF17_RS09135,58075,39199,42082,34550
CHF17_RS09140,3745,2945,2774,2212
CHF17_RS09145,265846,240924,254564,187740
CHF17_RS09150,6523,4879,4732,3659
CHF17_RS09155,1023392,918513,914269,724890
CHF17_RS09160,288819,275449,284144,241120
CHF17_RS09165,46466,51493,50848,48359
CHF17_RS09170,65287,64134,68889,50865
CHF17_RS09175,29111,28112,27814,24018
CHF17_RS09180,9684,8842,9227,7329
CHF17_RS09185,9354,8703,8598,8036
CHF17_RS09190,4058,3687,3809,3851
CHF17_RS09195,8761,9057,9780,8978
CHF17_RS09200,12043,12611,13732,11908
CHF17_RS09205,5643,5989,6635,5945
CHF17_RS09210,11019,11752,12051,9726
CHF17_RS09215,3887,3725,4254,3063
CHF17_RS09220,5177,4682,5450,3385
CHF17_RS09225,4586,4065,4816,3372
CHF17_RS09230,1561,1932,2426,1886
CHF17_RS09235,1865,2050,2669,1923
CHF17_RS09240,6395,7521,9355,7007
CHF17_RS09245,1558,1616,2305,1296
CHF17_RS09250,89659,84013,87167,72042
CHF17_RS09255,17645,16323,16269,13063
CHF17_RS09260,59863,55656,54296,46442
CHF17_RS09265,101986,88201,83790,64951
CHF17_RS09270,6578,5230,5123,3717
CHF17_RS09275,47957,41912,38371,33163
CHF17_RS09280,30719,27790,25649,22556
CHF17_RS09285,12253,10454,12221,8201
CHF17_RS09290,6494,6374,6893,5875
CHF17_RS09295,1062,797,851,954
CHF17_RS09300,4399,3403,5385,5722
CHF17_RS09305,2975,2399,3897,3457
CHF17_RS09310,26,20,36,21
CHF17_RS09315,238,222,244,204
CHF17_RS09320,482,383,377,272
CHF17_RS09325,10258,8286,7911,6661
CHF17_RS09330,149,124,109,83
CHF17_RS09335,45,42,51,42
CHF17_RS09340,44,45,32,34
CHF17_RS09345,43,51,54,51
CHF17_RS09350,467,456,565,369
CHF17_RS09355,199,326,330,256
CHF17_RS09360,2279,1804,1716,1493
CHF17_RS09365,103,62,80,129
CHF17_RS09370,122,55,70,96
CHF17_RS09375,96,34,53,104
CHF17_RS09380,88,23,25,53
CHF17_RS09385,127,35,19,54
CHF17_RS09390,177,54,47,76
CHF17_RS09395,1231,398,232,338
CHF17_RS09400,18567,13357,12810,11959
CHF17_RS09405,14686,9203,8693,7242
CHF17_RS09410,148268,120873,121767,89624
CHF17_RS09415,5106,4212,4075,3285
CHF17_RS09420,3308,2828,2636,2642
CHF17_RS09425,8169,8088,9056,9037
CHF17_RS09430,2911,2746,2910,2259
CHF17_RS09435,6554,5904,7053,4990
CHF17_RS09440,10277,9060,9281,7279
CHF17_RS09445,18386,16281,16939,13462
CHF17_RS09450,6464,5521,5712,4989
CHF17_RS09455,6027,5459,5382,4926
CHF17_RS09460,20128,20563,23387,20612
CHF17_RS09465,2807,2835,3150,2713
CHF17_RS09470,2761,3948,4387,4436
CHF17_RS09475,75790,81777,81086,65936
CHF17_RS09480,104482,110015,115591,92913
CHF17_RS09485,9607,9481,10250,8009
CHF17_RS09490,33678,34685,37387,31407
CHF17_RS09495,273,321,262,299
CHF17_RS09500,3961,4635,4651,4897
CHF17_RS09505,459,517,551,643
CHF17_RS09510,10746,9023,8793,7068
CHF17_RS09515,12544,13709,18223,15866
CHF17_RS09520,6317,6862,8047,4844
CHF17_RS09525,2137,2053,2190,1853
CHF17_RS09530,235,216,225,224
CHF17_RS09535,2807,3051,3494,3388
CHF17_RS09540,11179,11208,12022,9681
CHF17_RS09545,5587,5452,5452,4841
CHF17_RS09550,276,222,270,193
CHF17_RS09555,35,33,34,30
CHF17_RS09560,44,43,43,38
CHF17_RS09565,9,16,21,10
CHF17_RS09570,39,39,33,37
CHF17_RS09575,14,17,11,15
CHF17_RS09580,164,150,164,155
CHF17_RS09585,72,98,91,80
CHF17_RS09590,123,155,148,143
CHF17_RS09595,122,131,126,117
CHF17_RS09600,1939,2044,2867,4077
CHF17_RS09605,2399,2581,2693,2323
CHF17_RS09610,1074,1107,1223,1065
CHF17_RS09615,20199,21255,23304,18552
CHF17_RS09620,1548,2047,2264,2174
CHF17_RS09625,25589,28348,31137,25158
CHF17_RS09630,9601,10678,11156,11652
CHF17_RS09635,4827,4904,5314,5931
CHF17_RS09640,5973,5583,6188,5745
CHF17_RS09645,51355,58814,61078,51740
CHF17_RS09650,9643,10136,8712,7484
CHF17_RS09655,168,197,127,128
CHF17_RS09660,58,52,61,54
CHF17_RS09665,62,47,63,76
CHF17_RS09670,2172,1925,1929,1507
CHF17_RS09675,876,721,735,608
CHF17_RS09680,10475,10616,11658,11421
CHF17_RS09685,1340,1154,1237,1091
CHF17_RS09690,10902,9972,9042,7560
CHF17_RS09695,3147,3101,3079,2732
CHF17_RS09700,464,466,488,484
CHF17_RS09705,617,483,568,476
CHF17_RS09710,483,423,479,457
CHF17_RS09715,1327,1249,1281,1057
CHF17_RS09720,117,87,93,80
CHF17_RS09725,81,51,66,29
CHF17_RS09730,9484,7213,6842,4339
CHF17_RS09735,44,47,30,39
CHF17_RS09740,162,124,176,118
CHF17_RS09745,401,337,441,320
CHF17_RS09750,2568,2362,2463,2304
CHF17_RS09755,214,191,199,211
CHF17_RS09760,126,100,131,109
CHF17_RS09765,2570,2709,2832,2212
CHF17_RS09770,14257,13581,14780,11035
CHF17_RS09775,21805,11925,9873,6007
CHF17_RS09780,4952,3926,4035,2725
CHF17_RS09785,15037,13636,13355,9868
CHF17_RS09790,7469,7330,6981,5572
CHF17_RS09795,2091,1985,2005,1691
CHF17_RS09800,1230,1230,1295,918
CHF17_RS09805,1494,1530,1610,1267
CHF17_RS09810,91,58,72,87
CHF17_RS09815,67,52,58,58
CHF17_RS09820,48,37,34,45
CHF17_RS09825,46,38,31,27
CHF17_RS09830,3139,2447,2283,3483
CHF17_RS09835,205,165,137,163
CHF17_RS09840,5321,4665,4702,5845
CHF17_RS09845,6104,4600,4713,4625
CHF17_RS09850,1203,844,876,792
CHF17_RS09855,634,655,801,821
CHF17_RS09860,5490,5706,6752,7035
CHF17_RS09865,2572,2596,3116,3755
CHF17_RS09870,202,180,215,232
CHF17_RS09875,292,249,248,189
CHF17_RS09880,767,657,697,550
CHF17_RS09885,3395,3624,3947,2836
CHF17_RS09890,1624,1648,1919,1185
CHF17_RS09895,347,338,368,219
CHF17_RS09900,69,80,81,73
CHF17_RS09905,85,65,83,84
CHF17_RS09910,63,46,53,65
CHF17_RS09915,195,141,161,143
CHF17_RS09920,865,801,918,1235
CHF17_RS09925,1161,1310,1369,1768
CHF17_RS09930,831,656,772,1553
CHF17_RS09935,249,165,231,411
CHF17_RS09940,1529,1455,1537,1701
CHF17_RS09945,2342,1998,2148,1961
CHF17_RS09950,1628,1364,1428,1658
CHF17_RS09955,509,434,499,489
CHF17_RS09960,2732,2315,2455,2276
CHF17_RS09965,2085,1929,2069,1538
CHF17_RS09970,6925,6343,6805,5711
CHF17_RS09975,9575,9203,12098,8019
CHF17_RS09980,2860,2761,3639,2563
CHF17_RS09985,2203,2583,1850,2100
CHF17_RS09990,38,39,27,32
CHF17_RS09995,2517,1759,2049,2061
CHF17_RS10000,108,134,147,101
CHF17_RS10005,36,29,55,30
CHF17_RS10010,91,99,116,137
CHF17_RS10015,11875,10782,10754,8846
CHF17_RS10020,9413,10755,7668,9519
CHF17_RS10025,758,880,888,817
CHF17_RS10030,47,68,74,63
CHF17_RS10035,41,47,42,43
CHF17_RS10040,110,125,133,132
CHF17_RS10045,723,729,854,828
CHF17_RS10050,1187,1270,1335,1221
CHF17_RS10055,28,29,37,36
