GeneID,X51122,X51123,X51124,X51125,X51126,X51127,X51128,X51129,X51130,X51131,X51132,X51133
EW021_RS04345,443,768,1009,958,447,378,2690,4736,1799,2713,2758,1444
EW021_RS04350,223,400,391,456,312,221,441,1732,402,315,253,577
EW021_RS04355,625,1041,914,1691,888,748,407,5035,797,454,270,859
EW021_RS04360,103,592,437,1127,327,122,70,4419,705,287,103,529
EW021_RS04365,48,292,282,603,190,71,43,2682,381,156,66,290
EW021_RS04370,53,336,245,520,180,61,562,3266,571,287,256,660
EW021_RS04375,1176,1131,864,1132,793,888,2059,5501,1651,1320,1179,2500
EW021_RS04380,1712,1738,2191,2535,1795,1558,230,6454,911,344,198,725
EW021_RS04385,2195,1457,1243,2023,2096,2173,309,1891,677,233,353,797
EW021_RS04390,5558,6345,3970,6283,4794,4675,1255,5038,1245,1004,918,2403
EW021_RS04395,2980,3606,1702,3380,2539,2397,132,1373,229,91,58,446
EW021_RS04400,6936,7272,2889,6510,6412,5830,382,796,316,123,149,892
EW021_RS04405,11661,11582,5367,10080,12292,9541,5475,5343,3722,3668,3448,7679
EW021_RS04410,494,731,505,780,696,523,725,1061,704,596,545,1222
EW021_RS04415,3190,3550,2221,4025,3864,3516,2459,2723,1515,1284,1351,2692
EW021_RS04420,4618,3991,2888,4981,7006,6369,1394,2280,1028,720,917,2117
EW021_RS04425,379,423,336,570,490,421,72,1103,167,62,46,161
EW021_RS04430,4886,3660,4002,3768,5300,4760,216,2151,362,212,204,640
EW021_RS04435,6179,4150,4753,3844,5272,5222,361,2007,424,289,279,639
EW021_RS04440,1240,1361,2095,1728,1201,989,393,2936,632,515,398,592
EW021_RS04445,4676,3206,4315,4002,4074,3969,7776,4861,8304,3031,4609,18368
EW021_RS04450,308,424,413,755,452,391,388,1734,461,183,153,756
EW021_RS04455,1944,1295,1662,2566,3752,3491,534,3421,866,289,296,1462
EW021_RS04460,1181,1063,847,1548,1881,1636,366,2102,536,229,178,938
EW021_RS04465,3459,3697,2600,3873,3924,4665,1187,5522,1306,630,519,2754
EW021_RS04470,1452,1434,1374,1920,881,1203,764,3566,597,516,353,1184
