GeneID,X50274,X50275,X50276,X50289,X50290,X50291,X50304,X50305,X50306,X50319,X50320,X50321,X50334,X50335,X50336,X50349,X50350,X50351
EQB47_RS05735,1400,4968,5704,1824,7126,5709,1555,4060,3340,2267,5318,5118,1056,4150,4738,1616,5505,3907
EQB47_RS05740,1075,3734,4105,1291,5739,4447,1224,3180,2503,1738,4450,4239,872,3147,3653,1264,4475,3288
EQB47_RS05745,2519,10016,10638,3280,14133,10462,2628,8135,6473,4047,10996,8927,2108,8881,9211,2835,10346,7782
EQB47_RS05750,1265,1336,2084,1697,2400,2050,1873,1393,1282,1902,1829,1650,1225,1357,1949,1890,2040,1229
EQB47_RS00580,228,67,2742,1062,93,1775,234,71,1433,248,84,1833,230,76,2611,210,126,1533
EQB47_RS05755,8464,8824,15046,15448,16608,15370,9674,9658,8649,12077,11920,12139,7649,8938,16651,9730,15420,11138
EQB47_RS05760,22466,12202,20563,29688,23314,22251,23804,12930,12466,29700,16596,18048,20305,11872,23650,23256,21691,15829
EQB47_RS05765,14352,6012,9867,17772,10949,11537,15122,5730,5811,19260,7809,9142,12843,5774,11603,14780,10016,7912
EQB47_RS05770,12310,4542,7239,13557,7850,8195,13202,4531,4622,16965,5801,6544,11099,4336,8403,13008,7901,5832
EQB47_RS05775,4698,4089,6491,7501,6824,7121,5232,4030,4158,6475,5142,5642,3909,3881,7365,4743,6710,5300
EQB47_RS05780,1985,2783,3695,3311,4180,3446,2241,2689,2269,2788,3473,3089,1883,2747,3700,1977,3889,2978
EQB47_RS05785,288,325,434,420,469,425,334,281,290,431,371,400,267,341,465,264,442,365
EQB47_RS05790,1797,2253,3167,2794,3484,3348,2133,2277,2115,2837,3001,3067,1757,2306,3459,1908,3525,2767
EQB47_RS05795,629,665,929,944,1113,992,690,562,596,956,792,895,514,619,1073,662,938,859
EQB47_RS05800,1017,966,1533,1599,1585,1692,1188,938,1013,1583,1257,1531,975,936,1918,1048,1603,1361
EQB47_RS00585,341,79,3823,1552,165,2575,347,96,2277,325,107,2603,317,113,4313,286,186,2417
EQB47_RS05805,1628,496,773,1619,865,904,1702,465,381,2215,537,651,1612,407,936,2003,699,565
EQB47_RS05810,4050,1032,1787,4739,2127,2562,4710,1362,1178,5754,1362,2017,3554,867,2656,5051,2208,1532
EQB47_RS05815,113,19,45,150,41,66,171,29,38,155,33,533,103,30,62,179,36,52
EQB47_RS05820,9440,2641,4781,8482,3989,5186,10531,2791,2945,12307,3125,39397,8809,2527,4772,11642,4656,3514
EQB47_RS05825,19227,45936,81019,38042,68346,66672,19665,54845,57747,24913,55637,46127,15739,52000,90029,22424,75084,65191
EQB47_RS05830,4521,8717,16990,8768,14003,14151,5166,10847,12599,6102,10838,10677,3600,9629,18743,6019,15194,14068
EQB47_RS05835,3164,8226,10284,3561,12734,8745,3922,3833,4154,5139,9747,11136,2562,3301,7872,3964,3936,3741
EQB47_RS05840,20339,57938,76652,24121,91690,70216,24026,28714,31804,32918,69846,83112,20522,24897,63245,26002,34427,30821
EQB47_RS05845,12355,24406,34646,16248,36926,29711,15901,12955,14399,20523,31646,34602,13361,12549,28464,17921,15903,14974
EQB47_RS05850,920,2165,6739,1764,3254,6500,953,2368,4677,1171,2395,5624,583,1960,6607,992,2807,5533
EQB47_RS00590,170,22,1716,670,65,1193,172,60,1088,143,48,1207,129,50,2140,142,126,1185
EQB47_RS05855,55,12,675,65,18,448,26,26,248,54,27,309,31,30,367,42,34,261
EQB47_RS05860,254,98,4279,567,211,3362,201,176,1800,298,208,2357,185,208,2823,234,253,2103
EQB47_RS05865,473,224,7038,1056,318,5924,407,325,3373,569,343,4468,374,445,4933,512,465,3687
