,SampleWT,SampleFOS1,SampleFOS4,SampleFOS7,SampleFOS8,,,,,,,,,,,,,,,,,,,,,
SMD_0029,670,948,664,592,920,,,,,,,,,,,,,,,,,,,,,
SMD_0030,50,52,46,54,68,,,,,,,,,,,,,,,,,,,,,
SMD_0031,39,38,31,36,42,,,,,,,,,,,,,,,,,,,,,
SMD_0032,36,37,26,30,41,,,,,,,,,,,,,,,,,,,,,
SMD_0033,140,157,169,174,145,,,,,,,,,,,,,,,,,,,,,
SMD_0034,93,90,114,114,105,,,,,,,,,,,,,,,,,,,,,
SMD_0035,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_0036,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0037,23,20,19,26,31,,,,,,,,,,,,,,,,,,,,,
SMD_0038,26,31,23,23,27,,,,,,,,,,,,,,,,,,,,,
SMD_0039,19,21,16,18,19,,,,,,,,,,,,,,,,,,,,,
SMD_0040,23,23,25,28,25,,,,,,,,,,,,,,,,,,,,,
SMD_0041,49,46,46,45,56,,,,,,,,,,,,,,,,,,,,,
SMD_0042,79,76,79,91,86,,,,,,,,,,,,,,,,,,,,,
SMD_0043,74,68,74,79,79,,,,,,,,,,,,,,,,,,,,,
SMD_0044,25,35,14,22,26,,,,,,,,,,,,,,,,,,,,,
SMD_0045,39,35,32,41,50,,,,,,,,,,,,,,,,,,,,,
SMD_0046,101,107,118,110,92,,,,,,,,,,,,,,,,,,,,,
SMD_0047,3,4,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0048,3,4,1,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_0049,22,29,20,19,20,,,,,,,,,,,,,,,,,,,,,
SMD_0050,29,32,27,24,25,,,,,,,,,,,,,,,,,,,,,
SMD_0051,19,20,17,16,19,,,,,,,,,,,,,,,,,,,,,
SMD_0052,43,33,37,45,43,,,,,,,,,,,,,,,,,,,,,
SMD_0053,182,147,218,208,175,,,,,,,,,,,,,,,,,,,,,
SMD_0054,151,114,184,196,175,,,,,,,,,,,,,,,,,,,,,
SMD_0055,14,8,17,17,11,,,,,,,,,,,,,,,,,,,,,
SMD_0056,4,5,4,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_0057,141,132,143,141,136,,,,,,,,,,,,,,,,,,,,,
SMD_0058,154,135,150,154,156,,,,,,,,,,,,,,,,,,,,,
SMD_0059,325,374,342,307,321,,,,,,,,,,,,,,,,,,,,,
SMD_0060,98,78,94,106,115,,,,,,,,,,,,,,,,,,,,,
SMD_0061,44,49,45,43,44,,,,,,,,,,,,,,,,,,,,,
SMD_0062,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0063,21,21,20,23,20,,,,,,,,,,,,,,,,,,,,,
SMD_0064,40,47,27,31,45,,,,,,,,,,,,,,,,,,,,,
SMD_0065,53,48,43,56,70,,,,,,,,,,,,,,,,,,,,,
SMD_0066,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0067,3,1,2,6,4,,,,,,,,,,,,,,,,,,,,,
SMD_0068,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_0069,38,43,32,33,46,,,,,,,,,,,,,,,,,,,,,
SMD_0070,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_0071,11,14,12,15,12,,,,,,,,,,,,,,,,,,,,,
SMD_0073,10,7,8,10,6,,,,,,,,,,,,,,,,,,,,,
SMD_0074,9,6,9,9,11,,,,,,,,,,,,,,,,,,,,,
SMD_0075,20,18,16,17,17,,,,,,,,,,,,,,,,,,,,,
SMD_0076,28,24,25,30,31,,,,,,,,,,,,,,,,,,,,,
SMD_0077,40,39,34,36,45,,,,,,,,,,,,,,,,,,,,,
SMD_0078,10,7,10,12,11,,,,,,,,,,,,,,,,,,,,,
SMD_0079,14,10,14,17,16,,,,,,,,,,,,,,,,,,,,,
SMD_0080,24,15,23,26,25,,,,,,,,,,,,,,,,,,,,,
SMD_0081,33,22,30,34,32,,,,,,,,,,,,,,,,,,,,,
SMD_0082,66,64,67,69,62,,,,,,,,,,,,,,,,,,,,,
SMD_0083,83,82,89,92,79,,,,,,,,,,,,,,,,,,,,,
SMD_0084,146,157,159,147,150,,,,,,,,,,,,,,,,,,,,,
SMD_0085,113,137,118,115,118,,,,,,,,,,,,,,,,,,,,,
SMD_0086,71,90,77,77,83,,,,,,,,,,,,,,,,,,,,,
SMD_0087,7,5,6,8,12,,,,,,,,,,,,,,,,,,,,,
SMD_0088,118,120,137,130,122,,,,,,,,,,,,,,,,,,,,,
SMD_0089,46,56,44,48,64,,,,,,,,,,,,,,,,,,,,,
SMD_0090,33,25,31,36,38,,,,,,,,,,,,,,,,,,,,,
SMD_0091,85,109,77,74,118,,,,,,,,,,,,,,,,,,,,,
SMD_0092,110,144,74,92,122,,,,,,,,,,,,,,,,,,,,,
SMD_0093,48,57,29,36,47,,,,,,,,,,,,,,,,,,,,,
SMD_0094,59,56,53,55,61,,,,,,,,,,,,,,,,,,,,,
SMD_0095,162,141,141,150,153,,,,,,,,,,,,,,,,,,,,,
SMD_0096,174,197,196,185,164,,,,,,,,,,,,,,,,,,,,,
SMD_0097,65,57,59,64,68,,,,,,,,,,,,,,,,,,,,,
SMD_0099,158,132,163,158,156,,,,,,,,,,,,,,,,,,,,,
SMD_0100,20,21,14,14,16,,,,,,,,,,,,,,,,,,,,,
SMD_0101,168,184,166,191,172,,,,,,,,,,,,,,,,,,,,,
SMD_0102,33,39,29,30,32,,,,,,,,,,,,,,,,,,,,,
SMD_0103,72,98,45,43,39,,,,,,,,,,,,,,,,,,,,,
SMD_0104,14,20,13,10,10,,,,,,,,,,,,,,,,,,,,,
SMD_0105,7,7,6,8,7,,,,,,,,,,,,,,,,,,,,,
SMD_0107,65,75,67,64,62,,,,,,,,,,,,,,,,,,,,,
SMD_0108,46,48,42,49,54,,,,,,,,,,,,,,,,,,,,,
SMD_0109,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_0110,6,6,6,5,4,,,,,,,,,,,,,,,,,,,,,
SMD_0112,58,51,49,64,78,,,,,,,,,,,,,,,,,,,,,
SMD_0113,38,32,22,30,43,,,,,,,,,,,,,,,,,,,,,
SMD_0114,137,137,94,109,137,,,,,,,,,,,,,,,,,,,,,
SMD_0115,225,266,174,213,251,,,,,,,,,,,,,,,,,,,,,
SMD_0117,147,143,160,167,180,,,,,,,,,,,,,,,,,,,,,
SMD_0118,105,133,111,109,113,,,,,,,,,,,,,,,,,,,,,
SMD_0119,32,31,24,36,41,,,,,,,,,,,,,,,,,,,,,
SMD_0120,58,54,48,64,74,,,,,,,,,,,,,,,,,,,,,
SMD_0121,7,6,7,10,12,,,,,,,,,,,,,,,,,,,,,
SMD_0122,85,57,91,96,84,,,,,,,,,,,,,,,,,,,,,
SMD_0123,251,277,285,266,242,,,,,,,,,,,,,,,,,,,,,
SMD_0124,460,453,527,474,383,,,,,,,,,,,,,,,,,,,,,
SMD_0125,835,909,988,928,764,,,,,,,,,,,,,,,,,,,,,
SMD_0126,307,214,296,405,404,,,,,,,,,,,,,,,,,,,,,
SMD_0127,1,0,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0128,33,35,42,38,35,,,,,,,,,,,,,,,,,,,,,
SMD_0129,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_0130,12,20,13,8,14,,,,,,,,,,,,,,,,,,,,,
SMD_0131,15,16,15,12,12,,,,,,,,,,,,,,,,,,,,,
SMD_0132,21,24,24,21,18,,,,,,,,,,,,,,,,,,,,,
