,SampleWT,SampleFOS1,SampleFOS4,SampleFOS7,SampleFOS8,,,,,,,,,,,,,,,,,,,,,
SMD_1054,76,65,67,62,56,,,,,,,,,,,,,,,,,,,,,
SMD_1055,85,100,72,75,77,,,,,,,,,,,,,,,,,,,,,
SMD_1056,248,305,235,232,265,,,,,,,,,,,,,,,,,,,,,
SMD_1057,4874,3747,5181,4483,4039,,,,,,,,,,,,,,,,,,,,,
SMD_1058,25,18,22,23,21,,,,,,,,,,,,,,,,,,,,,
SMD_1059,32,37,24,29,35,,,,,,,,,,,,,,,,,,,,,
SMD_1060,71,79,65,60,74,,,,,,,,,,,,,,,,,,,,,
SMD_1061,37,30,36,42,42,,,,,,,,,,,,,,,,,,,,,
SMD_1062,109,103,118,128,129,,,,,,,,,,,,,,,,,,,,,
SMD_1063,112,122,137,139,124,,,,,,,,,,,,,,,,,,,,,
SMD_1064,67,73,87,85,81,,,,,,,,,,,,,,,,,,,,,
SMD_1065,37,32,55,53,44,,,,,,,,,,,,,,,,,,,,,
SMD_1066,2,2,5,4,2,,,,,,,,,,,,,,,,,,,,,
SMD_1067,11,7,14,23,14,,,,,,,,,,,,,,,,,,,,,
SMD_1068,75,69,75,73,72,,,,,,,,,,,,,,,,,,,,,
SMD_1069,72,52,80,95,84,,,,,,,,,,,,,,,,,,,,,
SMD_1070,258,227,391,406,283,,,,,,,,,,,,,,,,,,,,,
SMD_1071,27,15,46,66,33,,,,,,,,,,,,,,,,,,,,,
SMD_1072,185,240,197,187,225,,,,,,,,,,,,,,,,,,,,,
SMD_1073,93,77,86,124,149,,,,,,,,,,,,,,,,,,,,,
SMD_1074,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_1075,72,70,89,100,93,,,,,,,,,,,,,,,,,,,,,
SMD_1076,52,44,60,84,77,,,,,,,,,,,,,,,,,,,,,
SMD_1077,108,121,143,148,133,,,,,,,,,,,,,,,,,,,,,
SMD_1078,68,78,104,105,88,,,,,,,,,,,,,,,,,,,,,
SMD_1079,43,41,55,55,46,,,,,,,,,,,,,,,,,,,,,
SMD_1080,153,202,161,153,167,,,,,,,,,,,,,,,,,,,,,
SMD_1081,41,49,42,37,44,,,,,,,,,,,,,,,,,,,,,
SMD_1082,35,42,28,38,42,,,,,,,,,,,,,,,,,,,,,
SMD_1083,14,11,10,12,17,,,,,,,,,,,,,,,,,,,,,
SMD_1084,16,18,14,19,24,,,,,,,,,,,,,,,,,,,,,
SMD_1085,1517,2122,1639,1661,1795,,,,,,,,,,,,,,,,,,,,,
SMD_1086,33,46,30,33,39,,,,,,,,,,,,,,,,,,,,,
SMD_1087,40,31,37,45,41,,,,,,,,,,,,,,,,,,,,,
SMD_1088,61,53,57,62,69,,,,,,,,,,,,,,,,,,,,,
SMD_1089,151,160,139,145,158,,,,,,,,,,,,,,,,,,,,,
SMD_1090,161,164,161,160,152,,,,,,,,,,,,,,,,,,,,,
SMD_1091,113,102,116,122,118,,,,,,,,,,,,,,,,,,,,,
SMD_1092,46,39,45,48,45,,,,,,,,,,,,,,,,,,,,,
SMD_1093,46,56,54,55,50,,,,,,,,,,,,,,,,,,,,,
SMD_1094,18,23,30,33,23,,,,,,,,,,,,,,,,,,,,,
SMD_1095,3,4,4,5,3,,,,,,,,,,,,,,,,,,,,,
SMD_1096,283,266,292,289,325,,,,,,,,,,,,,,,,,,,,,
SMD_1097,13,16,12,14,15,,,,,,,,,,,,,,,,,,,,,
SMD_1098,8,11,9,8,9,,,,,,,,,,,,,,,,,,,,,
SMD_1099,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_1100,3,2,3,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_1101,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_1102,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_1103,46,57,58,44,52,,,,,,,,,,,,,,,,,,,,,
SMD_1104,36,40,49,44,42,,,,,,,,,,,,,,,,,,,,,
SMD_1105,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,
SMD_1106,10,10,10,10,12,,,,,,,,,,,,,,,,,,,,,
SMD_1107,36,38,39,34,42,,,,,,,,,,,,,,,,,,,,,
SMD_1108,595,617,640,605,546,,,,,,,,,,,,,,,,,,,,,
SMD_1109,9,13,5,5,8,,,,,,,,,,,,,,,,,,,,,
SMD_1110,10,12,6,6,7,,,,,,,,,,,,,,,,,,,,,
SMD_1111,5,5,3,3,5,,,,,,,,,,,,,,,,,,,,,
SMD_1112,6,6,4,2,5,,,,,,,,,,,,,,,,,,,,,
SMD_1113,7,6,9,7,8,,,,,,,,,,,,,,,,,,,,,
SMD_1114,13,13,9,9,10,,,,,,,,,,,,,,,,,,,,,
SMD_1115,9,8,6,6,7,,,,,,,,,,,,,,,,,,,,,
SMD_1116,11,13,4,4,6,,,,,,,,,,,,,,,,,,,,,
SMD_1117,25,40,20,18,26,,,,,,,,,,,,,,,,,,,,,
SMD_1118,17,17,17,16,19,,,,,,,,,,,,,,,,,,,,,
SMD_1119,7,7,5,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_1120,32,39,30,28,29,,,,,,,,,,,,,,,,,,,,,
SMD_1121,8,8,7,8,10,,,,,,,,,,,,,,,,,,,,,
SMD_1122,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1123,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1124,9,9,9,10,6,,,,,,,,,,,,,,,,,,,,,
SMD_1125,9,13,4,7,9,,,,,,,,,,,,,,,,,,,,,
SMD_1126,15,25,13,11,15,,,,,,,,,,,,,,,,,,,,,
SMD_1127,13,18,9,14,17,,,,,,,,,,,,,,,,,,,,,
SMD_1128,17,23,12,18,20,,,,,,,,,,,,,,,,,,,,,
SMD_1129,32,39,18,23,25,,,,,,,,,,,,,,,,,,,,,
SMD_1130,36,40,30,31,34,,,,,,,,,,,,,,,,,,,,,
SMD_1131,27,26,27,29,30,,,,,,,,,,,,,,,,,,,,,
SMD_1132,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_1133,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_1134,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1135,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_1136,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1137,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1138,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_1139,18,21,18,16,15,,,,,,,,,,,,,,,,,,,,,
SMD_1140,12,13,12,12,12,,,,,,,,,,,,,,,,,,,,,
SMD_1141,23,27,18,20,24,,,,,,,,,,,,,,,,,,,,,
SMD_1142,6,6,5,7,6,,,,,,,,,,,,,,,,,,,,,
SMD_1143,135,127,141,156,182,,,,,,,,,,,,,,,,,,,,,
SMD_1144,25,23,19,25,19,,,,,,,,,,,,,,,,,,,,,
SMD_1145,58,62,64,58,69,,,,,,,,,,,,,,,,,,,,,
SMD_1146,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_1147,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_1148,6,3,4,5,5,,,,,,,,,,,,,,,,,,,,,
SMD_1149,7,6,5,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_1150,23,26,15,13,15,,,,,,,,,,,,,,,,,,,,,
SMD_1151,18,19,11,10,15,,,,,,,,,,,,,,,,,,,,,
SMD_1152,27,34,16,14,21,,,,,,,,,,,,,,,,,,,,,
SMD_1153,31,41,18,21,28,,,,,,,,,,,,,,,,,,,,,
SMD_1154,10,8,20,21,10,,,,,,,,,,,,,,,,,,,,,
SMD_1155,50,36,65,60,31,,,,,,,,,,,,,,,,,,,,,
SMD_1156,51,22,47,61,60,,,,,,,,,,,,,,,,,,,,,
SMD_1157,9,7,9,10,11,,,,,,,,,,,,,,,,,,,,,
SMD_1158,335,192,328,354,217,,,,,,,,,,,,,,,,,,,,,
SMD_1159,128,139,108,108,108,,,,,,,,,,,,,,,,,,,,,
SMD_1160,41,38,54,58,47,,,,,,,,,,,,,,,,,,,,,
SMD_1161,2,3,3,2,4,,,,,,,,,,,,,,,,,,,,,
SMD_1162,101,97,118,106,94,,,,,,,,,,,,,,,,,,,,,
SMD_1163,179,194,177,189,193,,,,,,,,,,,,,,,,,,,,,
SMD_1164,50,54,48,45,41,,,,,,,,,,,,,,,,,,,,,
SMD_1165,320,284,318,314,306,,,,,,,,,,,,,,,,,,,,,
SMD_1166,656,785,638,584,559,,,,,,,,,,,,,,,,,,,,,
SMD_1167,744,921,712,683,709,,,,,,,,,,,,,,,,,,,,,
SMD_1168,144,157,128,144,153,,,,,,,,,,,,,,,,,,,,,
SMD_1169,257,312,256,246,278,,,,,,,,,,,,,,,,,,,,,
SMD_1170,35,32,46,46,38,,,,,,,,,,,,,,,,,,,,,
SMD_1171,61,71,62,59,63,,,,,,,,,,,,,,,,,,,,,
SMD_1172,1189,1370,1279,1156,1045,,,,,,,,,,,,,,,,,,,,,
SMD_1173,35,29,32,30,36,,,,,,,,,,,,,,,,,,,,,
SMD_1174,37,38,33,39,46,,,,,,,,,,,,,,,,,,,,,
SMD_1175,15,17,11,13,17,,,,,,,,,,,,,,,,,,,,,
SMD_1176,39,48,36,38,32,,,,,,,,,,,,,,,,,,,,,
SMD_1177,29,54,25,35,35,,,,,,,,,,,,,,,,,,,,,
SMD_1178,14,16,15,16,19,,,,,,,,,,,,,,,,,,,,,
SMD_1179,46,37,46,50,46,,,,,,,,,,,,,,,,,,,,,
SMD_1180,96,95,103,97,94,,,,,,,,,,,,,,,,,,,,,
SMD_1181,31,28,27,30,38,,,,,,,,,,,,,,,,,,,,,
SMD_1182,10,11,11,14,17,,,,,,,,,,,,,,,,,,,,,
SMD_1183,13,11,11,13,15,,,,,,,,,,,,,,,,,,,,,
SMD_1184,67,52,70,74,80,,,,,,,,,,,,,,,,,,,,,
SMD_1185,101,100,117,108,105,,,,,,,,,,,,,,,,,,,,,
SMD_1186,25,26,22,23,26,,,,,,,,,,,,,,,,,,,,,
SMD_1187,37,43,33,38,37,,,,,,,,,,,,,,,,,,,,,
SMD_1188,186,188,196,192,169,,,,,,,,,,,,,,,,,,,,,
SMD_1189,160,191,176,158,170,,,,,,,,,,,,,,,,,,,,,
SMD_1190,139,143,136,134,137,,,,,,,,,,,,,,,,,,,,,
SMD_1191,3368,3810,4133,3886,3154,,,,,,,,,,,,,,,,,,,,,
SMD_1192,3611,3959,4495,3938,3398,,,,,,,,,,,,,,,,,,,,,
SMD_1193,288,257,354,322,264,,,,,,,,,,,,,,,,,,,,,
SMD_1194,2234,1979,2764,2666,1630,,,,,,,,,,,,,,,,,,,,,
SMD_1195,28,26,33,32,27,,,,,,,,,,,,,,,,,,,,,
SMD_1196,94,87,92,102,108,,,,,,,,,,,,,,,,,,,,,
SMD_1197,220,211,228,223,219,,,,,,,,,,,,,,,,,,,,,
SMD_1198,148,148,165,154,150,,,,,,,,,,,,,,,,,,,,,
SMD_1199,294,301,315,307,282,,,,,,,,,,,,,,,,,,,,,
SMD_1200,49,52,52,51,55,,,,,,,,,,,,,,,,,,,,,
SMD_1201,40,35,30,34,36,,,,,,,,,,,,,,,,,,,,,
SMD_1202,48,34,64,63,49,,,,,,,,,,,,,,,,,,,,,
SMD_1203,36,29,44,46,31,,,,,,,,,,,,,,,,,,,,,
SMD_1204,21,16,14,16,19,,,,,,,,,,,,,,,,,,,,,
SMD_1205,62,73,52,52,62,,,,,,,,,,,,,,,,,,,,,
SMD_1206,64,68,49,59,71,,,,,,,,,,,,,,,,,,,,,
SMD_1207,6,7,6,7,7,,,,,,,,,,,,,,,,,,,,,
SMD_1208,15,16,10,11,19,,,,,,,,,,,,,,,,,,,,,
SMD_1209,12,14,12,11,11,,,,,,,,,,,,,,,,,,,,,
SMD_1210,6,16,17,19,14,,,,,,,,,,,,,,,,,,,,,
SMD_1211,17,23,14,20,17,,,,,,,,,,,,,,,,,,,,,
SMD_1212,27,34,24,27,29,,,,,,,,,,,,,,,,,,,,,
SMD_1213,790,898,1025,882,735,,,,,,,,,,,,,,,,,,,,,
SMD_1214,823,938,1053,882,809,,,,,,,,,,,,,,,,,,,,,
SMD_1215,956,1064,1171,960,927,,,,,,,,,,,,,,,,,,,,,
SMD_1216,590,701,742,575,568,,,,,,,,,,,,,,,,,,,,,
SMD_1217,13,11,13,13,13,,,,,,,,,,,,,,,,,,,,,
SMD_1218,54,46,44,44,51,,,,,,,,,,,,,,,,,,,,,
SMD_1219,80,70,73,68,74,,,,,,,,,,,,,,,,,,,,,
SMD_1220,90,80,99,92,98,,,,,,,,,,,,,,,,,,,,,
SMD_1221,125,92,130,116,105,,,,,,,,,,,,,,,,,,,,,
SMD_1222,28,30,28,31,35,,,,,,,,,,,,,,,,,,,,,
SMD_1223,254,275,271,254,249,,,,,,,,,,,,,,,,,,,,,
SMD_1224,29,21,23,30,33,,,,,,,,,,,,,,,,,,,,,
SMD_1225,15,14,12,16,18,,,,,,,,,,,,,,,,,,,,,
SMD_1226,1769,1924,2216,1963,1639,,,,,,,,,,,,,,,,,,,,,
SMD_1227,803,685,981,866,629,,,,,,,,,,,,,,,,,,,,,
SMD_1228,263,191,317,310,236,,,,,,,,,,,,,,,,,,,,,
SMD_1229,3591,3507,4542,3697,2910,,,,,,,,,,,,,,,,,,,,,
SMD_1230,67,70,72,61,62,,,,,,,,,,,,,,,,,,,,,
SMD_1231,31,31,26,25,28,,,,,,,,,,,,,,,,,,,,,
SMD_1232,26,28,19,16,21,,,,,,,,,,,,,,,,,,,,,
SMD_1233,9,10,10,11,11,,,,,,,,,,,,,,,,,,,,,
SMD_1234,53,69,59,50,57,,,,,,,,,,,,,,,,,,,,,
SMD_1235,49,55,40,53,64,,,,,,,,,,,,,,,,,,,,,
SMD_1236,22,19,18,25,26,,,,,,,,,,,,,,,,,,,,,
SMD_1237,62,66,56,53,55,,,,,,,,,,,,,,,,,,,,,
SMD_1238,62,55,58,63,62,,,,,,,,,,,,,,,,,,,,,
SMD_1239,78,78,77,66,69,,,,,,,,,,,,,,,,,,,,,
SMD_1240,5,4,5,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_1241,24,28,26,37,34,,,,,,,,,,,,,,,,,,,,,
SMD_1242,25,21,24,31,28,,,,,,,,,,,,,,,,,,,,,
SMD_1243,14,13,17,20,18,,,,,,,,,,,,,,,,,,,,,
SMD_1244,34,28,35,51,44,,,,,,,,,,,,,,,,,,,,,
SMD_1245,28,26,29,41,37,,,,,,,,,,,,,,,,,,,,,
SMD_1246,19,18,18,20,23,,,,,,,,,,,,,,,,,,,,,
SMD_1247,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_1248,43,45,48,43,43,,,,,,,,,,,,,,,,,,,,,
SMD_1249,89,103,96,78,78,,,,,,,,,,,,,,,,,,,,,
SMD_1250,30,28,29,32,28,,,,,,,,,,,,,,,,,,,,,
SMD_1251,98,85,80,104,94,,,,,,,,,,,,,,,,,,,,,
SMD_1252,186,152,143,199,178,,,,,,,,,,,,,,,,,,,,,
SMD_1253,369,407,351,422,420,,,,,,,,,,,,,,,,,,,,,
SMD_1254,233,228,232,283,290,,,,,,,,,,,,,,,,,,,,,
SMD_1255,31,25,22,32,39,,,,,,,,,,,,,,,,,,,,,
SMD_1256,97,93,86,104,108,,,,,,,,,,,,,,,,,,,,,
SMD_1257,155,162,145,176,173,,,,,,,,,,,,,,,,,,,,,
SMD_1258,124,119,134,163,176,,,,,,,,,,,,,,,,,,,,,
SMD_1259,26,23,19,25,25,,,,,,,,,,,,,,,,,,,,,
SMD_1260,24,23,20,22,28,,,,,,,,,,,,,,,,,,,,,
SMD_1261,21,22,19,22,24,,,,,,,,,,,,,,,,,,,,,
SMD_1262,7,4,8,8,8,,,,,,,,,,,,,,,,,,,,,
SMD_1263,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1264,19,16,19,21,23,,,,,,,,,,,,,,,,,,,,,
SMD_1265,15,12,18,17,11,,,,,,,,,,,,,,,,,,,,,
SMD_1266,94,116,78,69,85,,,,,,,,,,,,,,,,,,,,,
SMD_1267,5,6,8,8,14,,,,,,,,,,,,,,,,,,,,,
SMD_1268,242,269,245,232,276,,,,,,,,,,,,,,,,,,,,,
SMD_1269,203,215,248,221,211,,,,,,,,,,,,,,,,,,,,,
SMD_1270,82,47,75,75,59,,,,,,,,,,,,,,,,,,,,,
SMD_1271,186,160,180,183,177,,,,,,,,,,,,,,,,,,,,,
SMD_1272,311,407,271,292,405,,,,,,,,,,,,,,,,,,,,,
SMD_1273,82,74,84,83,84,,,,,,,,,,,,,,,,,,,,,
SMD_1274,17,13,17,16,18,,,,,,,,,,,,,,,,,,,,,
SMD_1275,12,14,14,13,13,,,,,,,,,,,,,,,,,,,,,
SMD_1276,7,8,18,10,11,,,,,,,,,,,,,,,,,,,,,
SMD_1277,7,7,18,13,15,,,,,,,,,,,,,,,,,,,,,
SMD_1278,65,72,79,71,80,,,,,,,,,,,,,,,,,,,,,
SMD_1279,375,400,386,368,392,,,,,,,,,,,,,,,,,,,,,
SMD_1280,283,299,275,264,267,,,,,,,,,,,,,,,,,,,,,
SMD_1281,17,20,14,15,18,,,,,,,,,,,,,,,,,,,,,
SMD_1282,13,16,12,14,17,,,,,,,,,,,,,,,,,,,,,
SMD_1283,20,25,23,28,32,,,,,,,,,,,,,,,,,,,,,
SMD_1284,4,4,8,7,5,,,,,,,,,,,,,,,,,,,,,
SMD_1285,16,11,21,15,17,,,,,,,,,,,,,,,,,,,,,
SMD_1286,1137,1237,1558,1370,1141,,,,,,,,,,,,,,,,,,,,,
SMD_1287,101,101,99,107,113,,,,,,,,,,,,,,,,,,,,,
SMD_1288,8,7,5,6,6,,,,,,,,,,,,,,,,,,,,,
SMD_1289,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_1290,78,88,70,72,84,,,,,,,,,,,,,,,,,,,,,
SMD_1291,40,36,32,45,53,,,,,,,,,,,,,,,,,,,,,
SMD_1292,43,51,37,37,44,,,,,,,,,,,,,,,,,,,,,
SMD_1293,432,395,245,244,359,,,,,,,,,,,,,,,,,,,,,
SMD_1294,26,26,46,49,25,,,,,,,,,,,,,,,,,,,,,
SMD_1295,69,61,70,71,70,,,,,,,,,,,,,,,,,,,,,
SMD_1296,432,330,472,466,349,,,,,,,,,,,,,,,,,,,,,
SMD_1297,9,7,13,11,8,,,,,,,,,,,,,,,,,,,,,
SMD_1298,16,13,17,17,17,,,,,,,,,,,,,,,,,,,,,
SMD_1299,118,134,141,122,120,,,,,,,,,,,,,,,,,,,,,
SMD_1300,32,34,32,36,31,,,,,,,,,,,,,,,,,,,,,
SMD_1301,31,26,21,22,25,,,,,,,,,,,,,,,,,,,,,
SMD_1302,54,51,46,51,57,,,,,,,,,,,,,,,,,,,,,
SMD_1303,2,2,1,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_1304,4,4,2,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_1305,41,40,52,49,43,,,,,,,,,,,,,,,,,,,,,
SMD_1306,34,36,38,37,31,,,,,,,,,,,,,,,,,,,,,
SMD_1307,20,21,22,21,20,,,,,,,,,,,,,,,,,,,,,
SMD_1308,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_1309,184,198,232,218,207,,,,,,,,,,,,,,,,,,,,,
SMD_1310,75,86,71,69,80,,,,,,,,,,,,,,,,,,,,,
SMD_1311,48,46,41,48,51,,,,,,,,,,,,,,,,,,,,,
SMD_1312,11,13,13,20,13,,,,,,,,,,,,,,,,,,,,,
SMD_1313,6,4,5,7,7,,,,,,,,,,,,,,,,,,,,,
SMD_1314,11,11,11,8,12,,,,,,,,,,,,,,,,,,,,,
SMD_1315,17,17,12,17,25,,,,,,,,,,,,,,,,,,,,,
SMD_1316,15,16,24,19,18,,,,,,,,,,,,,,,,,,,,,
SMD_1317,11,9,14,14,16,,,,,,,,,,,,,,,,,,,,,
SMD_1318,89,83,96,100,80,,,,,,,,,,,,,,,,,,,,,
SMD_1319,19,10,19,24,17,,,,,,,,,,,,,,,,,,,,,
SMD_1320,36,40,37,31,29,,,,,,,,,,,,,,,,,,,,,
SMD_1321,407,332,463,458,375,,,,,,,,,,,,,,,,,,,,,
SMD_1322,168,151,177,176,163,,,,,,,,,,,,,,,,,,,,,
SMD_1323,184,193,196,182,174,,,,,,,,,,,,,,,,,,,,,
SMD_1324,76,53,69,80,76,,,,,,,,,,,,,,,,,,,,,
SMD_1325,174,152,186,194,189,,,,,,,,,,,,,,,,,,,,,
SMD_1326,341,310,370,372,370,,,,,,,,,,,,,,,,,,,,,
SMD_1327,495,527,570,504,460,,,,,,,,,,,,,,,,,,,,,
SMD_1328,285,230,301,331,301,,,,,,,,,,,,,,,,,,,,,
SMD_1329,482,506,521,477,419,,,,,,,,,,,,,,,,,,,,,
SMD_1330,120,104,121,118,112,,,,,,,,,,,,,,,,,,,,,
SMD_1331,142,105,154,165,142,,,,,,,,,,,,,,,,,,,,,
SMD_1332,275,219,299,276,250,,,,,,,,,,,,,,,,,,,,,
SMD_1333,307,208,301,332,284,,,,,,,,,,,,,,,,,,,,,
SMD_1334,1035,944,1144,991,858,,,,,,,,,,,,,,,,,,,,,
SMD_1335,276,243,372,364,257,,,,,,,,,,,,,,,,,,,,,
SMD_1336,126,112,107,134,155,,,,,,,,,,,,,,,,,,,,,
SMD_1337,1573,1432,1848,2016,1701,,,,,,,,,,,,,,,,,,,,,
SMD_1338,2647,2816,2998,2857,2208,,,,,,,,,,,,,,,,,,,,,
SMD_1339,4,3,2,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_1340,2,2,2,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_1341,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_1342,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_1343,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_1344,3,3,1,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_1345,437,456,501,450,446,,,,,,,,,,,,,,,,,,,,,
SMD_1346,122,102,122,124,117,,,,,,,,,,,,,,,,,,,,,
SMD_1347,213,224,249,224,219,,,,,,,,,,,,,,,,,,,,,
SMD_1348,74,63,81,84,73,,,,,,,,,,,,,,,,,,,,,
SMD_1349,110,133,121,102,105,,,,,,,,,,,,,,,,,,,,,
SMD_1350,53,47,46,54,67,,,,,,,,,,,,,,,,,,,,,
SMD_1351,16,12,15,14,14,,,,,,,,,,,,,,,,,,,,,
SMD_1352,22,23,26,35,30,,,,,,,,,,,,,,,,,,,,,
SMD_1353,9,8,10,15,11,,,,,,,,,,,,,,,,,,,,,
SMD_1354,13,13,11,14,14,,,,,,,,,,,,,,,,,,,,,
SMD_1355,386,563,232,175,275,,,,,,,,,,,,,,,,,,,,,
SMD_1356,281,281,297,288,283,,,,,,,,,,,,,,,,,,,,,
SMD_1357,15,16,14,18,22,,,,,,,,,,,,,,,,,,,,,
SMD_1358,19,19,19,18,20,,,,,,,,,,,,,,,,,,,,,
SMD_1359,23,19,23,28,29,,,,,,,,,,,,,,,,,,,,,
SMD_1360,40,45,44,52,45,,,,,,,,,,,,,,,,,,,,,
SMD_1361,51,53,57,55,50,,,,,,,,,,,,,,,,,,,,,
SMD_1362,15,14,16,18,15,,,,,,,,,,,,,,,,,,,,,
SMD_1363,8,8,9,8,9,,,,,,,,,,,,,,,,,,,,,
SMD_1364,3,2,4,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_1365,27,28,29,41,18,,,,,,,,,,,,,,,,,,,,,
SMD_1366,12,9,9,10,5,,,,,,,,,,,,,,,,,,,,,
SMD_1367,150,148,129,136,137,,,,,,,,,,,,,,,,,,,,,
SMD_1368,82,78,71,68,59,,,,,,,,,,,,,,,,,,,,,
SMD_1369,157,143,206,191,150,,,,,,,,,,,,,,,,,,,,,
SMD_1370,9,7,7,7,9,,,,,,,,,,,,,,,,,,,,,
SMD_1371,6,5,6,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_1372,6,6,5,7,7,,,,,,,,,,,,,,,,,,,,,
SMD_1373,82,78,68,81,86,,,,,,,,,,,,,,,,,,,,,
SMD_1374,21,15,18,20,20,,,,,,,,,,,,,,,,,,,,,
SMD_1375,222,238,259,213,246,,,,,,,,,,,,,,,,,,,,,
SMD_1376,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_1377,3,3,1,3,5,,,,,,,,,,,,,,,,,,,,,
SMD_1378,6,7,3,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_1379,24,21,20,25,28,,,,,,,,,,,,,,,,,,,,,
SMD_1380,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_1381,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_1382,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_1383,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_1384,3,3,3,3,6,,,,,,,,,,,,,,,,,,,,,
SMD_1385,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_1386,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_1387,51,55,51,54,50,,,,,,,,,,,,,,,,,,,,,
SMD_1388,36,27,22,43,38,,,,,,,,,,,,,,,,,,,,,
SMD_1389,98,83,91,99,111,,,,,,,,,,,,,,,,,,,,,
SMD_1390,934,1187,1001,996,1016,,,,,,,,,,,,,,,,,,,,,
SMD_1391,103,97,84,89,108,,,,,,,,,,,,,,,,,,,,,
SMD_1392,39,39,27,41,49,,,,,,,,,,,,,,,,,,,,,
SMD_1393,86,84,85,77,89,,,,,,,,,,,,,,,,,,,,,
SMD_1394,51,35,47,55,68,,,,,,,,,,,,,,,,,,,,,
SMD_1395,72,50,75,79,64,,,,,,,,,,,,,,,,,,,,,
SMD_1396,6,5,7,8,7,,,,,,,,,,,,,,,,,,,,,
SMD_1397,5,4,8,8,6,,,,,,,,,,,,,,,,,,,,,
SMD_1398,4,3,7,9,4,,,,,,,,,,,,,,,,,,,,,
SMD_1399,24,22,24,27,26,,,,,,,,,,,,,,,,,,,,,
SMD_1400,103,100,110,119,98,,,,,,,,,,,,,,,,,,,,,
SMD_1401,4,5,4,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_1402,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_1403,18,19,14,15,21,,,,,,,,,,,,,,,,,,,,,
SMD_1404,773,949,620,496,529,,,,,,,,,,,,,,,,,,,,,
SMD_1405,25,24,19,22,24,,,,,,,,,,,,,,,,,,,,,
SMD_1406,49,57,36,37,43,,,,,,,,,,,,,,,,,,,,,
SMD_1407,33,39,20,22,24,,,,,,,,,,,,,,,,,,,,,
SMD_1408,17,16,15,18,26,,,,,,,,,,,,,,,,,,,,,
SMD_1409,23,24,18,23,33,,,,,,,,,,,,,,,,,,,,,
SMD_1410,48,55,32,32,44,,,,,,,,,,,,,,,,,,,,,
SMD_1411,164,171,180,176,140,,,,,,,,,,,,,,,,,,,,,
SMD_1412,115,112,146,140,108,,,,,,,,,,,,,,,,,,,,,
SMD_1413,59,52,81,74,55,,,,,,,,,,,,,,,,,,,,,
SMD_1414,66,63,85,81,65,,,,,,,,,,,,,,,,,,,,,
SMD_1415,34,32,33,42,38,,,,,,,,,,,,,,,,,,,,,
SMD_1416,94,89,85,79,68,,,,,,,,,,,,,,,,,,,,,
SMD_1417,123,83,101,123,114,,,,,,,,,,,,,,,,,,,,,
SMD_1418,612,569,579,526,479,,,,,,,,,,,,,,,,,,,,,
