,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.1159,0,0,1,1,1,2,1
fig|6666666.230262.peg.116,20,5,8,5,15,21,13
fig|6666666.230262.peg.1160,7,5,17,6,16,26,11
fig|6666666.230262.peg.1161,12,14,38,17,32,35,38
fig|6666666.230262.peg.1162,2,0,1,3,2,2,1
fig|6666666.230262.peg.1163,1,0,2,2,1,2,1
fig|6666666.230262.peg.1164,4,5,5,1,2,6,7
fig|6666666.230262.peg.1165,48,38,88,58,101,173,131
fig|6666666.230262.peg.1166,199,205,391,239,411,558,428
fig|6666666.230262.peg.1167,728,482,780,389,915,1211,861
fig|6666666.230262.peg.1168,76,61,108,72,148,199,143
fig|6666666.230262.peg.117,8,11,8,4,15,19,16
fig|6666666.230262.peg.1170,625,431,776,471,772,1291,936
fig|6666666.230262.peg.1172,20,14,28,14,41,50,38
fig|6666666.230262.peg.1173,25,12,27,11,25,37,28
fig|6666666.230262.peg.1174,13,11,15,7,10,19,20
fig|6666666.230262.peg.1175,21,22,41,32,53,113,62
fig|6666666.230262.peg.1176,28,12,35,29,72,95,67
fig|6666666.230262.peg.1177,45,36,60,41,89,138,97
fig|6666666.230262.peg.1178,48,44,80,52,112,167,118
fig|6666666.230262.peg.1179,82,63,105,75,89,126,113
fig|6666666.230262.peg.118,26,21,38,23,35,57,39
fig|6666666.230262.peg.1180,57,43,54,41,85,99,64
fig|6666666.230262.peg.1181,10,4,17,9,15,15,18
fig|6666666.230262.peg.1182,26,23,34,30,48,72,50
fig|6666666.230262.peg.1183,104,62,143,89,190,239,160
fig|6666666.230262.peg.1184,155,91,219,131,288,429,292
fig|6666666.230262.peg.1185,19,16,37,22,44,70,61
fig|6666666.230262.peg.1186,118,100,125,92,187,250,168
fig|6666666.230262.peg.1187,175,124,217,132,252,330,230
fig|6666666.230262.peg.1188,53,49,111,63,133,190,109
fig|6666666.230262.peg.1189,14,5,31,19,27,42,28
fig|6666666.230262.peg.119,26,25,30,14,24,58,39
fig|6666666.230262.peg.1190,21,16,25,12,31,42,38
fig|6666666.230262.peg.1191,28,21,58,28,79,78,50
fig|6666666.230262.peg.1192,65,50,117,66,134,210,149
fig|6666666.230262.peg.1193,63,53,81,74,116,129,124
fig|6666666.230262.peg.1194,536,379,609,392,630,894,738
fig|6666666.230262.peg.1195,121,95,105,74,111,154,136
fig|6666666.230262.peg.1196,19,20,35,24,46,85,63
fig|6666666.230262.peg.1197,123,116,231,127,265,361,279
fig|6666666.230262.peg.1198,79,51,102,62,126,180,128
fig|6666666.230262.peg.1199,29,19,39,23,41,54,49
fig|6666666.230262.peg.12,13,9,33,17,34,60,30
fig|6666666.230262.peg.120,69,45,71,40,74,110,80
fig|6666666.230262.peg.1200,127,79,120,102,138,217,158
fig|6666666.230262.peg.1201,100,96,150,96,211,256,206
fig|6666666.230262.peg.1202,290,191,211,132,220,291,215
fig|6666666.230262.peg.1203,68,53,77,66,86,167,128
fig|6666666.230262.peg.1204,17,21,28,10,34,80,42
fig|6666666.230262.peg.1205,29,28,46,29,39,85,48
fig|6666666.230262.peg.1206,42,23,70,44,111,154,109
fig|6666666.230262.peg.1207,259,185,378,243,401,603,375
fig|6666666.230262.peg.1208,72,52,111,79,102,171,135
fig|6666666.230262.peg.1209,123,65,121,76,155,196,158
fig|6666666.230262.peg.121,90,60,95,63,67,104,99
fig|6666666.230262.peg.1210,126,100,233,165,284,389,284
fig|6666666.230262.peg.1211,138,116,105,77,140,228,143
fig|6666666.230262.peg.1212,27,16,45,17,51,86,57
fig|6666666.230262.peg.1213,14,8,29,8,27,50,28
fig|6666666.230262.peg.1214,45,28,102,52,99,142,128
fig|6666666.230262.peg.1215,198,146,279,178,281,447,374
fig|6666666.230262.peg.1216,2,1,5,5,5,10,3
fig|6666666.230262.peg.1217,2,1,5,7,6,13,8
fig|6666666.230262.peg.1218,7,6,15,9,16,26,13
fig|6666666.230262.peg.1219,0,0,0,0,5,7,5
fig|6666666.230262.peg.122,0,2,2,1,0,4,2
fig|6666666.230262.peg.1220,11,11,17,17,24,27,26
fig|6666666.230262.peg.1221,162,133,245,186,232,355,272
fig|6666666.230262.peg.1222,74,54,133,86,153,273,200
fig|6666666.230262.peg.1223,3,3,11,8,17,24,14
fig|6666666.230262.peg.1224,5,1,2,2,1,11,7
fig|6666666.230262.peg.1225,1,0,0,1,4,2,3
fig|6666666.230262.peg.1226,567,473,660,424,661,771,542
fig|6666666.230262.peg.1227,145,97,200,130,239,332,268
fig|6666666.230262.peg.1228,9,6,10,1,14,16,9
fig|6666666.230262.peg.1229,2102,1544,1589,969,1601,1832,1402
fig|6666666.230262.peg.123,2,1,2,2,2,2,4
fig|6666666.230262.peg.1230,332,282,269,195,303,419,368
fig|6666666.230262.peg.1231,482,292,771,510,988,1408,1029
fig|6666666.230262.peg.1232,306,196,131,72,137,271,235
fig|6666666.230262.peg.1233,176,109,253,141,302,974,686
fig|6666666.230262.peg.1234,167,128,107,72,127,262,200
fig|6666666.230262.peg.1235,13,4,7,2,15,16,14
fig|6666666.230262.peg.1236,301,190,280,159,318,467,340
fig|6666666.230262.peg.1237,359,236,337,189,464,648,403
fig|6666666.230262.peg.1238,52,30,56,37,77,111,79
fig|6666666.230262.peg.1239,122,74,219,123,198,284,195
fig|6666666.230262.peg.124,2,0,2,0,3,3,3
fig|6666666.230262.peg.1240,148,130,274,144,276,400,289
fig|6666666.230262.peg.1241,300,205,502,291,656,714,458
fig|6666666.230262.peg.1242,134,108,311,181,261,497,394
fig|6666666.230262.peg.1243,33,25,66,40,95,90,77
fig|6666666.230262.peg.1244,301,224,372,235,451,645,489
fig|6666666.230262.peg.1245,77,61,93,61,110,211,153
fig|6666666.230262.peg.1246,122,91,211,125,216,320,256
fig|6666666.230262.peg.1247,44,52,40,31,40,93,72
fig|6666666.230262.peg.1248,132,101,170,90,166,190,143
fig|6666666.230262.peg.1249,189,129,266,157,313,438,372
fig|6666666.230262.peg.125,0,0,0,0,1,0,0
fig|6666666.230262.peg.1250,199,184,240,135,254,433,276
fig|6666666.230262.peg.1251,30,18,44,18,39,103,58
fig|6666666.230262.peg.1252,1,0,0,0,0,0,0
fig|6666666.230262.peg.1253,62,40,70,24,84,102,113
fig|6666666.230262.peg.1254,114,82,155,89,142,271,205
fig|6666666.230262.peg.1255,32,12,31,17,36,66,41
fig|6666666.230262.peg.1256,42,24,56,25,52,110,65
fig|6666666.230262.peg.1257,161,161,237,134,255,383,301
fig|6666666.230262.peg.1258,121,90,121,88,159,204,155
fig|6666666.230262.peg.1259,28,18,24,17,22,41,35
fig|6666666.230262.peg.126,1,1,2,1,0,1,0
fig|6666666.230262.peg.1260,66,54,88,49,95,129,88
fig|6666666.230262.peg.1261,44,29,63,31,89,118,88
fig|6666666.230262.peg.1262,7,2,8,7,7,12,12
fig|6666666.230262.peg.1263,72,64,134,70,149,215,155
fig|6666666.230262.peg.1264,200,141,175,117,221,367,261
fig|6666666.230262.peg.1265,193,160,305,164,346,397,343
fig|6666666.230262.peg.1266,170,134,259,175,320,460,330
fig|6666666.230262.peg.1267,29,22,68,34,75,82,64
fig|6666666.230262.peg.1268,14,11,11,10,19,24,21
