,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS02110,1114,1045,1817,1718,593,478,1235,399,1123,988,1549,1473
SMLT_RS02115,150,134,213,285,115,108,312,150,572,550,405,383
SMLT_RS02120,557,647,833,807,958,761,679,430,905,828,806,787
SMLT_RS02125,199,182,225,222,166,127,112,62,265,222,260,266
SMLT_RS02130,1137,1047,1985,2158,1555,1424,1988,1177,1826,1733,2187,2110
SMLT_RS02135,357,477,618,638,1262,779,483,160,562,556,458,504
SMLT_RS02140,2542,2408,3666,3675,1756,1353,2288,1111,1832,1693,3091,3257
SMLT_RS02145,18027,16826,37936,32367,11770,9162,22796,12322,6180,7777,29288,24376
SMLT_RS02150,1391,1511,2034,2426,1488,1287,1604,1110,1700,1718,1658,1700
SMLT_RS02155,98,122,101,118,5,3,6,3,133,162,134,106
SMLT_RS02160,1252,1381,1499,1572,1188,953,830,755,844,981,970,960
SMLT_RS02165,983,1175,1891,1963,1200,955,841,470,991,997,1260,1117
SMLT_RS02170,2117,2219,1524,1605,2402,2060,1509,696,1780,1620,1290,1352
SMLT_RS02180,1304,1554,900,972,2525,1886,556,358,1201,928,305,298
SMLT_RS02185,255,306,115,115,605,619,207,92,593,518,206,204
SMLT_RS02190,566,772,1377,777,2122,1001,80,61,56,69,25,28
SMLT_RS02195,507,533,227,278,461,421,127,67,571,543,252,267
SMLT_RS02200,706,757,351,375,684,681,181,120,955,862,376,348
SMLT_RS02205,535,576,358,348,446,405,174,84,647,529,323,334
SMLT_RS02210,1059,1164,619,673,1050,934,331,275,999,846,434,393
SMLT_RS02215,1924,1924,621,848,1646,1339,508,460,1894,1448,429,449
SMLT_RS02225,3801,3881,584,872,2863,2768,400,295,5055,2710,1696,2187
SMLT_RS02230,770,858,182,275,688,701,141,84,1251,839,420,545
SMLT_RS02240,174,157,76,76,247,253,204,69,457,426,131,119
SMLT_RS02245,313,332,145,147,139,90,90,18,187,193,167,137
SMLT_RS02255,4342,4802,3051,3742,3843,3136,2826,1617,2941,2795,3279,2500
SMLT_RS02260,455,523,361,429,454,368,346,162,416,430,392,364
SMLT_RS02265,4397,5107,3876,4725,3571,3285,2656,1772,3110,2335,3086,2592
SMLT_RS02270,4224,5298,7384,8775,3488,2665,6292,3402,4580,4325,6698,6892
SMLT_RS02275,807,871,765,842,975,929,609,369,1049,944,754,822
SMLT_RS02280,179,211,334,294,129,116,234,99,156,172,181,133
SMLT_RS02285,322,302,178,285,798,763,234,346,968,945,237,239
SMLT_RS02290,164,172,104,92,421,416,94,75,484,401,95,91
SMLT_RS02295,553,576,306,354,519,414,227,123,1503,1501,412,406
SMLT_RS02300,108,240,63,55,153,113,30,15,242,208,72,75
SMLT_RS02305,221,237,198,141,377,365,149,117,366,423,194,243
SMLT_RS02310,1095,1286,392,388,1952,1478,431,311,2090,1196,259,492
SMLT_RS02315,5833,6677,2348,2523,9757,7938,2319,1315,8951,5829,1713,2486
SMLT_RS02320,69,52,84,99,27,32,75,41,62,92,140,119
SMLT_RS02325,36,28,34,32,263,240,217,250,233,319,94,86
SMLT_RS02330,200,164,250,369,174,115,121,58,242,213,233,238
SMLT_RS02335,147,124,145,224,135,108,112,43,214,231,185,221
SMLT_RS02340,41485,44751,41124,40734,35713,28949,35698,23640,40872,33101,41107,41031
SMLT_RS02365,173,157,57,91,102,101,124,73,240,249,132,158
SMLT_RS02370,36,26,72,62,18,21,25,22,128,160,192,199
