,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS12020,340,372,216,200,120,107,51,44,334,288,140,90
SMLT_RS12030,173,155,80,60,173,192,140,60,165,200,54,75
SMLT_RS22755,8,11,3,5,36,27,3,0,18,13,4,8
SMLT_RS12040,193,215,84,54,70,98,36,21,113,142,63,69
SMLT_RS12095,759,992,1373,905,678,510,177,80,151,153,31,40
SMLT_RS12100,48,60,154,120,214,129,15,10,36,45,8,16
SMLT_RS12105,78,91,198,176,278,174,80,19,138,155,43,39
SMLT_RS12110,39,42,97,98,204,142,15,16,23,31,8,8
SMLT_RS12115,1055,1304,787,449,2160,1547,209,238,568,514,106,114
SMLT_RS12120,118,172,140,182,671,472,72,53,57,75,23,29
SMLT_RS12125,164,249,218,279,1612,961,129,128,72,67,13,26
SMLT_RS12135,65,55,125,103,330,176,20,8,37,50,14,8
SMLT_RS12140,2,7,9,3,13,18,4,1,15,17,0,3
SMLT_RS12145,51,79,144,143,222,97,5,8,26,35,1,9
SMLT_RS12150,49,72,132,150,231,141,5,4,30,41,5,2
SMLT_RS12155,46,50,94,108,172,140,10,5,22,45,7,7
SMLT_RS12160,61,60,87,95,288,204,8,8,75,93,22,18
SMLT_RS12165,55,68,49,44,59,39,10,8,49,64,26,15
SMLT_RS12170,341,309,213,236,949,564,134,73,393,437,129,132
SMLT_RS12175,262,334,131,98,1262,620,32,8,96,91,10,24
SMLT_RS12185,97,110,46,69,417,232,59,36,124,158,43,38
SMLT_RS22765,381,465,241,187,1905,989,103,61,245,207,82,76
SMLT_RS12195,765,689,1001,1807,682,682,1657,802,832,728,1102,941
SMLT_RS12205,269,256,372,490,304,289,181,166,374,281,464,494
SMLT_RS12210,530,535,797,907,582,659,399,262,567,471,833,816
SMLT_RS12215,149,188,354,399,125,120,122,94,175,188,386,439
SMLT_RS12225,391,413,126,148,439,429,212,103,470,496,105,132
SMLT_RS12240,6590,10657,7499,9880,24429,21405,13390,8073,42158,30155,7652,7563
SMLT_RS12260,335,419,474,564,455,492,456,274,655,568,385,301
SMLT_RS12265,20,15,5,5,24,22,11,12,50,48,7,7
SMLT_RS12270,141,185,30,40,297,251,61,31,244,178,42,36
SMLT_RS12275,394,435,89,110,696,689,146,160,667,481,82,72
SMLT_RS12285,97,113,35,26,148,139,55,14,210,222,42,41
SMLT_RS12290,556,737,450,484,794,585,467,285,588,542,385,382
SMLT_RS12295,1743,2069,1461,1886,3282,3024,925,715,1578,1594,786,832
SMLT_RS12305,133,95,54,64,145,152,77,46,159,173,45,58
SMLT_RS12310,51,55,23,34,88,75,30,19,102,99,36,38
SMLT_RS12315,340,393,538,877,322,347,546,389,484,550,564,534
SMLT_RS12320,943,964,1399,2015,928,791,2494,1000,1280,1256,1317,1277
SMLT_RS12325,4330,3746,267,343,455,565,470,188,536,3001,171,295
SMLT_RS12330,31386,30914,1655,2077,2229,2104,1216,1205,2799,20294,981,1385
SMLT_RS12335,24979,24673,1243,1431,1793,1891,775,597,2389,16961,979,1321
SMLT_RS12340,279,262,189,251,231,259,250,169,493,683,229,206
SMLT_RS12345,241,201,128,139,205,215,128,73,350,307,159,127
SMLT_RS12350,63,59,14,19,57,51,27,10,129,131,33,27
SMLT_RS12360,247,213,135,163,196,243,150,114,545,480,164,170
SMLT_RS12365,61,89,29,56,56,70,37,17,166,136,35,47
SMLT_RS12370,117,118,135,116,147,161,115,71,309,361,149,154
SMLT_RS12375,268,211,127,135,372,432,341,159,638,648,228,205
SMLT_RS12380,143,186,103,133,237,209,155,127,382,365,116,132
SMLT_RS12385,343,341,211,280,160,166,101,72,740,668,257,230
SMLT_RS12390,989,994,908,1159,952,1077,1162,656,3499,2926,1397,1288
SMLT_RS12395,1229,1228,1118,1368,1392,1315,1927,932,2059,2115,1312,1290
SMLT_RS12410,422,469,191,236,401,366,95,69,557,464,151,160
SMLT_RS12415,164,222,77,99,160,140,37,16,297,257,77,63
SMLT_RS12420,180,254,106,133,182,196,59,52,323,248,100,108
SMLT_RS12425,535,577,243,260,375,376,121,83,965,775,206,229
SMLT_RS12430,221,241,88,94,96,117,29,22,401,341,74,69
SMLT_RS12435,997,784,463,587,730,587,618,244,1101,1191,593,475
SMLT_RS12445,1737,1822,668,954,2142,1862,451,346,1350,994,529,407
SMLT_RS12455,1298,1195,2175,2463,1390,1379,1004,890,1574,1785,1882,1640
SMLT_RS12460,107,101,46,66,94,74,44,18,123,116,32,34
SMLT_RS12465,483,456,245,278,333,325,133,88,586,507,122,145
SMLT_RS12470,218,202,146,212,230,273,149,115,450,377,143,109
SMLT_RS12480,61,66,18,32,26,21,6,4,98,109,38,29
SMLT_RS12485,55,54,35,46,38,22,37,20,120,102,29,37
SMLT_RS12490,91,75,49,58,20,33,18,15,119,130,32,33
SMLT_RS12495,22,21,9,18,18,13,10,6,55,40,7,11
SMLT_RS12500,270,166,180,178,217,178,77,25,817,835,256,264
SMLT_RS12510,187,171,18,18,108,84,19,24,230,154,54,50
SMLT_RS12515,695,622,67,84,299,265,58,18,874,604,242,182
SMLT_RS12520,43,35,4,8,20,14,9,7,45,48,12,9
SMLT_RS12530,110,112,21,19,53,60,21,14,175,129,29,26
SMLT_RS12535,5225,6573,2595,2977,9604,9335,2802,2429,9536,8137,2171,2128
SMLT_RS12540,1502,2117,1598,1819,4078,4122,1869,1595,3770,3356,1623,1484
SMLT_RS12545,376,491,416,414,852,871,349,290,813,781,353,268
SMLT_RS12555,85,115,125,150,381,255,37,37,92,80,28,31
SMLT_RS12570,350,410,200,271,3765,2272,304,129,338,320,76,82
SMLT_RS12575,55,49,17,32,493,301,33,13,76,85,22,24
SMLT_RS12580,91,69,31,43,224,106,67,34,137,172,45,42
SMLT_RS12585,87,103,29,46,376,227,17,16,137,166,20,19
SMLT_RS12590,51,75,16,22,447,214,13,8,25,21,3,3
SMLT_RS12595,40,61,40,26,331,146,6,9,25,16,2,5
SMLT_RS12600,82,94,56,44,179,103,21,11,123,111,14,12
SMLT_RS12605,67,70,20,24,152,224,44,20,391,499,56,108
SMLT_RS12620,110,184,10,17,497,679,58,32,517,636,139,246
SMLT_RS12625,103,145,20,15,368,481,31,11,590,757,178,241
SMLT_RS12630,16,12,4,6,32,29,9,1,81,85,48,29
SMLT_RS12635,560,662,588,622,429,327,281,158,1948,1931,793,659
SMLT_RS12645,94,76,131,130,124,139,83,52,342,366,139,165
SMLT_RS12650,129,195,77,122,577,492,386,90,735,806,226,113
SMLT_RS12660,157,1265,2,18,1653,1053,348,1,5638,5261,588,11
SMLT_RS12665,1624,10977,32,453,25265,14070,7559,30,63639,61309,22948,62
SMLT_RS12670,305,2118,8,78,3369,2107,873,4,13233,14278,4957,29
SMLT_RS12675,791,1686,406,438,1772,1344,422,112,5077,5258,1911,380
SMLT_RS12680,560,1076,324,438,1876,1475,352,111,2981,3260,1288,257
SMLT_RS12685,187,421,78,128,138,118,28,4,1237,1330,456,93
SMLT_RS12700,303,343,96,113,257,234,47,17,481,396,78,79
SMLT_RS12710,39,60,34,24,80,54,39,19,66,73,21,48
SMLT_RS12715,17,34,18,29,57,65,30,9,38,43,15,38
SMLT_RS12720,84,61,51,37,104,97,94,55,178,174,71,132
SMLT_RS12725,278,291,91,114,639,632,105,66,357,340,120,137
SMLT_RS12730,292,270,187,200,183,120,60,29,278,292,234,207
SMLT_RS22780,425,344,188,168,139,96,68,34,440,446,265,243
SMLT_RS12740,1604,1670,1337,1658,3566,2776,1105,768,1459,1233,949,942
SMLT_RS12745,650,592,324,383,539,585,517,328,1026,1040,426,481
SMLT_RS12750,41,54,22,28,32,22,32,8,145,155,43,91
SMLT_RS12755,180,131,150,192,197,163,117,84,326,353,166,157
SMLT_RS12760,268,279,589,611,384,326,1181,376,878,1053,1493,1393
SMLT_RS12765,31,24,96,70,39,25,56,43,1681,1673,3976,3376
SMLT_RS12770,30,32,18,21,24,16,8,3,51,67,21,29
SMLT_RS12775,50,56,47,51,103,92,48,26,87,121,34,61
SMLT_RS12790,108,94,43,51,64,53,49,30,231,231,81,79
SMLT_RS12795,73,53,36,49,50,33,27,7,103,129,39,49
SMLT_RS12805,382,426,266,405,467,354,238,170,622,557,262,308
SMLT_RS12810,135,176,47,66,157,139,81,21,154,117,98,75
SMLT_RS12815,239,214,93,92,91,91,37,25,360,333,134,108
SMLT_RS12820,113,136,48,69,77,49,28,12,275,210,101,93
SMLT_RS12825,33,33,24,21,29,20,21,2,83,79,27,28
SMLT_RS12830,90,76,23,23,43,60,19,5,146,100,22,36
SMLT_RS12835,137,124,31,36,62,81,50,16,193,188,34,37
SMLT_RS12840,212,200,81,109,171,184,152,59,342,317,124,144
SMLT_RS12845,157,181,90,105,131,145,90,39,327,325,74,87
SMLT_RS12850,301,311,391,434,344,284,363,249,638,642,331,320
SMLT_RS12855,124,100,25,57,211,239,52,29,147,179,34,33
SMLT_RS12860,251,302,46,72,88,116,39,15,898,892,104,104
SMLT_RS12865,111,133,5,6,41,64,7,1,374,289,5,9
SMLT_RS12870,111,122,8,7,65,63,16,6,284,240,9,14
SMLT_RS12875,504,467,203,247,351,374,166,85,479,498,142,134
SMLT_RS12880,807,906,451,468,530,586,384,273,1097,1163,297,297
SMLT_RS12885,2387,2601,4692,5975,3774,2874,3265,1720,2150,1622,2490,2084
SMLT_RS12890,614,803,666,568,3198,1574,157,151,223,232,48,43
SMLT_RS12895,826,1203,1239,918,5690,2521,281,177,297,300,90,66
SMLT_RS12905,700,654,408,337,881,719,550,243,1724,1682,451,502
SMLT_RS12910,142,121,122,161,229,210,216,95,361,360,165,220
SMLT_RS12915,285,254,232,280,467,327,295,119,533,588,231,271
SMLT_RS12925,332,362,546,481,2380,1438,435,216,245,328,101,95
SMLT_RS12935,75,74,37,36,159,172,102,45,175,153,44,55
SMLT_RS12940,185,162,23,42,207,228,58,18,1103,1253,214,273
SMLT_RS12960,64,56,42,45,134,123,86,52,91,84,42,36
SMLT_RS12965,319,356,215,243,775,650,553,357,436,372,222,217
SMLT_RS12970,286,320,188,228,562,468,373,233,388,347,169,188
SMLT_RS12980,1,6,1,6,11,17,3,1,552,657,25,6
SMLT_RS12995,24,30,15,19,52,43,23,14,1793,1877,87,29
SMLT_RS13000,56,46,29,27,109,167,49,24,4103,4167,287,35
SMLT_RS13020,26,41,19,13,44,42,12,11,344,569,47,25
SMLT_RS13025,12,3,5,9,10,8,4,0,201,244,13,7
SMLT_RS13030,9,10,2,6,20,15,13,2,261,324,14,20
SMLT_RS13035,144,143,61,48,192,185,119,41,407,419,117,102
SMLT_RS13040,1048,937,376,511,1009,1400,567,339,47417,49246,1648,926
SMLT_RS13045,176,171,60,59,111,142,50,17,2120,2066,111,28
SMLT_RS13050,14,19,12,13,14,15,8,5,279,325,22,20
SMLT_RS13055,42,44,40,45,51,51,27,18,856,1039,73,45
SMLT_RS13060,52,45,33,28,71,71,34,22,1016,1260,86,68
SMLT_RS13065,5,5,3,6,1,6,4,1,154,190,21,3
SMLT_RS13070,28,29,12,26,19,33,18,10,889,1061,41,22
SMLT_RS13075,23,20,8,7,20,27,17,9,371,532,33,34
SMLT_RS13080,28,22,22,13,28,29,38,14,334,461,33,19
SMLT_RS13085,6,10,5,2,6,17,5,0,139,217,22,15
SMLT_RS13090,11,6,1,15,24,26,11,1,119,195,27,14
SMLT_RS13095,202,180,98,113,139,137,64,43,2019,2257,249,126
SMLT_RS13100,13,19,4,10,18,33,9,3,1707,1762,88,13
SMLT_RS13105,10,20,5,4,29,40,21,4,1680,2073,128,6
SMLT_RS13110,241,226,242,305,239,158,287,114,286,283,220,157
SMLT_RS13115,3149,4361,94,94,2700,2418,77,38,3712,3812,100,129
SMLT_RS13120,1386,1838,45,45,1755,1443,55,18,1654,1606,50,42
SMLT_RS13125,620,1055,2766,2534,656,639,354,406,469,434,254,315
SMLT_RS13130,659,1152,2624,2660,689,623,283,375,521,522,227,250
SMLT_RS13135,366,587,1422,1441,373,319,185,190,183,244,120,121
SMLT_RS13140,406,647,2132,2084,451,404,255,260,238,280,178,196
SMLT_RS13145,697,1044,3267,3450,1151,913,577,523,417,382,262,262
SMLT_RS13150,465,558,2065,2268,1148,951,649,750,261,255,166,207
SMLT_RS13155,86,64,82834,93324,28,39,59212,14084,139,43,33774,35225
SMLT_RS13160,82,99,88023,101214,43,45,41974,18955,240,82,41697,43127
SMLT_RS13165,255,286,1520,1641,281,246,1168,805,547,502,962,786
SMLT_RS13170,781,872,6196,5958,434,402,1961,1406,1671,1368,3446,3431
SMLT_RS13175,946,1000,6117,5857,926,862,3318,2545,2094,1395,3397,3228
SMLT_RS13180,871,917,9720,9295,1128,824,6811,3704,2836,1567,6674,5917
SMLT_RS13190,1369,1499,28151,26947,1940,1561,32850,16144,1582,930,19523,15318
SMLT_RS13195,2731,3147,41629,39953,3805,2775,48424,27710,3263,1693,28463,23742
SMLT_RS13200,1541,1691,23840,23191,1654,1217,21183,7981,1666,779,15402,12675
SMLT_RS13210,5756,6147,108017,111319,8934,5666,125054,78558,8258,3877,68400,58320
SMLT_RS13215,7604,7777,230213,224166,16116,7919,214962,128711,20029,9786,126039,111258
SMLT_RS13220,690,613,27228,29754,1676,720,24774,9351,4861,2016,14956,10885
SMLT_RS13225,899,687,3205,2611,1108,907,2287,1413,867,849,1715,1631
SMLT_RS13230,241,253,2735,2715,385,300,1806,898,350,356,1315,1329
SMLT_RS13235,840,945,8995,9882,1835,1278,7102,5132,1646,1539,3753,4604
SMLT_RS13245,1040,1131,16585,16365,1637,1351,7893,5370,2809,2037,8156,8803
SMLT_RS13255,2017,1962,21834,23042,3307,2583,13729,7388,5291,3006,11395,10463
SMLT_RS13260,579,746,3078,3020,1311,1038,2495,1682,791,688,2044,1870
SMLT_RS13265,3284,2630,1213,1181,3345,2700,1183,481,2552,1969,725,655
SMLT_RS13295,279,285,72,109,837,1015,167,138,321,309,74,66
SMLT_RS13300,80,107,187,213,129,107,266,63,76,97,101,116
SMLT_RS13315,54,60,44,51,53,35,39,20,100,104,41,58
SMLT_RS13320,52,70,49,41,71,61,60,33,105,123,47,60
SMLT_RS13325,6974,5988,2584,2930,3991,2797,876,460,3010,2434,961,673
SMLT_RS13330,3729,4135,1098,1444,4072,3186,1243,716,2975,2404,766,518
SMLT_RS13335,368,441,185,276,425,394,236,119,678,531,184,186
SMLT_RS13340,76,103,76,85,163,172,106,57,202,210,109,97
SMLT_RS13345,348,575,36,55,63,98,55,18,290,306,27,20
SMLT_RS13350,192,251,19,33,38,76,41,17,217,260,33,28
SMLT_RS13355,1297,1399,2453,2814,793,602,956,805,766,681,2034,2099
SMLT_RS13365,898,1173,2672,2461,1329,1149,1877,1303,625,663,2183,2496
SMLT_RS13370,336,438,764,761,196,199,394,278,314,344,923,1045
SMLT_RS13375,65,71,116,98,61,46,79,29,65,59,179,156
SMLT_RS13395,15,14,5,7,23,19,15,7,44,34,17,14
SMLT_RS13400,68,67,52,66,100,106,44,37,221,224,56,92
SMLT_RS13410,5,2,3,7,15,16,8,7,18,22,5,10
SMLT_RS13415,17,8,12,11,20,21,13,9,28,25,10,24
SMLT_RS13420,9,16,6,17,11,5,7,5,35,26,6,15
SMLT_RS13425,18,15,6,6,21,19,6,5,43,26,12,22
SMLT_RS13430,8,17,11,5,26,30,17,1,11,9,11,18
SMLT_RS13435,328,377,212,414,435,412,371,374,507,517,162,159
SMLT_RS13440,127,123,69,81,102,106,124,30,199,195,85,88
SMLT_RS13450,87,88,83,121,46,73,276,56,241,339,113,79
SMLT_RS13455,15,18,26,41,11,11,45,12,82,141,26,29
SMLT_RS13460,2,4,14,6,6,8,13,3,49,47,10,7
SMLT_RS13465,32214,36907,1722,775,16125,14682,1868,1740,11770,8861,2023,1253
SMLT_RS13470,13707,15577,995,445,6477,6083,615,270,5596,4711,1117,1026
SMLT_RS13475,2061,2352,425,273,886,746,258,146,1615,1377,519,567
SMLT_RS13480,1428,1592,618,788,1865,1354,360,314,1729,1460,577,542
SMLT_RS13490,7,20,35,9,13,17,11,13,31,36,8,49
SMLT_RS13495,534,524,541,523,446,353,619,278,797,875,484,521
SMLT_RS13500,92,135,295,227,112,88,286,91,171,157,72,232
SMLT_RS13505,134,125,455,577,157,139,886,647,337,344,800,634
SMLT_RS13510,193,161,762,779,206,167,1080,673,454,466,1148,885
SMLT_RS13515,415,368,1751,2061,471,433,3013,999,904,689,2269,2066
SMLT_RS13525,196,202,238,325,694,533,257,218,401,401,289,193
SMLT_RS13530,148,166,48,50,95,90,63,18,370,384,111,122
SMLT_RS13535,1405,1686,2715,2634,1594,1122,1482,1093,1133,1169,811,725
SMLT_RS13540,490,418,216,199,403,363,193,112,553,656,265,180
SMLT_RS13550,20,25,10,14,36,25,24,11,18,27,13,9
SMLT_RS13555,44,31,26,25,33,30,23,12,59,70,16,27
SMLT_RS13560,11,10,4758,3776,3,8,738,889,13,22,2069,1543
SMLT_RS13565,18,17,6087,5095,8,12,2139,2031,11,14,2730,1809
SMLT_RS13570,123,172,457,492,87,77,150,81,177,190,325,298
SMLT_RS13575,1642,2145,2218,2633,2070,1950,1623,1390,1514,1377,1490,1623
SMLT_RS13590,144,123,93,96,82,105,50,10,329,355,143,134
SMLT_RS13600,191,223,145,138,212,168,72,53,230,229,85,120
SMLT_RS13605,5,6,1,3,10,17,1,4,25,7,3,0
SMLT_RS13615,191,206,73,104,437,441,101,78,511,549,100,145
SMLT_RS13630,1904,1601,235,292,6168,4360,509,341,207,139,44,31
SMLT_RS13640,195,174,31,47,842,699,56,31,41,42,15,7
SMLT_RS13645,430,467,83,139,1539,1147,113,88,119,73,26,29
SMLT_RS13660,838,1029,221,258,3228,2513,264,231,200,158,88,77
SMLT_RS13670,478,571,133,129,1231,1002,119,105,153,146,65,53
SMLT_RS13675,413,511,71,125,1697,1440,63,107,150,117,41,51
SMLT_RS13690,1896,2106,2473,2892,2771,2352,2282,1209,5207,3682,5251,5446
SMLT_RS13700,214,170,36,45,1171,937,45,23,170,91,97,89
SMLT_RS13710,104,113,46,43,709,619,21,6,289,264,86,88
SMLT_RS13720,27,24,8,19,473,438,4,1,43,40,9,15
SMLT_RS13725,123,108,26,27,1463,1213,31,11,118,142,35,27
SMLT_RS13730,50,44,3,7,601,503,2,0,30,30,1,1
SMLT_RS13735,1,0,1,1,16,12,1,0,3,2,0,0
SMLT_RS13740,356,360,209,244,686,596,316,179,580,543,332,316
SMLT_RS13745,279,285,125,187,468,442,134,160,396,335,124,148
SMLT_RS13750,132,126,124,99,50,45,21,19,401,398,127,136
SMLT_RS13765,114,100,125,143,174,140,119,81,170,157,143,132
SMLT_RS13770,149,155,160,196,320,201,318,185,429,373,212,185
SMLT_RS13775,44,32,18,18,29,26,26,20,57,69,15,29
SMLT_RS13780,87,80,101,94,99,100,73,70,153,149,109,121
SMLT_RS13785,570,619,734,723,598,400,609,203,1060,857,623,850
SMLT_RS13795,155,154,88,114,127,155,113,42,314,311,299,131
SMLT_RS13805,321,324,250,371,234,235,251,85,475,510,286,307
SMLT_RS13820,884,1215,578,669,711,702,336,199,2126,1950,652,722
SMLT_RS13825,5685,8748,4502,5083,5186,4890,2462,1280,15303,14001,4244,4593
SMLT_RS13830,5438,8684,4883,5202,4490,4064,2209,1254,14285,12751,3940,4291
SMLT_RS13835,5295,8353,4111,4148,4627,3754,2076,1222,14924,13905,3716,4514
SMLT_RS13840,8581,14447,6507,6061,12147,9926,5034,2443,27459,29287,6936,7187
SMLT_RS13845,82,111,159,161,404,205,32,13,75,71,22,30
SMLT_RS13850,485,622,937,871,1515,1012,258,291,234,243,66,79
SMLT_RS13855,163,162,179,198,307,227,285,139,118,139,113,131
SMLT_RS13865,13,15,8,13,5,2,2,1,39,45,8,16
SMLT_RS13870,23,35,13,27,25,30,17,16,95,105,29,32
SMLT_RS13875,132,134,79,112,118,89,102,71,113,110,72,73
SMLT_RS13885,71,63,49,38,118,66,59,25,97,95,51,31
SMLT_RS13900,158,157,141,178,133,153,102,75,262,270,195,201
SMLT_RS13905,4,8,1,1,7,5,7,3,21,16,7,8
SMLT_RS13910,43,59,28,32,41,47,32,8,88,77,38,37
SMLT_RS13915,97,110,70,88,62,60,29,27,306,310,92,118
SMLT_RS13920,215,254,208,224,173,156,77,49,762,737,297,336
SMLT_RS13925,382,360,305,360,170,145,99,54,1198,1132,577,573
SMLT_RS13930,208,176,94,86,247,193,195,69,743,825,213,216
SMLT_RS13935,113,143,143,140,128,116,89,73,267,265,181,220
SMLT_RS13940,187,231,345,435,345,320,724,411,132,94,348,668
SMLT_RS13945,85,86,170,209,129,118,288,116,46,35,175,255
SMLT_RS13950,54,48,81,103,57,55,167,55,28,27,102,139
SMLT_RS13960,1,3,2,0,11,4,0,1,3,7,1,4
SMLT_RS13965,2,2,0,0,9,4,14,7,5,13,3,3
SMLT_RS13975,26,32,8,17,14,10,19,10,77,74,27,34
SMLT_RS13985,31,42,308,395,101,74,1728,1079,322,364,627,578
SMLT_RS13990,439,697,4410,4747,3146,1620,14798,9468,989,606,5599,4778
SMLT_RS13995,3346,4515,40555,39026,28780,13362,130055,76523,8441,4972,44851,37802
SMLT_RS14005,411,479,7056,9797,4406,2018,10725,8428,6449,3255,5128,3804
SMLT_RS14015,298,312,301,299,1069,861,850,393,519,476,323,288
SMLT_RS14025,312,306,222,253,667,520,370,142,426,398,224,222
SMLT_RS14060,1016,863,789,705,1347,1072,835,586,2262,2478,1742,1729
SMLT_RS14065,601,593,230,229,669,547,343,133,578,495,261,261
SMLT_RS14070,627,499,302,340,895,822,584,431,576,675,408,354
SMLT_RS14085,5287,4767,390,749,2360,1467,357,226,637,539,260,291
SMLT_RS14100,79,81,33,42,47,37,28,16,91,70,59,29
SMLT_RS22810,129,111,152,114,170,172,141,163,613,799,416,407
SMLT_RS14105,3086,3059,2344,3488,3659,3100,2631,2082,5859,4741,2812,2757
SMLT_RS14110,4062,4956,5229,6873,6152,5021,5063,4138,5499,4974,4061,4088
SMLT_RS14115,13096,18849,4565,4018,15792,9562,2946,1295,14567,15602,1331,909
SMLT_RS14130,531,483,406,390,623,502,350,161,628,572,364,343
SMLT_RS14135,1254,1367,1031,1184,1875,1701,882,604,2119,1940,1026,1162
SMLT_RS14140,2042,2294,1993,2272,3437,2993,1436,1690,3635,3426,1733,2018
SMLT_RS14145,777,714,759,680,1027,774,594,377,952,966,689,724
SMLT_RS14150,242,202,154,180,329,244,204,65,432,415,167,171
SMLT_RS14155,25,33,40,33,18,14,25,14,170,170,188,197
SMLT_RS14160,256,271,488,389,200,135,148,120,791,792,640,671
SMLT_RS14170,532,618,375,375,769,607,374,108,912,737,378,413
SMLT_RS14175,1678,1833,1275,1326,2059,1529,912,483,1849,1519,1028,1259
SMLT_RS14190,179,231,89,125,267,267,126,101,224,225,97,126
SMLT_RS14195,911,1005,453,526,1322,1215,417,292,623,685,278,253
SMLT_RS14200,1417,1414,1382,1429,1421,1217,850,583,1192,1287,1324,1137
SMLT_RS14205,690,547,377,487,1591,1364,682,508,475,465,377,286
SMLT_RS14210,226,218,122,135,225,192,121,76,199,232,112,112
SMLT_RS14215,33,19,7,10,22,19,13,3,40,38,11,9
SMLT_RS14220,2478,2430,1163,1381,763,821,624,243,618,576,502,409
SMLT_RS14225,225,236,111,119,115,126,98,41,95,87,72,50
SMLT_RS14230,336,274,129,221,198,177,142,82,278,296,161,137
SMLT_RS14240,3015,3291,1162,1113,9796,8518,1540,1760,5390,4300,943,849
SMLT_RS14245,162,188,68,61,22869,19969,3580,3799,12737,10107,3052,2755
SMLT_RS14250,645,605,185,283,893,1069,247,303,895,881,308,269
SMLT_RS14255,4574,4360,1261,1687,3129,3520,1162,764,2613,2303,1017,672
SMLT_RS22815,2878,3428,1229,1662,2432,2515,1456,1079,3099,3072,1098,854
SMLT_RS22820,15918,17235,6349,8926,12277,12638,8214,5875,13912,13348,4966,4007
SMLT_RS14275,6927,7301,5222,5932,11336,10086,6717,4523,14285,12920,6700,5426
SMLT_RS14285,10204,10216,13644,14651,25088,21176,18322,13026,36953,30868,18302,14880
SMLT_RS14290,2054,2261,3316,3131,6876,5291,4931,3466,9017,7334,5169,3885
SMLT_RS14295,2730,2861,3754,4029,8174,6229,6118,2621,9578,7906,6539,4669
SMLT_RS14300,1665,1782,2560,2866,4220,3637,2910,1738,5320,4400,3663,2817
SMLT_RS14305,1836,1991,3590,4329,6636,5531,5780,4097,7369,6398,5262,4049
SMLT_RS14310,2044,2273,4570,5344,9621,8132,7470,6550,10888,9519,6829,5327
SMLT_RS14315,1671,1677,3569,4041,7305,6105,6785,5943,10068,8604,5838,3826
SMLT_RS14320,832,847,1898,2414,3929,3680,3869,4063,6883,6641,2859,2047
SMLT_RS14325,2278,1957,2996,3589,6389,5358,5442,5284,15232,15554,5027,3323
SMLT_RS14330,2331,2299,3516,3291,5770,4773,4381,3099,6195,5984,3614,2825
SMLT_RS14335,596,442,533,449,1414,1009,673,404,978,984,411,370
SMLT_RS14340,220,218,192,196,379,322,219,154,432,363,125,142
SMLT_RS14345,150,231,545,481,189,160,438,236,473,485,493,591
SMLT_RS14350,287,232,190,254,192,157,195,125,329,366,172,151
SMLT_RS14355,54,63,106,133,41,47,91,73,85,90,67,72
SMLT_RS14365,51,52,44,51,54,42,57,24,82,104,44,29
SMLT_RS14380,131,121,133,116,434,260,27,15,169,172,20,17
SMLT_RS14385,264,343,360,400,1254,913,334,138,266,242,231,192
SMLT_RS14390,277,355,274,354,549,479,1266,820,294,280,159,142
SMLT_RS14395,75,109,208,160,210,168,973,244,98,102,120,131
SMLT_RS14400,72,117,93,92,87,74,113,51,139,149,85,103
SMLT_RS22825,463,384,116,119,620,630,116,48,1132,1361,161,105
SMLT_RS14405,2566,2804,830,906,3495,3509,640,460,3751,3399,749,780
SMLT_RS14415,542,600,159,176,836,638,212,108,604,773,118,131
SMLT_RS14420,524,473,164,156,846,706,189,124,496,444,164,131
SMLT_RS14425,1340,1366,59,123,669,820,125,85,506,520,40,37
SMLT_RS14715,2712,2862,2584,2817,4515,3524,2903,2386,3461,3046,2489,2456
SMLT_RS14720,56,65,76,57,108,66,110,37,239,197,94,115
SMLT_RS14725,106,94,60,67,118,122,132,44,108,141,79,68
SMLT_RS14730,3779,3953,5175,5707,3863,3303,3851,1927,3858,3559,4714,4592
SMLT_RS14740,4088,4924,852,871,3393,3094,370,306,1032,1041,191,130
SMLT_RS14745,3614,4934,3381,3954,4585,3809,2105,1546,6006,5712,3235,3242
SMLT_RS14755,3278,4463,2591,3326,4757,3970,2520,1759,4926,4857,2314,2446
SMLT_RS14760,1767,1562,1230,1453,2242,1741,1268,912,2137,2506,1573,1447
SMLT_RS14765,342,285,244,337,537,404,428,316,218,202,357,311
SMLT_RS14770,3534,4861,1193,1133,7779,4903,865,543,2140,2069,403,412
SMLT_RS14775,924,1066,545,551,1100,872,565,343,611,654,517,528
SMLT_RS14780,548,399,365,432,101,79,176,66,863,977,482,490
SMLT_RS14785,595,483,430,574,180,174,350,239,436,459,737,586
SMLT_RS14790,1301,1308,707,916,499,398,827,642,732,671,771,722
SMLT_RS14800,2825,2637,1628,2376,560,540,1175,1204,628,617,1171,1019
SMLT_RS14805,1856,1615,879,1235,295,290,823,559,325,251,787,704
SMLT_RS14810,7182,6410,3808,4357,818,689,1746,1471,1105,1020,2938,2759
SMLT_RS14825,649,572,228,321,380,329,225,102,384,349,369,372
SMLT_RS14830,738,939,1392,1257,2370,2021,3907,2743,772,602,1860,1850
SMLT_RS14835,604,532,313,425,631,655,611,453,1962,2475,651,671
SMLT_RS14845,137,139,63,96,106,127,101,62,566,619,130,171
