,CAB1,CAB2,CAB3,Fnp1,Fnp2,Fnp3
AT688_RS06780,260,173,229,2292,1892,2570
AT688_RS06785,0,2,6,35,43,42
AT688_RS06790,68,58,80,891,606,919
AT688_RS06795,293,224,315,1724,1516,2070
AT688_RS06800,80,49,77,465,332,510
AT688_RS06805,1,4,1,22,29,51
AT688_RS06815,53,41,39,77,56,69
AT688_RS06820,83,45,69,209,112,167
AT688_RS06825,95,52,53,210,150,208
AT688_RS06830,42,9,32,166,118,188
AT688_RS06835,0,0,0,9,10,9
AT688_RS06840,75,41,66,590,574,788
AT688_RS06845,13,5,8,82,70,104
AT688_RS06850,4,1,2,19,7,36
AT688_RS06855,7125,5408,6702,25370,26306,25585
AT688_RS06860,51,19,31,141,80,173
AT688_RS06865,39,25,42,266,203,319
AT688_RS06870,19,13,18,64,57,123
AT688_RS06875,27,13,14,57,52,59
AT688_RS06880,2,1,0,12,4,17
AT688_RS06885,47,33,34,141,95,144
AT688_RS06890,8,7,12,75,42,81
AT688_RS06895,75,52,74,426,293,466
AT688_RS06900,33,8,29,178,128,215
AT688_RS06905,18,5,7,120,116,134
AT688_RS06910,63,32,41,447,355,461
AT688_RS06915,41,31,33,248,173,222
AT688_RS06920,1045,543,768,4787,4171,5591
AT688_RS06925,2564,1425,2064,9354,6482,9269
AT688_RS06930,0,5,1,11,18,31
AT688_RS06935,31,9,18,156,119,166
AT688_RS06940,1,1,0,6,2,10
AT688_RS06945,6,6,0,36,36,47
AT688_RS06950,84,84,102,418,333,447
AT688_RS06955,36,33,24,286,199,284
AT688_RS06960,15,15,18,155,110,143
AT688_RS06965,42,28,59,410,285,380
AT688_RS06970,110,51,79,516,395,435
AT688_RS06975,6,3,8,53,25,59
AT688_RS06980,580,420,487,3329,2557,3146
AT688_RS06985,905,534,715,5213,3867,5060
AT688_RS06990,139,104,109,813,548,659
AT688_RS06995,124,54,99,313,268,348
AT688_RS07000,148,104,115,450,367,536
AT688_RS07005,103,70,116,699,608,718
AT688_RS07010,519,234,375,1839,1222,1931
AT688_RS07015,1308,814,1083,6394,5189,6465
AT688_RS07020,576,303,445,1863,1102,1804
AT688_RS07025,0,0,0,1,0,4
AT688_RS07030,133,68,101,573,491,609
AT688_RS07035,71,52,76,239,177,250
AT688_RS07040,877,499,739,3968,3364,4400
AT688_RS07045,1627,985,1307,6920,6151,7850
AT688_RS07050,104,72,81,739,627,908
AT688_RS07055,149,92,140,1113,844,1158
AT688_RS07060,10,10,16,51,50,63
AT688_RS07065,747,527,643,2411,2295,2563
AT688_RS07070,481,323,368,2105,1915,2493
AT688_RS07075,123,66,101,477,340,508
AT688_RS07080,10,8,6,53,44,92
AT688_RS07085,79,49,64,580,562,734
AT688_RS07090,74,47,57,480,514,581
AT688_RS07095,7,0,5,57,44,63
AT688_RS07100,41,29,42,293,290,346
AT688_RS07105,238,182,225,1168,895,1148
AT688_RS07110,72,38,36,198,123,183
AT688_RS07115,118,78,105,378,304,474
AT688_RS07120,239,157,212,1005,785,1093
AT688_RS07125,8,1,2,5,5,6
AT688_RS07130,16,2,6,34,9,25
AT688_RS07135,1,1,0,28,27,42
AT688_RS07140,17,2,7,66,58,68
AT688_RS07145,102,64,112,596,506,623
AT688_RS07150,1317,649,780,4734,3457,4635
AT688_RS07155,553,327,460,3199,2658,3613
AT688_RS07160,465,309,400,1000,905,1081
AT688_RS07165,320,177,224,1106,752,1014
AT688_RS07170,64,42,56,425,330,450
AT688_RS07175,192,137,142,514,402,533
AT688_RS07180,33,11,13,90,55,63
AT688_RS07185,11,0,10,94,52,81
AT688_RS07190,9,0,3,15,6,26
AT688_RS07195,110,56,81,444,474,565
AT688_RS07200,58,39,63,358,280,474
AT688_RS07205,20,15,13,189,159,199
AT688_RS07210,28,13,8,85,52,95
AT688_RS07215,351,244,243,1504,1274,1657
AT688_RS07220,140,103,125,746,723,901
AT688_RS07225,52,31,42,310,308,350
AT688_RS07230,210,116,165,993,813,1095
AT688_RS07235,79,39,55,374,240,338
AT688_RS07240,81,52,76,394,335,430
AT688_RS07245,3,0,1,5,5,12
AT688_RS07255,1,0,0,2,2,0
AT688_RS07260,3,2,1,8,5,22
AT688_RS07265,0,0,0,1,0,3
AT688_RS07270,1,0,0,0,0,0
AT688_RS07275,0,0,1,0,1,0
AT688_RS07280,1,0,0,2,1,1
AT688_RS07285,1,2,1,8,10,10
AT688_RS07290,0,0,0,2,6,1
AT688_RS07295,0,0,0,4,2,4
AT688_RS07300,9,10,11,104,59,133
AT688_RS07305,0,0,0,0,0,1
AT688_RS12305,14,12,38,50,41,51
AT688_RS07310,17,4,3,52,17,49
AT688_RS07315,134,115,107,1009,938,1194
AT688_RS07320,33,22,24,334,313,400
AT688_RS07325,34,10,21,97,140,120
AT688_RS07330,63,36,37,176,122,167
AT688_RS07335,303,162,225,1289,1044,1469
AT688_RS07340,938,594,802,5553,4063,5885
AT688_RS07345,248,119,167,1278,1075,1444
AT688_RS07350,2,2,2,14,17,25
AT688_RS07355,1308,852,980,4415,3752,4853
AT688_RS07360,891,600,800,3750,3595,4222
AT688_RS07365,482,266,417,1148,896,1196
AT688_RS07370,162,89,159,716,549,697
AT688_RS07375,1,2,1,18,9,17
AT688_RS07380,16,8,19,83,38,68
AT688_RS07385,13,6,5,17,17,42
AT688_RS07390,21,17,16,142,115,145
AT688_RS07395,19,4,16,48,36,47
AT688_RS07400,14,11,17,43,23,39
AT688_RS07405,0,0,1,5,5,8
AT688_RS07410,4,1,0,17,16,23
AT688_RS07415,31,25,36,113,141,124
AT688_RS07420,0,1,0,2,0,3
AT688_RS07425,814,470,648,3840,3094,3975
AT688_RS07430,261,183,247,2140,1825,2429
AT688_RS07435,2,1,3,9,3,15
AT688_RS07440,82,66,82,291,250,331
AT688_RS07445,71,25,36,317,227,304
AT688_RS07450,231,133,163,1206,895,1160
AT688_RS07455,2,7,7,73,62,93
AT688_RS07465,55,25,68,421,371,460
AT688_RS07475,8,8,8,56,47,45
AT688_RS07480,2550,1737,2223,12761,11875,15782
AT688_RS07485,481,361,387,3314,2704,3050
AT688_RS07490,12,1,2,31,26,56
AT688_RS07495,18,18,21,96,81,106
AT688_RS07500,44,25,36,315,209,308
AT688_RS07505,143,89,110,795,649,933
AT688_RS07510,41,26,21,125,85,148
AT688_RS07515,88,49,54,173,163,212
AT688_RS07520,80,57,63,475,402,489
AT688_RS07525,33,16,19,77,38,68
AT688_RS07530,208,146,232,701,644,733
AT688_RS07535,42,21,41,231,170,263
AT688_RS07540,125,104,143,408,430,477
AT688_RS07545,4,1,3,12,5,12
AT688_RS07550,2,4,2,24,22,42
AT688_RS07555,7,1,3,17,34,41
AT688_RS07560,38,29,27,228,208,283
AT688_RS07565,0,0,0,4,1,6
AT688_RS07570,17,15,17,85,58,79
AT688_RS07575,10,1,6,27,10,37
AT688_RS07580,21,7,19,124,89,105
AT688_RS07585,25,9,16,168,127,159
AT688_RS07590,217,94,140,999,743,983
AT688_RS07595,93,53,97,214,203,214
AT688_RS07600,150,89,120,492,335,475
AT688_RS07605,100,48,67,226,187,274
AT688_RS07610,1,6,8,21,18,28
AT688_RS07615,121,70,89,477,341,461
AT688_RS07620,15,12,15,91,53,102
AT688_RS07625,188,74,115,823,672,818
AT688_RS07630,220,130,154,1655,1496,1769
AT688_RS07635,2,3,3,17,11,17
AT688_RS07640,210,133,160,625,568,833
AT688_RS07645,24,19,13,156,96,149
AT688_RS07650,26,11,20,79,42,74
AT688_RS07655,6,4,2,52,29,39
AT688_RS07660,7,9,9,20,37,38
AT688_RS07665,0,0,0,0,0,0
AT688_RS07670,20,14,23,90,112,114
AT688_RS07675,21,22,16,85,80,99
AT688_RS07680,15,9,18,46,47,46
AT688_RS07685,156,94,136,546,443,601
AT688_RS07690,409,243,328,1459,1284,1629
AT688_RS07695,262,148,244,1110,814,1050
AT688_RS07700,299,199,230,1972,1673,2093
AT688_RS07705,265,132,196,1308,1040,1393
AT688_RS07710,6,3,2,26,12,26
AT688_RS07715,15,5,4,45,38,47
AT688_RS07720,24,7,13,62,28,61
AT688_RS07725,2214,1494,1962,5855,4922,6401
AT688_RS07730,70,34,57,145,121,165
AT688_RS07735,66,67,54,239,257,298
AT688_RS07740,29,28,20,74,62,78
AT688_RS07745,1,2,2,12,7,13
AT688_RS07750,1,1,3,5,4,9
AT688_RS07755,7,5,14,64,39,71
AT688_RS07760,32,43,39,180,179,219
AT688_RS07765,52,34,37,174,198,209
AT688_RS07775,116,38,68,677,531,674
AT688_RS12050,5,12,11,54,64,64
AT688_RS07785,16,21,14,202,156,224
AT688_RS07790,14,2,11,107,87,125
AT688_RS07795,57,38,68,626,489,680
AT688_RS07800,759,552,600,4028,3311,4435
AT688_RS07805,990,600,849,4696,3840,5181
AT688_RS07815,781,472,553,4387,3138,4271
AT688_RS07825,1155,586,767,3911,2802,4045
AT688_RS07830,14,16,20,76,59,80
AT688_RS07835,3,0,10,22,5,22
AT688_RS07840,13,0,11,26,12,28
AT688_RS07845,3,2,1,11,4,12
AT688_RS07850,3,0,8,36,25,17
AT688_RS07855,40,25,29,228,197,274
AT688_RS07860,15,6,6,74,88,122
AT688_RS07865,86,66,64,316,243,247
AT688_RS07870,147,70,121,420,346,445
AT688_RS07875,86,30,41,76,44,65
AT688_RS07880,0,0,0,1,1,2
AT688_RS07885,83,49,68,223,151,204
AT688_RS07890,28,14,30,121,72,116
AT688_RS07895,2208,1334,1641,7464,6394,8083
AT688_RS07900,1364,881,1079,4232,3850,4524
AT688_RS07905,1127,615,952,3098,2316,3156
AT688_RS07910,3,0,0,5,4,1
AT688_RS07915,240,195,196,489,458,535
AT688_RS07920,157,83,122,394,234,374
AT688_RS07925,1004,546,736,2711,2143,3126
AT688_RS07930,4025,2762,3668,11849,10741,14657
AT688_RS07935,33,23,26,210,184,216
AT688_RS12065,19,10,13,204,186,215
AT688_RS12070,24,21,17,133,94,113
AT688_RS12075,33,21,25,101,75,105
AT688_RS07955,1,0,0,5,6,15
AT688_RS07960,5,0,2,8,11,12
AT688_RS07965,10,8,7,57,37,68
AT688_RS07970,10,13,5,67,53,71
AT688_RS07975,6,2,6,42,24,29
AT688_RS07980,0,0,0,0,1,1
AT688_RS07985,18,11,15,118,115,168
AT688_RS07990,9,8,5,49,34,43
AT688_RS07995,0,2,0,3,0,7
AT688_RS08000,22,14,18,133,106,124
AT688_RS08005,9,0,5,15,15,15
AT688_RS08010,0,0,0,0,0,0
AT688_RS08015,4,5,5,60,25,45
AT688_RS08020,0,0,0,0,0,0
AT688_RS08025,452,253,386,2448,1986,2755
AT688_RS08035,149,107,101,577,530,607
AT688_RS08040,694,391,457,2183,1532,2084
AT688_RS08045,94,40,74,286,210,283
AT688_RS08050,94,50,101,461,326,400
AT688_RS08055,1,3,0,15,14,8
AT688_RS08060,10,2,4,48,28,45
AT688_RS08065,982,669,669,3045,2527,3331
AT688_RS08070,0,0,0,2,1,1
AT688_RS08075,0,0,3,6,7,8
AT688_RS08080,19,18,34,98,83,126
AT688_RS08090,12,9,13,63,57,58
AT688_RS08095,275,152,181,1546,1155,1567
AT688_RS08100,262,189,200,1821,1667,2041
AT688_RS08105,690,449,576,3891,3254,4151
AT688_RS08110,8,4,6,51,47,62
AT688_RS08115,4,1,5,32,25,35
AT688_RS08120,231,134,163,976,630,1003
AT688_RS08125,104,63,87,817,478,780
AT688_RS08130,27,9,21,72,46,71
AT688_RS08135,7,0,4,8,9,16
AT688_RS08140,202,134,157,523,366,540
AT688_RS08145,869,531,691,2136,1999,2416
AT688_RS08150,558,248,338,2107,1713,2189
AT688_RS08155,8,7,3,35,47,23
AT688_RS08160,254,126,180,1411,900,1267
AT688_RS08170,11,4,8,48,18,35
AT688_RS08175,33,21,18,107,67,107
AT688_RS08180,35,25,37,176,149,187
AT688_RS08185,39,35,39,170,134,197
AT688_RS08190,5,0,4,11,8,13
AT688_RS08195,167,145,164,1128,1078,1274
AT688_RS08200,66,28,24,253,277,319
AT688_RS08205,57,30,40,376,279,411
AT688_RS08210,161,66,82,492,354,506
AT688_RS08215,16,12,26,77,46,75
AT688_RS08220,293,197,294,1268,1100,1344
AT688_RS08225,496,264,319,2769,1957,2677
AT688_RS08230,2,4,0,17,12,18
AT688_RS08235,1,0,0,3,0,0
AT688_RS08240,0,0,0,0,0,0
AT688_RS08245,11,9,5,50,54,48
AT688_RS08250,0,0,0,0,0,0
AT688_RS08255,1,0,0,0,0,0
AT688_RS08260,46,40,45,126,117,138
AT688_RS08265,55,21,29,203,180,223
AT688_RS08270,3,7,11,44,25,41
AT688_RS08275,11,1,0,30,11,33
AT688_RS08280,14,12,13,115,54,116
AT688_RS08285,44,14,19,120,75,147
AT688_RS08290,97,51,77,704,533,776
AT688_RS08295,754,446,622,3477,2872,3730
AT688_RS08300,239,149,166,1198,933,1369
AT688_RS08305,47,31,41,263,205,301
AT688_RS08310,162,77,122,939,556,817
AT688_RS08315,19,16,21,206,160,204
AT688_RS08320,98,48,91,223,190,279
AT688_RS08325,12,8,8,41,24,46
AT688_RS08330,38,16,29,191,157,221
AT688_RS08335,78,41,63,418,403,491
AT688_RS08340,147,62,85,695,445,750
AT688_RS08345,185,111,152,661,565,748
AT688_RS08350,150,97,97,426,279,425
AT688_RS08360,2,0,1,1,4,5
AT688_RS08365,0,0,0,0,0,0
AT688_RS08370,1,2,0,18,16,13
AT688_RS08375,0,0,0,0,0,0
AT688_RS08380,0,0,0,8,2,4
AT688_RS08385,0,0,3,0,0,0
AT688_RS08390,2,1,2,15,19,24
AT688_RS08395,0,1,0,3,5,4
AT688_RS08400,0,0,0,4,7,5
AT688_RS08405,1,0,0,3,6,1
AT688_RS08410,0,2,1,2,2,7
AT688_RS08420,0,0,0,0,0,1
AT688_RS08425,0,0,0,0,0,0
AT688_RS08430,0,0,0,0,0,0
AT688_RS08435,0,0,0,0,0,0
AT688_RS08440,0,0,0,0,0,1
AT688_RS08445,0,0,0,1,0,0
AT688_RS08450,0,0,0,4,2,0
AT688_RS08455,167,74,155,1122,966,1228
AT688_RS08460,19,6,7,60,110,119
AT688_RS08465,5,4,3,27,85,91
AT688_RS08470,76,32,42,551,523,679
AT688_RS08475,16,12,22,64,87,115
AT688_RS08480,11,10,16,155,122,170
AT688_RS08485,61,23,38,201,165,262
AT688_RS08490,35,16,22,115,103,134
AT688_RS08495,75,33,42,356,232,352
AT688_RS08500,86,42,61,480,235,432
AT688_RS08505,495,282,396,3110,2877,3949
AT688_RS08515,14,10,15,91,58,104
AT688_RS08520,110,43,77,519,292,442
AT688_RS08525,187,108,142,1159,883,1583
AT688_RS08530,0,0,0,3,1,3
AT688_RS08535,1,1,1,10,11,10
AT688_RS08540,0,0,0,0,0,3
AT688_RS08545,6,0,0,8,3,15
AT688_RS08550,0,0,0,0,1,0
AT688_RS08555,1,1,0,8,13,7
AT688_RS08560,0,0,1,12,4,17
AT688_RS08565,0,0,0,0,0,0
AT688_RS08570,0,0,0,0,0,0
AT688_RS08575,1,0,0,1,0,0
AT688_RS08580,2,0,0,0,0,1
AT688_RS08585,0,0,0,0,0,0
AT688_RS08590,0,0,0,0,0,0
AT688_RS08595,0,0,0,0,0,0
AT688_RS08600,0,0,1,8,5,6
AT688_RS08605,0,0,1,0,0,0
AT688_RS08610,233,155,194,711,631,843
AT688_RS12320,41,17,31,188,197,212
AT688_RS08620,107,89,103,576,637,741
AT688_RS08625,64,95,77,457,466,645
AT688_RS08630,11,10,4,36,23,40
AT688_RS08635,13,12,16,73,52,70
AT688_RS08640,354,297,370,1630,1460,1648
AT688_RS08645,52,23,30,186,143,203
AT688_RS08650,200,99,143,1014,831,1051
AT688_RS08655,124,72,87,623,538,597
AT688_RS08660,116,56,61,584,471,627
AT688_RS08665,228,134,151,1467,1237,1564
AT688_RS08670,377,160,265,2808,1827,2644
AT688_RS08675,201,100,139,1457,1037,1229
AT688_RS08680,37,20,17,179,131,222
AT688_RS08685,164,68,99,709,612,751
AT688_RS08690,2,0,8,15,21,26
AT688_RS08695,64,47,67,164,106,158
AT688_RS08700,27,13,20,137,88,157
AT688_RS08705,102,88,124,726,614,830
AT688_RS08710,83,42,74,431,300,412
AT688_RS08715,6,1,8,68,47,85
AT688_RS08720,91,83,111,557,495,647
AT688_RS08725,57,47,65,370,331,431
AT688_RS08730,1850,984,1497,4547,3219,4318
AT688_RS08735,323,173,281,985,731,1014
AT688_RS08740,67,24,44,311,224,308
AT688_RS08745,285,167,255,2078,1746,2105
AT688_RS08750,1248,717,989,6870,5270,6883
AT688_RS08755,161,147,164,774,582,845
AT688_RS08760,23,10,22,173,115,160
AT688_RS08765,5,2,3,43,27,36
AT688_RS08770,1,7,4,14,4,3
AT688_RS08775,2,2,7,11,14,10
AT688_RS08780,27,18,16,72,62,79
AT688_RS08785,147,115,145,916,959,1096
AT688_RS08790,97,58,69,853,654,837
AT688_RS08795,621,374,478,4140,3511,4554
AT688_RS08800,61,36,47,184,87,147
AT688_RS08805,102,43,73,365,222,344
AT688_RS08810,621,372,450,2953,2006,2880
AT688_RS08815,704,398,542,1768,1340,1882
AT688_RS08820,52,30,34,258,200,274
AT688_RS08830,385,233,317,2191,1637,2245
AT688_RS08835,137,69,99,630,458,629
AT688_RS08840,410,349,385,2379,2002,2861
AT688_RS08845,761,426,648,5370,4316,5664
AT688_RS08850,410,213,259,1679,1223,1521
AT688_RS08855,405,316,354,2131,1913,2487
AT688_RS08860,94,55,65,213,149,230
AT688_RS08865,19,13,19,60,28,57
AT688_RS08870,0,1,1,5,4,2
AT688_RS12325,2,1,2,10,12,18
AT688_RS08880,2022,1394,1821,5910,4495,5858
AT688_RS08885,487,251,327,1960,1503,1926
AT688_RS08890,48,32,52,269,158,260
AT688_RS08895,63,47,55,292,171,275
AT688_RS08905,51,28,34,224,196,276
AT688_RS08910,69,41,50,726,442,754
AT688_RS08915,234,139,210,949,781,934
AT688_RS08920,176,100,160,837,646,860
AT688_RS08925,91,54,87,392,332,400
AT688_RS08930,133,87,119,495,378,485
AT688_RS08935,946,560,719,2781,2398,2987
AT688_RS08940,1621,1194,1731,7085,6451,8321
AT688_RS08945,156,99,145,586,455,553
AT688_RS08950,159,81,127,764,647,704
AT688_RS08955,96,61,115,453,264,394
AT688_RS08960,56,14,24,126,71,129
AT688_RS08965,227,166,211,984,678,806
AT688_RS08970,85,48,66,322,215,324
AT688_RS08975,61,19,33,301,213,273
AT688_RS08980,293,132,172,1004,693,839
AT688_RS08985,224,84,90,666,468,617
AT688_RS08990,380,188,221,2370,1693,2281
AT688_RS08995,1953,979,1275,2893,2122,2443
AT688_RS09000,116,89,129,411,360,450
AT688_RS09005,22,17,9,66,49,78
AT688_RS09010,80,50,77,280,229,368
AT688_RS09015,1,0,1,14,21,28
AT688_RS09020,216,100,161,605,375,608
AT688_RS09025,125,96,86,694,465,633
AT688_RS09030,4,3,0,6,2,4
AT688_RS09035,2,6,5,31,13,25
AT688_RS09040,124,81,91,668,490,608
AT688_RS09045,928,548,647,2196,1821,2226
AT688_RS09050,61,27,50,143,77,154
AT688_RS09055,9,0,5,65,44,56
AT688_RS09060,1,2,0,9,18,23
AT688_RS09065,9,16,21,245,191,263
AT688_RS09070,21,17,23,115,86,133
AT688_RS09075,64,33,35,235,177,281
AT688_RS09080,51,21,20,66,48,64
AT688_RS09085,3200,1614,2247,7613,5139,7103
AT688_RS09090,83,38,55,262,158,235
AT688_RS09095,176,109,122,1123,757,936
AT688_RS09100,194,88,121,1009,758,943
AT688_RS09105,219,156,222,1238,1224,1564
AT688_RS09110,9,1,6,60,35,74
AT688_RS09115,0,0,0,6,4,8
AT688_RS09120,0,0,5,36,19,31
AT688_RS09140,7,3,6,10,12,15
AT688_RS09145,0,0,0,0,0,0
AT688_RS09150,0,0,0,0,0,0
AT688_RS09155,0,0,0,0,0,0
AT688_RS09160,0,0,0,0,0,0
AT688_RS09165,0,0,0,0,0,1
AT688_RS09175,0,0,0,1,0,1
AT688_RS09180,0,0,2,0,0,1
AT688_RS09185,0,0,0,0,0,0
AT688_RS09190,0,0,0,0,0,0
AT688_RS09195,0,0,1,0,0,0
AT688_RS09200,0,0,0,0,0,0
AT688_RS09210,2,0,1,4,7,3
AT688_RS09215,0,0,0,0,0,0
AT688_RS09220,0,0,0,0,0,0
AT688_RS09225,0,0,0,0,0,0
AT688_RS09230,0,0,0,0,0,0
AT688_RS09235,0,0,0,0,0,0
AT688_RS09240,0,0,0,0,0,0
AT688_RS09245,0,0,0,0,0,0
AT688_RS09250,0,0,2,0,3,2
AT688_RS09255,1,0,0,0,0,0
AT688_RS09260,0,0,1,1,1,1
AT688_RS09265,0,0,2,2,0,2
AT688_RS09270,0,0,0,0,0,3
AT688_RS09275,0,0,0,1,1,0
AT688_RS09280,0,0,0,1,2,0
AT688_RS09285,0,0,0,0,0,0
AT688_RS09290,0,0,0,0,0,0
AT688_RS12095,0,0,0,0,0,1
AT688_RS09300,0,0,0,0,1,2
AT688_RS09305,0,0,0,0,0,0
AT688_RS09310,0,0,0,0,0,0
AT688_RS09315,0,1,0,0,0,0
AT688_RS09325,0,0,3,0,0,0
AT688_RS09330,0,0,0,0,0,0
AT688_RS09335,0,0,0,0,0,0
AT688_RS09340,0,0,0,0,0,0
AT688_RS09345,0,0,0,0,0,0
AT688_RS12345,0,0,0,0,0,0
AT688_RS09350,0,0,0,0,0,1
AT688_RS09355,0,0,0,0,0,0
AT688_RS09360,1,0,0,7,7,7
AT688_RS09365,15,22,20,74,54,82
AT688_RS09375,58,29,40,207,162,178
AT688_RS09380,48,44,54,334,293,383
AT688_RS09390,116,67,101,576,529,661
AT688_RS09395,93,68,101,380,236,327
AT688_RS09400,38,11,24,144,81,145
AT688_RS09425,47,32,46,221,119,226
AT688_RS09430,52,19,24,39,19,41
AT688_RS09435,1,0,0,0,0,0
AT688_RS09440,8,7,2,36,23,45
AT688_RS09445,3,6,1,29,27,32
AT688_RS09450,6,6,4,27,21,21
AT688_RS09460,17,5,8,59,42,44
AT688_RS09475,146,66,144,607,594,716
AT688_RS09480,72,36,61,239,148,199
AT688_RS09485,17,11,11,89,84,121
AT688_RS09490,35,6,14,187,155,190
AT688_RS09495,101,62,86,377,255,352
AT688_RS09500,1826,1081,1424,4798,3808,4752
AT688_RS09505,5,5,13,17,23,34
AT688_RS09510,53,16,33,120,94,170
AT688_RS09515,1,0,2,1,0,1
AT688_RS09520,24,9,17,75,65,93
AT688_RS09525,32,14,10,84,56,68
AT688_RS09530,63,25,38,129,63,134
AT688_RS09535,117,106,109,445,369,384
AT688_RS09540,7,2,4,44,53,56
AT688_RS09545,262,183,216,798,700,845
AT688_RS09550,89,42,71,215,122,200
AT688_RS09555,364,227,334,1815,1509,2172
AT688_RS09560,5,2,4,19,10,21
AT688_RS09565,2,5,0,17,9,19
AT688_RS09570,16,6,12,144,76,116
AT688_RS09575,17,3,12,84,61,118
AT688_RS09580,7,1,3,22,8,18
AT688_RS09585,16,9,16,81,73,96
AT688_RS09590,29,14,19,270,164,274
AT688_RS09595,28,8,20,18,10,23
AT688_RS09600,26,18,34,111,63,119
AT688_RS09605,2,1,0,13,6,10
AT688_RS09610,131,56,91,322,224,327
AT688_RS09615,46,20,45,186,183,243
AT688_RS09620,236,148,228,991,753,1000
AT688_RS09625,80,46,75,345,286,393
AT688_RS09630,243,131,170,832,524,798
AT688_RS09635,481,313,429,1994,1517,2002
AT688_RS09640,296,163,187,1152,929,1262
AT688_RS09645,351,274,280,1854,1390,1866
AT688_RS09650,445,280,376,1784,1751,1982
AT688_RS09655,31,13,14,111,73,97
AT688_RS09660,64,46,60,257,216,259
AT688_RS09665,26,16,29,127,152,165
AT688_RS09670,27,23,18,171,112,183
AT688_RS09675,19,17,19,97,89,103
AT688_RS09680,16,11,11,76,42,51
AT688_RS09685,29,23,25,89,77,105
AT688_RS09690,50,24,27,80,41,73
AT688_RS09695,93,51,98,506,311,422
AT688_RS09700,39,23,27,119,81,126
AT688_RS09705,15,9,30,114,72,113
AT688_RS09710,10,4,1,54,50,70
AT688_RS09715,2,0,1,20,14,24
AT688_RS09720,8,2,4,66,30,63
AT688_RS09725,27,19,20,123,100,137
AT688_RS09730,181,127,167,1119,783,1226
AT688_RS09735,27,15,25,138,113,158
AT688_RS09740,0,1,1,2,3,2
AT688_RS09745,6380,4953,5829,25350,21602,26856
AT688_RS09750,1978,1301,1833,8813,7455,9791
AT688_RS09755,374,269,373,2275,2175,2483
AT688_RS09760,90,53,72,503,331,490
AT688_RS09765,871,578,718,3406,3053,3689
AT688_RS09770,1014,607,744,4019,2947,4079
AT688_RS09775,0,0,0,0,0,0
AT688_RS09780,6,2,3,11,12,3
AT688_RS09790,0,0,0,3,0,3
AT688_RS09795,0,0,0,0,0,1
AT688_RS09800,38,22,39,334,260,386
AT688_RS09805,208,125,243,1339,1244,1597
AT688_RS09810,53,21,41,183,103,152
AT688_RS09815,139,62,92,505,422,574
AT688_RS09820,30,24,36,143,112,140
AT688_RS09825,48,31,46,322,240,365
AT688_RS09830,45,14,25,253,193,261
AT688_RS09835,36,25,38,193,148,210
AT688_RS09840,17,14,15,84,65,84
AT688_RS09845,4,2,4,16,18,23
AT688_RS09850,11,4,8,25,15,36
AT688_RS09855,0,0,0,0,0,0
AT688_RS09860,4,3,1,23,8,9
AT688_RS09865,83,71,117,218,233,255
AT688_RS09870,4,3,13,13,5,9
AT688_RS09875,39,36,36,130,95,132
AT688_RS09880,1,1,0,7,1,4
AT688_RS09885,65,36,70,174,139,171
AT688_RS09890,609,355,516,3098,2572,3262
AT688_RS09895,26,14,20,131,76,109
AT688_RS09900,92,42,62,578,444,638
AT688_RS09905,770,352,484,4235,2833,4088
AT688_RS09910,124,52,72,657,345,507
AT688_RS09930,22,22,19,64,50,50
AT688_RS09935,0,0,0,0,0,2
AT688_RS09940,285,180,236,519,417,453
AT688_RS09945,364,203,249,1754,1355,1771
AT688_RS09950,28,18,23,240,139,178
AT688_RS09955,8,10,11,59,41,63
AT688_RS09960,16,9,18,137,85,119
AT688_RS09965,26,27,42,130,106,138
AT688_RS09970,210,107,196,2775,2095,3383
AT688_RS09975,1952,1169,1526,7442,5874,8107
AT688_RS09980,8,7,10,35,38,72
AT688_RS09985,1479,1093,1532,6781,6014,8255
AT688_RS09990,582,454,573,4110,3645,5239
AT688_RS09995,6384,4686,5267,37001,31022,45694
AT688_RS10000,8634,5411,7549,28093,21999,29744
AT688_RS12115,7903,4672,6511,35360,25109,34595
AT688_RS10010,4649,2788,3642,14994,11133,15510
AT688_RS10015,477,334,541,1723,1578,2238
AT688_RS10020,16,10,10,55,31,31
AT688_RS10025,12,14,17,66,29,39
AT688_RS10030,9,4,12,37,32,37
AT688_RS10035,18,10,10,115,81,97
AT688_RS10040,32,7,14,41,36,41
AT688_RS10045,1,0,0,0,0,0
AT688_RS10050,535,255,341,994,610,1023
AT688_RS10055,418,253,364,1047,708,941
AT688_RS10060,119,78,119,492,455,581
AT688_RS10065,254,152,190,883,665,856
AT688_RS10070,94,63,81,237,196,309
AT688_RS10075,11,2,5,37,28,46
AT688_RS10080,41,14,30,168,167,182
AT688_RS10085,49,45,69,297,269,373
AT688_RS10090,3,0,2,11,7,8
AT688_RS10095,973,699,858,6264,5882,6751
AT688_RS10100,159,98,134,1142,1016,1391
AT688_RS10105,100,68,97,723,624,739
AT688_RS10110,7,2,5,19,9,17
AT688_RS10115,1293,700,984,4817,3914,5145
AT688_RS10120,797,376,609,2547,1768,2455
AT688_RS10125,77,49,68,256,168,258
AT688_RS10130,329,246,298,1187,983,1261
AT688_RS10135,19,2,3,28,14,31
AT688_RS10140,40,19,24,206,124,152
AT688_RS10145,12,0,3,33,19,36
AT688_RS10150,83,48,58,433,298,390
AT688_RS10155,90,43,73,501,416,520
