,CAB1,CAB2,CAB3,Fnp1,Fnp2,Fnp3
AT688_RS02300,20,17,19,66,93,95
AT688_RS02305,40,21,29,127,116,128
AT688_RS02310,10,0,11,24,35,21
AT688_RS02315,1,0,0,7,13,17
AT688_RS02320,88,44,89,539,456,656
AT688_RS02325,72,40,56,421,386,556
AT688_RS02330,71,44,57,255,170,216
AT688_RS02335,257,138,190,571,374,545
AT688_RS02340,66,46,71,471,297,405
AT688_RS02345,277,215,266,1135,902,1241
AT688_RS02350,113,76,89,386,324,415
AT688_RS02355,2,1,0,2,7,9
AT688_RS02360,985,648,847,2403,1717,2298
AT688_RS02365,50,28,35,98,66,111
AT688_RS02375,76,74,80,360,271,406
AT688_RS02380,7,11,7,30,22,41
AT688_RS02385,0,1,3,16,7,7
AT688_RS02390,23,23,26,115,95,135
AT688_RS02395,114,96,101,346,284,351
AT688_RS02400,1,2,0,8,7,12
AT688_RS02405,0,2,0,0,4,8
AT688_RS02410,42,19,22,69,54,66
AT688_RS02415,43,17,19,108,66,87
AT688_RS02420,56,35,43,194,142,168
AT688_RS02425,5,0,10,11,12,11
AT688_RS02430,9,3,6,69,38,71
AT688_RS02435,1,0,0,0,0,0
AT688_RS02440,3,2,1,12,2,12
AT688_RS11940,0,0,0,0,0,0
AT688_RS02445,0,1,5,5,0,7
AT688_RS02450,18,14,15,101,117,124
AT688_RS02455,55,22,51,153,148,183
AT688_RS12260,0,0,0,0,0,0
AT688_RS02460,170,130,148,793,682,1010
AT688_RS02465,59,35,48,388,287,471
AT688_RS02470,49,46,35,310,300,401
AT688_RS02475,135,72,117,707,570,862
AT688_RS02480,34,11,18,213,111,185
AT688_RS02485,59,31,52,158,143,214
AT688_RS02490,316,215,291,948,810,1163
AT688_RS02495,11381,7020,8861,30927,22770,31005
AT688_RS02500,1058,833,1124,5177,4412,5813
AT688_RS02505,180,117,153,946,681,987
AT688_RS02510,77,72,73,264,213,279
AT688_RS02515,316,231,312,2152,1889,2625
AT688_RS02520,292,214,315,1809,1459,2040
AT688_RS02525,16,12,14,133,82,106
AT688_RS02530,1700,1154,1515,4955,4687,5982
AT688_RS02535,115,61,79,671,573,773
AT688_RS02540,48,21,52,191,150,185
AT688_RS02545,98,72,68,335,241,309
AT688_RS02550,17,11,26,77,75,107
AT688_RS02555,18,12,15,138,101,126
AT688_RS02560,25,24,35,195,230,242
AT688_RS02565,9,11,7,95,80,92
AT688_RS02570,8,15,9,97,77,105
AT688_RS02575,11,8,12,52,55,78
AT688_RS02580,12,3,8,55,33,46
AT688_RS02585,354,232,368,1237,850,1276
AT688_RS02590,588,307,433,2022,1402,2253
AT688_RS02595,737,438,529,3043,2297,3185
AT688_RS02605,294,156,199,1287,894,1287
AT688_RS02610,309,240,317,1006,822,1078
AT688_RS02615,78,58,68,576,505,628
AT688_RS02620,35,18,25,107,63,111
AT688_RS02625,7,2,2,84,59,76
AT688_RS02630,17,12,6,129,118,211
AT688_RS02635,24,23,16,132,103,143
AT688_RS02640,2,0,0,15,10,14
AT688_RS02645,8,5,8,49,27,25
AT688_RS02650,8,8,11,55,44,48
AT688_RS02655,82,53,43,474,405,583
AT688_RS02660,8,8,8,69,60,85
AT688_RS02665,32,22,27,107,87,141
AT688_RS02670,707,533,613,1909,1580,2060
AT688_RS02675,611,466,517,1989,1678,2232
AT688_RS02680,522,436,508,1653,1592,2061
AT688_RS02685,15,5,10,98,73,103
AT688_RS02690,17,9,15,87,96,130
AT688_RS02695,19,18,15,76,76,86
AT688_RS02700,7,2,3,27,21,39
AT688_RS02705,501,315,463,3370,3002,3639
AT688_RS02710,46,21,37,238,188,228
AT688_RS02715,17,8,17,97,103,105
AT688_RS02720,59,31,41,301,289,297
AT688_RS02725,56,46,54,404,307,407
AT688_RS02730,63,27,65,365,275,421
AT688_RS02735,153,106,123,839,818,985
AT688_RS02740,16,3,1,13,14,21
AT688_RS02745,2,1,0,21,4,5
AT688_RS02750,60,31,47,276,188,292
AT688_RS02755,152,110,120,332,314,411
AT688_RS02760,3,2,0,7,8,6
AT688_RS02765,41,30,20,102,70,95
AT688_RS02770,0,0,0,1,0,1
AT688_RS02775,17,8,9,60,66,70
AT688_RS02780,33,29,28,152,134,185
AT688_RS02785,2,3,0,15,8,21
AT688_RS02790,7,4,8,36,32,34
AT688_RS02795,2,2,10,29,29,37
AT688_RS02800,0,0,0,0,0,0
AT688_RS02805,0,0,0,2,1,1
AT688_RS02810,28,8,15,93,56,83
AT688_RS02815,31,20,31,185,144,164
AT688_RS02820,0,0,0,4,2,0
AT688_RS02825,4,1,1,3,0,0
AT688_RS02845,145,100,149,457,394,468
AT688_RS02850,233,121,176,890,534,754
AT688_RS02855,183,110,156,508,452,583
AT688_RS02860,573,375,488,2171,1427,1834
AT688_RS02865,1020,641,885,3930,2791,3755
AT688_RS02870,59,22,35,315,159,285
AT688_RS02875,116,72,91,512,391,508
AT688_RS02880,11,4,7,68,28,49
AT688_RS02885,17,1,7,24,22,37
AT688_RS02890,19,9,13,58,43,73
AT688_RS02895,41,18,29,238,155,216
AT688_RS02900,112,54,67,358,271,363
AT688_RS02905,0,0,3,4,8,9
AT688_RS02910,44,14,29,119,79,143
AT688_RS02915,108,73,79,265,240,278
AT688_RS02920,365,196,240,835,556,759
AT688_RS02925,166,81,97,390,238,369
AT688_RS02930,1,4,6,18,21,27
AT688_RS02935,2,2,1,5,2,5
AT688_RS02940,0,0,0,0,1,0
AT688_RS02945,0,0,1,4,6,7
AT688_RS02955,0,0,0,0,1,3
AT688_RS02960,0,2,0,5,3,13
AT688_RS02965,302,149,214,1071,829,1276
AT688_RS02970,254,160,198,1383,1045,1451
AT688_RS02975,205,79,119,707,445,679
AT688_RS02980,398,212,279,2170,1583,2204
AT688_RS02985,322,176,230,1407,1145,1432
AT688_RS02990,1491,981,1161,6432,5077,5940
AT688_RS02995,210,97,152,637,463,699
AT688_RS03000,79,62,71,375,272,403
AT688_RS03005,10,7,7,54,58,85
AT688_RS03010,56,62,75,476,457,587
AT688_RS03015,6,0,5,20,17,22
AT688_RS03020,40,28,28,172,130,188
AT688_RS03025,1,3,1,6,9,8
AT688_RS03030,21,11,18,102,55,98
AT688_RS03035,770,589,781,2520,1921,3046
AT688_RS03040,481,322,371,1354,1127,1632
AT688_RS03045,240,100,156,657,478,775
AT688_RS03050,10,3,4,30,20,29
AT688_RS03055,11,6,10,27,20,41
AT688_RS03060,28,11,12,137,124,145
AT688_RS03065,0,0,0,0,0,0
AT688_RS03070,0,0,1,0,2,2
AT688_RS03075,4,1,2,4,0,1
AT688_RS03085,428,232,296,2173,1843,2339
AT688_RS03090,284,167,196,1079,920,1252
AT688_RS03095,472,280,361,3165,2702,3472
AT688_RS03100,650,396,532,4445,3732,4733
AT688_RS03105,12,15,23,101,79,107
AT688_RS03110,80,63,80,302,250,294
AT688_RS03115,253,139,164,438,346,489
AT688_RS03120,2883,1935,2443,9667,9510,11501
AT688_RS03125,406,266,366,2317,2184,2473
AT688_RS03130,190,99,148,936,792,1011
AT688_RS03135,824,549,773,3674,3283,3887
AT688_RS03140,358,177,256,1464,1430,1789
AT688_RS03145,405,266,375,1458,1321,1686
AT688_RS03150,691,399,586,2386,1912,2546
AT688_RS03155,587,364,519,1950,1711,1984
AT688_RS03160,252,158,225,659,592,716
AT688_RS03165,17,7,11,42,30,65
AT688_RS03170,2,0,0,1,0,1
AT688_RS03190,0,0,0,0,0,1
AT688_RS03195,0,0,1,1,4,5
AT688_RS03215,535,347,491,1486,1265,1649
AT688_RS03220,101,41,55,141,82,137
AT688_RS03225,186,150,190,1087,1049,1269
AT688_RS03230,67,28,43,624,409,672
AT688_RS03235,174,88,108,977,597,1005
AT688_RS03240,165,108,149,687,666,1033
AT688_RS03245,4600,3342,4310,14148,12351,15907
AT688_RS03250,31,24,37,122,75,159
AT688_RS03255,402,276,421,2035,1651,2204
AT688_RS03260,1082,782,929,2988,2374,3490
AT688_RS03265,228,149,201,1112,1106,1424
AT688_RS03270,28,26,24,254,205,287
AT688_RS03275,35,24,27,311,221,311
AT688_RS03280,17,14,13,129,80,165
AT688_RS03285,28,9,18,129,101,110
AT688_RS03290,13,7,21,86,74,103
AT688_RS03295,7,2,2,26,11,23
AT688_RS03300,6,12,3,20,34,32
AT688_RS03305,43,21,41,158,114,170
AT688_RS03310,34,30,29,121,99,136
AT688_RS03315,163,96,152,545,445,503
AT688_RS03320,171,80,118,362,235,337
AT688_RS03325,5,2,6,15,19,15
AT688_RS03330,0,1,0,1,0,2
AT688_RS03335,2,6,2,3,3,5
AT688_RS03340,6,0,0,14,9,6
AT688_RS03345,32,14,12,113,55,96
AT688_RS03350,0,0,0,0,0,0
AT688_RS03355,350,232,272,2349,1861,2410
AT688_RS03360,74,36,62,548,460,534
AT688_RS03365,101,48,71,625,626,783
AT688_RS03370,483,320,460,3164,2886,3419
AT688_RS03375,50,21,49,106,74,101
AT688_RS03380,5343,3681,4551,31278,28293,35710
AT688_RS03385,717,232,373,2258,1191,2167
AT688_RS03390,109,87,131,465,386,469
AT688_RS03395,48,29,34,70,64,60
AT688_RS03400,17,5,20,44,34,56
AT688_RS03405,36,17,37,88,57,99
AT688_RS03410,76,40,50,226,204,255
AT688_RS03415,194,102,165,1246,883,1293
AT688_RS03420,1940,1141,1508,7503,5814,8429
AT688_RS03425,17,15,9,53,65,62
AT688_RS03430,163,113,125,465,383,524
AT688_RS03435,62,48,41,219,153,256
AT688_RS03440,10831,7305,9715,49469,42011,54065
