gene_id,MMGlucose_1,MMGlucose_2,MMGlucose_3,MMAAGP_1,MMAAGP_2,MMAAGP_3
BT_1649,221,201,235,321,405,308
BT_1650,210,191,225,309,368,323
BT_1651,338,344,368,440,616,468
BT_1652,187,172,172,249,279,231
BT_1653,138,124,140,151,177,161
BT_1654,652,601,710,915,1043,803
BT_1655,341,284,349,684,735,543
BT_1656,466,419,603,602,800,655
BT_1657,839,684,847,1872,2019,1588
BT_1658,5853,4583,5936,5438,6120,4845
BT_1659,4941,3861,4985,3782,4063,3663
BT_1660,2408,1989,2592,2263,2439,2096
BT_1661,2008,1835,2232,4979,6103,4416
BT_1662,2313,2017,2614,3763,4394,3552
BT_1663,3071,2281,3404,2336,3052,2964
BT_1664,666,508,802,502,628,734
BT_1665,810,609,972,1141,1292,1226
BT_1666,1489,1257,1775,2386,2735,2152
BT_1667,2287,1690,2533,4317,4501,3316
BT_1668,2701,2432,3062,4561,5742,4119
BT_1669,17296,15871,19620,26320,29077,23463
BT_1670,2078,1842,2222,3210,3304,2717
BT_1671,1346,1158,1534,2032,2059,1737
BT_1672,39651,34308,45675,38467,42858,38247
BT_1673,476,436,592,787,800,689
BT_1674,544,539,691,1041,1092,913
BT_1675,4596,3953,4930,6548,7127,5743
BT_1676,1989,1643,2074,2330,2954,2342
BT_1677,1126,1002,1287,1213,1530,1231
BT_1678,2119,1897,2494,2606,2946,2565
BT_1679,727,654,797,781,956,822
BT_1680,1811,1628,2022,2062,2413,1951
BT_1681,2111,1735,2269,3868,4845,3418
BT_1682,36,23,26,45,48,36
BT_1683,62,48,62,70,87,64
BT_1684,2133,1799,2382,2773,2920,2251
BT_1685,5823,5234,6429,9818,9966,8217
BT_1686,29195,25859,30657,47156,42602,37807
BT_1687,13217,12050,13853,22273,19633,17271
BT_1688,8884,7812,9072,14776,13114,11615
BT_1689,22822,20689,23985,39909,37526,30884
BT_1690,532,512,604,1128,1127,924
BT_1691,105163,97569,121682,169336,192149,155306
BT_1692,31269,26673,32825,50756,62985,44040
BT_1693,1374,1024,1359,1026,1137,898
BT_1694,2500,1910,2537,1589,1538,1388
BT_1695,1628,1386,1641,1396,1311,1108
BT_1696,9450,8432,10295,20285,20804,16832
BT_1697,14888,13096,15959,31336,30637,26248
BT_1698,1654,1442,1682,3129,3195,2605
BT_1699,310,204,326,204,288,316
BT_1700,1851,1533,1898,2690,3269,2654
BT_1701,4,0,4,3,5,3
BT_1702,12,17,17,15,25,26
BT_1703,429,358,432,629,619,514
BT_1704,347,263,341,585,615,507
BT_1705,31,37,33,72,113,69
BT_1706,463,428,538,907,1228,889
BT_1707,914,805,979,2041,2430,1637
BT_1708,23,18,21,33,34,21
BT_1709,11,8,13,13,19,14
BT_1710,5,16,9,19,26,8
BT_1711,13,7,8,24,20,13
BT_1712,44,20,25,39,47,41
BT_1713,8,6,14,17,19,11
BT_1714,27,23,44,45,55,40
BT_1715,17,25,29,28,29,20
BT_1716,23,18,11,28,27,14
BT_1717,19,13,16,21,21,11
BT_1718,53,52,68,79,88,69
BT_1719,39,40,34,35,60,38
BT_1720,69,59,59,64,88,63
BT_1721,18,3,9,29,26,24
BT_1722,11,17,13,21,20,9
BT_1723,54,30,55,67,64,60
BT_1724,6,6,5,11,14,11
BT_1725,14,18,23,24,46,28
BT_1726,276,223,284,513,655,495
BT_1727,2513,2152,2709,2708,3220,2625
BT_1728,1992,1838,2349,2402,2897,2276
BT_1729,10159,8810,11253,11945,14295,11624
BT_1730,3169,2663,3278,3899,4689,3811
BT_1731,2352,1891,2558,2447,3053,2562
BT_1732,1978,1598,2170,1412,2025,1782
BT_1733,44793,39197,48124,53311,56526,51455
BT_1734,5234,4606,5789,8550,10640,7773
BT_1735,918,843,1036,1563,1762,1394
BT_1736,1131,1001,1245,1903,2401,1728
BT_1737,6268,5408,7146,8461,10835,8087
BT_1738,798,736,864,1985,2551,1808
BT_1739,12712,10825,14295,18814,21248,17466
BT_1740,6975,6201,8118,12296,13477,10011
BT_1741,1247,1029,1422,1981,2215,1718
BT_1742,3599,3167,4037,6177,7279,5615
BT_1743,75,73,94,111,131,101
BT_1744,1452,1251,1685,2266,2678,1986
BT_1745,171,130,163,272,345,271
BT_1746,9398,8113,10228,9891,11590,9515
BT_1747,98755,84182,102551,84744,86514,82061
BT_1748,166,155,176,160,213,163
BT_1749,230,194,272,273,333,247
BT_1750,85,75,106,202,265,182
BT_1751,199,136,189,263,389,340
BT_1752,1442,1296,1636,6406,6728,5508
BT_1753,372,325,391,950,1097,786
BT_1754,4128,3716,4716,7420,8721,6439
BT_1755,139,128,147,201,298,205
BT_1756,1,1,1,2,1,0
BT_1757,608,491,651,674,811,761
BT_1758,99,91,120,224,208,163
BT_1759,263,217,274,411,412,362
BT_1760,86,68,80,181,192,137
BT_1761,33,49,74,123,125,99
BT_1762,47,30,54,89,113,101
BT_1763,151,154,182,319,338,304
BT_1764,1837,1610,2053,2572,2998,2324
BT_1765,124,100,136,247,268,242
BT_1766,476,467,564,981,1123,857
BT_1767,576,483,655,648,846,639
BT_1768,1409,1280,1602,2263,2688,2085
BT_1769,1531,1411,1728,2865,2923,2501
BT_1770,5282,4980,6239,9716,11559,8573
BT_1771,124,113,125,154,166,132
BT_1772,59,51,48,65,68,61
BT_1773,65,50,71,80,109,93
BT_1774,133,131,142,182,174,151
BT_1775,70,74,86,104,148,90
BT_1776,457,387,486,847,831,670
BT_1777,748,725,833,1300,1445,1220
BT_1778,67,44,64,90,98,71
BT_1779,48,37,62,62,59,38
BT_1780,101,72,72,118,119,87
BT_1781,60,36,61,65,96,70
BT_1782,1578,1366,1683,1416,1810,1423
BT_1783,4754,3958,4881,4450,5401,4128
BT_1784,1556,1324,1816,2106,2579,1999
BT_1785,9,3,8,10,11,11
BT_1786,10,2,6,12,11,10
BT_1787,26,25,30,27,20,27
BT_1788,5,8,10,6,3,4
BT_1789,5774,4893,6272,14683,15203,12422
BT_1790,268,224,308,432,411,379
BT_1791,28,36,17,47,25,18
BT_1792,652,598,713,573,587,525
BT_1793,770,711,825,993,1239,941
BT_1794,28,30,33,59,68,62
BT_1795,107,80,121,229,262,197
BT_1796,545,442,571,555,633,571
BT_1797,1390,1227,1499,1911,2312,1950
BT_1798,5957,4827,6631,3556,3657,3463
BT_1799,10815,8753,11437,8195,7891,7225
BT_1800,277,250,330,607,795,549
