,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_0238,20,11,67,4,141,205,13,48
Bcen_0239,5,5,33,5,137,113,10,26
Bcen_0240,8,10,53,7,313,252,33,76
Bcen_0241,8,19,46,17,84,116,10,56
Bcen_0242,41,67,73,38,231,305,24,86
Bcen_0243,6,17,10,4,32,40,8,7
Bcen_0244,22,24,24,9,41,72,2,23
Bcen_0245,3,12,51,1,120,125,12,30
Bcen_0246,7,5,15,1,110,87,8,12
Bcen_0247,7,4,17,2,69,73,8,15
Bcen_0248,1,5,28,0,151,146,8,39
Bcen_0249,4,20,26,3,133,108,7,45
Bcen_0250,5,11,62,1,220,221,16,46
Bcen_0251,15,14,65,4,180,167,20,46
Bcen_0252,0,4,20,0,58,45,4,21
Bcen_0253,46,3,72,2,144,177,8,33
Bcen_0254,21,10,50,8,110,141,8,46
Bcen_0255,19,39,76,24,151,198,19,65
Bcen_0256,15,25,34,6,97,134,10,50
Bcen_0257,7,42,124,15,584,499,42,121
Bcen_0258,6,19,80,5,394,339,22,99
Bcen_0259,10,18,43,8,249,150,20,77
Bcen_0260,16,35,61,10,105,118,27,52
Bcen_0261,16,15,61,7,133,114,14,35
Bcen_0262,9,13,41,4,110,108,17,41
Bcen_0263,2,16,11,2,34,49,5,25
Bcen_0264,2,21,13,6,14,30,3,13
Bcen_0265,5,39,15,0,15,30,0,11
Bcen_0266,148,18,151,11,74,67,29,38
Bcen_0267,16,2,37,3,57,39,11,17
Bcen_0268,858,62,1046,93,434,247,312,167
Bcen_0269,72,14,98,12,134,133,47,53
Bcen_0270,4,6,61,5,266,207,27,45
Bcen_0271,3,5,59,8,110,112,11,27
Bcen_0272,5,18,26,2,74,81,7,27
Bcen_0273,22,24,47,11,65,78,20,31
Bcen_0274,26,29,76,12,200,176,27,62
Bcen_0275,14,12,61,5,85,125,19,19
Bcen_0276,5,8,15,1,77,78,3,21
Bcen_0277,18,10,90,19,140,148,33,62
Bcen_0278,1,6,21,1,138,133,6,28
Bcen_0279,1,4,5,0,71,68,4,30
Bcen_0280,5,5,23,0,128,114,14,27
Bcen_0281,11,24,59,9,240,222,22,67
Bcen_0282,4,8,31,9,64,100,3,25
Bcen_0284,10,13,30,5,86,76,6,21
Bcen_0285,9,14,79,4,177,310,13,49
Bcen_0287,36,17,90,29,113,267,12,36
Bcen_0288,40,19,129,7,293,680,16,55
Bcen_0289,46,19,91,14,138,319,10,44
Bcen_0290,71,25,71,12,87,201,5,46
Bcen_0291,109,49,135,32,237,493,20,65
Bcen_0292,24,20,29,9,56,106,7,21
Bcen_0293,16,46,52,15,67,121,4,43
Bcen_0294,4,17,26,6,61,111,3,42
Bcen_0295,38,36,83,14,93,229,7,46
Bcen_0296,25,45,62,16,75,200,9,74
Bcen_0297,10,11,56,6,53,144,1,33
Bcen_0298,10,24,62,10,90,196,4,52
Bcen_0299,27,43,176,18,952,843,72,243
Bcen_0300,2,9,9,0,111,103,9,29
Bcen_0301,3,15,39,9,179,172,7,53
Bcen_0302,1,7,18,5,94,87,4,23
Bcen_0303,16,23,64,14,78,158,6,26
Bcen_0304,2,4,29,8,78,119,5,29
Bcen_0305,2,5,10,5,43,35,0,15
Bcen_0306,7,14,20,6,95,87,7,45
Bcen_0307,35,94,38,14,76,98,10,47
Bcen_0308,8,18,60,20,74,168,5,33
Bcen_0309,2,11,47,5,65,186,5,20
Bcen_0310,4,20,26,16,28,78,6,14
Bcen_0311,1,3,24,10,31,73,8,9
Bcen_0312,3,9,24,9,28,70,4,12
Bcen_0313,5,36,48,20,51,96,4,18
Bcen_0314,10,28,31,11,34,57,7,19
