,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_3341,0,4,4,0,35,43,3,10
Bcen_3342,24,39,73,16,163,270,21,77
Bcen_3343,2,5,25,8,31,78,17,22
Bcen_3344,18,74,165,42,382,802,36,162
Bcen_3345,12,29,48,16,47,149,6,13
Bcen_3346,2,2,35,2,30,82,7,7
Bcen_3347,4,4,16,0,60,77,10,21
Bcen_3348,53,15,131,9,148,160,64,38
Bcen_3349,4,9,25,1,102,153,8,31
Bcen_3350,1,9,60,1,114,176,10,50
Bcen_3351,2,1,31,1,67,90,8,25
Bcen_3352,6,4,41,0,102,83,8,23
Bcen_3353,6,3,35,0,84,103,6,26
Bcen_3354,2,35,27,8,71,138,4,44
Bcen_3355,0,17,30,5,98,160,3,47
Bcen_3356,0,10,25,3,111,107,5,27
Bcen_3357,0,3,11,2,36,37,2,9
Bcen_3358,0,2,3,1,42,34,2,15
Bcen_3359,1,3,13,1,106,115,3,24
Bcen_3360,6,9,16,0,98,97,4,27
Bcen_3361,0,5,22,0,72,86,5,28
Bcen_3362,0,7,22,3,133,168,2,39
Bcen_3363,1,6,19,0,101,118,27,22
Bcen_3364,0,10,27,2,175,173,114,36
Bcen_3365,0,0,9,1,37,34,21,9
Bcen_3366,1,2,15,0,65,66,44,23
Bcen_3367,0,14,19,0,153,147,102,41
Bcen_3368,2,17,50,3,115,135,68,41
Bcen_3369,1,21,69,1,523,500,305,112
Bcen_3370,0,20,90,2,606,668,266,176
Bcen_3371,0,3,12,1,139,118,58,26
Bcen_3372,0,4,32,1,287,216,64,62
Bcen_3373,0,2,19,0,204,159,65,35
Bcen_3374,0,10,61,1,235,237,168,57
Bcen_3375,0,2,3,0,34,27,12,10
Bcen_3376,0,4,21,0,208,139,65,35
Bcen_3377,1,4,26,0,138,144,68,35
Bcen_3378,2,8,36,0,129,140,31,44
Bcen_3379,1,3,12,0,52,67,2,23
Bcen_3380,2,5,28,2,132,162,6,38
Bcen_3381,0,5,15,9,54,75,1,31
Bcen_3382,0,0,5,0,18,23,0,8
Bcen_3383,0,1,13,0,52,54,0,20
Bcen_3384,0,3,5,0,33,26,3,11
Bcen_3385,0,6,13,2,36,40,2,21
Bcen_3386,2,14,18,8,56,50,5,28
Bcen_3387,1,6,3,2,37,27,5,20
Bcen_3388,3,12,35,2,271,271,19,72
Bcen_3389,0,4,4,0,13,40,1,9
Bcen_3390,0,6,4,5,29,61,2,17
Bcen_3391,0,11,55,4,231,276,4,70
Bcen_3392,1,33,51,13,114,158,6,58
Bcen_3393,3,13,6,0,42,36,2,20
Bcen_3394,7,121,31,55,30,75,7,63
Bcen_3395,2,15,2,5,32,19,3,34
Bcen_3396,3,1,15,2,47,68,4,16
Bcen_3397,0,6,26,3,93,115,4,31
Bcen_3398,0,4,32,0,203,207,7,56
Bcen_3399,1,9,20,0,81,81,2,31
Bcen_3400,0,12,52,1,107,166,2,35
Bcen_3401,0,3,27,0,64,92,3,19
Bcen_3402,0,4,9,0,148,123,4,38
Bcen_3403,3,3,16,1,103,136,10,32
Bcen_3404,1,8,22,1,122,151,5,45
Bcen_3405,1,6,43,3,172,231,4,53
Bcen_3406,0,10,62,2,159,260,6,51
Bcen_3407,2,1,23,0,96,113,2,27
Bcen_3408,0,6,7,0,90,85,3,22
Bcen_3409,0,5,30,2,177,187,8,44
Bcen_3410,7,5,26,0,107,124,5,46
Bcen_3411,0,6,25,0,160,150,5,36
Bcen_3412,0,5,22,0,174,168,7,29
Bcen_3413,1,5,32,1,126,171,2,35
Bcen_3414,0,4,14,0,103,110,1,30
Bcen_3415,1,5,25,0,143,190,3,37
Bcen_3416,0,4,19,0,51,71,2,24
Bcen_3417,0,4,8,1,68,72,6,16
Bcen_3418,2,22,49,8,169,187,18,49
Bcen_3419,3,8,9,1,63,66,3,17
Bcen_3420,1,11,24,5,70,86,11,26
Bcen_3421,4,14,14,5,60,96,1,20
Bcen_3422,0,9,27,1,50,144,3,16
Bcen_3423,0,6,26,1,50,149,2,23
Bcen_3424,0,3,28,1,37,109,1,12
Bcen_3425,0,5,20,1,29,73,0,6
Bcen_3426,5,3,11,1,27,44,2,7
Bcen_3427,1,9,40,2,57,129,1,29
Bcen_3428,3,5,29,1,84,151,1,39
Bcen_3429,2,7,10,3,73,105,5,34
Bcen_3430,0,5,21,1,126,158,1,40
Bcen_3431,4,16,60,6,259,273,9,70
Bcen_3432,0,19,16,11,109,114,5,38
Bcen_3433,0,4,7,2,60,64,0,20
Bcen_3435,7,28,52,20,266,237,19,107
Bcen_3436,23,15,11,1,14,18,2,14
Bcen_3437,2,9,20,3,73,88,2,26
Bcen_3438,4,2,12,3,93,94,6,29
Bcen_3439,2,14,14,8,16,22,8,25
Bcen_3440,0,3,14,1,28,61,0,14
Bcen_3441,0,7,28,0,43,79,3,20
Bcen_3442,2,2,21,3,165,183,4,46
Bcen_3443,2,9,19,2,75,91,1,20
Bcen_3444,14,0,17,0,35,46,6,12
Bcen_3445,5,8,37,6,142,131,14,57
Bcen_3446,0,2,3,1,27,35,0,10
Bcen_3447,2,8,17,2,175,163,2,47
Bcen_3448,2,7,8,0,64,91,2,13
Bcen_3449,7,16,4,1,19,30,1,15
Bcen_3450,4,13,20,13,133,105,9,43
Bcen_3451,9,13,8,5,55,57,4,11
Bcen_3452,0,3,3,1,40,39,1,9
Bcen_3453,0,4,18,3,111,102,3,30
Bcen_3454,0,14,8,1,109,96,7,21
Bcen_3455,18,50,28,5,149,162,14,72
Bcen_3456,1,10,27,8,122,135,6,50
Bcen_3457,3,9,21,3,82,82,3,29
Bcen_3458,0,4,19,1,54,54,1,17
Bcen_3459,0,12,56,4,123,177,1,42
Bcen_3460,1,5,13,0,68,89,2,14
Bcen_3461,4,7,17,1,56,80,4,25
Bcen_3462,3,5,13,0,25,52,1,11
Bcen_3463,8,4,21,1,131,112,4,27
Bcen_3464,3,4,25,1,63,101,2,13
Bcen_3465,3,1,37,0,124,139,3,34
Bcen_3466,1,4,26,1,126,150,3,27
Bcen_3467,2,5,22,0,65,102,3,29
Bcen_3468,5,5,25,2,55,77,4,26
Bcen_3469,7,9,38,5,46,122,6,13
Bcen_3470,25,1,30,4,68,49,20,25
Bcen_3471,4,4,28,2,63,75,2,23
Bcen_3472,1,8,24,1,202,206,9,57
Bcen_3473,2,8,59,5,148,245,7,54
Bcen_3474,2,8,24,7,39,89,9,13
Bcen_3475,10,17,20,10,103,145,12,33
Bcen_3476,4,14,42,11,178,228,27,60
Bcen_3477,0,5,7,2,40,46,5,10
Bcen_3478,1,20,16,8,33,60,1,22
Bcen_3479,28,50,74,16,96,143,18,49
Bcen_3480,3,13,67,3,138,210,9,50
Bcen_3481,2,10,34,1,180,188,6,60
Bcen_3482,0,5,16,0,89,106,2,32
Bcen_3483,1,4,41,3,104,192,3,46
Bcen_3484,1,4,23,0,101,112,1,38
Bcen_3485,2,6,20,8,63,82,6,33
Bcen_3486,0,5,10,1,76,57,1,18
Bcen_3487,0,6,9,0,58,71,1,25
Bcen_3488,1,2,18,6,23,47,1,7
Bcen_3489,6,6,22,7,23,55,0,10
Bcen_3490,1,8,17,0,44,70,3,16
Bcen_3491,2,5,8,2,24,54,2,4
Bcen_3492,3,2,12,0,40,60,3,22
Bcen_3493,8,7,26,0,118,97,3,29
Bcen_3494,5,4,12,1,93,104,4,27
Bcen_3495,0,4,15,0,149,154,4,38
Bcen_3496,3,6,27,0,94,162,8,32
Bcen_3497,3,7,18,0,96,112,7,19
Bcen_3498,2,9,29,1,116,174,6,52
Bcen_3499,5,26,66,12,132,188,8,77
Bcen_3500,0,0,9,0,30,30,0,12
Bcen_3501,23,31,27,3,81,41,26,34
Bcen_3502,15,28,66,13,175,214,26,75
Bcen_3503,2,10,26,1,173,187,2,48
Bcen_3504,0,1,4,0,30,38,0,5
Bcen_3505,0,16,5,1,18,27,0,7
Bcen_3506,0,6,0,0,26,39,0,7
Bcen_3507,2,15,40,2,159,206,4,59
Bcen_3508,6,28,33,8,97,140,13,41
Bcen_3509,2,3,20,1,57,82,1,20
Bcen_3510,0,5,46,0,262,287,11,73
Bcen_3511,0,1,14,0,45,40,3,13
Bcen_3512,2,4,36,0,187,217,5,59
Bcen_3513,1,5,17,0,130,102,3,38
Bcen_3514,3,1,8,0,27,22,2,4
Bcen_3515,1,4,10,0,44,37,1,16
Bcen_3516,0,1,15,0,107,115,3,26
Bcen_3517,1,3,4,1,82,59,1,13
Bcen_3518,1,4,16,2,101,95,4,26
Bcen_3519,0,0,18,0,173,163,8,43
Bcen_3520,0,4,11,0,63,71,3,15
Bcen_3521,0,3,30,0,95,137,1,25
Bcen_3522,0,6,26,1,90,113,2,39
Bcen_3523,0,12,36,0,195,199,4,64
Bcen_3524,6,39,204,1,1334,1528,42,362
Bcen_3525,0,3,13,0,96,100,4,20
Bcen_3526,0,0,25,0,71,99,3,25
Bcen_3527,0,1,6,0,119,97,2,18
Bcen_3528,0,9,9,3,28,58,1,11
Bcen_3529,1,10,28,3,219,278,4,64
Bcen_3530,0,8,13,2,52,68,1,27
Bcen_3531,0,7,12,3,77,82,2,33
Bcen_3532,0,3,9,0,28,43,0,8
Bcen_3533,0,0,5,0,7,20,0,7
Bcen_3534,0,3,3,0,6,19,0,5
Bcen_3535,1,0,5,0,20,16,0,6
Bcen_3536,0,5,7,0,38,51,1,12
Bcen_3537,0,1,8,0,28,64,1,10
Bcen_3538,0,5,13,0,133,114,5,44
Bcen_3539,0,2,11,0,58,73,1,25
Bcen_3540,0,6,20,1,146,169,4,43
Bcen_3541,4,4,10,1,57,48,3,14
Bcen_3542,5,3,11,1,34,51,2,13
Bcen_3543,1,12,10,3,74,77,1,16
Bcen_3544,9,37,36,4,174,237,7,62
Bcen_3545,2,8,14,1,102,81,10,32
Bcen_3546,0,5,31,3,133,203,4,33
Bcen_3547,0,2,27,0,72,131,1,35
Bcen_3548,0,5,35,0,179,181,6,48
Bcen_3549,0,5,22,0,96,135,1,38
Bcen_3550,0,3,26,0,83,127,3,31
Bcen_3551,0,8,46,0,177,214,13,44
Bcen_3552,1,4,14,0,89,95,2,31
Bcen_3553,1,16,7,2,28,24,1,16
Bcen_3554,0,9,4,1,58,66,1,9
Bcen_3555,2,7,21,3,49,98,1,17
Bcen_3556,0,1,59,1,36,95,6,11
Bcen_3557,1,5,42,0,80,129,8,21
Bcen_3558,0,4,36,1,77,75,13,23
Bcen_3559,14,10,329,0,213,319,100,69
Bcen_3560,5,11,43,7,115,165,6,27
Bcen_3561,8,10,10,11,12,15,23,18
Bcen_3562,2,14,23,4,58,74,1,19
Bcen_3563,0,3,13,1,100,98,1,28
Bcen_3564,0,9,9,2,81,66,4,25
Bcen_3565,0,7,23,0,92,113,0,31
Bcen_3566,1,4,7,0,60,58,0,23
Bcen_3567,1,3,17,1,68,99,1,23
Bcen_3568,2,5,7,0,62,62,6,14
Bcen_3569,1,10,18,3,83,86,6,28
Bcen_3570,1,2,25,2,147,161,7,40
Bcen_3571,1,6,31,1,114,194,2,33
Bcen_3572,0,3,10,0,34,67,3,10
Bcen_3573,2,14,3,1,34,43,2,16
Bcen_3574,2,11,21,1,159,140,5,46
Bcen_3575,2,15,23,8,84,94,5,26
Bcen_3576,1,1,9,3,29,42,1,16
Bcen_3578,0,6,7,0,84,107,4,28
Bcen_3579,1,5,14,0,70,81,1,21
Bcen_3580,0,6,19,0,131,145,3,37
Bcen_3581,0,3,9,1,74,90,2,26
Bcen_3582,0,7,18,1,103,114,4,28
Bcen_3583,0,3,8,0,99,80,2,21
Bcen_3584,2,9,20,4,88,115,10,40
Bcen_3585,0,1,10,0,106,70,2,37
Bcen_3586,0,2,39,1,125,174,6,40
Bcen_3587,1,5,32,0,111,182,3,27
Bcen_3588,0,11,41,0,125,214,2,43
Bcen_3589,0,1,9,0,67,72,3,15
Bcen_3590,1,16,26,10,91,145,5,44
Bcen_3591,0,12,30,0,107,162,2,30
Bcen_3592,0,7,49,2,115,175,1,44
Bcen_3593,0,0,23,0,116,125,4,30
Bcen_3594,0,1,15,0,112,147,3,36
Bcen_3595,0,3,17,0,144,150,6,22
Bcen_3596,0,2,18,2,92,117,1,25
Bcen_3597,0,8,17,1,88,132,6,23
Bcen_3598,1,3,18,1,52,63,1,20
Bcen_3599,2,8,37,3,93,112,3,38
Bcen_3600,0,2,34,1,105,168,2,42
Bcen_3601,0,3,17,0,86,140,4,29
Bcen_3602,0,14,25,1,127,150,5,38
Bcen_3603,2,4,26,0,99,111,8,14
Bcen_3604,1,2,2,0,29,33,0,10
Bcen_3605,0,5,12,0,46,73,2,22
Bcen_3606,0,10,24,2,152,151,5,63
Bcen_3607,0,5,9,0,33,61,2,17
Bcen_3608,0,10,22,1,83,132,2,28
Bcen_3609,0,1,6,0,15,26,0,8
Bcen_3610,0,9,48,0,194,290,7,87
Bcen_3611,4,4,53,1,192,229,6,55
Bcen_3612,2,10,24,0,98,150,3,25
Bcen_3613,12,12,44,0,130,254,11,36
Bcen_3614,7,14,59,1,145,253,5,54
Bcen_3615,0,2,7,2,32,42,2,20
Bcen_3616,3,7,23,1,113,179,4,30
Bcen_3617,1,2,22,1,64,74,3,22
Bcen_3618,3,3,11,0,95,95,6,19
Bcen_3619,0,2,6,2,56,56,3,14
Bcen_3620,0,6,11,2,42,88,2,13
Bcen_3621,0,5,16,0,126,125,5,24
Bcen_3623,0,4,26,0,165,149,3,36
Bcen_3624,3,3,14,2,37,37,8,11
Bcen_3625,1,3,26,1,54,95,4,15
Bcen_3626,0,5,36,0,94,162,0,46
Bcen_3627,1,4,19,0,69,67,2,21
Bcen_3628,1,3,10,0,41,58,1,15
Bcen_3629,0,4,14,0,31,50,0,6
Bcen_3630,1,3,18,1,41,96,3,22
Bcen_3631,0,1,2,0,19,8,0,12
Bcen_3632,1890,142,4378,394,1503,292,1331,273
Bcen_3633,23,13,45,3,55,75,5,19
Bcen_3634,58,37,51,36,46,62,15,46
Bcen_3635,12,62,44,31,34,65,7,42
Bcen_3636,5,8,22,4,51,92,1,23
Bcen_3637,2,5,30,3,48,100,2,30
Bcen_3638,2,13,20,10,28,62,2,27
Bcen_3639,0,2,5,1,11,23,0,15
Bcen_3640,9,30,15,19,59,82,18,55
Bcen_3641,10,34,31,32,68,85,18,51
Bcen_3642,6,22,6,11,35,54,12,31
Bcen_3643,1,10,28,7,63,111,5,24
Bcen_3644,3,4,20,1,59,89,3,21
Bcen_3645,1,12,18,4,127,162,9,53
Bcen_3646,2,20,27,0,177,220,4,58
Bcen_3647,3,17,7,2,98,123,7,34
Bcen_3648,0,12,5,2,22,27,2,8
Bcen_3649,1,7,17,3,90,191,4,39
Bcen_3650,2,7,20,2,100,131,6,30
Bcen_3651,3,1,15,0,56,80,5,29
Bcen_3652,17,68,17,5,29,50,2,40
Bcen_3653,22,23,27,12,49,53,12,35
Bcen_3654,6,8,34,6,91,132,6,38
Bcen_3655,2,4,21,2,84,139,4,27
Bcen_3656,0,4,12,0,20,43,1,4
Bcen_3657,0,5,12,0,21,43,0,8
Bcen_3658,0,5,30,0,97,144,0,28
Bcen_3659,1,2,17,1,83,100,2,30
Bcen_3660,1,3,15,1,44,82,0,16
Bcen_3661,0,5,10,0,100,114,0,17
Bcen_3662,0,6,23,0,89,112,6,27
Bcen_3663,0,4,19,0,61,76,1,26
Bcen_3664,1,6,43,0,127,214,1,35
Bcen_3665,1,3,8,0,93,68,1,16
Bcen_3666,1,7,41,2,139,195,8,40
Bcen_3667,1,3,8,0,78,134,3,31
Bcen_3668,0,5,13,0,103,109,3,36
Bcen_3669,0,5,39,1,155,201,3,49
Bcen_3670,1,3,18,3,53,80,3,23
Bcen_3671,1,2,6,0,42,61,1,18
Bcen_3672,70,18,142,16,214,323,74,71
Bcen_3673,0,7,17,0,53,67,3,19
Bcen_3674,0,7,6,1,42,51,3,18
Bcen_3675,0,9,1,1,16,21,2,7
Bcen_3676,51,2,28,0,21,52,6,3
Bcen_3677,17,3,32,1,45,55,10,8
Bcen_3678,2,3,46,2,144,189,11,51
Bcen_3679,1,3,12,1,62,99,1,16
Bcen_3680,1,5,14,2,78,97,6,27
Bcen_3681,1,1,2,0,16,18,1,3
Bcen_3682,3,4,13,1,21,34,3,14
Bcen_3683,1,3,12,2,90,95,8,34
Bcen_3684,2,55,82,37,436,596,15,149
Bcen_3685,3,2,32,4,26,65,0,5
Bcen_3686,0,1,5,0,14,27,2,6
Bcen_3687,0,1,13,0,71,84,1,31
Bcen_3688,0,3,8,0,75,87,3,20
Bcen_3689,8,35,106,8,230,368,15,96
Bcen_3690,0,2,10,0,33,50,2,17
Bcen_3691,1,4,16,0,101,116,5,31
Bcen_3692,4,6,30,0,101,175,6,34
Bcen_3693,4,9,23,2,76,158,8,31
Bcen_3694,2,6,37,1,148,217,6,35
Bcen_3695,1,3,6,0,65,68,1,16
Bcen_3696,0,8,31,3,66,107,1,32
Bcen_3697,1,12,14,0,102,107,4,32
Bcen_3698,6,5,19,1,80,100,3,18
Bcen_3699,2,12,5,1,67,55,3,24
Bcen_3700,1,2,10,1,100,91,6,21
Bcen_3701,1,2,13,0,110,93,3,20
Bcen_3702,0,10,23,0,118,169,0,48
Bcen_3703,12,27,40,11,126,207,16,43
Bcen_3704,4,14,41,8,189,181,10,58
Bcen_3705,4,11,20,4,94,99,3,36
Bcen_3706,5,4,8,1,18,32,1,8
Bcen_3707,4,7,18,6,19,55,3,9
Bcen_3708,0,1,8,1,23,21,1,17
Bcen_3709,5,11,28,1,152,160,13,50
Bcen_3710,5,8,32,3,84,166,5,44
Bcen_3711,7,4,26,3,63,123,4,35
Bcen_3712,0,12,15,2,87,110,4,24
Bcen_3713,1,4,15,0,159,167,7,33
Bcen_3714,0,12,13,1,115,150,3,41
Bcen_3715,0,9,27,1,131,168,1,36
Bcen_3716,0,12,33,2,96,153,4,47
Bcen_3717,0,6,27,4,66,128,2,22
Bcen_3718,0,3,25,0,73,158,4,39
Bcen_3719,2,7,26,2,62,137,3,40
Bcen_3720,0,11,14,1,70,118,4,29
Bcen_3721,2,11,26,3,69,84,6,30
Bcen_3722,0,12,28,1,75,146,3,21
Bcen_3723,2,11,35,6,76,154,3,49
Bcen_3724,1,14,24,6,29,58,2,20
Bcen_3725,6,14,23,21,103,94,6,34
Bcen_3726,1,13,36,4,194,216,3,64
Bcen_3727,1,8,29,4,107,163,2,51
Bcen_3728,0,2,8,1,47,92,0,20
Bcen_3729,0,12,30,4,109,179,7,37
Bcen_3730,0,32,24,38,92,160,1,50
Bcen_3731,0,46,75,41,337,466,13,148
Bcen_3732,0,312,19,552,90,316,0,246
Bcen_3733,0,98,9,166,67,190,0,68
Bcen_3734,0,136,30,218,103,238,1,140
Bcen_3735,0,145,32,231,64,163,0,110
Bcen_3736,0,120,20,201,87,171,0,135
Bcen_3737,0,496,28,504,96,284,4,233
Bcen_3738,0,88,6,51,26,60,1,42
Bcen_3739,0,278,30,463,71,258,3,162
Bcen_3740,2,97,64,133,86,285,6,83
Bcen_3741,0,4,8,4,20,44,1,16
Bcen_3742,0,6,2,2,15,14,0,9
Bcen_3743,0,7,18,1,66,122,2,17
Bcen_3744,0,8,32,0,100,157,3,45
Bcen_3745,0,2,10,0,64,86,1,30
Bcen_3746,0,1,0,0,17,23,2,11
Bcen_3747,1,3,0,0,27,21,1,6
Bcen_3748,0,3,21,0,109,142,1,25
Bcen_3749,0,1,22,0,151,161,8,40
Bcen_3750,0,6,9,0,115,103,6,36
Bcen_3751,1,11,67,3,332,468,7,81
Bcen_3752,0,1,17,0,80,87,1,15
Bcen_3753,1,3,34,0,85,127,0,24
Bcen_3754,0,3,19,0,37,83,2,11
Bcen_3755,0,4,12,0,63,86,1,14
Bcen_3756,0,2,18,0,134,162,1,34
Bcen_3757,0,1,5,0,63,56,1,17
Bcen_3758,0,9,40,3,168,243,4,47
Bcen_3759,1,4,19,2,100,100,2,26
Bcen_3760,0,4,22,2,120,136,4,45
Bcen_3761,11,29,49,17,69,106,5,25
Bcen_3762,1,12,15,0,71,116,3,42
Bcen_3763,1,5,13,3,102,130,4,21
Bcen_3764,0,4,11,1,60,65,2,29
Bcen_3765,0,7,69,0,180,364,5,44
Bcen_3766,1,6,8,0,35,48,1,6
Bcen_3767,1,6,17,2,67,161,1,37
Bcen_3768,2,7,16,3,96,100,4,39
Bcen_3769,1,11,11,7,103,97,8,41
Bcen_3770,2,17,17,9,80,104,1,49
Bcen_3771,0,13,10,4,25,56,1,13
Bcen_3772,4,2,11,4,20,20,7,15
Bcen_3773,0,3,24,3,80,108,3,25
Bcen_3774,0,9,12,1,101,125,2,32
Bcen_3775,1,6,12,2,93,117,5,34
Bcen_3776,3,11,17,2,105,168,2,36
Bcen_3777,6,17,51,13,109,246,9,64
Bcen_3778,0,1,16,1,70,60,2,28
Bcen_3779,2,3,17,3,65,110,5,35
Bcen_3780,1,98,30,2,54,142,0,34
Bcen_3781,5,19,18,2,121,137,3,39
Bcen_3782,4,18,26,8,102,141,10,47
Bcen_3783,11,11,63,17,155,248,9,68
Bcen_3784,2,2,12,1,29,43,5,11
Bcen_3785,0,6,27,0,94,184,1,37
Bcen_3786,2,6,13,1,87,128,2,29
Bcen_3787,0,5,26,0,199,227,5,40
Bcen_3788,1,4,17,0,100,112,2,34
Bcen_3789,2,8,61,4,230,372,5,84
Bcen_3790,1,11,38,5,125,205,4,29
Bcen_3791,4,6,45,0,107,185,6,38
Bcen_3792,1,12,35,3,150,191,3,49
Bcen_3793,1,9,12,4,72,78,8,23
Bcen_3794,0,5,8,0,52,47,2,18
Bcen_3795,1,4,26,1,169,137,3,44
Bcen_3796,3,4,20,0,59,54,4,24
Bcen_3797,0,1,7,0,43,32,0,10
Bcen_3798,0,3,7,0,18,39,3,9
Bcen_3799,3,5,18,0,99,114,1,37
Bcen_3800,0,1,5,0,20,41,0,8
Bcen_3801,0,4,15,1,85,118,5,31
Bcen_3802,1,7,7,1,32,29,1,14
Bcen_3803,6,18,80,0,260,358,16,86
Bcen_3804,1,3,1,0,25,16,1,6
Bcen_3805,18,42,24,13,140,133,17,46
Bcen_3806,0,16,33,24,64,169,9,34
Bcen_3807,35,5,23,2,62,52,41,26
Bcen_3808,0,6,26,7,114,167,1,38
Bcen_3809,0,5,13,1,49,46,3,10
Bcen_3810,2,10,14,3,61,49,2,29
Bcen_3811,2,2,6,0,26,45,2,12
Bcen_3812,8,11,24,5,230,199,12,41
Bcen_3813,53,73,170,23,634,726,80,176
Bcen_3814,79,184,23,38,34,75,6,46
Bcen_3815,81,154,81,84,118,278,10,125
Bcen_3816,31,134,54,87,130,231,17,174
Bcen_3817,5,42,18,21,26,51,0,27
Bcen_3818,8,64,45,27,73,165,7,57
Bcen_3819,2,7,18,1,46,76,2,23
Bcen_3820,0,9,18,0,140,140,2,26
Bcen_3821,0,5,33,0,122,193,1,38
Bcen_3822,5,17,21,2,80,110,4,42
Bcen_3823,7,5,17,2,29,38,4,12
Bcen_3824,40,46,52,15,35,63,14,33
Bcen_3825,3,9,38,0,163,184,7,54
Bcen_3826,2,1,4,0,44,80,1,11
Bcen_3827,3,5,17,0,107,110,6,30
Bcen_3828,1,3,27,4,66,170,5,37
Bcen_3829,0,8,18,0,116,168,6,38
Bcen_3830,0,3,7,0,86,107,3,29
Bcen_3831,3,8,16,1,74,102,4,27
Bcen_3832,0,3,17,0,82,123,0,24
Bcen_3833,1,10,36,1,173,233,7,46
Bcen_3834,1,6,21,1,92,118,5,35
Bcen_3835,2,3,11,3,117,128,6,22
Bcen_3836,3,6,20,1,91,147,11,29
Bcen_3837,2,4,18,4,76,113,9,43
Bcen_3838,16,4,22,0,149,146,27,33
Bcen_3839,14,6,50,1,128,171,34,41
Bcen_3840,11,0,13,0,81,68,13,23
Bcen_3841,3,2,33,2,57,121,3,21
Bcen_3842,2,7,21,12,78,131,1,33
Bcen_3843,1,6,10,1,108,101,3,16
Bcen_3844,6,6,25,8,52,79,2,32
Bcen_3845,0,7,16,3,84,127,1,26
Bcen_3846,1,7,5,1,70,63,2,15
Bcen_3847,0,2,8,0,97,85,4,30
Bcen_3848,0,1,6,0,48,46,1,10
Bcen_3849,5,9,40,6,132,157,15,29
Bcen_3850,0,10,21,0,132,137,6,46
Bcen_3851,0,12,20,2,129,149,4,35
Bcen_3852,0,10,12,1,132,113,1,29
Bcen_3853,1,7,8,1,35,32,2,21
Bcen_3854,3,13,5,3,42,56,2,31
Bcen_3855,1,6,15,4,71,109,1,21
Bcen_3856,0,0,3,1,52,61,0,20
Bcen_3857,0,3,15,10,102,113,2,51
Bcen_3858,0,12,15,13,75,93,1,50
Bcen_3859,0,20,2,10,76,94,2,23
Bcen_3860,0,9,0,5,30,37,0,5
Bcen_3861,0,101,27,69,131,194,3,155
Bcen_3864,1,45,11,29,28,33,1,28
Bcen_3865,0,200,66,126,376,468,6,280
Bcen_3866,0,19,8,5,62,80,4,24
Bcen_3867,0,0,5,1,35,41,1,11
Bcen_3868,1,5,18,1,80,108,1,33
Bcen_3869,2,10,12,1,26,49,0,8
Bcen_3870,0,5,5,0,18,44,0,7
Bcen_3871,3,44,43,2,245,237,10,59
Bcen_3872,1,3,17,1,101,138,3,31
Bcen_3873,1,1,7,0,36,59,1,11
Bcen_3874,0,15,19,5,176,210,6,49
Bcen_3875,0,6,18,5,121,152,2,43
Bcen_3876,0,36,16,14,72,127,3,51
Bcen_3878,1,26,40,7,123,178,2,32
Bcen_3879,1,9,42,10,156,241,3,58
Bcen_3880,5,8,1,8,19,45,1,10
Bcen_3881,3,4,18,4,31,56,0,21
Bcen_3882,0,2,8,0,15,26,1,9
Bcen_3883,2,3,19,1,54,84,1,24
Bcen_3884,2,3,20,2,46,83,3,20
Bcen_3885,0,2,23,1,70,119,0,29
Bcen_3886,0,2,9,0,20,32,1,8
Bcen_3887,1,6,44,0,173,201,6,49
Bcen_3888,0,12,5,9,21,15,1,22
Bcen_3889,4,10,9,8,81,101,2,69
Bcen_3890,4,8,7,5,68,68,3,35
Bcen_3891,1,3,5,4,30,42,2,39
Bcen_3892,1,20,18,12,175,168,3,132
Bcen_3893,0,10,8,11,130,123,2,89
Bcen_3894,0,7,2,8,16,18,0,26
Bcen_3895,1,8,26,10,110,148,6,54
Bcen_3896,3,0,5,1,34,37,0,7
Bcen_3897,1,11,21,1,112,132,9,34
Bcen_3898,26,30,40,6,75,160,5,26
Bcen_3899,0,0,7,0,14,43,0,8
Bcen_3900,0,3,24,0,49,67,0,23
Bcen_3901,0,10,22,1,114,204,2,39
Bcen_3902,4,3,6,1,26,27,3,6
Bcen_3903,4,4,15,1,42,75,9,12
Bcen_3904,18,9,14,13,13,23,3,13
Bcen_3905,7,8,25,11,23,29,4,28
Bcen_3906,2,15,35,2,125,157,3,33
Bcen_3907,0,6,13,2,29,40,0,4
Bcen_3908,2,13,8,1,10,31,1,5
Bcen_3909,0,4,12,0,32,54,0,11
Bcen_3910,0,5,31,3,40,121,1,17
Bcen_3911,0,9,15,0,76,107,2,25
Bcen_3912,0,1,12,0,24,49,0,14
Bcen_3913,0,6,9,1,61,69,0,21
Bcen_3914,0,8,14,2,37,50,1,5
Bcen_3915,2,5,11,0,52,76,3,19
Bcen_3916,18,11,52,0,175,248,10,53
Bcen_3917,0,3,4,0,31,24,0,17
Bcen_3918,4,8,15,0,87,93,8,37
Bcen_3919,4,3,22,0,63,95,3,27
Bcen_3920,2,4,13,2,39,45,1,14
Bcen_3921,21,132,56,2,129,305,4,49
Bcen_3922,18,17,61,4,141,277,10,73
Bcen_3923,26,44,47,7,173,202,19,50
Bcen_3924,2,11,46,4,201,310,1,62
Bcen_3925,11,34,41,26,126,169,10,76
Bcen_3926,1,30,34,6,143,222,3,52
