,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0111,463,466,482,327,193,329,179,123,177,238,227,243
BPSL0112,500,480,376,448,256,384,200,150,163,135,213,212
BPSL0113,2142,2428,1677,2034,1106,1579,948,665,768,646,904,940
BPSL0113A,3028,3634,1588,1450,1104,1347,988,347,568,715,1226,1179
BPSL0114,447,409,350,432,276,468,225,168,248,224,186,218
BPSL0115,792,698,845,862,445,857,385,393,386,467,398,380
BPSL0116,2263,2185,2090,2259,1013,1816,944,912,983,850,910,968
BPSL0117,15053,15526,14706,18441,11725,17838,10212,8250,11408,6732,6237,6722
BPSL0118,7993,6638,7356,7693,3616,6846,3485,3613,4113,4214,3127,3894
BPSL0119,283,269,302,236,125,213,108,106,126,133,116,141
BPSL0120,387,370,370,300,152,270,90,104,105,120,201,145
BPSL0123,879,755,958,832,425,817,345,362,413,529,426,492
BPSL0124,5663,5906,7449,7814,5118,6655,3463,4626,3789,3843,3068,2843
BPSL0126,1264,1225,1397,1186,584,991,488,497,513,775,607,636
BPSL0127,3091,2551,3479,2783,1504,2831,1242,1410,1462,2132,1462,1593
BPSL0128,1461,1384,1464,1626,850,1425,657,788,710,980,897,856
BPSL0130,350,360,346,236,149,243,175,144,161,162,183,118
BPSL0130a,18,5,5,7,5,9,9,6,6,3,4,4
BPSL0131,10,13,7,4,3,10,4,3,5,6,10,3
BPSL0132,5,3,5,3,1,2,1,4,3,2,3,3
BPSL0133,7,10,7,8,3,3,4,1,4,1,3,2
BPSL0134,2,9,4,3,3,5,4,1,7,1,4,1
BPSL0135,9,10,8,4,2,2,1,1,3,1,3,4
BPSL0136,8,15,5,6,3,8,3,3,6,4,3,3
BPSL0137,181,178,130,79,60,102,65,46,76,49,75,60
BPSL0138,18,18,21,28,8,19,7,1,12,11,13,14
BPSL0139,46,39,28,23,10,16,15,13,12,5,21,12
BPSL0140,14,15,10,6,3,5,7,1,13,4,7,3
BPSL0141,448,447,616,361,1290,1405,222,204,231,650,702,862
BPSL0142,4164,3951,3380,3072,2969,3360,1229,787,1190,2547,1899,2567
BPSL0143,1775,1775,1815,1278,894,1125,521,393,417,1075,811,1065
