,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSS0331,151,134,118,211,82,147,86,74,77,50,49,56
BPSS0332,32,36,33,63,22,35,22,31,27,13,20,19
BPSS0333,25,27,41,45,23,39,13,27,21,17,25,19
BPSS0334,8,1,6,3,3,9,5,2,1,2,0,2
BPSS0335,19,19,26,21,15,25,9,18,19,18,15,8
BPSS0336,262,221,190,299,178,262,153,136,158,86,108,106
BPSS0337,127,138,112,263,194,341,235,204,245,54,71,50
BPSS0338,106,143,128,107,73,112,60,42,67,58,67,56
BPSS0339,56,55,57,38,26,46,21,27,21,34,25,17
BPSS0342,59,44,58,66,27,44,22,39,24,34,19,28
BPSS0343,57,53,74,43,21,34,15,30,24,19,42,24
BPSS0344,13,11,15,8,10,10,9,5,6,7,6,4
BPSS0345,11,7,15,13,10,8,9,13,10,15,7,6
BPSS0346,14,17,14,15,16,13,5,11,12,8,9,5
BPSS0347,13,7,16,13,9,15,5,10,10,17,8,4
BPSS0348,807,731,730,749,382,556,310,382,331,287,432,343
BPSS0349,661,613,571,485,371,468,277,355,291,257,309,277
BPSS0350,183,199,152,152,106,134,63,86,79,63,87,71
BPSS0351,1580,1746,1030,838,640,990,585,228,550,228,777,639
BPSS0352,1206,1127,1139,1204,724,1116,454,344,562,534,583,626
BPSS0353,1573,1720,944,2594,1400,2156,1176,955,1247,368,761,695
BPSS0354,4637,4902,4556,4297,3647,4656,2578,2170,2921,1830,2560,3015
BPSS0357,279,198,425,258,128,203,130,1049,147,414,92,169
BPSS0358,54,38,92,43,26,30,28,170,21,86,27,34
BPSS0359,160,107,229,210,67,132,77,599,90,280,61,113
BPSS0360,202,141,316,255,67,101,95,761,124,307,93,140
BPSS0361,326,260,282,318,157,266,147,238,190,146,144,149
BPSS0362,96,91,83,80,33,66,31,54,31,42,52,42
BPSS0363,1549,1579,1331,1584,708,1259,795,975,1037,616,566,664
BPSS0364,341,320,328,484,255,361,242,217,237,154,175,138
BPSS0365,567,495,593,687,318,461,270,369,295,336,250,269
BPSS0366,295,203,321,277,147,246,151,243,187,198,106,188
BPSS0367,624,429,705,668,335,716,359,580,569,637,232,374
BPSS0368,576,386,477,342,239,455,221,264,272,313,239,267
BPSS0369,24,16,21,15,10,8,13,65,6,15,7,21
BPSS0370,1431,1134,1397,862,543,1129,500,308,646,683,599,603
BPSS0372,2219,1682,3228,3499,1432,2464,1203,2107,1957,2795,1002,1509
BPSS0373,426,382,498,433,215,334,191,221,262,443,192,250
BPSS0374,866,669,755,642,306,658,329,432,450,416,323,372
BPSS0376,108,79,172,81,39,79,37,77,56,83,41,49
BPSS0377,301,276,355,224,130,244,111,136,140,229,181,159
BPSS0378,601,588,688,435,217,451,252,194,268,440,284,302
BPSS0379,78,73,65,45,35,52,35,12,19,12,40,25
BPSS0380,246,339,214,127,154,235,129,78,120,105,118,126
BPSS0380A,97,104,79,73,45,80,39,24,41,41,57,45
BPSS0380B,302,291,230,236,185,237,179,111,140,104,120,122
BPSS0381,305,401,234,188,181,269,177,98,140,106,177,148
BPSS0382,279,324,208,179,103,204,109,73,78,113,110,119
BPSS0383,10,9,9,9,8,13,6,2,5,7,6,7
BPSS0384,946,886,778,595,371,668,340,224,314,349,346,402
BPSS0384A,329,323,307,234,227,312,156,99,147,147,189,155
BPSS0385,3555,3599,2452,2103,1620,2523,1541,567,1282,1118,1323,1538
BPSS0387,2908,2840,2371,3039,1419,2486,1332,1161,1405,1081,1278,1320
BPSS0388,898,712,896,1283,471,778,490,513,618,527,349,496
BPSS0389,891,762,953,1146,483,833,425,453,630,523,385,512
BPSS0390,349,370,504,511,169,368,235,165,184,264,208,230
BPSS0391,2870,3273,3265,3001,2125,3218,1777,1294,1754,1466,1598,1607
BPSS0391A,2417,4208,4093,593,1417,760,857,843,498,1620,1262,934
BPSS0394,328,398,228,314,204,298,198,146,158,127,185,169
BPSS0395,184,259,180,257,188,195,142,135,141,113,126,124
BPSS0396,22,21,14,10,9,9,4,3,3,6,10,6
BPSS0397,0,0,0,0,0,0,0,0,0,0,0,0
BPSS0397A,0,0,0,0,0,0,0,0,0,0,0,0
BPSS0398,77,85,29,44,15,43,22,6,19,18,35,27
BPSS0399,143,176,150,122,70,132,56,36,44,45,71,77
BPSS0400,667,735,563,557,333,531,320,172,290,203,317,309
BPSS0401,1,1,0,1,0,1,1,0,0,0,1,0
BPSS0402,54,43,47,39,22,49,28,15,24,15,21,20
BPSS0403,66,65,62,58,27,50,37,33,30,29,32,32
BPSS0404,234,314,214,110,73,157,95,64,85,95,134,94
BPSS0405,155,166,138,146,81,145,119,60,96,94,50,66
BPSS0406,32,26,21,18,5,19,11,6,10,6,7,13
BPSS0407,644,757,440,353,212,405,219,161,218,185,297,242
BPSS0408,159,230,135,90,55,87,40,37,51,43,92,70
BPSS0409,5861,7798,2874,1494,1408,1915,1251,431,996,571,3210,1778
BPSS0410,2820,3276,1128,664,527,784,532,184,414,228,1149,706
BPSS0411,6157,9358,1791,1180,961,1145,1209,156,749,279,2398,1372
BPSS0412,64,53,25,22,30,47,19,9,12,10,42,24
BPSS0413,1612,1854,1051,872,516,973,584,208,487,302,731,622
BPSS0414,4081,3933,2968,2099,1297,2658,1187,521,1260,824,1745,1489
BPSS0415,2532,2277,2614,2091,1136,2824,1002,492,1394,1014,1304,1122
BPSS0416,1251,1210,1240,1094,565,1205,530,243,579,383,637,539
BPSS0416A,1768,1323,1548,1601,857,2027,579,462,656,662,1280,934
BPSS0417,5707,5064,4943,2936,1823,4414,1779,634,2084,1821,2993,2631
BPSS0418,2338,2475,1790,1432,958,1882,732,226,858,691,1334,1164
BPSS0422,13129,13342,9206,7274,4440,10220,4637,826,5241,2409,6623,5844
BPSS0423,2810,2570,2301,1393,795,2149,851,181,1115,677,1424,1293
BPSS0424,2175,1966,1697,1156,742,1795,737,133,865,484,1067,939
BPSS0425,3950,4171,1998,1325,800,2314,1048,89,1017,426,1706,1458
BPSS0426,3921,4319,2191,1220,813,2460,981,66,1157,331,1943,1434
BPSS0427,1345,1159,831,392,207,815,270,20,304,133,678,425
BPSS0428,1608,1544,995,405,224,961,344,21,466,135,779,586
BPSS0429,790,726,450,209,133,515,183,11,266,89,372,328
BPSS0431,375,377,328,206,114,240,108,128,155,126,195,161
BPSS0432,408,427,317,249,127,254,128,78,156,101,208,148
BPSS0433,132,132,125,97,45,107,37,37,46,45,78,55
BPSS0434,253,262,244,167,85,199,90,75,118,96,146,108
BPSS0435,230,234,256,148,93,173,80,82,86,88,141,113
BPSS0436,341,263,277,214,129,252,113,83,152,140,149,109
BPSS0437,38,29,35,37,18,36,21,10,20,20,26,18
BPSS0438,326,315,250,218,86,200,97,99,138,107,158,124
BPSS0439,1144,1354,626,464,179,456,259,125,336,110,365,343
BPSS0440,21,14,7,6,8,14,4,3,10,3,4,9
BPSS0441,499,497,223,234,117,241,137,78,161,79,191,149
BPSS0442,169,179,104,108,42,95,44,38,83,33,94,64
BPSS0443,116,120,79,72,29,75,31,10,38,15,62,47
BPSS0446,117,126,102,108,48,82,45,39,48,36,69,41
BPSS0447,494,498,441,498,213,359,231,325,283,228,286,209
BPSS0448,633,788,308,343,179,236,251,123,157,131,221,174
BPSS0449,578,542,502,450,246,338,238,353,245,301,279,241
BPSS0450,141,133,116,72,54,87,52,70,60,59,84,60
BPSS0451,656,839,350,479,252,335,223,304,201,135,349,221
BPSS0452,1385,1316,1154,1199,968,647,694,2193,424,848,848,841
BPSS0453,607,441,730,426,300,518,212,300,245,454,404,361
BPSS0454,2,2,1,1,2,1,0,1,1,3,3,1
BPSS0455,71,79,135,44,50,40,50,28,36,106,40,52
BPSS0456,57,64,93,38,36,30,41,28,21,99,31,35
BPSS0457,11,10,10,5,10,3,8,9,6,11,8,7
BPSS0458,14,16,23,11,3,9,15,10,4,12,7,7
BPSS0459,19,31,36,17,17,12,14,17,8,26,11,14
BPSS0460,827,1685,832,3959,2696,2524,2131,496,1326,619,578,408
BPSS0461,630,662,829,725,643,1382,585,405,691,327,321,313
BPSS0462,714,570,764,660,597,1072,442,342,509,305,357,293
BPSS0463,115,167,111,96,53,93,48,51,45,40,64,44
BPSS0468,30,59,17,14,10,20,8,9,5,8,15,13
BPSS0469,48,84,28,14,20,14,22,11,10,12,38,10
BPSS0470,48,47,36,22,15,30,14,12,12,14,27,13
BPSS0471,187,220,50,41,40,45,38,15,23,18,82,57
BPSS0472,949,944,573,476,232,459,306,304,266,238,332,288
BPSS0473,2442,2398,1883,1571,778,1591,998,1165,1009,824,1275,898
BPSS0475,57,58,55,31,17,28,18,14,16,22,32,22
BPSS0478,241,208,277,314,135,249,113,140,132,179,87,95
BPSS0479,6080,4912,6061,6588,3627,4972,3030,3122,3143,3148,3257,3234
BPSS0480,0,0,0,0,0,0,0,0,0,0,0,0
BPSS0481,3124,2359,6493,22291,6581,7416,2822,12796,4039,12462,2094,3110
BPSS0482,1230,1063,2678,9136,2650,3373,1072,5563,1518,5038,1144,1287
BPSS0483,2167,2120,4176,17790,5109,5277,2043,9073,2770,6977,1744,2336
BPSS0485,955,874,2057,7649,1992,2172,867,4075,1082,3191,727,983
BPSS0486,8274,8172,17208,71344,17732,18123,8038,34725,10783,24676,6775,7806
BPSS0487,6173,5981,14255,50598,13242,14598,6321,27766,8353,18220,4994,5702
BPSS0488,535,510,866,3187,807,729,471,1262,449,1143,341,373
BPSS0489,415,458,490,833,344,377,212,283,205,256,214,211
BPSS0493,20682,17170,17323,12435,5672,18273,8898,3219,13151,4967,8383,8229
BPSS0494,68,79,84,68,31,89,35,29,43,39,44,41
BPSS0495,81,68,78,61,37,50,43,30,38,37,47,36
BPSS0496,579,530,409,303,142,341,222,121,188,172,229,225
BPSS0497,155,129,135,90,59,81,66,44,48,33,64,62
BPSS0498,135,152,108,79,62,97,51,48,56,51,68,63
BPSS0499,272,281,334,235,95,229,146,102,138,135,168,148
BPSS0500,2361,2150,2311,1981,930,1717,935,1313,1149,1205,1143,1043
BPSS0501,329,293,297,311,118,234,120,188,134,191,164,143
BPSS0502,447,409,417,479,265,343,287,402,226,255,191,189
BPSS0503,55,31,51,35,21,25,22,26,22,45,29,18
BPSS0504,125,109,165,104,39,71,65,98,66,122,61,64
BPSS0505,186,146,183,132,66,116,61,104,73,135,70,73
BPSS0506,168,122,268,156,73,133,62,120,86,149,84,106
BPSS0507,1957,1484,2897,2291,1088,1926,783,1350,1279,1678,1059,1209
BPSS0508,2700,2183,3759,2838,1347,2441,929,1614,1576,2053,1488,1570
BPSS0509,7749,6496,9564,7520,3688,6158,2873,3554,3965,4887,3632,4049
BPSS0510,2109,1575,2996,2028,1104,1961,817,1179,1284,1881,1030,1193
BPSS0511,1540,1223,2492,1196,711,1513,487,709,818,1502,971,824
BPSS0512,2861,2731,3888,2571,1657,2469,1118,1191,1428,1955,1573,1559
BPSS0513,2172,2015,2818,1836,1013,1815,808,816,1055,1527,1107,1055
BPSS0514,6392,5416,6546,6375,3400,5140,3380,4904,3886,4343,2766,3162
BPSS0515,108,120,153,22,18,32,14,22,11,116,74,70
BPSS0516,69,76,60,16,14,17,6,9,9,92,39,41
BPSS0517,173,172,116,44,21,34,26,23,21,110,67,70
BPSS0518,128,146,188,24,25,30,20,14,21,76,76,75
BPSS0519,23,20,30,10,5,7,6,5,4,21,12,10
BPSS0520,97,87,93,37,16,33,15,19,19,59,43,38
BPSS0521,34,33,35,19,8,21,7,9,10,27,19,14
BPSS0522,124,122,116,72,67,88,46,56,66,87,67,54
BPSS0523,115,122,124,63,68,119,50,50,53,112,65,79
BPSS0524,214,240,223,151,117,177,106,92,96,110,115,100
BPSS0525,202,221,226,166,118,198,99,86,106,115,105,102
BPSS0526,66,63,81,51,28,45,43,33,38,46,40,36
BPSS0527,55,57,69,52,32,33,28,27,26,34,41,25
BPSS0528,53,68,51,50,35,52,34,22,36,38,34,33
BPSS0529,68,75,91,57,30,66,42,40,31,55,35,25
BPSS0530,149,157,169,115,60,132,70,67,59,92,62,54
BPSS0531,92,87,118,79,51,80,42,47,38,42,54,29
BPSS0532,272,305,348,218,146,221,131,118,115,177,160,174
BPSS0533,194,210,203,105,137,152,65,43,80,79,144,131
BPSS0534,75,68,72,32,50,79,23,21,32,37,51,49
BPSS0535,81,75,62,66,29,51,31,25,28,36,35,41
BPSS0536,391,458,332,341,235,294,217,133,191,134,241,227
BPSS0537,70,92,101,56,71,100,38,30,34,33,81,44
BPSS0538,54,68,92,38,58,67,30,25,33,36,83,44
BPSS0539,151,181,152,71,101,104,47,39,52,76,116,76
BPSS0540,20,17,17,15,2,7,5,4,5,12,16,10
BPSS0541,27,27,34,17,19,33,10,4,13,11,31,17
BPSS0542,193,151,133,168,91,133,72,104,92,81,70,69
BPSS0543,1358,1004,1233,947,554,1035,524,585,542,577,572,573
BPSS0544,179,143,207,194,86,196,73,109,116,111,75,81
BPSS0546,61,55,52,40,23,52,35,20,23,31,29,33
BPSS0548,19,18,25,18,11,11,6,16,6,12,9,9
BPSS0549,9,5,3,4,1,6,1,1,1,1,3,2
BPSS0550,29,26,33,39,21,22,18,12,17,12,15,21
BPSS0551,22,16,24,25,15,29,10,10,11,11,6,13
BPSS0552,10,16,12,13,2,13,7,14,5,9,10,8
BPSS0553,3,13,15,8,0,5,1,5,3,1,4,6
BPSS0554,38,52,37,48,22,40,30,27,27,20,19,20
BPSS0555,58,44,50,52,25,39,24,31,27,17,21,17
BPSS0556,21,22,24,21,8,19,8,2,13,8,11,12
BPSS0557,1074,1046,1296,561,399,619,426,416,411,663,471,527
BPSS0558,188,186,238,97,90,122,71,74,101,135,83,89
BPSS0559,104,95,118,82,49,74,31,49,57,87,70,51
BPSS0560,84,97,127,60,40,74,32,45,46,78,55,40
BPSS0561,40,41,39,39,17,25,22,29,23,34,27,29
BPSS0562,141,193,108,70,45,66,46,30,45,55,83,48
BPSS0563,771,1421,357,374,137,199,186,150,128,109,449,192
BPSS0564,5253,9529,2747,2195,1170,1191,1114,640,823,425,2985,1097
BPSS0565,111,109,102,64,31,63,38,42,33,37,62,47
BPSS0566,27,38,33,19,8,20,13,14,14,13,10,13
BPSS0567,27,32,25,25,13,15,14,25,17,15,21,10
BPSS0568,44,52,59,51,34,37,19,38,26,45,46,33
BPSS0569,45,44,71,34,31,41,12,29,25,27,35,23
BPSS0570,223,197,249,99,66,168,63,52,115,95,95,91
BPSS0571,3125,3060,2351,2227,1223,2989,1549,648,2282,843,1198,1296
BPSS0572,634,616,544,552,266,496,208,157,275,228,277,243
BPSS0573,556,513,363,537,258,572,274,182,302,180,219,176
BPSS0574,151,162,225,194,97,169,67,134,98,100,105,91
BPSS0580,1208,1412,900,738,518,1078,604,414,665,265,809,505
BPSS0592,2,2,4,1,1,4,1,3,1,0,2,2
BPSS0593,11,9,16,9,12,14,6,9,2,9,5,5
BPSS0594,20,22,30,17,5,20,15,21,9,19,13,8
BPSS0595,56,43,43,35,19,47,17,16,14,26,21,16
BPSS0596,1324,1317,1190,1263,778,1054,507,673,467,456,840,609
BPSS0597,44,42,40,33,14,29,16,20,13,12,19,27
BPSS0598,326,281,217,245,170,212,92,48,100,82,157,162
BPSS0599,5,7,19,11,6,7,3,3,5,7,10,6
BPSS0600,24,16,26,13,9,20,10,13,12,15,13,11
BPSS0601,630,507,651,514,244,365,270,306,245,426,269,298
BPSS0602,287,235,313,238,145,245,123,141,131,127,152,170
BPSS0603,880,1011,537,472,347,511,368,202,274,216,409,349
BPSS0604,188,161,109,77,66,72,71,55,59,75,93,64
BPSS0605,283,204,249,251,124,220,128,169,137,91,116,128
BPSS0606,1540,1689,1295,1205,661,1131,605,642,780,573,675,695
BPSS0607,586,552,524,315,194,495,193,148,230,190,255,227
BPSS0608,355,383,230,190,109,295,129,50,140,80,178,160
BPSS0609,474,503,368,278,142,321,106,53,136,69,209,184
BPSS0610,486,523,321,214,126,277,127,38,132,63,213,144
BPSS0611,248,291,197,144,90,179,94,43,100,74,111,112
BPSS0612,232,230,224,137,115,193,79,84,108,91,128,87
BPSS0613,97,83,62,50,39,53,25,18,26,34,41,37
BPSS0614,224,196,110,134,117,187,69,40,98,27,113,60
BPSS0615,180,176,116,123,69,162,50,45,65,37,106,55
BPSS0616,300,248,326,245,193,313,144,199,147,156,157,136
BPSS0617,4374,7211,1886,1699,2956,1462,701,315,567,532,4120,1636
BPSS0618,5399,9946,2445,1932,3984,1796,804,306,589,552,5643,1986
BPSS0621,2043,3508,928,602,1374,778,268,128,252,202,2126,614
BPSS0622,3016,5225,1480,944,2132,1275,517,264,468,295,3358,971
BPSS0623,1109,1075,1400,3929,2360,4811,1718,2804,3086,871,521,469
BPSS0625,1626,1630,2221,5225,3506,6123,2889,3140,4176,1223,622,673
BPSS0626,80,91,77,74,48,81,50,44,40,36,41,32
BPSS0627,86,92,84,95,53,88,44,63,58,56,42,28
BPSS0629,74,93,83,80,75,105,33,37,61,49,56,34
BPSS0630,1080,1062,1259,1795,850,1216,539,843,793,730,495,498
BPSS0631,295,279,429,468,222,356,176,225,227,248,168,148
BPSS0632,486,424,642,579,292,467,227,303,312,471,230,284
BPSS0634,164,180,149,199,115,125,94,42,77,66,68,82
BPSS0635,2346,2212,1976,2898,1332,2332,1272,1409,1439,773,1297,931
BPSS0636,2144,2186,2481,2034,1816,1914,1296,1004,1355,1089,1400,1355
BPSS0639,290,339,270,271,163,246,129,85,162,133,157,121
BPSS0640,257,267,311,257,133,264,99,63,138,153,169,121
BPSS0641,338,342,368,336,164,293,147,110,199,165,206,166
BPSS0642,390,369,392,361,191,402,202,204,285,221,198,190
BPSS0643,206,211,214,184,100,196,113,100,142,97,95,91
BPSS0644,878,797,1159,713,293,597,272,393,338,422,401,419
BPSS0645,2340,2579,1560,688,555,1253,951,382,721,555,1330,1026
BPSS0646,429,491,478,220,132,321,175,122,221,238,247,217
BPSS0647,54,65,99,42,29,48,39,29,23,49,39,29
BPSS0649,40,46,42,17,21,29,41,13,21,24,30,20
BPSS0650,1976,1687,2106,1784,951,1814,965,1288,1138,1156,979,1026
BPSS0651,205,190,208,222,96,176,101,131,139,113,120,111
BPSS0652,1268,1191,1112,978,479,870,468,406,387,430,599,590
BPSS0654,248,293,199,155,101,180,107,77,134,85,108,93
BPSS0655,390,534,205,150,132,187,159,47,145,63,186,121
BPSS0656,458,627,215,157,191,286,201,67,174,55,178,154
BPSS0658,514,596,277,709,372,442,1605,390,1258,120,134,158
BPSS0659,76,101,60,51,21,40,85,38,63,36,27,25
BPSS0663,51,87,53,27,41,54,53,53,62,13,45,36
BPSS0664,42,76,36,19,26,41,60,16,41,28,32,23
BPSS0665,431,571,277,279,149,382,233,229,274,132,209,154
BPSS0666,1123,1370,486,863,350,1124,476,152,534,157,456,332
BPSS0668,101,79,134,124,66,124,65,69,97,74,50,52
BPSS0669,505,417,547,556,288,618,258,361,402,339,269,256
BPSS0670,278,285,397,348,180,294,197,290,199,242,164,169
BPSS0671,218,255,160,279,163,289,279,474,206,66,147,79
BPSS0672,41,30,37,27,26,24,8,28,18,16,27,22
BPSS0673,35,28,27,19,12,26,13,7,12,12,18,13
BPSS0674,12,12,11,7,7,28,3,5,7,5,5,6
BPSS0675,579,548,592,338,202,404,218,178,235,213,318,254
BPSS0676,562,521,401,387,176,447,216,214,253,158,287,186
BPSS0677,5742,7432,2333,2038,639,3734,692,342,1817,268,3086,1191
BPSS0679,2449,2650,1591,4165,1493,2813,1202,1099,1856,601,1445,1021
BPSS0680,322,384,274,558,191,385,163,157,230,89,184,133
BPSS0681,630,531,430,540,250,570,286,299,343,165,219,191
BPSS0682,170,185,162,195,110,182,97,88,92,56,114,93
BPSS0683,3562,3885,2669,5317,2715,4278,1888,1582,2173,1313,2463,2121
BPSS0684,137,117,110,196,100,159,73,74,87,71,77,68
BPSS0685,58,56,107,114,71,127,44,51,53,60,57,44
BPSS0686,86,87,101,806,455,889,48,47,57,558,463,384
BPSS0686a,1,1,0,36,25,70,0,0,0,37,56,27
BPSS0687,227,210,192,11745,6691,12560,295,218,345,2470,2586,1990
BPSS0688,220,180,181,4598,2393,4564,2300,2064,3241,453,470,428
BPSS0689,262,302,271,41226,15524,38639,21359,28179,36834,123,158,140
BPSS0690,617,660,606,58295,22322,57340,17790,31026,33244,391,415,355
BPSS0691,1184,1452,960,3233,1111,2455,1019,1173,1496,512,677,626
BPSS0692,165,184,194,848,334,848,256,392,442,79,114,96
BPSS0693,231,259,232,959,484,958,308,398,555,98,137,124
BPSS0699,247,268,236,315,162,376,160,177,203,143,136,111
BPSS0700,1557,1925,1162,2450,1040,2637,1041,594,1710,332,1167,712
BPSS0701,386,558,308,682,266,682,242,127,370,76,297,209
BPSS0702,30,28,25,35,38,51,23,26,36,20,21,13
BPSS0703,10,17,14,24,7,16,11,5,5,11,5,4
BPSS0704,28,21,26,41,22,29,34,18,18,14,21,11
BPSS0705,26,26,12,31,28,24,11,22,17,8,18,8
BPSS0706,74,44,60,68,31,73,36,40,31,31,32,30
BPSS0707,673,638,725,665,359,696,299,357,338,368,383,351
BPSS0708,3717,3994,3581,6668,4308,6575,4262,2499,3371,1892,2464,2131
BPSS0709,129,146,116,152,110,161,88,71,85,63,79,83
BPSS0710,925,1044,794,860,490,774,431,402,481,285,611,457
BPSS0712,1381,1424,1006,1042,865,1628,843,419,893,190,657,467
BPSS0713,2380,2306,2027,1794,1383,2802,1407,583,1621,325,1078,824
BPSS0714,1925,1899,1379,1546,993,2220,1166,420,1265,256,893,594
BPSS0715,458,391,317,311,205,468,215,140,252,106,209,134
BPSS0716,274,280,261,240,148,249,131,104,180,107,128,104
BPSS0717,256,240,268,232,118,262,101,122,166,124,107,114
BPSS0718,564,637,546,553,265,417,292,325,251,298,323,260
BPSS0719,873,827,931,602,391,649,408,360,388,360,379,349
BPSS0720,729,668,775,648,293,605,336,407,356,286,250,292
BPSS0721,2754,2984,2455,2362,3076,1696,1891,4070,1121,1771,1832,1688
BPSS0723,353,333,510,372,245,354,196,372,214,337,257,262
BPSS0724,474,513,468,823,451,763,386,568,503,282,294,239
BPSS0725,1578,2154,1405,2033,1363,1760,1289,1310,1281,578,916,730
BPSS0726,441,393,471,327,291,395,238,400,232,360,269,225
BPSS0727,73,70,109,89,62,96,54,70,61,57,57,57
BPSS0730,1082,874,1068,1130,731,879,547,727,428,546,429,572
BPSS0731,424,1893,586,638,1343,369,1100,543,396,184,788,220
BPSS0732,132,224,151,310,228,241,140,77,118,87,118,64
BPSS0733,688,1068,856,2149,1504,1591,1053,299,753,518,633,408
BPSS0735,34,23,31,27,25,38,13,14,21,15,20,19
BPSS0736,55,50,69,63,64,127,58,54,57,33,54,25
BPSS0737,30,35,41,33,33,63,29,28,35,17,22,20
BPSS0738,74,80,58,75,50,77,71,42,61,28,52,29
BPSS0738A,23,23,42,39,21,39,15,25,20,31,20,16
BPSS0739,178,160,205,149,87,167,94,107,111,134,82,71
BPSS0740,6,10,14,4,1,8,6,5,5,4,8,12
BPSS0741,425,504,279,445,225,379,259,248,239,172,181,199
BPSS0742,404,320,384,287,186,354,145,171,182,151,192,221
BPSS0743,354,298,314,314,175,284,166,142,158,174,201,175
BPSS0745,54,60,37,36,21,38,25,16,20,15,29,25
BPSS0746,279,276,182,155,151,207,110,123,127,93,104,111
BPSS0747,48,62,45,39,27,40,30,29,27,37,37,16
BPSS0748,143,240,61,176,112,150,56,54,68,37,127,69
BPSS0749,107,90,112,78,41,82,34,42,44,50,65,45
BPSS0750,50,47,52,40,25,50,22,31,22,27,21,26
BPSS0751,151,176,184,182,105,169,72,104,93,84,90,79
BPSS0752,96,132,119,101,35,74,42,32,46,36,49,39
BPSS0753,4,3,2,3,0,3,0,3,2,2,4,6
BPSS0754,11,13,8,7,5,5,6,9,3,12,6,2
BPSS0755,176,179,196,254,125,244,137,196,175,102,95,87
BPSS0756,3,4,4,5,4,5,4,1,4,6,6,1
BPSS0757,51,63,45,41,22,43,29,22,18,26,32,20
BPSS0758,255,240,193,162,107,203,93,64,104,59,115,93
BPSS0760,1023,917,1279,1429,595,1158,547,660,625,696,499,538
BPSS0762,1276,1195,769,793,440,961,308,136,327,214,691,452
BPSS0763,4662,4149,2408,2601,1392,3102,1148,257,1107,378,2031,1527
BPSS0764,4323,3696,2276,2223,1047,2731,868,266,1006,453,1940,1424
BPSS0765,2739,2274,1817,1248,858,1988,623,250,875,392,1390,1164
BPSS0766,2004,1852,1690,694,663,1809,896,210,1531,354,1125,900
BPSS0767,5468,7007,3315,2824,2462,4365,1957,407,1947,622,3045,2305
BPSS0768,75,74,38,43,26,52,38,12,53,18,35,30
BPSS0769,294,294,330,214,124,336,134,69,277,131,185,167
BPSS0769A,2,0,0,0,0,0,0,0,2,0,0,0
BPSS0770,27,18,23,10,9,13,12,6,11,12,20,8
BPSS0771,6,5,7,4,4,9,4,4,6,2,6,3
BPSS0772,113,82,132,78,47,115,43,49,72,92,63,61
BPSS0776,78,66,108,78,43,75,56,46,45,49,56,46
BPSS0777,121,138,153,111,47,124,74,68,65,89,67,64
BPSS0778,235,273,216,213,115,173,123,99,127,112,131,109
BPSS0779,34,38,39,39,20,32,19,17,29,22,25,21
BPSS0780,30,39,30,30,12,30,11,12,18,12,27,18
BPSS0781,48,56,44,37,21,43,18,23,29,20,29,23
BPSS0782,16,18,19,14,9,11,5,2,9,4,20,5
BPSS0783,72,50,78,71,41,81,26,47,20,25,33,36
BPSS0784,52,47,62,42,33,46,31,27,28,39,32,25
BPSS0785,529,467,371,383,152,235,235,202,220,154,193,207
BPSS0786,62,47,45,31,31,39,22,39,22,19,26,28
BPSS0787,39,37,43,31,16,38,17,40,15,17,25,15
BPSS0788,26,23,23,14,11,19,16,19,8,8,15,10
BPSS0789,13,5,4,3,1,1,2,3,2,1,2,1
BPSS0790,38,33,42,33,19,28,9,35,11,14,22,24
BPSS0791,17,17,26,11,7,8,5,11,6,10,14,4
BPSS0792,23,24,18,18,12,13,9,21,5,13,18,12
BPSS0793,35,32,31,34,15,28,17,25,18,14,21,12
BPSS0794,26,27,30,23,10,17,11,17,7,15,17,16
BPSS0795,17,14,18,14,13,16,9,5,17,14,9,14
BPSS0796,176,200,164,167,93,161,89,112,119,80,86,93
BPSS0796A,21,18,16,55,27,81,158,198,248,7,9,10
BPSS0797,41,41,54,70,42,87,184,347,399,12,24,18
BPSS0798,36,26,23,43,28,52,99,195,192,16,17,17
BPSS0799,77,79,56,164,63,166,609,834,1039,23,23,25
BPSS0800,329,279,403,224,120,227,131,129,165,169,134,151
BPSS0801,197,211,199,334,128,170,145,199,146,114,107,112
BPSS0802,47620,53036,34437,20111,13527,19278,12364,7503,11706,5622,17699,13793
BPSS0803,1418,1443,1471,1333,754,1389,697,579,810,617,717,660
BPSS0804,78,66,90,66,50,88,49,42,39,35,40,20
BPSS0805,249,341,266,520,259,383,239,103,181,135,149,139
BPSS0806,352,377,285,316,199,406,228,159,231,124,140,160
BPSS0809,402,395,410,315,169,314,127,135,182,185,222,206
BPSS0810,1725,1787,1321,720,504,1142,556,127,603,238,1060,718
BPSS0811,2885,2897,1225,1343,843,1554,837,141,708,286,1176,830
BPSS0812,4217,3418,2323,1750,1191,2686,1023,286,1217,628,1574,1364
BPSS0812A,9351,11253,8158,8606,4927,5955,3025,1058,2488,2582,5480,4197
BPSS0813,470,698,425,696,388,465,378,91,227,123,227,191
BPSS0814,110,183,104,226,124,118,128,20,54,37,59,49
BPSS0815,208,307,240,379,208,235,174,56,89,60,151,83
BPSS0816,904,909,966,919,458,844,338,390,435,423,549,423
BPSS0817,4821,4094,5473,4907,2149,4617,1789,2313,2513,2642,2640,2490
BPSS0818,1766,1295,1854,723,419,931,500,100,525,662,564,716
