gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAL0122,26,3,8,32,51,5
BCAL1545,9,2,7,34,32,1
BCAM1163,21,3,7,32,27,7
"BCAM0796,BCAM0797",12,2,5,23,15,4
BCAL3367,303,18,10,293,291,23
BCAL0728,83,6,22,93,90,18
BCAM0140,15,0,7,10,22,3
BCAS0610,166,8,70,200,158,45
"BCAM0079,BCAM0080",12,1,7,21,21,2
BCAS0609,90,15,24,124,127,29
BCAL0014,27,2,13,49,21,8
BCAL3366,102,2,14,98,85,7
"BCAL1532,BCAL1533",135,4,46,122,146,25
BCAM2114,25,3,12,41,46,6
BCAM0984,38,5,18,45,54,15
BCAM1604,13,3,7,35,27,4
BCAM2135,14,2,3,17,16,4
BCAM1955,49,3,14,49,71,7
BCAL0039,42,3,20,61,62,9
BCAS0241,48,6,20,91,68,11
BCAM0184,54,1,11,58,36,6
BCAM1156,39,3,7,34,36,8
BCAL1519,29,2,12,25,26,10
BCAL0518,59,4,14,94,70,4
BCAL3506,118,18,81,297,219,33
BCAL0273,39,1,17,35,36,10
BCAL3288,44,2,10,28,33,10
BCAS0662,56,8,43,109,116,20
BCAM0030,102,6,24,108,94,17
BCAM1342,21,1,7,21,28,3
BCAL3381,16,1,10,17,12,7
BCAS0618,26,1,8,17,29,5
BCAL0603,40,4,25,53,96,8
BCAL1543,13,2,9,26,26,4
BCAM1098,64,9,46,124,111,22
BCAM0766,31,2,16,54,35,6
BCAL0202,42,4,22,63,81,7
BCAL1527,54,0,8,28,45,4
BCAL3007,72,8,22,95,102,12
BCAL0269,236,15,70,146,153,70
BCAM2112,20,3,3,24,17,5
BCAS0189,40,1,24,36,58,9
BCAM2208,53,2,16,45,53,8
BCAM1876,25,4,25,57,58,9
BCAL3191,161,12,48,264,99,25
BCAL1863,999,123,355,1349,1291,210
BCAS0124,52,14,19,70,126,16
"BCAL3488,BCAL3489",49,3,21,54,38,12
BCAL3474,823,91,325,1111,1066,165
BCAM0577,20,1,6,16,22,3
BCAL1145,32,1,5,15,20,5
BCAL2434,19,4,10,29,43,5
BCAL0937,28,1,4,25,21,2
BCAM1923,32,10,21,65,61,16
BCAL1535,219,29,79,272,329,42
BCAL1548,33,2,11,44,50,1
BCAM1081,45,4,10,49,40,7
BCAS0669,92,9,30,94,85,21
BCAL1979,203,10,58,175,163,33
BCAM2427,27,0,16,37,37,2
BCAL3358,2520,328,1139,3440,3453,574
BCAM0257,217,24,135,370,279,54
BCAS0697,33,3,15,40,39,7
BCAL1270,126,15,39,161,110,28
BCAL0206,333,23,68,324,300,39
BCAS0070,24,2,4,19,19,4
BCAL2117,64,7,28,61,96,14
BCAL0541,77,8,27,95,79,15
BCAL2998,24,1,5,22,15,3
BCAL3483,19,2,9,19,17,6
BCAM2070,8,3,5,13,19,4
