gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAL0583,1,0,0,2,1,0
BCAS0074,1,0,0,2,1,0
"BCAM2587,BCAM2588",2,0,0,1,3,0
BCAM0411,1,0,0,2,1,0
BCAM2652,1,0,0,2,1,0
BCAS0699,5,0,0,2,0,2
BCAM1158,1,0,0,3,0,0
BCAM0932,1,0,0,3,0,0
BCAS0064,2,0,0,4,2,0
BCAL2798,1,0,0,3,0,0
BCAL1340,1,0,0,3,0,0
BCAM2507,4,0,2,14,9,1
BCAM1936,1,0,0,3,0,0
"BCAM2387,BCAM2388,BCAM2389,BCAM2390",26,2,10,23,10,3
BCAS0769,4,0,1,7,7,1
BCAM0614,10,0,1,12,19,1
BCAL2699,4,0,4,20,20,1
BCAM0500,1,0,0,3,0,0
BCAM2745,1,0,1,8,4,0
"BCAL2257,BCAL2258",1,0,0,3,0,0
BCAM1598,11,0,0,14,17,0
"BCAL0453,BCAL0454",7,0,0,1,4,2
BCAL2467,5,0,0,6,2,1
BCAS0338,7,0,0,2,11,1
BCAM2031,1,0,0,3,0,0
BCAM1093,3,0,0,2,0,1
BCAM1172,0,0,1,0,2,1
BCAM0441,4,0,0,6,5,0
BCAL0766,10,0,1,12,11,2
BCAM1967,5,0,1,12,10,0
BCAM0574,0,0,1,2,0,1
BCAL1430,5,0,2,15,15,0
BCAM0410,3,0,0,2,6,0
BCAM0239,12,0,2,13,10,4
"BCAM0933,BCAM0934",1,0,0,4,0,0
BCAM0827,2,0,1,4,3,1
"BCAS0197,BCAS0198",3,0,2,11,11,0
BCAM2802,0,0,1,4,4,0
BCAL0442,3,0,1,1,2,2
BCAM0085,4,0,0,1,3,1
BCAM1862,5,0,0,7,6,0
BCAL1955,1,0,2,6,6,1
BCAM0620,12,0,1,14,18,1
BCAM0672,1,0,1,2,2,1
BCAM0775,0,0,3,5,18,0
BCAM0463,2,0,0,1,4,0
BCAM2607,2,0,0,1,4,0
"BCAM0460,BCAM0461",6,0,2,6,13,2
BCAM2532,0,0,2,3,6,1
BCAL0711,1,1,1,1,21,2
BCAM2201,4,0,0,3,7,0
BCAM1409,3,0,1,7,2,1
BCAL0920,4,0,0,4,6,0
BCAM2217,1,0,1,2,8,0
BCAM0077,10,0,4,9,8,6
BCAM1431,3,0,0,0,1,1
BCAM0665,3,0,0,0,1,1
BCAM2498,3,0,0,0,1,1
BCAL1425,4,1,2,15,9,4
BCAL2797,5,0,0,4,2,1
BCAL1223,4,0,1,8,3,1
BCAM1067,6,0,0,1,1,2
BCAL2804,7,0,0,8,9,0
BCAL2195,6,0,1,9,13,0
BCAL1857,3,0,0,0,7,0
BCAM1389,5,0,1,3,10,1
BCAL1088,0,0,1,0,1,1
BCAL1546,1,0,4,8,5,3
BCAM0762,10,0,2,21,18,0
BCAM1612,3,0,1,2,6,1
"BCAS0130,BCAS0131",20,0,2,31,8,3
BCAL0589,3,0,0,1,6,0
BCAM2293,3,0,0,2,5,0
BCAM0405,3,0,0,2,5,0
BCAM1511,3,0,0,2,5,0
BCAS0278,1,0,3,4,7,2
BCAM1781,8,0,0,4,2,2
BCAM2408,3,0,0,4,3,0
BCAM0468,4,0,3,12,6,2
"BCAS0574,BCAS0575,BCAS0576",1,0,4,6,23,0
BCAM0840,9,0,0,2,6,2
BCAM1546,4,0,1,6,4,1
BCAM0133,3,0,1,8,6,0
BCAM1772,1,0,2,4,6,1
BCAS0249,5,0,3,13,7,2
BCAL0633,0,0,1,3,4,0
"BCAM1268a,BCAM1269",1,0,1,3,0,1
BCAM2379,9,0,0,2,12,1
"BCAM2411,BCAM2412",12,0,0,4,5,4
BCAL2750,3,0,1,0,1,2
BCAM1332,5,0,0,3,2,1
BCAM1348,5,0,3,6,7,3
BCAL2981,7,0,0,0,3,2
BCAM2306,4,0,0,4,5,0
"BCAM1220,BCAM1221",0,0,1,5,2,0
BCAL2623,14,0,1,18,14,1
BCAL1374,1,0,1,3,6,0
"BCAL0081,BCAL0082",8,0,1,4,6,0
BCAM1395,5,0,0,4,7,0
BCAL3480,7,0,0,1,8,1
BCAS0382,11,0,2,14,5,3
BCAM2352,5,0,2,8,10,1
BCAM0759,10,0,1,9,7,2
BCAM1188,14,0,2,13,12,3
BCAM1184,2,0,1,5,6,0
BCAL1328,5,0,2,4,1,3
BCAS0280,10,1,1,14,16,3
BCAS0388,7,0,4,19,22,0
BCAM0526,10,0,1,7,2,3
BCAL0061,7,1,0,9,8,3
"BCAM0617,BCAM0618",6,0,1,3,2,1
BCAM2592,14,0,0,9,14,1
BCAM0469,4,0,0,2,0,1
BCAM0564,7,0,1,2,6,2
BCAM1322,4,0,0,2,0,1
BCAL1984,1,0,0,0,2,0
BCAL1637,2,0,0,0,4,0
BCAM1528,2,0,0,0,4,0
BCAL1737,1,0,0,0,2,0
BCAS0285,1,0,0,0,2,0
"BCAM1282,BCAM1283",1,0,0,0,2,0
BCAM2027a,2,0,1,2,2,1
BCAM0225,1,0,1,2,0,1
BCAM1280,11,0,1,10,6,2
BCAM1830,6,0,2,12,13,0
BCAL0365,3,0,0,1,5,0
BCAL1911,3,0,0,1,5,0
BCAL1290,9,0,2,10,8,2
BCAS0027,2,0,0,1,3,0
BCAL0972,2,0,0,1,3,0
BCAL1160,2,0,0,1,3,0
BCAL1552,8,0,2,10,12,1
BCAL1743,1,1,0,12,10,0
BCAM1555,1,0,0,1,1,0
BCAM2035,1,0,0,1,1,0
BCAM0791,1,0,0,1,1,0
BCAS0114,6,0,0,6,6,0
BCAS0396,1,0,0,1,1,0
BCAL2251,1,0,0,1,1,0
BCAM0556,1,0,0,1,1,0
BCAM2415,10,0,4,16,22,1
BCAM0767,3,0,1,4,8,0
BCAL1748,1,0,0,1,1,0
BCAM2219,1,0,0,1,1,0
BCAL3382,7,0,4,8,5,4
BCAM2283,2,0,0,2,2,0
BCAM2406,3,0,0,3,3,0
BCAM2576,1,0,0,1,1,0
BCAL3322,1,0,0,1,1,0
BCAL3072,1,0,0,1,1,0
BCAL1705,2,0,0,3,1,0
BCAM1510,1,0,0,1,1,0
BCAL2282,13,1,1,13,19,3
BCAM0473,2,0,0,3,1,0
BCAM2214,1,0,0,1,1,0
BCAS0248,3,0,2,10,8,0
"BCAM2115,BCAM2116",4,0,1,6,7,0
BCAM0325,2,0,0,2,2,0
BCAL1642,7,0,0,1,0,2
BCAM0233,3,0,2,1,4,2
"BCAM0560,BCAM0561",1,0,0,0,3,0
BCAM2780,1,0,0,2,0,0
BCAL1696,19,4,3,39,67,4
BCAL0919,1,0,0,2,0,0
"BCAM2138,BCAM2139",5,0,2,3,9,0
BCAM1071,2,0,0,3,1,0
BCAM1593,13,0,1,5,7,3
BCAM0373,1,0,0,2,0,0
BCAL3235,5,0,3,11,10,1
BCAS0596,8,0,3,18,9,1
BCAM2469,9,0,7,38,8,2
BCAS0170,1,0,0,2,0,0
BCAM2778,11,0,1,5,15,1
BCAL3170,1,0,0,2,0,0
BCAL0293,3,0,2,6,11,0
BCAM0881,6,0,2,6,4,2
BCAM2730,6,0,1,10,7,0
BCAM2782,11,0,0,5,3,2
BCAM0590,6,0,3,8,20,0
BCAM0592,5,0,0,3,0,1
BCAM0743,0,0,2,3,2,1
BCAL0335,1,0,0,2,0,0
BCAM0586,4,0,0,0,1,1
BCAM2058,2,0,1,2,1,1
BCAM1558,7,0,3,10,7,2
BCAL0049,5,0,1,1,1,2
BCAM1486,3,1,2,13,9,2
BCAS0179,1,0,1,1,0,1
BCAS0337,3,0,2,4,6,1
BCAS0703,8,0,1,3,4,2
BCAL1413A,1,0,1,2,5,0
BCAM1850,3,0,3,5,4,2
BCAS0325,0,0,3,7,3,1
BCAS0360,2,0,1,6,3,0
BCAL1184,5,0,2,12,8,0
BCAM1693,2,0,1,5,4,0
"BCAM0173,BCAM0174",34,4,12,35,27,1
BCAM2179,8,0,0,5,9,0
BCAM1061,1,0,0,2,0,0
BCAL0646,4,0,0,5,2,0
BCAL2460,4,0,0,3,4,0
BCAL1477,4,0,0,6,1,0
BCAM0809,9,0,3,6,6,3
BCAL3363,3,0,0,0,5,0
BCAM1224,3,0,0,1,4,0
"BCAM1165,BCAM1166",1,1,4,14,5,3
BCAS0598,1,0,1,6,1,0
BCAM1333,6,0,1,7,2,1
BCAM0850,10,0,3,4,9,3
BCAM1607,1,1,1,10,7,1
"BCAM0532,BCAM0533",3,0,0,1,0,2
BCAS0728,6,0,2,8,6,1
BCAS0283,4,0,2,1,3,2
BCAL2468,2,0,4,16,8,0
BCAM1466,5,0,2,5,7,1
BCAM1052A,23,2,20,66,50,9
BCAM2315,2,0,2,3,4,1
BCAM1958,2,0,1,2,0,1
"BCAM2198,BCAM2199",7,0,0,3,0,1
BCAM0108,5,0,0,1,7,0
BCAL1776,11,0,3,7,13,2
BCAM2404,4,0,2,3,7,1
BCAM0356,6,0,1,1,1,2
BCAM1513,3,0,0,4,1,0
BCAS0021,0,0,1,4,1,0
BCAL0961,4,0,4,2,11,2
BCAS0436,4,0,1,3,2,1
BCAM0673,4,1,1,13,8,1
BCAL3165,9,0,4,9,6,3
BCAS0107,3,0,2,0,8,1
BCAM1817,5,0,0,4,4,0
BCAL1499,9,0,3,5,5,3
BCAL0585,2,0,2,7,6,0
"BCAM2086,BCAM2087",10,0,1,4,4,2
BCAL2174,5,0,0,6,2,0
BCAL0076,1,0,1,0,0,1
BCAL1605,2,0,0,0,3,0
"BCAM0534,BCAM0535",4,0,0,3,2,0
"BCAL0170,BCAL0171",3,0,1,8,3,0
BCAL0440,7,0,0,5,6,0
BCAM2512,5,1,0,11,12,0
BCAL1337,2,0,1,6,2,0
BCAM0497,21,0,2,6,10,4
BCAM0132,4,0,0,1,5,0
BCAL2825,4,0,0,1,5,0
BCAL0651,16,0,6,24,22,1
BCAL2913,12,0,0,8,4,1
BCAL1948,10,0,1,2,5,2
BCAL0982,2,0,0,1,2,0
BCAM1432,2,0,0,1,2,0
BCAL0928,14,0,4,12,9,3
BCAS0171,6,0,1,1,0,2
BCAM1167,5,1,2,9,10,2
BCAL2266,1,0,1,1,5,0
BCAS0370,3,0,2,1,0,2
BCAM2348,43,6,20,53,84,17
BCAS0069,4,0,2,7,2,1
BCAL2652,4,1,5,7,11,4
BCAL2188,12,1,2,4,6,5
BCAL1401,2,0,0,1,2,0
BCAL2799,11,0,0,4,6,1
BCAM0732,1,0,1,2,4,0
BCAM2825,2,0,0,2,1,0
BCAL1641,2,0,0,2,1,0
BCAM2265,9,0,2,6,10,1
BCAL1083,12,0,5,5,16,3
BCAM0126,4,0,0,5,1,0
BCAM1691,5,0,0,0,1,1
BCAM0417,1,0,1,3,3,0
BCAM1153,1,1,0,6,10,0
BCAL1318,7,0,4,11,11,1
BCAL1199,15,0,4,11,10,3
BCAL2252,3,0,2,3,4,1
BCAM2803,2,0,0,2,1,0
BCAM1135,2,0,0,3,0,0
"BCAL3478,BCAL3479",13,0,2,11,8,2
BCAS0028,2,0,1,0,1,1
BCAL2119,17,0,3,25,14,0
BCAM0395,7,0,1,12,3,0
"BCAM1387,BCAM1388",1,0,0,0,2,0
BCAL0441,15,1,7,12,29,4
BCAM0175a,2,0,0,2,1,0
BCAM1195,5,0,0,0,7,0
BCAM0183,17,0,3,14,17,1
BCAM1793,6,0,2,5,6,1
BCAM1094,2,0,0,2,1,0
BCAL0189,5,0,1,1,4,1
BCAM1414,16,0,3,20,16,0
BCAM1053B,13,0,5,9,6,4
BCAS0034,5,0,0,2,5,0
BCAM0645,14,0,0,3,4,2
"BCAS0087,BCAS0088",1,0,1,3,1,0
BCAL0083,6,0,0,1,1,1
BCAL1400,3,0,2,0,0,2
BCAM2793,4,0,2,5,9,0
BCAM1812,2,0,1,3,4,0
BCAM1964,2,0,1,4,3,0
"pBCA005,pBCA006",6,0,5,3,4,2
BCAS0373,9,0,3,5,1,3
"BCAL2937,BCAL2938",15,0,6,13,13,2
BCAL0488,4,1,3,10,15,1
BCAM0872,3,0,1,2,0,1
"BCAS0368,BCAS0369",8,0,1,4,4,1
BCAM2426,2,0,2,6,5,0
BCAM2559,3,0,0,1,3,0
BCAM2504,19,0,2,6,9,3
"BCAL2965D,BCAL2966",44,3,13,11,15,4
BCAS0438,3,0,1,1,7,0
BCAM1306,5,0,4,2,2,3
BCAM1838,3,0,1,2,6,0
"BCAL3406,BCAL3407",3,0,0,4,0,0
BCAL1646,9,0,2,10,10,0
BCAS0749,4,0,2,4,3,1
BCAL1120,2,0,1,5,2,0
BCAM2658,2,1,1,4,3,2
BCAM1783,10,1,4,20,16,1
BCAM2723,8,0,2,3,9,1
BCAM0547,10,0,1,6,11,0
BCAM0768,0,0,1,2,2,0
BCAM1681,0,0,1,2,2,0
BCAM1280a,2,0,1,6,1,0
BCAM2438,0,0,1,2,2,0
BCAL1949,11,1,2,8,8,3
BCAM2052,9,0,3,9,2,2
BCAM0409,3,0,0,4,0,0
BCAL0723,17,0,1,8,5,2
BCAM0525,18,1,4,27,12,2
BCAM2250,5,2,4,13,15,3
BCAM2124,5,0,0,0,0,1
BCAL0539,31,0,2,15,7,4
BCAL0359,5,0,0,0,0,1
"BCAM0434,BCAM0435,BCAM0436",4,0,3,6,3,0
BCAL1339,1,0,2,5,4,0
BCAL1194,9,0,5,9,3,3
BCAM0799,4,0,1,7,2,0
"BCAL1396,BCAL1397",36,5,5,14,14,2
BCAL0137,10,0,5,17,15,0
BCAM0179,4,0,0,2,3,0
BCAM0578,7,0,4,3,2,3
BCAL0183,9,0,1,6,9,0
BCAM1449A,4,0,0,3,2,0
BCAL2029,9,0,2,2,4,2
BCAM0135,1,0,1,2,3,0
BCAM1182,8,0,2,4,7,1
BCAM0431,4,0,0,3,2,0
BCAS0125,3,1,1,7,0,2
BCAS0645,4,0,0,4,1,0
BCAM1811,1,1,0,6,1,1
BCAL2986,4,0,0,5,0,0
"BCAL1108,BCAL1109",4,0,7,9,14,1
"BCAL1697,BCAL1698",7,0,6,11,23,2
BCAM2805,3,0,1,1,0,1
BCAM0573,4,0,0,3,2,0
BCAM0107,1,0,1,4,1,0
BCAM0529,5,0,0,2,4,0
BCAM1763,16,0,9,22,24,1
BCAL3088,10,0,4,6,8,2
BCAM2137,19,0,4,15,10,2
BCAM0677,3,0,2,6,5,0
BCAL1111,0,0,2,1,0,1
"BCAS0017,BCAS0018",5,1,1,2,3,1
BCAS0392,2,0,1,2,4,0
BCAM1046,7,1,1,6,5,2
BCAL0192,5,0,0,4,2,0
BCAM0510,4,1,0,6,4,1
BCAL0713,1,0,3,4,8,0
BCAM2708,11,1,3,11,12,2
BCAL0297,4,0,1,1,1,1
BCAM2107,16,0,5,19,18,0
BCAM2380,16,1,2,13,6,3
BCAM2441,9,0,1,8,0,1
BCAL1969,5,0,4,10,4,1
BCAM0175,6,0,3,2,3,2
BCAM2663,5,0,0,5,1,0
BCAM1895,1,0,2,2,0,1
BCAS0372,8,0,2,4,6,1
BCAL1193,26,2,5,17,28,4
BCAL0663,11,1,3,9,13,2
BCAM1821,1,0,1,4,1,0
BCAL2155,8,0,3,13,7,0
BCAM0631,3,0,1,4,3,0
BCAM1797,27,0,5,8,21,3
BCAM1191,3,0,1,5,2,0
BCAM2690,35,0,4,22,26,1
"BCAM1601,BCAM1602",13,1,3,14,12,2
BCAL1695,7,1,4,10,23,0
BCAS0709,14,0,0,7,3,1
BCAM0394,8,0,3,12,8,0
"BCAL0768,BCAL0769",2,0,0,4,0,0
BCAS0687,11,0,0,1,5,1
BCAM2328,9,0,0,2,8,0
BCAL2778,8,0,0,4,5,0
BCAS0187,4,0,3,0,2,2
BCAL0067,17,0,6,14,13,2
BCAL1286,3,1,0,4,4,1
BCAM1981,8,0,2,0,3,2
BCAM0511,4,0,1,6,2,0
BCAL1203,4,0,3,1,1,2
BCAM2060,8,0,1,4,2,1
BCAS0277,5,0,1,5,4,0
BCAL0664,7,1,0,2,4,2
BCAS0621,6,0,1,4,6,0
BCAM2545,1,0,2,7,1,0
BCAM2081,20,0,10,13,17,4
BCAL2987,9,1,4,8,7,3
BCAS0299,1,0,0,0,1,0
BCAS0235,4,1,1,4,8,1
BCAM0412,3,0,2,6,4,0
BCAM0700,3,0,2,6,4,0
BCAS0057,3,0,3,3,10,0
BCAS0238A,10,0,3,4,4,2
"BCAL1406,BCAL1407,BCAL1408",8,1,1,3,2,2
BCAM0666,10,0,1,8,6,0
BCAL2691,3,1,0,0,1,2
BCAM2580,3,0,3,8,5,0
BCAM2386,9,0,1,9,4,0
BCAS0599,9,0,2,8,8,0
BCAM0878,10,0,3,8,6,1
BCAM2118,17,1,8,23,31,0
BCAL3337,8,1,0,1,5,2
BCAL3059A,9,1,0,10,10,0
BCAS0720,16,2,4,20,24,1
BCAL2738,25,1,1,12,15,2
"BCAS0145,BCAS0146",9,0,3,4,15,0
BCAM0893,9,0,2,1,2,2
BCAM1707,0,0,2,0,0,1
BCAL3115,11,1,1,3,9,2
BCAL0007,11,1,1,3,9,2
BCAL1094,11,3,1,11,9,4
BCAM0324,12,0,4,3,3,3
BCAL3490,2,0,0,0,2,0
BCAL0845,5,2,3,11,11,2
BCAL0381,1,0,0,0,1,0
BCAL0703,19,0,2,3,10,2
BCAL2768,3,0,2,1,2,1
BCAL0520,22,0,3,8,5,3
BCAM2205,1,0,0,0,1,0
BCAM2151,1,0,0,0,1,0
pBCA073,4,0,0,0,4,0
BCAM2599,1,0,0,0,1,0
BCAM0882,1,0,0,0,1,0
"BCAL3065,BCAL3066",1,0,0,0,1,0
BCAM1690,1,0,0,0,1,0
BCAM2781,6,0,0,0,6,0
BCAS0103,1,0,0,0,1,0
"BCAM2041,BCAM2042",1,0,0,0,1,0
"BCAL0839,BCAL0840,BCAL0841,BCAL0842,BCAL0843",9,0,2,1,7,0
BCAL2043,1,0,0,0,1,0
BCAL1806,1,0,0,0,1,0
BCAM2571,1,0,0,0,1,0
BCAM0365,1,0,0,0,1,0
BCAL3402,2,0,0,0,2,0
BCAM0422,1,0,0,0,1,0
BCAM0134,2,0,0,0,2,0
BCAL1491,1,0,0,0,1,0
BCAM1446,1,0,0,0,1,0
pBCA009,1,0,0,0,1,0
BCAS0166,1,0,0,0,1,0
BCAL3510,3,0,0,0,3,0
BCAM1960,2,0,0,0,2,0
BCAM0102,3,0,0,0,3,0
BCAM1566,1,0,0,0,1,0
BCAL3056,24,0,4,8,10,3
BCAL1207,1,0,0,0,1,0
BCAM2691,3,0,0,0,3,0
BCAM1241,1,0,0,0,1,0
"BCAM1631,BCAM1632",1,0,0,0,1,0
BCAM1287,1,0,0,0,1,0
BCAM0465,1,0,0,0,1,0
BCAM2659,3,0,0,0,3,0
BCAM1002,1,0,0,0,1,0
BCAM1616,1,0,0,0,1,0
BCAM2792,1,0,0,0,1,0
BCAS0030,1,0,0,0,1,0
BCAL1327,1,0,0,0,1,0
BCAM0451,3,0,0,0,3,0
BCAL1404,1,0,0,0,1,0
BCAM1302,4,0,2,2,2,1
BCAM2635,17,1,1,9,9,2
BCAM0032,39,2,10,42,43,1
BCAL1569,8,0,1,3,2,1
BCAM1426,8,0,1,4,1,1
BCAL0364,15,0,3,6,6,2
BCAL1399,0,0,1,0,3,0
BCAM0926,9,0,5,6,6,2
"BCAM2451,BCAM2452",7,0,2,3,4,1
BCAL2386,10,0,1,5,2,1
BCAM1300,3,0,2,0,9,0
"BCAM2225,BCAM2226,BCAM2227,BCAM2230",6,0,2,2,1,1
BCAM2794,0,0,1,0,3,0
BCAM0829a,15,1,6,16,9,3
BCAM2272,4,0,0,1,3,0
BCAM1120,2,0,1,0,5,0
BCAM1984,4,0,0,1,3,0
"BCAL3092,BCAL3093",4,0,4,10,2,1
BCAM2282,3,0,0,1,2,0
BCAS0730,4,1,4,6,20,0
"BCAM2016,BCAM2017",2,0,0,1,1,0
BCAM2795,2,0,3,1,10,0
BCAM2330,9,1,0,9,10,0
BCAL2001,12,0,1,5,10,0
BCAS0077,2,0,1,1,4,0
BCAM0567,2,0,1,1,4,0
BCAM0139,19,2,7,8,14,6
BCAM2590,2,0,0,1,1,0
BCAM2653,5,0,0,2,3,0
BCAM0593,4,0,0,2,2,0
BCAL3524,3,0,0,1,2,0
BCAS0011,2,0,0,1,1,0
BCAM1722,6,0,0,3,3,0
BCAS0374,4,0,2,3,7,0
BCAL0197,2,0,0,1,1,0
BCAM0855,14,0,2,1,0,3
BCAS0279,2,0,2,2,6,0
BCAM0977,3,0,1,2,4,0
BCAM2472,8,0,0,5,3,0
BCAL1810,13,1,5,8,17,2
BCAM0837,4,0,0,2,2,0
BCAL0715,5,0,0,3,2,0
BCAM1092,4,0,0,2,2,0
BCAL3291,5,0,0,3,2,0
BCAM0188,14,0,0,9,5,0
BCAL0545,22,1,5,16,24,1
BCAL0446,1,0,1,2,2,0
BCAM1891,1,0,1,2,2,0
BCAS0199,3,0,2,5,4,0
BCAM0081,2,0,2,4,4,0
BCAS0361,5,0,2,7,4,0
BCAM2037,2,0,2,4,4,0
BCAL1978,10,0,1,9,4,0
BCAM0039,1,0,0,1,0,0
BCAM2797,1,0,0,1,0,0
BCAM1454,2,0,0,1,1,0
BCAM0419,1,0,0,1,0,0
BCAM2034,1,0,0,1,0,0
BCAL2745,1,0,0,1,0,0
BCAS0137,1,0,0,1,0,0
BCAM2308,17,3,3,24,18,2
BCAM1730,1,0,0,1,0,0
"BCAL3486,BCAL3487",3,1,1,3,2,1
BCAL1224,1,0,0,1,0,0
BCAM1100,10,0,1,0,0,2
"BCAM2694,BCAM2695",2,0,0,2,0,0
BCAM1723,5,0,0,5,0,0
BCAM0125,1,0,0,1,0,0
BCAL3229A,1,0,2,4,3,0
BCAL0628,5,1,5,11,12,1
BCAM2751,1,0,0,1,0,0
BCAM1785,1,0,0,1,0,0
BCAM2664,1,0,0,1,0,0
BCAL2393,2,0,2,5,3,0
BCAL2692,1,0,0,1,0,0
BCAM1614,2,0,0,2,0,0
BCAM1972,1,0,0,1,0,0
BCAM0116,1,0,0,1,0,0
BCAM0688,1,0,0,1,0,0
BCAL0655,2,0,0,2,0,0
BCAL2910,2,0,0,2,0,0
BCAL0944,1,0,0,1,0,0
BCAM1968,2,0,2,6,2,0
BCAL3520,1,0,0,1,0,0
BCAM1619,13,1,5,20,17,0
BCAL2639,2,0,4,1,0,2
BCAL0532,10,0,3,4,8,1
BCAM2065,1,0,0,1,0,0
BCAL1384,10,0,3,4,8,1
BCAM0170,1,1,0,0,4,1
BCAM2385,22,1,4,16,20,1
BCAM2027,0,0,1,3,0,0
BCAM0037,1,0,0,1,0,0
BCAM0922,10,1,3,7,8,2
BCAS0029,1,0,0,1,0,0
BCAS0006,20,0,7,8,6,4
BCAM1383,1,1,0,2,2,1
BCAL1746,1,0,0,1,0,0
BCAM0062,13,1,2,9,6,2
BCAM1898,1,0,0,1,0,0
BCAS0386,3,1,0,2,10,0
BCAS0160,1,0,0,1,0,0
BCAL1232,5,0,0,4,1,0
BCAL3321,1,0,0,1,0,0
"BCAM1842,BCAM1843",11,0,2,3,6,1
BCAM2706,1,0,0,1,0,0
BCAM0144,24,0,4,8,7,3
BCAS0134,2,0,6,11,2,1
BCAM1447,1,0,0,1,0,0
BCAM2206,1,0,0,1,0,0
BCAS0009,30,1,6,10,19,4
"BCAM1624,BCAM1625,BCAM1626,BCAM1627",5,0,0,2,2,0
BCAM1956,14,1,5,13,11,2
BCAL3289,27,2,6,13,16,5
BCAM1279,1,0,0,1,0,0
BCAM0697,4,0,2,0,3,1
BCAM0087,9,0,0,1,1,1
BCAL1150,8,1,3,9,16,0
BCAL0724,4,0,2,1,2,1
BCAS0594,12,1,3,18,11,0
BCAL2713,1,0,3,1,2,1
"BCAL3183,BCAL3184",51,0,8,34,17,3
BCAL2462,8,0,6,9,9,1
BCAM1461,5,3,5,14,13,3
BCAL1792,2,0,0,2,0,0
BCAM0616,23,1,8,20,14,3
BCAM0683,5,0,4,0,3,2
"BCAL2751,BCAL2752",8,0,0,3,6,0
BCAL1703,5,1,1,3,7,1
BCAM0078,14,3,2,8,12,4
BCAM2112a,1,0,0,1,0,0
BCAL1439,34,0,5,13,19,2
BCAL0522,33,1,9,22,23,3
BCAM0785,21,1,9,27,14,2
BCAM0528,14,0,0,10,3,0
BCAM0756,3,0,3,4,7,0
BCAM0462,5,0,2,3,7,0
BCAM0748,10,0,3,6,5,1
BCAS0139,17,0,5,3,7,3
BCAL2816,18,1,2,9,9,2
BCAM2067,32,1,5,14,6,5
pBCA078,10,0,0,3,6,0
BCAM0065A,4,0,1,0,0,1
BCAM1330,11,0,2,4,5,1
BCAM0357,7,0,3,1,7,1
BCAL1168,15,1,2,7,14,1
BCAM1010,39,0,6,6,13,5
"BCAM0110,BCAM0111",11,0,5,8,4,2
BCAL2131,28,2,5,18,25,2
"BCAL0590,BCAL0591",3,1,0,2,3,1
BCAM1310,13,0,3,5,2,2
BCAM2280,5,2,4,7,19,1
BCAM2290,1,0,3,5,4,0
BCAM1799,22,0,8,13,9,3
BCAM2777,7,0,0,0,6,0
"BCAL0580,BCAL0581",10,0,0,3,6,0
BCAM2108,9,3,2,7,13,3
BCAL3309,11,7,1,24,36,2
BCAM0591,6,0,1,5,3,0
BCAL1930,23,0,5,11,10,2
BCAL1100,24,0,8,20,16,1
BCAL1938,20,1,8,10,18,3
BCAM2119,7,1,3,6,4,2
BCAL1929,18,1,3,4,9,3
BCAM0839,4,0,2,8,1,0
BCAL1335,4,0,4,5,9,0
BCAL2758,13,1,1,6,10,1
BCAM1082A,14,4,9,38,20,2
BCAM2006a,0,1,0,0,2,1
BCAM2240,11,0,0,0,3,1
BCAL2948,19,2,9,20,18,3
BCAL3519,8,0,3,1,1,2
"BCAM2675,BCAM2676",26,3,7,3,1,1
BCAL1282,44,3,5,38,14,4
BCAL3419,30,3,7,20,24,4
BCAM2211,19,3,7,21,20,3
BCAM0710,5,0,1,5,2,0
BCAM1403,7,0,0,3,3,0
BCAM1206,48,1,9,29,25,3
BCAM2126,17,5,6,12,22,6
BCAM0474,16,1,7,16,18,1
BCAM0040,3,0,3,2,2,1
BCAM0795,6,0,3,7,6,0
BCAS0682,5,1,1,7,2,1
BCAM0359,13,0,3,3,3,2
BCAM2698,5,1,1,8,1,1
BCAL1570,8,0,1,1,2,1
BCAM2784,14,1,0,6,14,0
BCAM1434,6,1,2,6,0,2
"BCAL2365,BCAL2366",18,0,3,10,6,0
BCAM0342,1,0,2,3,3,0
BCAL2621,3,1,1,2,5,1
BCAM2084,21,1,14,22,21,3
BCAL1354,4,1,0,1,4,1
BCAM0784,7,0,0,5,1,0
BCAS0330,8,0,1,3,0,1
BCAL0656,6,0,0,2,3,0
BCAL2624,14,5,1,21,22,2
BCAM1836,22,4,7,32,25,2
BCAM1545,7,0,2,6,5,0
"BCAM2232,BCAM2233,BCAM2234,BCAM2235",1,0,0,1,0,0
"BCAM1343,BCAM1344,BCAM1345,BCAM1346,BCAM1347",11,0,4,3,4,0
BCAM1748,18,3,3,9,13,4
"BCAM0442,BCAM0443",7,0,2,9,3,0
BCAM1563,6,0,4,3,12,0
BCAM1217,27,3,8,11,12,7
"BCAS0153,BCAS0154,BCAS0155",12,1,9,15,8,2
"BCAM0848,BCAM0849",22,1,7,13,15,2
"BCAL1780,BCAL1781",9,1,3,8,9,1
BCAL1323,3,0,1,2,3,0
BCAL1048,16,1,3,5,5,3
BCAM0162,6,0,0,3,2,0
"BCAM2133,BCAM2134",19,1,9,19,15,2
BCAL1162,10,3,6,3,19,4
BCAL0354,14,1,2,5,7,2
BCAM2020,5,0,0,0,4,0
BCAM0103,5,0,0,0,4,0
BCAL3075,16,0,7,21,10,0
"BCAL2626,BCAL2627",8,0,2,5,4,0
BCAL1791,38,2,13,26,22,5
BCAS0092,9,0,0,1,0,1
