,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_11470C_A,2.39868,11.1077,9.12348,9.57333,8.47422,8.29705,6.93767,6.78085
C1_11470C_B,9.67582,1.64858,9.12348,9.57333,8.47422,8.29705,6.93767,6.78085
C1_11480W_A,11.799,11.4831,8.88789,7.99264,6.39677,6.26303,12.9211,13.3532
C1_11480W_B,17.4886,16.083,6.04953,6.60567,10.7383,10.5138,16.7648,13.3532
C1_11490C_A,0.460733,0.45144,1.24636,1.21806,0,0,0,0
C1_11490C_B,0.683339,0.669555,0,0,0,0,0,0
C1_11500C_A,22.0197,22.9155,23.1119,23.8556,13.9471,16.4588,20.7208,20.9363
C1_11500C_B,22.0197,22.9155,23.1119,23.8556,13.9471,16.4588,20.7208,20.9363
C1_11510C_A,6.06015,6.44064,25.527,26.7639,5.83507,5.2017,16.5795,12.4143
C1_11510C_B,6.06015,5.43519,23.6684,21.3148,7.89657,8.24285,10.4515,14.0057
C1_11520C_A,51.5301,52.5205,39.7893,37.4918,49.5532,52.4094,74.4961,59.9875
C1_11520C_B,85.5685,81.8128,39.7893,40.2803,49.5532,44.6249,70.4383,79.53
