,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C2_10260C_B,22.0879,23.2201,40.2244,37.0863,25.2791,23.4635,23.7382,24.2484
C2_10270W_A,17.7888,17.7191,11.5053,10.6579,14.2874,12.9933,10.8616,10.4053
C2_10270W_B,20.8682,20.1585,6.89372,7.32254,11.6533,12.9487,7.74921,7.78457
C2_10280C_A,30.5684,29.0998,51.6184,49.8088,27.8595,30.1695,49.3437,47.9888
C2_10280C_B,42.5501,42.0096,56.0606,56.5635,44.3146,41.0544,34.9534,33.9939
C2_10290W_A,174.001,152.994,172.233,111.266,280.337,276.132,154.525,114.769
C2_10290W_B,224.018,232.418,209.158,257.565,123.975,131.225,183.508,218.428
C2_10300C_A,1.65484,1.42365,1.47789,1.68673,1.91084,1.87089,1.40093,1.36927
C2_10300C_B,0.755959,0.791726,1.97394,1.68673,0,0,0,0
C2_10310C_A,7.83766,7.76134,9.69514,9.22473,4.50726,4.41303,2.66327,2.76827
C2_10310C_B,8.00456,7.76134,7.38368,7.46638,5.15134,5.04364,1.58471,1.38368
C2_10320C_A,1.55562,1.14251,3.9397,3.46191,4.21023,4.12221,1.37704,1.71446
C2_10320C_B,3.27182,3.58755,1.41243,1.76872,1.6035,1.56998,1.37704,0
C2_10330C_A,10.1186,11.0305,6.6894,5.22948,13.0548,12.7819,11.5106,11.2504
C2_10330C_B,13.3351,11.0305,11.9901,13.026,2.62578,2.57088,11.5106,11.2504
C2_10340W_A,19.4811,20.1963,17.3705,16.9762,21.6528,21.9085,13.639,13.5118
C2_10340W_B,27.965,25.8527,21.8058,21.3108,39.7223,38.1835,18.9479,19.6862
C2_10350C_A,46.0659,47.0668,37.9371,37.8793,54.164,52.227,53.9991,52.2115
C2_10350C_B,43.3543,40.8464,30.5801,28.2405,69.4052,68.7587,37.0602,36.7895
C2_10360C_A,27.0207,23.0895,22.3149,26.5316,22.5526,25.5118,30.6798,41.5611
C2_10360C_B,17.7002,20.4001,40.897,38.0513,22.5526,20.0285,47.7937,34.1299
C2_10420W_A,8.97451,7.46419,13.8105,18.8828,6.84199,5.30543,13.5208,13.0636
C2_10420W_B,14.3727,11.9675,28.7748,26.9033,14.9805,9.48168,19.5299,15.4027
C2_10430C_A,8.21868,8.0529,11.5772,12.3977,8.05934,7.89084,3.31909,3.24407
C2_10430C_B,8.21868,8.0529,11.5772,12.3977,8.05934,7.89084,3.31909,3.24407
C2_10440C_A,10.5408,10.4281,9.98769,9.90277,13.4077,13.3363,10.9251,10.5252
C2_10440C_B,10.5408,10.4281,9.98769,9.90277,13.4077,13.3363,10.9251,10.5252
C2_10450W_A,21.6504,19.8882,26.9804,28.8775,49.1189,49.9406,30.4743,33.8445
C2_10450W_B,21.6504,19.8882,26.9804,28.8775,49.1189,49.9406,30.4743,33.8445
C2_10460C_A,30.886,30.6562,30.1289,29.2216,30.8659,29.8915,25.5859,24.2851
C2_10460C_B,30.886,30.6562,30.1289,29.2216,30.8659,29.8915,25.5859,24.2851
C2_10470C_A,31.8082,31.1667,42.6484,41.6802,38.8829,39.0847,24.7079,24.1494
C2_10470C_B,31.8082,31.1667,42.6484,41.6802,38.8829,39.0847,24.7079,24.1494
C2_10480W_A,33.7131,32.8697,34.2332,33.4561,49.6455,47.9235,40.4954,39.0794
C2_10480W_B,33.7131,32.8697,34.2332,33.4561,49.6455,47.9235,40.4954,39.0794
C2_10530C_A,23.9925,23.5086,23.0312,22.5083,25.3459,24.816,18.1918,17.7805
C2_10530C_B,23.9925,23.5086,23.0312,22.5083,25.3459,24.816,18.1918,17.7805
C2_10540W_A,8.98553,7.24877,6.21222,6.07119,9.13583,8.94483,10.1792,10.6296
C2_10540W_B,8.98553,7.24877,6.21222,6.07119,9.13583,8.94483,10.1792,10.6296
C2_10550C_A,48.8341,47.8683,27.6195,26.9379,24.847,24.1667,18.0962,17.5105
C2_10550C_B,48.8341,47.8683,27.6195,26.9379,24.847,24.1667,18.0962,17.5105
C2_10560C_A,166.682,162.662,261.319,253.518,275.998,270.228,434.371,423.544
C2_10560C_B,166.682,162.662,261.319,253.518,275.998,270.228,434.371,423.544
C2_10570W_A,5.99578,5.79444,10.4134,10.2911,7.5832,7.42465,9.96803,9.74271
C2_10570W_B,5.99578,5.79444,10.4134,10.2911,7.5832,7.42465,9.96803,9.74271
C2_10580W_A,26.6114,26.0747,39.7223,38.8205,46.0461,46.8137,31.1675,30.463
C2_10580W_B,26.6114,26.0747,39.7223,38.8205,46.0461,46.8137,31.1675,30.463
C2_10590W_A,82.5298,76.7013,140.88,124.543,53.9495,50.8857,90.2883,86.8306
C2_10590W_B,82.5298,76.7013,140.88,124.543,53.9495,50.8857,90.2883,86.8306
C2_10600W_A,34.5338,36.5306,67.0232,78.2501,52.5249,73.9659,75.0765,78.878
C2_10600W_B,34.5338,36.5306,67.0232,78.2501,52.5249,73.9659,75.0765,78.878
C2_10610W_A,13.2165,13.7904,23.8728,17.8925,12.4305,12.7889,7.25844,5.30667
C2_10610W_B,13.2165,12.1094,8.39688,13.6447,8.61422,7.03219,16.9723,18.3763
C2_10620W_A,1184.78,1159.04,601.305,586.972,983.781,960.402,529.013,515.619
C2_10620W_B,1184.77,1159.04,601.305,586.972,983.781,960.402,529.013,515.619
C2_10630W_A,8.57928,8.40623,17.5529,17.4129,9.48034,10.4244,12.9379,12.6455
C2_10630W_B,8.57928,8.40623,17.5529,17.4129,9.48034,10.4244,12.9379,12.6455
C2_10640C_A,51.6434,50.9937,51.3638,49.0845,53.7596,47.7152,22.2197,21.7175
C2_10640C_B,51.6434,50.9937,51.3638,49.0845,53.7596,47.7152,22.2197,21.7175
C2_10650W_A,38.7383,35.6394,96.8323,88.0522,73.0738,61.8488,118.926,109.141
C2_10650W_B,38.7383,35.6394,96.8323,88.0522,73.0738,61.8488,118.926,109.141
C2_10660W_A,27.5032,26.7128,50.9178,47.0847,15.4596,14.6433,9.48826,8.91293
C2_10660W_B,27.5032,26.7128,50.9178,47.0847,15.4596,14.6433,9.48826,8.91293
C2_10670W_A,106.276,104.132,118.172,114.55,144.12,140.416,118.09,115.421
C2_10670W_B,106.276,104.132,118.172,114.55,144.12,140.416,118.09,115.421
C2_10680W_A,18.0977,17.8666,12.6173,12.3308,19.1275,18.7276,14.4429,14.1164
C2_10680W_B,18.0977,17.8666,12.6173,12.3308,19.1275,18.7276,14.4429,14.1164
C2_10690W_A,41.0319,40.5398,36.114,35.8391,64.1811,62.8392,29.919,29.2427
C2_10690W_B,41.0319,40.5403,36.114,35.8391,64.1811,62.8392,29.919,29.2427
C2_10700C_A,26.0525,23.1102,26.7738,23.8781,34.2099,32.652,33.2845,31.9153
C2_10700C_B,26.0525,23.1102,26.7738,23.8781,34.2099,32.652,33.2845,31.9153
C2_10710W_A,510.752,505.056,243.783,244.062,417.561,410.973,243.603,244.365
C2_10710W_B,510.752,505.056,243.783,244.062,417.561,410.973,243.603,244.365
C2_10720C_A,23.5166,22.8929,60.013,58.6506,25.0401,24.5166,12.2722,11.9948
C2_10720C_B,23.5166,22.8929,60.013,58.6506,25.0401,24.5166,12.2722,11.9948
C2_10730W_A,10.8784,4.36328,3.53199,2.45848,5.19422,2.89039,3.26021,0
C2_10730W_B,10.8784,4.36328,3.53199,2.45848,5.19422,2.89039,3.26021,0
C2_10740C_A,20.6781,22.1729,7.48542,7.61714,10.7813,11.4447,8.40349,8.86407
C2_10740C_B,20.6781,22.1729,7.48542,7.61714,10.7813,11.4447,8.40349,8.86407
C2_10750C_A,21.8213,21.4487,31.1068,30.2087,21.7772,21.0392,18.7184,18.2953
C2_10750C_B,21.8213,21.4487,31.1068,30.2087,21.7772,21.0392,18.7184,18.2953
C2_10760C_A,13.3414,13.0723,15.6339,15.279,11.2064,10.9721,11.1719,10.9193
C2_10760C_B,13.3414,13.0723,15.6339,15.279,11.2064,10.9721,11.1719,10.9193
C2_10770W_A,75.8764,103.641,43.0381,60.8479,39.0613,58.0154,37.5205,51.1422
C2_10770W_B,75.8764,103.641,43.0381,60.8479,39.0613,58.0154,37.5205,51.1422
C2_10780C_A,5.69464,2.60916,3.12665,1.15064,7.46478,4.90295,5.17257,3.58837
C2_10780C_B,5.69464,2.60916,3.12665,1.15064,7.46478,4.90295,5.17257,3.58837
C2_10790C_A,23.8608,23.3795,23.4005,22.0322,21.8169,21.3608,20.6126,20.1467
C2_10790C_B,23.8608,23.3795,23.4005,22.0322,21.8169,21.3608,20.6126,20.1467
C2_10810W_A,34.5482,34.8032,12.6261,11.7988,26.7036,26.1453,17.7884,18.5523
C2_10810W_B,34.5482,34.8032,12.6261,11.7988,26.7036,26.1453,17.7884,18.5523
C2_10820C_A,7.78372,7.35048,6.22303,6.19383,7.46527,7.47431,7.69874,7.28301
C2_10820C_B,7.78372,7.35048,6.22303,6.19383,7.46527,7.47431,7.69874,7.28301
C2_10830W_A,225.332,220.787,193.641,193.805,291.635,285.537,138.346,130.301
C2_10830W_B,225.332,220.787,193.641,193.805,291.635,285.537,138.346,130.301
C2_10840W_A,9.20022,8.58179,8.94559,8.21566,6.28472,6.41206,8.6763,7.91207
C2_10840W_B,9.20022,8.58179,8.94559,8.21566,6.28472,6.41206,8.6763,7.91207
C2_10850C_A,22.2227,22.4452,15.6577,16.1187,15.6552,14.927,22.2864,22.3695
C2_10850C_B,22.2227,22.4452,15.6577,16.1187,15.6552,14.927,22.2864,22.3695
C2_10860C_A,91.6631,89.6613,100.978,97.8167,100.127,98.0339,94.9748,92.8279
C2_10860C_B,91.6631,89.6613,100.978,97.8167,100.127,98.0339,94.9748,92.8279
C2_10870W_A,23.6886,18.9463,14.6638,14.6059,25.6019,27.2381,23.2885,24.1644
C2_10870W_B,17.6612,16.7454,29.8099,22.3931,17.9206,12.9688,24.2608,20.3406
C3_00010C_A,8.48287,7.26885,11.341,10.7878,10.0809,10.5737,8.30036,5.20639
C3_00010C_B,8.48287,7.26885,11.341,10.7878,10.0809,10.5737,8.30036,5.20639
C3_00020W_A,1.86854,1.73631,3.2727,2.98621,3.62326,2.58716,3.45343,6.6785
C3_00020W_B,1.86854,1.73631,3.2727,2.98621,3.62326,2.58716,3.45343,6.6785
C3_00030C_A,4.23318,4.46397,8.40009,6.63025,7.19486,8.15698,8.34184,10.1532
C3_00030C_B,5.15072,4.77758,6.57351,8.53645,6.77832,5.41121,5.34344,4.66219
C3_00040W_A,0.844113,0.916088,4.22495,3.66127,1.99931,3.91948,4.03746,2.22821
C3_00040W_B,0.905522,1.0565,2.68887,2.34498,2.51294,2.26694,2.08871,1.62742
C3_00050C_A,19.6439,17.6387,61.2182,53.7404,3.16624,3.20083,35.8857,28.4468
C3_00050C_B,20.0714,21.4985,2.31343,2.12516,47.5025,35.53,53.721,28.4468
C3_00060W_A,20.3071,16.8752,9.01182,3.43639,35.5932,15.0908,19.1183,11.6687
C3_00060W_B,1.22994,1.27883,4.092,2.72392,5.16791,5.0108,3.09476,3.17855
C3_00090W_A,1490.73,1464.55,752.43,735.349,1195.33,1167.62,742.099,723.336
C3_00090W_B,1490.73,1464.55,752.43,735.349,1195.33,1167.62,742.099,723.336
C3_00100W_A,14.2519,12.3343,16.8944,14.196,13.2343,12.9576,15.6616,15.3075
C3_00100W_B,14.2519,12.3343,16.8944,14.196,13.2343,12.9576,15.6616,15.3075
C3_00110C_A,30.1083,29.5224,33.9831,33.7429,29.3128,28.3463,31.0207,30.7237
C3_00110C_B,30.1083,29.5224,33.9831,33.7429,29.3128,28.3463,31.0207,30.7237
C3_00120W_A,5.53084,6.57613,2.86225,2.68881,3.7424,4.20843,11.9593,9.54766
C3_00120W_B,5.53084,6.57613,2.86225,2.68881,3.7424,4.20843,11.9593,9.54766
C3_00130C_A,47.8129,47.8039,54.2361,56.0573,40.1942,40.6693,43.4486,44.3832
C3_00130C_B,47.8129,47.8039,54.2361,56.0573,40.1942,40.6693,43.4486,44.3832
C3_00140W_A,12.4927,5.86327,13.1807,5.74266,16.4004,12.2555,7.53207,6.01628
C3_00140W_B,12.4927,5.86327,13.1807,5.74266,16.4004,12.2555,7.53207,6.01628
C3_00150W_A,4.88125,9.2486,16.6607,12.2637,4.23212,4.95729,10.4818,6.46209
C3_00150W_B,4.88125,9.2486,16.6607,12.2637,4.23212,4.95729,10.4818,6.46209
C3_00160C_A,18.2526,17.8844,21.3378,20.8533,13.0779,12.8045,16.8132,16.4331
C3_00160C_B,18.2526,17.8844,21.3378,20.8533,13.0779,12.8045,16.8132,16.4331
C3_00170C_A,203.341,203.654,145.444,139.635,217.666,216.809,162.348,161.382
C3_00170C_B,203.341,203.654,145.444,139.635,217.666,216.809,162.348,161.382
C3_00180C_A,3.89023,3.9267,4.86758,4.75708,5.38689,5.23373,6.00143,5.86577
C3_00180C_B,3.89023,3.9267,4.86758,4.75708,5.38689,5.23373,6.00143,5.86577
C3_00190W_A,2.54511,1.51382,2.12147,2.07331,0,2.70536,2.82127,2.7575
C3_00190W_B,2.54511,1.51382,2.12147,2.07331,0,2.70536,2.82127,2.7575
C3_00200C_A,63.2358,61.6575,81.0487,79.2088,75.8354,72.9827,125.815,121.58
C3_00200C_B,63.2358,61.6575,81.0487,79.2088,75.8354,72.9827,125.815,121.58
C3_00210C_A,3.28094,3.52791,6.61204,7.35127,8.38555,8.21023,11.0536,10.8037
C3_00210C_B,3.28094,3.52791,6.61204,7.35127,8.38555,8.21023,11.0536,10.8037
C3_00220W_A,1.15857,1.19204,3.34615,3.0314,2.91466,2.85372,7.40114,6.97611
C3_00220W_B,1.15857,1.19204,3.34615,3.0314,2.91466,2.85372,7.40114,6.97611
C3_00230C_A,1.67115,1.31413,1.84396,1.86749,2.45104,2.39979,4.65779,4.62441
C3_00230C_B,1.67115,1.31413,1.84396,1.86749,2.45104,2.39979,4.65779,4.62441
C3_00240C_A,63.8502,62.5624,74.1618,72.8111,72.9952,71.9596,69.6767,67.7426
C3_00240C_B,63.8502,62.5624,74.1618,72.8111,72.9952,71.9596,69.6767,67.7426
C3_00250C_A,81.379,79.7375,50.7535,48.1693,53.6293,52.5081,59.0664,58.1172
C3_00250C_B,81.379,79.7375,50.7535,48.1693,53.6293,52.5081,59.0664,58.1172
C3_00260C_A,45.0842,44.4063,37.24,36.0659,71.5801,69.5994,66.9818,65.1133
C3_00260C_B,45.0842,44.4063,37.24,36.0659,71.5801,69.5994,66.9818,65.1133
C3_00270C_A,17.4857,17.133,16.9996,16.6137,14.2846,13.9859,15.7101,14.7151
C3_00270C_B,17.4857,17.133,16.9996,16.6137,14.2846,13.9859,15.7101,14.7151
C3_00280C_A,8.90915,8.67359,9.45703,9.24234,7.69998,7.539,7.04562,6.88635
C3_00280C_B,8.90915,8.67359,9.45703,9.24234,7.69998,7.539,7.04562,6.88635
C3_00290W_A,118.359,115.851,96.751,94.5546,119.655,117.153,146.924,143.234
C3_00290W_B,118.359,115.851,96.751,94.5546,119.655,117.153,146.924,143.234
C3_00300W_A,8.32578,7.90425,11.5469,10.9246,7.22713,6.01492,12.0524,11.3917
C3_00300W_B,8.32578,7.90425,11.5469,10.9246,7.22713,6.01492,12.0524,11.3917
C3_00310C_A,24.3916,26.0222,30.3877,33.7165,41.6652,52.6357,46.0642,47.1896
C3_00310C_B,24.3916,26.0222,30.3877,33.7165,41.6652,52.6357,46.0642,47.1896
C3_00320W_A,667.155,653.939,843.324,824.86,1167.41,1144.01,1417.44,1380.26
C3_00320W_B,667.155,653.939,843.324,824.86,1167.41,1144.01,1417.44,1380.26
C3_00330W_A,34.3815,33.688,12.5305,12.246,18.7338,18.3421,14.1837,13.8631
C3_00330W_B,34.3815,33.688,12.5305,12.246,18.7338,18.3421,14.1837,13.8631
C3_00340W_A,50.289,49.2747,36.495,35.6665,17.1798,16.8206,42.0238,41.0738
C3_00340W_B,50.289,49.2747,36.495,35.6665,17.1798,16.8206,42.0238,41.0738
C3_00350W_A,29.7819,33.3386,25.3225,30.197,31.773,33.7849,24.2964,25.7059
C3_00350W_B,29.7819,33.3386,25.3225,30.197,31.773,33.7849,24.2964,25.7059
C3_00360W_A,11.5528,12.1204,40.6503,35.9378,14.1606,13.8646,45.501,43.6552
C3_00360W_B,11.5528,12.1204,40.6503,35.9378,14.1606,13.8646,45.501,43.6552
C3_00370C_A,34.6902,33.9905,21.6874,21.1951,16.7784,16.4276,16.9186,16.5362
C3_00370C_B,34.6902,33.9905,21.6874,21.1951,16.7784,16.4276,16.9186,16.5362
C3_00380C_A,4.76984,4.67363,5.39674,5.27422,7.93657,7.77063,4.19311,4.09832
C3_00380C_B,4.76984,4.67363,5.39674,5.27422,7.93657,7.77063,4.19311,4.09832
C3_00390W_A,5.78333,5.66668,5.54305,6.67324,9.09676,8.90657,10.8263,11.2588
C3_00390W_B,5.78333,5.66668,5.54305,6.67324,9.09676,8.90657,10.8263,11.2588
C3_00400C_A,1.08006,1.05827,3.521,3.15068,3.21171,3.14456,6.83976,6.52858
C3_00400C_B,1.08006,1.05827,3.521,3.15068,3.21171,3.14456,6.83976,6.52858
C3_00410C_A,9.71605,10.7895,1.59215,1.73017,8.35113,8.17653,13.8327,13.52
C3_00410C_B,9.71605,10.7895,1.59215,1.73017,8.35113,8.17653,13.8327,13.52
C3_00420W_A,12.3449,11.854,8.26588,8.05288,8.59826,8.41849,9.11507,8.90903
C3_00420W_B,12.3449,11.854,8.26588,8.05288,8.59826,8.41849,9.11507,8.90903
C3_00430W_A,6.47688,6.97253,6.61204,7.35127,7.04729,8.21023,7.12902,6.0089
C3_00430W_B,6.47688,6.97253,6.61204,7.35127,7.04729,8.21023,7.12902,6.0089
C3_00440W_A,7.48565,6.704,12.1508,10.9794,11.1312,9.57909,8.16088,7.01074
C3_00440W_B,7.48565,6.704,12.1508,10.9794,11.1312,9.57909,8.16088,7.01074
C3_00450C_A,70.942,69.6605,31.3556,30.6437,49.9435,49.5245,56.2785,55.4639
C3_00450C_B,70.942,69.6605,31.3556,30.6437,49.9435,49.5245,56.2785,55.4639
C3_00460W_A,374.192,378.971,499.846,508.767,389.887,393.952,539.945,555.555
C3_00460W_B,374.192,378.971,499.846,508.767,389.887,393.952,539.945,555.555
C3_00470W_A,32.8216,32.2694,35.0592,34.2633,32.7876,32.1021,26.4466,25.5125
C3_00470W_B,32.8216,32.2694,35.0592,34.2633,32.7876,32.1021,26.4466,25.5125
C3_00480C_A,37.2938,36.5415,173.395,169.459,38.7356,37.9257,85.794,81.0498
C3_00480C_B,37.2938,36.5415,173.395,169.459,38.7356,37.9257,85.794,81.0498
C3_00490W_A,15.0557,14.0869,14.7042,14.1005,26.0911,24.3529,18.5333,17.5324
C3_00490W_B,15.0557,14.0869,14.7042,14.1005,26.0911,24.3529,18.5333,17.5324
C3_00500C_A,8.17581,8.43003,8.25784,8.07037,10.353,11.3057,9.34124,9.55791
C3_00500C_B,8.17581,8.43003,8.25784,8.07037,10.353,11.3057,9.34124,9.55791
C3_00510W_A,5.64679,5.5329,7.63295,7.45967,5.34197,5.23028,5.83349,5.2332
C3_00510W_B,5.64679,5.5329,7.63295,7.45967,5.34197,5.23028,5.83349,5.2332
C3_00520W_A,29.5387,29.2952,39.07,38.183,45.4148,45.9391,38.814,40.0939
C3_00520W_B,29.5387,29.2952,39.07,38.183,45.4148,45.9391,38.814,40.0939
C3_00530C_A,7.33928,7.19125,7.78234,7.60566,6.39337,6.2597,8.05414,7.543
C3_00530C_B,7.33928,7.19125,7.78234,7.60566,6.39337,6.2597,8.05414,7.543
C3_00540C_A,13.6688,13.3931,16.4893,16.8,16.0028,15.6682,11.7325,11.4673
C3_00540C_B,13.6688,13.3931,16.4893,16.8,16.0028,15.6682,11.7325,11.4673
C3_00550C_A,43.5951,42.1426,33.7679,32.3908,68.3378,66.3095,59.755,55.9907
C3_00550C_B,43.5951,42.1426,33.7679,32.3908,68.3378,66.3095,59.755,55.9907
C3_00560C_A,50.3681,49.1082,13.6894,13.3786,22.7381,22.2628,22.0207,21.5229
C3_00560C_B,50.3681,49.1082,13.6894,13.3786,22.7381,22.2628,22.0207,21.5229
C3_00570C_A,24.0305,23.9069,17.0146,16.6284,27.5936,26.5132,14.1973,15.719
C3_00570C_B,24.0305,23.9069,17.0146,16.6284,27.5936,26.5132,14.1973,15.719
C3_00580W_A,6.71158,7.14657,10.4463,8.58991,4.11068,4.62875,8.72057,6.84722
C3_00580W_B,5.40798,4.65016,10.4463,11.8285,8.98398,8.8451,6.34415,8.132
C3_00590W_A,2.50028,2.82786,7.27905,7.1138,2.55524,2.4453,10.2553,8.79359
C3_00590W_B,2.50028,2.82786,7.27905,7.1138,2.55524,2.4453,10.2553,8.79359
C3_00600W_A,1.04256,1.02153,2.08435,1.74899,3.06528,3.0012,1.61176,1.57533
C3_00600W_B,1.04256,1.02153,2.08435,1.74899,3.06528,3.0012,1.61176,1.57533
C3_00610W_A,16.5973,16.0062,13.746,13.434,26.7865,26.2264,16.4267,16.0554
C3_00610W_B,16.5973,16.0062,13.746,13.434,26.7865,26.2264,16.4267,16.0554
C3_00620C_A,65.9749,68.9135,66.2706,64.7661,60.9684,59.6938,79.4781,77.6815
C3_00620C_B,65.9749,68.9135,66.2706,64.7661,60.9684,59.6938,79.4781,77.6815
C3_00630W_A,7.07141,6.92878,11.0447,10.9036,10.1361,9.92416,10.4562,10.2199
C3_00630W_B,7.07141,6.92878,11.0447,10.9036,10.1361,9.92416,10.4562,10.2199
C3_00640W_A,29.4847,28.6791,45.0365,43.7146,27.9267,27.3428,47.8971,46.8144
C3_00640W_B,29.4847,28.6791,45.0365,43.7146,27.9267,27.3428,47.8971,46.8144
C3_00650W_A,2.70966,2.55313,3.27445,3.20011,2.2031,2.15704,3.21126,3.45066
C3_00650W_B,2.70966,2.55313,3.27445,3.20011,2.2031,2.15704,3.21126,3.45066
C3_00660W_A,7.0458,6.90369,4.47388,4.37232,5.07343,4.96736,4.70101,4.59475
C3_00660W_B,7.0458,6.90369,4.47388,4.37232,5.07343,4.96736,4.70101,4.59475
C3_00670C_A,21.9441,21.5519,15.0375,10.8609,10.7164,10.2377,9.47639,10.3909
C3_00670C_B,14.2558,14.4128,12.6787,16.4873,16.4368,15.7013,12.7305,11.6828
C3_00680C_A,8.99929,10.8119,3.8141,2.70419,5.3892,10.0733,2.12228,2.37058
C3_00680C_B,8.99929,10.8119,3.8141,2.70419,5.3892,10.0733,2.12228,2.37058
C3_00690C_A,12.0439,11.2116,13.0299,14.2312,12.4974,13.0351,13.6717,12.4994
C3_00690C_B,10.1243,10.7464,10.162,9.10703,12.4974,11.4371,4.65317,5.41126
C3_00700W_A,3.7019,3.16353,5.49114,5.36649,3.69243,3.99672,5.04675,5.30133
C3_00700W_B,5.01505,5.3776,4.98003,4.86698,4.47169,3.99672,5.80112,5.30133
C3_00710W_A,30.313,30.5716,46.5721,47.7818,27.4595,22.3212,29.0504,32.1906
C3_00710W_B,39.0974,36.7436,57.1244,51.8331,34.053,37.5416,42.7301,36.9028
C3_00720W_A,72.7566,74.2627,65.1607,56.4856,64.5151,56.5692,51.7497,60.0387
C3_00720W_B,70.2229,67.1398,41.929,50.9567,56.6703,63.4496,37.4387,27.4671
C3_00730W_A,16.8263,15.3967,14.7685,13.8459,17.1019,16.7798,6.99328,6.90071
C3_00730W_B,19.4252,19.1135,6.18593,6.49281,9.81181,9.80158,4.92438,5.04669
C3_00740W_A,1.90835,7.16848,1.9403,6.26242,3.56684,2.74632,3.92374,2.6054
C3_00740W_B,4.98955,7.89474,8.1688,1.82859,3.56684,2.34438,3.92374,2.6054
C3_00750W_A,3.13577,3.82053,6.9999,6.40937,6.63233,6.49367,5.35875,6.12714
C3_00750W_B,3.95775,3.13085,3.29509,3.65136,2.6792,2.62319,6.80588,6.1114
C3_00760W_A,59.2666,64.2709,64.128,66.333,43.7404,52.3801,24.5445,24.9734
C3_00760W_B,47.6707,41.1814,41.1955,35.9634,54.677,44.9168,27.2593,24.9734
C3_00770C_A,122.351,124.968,124.872,124.838,150.93,146.443,129.434,126.423
C3_00770C_B,125.615,118.993,116.259,112.234,141.914,138.192,138.359,136.842
C3_00780W_A,13.4707,10.6177,14.4605,13.4668,7.6626,9.31562,8.43724,7.23285
C3_00780W_B,9.49484,11.8847,4.96149,5.51433,16.9232,14.7561,1.57022,2.54839
C3_00790W_A,6.21507,6.51858,8.13862,6.83843,7.3758,7.2216,5.40758,5.14407
C3_00790W_B,3.66336,3.28177,4.14177,5.16318,4.98724,4.88297,3.6564,3.71502
C3_00800W_A,18.1944,19.289,20.2651,19.6797,17.5607,19.9779,11.5021,10.2521
C3_00800W_B,19.0154,16.8432,28.6491,27.1951,17.5607,14.4093,10.4892,11.2421
C3_00810C_A,1.24157,1.14286,5.41839,5.61344,3.31451,3.24521,8.01583,8.09957
C3_00810C_B,2.31955,2.1313,7.84626,7.34969,3.32173,3.25228,11.6779,11.8078
C3_00820W_A,24.1834,24.8555,20.6889,20.0653,27.2984,27.3029,15.5307,15.1304
C3_00820W_B,28.1192,26.264,26.4995,25.3235,40.4538,38.4962,24.9005,24.3869
C3_00830C_A,18.7163,18.272,9.67957,8.28763,11.6201,13.0593,8.40613,8.41727
C3_00830C_B,21.7068,21.3358,12.9305,13.8109,32.0622,29.7073,15.9747,15.4122
C3_00840C_A,43.9631,39.7114,9.28579,2.0711,27.8593,38.8332,11.4033,16.2246
C3_00840C_B,21.0687,24.0086,17.1578,26.3576,14.9196,3.0514,11.4033,8.8543
C3_00850C_A,58.9583,58.0118,65.9661,67.8494,68.204,71.4207,62.6168,64.4706
C3_00850C_B,51.3524,52.1203,86.8662,87.3251,71.6724,70.0645,66.7121,65.9898
C3_00860W_A,33.7078,32.0656,55.8357,53.629,13.2015,21.1741,15.1287,17.676
C3_00860W_B,35.6563,34.0334,42.2587,38.7056,35.3671,21.1741,4.8892,1.88941
C3_00870W_A,1.68087,1.64697,0,0,0,0,0,0
C3_00870W_B,1.68087,1.64697,0,0,0,0,0,0
C3_00880W_A,52.3186,50.0525,68.2144,58.7782,39.9051,36.5963,60.2287,66.6831
C3_00880W_B,64.9909,65.4734,70.5825,78.522,54.6821,56.0133,91.8538,82.5563
C3_00890C_A,6.75967,6.03385,9.04581,8.48114,5.2016,5.60867,5.57933,6.24853
C3_00890C_B,8.45028,8.59152,12.0638,11.7548,6.25526,5.60867,9.78297,8.34117
C3_00900C_A,38.2344,38.6287,32.827,30.3971,30.2982,30.7838,22.4185,22.324
C3_00900C_B,36.313,33.6201,25.8098,25.7797,40.6462,38.6773,35.8214,34.5994
C3_00910W_A,2.54662,2.6287,2.48412,3.00995,4.81714,4.15895,5.61287,5.4155
C3_00910W_B,2.40163,2.32905,6.52325,5.79293,6.09372,6.06645,5.12617,5.4155
C3_00920W_A,0,0,3.02752,2.95879,3.48359,3.41076,0,0
C3_00920W_B,0,0,3.02752,2.95879,0,0,0,0
C3_00930W_A,42.8563,48.0533,33.329,33.86,27.522,23.2229,18.5824,31.4498
C3_00930W_B,38.8537,34.2754,33.329,33.86,33.6947,36.7139,34.8214,22.1353
C3_00940W_A,24.3175,23.2924,26.1915,24.0994,18.9914,14.7432,15.6367,17.2532
C3_00940W_B,15.0226,15.9837,25.4103,27.3667,16.3692,19.8781,19.4301,18.1378
C3_00950C_A,14.8049,13.6659,11.2748,11.0189,20.6634,20.2313,12.2404,11.8618
C3_00950C_B,15.1748,15.416,18.7406,18.3151,9.70335,9.50048,10.023,9.89834
C3_00960W_A,7.3754,7.22664,9.08283,7.8563,12.2935,10.775,12.2463,8.50058
C3_00960W_B,7.3754,7.22664,5.35512,6.25388,4.02599,5.20327,6.92271,10.2351
