,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
C2_01150W,78,122,18,31,1380,47,2008,381,241,651,313,162
C2_01160W,168,424,569,126,4769,98,3701,1268,677,1144,871,606
C2_01170C,177,186,344,119,5203,125,4420,1611,1115,3765,2076,1030
C2_01180W,75,132,26,40,623,212,3205,595,245,1591,541,579
C2_01190C,30,32,30,10,169,58,699,123,89,326,155,35
C2_01200C,457,1129,727,515,14989,402,7053,3375,3360,8524,6019,4573
C2_01210C,207,362,192,93,3096,85,2035,1106,635,743,794,321
C2_01220W,476,662,455,192,6325,120,10357,3011,1753,2945,2597,1051
C2_01230W,55,34,50,39,744,13,499,157,77,315,179,138
C2_01240C,12,20,72,35,1082,2,1005,452,237,979,534,123
C2_01250W,16,26,9,47,382,3,1011,134,79,1107,375,442
C2_01260W,138,131,71,83,1096,52,2438,787,334,1322,716,183
C2_01270W,16,82,144,316,10990,230,325,212,236,4569,4357,1718
C2_01300C,96,152,21,87,3383,159,2565,775,301,1381,680,253
C2_01310W,34,76,35,29,605,54,1103,426,235,1091,505,138
C2_01320W,252,482,367,73,5242,185,11603,2096,927,1750,975,510
C2_01330C,70,66,1,27,242,1,666,227,91,274,232,21
C2_01340W,268,316,494,327,7256,171,4980,1606,1075,2852,1709,669
C2_01350C,59,101,30,46,1249,3,1816,433,273,1169,635,257
C2_01360C,439,395,441,230,1523,361,2147,1207,1001,2453,1544,636
C2_01370C,237,289,74,105,3364,148,5791,1607,928,2446,1188,462
C2_01380W,199,251,243,51,696,223,1167,815,492,1066,562,567
C2_01390W,296,529,175,238,2860,85,2622,946,762,1876,1187,1887
C2_01400C,94,128,340,154,3681,34,2777,586,282,1214,557,508
C2_01410C,149,305,162,64,1702,21,2596,1056,812,1733,905,439
C2_01420C,50,140,80,136,466,61,896,225,148,937,339,113
C2_01430W,719,820,510,261,4836,215,5658,1887,1436,2077,1851,1244
C2_01440C,1,36,1,10,188,1,1117,199,111,423,163,89
C2_01450C,44,30,0,12,54,0,240,81,24,65,55,0
C2_01460C,0,21,230,0,0,0,0,2,0,0,4,0
C2_01470W,120,171,156,256,5469,112,1878,954,794,3713,1969,2045
C2_01480W,1310,1362,672,840,10034,944,3575,3462,2575,10177,5230,6692
C2_01490C,117,121,56,41,795,30,756,552,416,915,755,750
C2_01500W,0,0,0,0,10,0,0,2,0,0,5,0
C2_01510C,19,42,0,4,218,1,277,255,97,687,197,67
C2_01520W,66,93,42,37,1532,28,446,279,159,490,282,404
C2_01530C,551,620,274,362,5310,631,2572,2186,1474,6026,3085,2519
C2_01540W,0,48,91,18,2313,3,77,45,30,216,158,226
C2_01550W,238,258,322,225,4523,238,1681,1247,1085,3848,1747,2307
C2_01560W,5,52,6,20,808,7,1575,545,353,1777,677,511
C2_01570W,12,25,0,7,99,0,167,56,19,195,98,1
C2_01580W,273,300,322,109,2012,32,2398,817,466,891,562,306
C2_01590W,1222,2204,2319,1262,19851,982,19976,5387,3746,6631,5821,2457
C2_01600C,431,433,148,424,2843,407,3217,2232,1091,4981,2089,3648
C2_01610C,18099,15809,8658,4806,97982,4213,65873,44758,28010,53434,37321,39827
C2_01620W,668,921,937,754,9518,418,7452,4491,4482,6027,5326,6391
C2_01630W,16,22,2,0,62,0,436,113,68,26,49,5
C2_01640W,491,663,628,840,11425,676,3761,1961,2358,7537,4828,6488
C2_01650W,0,1,0,0,551,3,1,12,0,30,7,0
C2_01660C,26,40,29,76,294,181,240,148,101,322,241,77
C2_01670C,976,1283,689,1071,16717,929,8688,4853,3009,10709,6223,4877
C2_01680C,131,122,243,186,1069,194,1274,417,413,2104,991,1640
C2_01690W,581,1054,1690,680,7934,877,5547,2553,2276,3174,2951,1766
C2_01700C,130,139,18,114,1087,272,1911,498,615,1442,874,945
C2_01710W,38,26,1,22,83,9,86,55,54,174,72,206
C2_01720C,194,353,197,150,1290,78,2134,400,262,1151,694,475
C2_01730W,38,35,57,17,650,17,1481,224,83,250,177,80
C2_01740C,131,94,70,5,750,49,7511,1532,725,1141,669,541
C2_01750C,44,158,110,36,790,1,1917,492,542,398,636,11
C2_01760C,9,29,28,4,149,42,533,119,61,97,150,1
C2_01780W,697,1459,1289,4401,63281,3579,6755,4898,4490,41027,29614,24864
C2_01800W,0,1,0,0,0,0,0,0,0,0,0,0
C2_01820C,125,139,24,61,1089,4,3148,623,343,847,430,70
C2_01830W,160,171,182,40,4741,157,3544,621,256,627,400,179
C2_01840C,234,215,106,135,1017,151,2351,860,499,1753,915,995
C2_01850W,19,62,20,13,1449,3,476,231,69,597,305,94
C2_01860C,35,97,128,33,2333,4,1866,482,196,373,268,133
C2_01870C,6,29,1,17,312,2,242,137,87,286,129,50
C2_01880C,19,33,0,10,146,0,238,102,76,144,94,53
C2_01890W,122,229,248,40,1065,108,1985,946,688,1305,948,815
C2_01900C,70,53,9,62,575,25,1227,432,288,1338,544,191
C2_01910W,27,20,28,9,133,0,864,196,121,345,124,52
C2_01920C,83,143,172,166,2058,131,1717,521,431,2002,765,527
C2_01930C,41,35,27,45,762,5,3953,689,503,772,675,255
C2_01940C,0,0,0,0,0,0,2,0,0,0,3,0
C2_01950C,9,55,72,10,315,11,1954,484,263,310,307,176
C2_01960C,0,2,0,0,30,0,96,13,36,0,34,0
C2_01970C,170,214,310,89,1915,98,3983,1209,1144,1379,1239,784
C2_01980C,76,166,26,56,799,37,1330,540,361,925,745,431
C2_01990C,147,214,112,242,5613,259,3508,1428,1129,9753,4025,2686
C2_02000W,321,450,364,204,3430,167,5216,1889,1160,4744,2615,1498
C2_02010C,8,10,4,13,108,1,105,74,57,141,86,6
C2_02020W,255,373,438,233,3198,330,3416,1323,964,2885,1954,1603
C2_02030W,16,38,75,28,266,0,1113,388,345,503,292,25
C2_02040W,105,97,8,75,3136,90,1446,710,524,1613,943,876
C2_02050C,171,303,440,133,2652,99,2013,1071,775,1089,1059,993
C2_02060C,0,4,0,2,38,0,0,14,2,16,26,0
C2_02070W,0,0,0,9,8,0,1,0,1,8,6,0
C2_02090W,155,208,210,74,867,6,2854,893,417,984,527,326
C2_02100W,590,778,503,550,10538,376,6913,3920,2768,12714,6196,6858
C2_02110C,12,3,0,5,47,19,400,59,21,95,67,0
C2_02120W,379,332,212,184,3244,96,3713,995,655,867,963,453
C2_02130C,0,3,12,0,8,0,0,0,0,0,5,0
C2_02140C,0,0,0,0,2,0,0,0,0,0,2,0
C2_02150C,188,255,202,47,1230,26,5739,1661,787,1533,874,432
C2_02160W,64,78,133,38,365,53,2288,522,179,1345,329,809
C2_02170W,384,437,405,161,4219,139,7571,2146,1052,2564,2137,523
C2_02180W,56,87,30,100,812,50,986,305,246,660,350,184
C2_02190C,53,110,230,47,506,34,2972,405,262,551,470,116
C2_02200W,295,435,201,123,6194,24,9367,3407,2003,5145,2828,1173
C2_02210C,70,56,10,50,286,9,1420,254,203,482,281,77
C2_02220C,0,10,0,0,9,0,2,11,2,0,7,55
C2_02230C,0,7,2,0,20,0,2,6,12,1,17,0
C2_02240C,113,170,113,208,4461,59,929,686,430,2512,1296,1620
C2_02250C,82,120,108,115,548,43,484,249,306,848,488,615
C2_02260W,295,484,329,344,2757,88,2394,707,489,2428,940,1230
C2_02270C,362,280,107,104,2519,33,5466,1413,943,1517,935,746
C2_02280W,532,428,490,178,3555,73,4543,1113,839,2407,1270,766
C2_02290C,12,38,36,1,70,8,105,62,70,135,68,19
C2_02300W,17,27,0,15,127,32,319,103,70,254,102,2
C2_02310W,1551,1186,401,453,5182,75,10251,3466,1332,4112,2218,1299
C2_02320C,676,1228,860,536,8242,1079,3671,1847,1476,2765,2465,1507
C2_02330W,0,0,0,0,1,0,0,0,0,26,2,0
C2_02340C,776,833,701,622,10068,730,6439,2738,2545,8221,4054,3747
C2_02350C,149,205,100,147,2087,178,3159,1204,845,3116,1631,967
C2_02360C,0,0,0,0,99,0,373,125,91,177,90,0
C2_02370C,1226,1212,1307,1247,14710,1125,5682,3729,2292,13593,5750,4534
C2_02380W,906,1098,963,733,9639,641,5835,2501,2213,8709,3974,5125
C2_02390W,12,13,10,46,215,20,240,69,51,436,154,243
C2_02400W,98,91,78,134,837,20,480,389,251,1295,433,574
C2_02410W,237,395,123,167,2652,65,1916,1086,671,2251,1210,677
C2_02420C,85,120,27,144,1162,27,1301,405,367,2377,758,1197
C2_02430W,711,832,520,129,5827,89,10374,3729,2104,1950,2907,1082
C2_02440W,90,90,43,40,1095,5,1425,814,461,2341,1016,689
C2_02450C,1432,1724,946,349,13743,391,14486,7384,4234,6533,5460,2167
C2_02460W,167,226,172,275,4053,241,3069,1424,1013,6397,2268,2036
C2_02470C,0,0,0,0,3,0,0,0,11,0,1,0
C2_02490C,555,361,158,148,4769,89,2601,2222,1312,3207,1798,2384
C2_02500W,113,184,252,122,1546,283,832,394,349,1231,619,665
C2_02510W,519,525,421,144,4938,206,4460,2583,1514,2263,2192,383
C2_02520W,107,87,101,93,1270,22,1115,453,319,1402,623,638
C2_02530W,0,0,1,0,4,0,0,4,11,0,12,26
C2_02540W,2796,3133,2374,548,26571,778,54982,16884,9720,14433,13587,2756
C2_02550C,0,10,0,0,15,0,0,4,6,71,17,0
C2_02560W,0,0,0,0,0,0,1,0,0,2,2,0
C2_02570W,0,16,0,0,0,0,0,2,0,0,1,0
C2_02580W,52,56,5,16,898,33,318,341,223,884,658,200
C2_02590W,351,385,446,889,9647,439,3141,1486,1236,6567,4362,5185
C2_02600C,0,0,0,1,10,0,0,4,1,0,7,0
C2_02610C,0,17,2,59,1607,74,108,133,101,390,151,99
C2_02620W,85,116,121,140,620,220,480,240,286,896,589,838
C2_02630W,57,84,101,32,376,62,515,326,165,717,370,80
C2_02640C,0,0,0,0,3,0,0,2,0,0,0,1
C2_02650C,0,12,0,0,1,0,0,1,0,0,1,0
C2_02660W,81,95,113,60,383,192,596,321,163,520,281,328
C2_02670C,9,44,2,27,192,40,150,165,128,490,165,32
C2_02680W,265,311,243,228,4301,84,1904,909,624,1742,1224,476
C2_02690W,471,550,283,389,4090,261,5074,1909,1137,3789,1946,2122
C2_02700C,22,36,0,55,279,178,534,108,149,320,225,77
C2_02710C,322,304,236,101,2110,58,4752,1035,832,1371,1350,279
C2_02720W,1071,1623,1272,585,16372,1061,9410,5127,3155,7779,5888,4412
C2_02730W,347,287,204,153,1973,436,2124,787,740,1615,1096,1037
C2_02740C,1356,1498,1137,456,10057,231,10286,5702,3440,5091,4413,2776
C2_02750C,0,8,0,0,28,0,0,7,24,26,10,1
C2_02760W,787,1022,698,892,19962,445,9850,3351,2124,11178,6529,2436
C2_02770W,579,596,452,471,6904,371,4551,2605,2090,5780,3255,3398
C2_02780C,20,52,6,5,204,1,96,150,107,168,178,200
C2_02790C,0,9,0,0,8,0,0,4,1,13,9,10
C2_02800W,29,67,3,6,252,1,907,271,165,670,223,17
C2_02810C,128,125,109,37,606,1,1383,564,486,988,523,239
C2_02820C,90,116,48,23,834,13,1159,476,278,406,430,357
C2_02830C,1498,1466,1266,1705,16441,969,5469,3084,2806,10222,7633,7160
C2_02840C,58,74,14,108,983,6,1360,578,377,1872,917,275
C2_02850W,0,3,0,0,51,0,1,11,0,22,44,10
C2_02860W,116,199,82,816,5525,542,1674,771,584,10197,1827,3276
C2_02870W,24,9,0,2,63,17,157,86,13,284,55,36
C2_02880C,108,87,31,66,778,81,423,251,155,665,377,130
C2_02890W,44,142,95,105,1111,101,1292,655,487,2765,899,906
C2_02900W,0,0,1,0,28,0,345,81,63,81,43,0
C2_02910W,0,0,0,0,9,0,0,7,6,25,14,0
C2_02920W,163,190,106,244,2631,199,523,274,329,1262,734,798
C2_02930C,482,535,239,667,9454,1069,5014,1933,1543,12436,3109,10760
C2_02940W,45,96,3,68,511,49,57,428,279,571,457,1314
C2_02950W,0,0,0,0,25,0,0,6,4,2,21,0
C2_02960C,106,141,91,19,901,47,1229,462,232,928,496,849
C2_02970C,3903,7726,4451,1476,28696,1845,13410,13306,9300,8064,9136,9504
C2_02980C,79,119,37,101,1014,44,761,557,410,2124,859,684
C2_02990C,305,257,126,405,3380,142,1361,968,804,5236,2382,2260
C2_03000C,364,312,189,129,763,69,1038,498,324,854,685,526
C2_03010C,3615,4464,4181,5432,38829,4797,18837,9278,5709,28397,14169,25215
C2_03020C,190,241,204,139,2428,192,577,539,611,1535,969,981
C2_03030W,46,51,114,57,786,54,444,444,313,2663,785,1051
C2_03040W,21,68,17,2,545,2,200,142,84,65,104,71
C2_03050W,85,140,46,85,700,3,533,262,235,908,491,375
C2_03060W,505,816,595,670,10012,825,5537,3301,2523,8571,3981,3471
C2_03070C,31,92,76,40,444,22,774,484,337,673,453,117
C2_03080W,5862,10828,6645,3377,37946,3672,18060,15450,10848,12868,14546,13301
C2_03090C,586,436,278,367,1268,307,3862,1126,701,1928,1010,996
C2_03100W,0,12,53,1,22,0,113,79,139,71,48,32
C2_03110W,7,3,0,11,58,0,94,69,21,103,66,0
C2_03120W,12,14,35,21,80,0,0,42,58,120,62,16
C2_03130W,563,377,145,223,2782,170,2280,986,635,1027,893,857
C2_03140C,141,155,177,108,1970,71,983,602,504,2336,816,1074
C2_03150C,39,67,2,57,2018,13,339,310,222,853,426,588
C2_03160C,2052,2580,2776,1804,27563,1894,15636,7425,6318,17970,9181,12274
C2_03170W,1,17,39,34,809,4,359,81,87,137,116,68
C2_03180C,1458,1857,1203,1249,41342,1247,16438,12910,9423,53157,25665,25636
C2_03200W,74,110,33,72,450,27,791,268,170,756,431,618
C2_03210W,15,20,0,26,69,0,65,98,43,48,37,11
C2_03220C,253,321,292,72,1874,99,4102,1022,976,517,684,408
C2_03230C,439,526,478,398,5283,215,3711,1891,1104,1668,1446,1556
C2_03240C,281,409,741,213,8027,178,3786,2012,1663,7856,4349,2656
C2_03250W,100,223,322,201,2539,15,740,367,276,833,591,690
C2_03260W,52,72,34,170,402,68,889,204,241,1249,374,136
C2_03270W,2984,6197,5456,12895,69505,9203,15982,12129,11568,73377,30205,61206
C2_03280W,1358,1426,1239,760,12882,836,8169,4637,3270,9618,5268,4713
C2_03290W,17,8,9,19,91,2,139,80,40,200,75,50
C2_03300W,237,388,82,311,3947,179,2360,1501,1236,2409,1660,1709
C2_03310C,52,104,152,65,441,41,623,191,164,725,276,332
C2_03320W,2,63,9,26,1667,8,654,482,354,1841,926,467
C2_03330C,402,575,461,293,5121,238,3803,1717,1226,4189,2397,2384
C2_03340W,77,128,90,146,1135,100,1256,371,385,1322,784,555
C2_03350W,0,4,0,0,13,0,0,8,0,11,23,62
C2_03360W,746,863,475,351,5705,229,5784,3116,2080,5419,3991,2080
C2_03370W,13,64,6,14,162,2,246,120,97,128,110,7
C2_03380W,737,983,453,1400,20686,1411,7214,4599,4821,20463,11456,14551
C2_03390C,369,420,314,427,4294,414,3222,1443,1058,4366,2581,2512
C2_03400C,46,70,13,75,578,1,772,382,297,1539,549,783
C2_03410W,450,567,497,253,6081,260,4967,2305,1679,3925,2488,1929
C2_03420C,80,139,28,54,990,21,1076,535,418,1097,750,237
C2_03430W,119,130,32,91,2249,133,566,399,202,1049,418,327
C2_03440W,80,136,201,217,2122,154,248,407,425,669,557,538
C2_03450W,186,224,160,146,3428,199,3433,818,496,918,735,530
C2_03460C,124,154,18,121,2637,26,1096,438,504,1136,723,436
C2_03470C,1445,790,607,345,5897,116,10172,4123,1688,6458,3222,1216
C2_03480C,0,1,0,1,58,0,185,40,7,124,48,8
C2_03490C,18,115,139,90,950,4,431,142,163,429,362,177
C2_03500W,33,73,212,26,2098,7,1719,828,906,2648,1986,1336
C2_03520C,320,552,808,275,2707,222,3085,1763,2085,2228,1685,1539
C2_03530W,55,156,198,106,1031,190,1215,559,425,1517,715,623
C2_03540W,13,5,56,17,1497,2,1879,1062,795,2580,1337,914
C2_03550C,310,463,188,154,6016,230,3791,1867,1159,3199,2082,1243
C2_03560C,954,902,637,558,8316,319,10808,3073,2211,5895,3962,3123
C2_03570C,67,85,3,6,142,2,164,118,95,140,95,135
C2_03590C,77,99,262,58,248,40,398,222,265,433,253,144
C2_03600W,0,1,1,24,345,0,160,173,121,714,295,307
C2_03610W,0,6,0,0,94,0,68,38,25,140,98,56
C2_03620W,1,10,8,7,398,2,456,180,151,572,335,252
C2_03630W,9,0,0,0,8,0,0,1,6,51,7,0
C2_03640W,0,2,0,0,3,0,1,2,0,0,1,0
