,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
C3_03420C,1264,1798,1921,979,27071,633,10445,6925,6371,11691,10295,6644
C3_03430C,2,56,7,14,979,40,121,122,123,178,115,66
C3_03440C,42,90,32,16,519,2,359,377,108,93,110,0
C3_03450C,0,2,0,20,38,1,1,14,7,102,28,205
C3_03460C,0,1,1,0,749,1,0,17,5,78,24,0
C3_03470W,17,40,3,3,142,1,415,131,94,158,142,3
C3_03480C,101,159,255,131,803,78,940,543,367,1299,736,684
C3_03490W,0,10,3,45,143,132,8,20,31,723,171,238
C3_03500W,22,10,0,16,46,0,0,42,37,26,55,352
C3_03510C,132,147,138,107,1033,15,2678,769,560,1347,897,561
C3_03520C,428,545,298,322,3496,145,4720,2137,1374,3667,2288,1216
C3_03530W,5,3,3,14,17,0,102,30,16,108,28,26
C3_03540W,126,308,231,130,1521,201,2513,755,552,1038,790,441
C3_03550C,81,80,136,31,1800,5,1394,418,380,863,464,227
C3_03560W,193,181,76,158,1895,82,1371,772,621,2202,1025,948
C3_03570C,0,0,0,0,4,0,2,1,1,0,6,0
C3_03580C,0,0,0,0,2,0,2,3,8,0,4,0
C3_03590W,174,85,147,75,600,26,891,334,297,1229,483,543
C3_03600C,0,0,0,0,1,0,0,1,0,7,0,0
C3_03610W,0,0,0,0,0,0,0,2,0,0,2,0
C3_03620C,0,0,0,0,0,0,0,0,0,0,0,0
C3_03630W,0,0,0,0,3,0,0,0,1,0,7,0
C3_03640W,4,6,0,0,241,0,0,39,29,36,43,20
C3_03650W,731,493,537,75,5000,113,4330,2084,1195,1894,1920,522
C3_03660W,97,46,4,91,800,90,488,313,234,1435,727,334
C3_03670W,171,127,90,119,1315,23,1718,658,410,2087,875,610
C3_03680W,142,201,300,160,3594,27,1492,932,673,1392,947,436
C3_03690W,17,45,0,7,28,0,99,19,10,16,28,0
C3_03700C,0,0,0,0,1,0,0,0,0,0,0,0
C3_03710W,702,672,445,155,4075,321,4315,2885,1663,1740,1337,2159
C3_03720W,0,0,0,0,13,0,48,7,7,2,11,76
C3_03730C,51,37,12,24,1294,10,312,166,137,562,254,264
C3_03740W,42,21,4,9,84,9,323,116,91,75,96,119
C3_03750C,86,155,12,97,1810,41,1477,816,626,1795,939,780
C3_03760W,43,70,4,23,481,38,513,207,179,653,387,249
C3_03770C,429,286,137,56,2043,112,1514,529,339,1026,889,636
C3_03780W,0,0,0,0,5,0,0,1,0,0,2,0
C3_03790W,489,486,290,199,3622,179,1999,1512,1246,1867,1618,687
C3_03800W,1559,2790,1857,1315,9959,1950,9065,8169,4684,10230,3604,8492
C3_03810W,123,172,100,193,2280,193,642,582,439,2635,1133,1438
C3_03820C,68,177,172,68,1265,205,2097,668,371,1012,631,585
C3_03830W,130,194,86,39,1954,143,421,293,233,574,484,304
C3_03840C,217,223,193,88,917,5,3056,937,563,1862,911,1137
C3_03850C,45,107,22,15,264,25,459,127,110,366,218,75
C3_03860W,0,28,21,47,325,2,641,297,176,562,295,297
C3_03870C,355,510,388,356,3345,376,2444,1640,1186,3052,2107,1278
C3_03880C,125,230,66,146,988,222,1071,728,608,2035,894,1458
C3_03890W,156,189,208,101,2384,322,2180,1609,1227,3417,1880,1981
C3_03900C,2302,4214,2683,1527,15125,1171,10012,5426,4133,5001,4549,6738
C3_03910W,1815,3380,1777,1306,13049,1178,12477,6700,4354,6807,5549,5947
C3_03920W,86,77,8,80,411,122,945,277,225,933,323,313
C3_03930W,186,192,50,135,1043,91,795,638,550,1983,891,1698
C3_03940C,0,0,0,0,0,0,0,0,0,0,0,0
C3_03970W,0,0,0,0,0,0,0,0,0,0,0,0
C3_03980C,0,6,0,2,61,0,0,18,20,32,55,1
C3_03990C,0,2,1,2,632,0,165,20,23,35,18,1
C3_04000C,0,7,0,0,44,10,1,28,18,43,39,0
C3_04020C,15,29,27,34,383,3,354,233,174,602,310,128
C3_04030C,61,113,107,45,1056,8,1271,381,325,824,391,65
C3_04040W,0,0,0,0,1,0,0,0,0,0,0,0
C3_04060C,658,933,587,6198,11892,8628,2125,1628,2098,33765,6443,22139
C3_04070C,11,35,10,139,2482,63,169,362,240,2891,1102,804
C3_04080W,5,62,106,22,259,4,669,466,207,940,408,1034
C3_04090W,927,1074,1451,1077,17888,313,11595,4654,4041,17184,8825,7053
C3_04100W,0,0,0,2,32,0,153,36,12,91,51,16
C3_04110C,134,275,112,119,1902,83,2945,947,919,3147,1565,1013
C3_04120C,17,53,62,36,1072,5,739,273,117,556,318,136
C3_04130W,192,65,46,102,2788,71,827,503,346,1405,795,713
C3_04140C,5203,8167,12248,4117,60761,3340,19714,12114,8481,21153,15637,20609
C3_04160W,0,11,0,0,19,0,0,10,0,31,19,0
C3_04170W,0,0,0,0,12,0,0,17,0,10,17,1
C3_04180W,500,901,1059,368,4138,205,3337,1608,1215,2260,1617,1365
C3_04190W,0,0,0,2,9,0,22,11,12,43,18,0
C3_04200W,0,13,0,0,32,0,0,11,28,54,33,0
C3_04210W,0,0,0,0,19,0,75,12,2,16,5,0
C3_04220C,98,116,60,31,1125,12,2594,638,441,928,853,884
C3_04230W,154,108,212,48,985,88,1097,342,297,583,409,40
C3_04240C,0,0,0,0,3,0,1,0,0,0,0,0
C3_04250W,126,194,212,90,839,46,1370,728,534,865,801,637
C3_04260W,0,0,0,4,5,0,0,0,0,0,4,0
C3_04270C,201,231,190,97,1821,121,2128,638,520,651,757,93
C3_04290C,181,246,357,266,3002,152,2316,966,828,2241,1224,1108
C3_04300C,447,462,261,465,5390,567,3806,1720,1398,6755,3228,2892
C3_04310C,0,0,0,0,1,0,0,0,0,0,0,0
C3_04320W,35,36,7,119,272,1,561,161,161,1005,220,199
C3_04330C,17,70,2,35,661,7,465,304,211,1559,555,1177
C3_04340W,103,143,196,63,3412,38,2512,1133,832,1615,1860,244
C3_04350C,0,0,1,0,54,0,160,11,27,109,39,19
C3_04360W,74,138,190,111,2445,230,1202,473,344,1624,690,1044
C3_04370C,257,453,359,102,4359,62,6297,2899,1696,2712,2141,737
C3_04380C,495,636,989,180,8083,89,8882,6309,2642,2601,2764,837
C3_04390W,0,2,0,0,17,1,93,41,26,49,40,9
C3_04400C,423,567,217,299,4092,667,4817,1929,1368,2590,2015,1397
C3_04410C,112,154,159,175,4069,70,2907,1655,1093,5669,2423,2757
C3_04420W,55,131,32,177,2398,34,843,814,812,3716,1909,940
C3_04430W,12,76,10,6,844,5,362,411,191,162,242,4
C3_04440C,0,0,0,0,0,0,3,0,0,0,1,0
C3_04450C,0,4,0,0,1,0,0,0,0,40,8,0
C3_04460W,92,136,190,106,1294,13,931,705,400,1923,956,661
C3_04470W,388,601,229,384,8055,192,4407,2806,2668,8919,4802,4763
C3_04480C,0,0,0,7,48,0,0,3,3,110,54,89
C3_04490W,133,154,225,127,1568,25,1414,907,622,2222,1012,692
C3_04500C,21431,25447,14004,7560,111785,7093,126877,62894,44414,82165,48743,45654
C3_04510W,102,144,105,33,736,5,4719,580,237,446,346,262
C3_04520C,696,1423,935,806,4138,752,6102,2851,2287,4969,3389,3257
C3_04530C,237,261,162,256,4380,127,2583,1130,1115,3436,3157,680
C3_04540C,68,126,52,25,3368,10,909,514,363,1423,701,464
C3_04550C,122,225,223,436,4461,709,1685,886,1067,4264,1510,4566
C3_04560W,2361,2367,1461,426,22059,1427,19549,8140,5719,7182,6538,3852
C3_04570C,0,11,0,0,11,0,0,11,3,58,22,0
C3_04580C,107,167,192,64,354,60,790,379,393,628,285,564
C3_04590W,185,400,539,194,1605,126,2033,1429,1166,1634,1149,2162
C3_04600C,0,1,0,0,0,0,0,2,1,0,2,0
C3_04610W,44,82,19,26,1377,16,1739,513,206,495,313,154
C3_04620C,229,97,26,47,250,34,866,268,185,402,234,447
C3_04630W,94,62,4,37,1880,4,879,334,227,885,587,230
C3_04640W,7,83,27,50,1414,100,868,248,250,1175,531,691
C3_04650W,19,7,1,12,61,0,261,68,32,157,78,5
C3_04660C,3,19,135,0,128,1,392,139,88,203,126,0
C3_04670C,5210,5303,5825,3594,60468,1543,36678,26950,21856,33479,25818,25351
C3_04680W,2004,2253,2639,898,46004,954,67005,35177,25811,47941,31382,30151
C3_04690C,68,54,3,68,318,7,638,247,211,620,241,454
C3_04700W,37,99,49,57,2104,6,516,144,191,409,270,163
C3_04710W,26,13,1,11,109,53,220,124,112,180,94,0
C3_04720C,67,114,160,172,2683,89,219,323,216,1137,481,816
C3_04730C,0,0,0,0,7,0,62,3,2,0,7,0
C3_04740C,50,44,103,83,729,174,930,318,318,857,482,206
C3_04750W,61,45,71,42,314,8,226,227,147,313,297,486
C3_04760C,401,509,176,187,7989,197,4423,3233,2253,6375,4542,2068
C3_04770C,34,50,51,45,1007,105,47,154,133,602,286,94
C3_04780C,131,149,139,150,2765,93,2040,1207,752,2636,1283,843
C3_04790W,41,28,4,31,694,9,694,441,196,1341,610,301
C3_04800C,75,135,49,74,2071,96,756,322,199,727,331,472
C3_04810C,9483,10470,8685,4324,67622,3305,49482,32101,23452,41550,29249,38308
C3_04820C,641,1004,1001,638,13948,682,9077,5788,4691,13711,8527,3931
C3_04830C,14239,21915,21848,14581,279040,18785,97393,60880,63236,176205,128905,110156
C3_04840C,0,4,0,22,28,0,2,18,14,30,24,6
C3_04860W,169,325,31,195,1530,39,1244,896,1027,2120,1054,829
C3_04870W,0,0,0,0,0,0,1,1,0,12,3,0
C3_04880W,148,334,619,655,5074,182,1521,1046,1507,3430,2442,3423
C3_04890W,16,27,3,8,429,0,126,128,60,286,462,184
C3_04900W,602,610,507,86,3987,105,7147,1831,1086,1055,1654,337
C3_04910C,952,1802,2134,1106,11384,635,4927,4249,3360,2619,3862,2132
C3_04920C,54,167,158,101,1597,257,861,233,264,851,405,286
C3_04930C,53,105,3,1,372,60,358,367,184,533,316,119
C3_04940W,129,73,105,88,526,8,546,411,245,701,441,464
C3_04950W,2113,2111,1357,1129,8866,416,23009,8822,5152,11378,6099,3254
C3_04970C,144,309,298,213,5205,132,4486,1718,954,5303,2285,1386
C3_04980W,0,8,4,0,27,0,139,38,25,50,35,120
C3_04990W,171,349,307,177,1016,155,2214,750,755,1531,972,775
C3_05000W,287,358,476,404,5309,151,6247,1930,1511,6395,3737,1436
C3_05010C,107,125,72,60,1709,107,1741,573,304,1391,678,618
C3_05020W,10,79,5,28,482,66,717,297,204,765,400,223
C3_05030W,420,504,674,331,3551,152,7538,2034,1156,2779,1787,674
C3_05040C,23,13,5,29,612,0,856,267,144,549,277,74
C3_05050W,0,3,0,0,3,0,1,0,0,9,1,0
C3_05060W,39,62,2,35,205,1,496,179,73,333,197,60
C3_05070W,69,130,84,27,212,1,831,184,179,254,227,15
C3_05080W,0,0,0,0,12,0,1,1,0,5,8,104
C3_05090C,1,10,89,25,800,6,174,189,136,854,314,238
C3_05100C,11891,11423,8695,3909,73175,2624,58542,37248,25460,28474,23747,22976
C3_05110W,110,166,122,35,263,37,797,460,151,500,233,799
C3_05120C,283,447,248,195,4098,98,2609,788,451,1273,769,558
C3_05130C,0,39,0,0,42,0,31,20,11,51,34,0
C3_05140C,234,288,182,55,2330,53,1540,929,658,1064,976,583
C3_05150W,504,633,326,374,5119,203,3953,2061,1771,3633,2376,2260
C3_05160C,1168,1264,411,180,6123,186,13200,5316,3515,2998,4438,1248
C3_05170W,67,97,83,14,185,1,841,243,244,55,182,140
C3_05180W,76,76,41,48,1269,5,761,317,142,470,210,10
C3_05190C,363,314,519,521,9203,560,1720,679,669,2625,2150,1853
C3_05200W,182,559,229,116,1101,293,3171,6440,1356,1804,1006,1862
C3_05210C,209,509,389,399,17779,669,9016,5443,3908,22237,11151,7319
C3_05220W,1692,1898,1483,807,22254,497,21488,11841,6865,10254,9794,3337
C3_05230W,0,0,0,3,13,0,4,11,3,15,7,4
C3_05240C,9590,8642,8465,2819,62140,1608,107399,33646,22750,35160,27893,13604
C3_05250C,16,66,1,55,372,41,367,167,132,738,346,64
C3_05270C,0,9,4,22,145,12,209,147,109,406,135,41
C3_05280C,430,435,135,83,7064,120,5599,2106,1251,1045,1211,181
C3_05290C,62,114,75,14,1404,3,1689,624,254,277,212,232
C3_05300C,77,122,113,47,459,12,3493,607,339,591,347,256
C3_05310W,902,1144,794,518,14457,589,15459,3927,2126,10679,4579,2332
C3_05320W,67,223,163,93,6061,49,3541,1621,1068,2651,2060,640
C3_05330C,7,17,0,12,55,0,279,113,36,150,57,12
C3_05340W,34,21,14,5,439,13,778,120,76,92,85,19
C3_05350C,79,130,5,26,464,36,1062,526,238,756,360,221
C3_05360C,57,77,10,165,2576,45,639,407,261,1721,629,299
C3_05370C,23315,32416,18083,10594,102369,10238,71064,44128,36465,51771,44990,42892
C3_05380W,74,94,0,14,315,1,1887,568,206,351,279,74
C3_05390C,11,19,50,5,1695,6,1445,313,147,1527,331,362
C3_05400C,0,5,0,31,81,0,196,46,33,156,85,3
C3_05410W,297,359,475,132,6252,177,5820,1826,1419,3748,2461,611
C3_05420W,115,148,249,76,1933,29,1557,600,308,744,574,47
C3_05430W,22,51,71,29,1515,12,1492,315,199,413,251,112
C3_05440C,84,147,96,58,561,105,3191,391,213,655,397,96
C3_05450C,67,103,34,49,475,42,2356,520,276,1332,449,168
C3_05460W,122,121,249,59,613,5,2153,638,477,587,566,106
C3_05470W,92,114,83,24,1635,8,1761,542,407,994,521,234
C3_05510W,17,17,4,22,291,0,835,263,157,845,239,125
C3_05520C,711,711,548,279,9314,260,7873,3382,2227,7332,4021,2494
C3_05530W,218,618,208,275,8882,328,7194,2347,1271,2890,2426,846
C3_05540C,6,11,19,27,52,0,138,38,21,37,29,0
C3_05550C,47,151,24,51,1833,124,714,217,254,564,303,63
C3_05560W,350,460,241,202,3078,241,3831,1661,864,2574,1163,176
C3_05570W,56,91,27,26,963,4,1194,445,393,739,617,373
C3_05580C,0,88,79,4,26,0,0,76,62,18,31,3
C3_05590C,636,1026,681,731,8523,489,2990,1837,1366,3827,3293,1929
C3_05600W,0,2,0,0,29,0,46,3,1,19,9,0
C3_05610W,161,201,50,153,3102,151,2199,832,542,2926,1188,735
C3_05620W,0,1,0,0,4,0,1,5,0,33,12,0
C3_05630W,0,0,0,0,2,0,0,6,0,0,2,0
C3_05640W,0,0,0,0,6,0,0,0,0,0,0,0
C3_05650W,637,818,885,653,12618,391,9904,3597,2896,8919,4665,4171
C3_05660C,0,0,0,0,0,0,0,4,0,0,3,0
C3_05670C,0,0,0,0,1,0,0,1,0,0,1,0
C3_05680W,94,136,158,62,452,151,1826,406,247,564,381,330
C3_05700W,290,349,321,194,8679,140,8758,3035,2118,6075,4103,1002
C3_05710W,811,712,460,2020,7457,1121,2794,1880,1602,11928,3964,8890
C3_05720C,108,128,66,39,962,85,3048,799,527,1724,806,256
C3_05730C,168,179,297,66,1143,15,3134,697,338,1143,534,203
C3_05740C,47,51,60,23,410,7,2450,428,293,676,362,13
C3_05750C,0,0,0,0,18,0,0,4,1,3,15,0
C3_05760W,115,179,100,87,3609,96,2369,819,589,1238,881,353
C3_05770C,110,217,75,22,2216,20,3244,830,364,784,463,335
C3_05780C,146,222,230,91,1410,8,1998,616,615,1480,1030,824
C3_05790C,33,15,1,3,258,2,293,111,38,321,123,4
C3_05800W,68,106,47,19,877,4,1273,432,267,696,456,315
C3_05810C,72,104,65,379,7464,580,1760,583,392,4791,3977,2430
C3_05830W,423,450,520,172,3933,145,6115,1880,1450,3506,2164,1299
C3_05840W,0,0,0,1,5,0,0,2,2,5,5,0
C3_05850W,31,37,39,84,325,38,1196,282,159,618,320,346
C3_05860C,26,82,37,42,1535,26,2713,532,317,718,519,140
C3_05870C,489,467,244,116,3040,141,8161,2397,1443,2958,2180,1147
C3_05880C,669,820,659,642,7663,734,6667,4072,4117,8164,5169,4579
C3_05890W,44,99,50,11,847,26,1364,247,148,349,238,446
C3_05900W,89,105,258,11,497,1,1797,541,277,258,323,176
C3_05910W,60,94,17,53,697,3,925,450,291,909,707,271
C3_05920W,112,119,210,40,821,6,2142,891,565,784,686,291
C3_05930W,117,188,36,134,5120,165,2216,1033,889,4774,2216,2032
C3_05940C,67,33,120,15,1178,102,482,231,139,298,252,84
C3_05950W,32,90,83,37,990,23,1312,455,257,623,433,219
C3_05960W,96,159,104,50,625,17,1712,585,412,878,628,604
C3_05970C,288,284,85,380,2623,294,984,842,681,2544,1382,2062
C3_05980C,0,6,0,2,154,0,138,71,67,330,191,144
C3_05990C,7,118,214,125,439,140,0,49,53,1285,398,965
C3_06000W,144,275,63,47,2381,60,4438,1719,1137,1392,1333,513
C3_06010W,160,188,376,47,6707,91,11403,3018,1849,1488,1666,494
C3_06020W,280,437,177,282,2177,140,3790,1609,1049,3548,1775,1229
C3_06030W,2476,2702,1699,212,13253,503,16045,6389,3583,2978,4353,2095
C3_06040W,0,0,0,0,3,0,0,0,2,0,5,0
C3_06050C,613,602,426,270,7194,277,7499,2139,1366,3282,1977,1192
C3_06060W,534,514,85,163,5282,22,3773,1639,1016,1014,1260,757
C3_06070C,574,742,613,470,6373,469,3204,2303,1912,6110,3268,3155
C3_06080W,42,10,4,11,655,5,595,422,199,1931,592,204
C3_06090C,219,284,230,215,3000,217,2237,724,441,2363,1261,749
C3_06100C,3793,5320,3709,2075,25992,2382,12355,9764,9281,9927,10013,7382
C3_06110C,134,175,166,169,3194,142,1290,670,500,900,867,430
C3_06120C,567,748,303,312,11074,270,6875,2581,1777,4161,2985,1888
C3_06130W,0,0,0,0,0,0,13,2,0,0,1,0
C3_06140W,8,19,18,98,722,47,179,69,61,803,180,129
C3_06150W,96,150,141,98,3632,14,1502,734,664,1561,1118,785
C3_06160C,0,0,0,0,2,0,1,7,0,0,2,0
C3_06170C,0,0,0,0,0,0,1,0,0,0,0,0
C3_06180C,0,33,0,0,17,0,0,4,0,11,43,5
C3_06190C,0,5,2,1,191,0,98,72,54,221,178,87
C3_06200C,99,104,74,105,1725,5,1227,341,166,870,334,148
C3_06210C,196,193,138,100,1779,222,1906,902,481,2256,1016,968
C3_06220C,0,57,4,20,404,65,396,193,126,216,322,10
C3_06230W,395,458,515,229,8665,218,3791,1778,1246,3669,2145,1109
C3_06240C,275,279,75,90,754,7,2685,686,381,877,614,504
C3_06250W,597,901,322,453,7578,753,4111,2054,1326,9694,3670,4030
C3_06260C,85,156,105,72,1547,162,1124,735,364,944,727,109
C3_06270C,68,59,4,25,449,20,159,154,127,653,367,86
C3_06280W,142,237,140,269,2762,171,728,576,422,2474,879,2703
C3_06290W,64,176,108,87,2167,43,795,495,397,1343,758,194
C3_06300W,307,404,343,163,5025,54,6085,2547,1615,6802,3538,1527
C3_06310C,384,426,69,196,5314,324,4953,2121,1238,4070,2115,1346
C3_06320W,1,27,6,3,900,1,257,282,278,1577,838,595
C3_06330W,0,2,0,0,20,1,1,2,1,0,47,21
C3_06340W,7,0,0,2,15,0,0,4,4,62,9,0
C3_06350W,0,0,0,0,15,0,0,21,10,25,17,0
C3_06360C,600,714,849,1013,6543,782,2899,2563,2132,7665,4520,3352
C3_06370C,316,423,315,107,2636,82,2292,1036,866,875,1236,723
C3_06380W,0,0,0,0,0,0,0,3,1,5,5,0
C3_06390W,0,0,0,0,0,0,0,3,1,5,2,0
C3_06400C,59,89,86,83,2912,44,838,385,240,1192,638,434
C3_06410C,126,151,115,121,592,98,910,523,338,504,519,207
C3_06420C,77,145,131,49,1068,156,2905,1095,705,1336,656,347
C3_06430W,0,6,0,0,11,1,0,9,8,10,3,1
C3_06440W,554,670,1065,687,12625,554,5512,2913,3516,7749,5867,5050
C3_06450W,10,10,43,37,117,0,193,38,21,118,97,56
C3_06470W,77,145,50,167,2036,198,932,362,500,2170,1431,760
C3_06480C,41,96,121,72,1070,58,1018,218,194,658,344,159
C3_06490W,50,38,49,219,724,444,271,121,139,865,344,1123
C3_06500W,1933,2263,2220,1851,31703,1103,14345,6612,5024,16195,11479,7243
C3_06510C,0,18,0,9,21,0,161,9,8,48,27,0
C3_06520C,14,4,0,64,641,36,321,60,56,443,179,148
C3_06530W,1,10,0,6,157,55,150,34,15,110,107,99
C3_06540C,42,85,140,21,278,4,2847,443,168,382,195,92
C3_06550C,37,53,5,44,623,22,747,167,189,478,316,186
C3_06560W,62,51,8,206,707,213,425,201,300,2358,630,1332
C3_06570C,80,112,131,87,948,50,2688,533,434,453,401,171
C3_06580W,0,4,0,0,4,0,0,4,2,0,7,0
C3_06590W,300,490,441,442,9399,331,4110,2134,1428,4139,3535,2240
C3_06600C,69,69,9,31,824,23,1439,281,203,581,313,4
C3_06610W,123,134,211,97,672,42,448,219,197,693,583,620
C3_06620W,141,176,234,21,909,79,2936,1074,828,1124,750,374
C3_06630W,82,29,5,67,397,53,641,218,177,640,382,6
C3_06640W,13,13,98,7,233,48,183,85,85,403,216,380
C3_06650C,230,348,266,157,2938,272,5267,1085,790,1521,1184,474
C3_06660C,0,0,0,0,8,0,1,2,8,3,5,0
C3_06670C,3,33,2,35,912,6,170,76,72,558,349,56
C3_06680C,18,25,0,33,724,194,346,54,62,131,125,171
C3_06690C,114,48,314,66,1650,6,552,134,140,684,259,373
C3_06700C,633,1051,771,2321,21184,2377,13359,3789,2939,21013,6821,10521
C3_06710W,64,84,92,123,1359,53,622,518,526,4040,1221,981
C3_06720W,77,128,113,30,1500,137,925,877,497,1921,1309,769
C3_06730W,13,19,2,14,135,1,169,62,46,168,141,180
C3_06740W,309,341,55,100,3166,202,5982,1953,971,1919,1257,404
C3_06750W,145,82,30,71,2270,44,3213,1299,540,2751,1505,504
C3_06760W,452,465,108,32,1530,49,5085,1286,596,653,800,298
C3_06770W,67,82,39,21,249,8,245,185,137,537,255,9
C3_06780C,0,4,0,0,4,0,1,1,0,1,2,0
C3_06790W,5,2,0,0,66,0,81,13,2,41,38,0
C3_06800C,176,220,355,151,4191,96,1953,619,345,1278,639,346
C3_06810W,46,74,12,63,793,40,1025,447,291,1440,724,535
C3_06820C,177,353,443,256,4300,147,596,552,547,1735,1153,1064
C3_06830C,283,430,300,239,5584,157,4708,2539,1726,3828,2791,1394
C3_06850W,181,178,171,54,1209,18,1112,753,949,379,770,326
C3_06860C,15,25,72,241,1232,244,751,253,236,3566,1154,1424
C3_06870W,12935,25190,28640,56205,288217,54881,34847,44104,47488,232965,133621,300704
C3_06880W,0,24,0,1,598,10,483,153,74,221,82,0
C3_06890W,1212,1594,1817,1571,23569,979,12545,6190,3998,13043,9048,5660
C3_06900W,49,82,25,28,3176,145,1156,273,194,419,175,58
C3_06910C,583,850,274,311,9256,244,7363,2904,1629,4815,2829,1160
C3_06920W,122,202,176,187,2702,295,2125,732,409,2506,1117,794
C3_06940W,0,0,0,0,0,0,1,0,0,0,1,0
C3_06950W,63,110,102,11,1646,20,4213,1207,839,269,203,3
C3_06970W,350,672,150,154,5461,299,13600,2682,1202,1800,1351,647
C3_06980W,58,82,73,40,375,38,1331,345,148,500,346,266
C3_06990W,10,63,15,18,268,0,1295,238,124,314,157,22
C3_07000W,360,569,115,305,2053,232,2230,992,933,2618,1300,1423
C3_07010W,74,35,8,116,962,82,567,356,402,1215,466,684
C3_07020W,1002,1670,2704,1516,19659,1196,8763,4850,6285,17190,10818,12672
C3_07030C,61,72,79,62,2886,63,1670,387,227,644,394,108
C3_07040C,162,183,138,109,2530,37,698,300,211,424,313,318
C3_07050W,5,36,1,9,511,2,2346,188,103,219,190,0
C3_07060W,783,798,844,215,3226,289,4341,2098,1450,1869,1910,806
C3_07070C,14,0,0,0,9,0,44,6,0,41,14,10
C3_07080W,54,20,20,21,330,36,102,116,120,176,201,170
C3_07090W,647,713,633,330,5380,162,5822,1289,750,2448,1635,1495
C3_07100C,47,46,6,44,330,35,794,230,225,341,303,510
C3_07110W,81,188,168,98,2711,99,1958,755,515,1600,888,224
C3_07120W,0,102,0,5,1014,1,95,74,76,75,78,114
C3_07130W,32,0,6,4,62,0,280,93,84,32,40,1
C3_07140C,76,40,6,59,840,27,1397,319,182,410,344,693
C3_07150C,4059,5664,2842,1115,45796,1158,117203,52310,24955,64482,30568,12375
C3_07160W,20,66,1,11,145,59,190,211,170,227,130,248
C3_07170C,205,381,156,65,1431,14,6992,2326,1397,2181,1285,964
C3_07180C,424,448,471,82,613,27,9214,2222,850,598,475,77
C3_07200C,5,34,34,6,424,1,2343,427,246,549,322,45
C3_07210W,98,52,200,30,849,66,2254,587,347,774,357,176
C3_07220C,663,665,708,361,8451,490,4973,1953,953,3122,2532,1147
C3_07230W,191,290,374,228,6476,190,5592,1736,1360,4466,2686,1301
C3_07240W,0,0,0,0,6,0,0,3,1,0,3,0
C3_07250W,580,575,375,280,4279,219,4309,1952,1428,3605,2517,2768
C3_07260C,388,1111,381,588,7218,376,5002,3130,2519,10542,5281,5883
C3_07270C,315,683,680,832,11987,901,1922,1259,830,4733,3649,3331
C3_07280C,17,164,90,75,739,56,953,393,568,675,616,885
C3_07290W,113,270,31,126,2004,136,1335,832,655,1720,940,608
C3_07300W,691,647,491,48,4464,152,4132,1353,957,834,1416,434
C3_07310C,2147,2829,1717,1628,23559,1402,10479,6611,5466,22120,11286,16849
C3_07320W,190,253,165,150,2607,76,1818,1522,1221,3655,2183,2367
C3_07330W,28,17,0,15,191,8,350,48,38,273,138,2
C3_07340W,23,84,2,65,262,30,126,125,138,423,226,100
C3_07350W,50,74,57,103,519,80,403,405,240,984,518,426
C3_07360W,25,32,1,36,216,17,43,77,55,432,188,404
C3_07370W,18,73,74,63,322,62,631,289,201,487,301,288
C3_07380W,0,0,0,12,9,0,0,8,32,0,10,0
C3_07390C,558,798,770,397,7699,136,4752,1319,842,1454,1076,400
C3_07400W,225,297,303,88,2291,99,1550,1166,688,864,830,569
C3_07410C,6053,6444,5429,2647,47352,2248,38578,15030,12294,20048,19608,9906
C3_07420W,1097,1458,1410,293,9938,283,16409,4184,3083,3873,3280,1871
C3_07430W,0,0,0,0,4,0,0,0,0,0,1,0
C3_07440W,1887,2395,3205,8054,58083,4854,6609,4534,6403,41461,19099,38585
C3_07450C,40,71,39,14,167,22,432,135,78,164,141,8
C3_07460W,301,273,451,166,2648,125,1118,966,842,2433,1226,1244
C3_07470W,45,108,73,11,1736,55,340,431,235,235,441,95
C3_07480W,234,164,254,214,2473,74,2050,792,797,1846,958,1134
C3_07490W,165,189,140,284,3384,305,1132,841,638,5958,1718,2644
C3_07500W,9,1,0,0,32,0,111,34,25,42,18,44
C3_07540C,58,87,59,20,310,2,900,283,182,366,235,57
C3_07550C,197,260,150,149,1347,111,3577,1144,770,1972,1171,392
C3_07560W,329,582,332,531,3369,323,2460,1176,1024,3224,2035,2477
C3_07570C,25,24,28,12,211,0,760,181,100,355,226,122
C3_07580W,137,117,36,41,254,82,1006,331,221,220,206,54
C3_07590W,14,34,0,24,124,40,0,40,37,250,121,196
C3_07600W,204,241,327,67,2059,101,2138,649,402,643,755,294
C3_07610W,291,670,431,648,7583,603,3944,2082,1663,7013,3712,4829
C3_07620C,21,75,85,26,377,73,1055,427,208,548,416,975
C3_07630C,99,117,36,83,2347,12,538,537,468,2042,1189,914
C3_07640C,2550,3777,2667,1998,28676,1690,9162,6449,5487,12395,11857,8791
C3_07650C,44,23,40,45,379,1,546,417,188,600,374,94
C3_07660W,111,70,2,21,628,51,624,491,349,900,633,663
C3_07670W,25,128,3,62,446,56,516,238,235,593,447,269
C3_07690C,296,427,277,139,1852,242,2679,934,615,731,839,277
C3_07700W,397,516,396,155,1338,295,2464,1179,887,1758,1285,1189
C3_07710W,178,143,117,160,1405,96,1012,756,505,1831,912,728
C3_07720C,0,0,0,0,0,0,0,0,0,0,2,0
C3_07730W,121,150,174,188,1425,39,1083,462,661,634,515,486
