,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.1042,2874,1769,1681,1617,2180,1111,2927,1857,2756
orf19.1043,19,0,14,16,20,16,16,18,26
orf19.1045,22,8,14,22,18,24,48,48,54
orf19.1047,102,36,44,398,608,502,498,472,710
orf19.1048,44,26,22,0,4,0,6,10,10
orf19.1049,0,2,0,0,2,0,10,6,6
orf19.1050,2,0,2,2,2,0,20,8,6
orf19.1051,113,86,78,285,387,219,3823,3018,3363
orf19.1052,58,38,52,152,291,148,3059,2195,2306
orf19.1053,31,20,10,52,80,54,83,52,94
orf19.1054,82,27,55,54,80,36,191,107,190
orf19.1055,48,24,40,235,319,175,660,414,586
orf19.1057,38,22,40,22,32,24,106,60,56
orf19.1058,59,14,22,108,84,70,163,131,153
orf19.1059,155,80,80,389,520,265,4743,3193,3621
orf19.1060,5,0,0,7,8,2,12,6,7
orf19.1061,103,58,70,191,258,142,3523,2794,2794
orf19.1062,0,2,2,0,0,0,0,0,2
orf19.1063,8,2,0,9,4,6,9,9,19
orf19.1064,452,234,224,1658,1935,1122,4742,2560,4389
orf19.1065,98,52,60,630,966,466,1812,1172,1741
orf19.1066,0,0,2,2,6,4,2,4,4
orf19.1067,26,18,14,12,8,8,24,22,20
orf19.1069,1162,577,622,181,221,145,526,232,325
orf19.1070,6,0,4,26,14,18,78,44,52
orf19.5203,34,12,26,348,298,144,561,288,374
orf19.5201.1,410,158,230,368,397,216,838,547,840
orf19.5201,144,48,68,218,293,204,330,275,409
orf19.5200,83,21,37,146,179,153,245,226,254
orf19.5198,236,150,128,698,1196,1122,527,650,848
orf19.5197,369,262,254,822,818,446,1291,813,1304
orf19.5196,68,26,30,80,78,60,152,88,112
orf19.5195,88,42,46,168,200,120,196,170,191
orf19.5194.1,8,6,6,15,33,21,64,34,52
orf19.6833.2,0,0,0,0,0,0,0,0,0
orf19.6837,0,0,2,48,46,24,56,58,68
orf19.6838,22,10,6,1490,1315,798,1128,690,1068
orf19.6840,10,2,2,42,58,30,56,20,36
orf19.6842,265,158,206,32,52,14,281,102,162
orf19.6843,12,12,6,208,238,166,599,504,612
orf19.6844,436,324,331,1271,1250,514,11830,3299,6325
orf19.6845,8,8,3,38,51,50,54,33,76
orf19.6846,70,44,29,182,220,104,234,181,232
orf19.6847,24,28,14,102,134,88,130,100,122
orf19.6848,52,16,26,52,40,16,110,72,90
orf19.6849,6,2,0,16,28,8,29,16,26
orf19.6850,24,20,22,14,12,2,40,22,22
orf19.6851,0,0,0,20,8,2,46,42,42
orf19.6852,6,4,8,24,40,14,62,34,58
orf19.6852.1,216,65,94,7,9,9,65,18,22
orf19.6853,90,52,100,724,772,624,1000,932,1146
orf19.6854,2113,1322,1341,8835,9039,5975,18115,12646,17324
orf19.6855,60,22,32,198,228,182,216,244,272
orf19.783,64,26,30,204,184,82,347,206,276
orf19.782,30,8,8,370,248,118,636,370,374
orf19.781,4,0,6,166,88,90,130,38,78
orf19.780,2,2,10,2168,1418,1154,2430,978,1742
orf19.779,2,2,6,46,34,32,120,106,144
orf19.778,1131,629,634,318,423,94,1465,517,847
orf19.776,0,0,0,0,0,2,0,4,0
orf19.775,144,60,92,40,20,8,108,34,64
