,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.1671.1,0,0,0,0,0,0,0,0,0
orf19.1670,60,38,42,30,26,14,122,62,74
orf19.1669,152,96,96,761,841,548,1053,723,980
orf19.1668,12,4,6,15,52,42,68,36,68
orf19.1667.1,0,0,0,28,48,22,108,62,90
orf19.1667,32,18,20,42,56,42,66,48,74
orf19.1666,20,11,24,80,126,77,219,153,187
orf19.1665,388,192,222,1604,2015,1332,1623,1012,1597
orf19.1664,188,104,120,12,26,6,38,16,24
orf19.1663,32,14,18,182,322,180,172,122,217
tV(AAC)2,0,0,0,0,0,0,0,0,0
orf19.1662,66,42,40,256,326,214,328,292,378
orf19.1661,116,56,80,401,537,382,585,423,618
tK(UUU)1,0,0,0,0,0,0,0,0,0
orf19.1659,22,4,6,61,88,38,98,72,87
orf19.1658,143,64,74,494,525,354,999,608,714
orf19.1656,22,18,20,68,42,2,186,71,54
orf19.1655.3,181,86,74,217,201,153,435,306,374
tY(GUA)2,0,0,0,0,0,0,0,0,0
orf19.1655,1504,766,775,2934,2613,965,3801,1978,2772
orf19.1654,32,10,18,87,114,76,105,78,118
orf19.1653,48,18,20,62,42,36,72,44,48
orf19.1652,810,452,430,7858,8201,3909,6321,3151,5556
orf19.1651,0,0,0,0,0,0,0,0,0
orf19.1650,40,22,22,249,298,248,482,369,506
orf19.1649,86,34,32,232,206,176,312,322,360
orf19.1648,44,10,6,123,96,68,239,214,231
orf19.1647,4,2,0,14,4,0,17,24,8
orf19.1646,262,158,142,578,768,721,510,520,684
orf19.1643,40,32,26,123,150,84,152,128,158
orf19.1642,64,30,33,71,190,174,60,92,192
tE(UUC)2,0,0,0,0,0,0,0,0,0
orf19.1641,6,2,2,32,30,50,34,36,19
orf19.1639,4,2,0,4,0,0,2,10,6
orf19.1638,12,6,2,80,58,34,157,71,76
orf19.1637,12,8,6,30,42,20,68,28,68
orf19.1636,88,44,53,94,100,102,192,159,194
orf19.1635,561,380,275,2731,3404,2814,5202,4668,5715
orf19.1634,59,26,36,163,146,134,224,127,153
orf19.1633,198,102,114,414,677,512,403,383,572
orf19.1632,18,12,2,0,8,0,6,5,11
orf19.1631,18,0,12,461,517,410,776,597,848
orf19.1630,64,22,50,124,134,62,278,194,278
orf19.1628,88,44,44,122,146,56,382,148,339
orf19.1626,26,24,16,372,430,352,300,346,386
orf19.1625,155,79,98,319,384,297,581,351,508
orf19.1624.1,0,2,0,1,0,6,3,7,14
orf19.1624,26,16,14,152,185,94,218,164,234
orf19.1623,262,156,149,261,267,192,450,249,383
orf19.1622,4,14,2,65,112,48,382,332,400
orf19.1621,48,26,24,66,60,38,175,121,108
orf19.1620,0,0,0,0,0,0,0,0,0
orf19.1619,261,118,160,173,204,156,288,226,207
orf19.1618.1,4,5,3,30,35,20,60,38,57
orf19.1618,48,32,34,545,660,392,851,623,636
orf19.1617,10,10,8,40,36,10,90,48,76
orf19.1616,2,0,0,2,6,8,6,2,2
orf19.1614,48,26,26,862,613,229,1359,541,460
orf19.1613,116,72,84,1415,1705,1273,2888,1667,2296
orf19.1611,0,0,0,0,4,0,4,4,4
orf19.1610,9,6,8,0,1,2,12,8,14
orf19.1609,170,62,78,282,688,454,448,440,508
orf19.1608,6,4,4,0,2,0,6,0,4
orf19.1607,546,260,273,455,839,607,581,488,788
orf19.1606,2,0,2,26,24,10,52,34,51
orf19.227,205,72,120,363,526,240,642,399,611
orf19.229,40,18,20,51,70,20,115,106,69
orf19.230,28,12,2,34,28,24,30,20,36
orf19.231,12,16,10,206,215,98,364,223,300
orf19.232,24,8,8,22,25,6,32,20,40
orf19.233.1,60,26,29,134,209,131,239,128,230
orf19.234,8,6,2,80,74,72,80,46,60
orf19.236,673,368,318,2466,3076,2615,4346,3902,4812
orf19.238,1286,626,694,142,219,60,628,281,524
orf19.239,77,64,70,463,501,346,860,639,771
orf19.240,61,12,38,129,184,148,210,182,209
orf19.242,2,4,4,10,10,4,21,13,18
tM(CAU)1,0,0,0,0,0,0,0,0,0
orf19.242.2,4,3,6,97,141,96,77,36,52
orf19.243,56,15,38,44,47,24,92,29,54
orf19.244,0,0,0,8,12,2,58,48,68
orf19.245,2,0,2,44,38,29,101,64,81
orf19.246,16,12,2,26,27,10,31,34,27
orf19.247,8,4,2,19,10,10,28,8,30
orf19.248,74,40,38,126,162,108,228,196,226
orf19.250,99,50,60,260,313,197,315,274,312
orf19.251,1630,912,978,58,116,30,128,34,90
orf19.252,32,12,9,118,123,50,139,119,118
orf19.254,155,58,83,392,364,215,717,508,470
orf19.255,203,76,109,349,369,229,670,510,531
orf19.257,8,2,4,2,7,3,5,8,13
orf19.258,0,2,0,5,14,18,20,2,4
orf19.259,18,10,6,4,14,22,26,28,38
orf19.260,45,16,20,70,100,82,136,86,140
orf19.261,44,32,20,206,180,154,272,198,280
orf19.262,0,4,2,84,110,78,242,204,294
orf19.263.1,26,12,15,145,192,135,196,150,231
orf19.264,36,17,21,27,45,24,63,29,43
tF(GAA)1,0,0,0,0,1,2,3,0,0
tR(UCU)1,0,0,0,0,0,0,0,0,2
orf19.265,27,4,21,0,0,0,2,0,0
orf19.267,43,18,24,176,234,186,302,209,374
orf19.268,32,36,34,34,16,8,66,30,42
orf19.269,166,94,90,1284,1527,1218,1564,1206,1648
orf19.270,2,0,4,2,0,4,2,0,2
orf19.271,0,0,0,0,0,0,0,0,0
orf19.272,20,16,14,4466,4301,2468,2959,1941,2876
orf19.273,49,16,43,286,238,143,323,229,242
orf19.274,14,8,6,38,60,42,132,124,112
orf19.275,11,4,3,0,24,22,13,21,33
orf19.276,6,10,6,24,45,26,63,36,68
orf19.277,58,26,36,10,4,4,32,14,25
orf19.278,76,34,20,53,44,38,44,34,46
orf19.279,4,6,2,20,41,16,32,18,39
orf19.280,6,10,8,12,4,2,18,8,20
orf19.281,0,2,8,24,24,14,40,22,36
orf19.284,24,6,10,16,20,14,32,22,34
orf19.285,199,103,129,34,53,18,124,87,73
orf19.286,0,0,0,0,4,2,2,4,2
orf19.287,126,58,95,430,381,320,642,463,631
orf19.288,192,95,136,739,851,583,883,484,800
orf19.290,28,16,26,172,156,70,136,126,148
orf19.291,28,20,26,100,102,66,128,108,106
orf19.292,12,6,6,22,18,16,36,39,32
orf19.295,4,0,4,18,12,12,32,28,28
orf19.296,4,4,8,6,14,6,10,6,10
orf19.297,20,7,8,85,94,96,78,96,119
orf19.298,0,0,0,2,0,0,0,0,0
orf19.299,90,37,36,75,71,78,153,85,122
orf19.300,92,48,58,779,995,723,999,901,1146
orf19.301,25,18,10,32,16,16,82,45,46
orf19.302,2,2,0,14,10,6,40,13,18
orf19.304,4,2,6,68,99,58,84,47,103
orf19.305,8,6,2,186,124,46,289,162,189
orf19.306,2,0,4,10,11,8,76,40,63
orf19.307,40,22,26,101,90,42,207,119,170
orf19.308,28,4,6,136,130,126,134,162,142
orf19.309,42,36,28,16,20,4,47,8,16
orf19.310,4,0,4,14,16,18,34,16,40
orf19.313,6,8,2,58,60,34,68,34,42
orf19.314,71,38,28,126,87,47,164,97,110
orf19.315,8,4,7,21,23,4,30,27,21
orf19.316,100,57,42,439,520,346,498,338,506
orf19.317,90,32,46,72,84,72,164,88,114
orf19.318,38,28,13,184,166,149,412,284,320
orf19.319,7,2,0,15,23,19,17,20,34
orf19.320,16,6,6,34,34,10,34,32,40
tK(CUU)1,0,0,0,0,0,0,0,0,0
orf19.321,32,16,15,28,10,10,48,58,62
orf19.322,0,0,0,0,0,0,0,2,1
orf19.323,48,20,36,136,174,154,214,141,252
orf19.325,108,66,66,283,442,264,448,401,516
orf19.326,6,8,2,30,26,20,68,22,56
orf19.327,18,12,19,58,61,69,318,235,279
orf19.328,47,28,14,44,50,32,84,54,69
orf19.329,102,66,102,214,239,255,240,183,260
orf19.331,22,6,6,14,22,32,32,40,46
orf19.330.1,22,8,12,39,78,38,76,49,66
orf19.332,56,44,52,104,138,111,132,113,163
orf19.332.1,78,36,66,185,267,138,374,217,358
tE(UUC)1,0,0,0,0,0,0,0,0,0
orf19.333,14,10,2,66,70,44,54,54,50
orf19.334,224,60,106,59,65,18,203,52,73
orf19.335,52,10,23,22,30,14,70,49,38
orf19.336,44,34,38,70,101,74,105,85,136
orf19.337,196,64,91,100,70,40,108,96,118
orf19.338,1818,1050,1004,42,108,26,670,158,250
orf19.339,731,390,392,666,779,564,2956,950,1313
orf19.340,7,10,14,6,2,0,19,0,6
orf19.341,10,10,6,10,34,24,84,56,108
orf19.342,6,2,0,2,0,4,4,4,2
orf19.344,0,2,4,4,4,13,12,6,13
orf19.345,4,0,0,103,106,68,126,85,122
orf19.346,46,26,26,669,586,291,1706,873,1054
orf19.347,148,41,62,27,40,6,56,23,27
orf19.348,24,14,20,18,22,4,58,28,32
orf19.349,56,28,42,20,12,12,98,50,72
orf19.350,49,40,40,126,156,96,192,112,185
orf19.351,6,8,4,15,6,2,26,8,12
orf19.352,52,26,36,44,76,42,124,100,128
orf19.353,18,10,10,26,60,48,47,62,70
orf19.354,4,6,8,62,58,54,92,82,122
orf19.355,0,0,2,4,0,2,6,4,0
orf19.356,110,40,54,463,241,75,1168,610,614
orf19.357,56,28,26,198,182,110,255,208,256
orf19.359,12,0,4,4,2,2,6,8,8
orf19.360,4,2,4,48,24,10,27,12,44
orf19.6957,0,0,0,0,0,0,0,0,0
orf19.6958,4,0,0,22,24,23,37,22,18
orf19.6956,24,6,6,102,38,26,205,50,64
orf19.6955,166,68,94,346,574,590,294,384,572
orf19.6953,38,28,38,66,68,50,104,104,112
orf19.6952,127,56,62,63,79,44,108,117,176
orf19.6951,184,80,108,28,80,24,100,74,154
orf19.6950,0,0,2,2,16,12,40,18,42
orf19.6949,1,0,0,0,0,2,0,0,0
orf19.6948,185,90,114,247,473,315,267,464,560
orf19.6947,117,32,32,15,23,10,46,24,34
orf19.6944,44,20,36,114,69,60,180,104,142
orf19.6943,22,6,26,17,18,14,31,12,26
orf19.6942,30,12,12,92,86,64,150,110,86
orf19.6941,228,109,122,281,205,66,461,253,217
orf19.6939,44,12,22,47,80,41,60,71,67
orf19.6940,0,0,0,0,0,0,0,0,0
orf19.6938,8,8,8,286,334,280,257,250,318
orf19.6937,724,412,418,4864,5477,3254,2657,2538,2840
orf19.6936,4,2,6,100,88,72,178,122,230
orf19.6934,20,4,8,52,68,52,74,104,114
orf19.6933,12,22,10,38,40,32,56,25,39
orf19.6931,62,36,24,94,86,70,121,90,119
orf19.6930,24,4,10,42,36,43,40,31,44
orf19.6929,2,4,0,18,12,14,32,24,50
orf19.6928,568,380,364,301,305,205,615,276,472
orf19.6927,153,64,107,120,114,76,187,128,143
orf19.6926,192,108,117,210,220,142,357,230,260
orf19.6925,163,114,107,321,352,230,3626,2859,2845
orf19.6924,73,28,40,140,167,93,2082,1626,1694
orf19.6923.1,46,14,23,66,86,59,169,98,127
orf19.6923,59,41,35,79,97,60,197,97,162
orf19.2813,0,0,0,0,0,0,0,0,0
orf19.6922,0,0,0,0,0,0,0,0,0
orf19.2812,8,2,6,12,18,10,16,24,22
orf19.2810,9,6,0,345,256,151,728,501,447
orf19.2809,614,394,392,1550,1124,378,3341,1779,1958
tE(UUC)6,0,0,2,2,2,2,0,0,4
orf19.2808,12,8,8,96,48,19,591,179,184
orf19.2805,28,18,12,96,110,32,240,119,126
orf19.2804,0,0,0,0,0,0,0,0,0
tA(AGC)2,0,0,0,0,0,2,0,0,0
orf19.2803,132,61,94,190,256,143,303,191,239
orf19.918,690,431,478,348,236,112,476,229,222
orf19.913.2,213,90,120,948,1067,772,1566,1270,1762
orf19.5854,427,298,272,533,636,340,1195,685,946
orf19.5854.1,6,4,1,2,14,2,17,0,18
orf19.5855,164,52,94,137,138,83,222,125,178
orf19.5856,16,14,16,28,73,30,87,29,95
orf19.5857,150,70,83,36,32,28,57,40,32
orf19.5858,138,84,78,1108,1170,815,1920,1455,1866
snR17A,104,84,66,422,556,370,696,508,628
orf19.5859,24,12,11,12,8,20,14,14,19
orf19.5860,12,4,12,2,8,2,11,4,7
orf19.5861,58,32,35,287,285,273,385,312,432
orf19.5861.1,0,2,0,15,5,2,21,16,11
orf19.5862,0,2,0,4,6,0,32,20,28
orf19.5863,4,6,4,0,0,2,2,6,6
orf19.5864,102,28,42,112,120,116,70,74,122
orf19.5865,30,20,10,20,46,30,46,54,72
orf19.5866,0,0,0,0,0,0,0,0,0
orf19.5867,85,61,56,93,130,104,122,132,205
orf19.5869,72,32,33,73,55,48,115,75,76
orf19.5870,12,4,4,130,196,156,307,194,352
orf19.5871,40,18,22,112,134,80,224,238,252
orf19.5873,4,4,4,544,580,418,1002,840,1267
orf19.5874,0,0,0,0,0,0,0,0,2
orf19.5875,6,6,6,26,14,18,52,31,38
orf19.5876,159,80,87,142,141,108,189,119,124
orf19.5877,90,36,55,63,90,58,307,150,146
orf19.5879,8,2,10,14,20,6,54,20,30
orf19.5880,86,38,34,84,70,55,149,92,97
orf19.5884,17,22,26,223,321,275,167,178,276
orf19.5885,228,101,106,792,1015,718,951,1005,1136
orf19.5886,178,106,116,757,843,548,1114,735,1053
orf19.5887,38,18,24,130,212,102,218,192,252
orf19.5890,250,162,166,110,108,66,180,116,209
orf19.5892,144,70,74,30,24,12,82,61,58
orf19.5893,646,270,435,1688,2131,1463,3025,2181,3210
orf19.5894,2,0,2,4,2,2,3,4,0
orf19.5896,0,0,0,0,0,0,2,2,0
orf19.5897,66,26,20,80,36,30,158,81,158
orf19.5901,91,74,74,368,370,212,693,470,539
orf19.5902,62,24,30,0,2,6,10,8,6
orf19.5903,85,56,60,258,255,182,332,205,324
orf19.5904,887,573,500,4681,5346,3941,7099,6679,8421
orf19.5905,59,46,41,144,243,181,138,170,231
orf19.5906,152,74,102,448,524,466,530,536,646
orf19.5908,440,247,247,231,918,265,357,314,597
orf19.5910,27,30,14,54,58,38,107,60,88
orf19.5911,301,127,176,208,228,164,122,96,232
orf19.5912,250,170,162,1224,1738,1386,1068,1016,1252
orf19.5915,8,2,5,14,6,2,18,6,8
orf19.5917,42,22,14,560,516,184,569,494,216
orf19.5917.3,142,89,85,633,656,447,903,674,713
orf19.5918,6,2,3,18,28,25,40,23,36
orf19.5919,8,2,4,24,47,14,46,30,33
orf19.5920,10,8,10,66,46,48,46,72,78
orf19.5921,19,8,10,368,409,257,497,278,470
orf19.5924,22,8,4,62,80,40,104,62,106
orf19.5925,4,4,4,13,12,10,31,14,14
orf19.5926,10,2,8,21,56,40,16,30,90
orf19.5927,531,279,291,2579,3288,2420,4894,4638,5488
orf19.5928,460,362,268,2578,3051,2573,4489,4227,5201
orf19.5929,24,8,16,16,18,10,54,24,38
orf19.5930,26,4,8,68,52,58,56,54,88
orf19.5931,6,0,2,7,13,0,5,4,8
orf19.5932,23,2,15,53,44,24,104,60,69
orf19.5933,0,2,2,0,2,0,2,2,4
orf19.5934,4,2,0,76,62,44,144,116,148
orf19.5935,16,8,10,24,44,26,74,52,40
orf19.5938,38,22,24,545,511,391,863,754,889
orf19.5940,16,8,6,116,86,58,183,101,113
orf19.5941,44,14,28,140,158,142,216,160,208
orf19.5942,26,12,4,44,44,28,59,34,44
orf19.5943,46,20,19,74,43,25,120,82,79
orf19.5943.1,514,240,305,2325,2766,1904,4227,3829,4663
orf19.5947,108,80,72,388,442,310,720,462,610
orf19.5949,2230,1256,1244,2585,2824,1974,1836,1818,2212
orf19.5952,12,8,6,36,30,26,42,44,55
tK(CUU)2,0,0,0,0,2,0,0,0,0
orf19.5953,136,38,96,315,336,266,485,331,487
orf19.5954,0,0,0,0,0,0,0,0,0
orf19.5956,250,68,125,230,290,218,382,240,398
orf19.5958,96,54,34,142,172,149,359,185,204
orf19.5959,208,82,84,212,396,382,200,228,476
orf19.5960,1671,703,1014,99,180,91,837,428,433
orf19.5961,150,74,89,32,22,10,76,51,42
orf19.5962,32,20,4,282,233,109,343,221,184
orf19.5963,120,65,63,161,148,93,233,142,164
orf19.5964,279,108,100,887,1024,776,1382,927,1261
orf19.5964.2,385,222,263,1680,2313,1563,3037,2861,3424
orf19.5965,48,28,42,180,188,126,236,140,232
orf19.5966,0,0,0,4,0,0,2,0,4
orf19.5967,44,24,14,121,129,86,240,142,208
orf19.5968,62,52,50,263,275,214,222,144,237
orf19.5970,6,2,2,36,54,30,100,82,84
orf19.5971,18,6,14,38,32,36,68,46,53
orf19.5973,102,64,56,196,232,124,318,226,322
orf19.5974,120,48,86,12,12,2,40,35,22
orf19.5975,168,96,137,601,468,193,1005,628,408
orf19.5976,21,8,8,64,58,36,224,92,106
orf19.5977,6,6,12,82,99,67,103,96,138
orf19.5978,2,0,4,4,2,0,8,4,4
orf19.5980,29,8,16,14,12,2,28,16,18
orf19.5982,771,377,471,3014,3708,2739,4992,4973,6145
orf19.5984,40,16,12,72,66,28,118,86,104
orf19.5985,30,12,24,98,120,72,138,122,164
orf19.5986,15,12,19,2,4,0,0,0,4
orf19.5987,52,32,18,90,160,140,90,114,176
orf19.5989,82,22,40,405,427,300,684,561,710
orf19.5991,150,106,74,464,654,534,446,438,550
orf19.5992,19,10,16,24,25,16,26,15,18
orf19.5994,46,5,28,32,59,26,100,40,29
orf19.5995,106,42,42,139,160,106,172,138,209
orf19.5996.1,441,200,257,3291,3897,3043,5761,5269,6325
orf19.5999,16,4,2,126,187,94,458,308,430
orf19.6000,534,294,278,1034,1431,914,2068,1275,1636
orf19.6001,2,0,0,2,2,0,4,0,2
orf19.6002,530,260,262,2903,3681,2575,4988,4290,5393
orf19.6003,48,24,18,142,189,62,206,116,44
orf19.6005,131,50,81,41,26,18,49,24,33
orf19.6007,28,6,12,241,339,212,194,176,266
orf19.6008,16,2,18,398,248,62,776,342,270
orf19.6966,10,6,6,42,38,18,72,28,40
orf19.6967,52,29,22,98,180,118,270,252,271
orf19.6968,100,52,34,26,112,36,70,52,103
orf19.6970,0,2,2,2,0,2,14,0,2
orf19.6971,0,2,0,4,6,6,16,6,6
orf19.6972,2,4,0,40,38,44,98,73,69
orf19.6973,196,106,104,330,226,96,671,258,353
orf19.6975,901,525,556,5378,6434,4934,9461,8335,10136
orf19.6976,33,14,13,52,53,48,77,66,66
orf19.6977,4,2,2,10,4,8,7,8,5
orf19.6978,6,0,0,0,2,2,2,0,2
orf19.6979,133,74,68,204,191,175,304,170,301
orf19.6980,22,6,10,78,72,42,88,66,64
orf19.6981,34,16,28,10,4,6,42,22,52
orf19.6982,0,2,2,18,34,16,52,30,40
orf19.6983,247,88,99,183,258,76,403,250,207
orf19.6984,12,2,8,105,132,111,103,84,106
orf19.6985,64,20,38,94,84,52,188,86,86
tV(AAC)5,0,0,0,0,0,0,0,0,0
tV(AAC)6,0,0,0,0,0,0,0,0,0
SNR6,2,6,10,2,20,2,6,6,2
orf19.6986,2,2,0,16,28,4,28,16,22
orf19.6987,99,70,87,349,355,200,563,358,510
orf19.6988,28,20,12,101,176,70,170,120,143
orf19.6989,8,2,0,2,14,4,12,5,8
orf19.6990,30,16,38,24,54,28,69,46,66
orf19.6991,48,26,28,110,126,72,158,104,162
orf19.6992,142,76,100,40,124,86,106,54,159
orf19.6993,2204,1226,1232,12324,9360,4149,16342,9438,8388
orf19.6994,120,70,60,772,969,742,758,536,725
orf19.6995,40,10,9,16,16,6,34,24,15
orf19.6996,115,66,87,20,66,54,60,44,38
orf19.6997,0,0,2,15,8,2,10,8,4
orf19.6998,6,2,6,384,124,34,520,166,118
orf19.6999,0,0,0,0,0,0,4,0,0
orf19.7001,514,191,329,723,739,462,882,610,761
orf19.7002,0,0,0,0,0,0,0,0,0
orf19.7348,16,0,1,7,16,6,11,8,17
orf19.7347,13,14,17,54,69,42,65,63,70
orf19.7349,251,89,81,573,642,485,656,492,714
orf19.7350,1004,536,563,389,739,360,707,385,855
orf19.7353,2,2,4,34,72,54,180,118,140
orf19.7354,20,8,2,59,96,87,106,103,140
orf19.7355,16,2,4,30,74,32,77,47,66
orf19.7356,4,0,0,60,46,20,107,34,48
orf19.7357,28,16,12,202,202,130,249,189,237
orf19.7358,24,2,4,12,36,26,32,34,30
orf19.7359,34,12,16,78,107,48,140,111,115
orf19.7360,3,0,2,28,17,13,20,16,15
orf19.7361,30,16,10,62,105,76,44,44,112
orf19.7362,4,0,0,48,118,84,146,126,232
snR44d,9,0,4,10,11,0,9,1,13
orf19.7363,236,116,134,171,295,211,457,250,556
orf19.7364,2,0,0,6,0,2,0,2,0
orf19.7365,38,22,30,8,12,0,14,12,24
orf19.7366,30,16,22,38,54,50,24,12,64
orf19.7367,96,47,54,177,316,176,254,239,290
orf19.7368,28,30,26,336,422,289,656,474,618
orf19.7369,28,16,30,20,30,34,40,30,30
orf19.7370,44,12,16,114,196,98,228,174,242
orf19.7371,20,10,4,58,98,54,80,42,105
orf19.7372,36,24,28,66,96,73,92,94,140
orf19.7374,51,33,16,144,213,134,198,162,218
orf19.7375,10,8,2,18,8,18,10,20,14
orf19.7376,26,12,14,74,90,58,50,76,78
orf19.7377,6,2,6,14,18,4,116,80,72
orf19.7378,135,77,81,204,210,151,344,224,253
orf19.7379,42,24,22,268,256,42,514,262,412
orf19.7380,20,2,4,20,16,6,36,16,20
orf19.7381,10,6,6,150,163,41,353,292,141
orf19.7382,254,135,158,1696,2109,1540,2452,2160,2734
orf19.7383,43,17,24,216,278,175,310,254,391
orf19.7384,296,168,154,954,1315,1021,863,797,1019
orf19.7385,8,4,8,2,2,2,2,4,0
orf19.7386,52,26,32,156,156,136,216,204,258
orf19.7387,202,120,120,196,296,266,156,195,268
orf19.7388,184,96,116,290,348,284,384,304,448
orf19.7389,58,28,22,77,70,38,142,84,136
orf19.7391,32,34,16,122,110,96,140,111,165
orf19.7392,1020,567,585,902,1455,1230,1119,1051,1982
orf19.7393,162,63,90,118,114,98,242,147,198
orf19.7394,90,40,46,215,366,286,481,338,659
orf19.7395,1,0,0,0,1,0,0,0,2
orf19.7396,16,2,0,4,4,6,40,16,20
orf19.7397,46,6,16,82,82,38,152,98,151
orf19.7397.1,47,30,24,130,194,179,91,108,140
orf19.7397.3,14,18,10,8,16,10,20,6,20
orf19.7417,54,28,40,458,475,311,780,570,933
orf19.7414,20,12,22,156,175,73,308,112,72
orf19.7413,3,0,2,50,60,48,95,79,119
orf19.7412,46,24,40,113,141,93,194,122,160
orf19.7411,4,4,4,4,20,34,62,30,64
orf19.7410,118,74,70,244,364,256,290,202,318
orf19.7409.1,14,6,5,50,88,60,64,54,66
orf19.7409,46,29,28,302,343,270,471,328,442
orf19.7406,32,14,14,48,72,53,53,69,85
orf19.7405,55,32,32,6,14,10,29,14,15
orf19.7404,76,28,26,110,122,88,166,84,122
orf19.7403,201,66,94,152,129,48,300,156,136
orf19.7402,28,10,12,110,170,107,533,397,579
orf19.7401,52,46,32,114,154,112,134,155,199
orf19.7400,18,18,18,76,44,42,134,72,58
orf19.7398.1,58,34,24,355,446,326,790,573,875
orf19.7419,2,0,2,6,10,2,14,5,10
orf19.7420,24,18,16,12,16,14,32,18,32
orf19.7421,154,94,78,352,388,243,383,292,392
orf19.7422,107,24,50,214,403,379,117,284,379
orf19.7424,19,20,26,53,102,76,39,50,83
orf19.7398,0,0,0,0,0,0,0,0,0
orf19.7425,4,0,0,77,84,69,196,154,225
orf19.7426,10,4,12,28,34,40,66,48,94
orf19.7427,118,48,59,100,170,106,146,168,302
orf19.7428,28,12,12,124,130,82,214,176,280
orf19.7433,316,150,190,452,510,340,845,633,740
orf19.7434,12,8,4,23,34,10,141,91,73
tH(GUG)3,0,0,0,0,0,0,0,0,1
orf19.7436,88,62,34,556,651,365,868,742,801
orf19.7436.1,14,6,14,24,53,24,68,32,60
orf19.7437,34,16,24,268,155,88,414,289,306
orf19.7438,228,116,130,496,490,312,686,442,626
orf19.7440,2,0,0,0,4,0,4,4,2
orf19.7441,23,6,12,13,22,14,22,18,41
orf19.7442,4,0,13,4,14,14,14,14,17
orf19.7443,4,0,1,8,22,16,14,13,10
orf19.7444,26,17,13,4,9,9,44,10,14
orf19.7445,620,226,328,129,148,92,120,32,44
orf19.7446,22,24,23,44,81,22,97,28,97
orf19.7447,106,38,36,256,318,60,552,206,650
orf19.7448,70,34,54,900,1340,750,2664,1538,2567
orf19.7449,16,10,18,22,32,16,34,18,28
orf19.7450,14,2,2,81,84,64,112,76,80
orf19.7451,326,146,174,170,146,109,484,232,222
orf19.7452,2,0,0,30,22,26,66,53,60
orf19.7453,2,0,0,40,42,24,39,36,66
orf19.7454,20,14,18,74,70,44,158,120,146
orf19.7455,2,4,2,0,0,0,0,0,0
orf19.7456,9,8,2,40,30,16,28,10,2
orf19.7457,2,4,8,5,14,6,18,14,12
orf19.7458,10,4,2,12,18,11,26,14,22
orf19.7459,203,126,126,274,388,319,461,328,482
orf19.6832,32,10,12,84,76,42,201,116,153
orf19.6831,143,68,76,144,162,202,127,162,226
orf19.6830,14,10,20,64,82,28,168,66,172
orf19.6829,38,20,14,156,134,130,152,120,186
orf19.6828.1,22,12,21,223,292,190,232,158,197
orf19.6828,64,22,30,154,260,200,158,178,230
orf19.6827,17,10,9,15,12,16,16,25,28
orf19.6826,12,4,9,8,26,12,31,16,47
orf19.6824,8,4,10,8,12,4,61,14,10
orf19.6822,20,12,10,46,38,32,89,46,72
orf19.6821,16,4,20,17,19,10,77,42,80
orf19.6820,125,28,65,85,84,53,137,142,102
orf19.6818,34,18,18,262,328,254,280,298,370
tW(CCA)2,0,0,0,0,0,0,0,1,1
orf19.6817,10,2,4,22,24,7,16,0,24
orf19.6816,86,48,46,0,2,0,8,0,22
orf19.6814,5860,3452,3427,192,288,190,239,62,270
orf19.6813,0,0,0,4,4,4,6,0,8
orf19.6812,80,32,34,1358,1762,1247,962,716,1032
orf19.6811,66,18,22,32,32,30,96,52,38
orf19.6810,58,30,34,141,211,72,323,263,254
orf19.6809,2,2,6,34,40,24,65,43,72
orf19.6807,280,134,170,647,586,294,1128,757,881
orf19.6805,6,2,2,30,24,24,149,74,44
tY(GUA)3,0,0,0,0,0,0,0,0,2
orf19.6804,42,12,14,74,94,58,86,62,96
orf19.6803,6,4,4,12,16,20,20,12,40
orf19.6802,12,2,6,16,8,8,35,14,28
orf19.6801,64,28,40,220,198,104,328,230,266
orf19.6800,14,10,18,80,56,34,142,78,98
orf19.6798,206,52,140,484,463,380,1006,789,873
orf19.6797,6,4,4,50,66,58,94,64,92
orf19.6796,6,6,2,28,22,6,65,48,30
orf19.6795,15,6,7,23,22,7,27,13,21
orf19.6794,218,165,102,456,475,338,831,593,741
orf19.6793,179,64,104,25,8,4,52,11,11
orf19.6792,56,24,54,50,38,10,106,54,54
orf19.6791,648,236,374,311,311,200,404,308,326
orf19.6790,40,18,16,10,16,12,76,42,58
orf19.6789,4,0,2,42,58,20,164,114,118
orf19.6788,8,4,2,48,40,10,66,22,18
orf19.6787,22,10,22,85,134,74,139,90,142
orf19.6786,6,3,2,32,14,33,102,66,104
orf19.6785,302,246,151,2299,3014,2357,4130,3637,4418
orf19.6784,40,30,28,574,522,182,930,601,762
orf19.6783,143,76,70,265,259,203,438,319,330
orf19.6782,12,2,6,121,162,112,188,190,268
orf19.6781,27,22,8,100,114,72,156,116,100
orf19.6780,8,4,9,20,47,19,41,35,43
orf19.6779,18,8,6,161,211,122,266,208,261
orf19.6778,24,20,6,274,312,156,420,352,478
orf19.6777,0,2,0,4,6,2,8,4,0
orf19.6776,126,78,88,228,242,239,290,258,287
orf19.6773,48,26,32,146,146,66,210,90,186
orf19.6771,2245,1524,1378,1264,1570,834,3142,1390,3315
orf19.6770,136,48,76,16,36,28,25,10,40
orf19.6769,204,128,128,216,328,204,325,216,440
orf19.6766,78,54,54,200,274,276,178,162,272
