Gene,CanAlb_plus_plus_1,CanAlb_plus_plus_2
C1_10220C_A-T,209,258
C1_10230C_A-T,110,110
C1_10240C_A-T,5,8
C1_10250C_A-T,153,97
C1_10260C_A-T,678,567
C1_10270C_A-T,402,383
C1_10280C_A-T,383,284
C1_10290W_A-T,4,1
C1_10300W_A-T,91,108
C1_10310W_A-T,7,7
C1_10320W_A-T,79,84
C1_10330C_A-T,75,79
C1_10340W_A-T,21,17
C1_10350C_A-T,182,157
C1_10360C_A-T,359,294
C1_10370W_A-T,0,1
C1_10380C_A-T,440,376
C1_10390C_A-T,10342,8356
C1_10400C_A-T,261,262
C1_10410W_A-T,38,39
C1_10420C_A-T,76,73
C1_10430W_A-T,1,0
C1_10440W_A-T,159,130
C1_10450W_A-T,934,759
C1_10460W_A-T,116,79
C1_10470W_A-T,1285,1109
C1_10480W_A-T,320,290
C1_10490W_A-T,860,701
C1_10500W_A-T,138,93
C1_10510W_A-T,0,1
C1_10520W_A-T,32,18
C1_10530W_A-T,678,453
C1_10540C_A-T,107,89
C1_10550C_A-T,5,3
C1_10560C_A-T,62,41
C1_10570C_A-T,0,3
C1_10580C_A-T,28,32
C1_10610W_A-T,333,256
C1_10620W_A-T,4057,3546
C1_10630C_A-T,90,79
C1_10640C_A-T,281,279
C1_10650W_A-T,121,103
C1_10660W_A-T,427,353
C1_10670C_A-T,3303,2907
C1_10680C_A-T,798,626
C1_10690W_A-T,243,240
C1_10700C_A-T,414,327
C1_10710C_A-T,164,179
C1_10720C_A-T,429,392
C1_10730W_A-T,154,100
C1_10740C_A-T,46,29
C1_10750C_A-T,134,138
C1_10760W_A-T,109,112
C1_10770W_A-T,57,50
C1_10780C_A-T,564,488
C1_10790W_A-T,6009,4812
C1_10800C_A-T,392,296
C1_10810W_A-T,1,0
C1_10820C_A-T,710,519
C1_10830W_A-T,167,154
C1_10840C_A-T,426,392
C1_10860C_A-T,122,129
C1_10870W_A-T,21130,13731
C1_10880W_A-T,503,448
C1_10890C_A-T,271,235
C1_10910C_A-T,128,119
C1_10920W_A-T,76,71
C1_10930C_A-T,302,252
C1_10940C_A-T,878,732
C1_10950C_A-T,378,304
C1_10960W_A-T,150,152
C1_10970W_A-T,885,755
C1_10980W_A-T,1,0
C1_10990C_A-T,345,288
C1_11000C_A-T,428,299
C1_11010C_A-T,55,52
C1_11030W_A-T,3010,2176
C1_11040W_A-T,7419,5714
C1_11050W_A-T,8,3
C1_11060C_A-T,31878,27116
C1_11070W_A-T,258,209
C1_11080W_A-T,93,102
C1_11090C_A-T,233,216
C1_11100W_A-T,256,178
C1_11110C_A-T,327,306
C1_11120C_A-T,808,734
C1_11130W_A-T,61,54
C1_11140W_A-T,45,45
C1_11150W_A-T,112,111
C1_11160C_A-T,321,293
C1_11170W_A-T,1207,1036
C1_11190W_A-T,139,107
C1_11200W_A-T,415,307
C1_11210C_A-T,129,121
C1_11220C_A-T,1749,1464
C1_11230W_A-T,119,101
C1_11240C_A-T,548,530
C1_11250W_A-T,120,127
C1_11260C_A-T,3,0
C1_11270W_A-T,111,65
C1_11280W_A-T,94,58
C1_11290W_A-T,1,1
C1_11300C_A-T,108,103
C1_11310C_A-T,225,209
C1_11320C_A-T,4,2
C1_11330C_A-T,1544,1555
C1_11350C_A-T,670,604
C1_11360W_A-T,13978,12591
C1_11370C_A-T,35,22
C1_11380W_A-T,870,714
C1_11390W_A-T,1,1
C1_11400C_A-T,551,543
C1_11410C_A-T,131,102
C1_11420W_A-T,844,657
C1_11430W_A-T,59,50
C1_11440C_A-T,302,278
C1_11450C_A-T,6579,5366
C1_11470C_A-T,30,32
C1_11480W_A-T,1636,1387
C1_11490C_A-T,0,1
C1_11500C_A-T,323,270
C1_11510C_A-T,21,11
C1_11520C_A-T,465,415
C1_11530C_A-T,2,0
C1_11540C_A-T,1160,994
C1_11550W_A-T,2028,1756
C1_11560C_A-T,81,79
C1_11570W_A-T,3,12
C1_11580W_A-T,213,171
C1_11590W_A-T,440,368
C1_11600W_A-T,148,106
C1_11610C_A-T,100,96
C1_11620W_A-T,27,20
C1_11630C_A-T,1,0
C1_11640C_A-T,78,66
C1_11650W_A-T,8345,6474
C1_11660W_A-T,652,553
C1_11670W_A-T,303,299
C1_11680C_A-T,63,53
C1_11690W_A-T,80,83
C1_11700C_A-T,174,142
C1_11720W_A-T,105,87
C1_11730W_A-T,352,356
C1_11740W_A-T,96,89
C1_11750W_A-T,109,96
C1_11760C_A-T,335,312
C1_11770C_A-T,456,458
C1_11790W_A-T,114,121
C1_11800C_A-T,63,68
C1_11810W_A-T,85,74
C1_11850W_A-T,27,20
C1_11860W_A-T,6472,4760
C1_11870W_A-T,568,557
C1_11880W_A-T,730,603
C1_11890W_A-T,65,71
C1_11900C_A-T,125,101
C1_11910W_A-T,78,72
C1_11920W_A-T,144,114
C1_11930W_A-T,344,298
C1_11940C_A-T,63,52
C1_11950W_A-T,3,0
C1_11960C_A-T,277,202
C1_11970C_A-T,56,63
C1_11980W_A-T,90,93
C1_11990W_A-T,354,377
C1_12000C_A-T,5,5
C1_12010C_A-T,92,74
C1_12030W_A-T,3077,2542
C1_12050W_A-T,1748,1550
C1_12070C_A-T,79,55
C1_12080W_A-T,156,132
C1_12090C_A-T,1,1
C1_12100C_A-T,97,65
C1_12110C_A-T,36,42
C1_12120W_A-T,32,36
C1_12130C_A-T,60,56
C1_12140W_A-T,36,26
C1_12150C_A-T,17,15
C1_12160W_A-T,68,79
C1_12170C_A-T,72,72
C1_12180C_A-T,205,197
C1_12190W_A-T,30,14
C1_12200W_A-T,346,354
C1_12210W_A-T,921,824
C1_12220W_A-T,256,269
C1_12230W_A-T,271,250
C1_12240C_A-T,260,222
C1_12250C_A-T,501,410
C1_12260W_A-T,29,53
C1_12270W_A-T,2,1
C1_12280C_A-T,556,444
C1_12290C_A-T,168,161
C1_12310C_A-T,964,968
C1_12320C_A-T,2101,1682
C1_12330W_A-T,0,1
C1_12340C_A-T,909,778
C1_12350W_A-T,958,840
C1_12360C_A-T,370,331
C1_12370W_A-T,86,61
C1_12380C_A-T,1323,1074
C1_12390C_A-T,18219,12724
C1_12400C_A-T,20,17
C1_12410C_A-T,183,174
C1_12420C_A-T,3,4
C1_12430W_A-T,59,55
C1_12440W_A-T,104,74
C1_12450C_A-T,255,236
C1_12480W_A-T,70,56
C1_12490W_A-T,700,563
C1_12510W_A-T,390,343
C1_12520W_A-T,68,89
C1_12530C_A-T,32,41
C1_12540W_A-T,133,100
C1_12550C_A-T,440,380
C1_12560C_A-T,1,0
C1_12570C_A-T,251,277
C1_12580W_A-T,166,132
C1_12590W_A-T,2082,1734
C1_12600C_A-T,565,491
C1_12610W_A-T,855,733
C1_12620W_A-T,685,599
C1_12630C_A-T,88,75
C1_12640W_A-T,122,113
C1_12650C_A-T,293,205
C1_12660W_A-T,129,137
C1_12670C_A-T,113,98
C1_12680W_A-T,1125,977
C1_12690C_A-T,35,35
C1_12700W_A-T,19,10
C1_12710C_A-T,85,73
C1_12730W_A-T,46,49
C1_12740W_A-T,96,105
C1_12750C_A-T,103,101
C1_12760W_A-T,540,508
C1_12770W_A-T,3430,2807
C1_12780W_A-T,225,216
C1_12790C_A-T,652,665
C1_12800W_A-T,21,20
C1_12810W_A-T,90,100
C1_12820C_A-T,1508,1104
C1_12830C_A-T,103,103
C1_12840W_A-T,40,21
C1_12850W_A-T,12,1
C1_12880C_A-T,13,12
C1_12890W_A-T,32,19
C1_12910W_A-T,321,283
C1_12920C_A-T,76,74
C1_12930C_A-T,2,2
C1_12940C_A-T,2,3
C1_12950W_A-T,53,61
C1_12960C_A-T,233,221
C1_12970C_A-T,123,123
C1_13010W_A-T,156,123
C1_13020C_A-T,184,212
C1_13030C_A-T,1853,1515
C1_13050W_A-T,16220,12121
C1_13060C_A-T,2485,2088
C1_13070C_A-T,673,613
C1_13080W_A-T,4,0
C1_13100W_A-T,1,0
C1_13110C_A-T,921,782
C1_13120C_A-T,226,174
C1_13130C_A-T,413,375
C1_13140C_A-T,282,320
C1_13160W_A-T,19,22
C1_13170C_A-T,448,422
C1_13180W_A-T,1,0
C1_13190W_A-T,659,577
C1_13200C_A-T,85,60
C1_13220C_A-T,231,211
C1_13240W_A-T,18,23
C1_13250W_A-T,201,148
C1_13260W_A-T,403,380
C1_13270W_A-T,136,132
C1_13280C_A-T,541,543
C1_13300C_A-T,2097,1720
C1_13310W_A-T,77,74
C1_13320C_A-T,901,704
C1_13330C_A-T,272,266
C1_13350W_A-T,331,286
C1_13360C_A-T,55,50
C1_13370W_A-T,451,412
C1_13380W_A-T,63,58
C1_13390W_A-T,44,37
C1_13400C_A-T,712,603
C1_13410W_A-T,189,154
C1_13420C_A-T,1476,1283
C1_13430C_A-T,1,2
C1_13470W_A-T,4,0
C1_13480W_A-T,998,836
C1_13490C_A-T,24,18
C1_13510C_A-T,45,41
C1_13520C_A-T,248,189
C1_13530W_A-T,1,4
C1_13540W_A-T,105,98
C1_13550C_A-T,583,514
C1_13560W_A-T,35,32
C1_13570W_A-T,207,231
C1_13580W_A-T,831,685
C1_13590W_A-T,2,1
C1_13600W_A-T,0,2
C1_13610C_A-T,176,157
C1_13620W_A-T,458,506
C1_13630W_A-T,84,23
C1_13640W_A-T,315,299
C1_13650C_A-T,96,80
C1_13660W_A-T,142,119
C1_13670W_A-T,98,81
C1_13680C_A-T,1823,1582
C1_13690C_A-T,535,391
C1_13700W_A-T,12799,9783
C1_13710C_A-T,90,65
C1_13720W_A-T,419,366
C1_13730C_A-T,412,431
C1_13740W_A-T,44,32
C1_13750C_A-T,41,47
C1_13760W_A-T,662,569
C1_13770C_A-T,50,53
C1_13780W_A-T,1416,1232
C1_13790C_A-T,229,210
C1_13800C_A-T,1,1
C1_13810W_A-T,146,113
C1_13820C_A-T,320,272
C1_13830C_A-T,1386,1055
C1_13840W_A-T,76,84
C1_13860C_A-T,15310,12087
C1_13870W_A-T,192,169
C1_13880C_A-T,317,239
C1_13900C_A-T,690,629
C1_13910C_A-T,97,73
C1_13920W_A-T,175,168
C1_13930W_A-T,112,92
C1_13940W_A-T,3254,2736
C1_13950C_A-T,14,11
C1_13960W_A-T,416,336
C1_13970C_A-T,115,107
C1_13990W_A-T,49,48
C1_14000C_A-T,84,62
C1_14030W_A-T,42,22
C1_14040W_A-T,108,95
C1_14050C_A-T,34,45
C1_14060W_A-T,234,202
C1_14080W_A-T,1446,1283
C1_14090W_A-T,2195,1467
C1_14100W_A-T,250,239
C1_14110C_A-T,35113,29132
C1_14120C_A-T,160,171
C1_14130W_A-T,183,175
C1_14140C_A-T,383,326
C1_14150C_A-T,490,439
C1_14160W_A-T,214,204
C1_14170W_A-T,462,349
C1_14180W_A-T,3,4
C1_14190C_A-T,6,0
C1_14200W_A-T,111,102
C1_14210C_A-T,172,140
C1_14220C_A-T,1903,1323
C1_14230C_A-T,220,161
C1_14240W_A-T,1047,858
C1_14250C_A-T,133,111
C1_14260C_A-T,1881,1483
C1_14270W_A-T,55,42
C1_14280C_A-T,4933,3797
C1_14290C_A-T,2734,1975
C1_14300C_A-T,170,154
C1_14310W_A-T,169,141
C1_14320C_A-T,578,513
C1_14330W_A-T,118,136
C1_14340C_A-T,1056,930
C1_14350W_A-T,117,151
C1_14360C_A-T,71,72
C1_14380C_A-T,86,77
C1_14390W_A-T,675,647
C1_14400C_A-T,20,17
C1_14410W_A-T,947,833
C1_14420W_A-T,407,304
C1_14430C_A-T,62,76
C1_14440C_A-T,843,759
C1_14450C_A-T,951,769
C1_14460W_A-T,1015,830
C1_14470W_A-T,85,75
C1_14490C_A-T,109,99
C1_14500C_A-T,981,788
C1_14520W_A-T,22,38
C1_14530W_A-T,1,0
C1_14550C_A-T,5,12
C1_14560C_A-T,1,0
C1_14590C_A-T,64,40
C2_00010W_A-T,8,2
C2_00030W_A-T,382,420
C2_00060C_A-T,353,332
C2_00070C_A-T,698,636
C2_00080C_A-T,2,0
C2_00090W_A-T,21,24
C2_00100C_A-T,362,333
C2_00110W_A-T,60,71
C2_00120C_A-T,144,162
C2_00130W_A-T,7,5
C2_00140W_A-T,933,947
C2_00150W_A-T,133,127
C2_00160C_A-T,219,208
C2_00170C_A-T,424,418
C2_00180C_A-T,78,69
C2_00190C_A-T,275,247
C2_00200W_A-T,91,96
C2_00210W_A-T,13747,13039
C2_00220C_A-T,320,282
C2_00230W_A-T,97,59
C2_00240C_A-T,0,1
C2_00250W_A-T,57,14
C2_00260C_A-T,266,214
C2_00270C_A-T,26,19
C2_00280C_A-T,44,46
C2_00290W_A-T,73,74
C2_00300C_A-T,307,294
C2_00320W_A-T,180,155
C2_00330C_A-T,70,62
C2_00340C_A-T,2322,1854
C2_00350W_A-T,63,53
C2_00360C_A-T,1873,1459
C2_00370W_A-T,110,75
C2_00380C_A-T,1084,923
C2_00390C_A-T,271,259
C2_00400C_A-T,1937,1673
C2_00410C_A-T,548,464
C2_00420W_A-T,74,53
C2_00430C_A-T,242,208
C2_00440W_A-T,73,82
C2_00450C_A-T,142,106
C2_00470W_A-T,402,363
C2_00480C_A-T,120,89
C2_00490W_A-T,57,44
C2_00500W_A-T,23,37
C2_00510W_A-T,9,3
C2_00520W_A-T,270,246
C2_00530W_A-T,1,0
C2_00540W_A-T,99,109
C2_00560W_A-T,1,0
C2_00570W_A-T,410,396
C2_00580C_A-T,212,199
C2_00590W_A-T,171,153
C2_00600C_A-T,379,276
C2_00610C_A-T,2983,2630
C2_00620C_A-T,56,45
C2_00630C_A-T,70,77
C2_00640W_A-T,2,2
C2_00650W_A-T,99,69
C2_00660C_A-T,10,14
C2_00680C_A-T,19,17
C2_00690W_A-T,6,7
C2_00700W_A-T,594,557
C2_00710W_A-T,556,439
C2_00720C_A-T,155,111
C2_00730C_A-T,123,102
C2_00740C_A-T,76,57
C2_00750W_A-T,4,1
C2_00760C_A-T,3,2
C2_00770W_A-T,35,23
C2_00780W_A-T,1,8
C2_00790C_A-T,520,470
C2_00800C_A-T,3,2
C2_00810C_A-T,118,102
C2_00820W_A-T,104,76
C2_00830C_A-T,542,451
C2_00840W_A-T,188,130
C2_00850W_A-T,377,299
C2_00860C_A-T,1,1
C2_00870W_A-T,119,107
C2_00880W_A-T,215,171
C2_00930C_A-T,109,98
C2_00940W_A-T,75,43
C2_00950C_A-T,303,307
C2_00960C_A-T,294,288
C2_00970C_A-T,86,72
C2_00980W_A-T,1,0
C2_01000W_A-T,4386,4643
C2_01010W_A-T,1476,1310
C2_01020W_A-T,272,275
C2_01030W_A-T,610,480
C2_01040W_A-T,30,22
C2_01060C_A-T,57,37
C2_01070W_A-T,1438,1190
C2_01090C_A-T,347,272
C2_01110C_A-T,896,797
C2_01120W_A-T,6595,5183
C2_01130W_A-T,620,505
C2_01150W_A-T,72,51
C2_01160W_A-T,454,449
C2_01170C_A-T,181,150
C2_01180W_A-T,375,297
C2_01190C_A-T,33,37
C2_01200C_A-T,514,426
C2_01210C_A-T,422,323
C2_01220W_A-T,715,622
C2_01230W_A-T,61,58
C2_01240C_A-T,29,35
C2_01250W_A-T,66,41
C2_01260W_A-T,128,106
C2_01270W_A-T,152,134
C2_01300C_A-T,104,103
C2_01310W_A-T,93,76
C2_01320W_A-T,703,583
C2_01330C_A-T,65,57
C2_01340W_A-T,525,448
C2_01350C_A-T,172,133
C2_01360C_A-T,552,545
C2_01370C_A-T,399,321
C2_01380W_A-T,484,423
C2_01390W_A-T,423,368
C2_01400C_A-T,141,121
C2_01410C_A-T,310,320
C2_01420C_A-T,109,108
C2_01430W_A-T,1281,929
C2_01440C_A-T,235,179
C2_01450C_A-T,18,17
C2_01470W_A-T,146,117
C2_01480W_A-T,1343,1087
C2_01490C_A-T,123,120
C2_01510C_A-T,41,34
C2_01520W_A-T,76,56
C2_01530C_A-T,452,417
C2_01540W_A-T,19,17
C2_01550W_A-T,315,241
C2_01560W_A-T,10,18
C2_01570W_A-T,59,41
C2_01580W_A-T,258,250
C2_01590W_A-T,3792,3497
C2_01600C_A-T,416,316
C2_01610C_A-T,17266,11967
C2_01620W_A-T,5320,4229
C2_01630W_A-T,51,53
C2_01640W_A-T,728,738
C2_01650W_A-T,2,1
C2_01660C_A-T,93,80
C2_01670C_A-T,927,887
C2_01680C_A-T,132,124
C2_01690W_A-T,1954,1829
C2_01700C_A-T,132,136
C2_01710W_A-T,52,41
C2_01720C_A-T,318,278
C2_01730W_A-T,90,90
C2_01740C_A-T,573,466
C2_01750C_A-T,162,145
C2_01760C_A-T,69,65
C2_01780W_A-T,683,684
C2_01820C_A-T,161,141
C2_01830W_A-T,120,112
C2_01840C_A-T,211,178
C2_01850W_A-T,1893,1626
C2_01860C_A-T,219,184
C2_01870C_A-T,15,14
C2_01880C_A-T,50,30
C2_01890W_A-T,188,155
C2_01900C_A-T,83,65
C2_01910W_A-T,52,47
C2_01920C_A-T,159,164
C2_01930C_A-T,113,82
C2_01950C_A-T,141,117
C2_01960C_A-T,10,13
C2_01970C_A-T,239,216
C2_01980C_A-T,114,138
C2_01990C_A-T,140,109
C2_02000W_A-T,596,500
C2_02010C_A-T,21,24
C2_02020W_A-T,497,450
C2_02030W_A-T,3359,2885
C2_02040W_A-T,93,104
C2_02050C_A-T,369,274
C2_02060C_A-T,43,2
C2_02070W_A-T,1,0
C2_02090W_A-T,270,229
C2_02100W_A-T,537,529
C2_02110C_A-T,32,22
C2_02120W_A-T,561,515
C2_02150C_A-T,371,299
C2_02160W_A-T,102,85
C2_02170W_A-T,825,680
C2_02180W_A-T,54,66
C2_02190C_A-T,169,193
C2_02200W_A-T,378,383
C2_02210C_A-T,109,91
C2_02220C_A-T,1,2
C2_02230C_A-T,2,1
C2_02240C_A-T,183,157
C2_02250C_A-T,94,105
C2_02260W_A-T,298,207
C2_02270C_A-T,562,514
C2_02280W_A-T,314,261
C2_02290C_A-T,34,23
C2_02300W_A-T,38,39
C2_02310W_A-T,1835,1381
C2_02320C_A-T,1678,1620
C2_02340C_A-T,1177,968
C2_02350C_A-T,182,205
C2_02360C_A-T,2,2
C2_02370C_A-T,2071,1899
C2_02380W_A-T,951,740
C2_02390W_A-T,50,55
C2_02400W_A-T,83,79
C2_02410W_A-T,578,604
C2_02420C_A-T,89,85
C2_02430W_A-T,1116,884
C2_02440W_A-T,82,57
C2_02450C_A-T,1164,974
C2_02460W_A-T,262,203
C2_02490C_A-T,229,190
C2_02500W_A-T,133,106
C2_02510W_A-T,728,606
C2_02520W_A-T,90,91
C2_02530W_A-T,0,1
C2_02540W_A-T,3712,2799
C2_02550C_A-T,2,1
C2_02570W_A-T,1,0
C2_02580W_A-T,112,92
C2_02590W_A-T,276,278
C2_02600C_A-T,0,1
C2_02610C_A-T,19,8
C2_02620W_A-T,325,262
C2_02630W_A-T,60,40
C2_02660W_A-T,91,71
C2_02670C_A-T,97,82
C2_02680W_A-T,403,352
C2_02690W_A-T,515,398
C2_02700C_A-T,77,51
C2_02710C_A-T,458,464
C2_02720W_A-T,954,887
C2_02730W_A-T,383,318
C2_02740C_A-T,2509,1939
C2_02750C_A-T,3,1
C2_02760W_A-T,732,626
C2_02770W_A-T,730,611
C2_02780C_A-T,73,56
C2_02800W_A-T,208,162
C2_02810C_A-T,225,218
C2_02820C_A-T,111,105
C2_02830C_A-T,2145,1614
C2_02840C_A-T,44,40
C2_02860W_A-T,233,277
C2_02870W_A-T,171,162
C2_02880C_A-T,133,88
C2_02890W_A-T,83,105
C2_02900W_A-T,36,29
C2_02910W_A-T,1,1
C2_02920W_A-T,165,132
C2_02930C_A-T,644,521
C2_02940W_A-T,83,76
C2_02950W_A-T,7,4
C2_02960C_A-T,90,82
C2_02970C_A-T,4323,3919
C2_02980C_A-T,249,177
C2_02990C_A-T,340,305
C2_03000C_A-T,241,215
C2_03010C_A-T,5992,4935
C2_03020C_A-T,262,244
C2_03030W_A-T,42,26
C2_03040W_A-T,99,75
C2_03050W_A-T,81,74
C2_03060W_A-T,1129,926
C2_03070C_A-T,103,111
C2_03080W_A-T,7131,5750
C2_03090C_A-T,504,470
C2_03100W_A-T,55339,43948
C2_03110W_A-T,11,7
C2_03120W_A-T,11,13
C2_03130W_A-T,469,435
C2_03140C_A-T,128,121
C2_03150C_A-T,74,40
C2_03160C_A-T,2319,2128
C2_03170W_A-T,28,28
C2_03180C_A-T,1606,1360
C2_03200W_A-T,106,73
C2_03210W_A-T,505,364
C2_03220C_A-T,136,148
C2_03230C_A-T,1078,965
C2_03240C_A-T,370,403
C2_03250W_A-T,155,149
C2_03260W_A-T,90,77
C2_03270W_A-T,8844,8179
C2_03280W_A-T,1233,1086
C2_03290W_A-T,16,11
C2_03300W_A-T,671,555
C2_03310C_A-T,81,62
C2_03320W_A-T,15,4
C2_03330C_A-T,515,488
C2_03340W_A-T,57,62
C2_03350W_A-T,5,0
C2_03360W_A-T,663,582
C2_03370W_A-T,22,16
C2_03380W_A-T,1111,1018
C2_03390C_A-T,551,506
C2_03400C_A-T,47,42
C2_03410W_A-T,409,376
C2_03420C_A-T,95,84
C2_03430W_A-T,105,106
C2_03440W_A-T,173,168
C2_03450W_A-T,253,205
C2_03460C_A-T,125,117
C2_03470C_A-T,4892,3766
C2_03490C_A-T,70,46
C2_03500W_A-T,30,32
C2_03520C_A-T,397,334
C2_03530W_A-T,92,80
C2_03540W_A-T,8,4
C2_03550C_A-T,228,210
C2_03560C_A-T,1193,973
C2_03570C_A-T,46,36
C2_03590C_A-T,84,78
C2_03600W_A-T,2,6
C2_03610W_A-T,1,0
C2_03620W_A-T,7,4
C2_03640W_A-T,51,44
C2_03670W_A-T,1,1
C2_03690C_A-T,28,17
C2_03700W_A-T,97,88
C2_03710W_A-T,0,1
C2_03750W_A-T,422,359
C2_03760C_A-T,118,130
C2_03770C_A-T,103,95
C2_03780C_A-T,183,141
C2_03790C_A-T,116,85
C2_03800C_A-T,207,216
C2_03810C_A-T,21544,16890
C2_03820C_A-T,22417,16603
C2_03830W_A-T,148,140
C2_03840C_A-T,72,47
C2_03870W_A-T,287,218
C2_03880C_A-T,217,156
C2_03890W_A-T,60,60
C2_03900C_A-T,295,268
C2_03910C_A-T,110,119
C2_03920C_A-T,262,325
C2_03930C_A-T,194,161
C2_03940C_A-T,766,654
C2_03950W_A-T,917,829
C2_03960W_A-T,14206,10941
C2_03970W_A-T,55,46
C2_03980C_A-T,180,147
C2_03990W_A-T,469,416
C2_04010C_A-T,4,1
C2_04020C_A-T,283,213
C2_04030C_A-T,3138,2324
C2_04040C_A-T,5,9
C2_04050C_A-T,466,362
C2_04060C_A-T,27,23
C2_04080W_A-T,1507,1150
C2_04090W_A-T,1,0
C2_04100W_A-T,62,51
C2_04110W_A-T,2,0
C2_04120C_A-T,880,692
C2_04130W_A-T,283,203
C2_04140W_A-T,550,480
C2_04150C_A-T,459,340
C2_04160W_A-T,241,230
C2_04170C_A-T,3284,2404
C2_04180C_A-T,66,54
C2_04190C_A-T,218,142
C2_04200W_A-T,272,204
C2_04210W_A-T,0,1
C2_04220C_A-T,965,827
C2_04230W_A-T,885,763
C2_04240C_A-T,132,114
C2_04250W_A-T,66,43
C2_04260W_A-T,69,76
C2_04270W_A-T,221,174
C2_04280W_A-T,6,6
C2_04290W_A-T,15,17
C2_04300C_A-T,101,117
C2_04310W_A-T,3838,3212
C2_04320W_A-T,52,43
C2_04330C_A-T,169,119
C2_04340C_A-T,102,75
C2_04350C_A-T,199,192
C2_04360W_A-T,112,91
C2_04370W_A-T,2176,1667
C2_04380C_A-T,276,238
C2_04400W_A-T,213,190
C2_04410W_A-T,5,13
C2_04420W_A-T,19,12
C2_04430W_A-T,1,0
C2_04440W_A-T,4,0
C2_04450W_A-T,2,0
C2_04460W_A-T,1844,1430
C2_04470W_A-T,1,1
C2_04480W_A-T,21,21
C2_04490W_A-T,624,498
C2_04500W_A-T,541,497
C2_04510W_A-T,311,279
C2_04520C_A-T,47,26
C2_04530W_A-T,80,51
C2_04540C_A-T,325,307
C2_04550C_A-T,3387,3033
C2_04560W_A-T,73,74
C2_04570W_A-T,1392,1036
C2_04580W_A-T,1924,1576
C2_04590C_A-T,2769,2632
C2_04600C_A-T,23907,20825
C2_04620W_A-T,552,437
C2_04640C_A-T,265,199
C2_04650C_A-T,368,308
C2_04660C_A-T,124,104
C2_04680W_A-T,854,746
C2_04690C_A-T,112,127
C2_04700C_A-T,204,168
C2_04710C_A-T,423,375
C2_04720C_A-T,64,68
C2_04730W_A-T,227,163
C2_04740C_A-T,30,27
C2_04750W_A-T,34,21
C2_04760W_A-T,160,156
C2_04770W_A-T,78,61
C2_04780W_A-T,73,43
C2_04790C_A-T,1030,911
C2_04800C_A-T,74,62
C2_04810W_A-T,331,201
C2_04820W_A-T,408,351
C2_04830W_A-T,35,41
C2_04850C_A-T,355,345
C2_04860W_A-T,172,162
C2_04870C_A-T,408,400
C2_04880C_A-T,151,106
C2_04930C_A-T,114,98
C2_04940C_A-T,136,129
C2_04950C_A-T,4877,4429
C2_04960C_A-T,237,259
C2_04970W_A-T,10,10
C2_04980C_A-T,378,346
C2_04990W_A-T,43,36
C2_05000C_A-T,987,763
C2_05020W_A-T,275,197
C2_05030C_A-T,377,343
C2_05040C_A-T,466,399
C2_05050C_A-T,124,142
C2_05060C_A-T,11,6
C2_05070W_A-T,3,10
C2_05080C_A-T,124,96
C2_05090W_A-T,687,527
C2_05100C_A-T,2304,1835
C2_05110W_A-T,326,283
C2_05130W_A-T,4,1
C2_05140W_A-T,46,36
C2_05150W_A-T,79,65
C2_05160C_A-T,1618,1169
C2_05170W_A-T,228,197
C2_05180W_A-T,180,99
C2_05190W_A-T,273,252
C2_05200C_A-T,76,63
C2_05210W_A-T,64,56
C2_05220C_A-T,550,440
C2_05230C_A-T,1238,956
C2_05250C_A-T,2638,2029
C2_05260W_A-T,207,146
C2_05270W_A-T,842,816
C2_05280C_A-T,30,35
C2_05290C_A-T,702,628
C2_05300C_A-T,919,922
C2_05320W_A-T,149,154
C2_05330C_A-T,42,27
C2_05340C_A-T,1152,998
C2_05350C_A-T,41,42
C2_05360C_A-T,7,3
C2_05370C_A-T,225,248
C2_05380W_A-T,145,117
C2_05390C_A-T,43,44
C2_05400W_A-T,70,68
C2_05410W_A-T,18850,16785
C2_05440W_A-T,153,100
C2_05450C_A-T,40,43
C2_05460W_A-T,13509,11696
C2_05470W_A-T,1036,779
C2_05480C_A-T,126,100
C2_05490W_A-T,81,56
C2_05500W_A-T,5137,4192
C2_05510C_A-T,92,82
C2_05520W_A-T,241,220
C2_05530C_A-T,348,289
C2_05540C_A-T,156,127
C2_05550W_A-T,415,286
C2_05560W_A-T,101,102
C2_05570C_A-T,82,98
C2_05580W_A-T,320,322
C2_05590C_A-T,190,157
C2_05610C_A-T,27783,22253
C2_05620W_A-T,128,113
C2_05640W_A-T,599,567
C2_05650W_A-T,189,195
C2_05660W_A-T,250,228
C2_05670C_A-T,134,126
C2_05680W_A-T,142,138
C2_05690C_A-T,276,236
C2_05700W_A-T,158,122
C2_05710C_A-T,16594,12338
C2_05720C_A-T,927,813
C2_05730C_A-T,170,169
C2_05740W_A-T,169,121
C2_05750W_A-T,788,585
C2_05760C_A-T,1544,1071
C2_05770W_A-T,16,20
C2_05780C_A-T,145,149
C2_05790C_A-T,717,553
C2_05800C_A-T,185,170
C2_05810W_A-T,9,13
C2_05820W_A-T,8,13
C2_05830C_A-T,181,174
C2_05840W_A-T,274,234
C2_05850C_A-T,175,110
C2_05860C_A-T,11,10
C2_05870W_A-T,79,65
C2_05890C_A-T,1291,1143
C2_05910W_A-T,174,150
C2_05920C_A-T,4044,3142
C2_05930W_A-T,3036,2316
C2_05940C_A-T,89,63
C2_05950C_A-T,18,12
C2_05960C_A-T,74,99
C2_05970C_A-T,67,48
C2_05980C_A-T,129,114
