Gene,CanAlb_plus_plus_1,CanAlb_plus_plus_2
C1_00790W_A-T,40,39
C1_00800C_A-T,1021,955
C1_00810W_A-T,81,69
C1_00820W_A-T,52,49
C1_00830W_A-T,78,53
C1_00840C_A-T,326,322
C1_00850W_A-T,39,35
C1_00860W_A-T,67,46
C1_00870W_A-T,206,219
C1_00880W_A-T,12,11
C1_00890W_A-T,126,99
C1_00900W_A-T,820,714
C1_00910W_A-T,97,89
C1_00920W_A-T,118,97
C1_00930C_A-T,1016,858
C1_00940W_A-T,392,356
C1_00950C_A-T,821,659
C1_00960C_A-T,154,147
C1_00970W_A-T,43,37
C1_00980W_A-T,359,395
C1_00990C_A-T,764,565
C1_01000C_A-T,63,70
C1_01010W_A-T,1211,1151
C1_01030W_A-T,1581,1376
C1_01040W_A-T,167,128
C1_01050C_A-T,1050,873
C1_01060W_A-T,3378,2705
C1_01070C_A-T,55,53
C1_01080W_A-T,33,20
C1_01090C_A-T,514,403
C1_01100W_A-T,137,137
C1_01110C_A-T,1805,1437
C1_01130W_A-T,124,135
C1_01140C_A-T,113,117
C1_01150C_A-T,211,239
C1_01160C_A-T,332,270
C1_01170C_A-T,157,140
C1_01190C_A-T,96,91
C1_01200W_A-T,98,61
C1_01210W_A-T,225,198
C1_01240W_A-T,75,51
C1_01250W_A-T,1000,791
C1_01260C_A-T,76,57
C1_01270W_A-T,89,56
C1_01280C_A-T,55,51
C1_01290C_A-T,11,21
C1_01300W_A-T,725,613
C1_01310W_A-T,2,1
C1_01320W_A-T,675,625
C1_01330C_A-T,707,609
C1_01340C_A-T,16,12
C1_01350C_A-T,14581,11296
C1_01360C_A-T,251,217
C1_01370C_A-T,16584,11690
C1_01380C_A-T,397,313
C1_01390C_A-T,149,138
C1_01400C_A-T,127,109
C1_01420C_A-T,164,145
C1_01440C_A-T,1,0
C1_01450W_A-T,506,394
C1_01460W_A-T,71,71
C1_01470W_A-T,986,902
C1_01480C_A-T,27573,22580
C1_01490W_A-T,1744,1306
C1_01510W_A-T,0,2
C1_01520C_A-T,1475,1270
C1_01530C_A-T,2849,2411
C1_01540W_A-T,100,132
C1_01550W_A-T,158,148
C1_01560W_A-T,182,174
C1_01570C_A-T,282,217
C1_01580W_A-T,592,549
C1_01590C_A-T,1326,1109
C1_01600W_A-T,884,777
C1_01610C_A-T,2,7
C1_01620C_A-T,130,84
C1_01630W_A-T,306,220
C1_01640W_A-T,379,256
C1_01650W_A-T,135,142
C1_01670C_A-T,92,103
C1_01680C_A-T,496,427
C1_01690C_A-T,5801,4835
C1_01700W_A-T,322,314
C1_01710W_A-T,88,75
C1_01740W_A-T,15,6
C1_01750W_A-T,81,84
C1_01760W_A-T,64,44
C1_01770W_A-T,53,41
C1_01780C_A-T,86,77
C1_01790W_A-T,416,381
C1_01800W_A-T,214,216
C1_01810C_A-T,97,90
C1_01820C_A-T,110,91
C1_01830C_A-T,220,201
C1_01840C_A-T,19,16
C1_01850C_A-T,138,143
C1_01860W_A-T,812,600
C1_01870C_A-T,2852,2304
C1_01880C_A-T,42,46
C1_01890C_A-T,133,145
C1_01900C_A-T,218,176
C1_01910W_A-T,1153,862
C1_01920W_A-T,210,168
C1_01930W_A-T,17,15
C1_01940C_A-T,346,319
C1_01950C_A-T,174,191
C1_01980W_A-T,31,31
C1_01990W_A-T,1,1
C1_02000W_A-T,242,245
C1_02010C_A-T,27,23
C1_02020W_A-T,57,50
C1_02030C_A-T,52,52
C1_02040C_A-T,164,134
C1_02050C_A-T,294,247
C1_02060W_A-T,159,151
C1_02080W_A-T,156,129
C1_02090C_A-T,132,121
C1_02100W_A-T,39,40
C1_02110C_A-T,20,2
C1_02120C_A-T,114,108
C1_02130C_A-T,118,107
C1_02150W_A-T,46,39
C1_02160W_A-T,77,54
C1_02170C_A-T,1,1
C1_02180W_A-T,134,127
C1_02190W_A-T,261,238
C1_02200C_A-T,22,21
C1_02210W_A-T,88,90
C1_02220C_A-T,124,110
C1_02230W_A-T,736,619
C1_02240W_A-T,1282,1109
C1_02250W_A-T,169,227
C1_02260C_A-T,765,723
C1_02270C_A-T,21,13
C1_02280C_A-T,64,71
C1_02290C_A-T,357,343
C1_02300W_A-T,267,193
C1_02310C_A-T,158,121
C1_02320C_A-T,434,330
