,Untreated_1,Untreated_2,Untreated_3,SH9051_3,SH9051_2,SH9051_1,SH1009_1,SH1009_2,SH1009_3
CAALFM_CR06170WA,1182.442865,1155.058613,1237.419442,690.8565236,715.0128005,703.9802827,1137.071575,789.3817681,1089.451883
ARC40,3450.601216,3553.253887,3467.678129,3596.172414,3484.124377,3606.123783,3449.408108,3128.611989,3174.1585
CAALFM_CR06190CA,74.02605583,84.2149758,61.42425028,69.47707249,76.16193582,67.96351433,42.55834109,94.45593807,73.26444979
CAALFM_CR06200CA,139.168985,162.249036,102.7460187,130.1471921,151.1871263,106.5099851,63.29189188,186.9842039,87.53674521
CAALFM_CR06210CA,138.1819709,162.249036,104.9796278,129.1686418,148.9136357,106.5099851,63.29189188,186.9842039,88.48823157
CAALFM_CR06220CA,20.72729563,31.67719273,26.80330921,21.52810697,25.00839684,20.28761622,20.73355079,26.98741088,9.514863609
CAALFM_CR06230WA,851.7931491,869.9638785,807.44969,716.2988319,849.1487471,702.9659019,806.4260017,855.8864592,901.0575838
ZCF19,60.20785874,74.94360232,51.37300933,66.54142154,96.62335141,73.03541838,69.83932897,49.15564124,48.52580441
CAALFM_CR06250WA,210.2339986,247.2366262,231.178542,151.6752991,160.2810888,153.1715024,101.4852749,121.4433489,128.4506587
CAALFM_CR06260WA,282.2860262,368.5370959,291.4859877,206.4741168,179.6057591,190.7035924,180.05452,176.3820068,142.7229541
CAALFM_CR06270WA,64.15591506,55.6282409,45.78898657,44.03476425,56.83726554,56.80532541,27.28098788,25.05973867,26.64161811
CAALFM_CR06290CA,612.9357423,752.526481,607.5416755,612.5724983,518.3558617,540.6649722,269.5361603,389.3897855,275.9310447
FGR50,750.1306991,739.3920353,728.156567,736.8483885,754.7988863,646.1605765,662.3823857,824.0798678,654.6226163
CAALFM_CR06310WA,10.85715486,13.90706022,3.350413652,8.806952851,19.32467028,11.15818892,24.00726933,15.42137764,13.32080905
CAALFM_CR06320CA,390.8575748,370.8549393,381.9471563,393.3772273,420.595765,401.6948011,545.6197576,495.4117568,536.6383076
CAALFM_CR06330CA,1013.663458,871.5091074,900.1444677,1498.160535,1547.110368,1319.709435,1298.575023,1737.796493,1304.487801
PGI1,65425.21516,63487.27515,66903.29341,55113.91094,54692.22714,58632.22525,65908.68424,51420.65608,58152.94341
CAALFM_CR06380CA,347.4289554,440.3902404,387.531179,255.4016327,286.4598183,244.4657754,277.1748369,312.2828973,328.2627945
PPZ1,1100.520697,1196.779794,1119.03816,1095.976355,1102.642951,1213.19945,1352.045759,1201.90362,1342.547255
CAALFM_CR06430WA,148.0521117,153.7502769,125.0821097,143.8468966,127.3154748,166.358453,139.6786579,143.6115793,149.3833587
BCR1,729.4034035,785.7489027,762.777508,680.0924702,674.0899693,681.6639049,793.3311276,770.1050461,767.8494933
CAALFM_CR06450WA,422.4420253,342.2682044,402.0496382,603.7655455,740.0211973,668.4769544,955.9258153,886.7292145,957.1952791
GST3,22.70132379,13.13444577,22.33609101,30.33505982,20.46141559,12.17256973,8.729916122,19.27672205,13.32080905
CAALFM_CR06470WA,1316.67678,1385.297721,1363.618356,882.6523857,833.2343128,998.1507179,880.6302888,746.0091435,830.6475931
RRN11,410.5978564,285.8673491,395.3488109,726.084335,915.0799752,832.8066457,1326.947251,1193.229095,1429.132514
HSP60,8710.399236,8512.666086,9051.700882,7226.594089,7253.571828,7550.036375,9180.598042,8397.903963,8830.744916
CAALFM_CR06500CA,350.3899976,282.0042768,346.2094107,334.6642083,311.4682151,380.3928041,216.065424,213.0077787,192.2002449
CAALFM_CR06510WA,104.6234922,90.39589146,80.40992764,124.2758902,113.6745311,122.7400781,108.032712,127.2263656,117.0328224
CAALFM_CR06520CA,519.1694049,451.2068428,585.2055845,643.8861084,588.834071,601.5278208,662.3823857,586.0123505,640.3503209
CAALFM_CR06530WA,1001.819289,1028.349842,999.5400727,1109.676059,1029.891252,1009.308907,1032.312581,1043.834499,996.2062199
KIP1,494.494053,508.3803126,550.5846434,374.7847713,464.9288321,455.4569841,539.0723205,557.0972674,571.8433029
CAALFM_CR06550CA,179.6365622,251.872313,182.0391417,897.3306405,790.037991,894.6838752,198.6055918,266.0187644,216.9388903
CAALFM_CR06560CA,991.9491482,1105.611288,1189.396846,1237.866151,1194.719322,1298.407438,828.2507921,749.8644879,887.7367748
