Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
orf19.4174,598,505,601,471,531,387
orf19.4176,274,237,280,32,40,242
orf19.4179,2,4,12,1,2,1
orf19.4182,445,460,546,342,378,402
orf19.4184,951,972,805,241,250,413
orf19.4185,147,101,171,76,73,110
orf19.4187,128,214,204,18,31,111
orf19.4189,0,2,0,1,1,0
orf19.419,170,99,248,74,89,73
orf19.4191.1,476,343,525,101,108,222
orf19.4192.1,200,171,139,62,47,158
orf19.4193,522,363,448,171,178,531
orf19.4194,364,351,367,136,126,350
orf19.4195,4,5,13,0,2,7
orf19.4196,2,0,2,0,0,0
orf19.420,0,0,0,0,0,0
orf19.4200,1,0,1,3,1,0
orf19.4203,327,344,412,139,138,322
orf19.4204,360,385,311,48,60,202
orf19.4205.1,117,87,114,47,36,96
orf19.4206,240,154,111,23,16,79
orf19.4207,40,48,93,42,49,41
orf19.4209,238,279,246,117,138,149
orf19.4210,179,109,114,39,34,81
orf19.4211,209,17,104,336,396,394
orf19.4213,369,402,469,399,479,562
orf19.4214,0,0,0,0,0,0
orf19.4216,116,207,104,37,26,160
orf19.4217,0,0,0,0,0,0
orf19.4220,1107,997,1463,598,629,970
orf19.4225.1,372,253,235,134,105,170
orf19.4227,47,58,109,35,43,69
orf19.4228,1125,792,971,354,355,546
orf19.4229,30,91,82,30,24,39
orf19.423,242,163,295,67,72,147
orf19.4230,3973,2765,3432,1836,2015,2251
orf19.4234,237,353,420,71,99,302
orf19.4239,480,400,792,242,258,280
orf19.4240,516,632,736,603,697,710
orf19.4241,192,148,182,123,83,158
orf19.4243,25,16,10,1,4,11
orf19.4244,5,1,6,0,0,3
orf19.4245,777,364,366,88,122,285
orf19.4246,6404,5977,6537,1433,1666,2604
orf19.4247,1179,975,1350,541,552,445
orf19.4248,3080,3286,4136,1587,1859,2860
orf19.425,122,100,125,25,37,61
orf19.4250,98,77,156,27,27,122
orf19.4252,154,234,173,52,47,130
orf19.4253,270,239,248,40,51,69
orf19.4258,500,575,353,106,128,237
orf19.426,903,476,703,68,79,322
orf19.4262,1014,840,954,411,451,623
orf19.4263,890,798,903,292,342,681
orf19.4264,272,176,456,29,22,65
orf19.4269,173,247,218,52,51,94
orf19.427,269,399,350,219,219,395
orf19.4271,61,31,51,5,3,29
orf19.4273,17,114,80,23,22,54
orf19.4278,356,379,365,106,135,235
orf19.428,293,249,154,72,97,119
orf19.4280,161,94,91,24,37,59
orf19.4283,490,495,540,151,134,459
orf19.4286,83,116,90,75,99,64
orf19.4287,199,407,507,283,314,454
orf19.429,460,530,500,169,161,524
orf19.4292,389,278,329,66,55,132
orf19.4293,695,626,627,288,325,444
orf19.4294,91,142,114,22,23,99
orf19.4295,615,468,508,92,106,252
orf19.4301,366,337,193,76,77,185
orf19.4305,15,6,10,9,5,6
orf19.4305.1,142,74,87,60,53,95
orf19.4306,184,189,291,107,124,205
orf19.4307,325,201,321,35,43,193
orf19.4310,0,1,2,1,0,1
orf19.4312,385,312,276,31,33,125
orf19.4315,44,68,69,11,5,40
orf19.4316,111,113,264,46,43,216
orf19.432,430,349,858,249,261,264
orf19.4320,0,0,0,0,0,0
orf19.4321,6,3,1,0,1,0
orf19.4323,10,5,5,2,0,3
orf19.4324,10,8,14,0,1,9
orf19.4325,315,319,170,129,121,234
orf19.4326,52,81,64,7,10,40
orf19.433,1720,650,1413,274,307,465
orf19.4330,141,221,193,55,41,88
orf19.4332,203,259,239,61,72,127
orf19.4337,38,53,36,52,44,48
orf19.4340,294,198,154,20,23,78
orf19.4340.1,53,42,32,6,12,29
orf19.4341,252,360,205,233,228,122
orf19.4346,3081,4387,3070,824,885,1434
orf19.4347,1768,1160,1214,473,596,1209
orf19.4349,683,433,384,146,147,307
orf19.4355,29,76,36,38,24,64
orf19.4357,518,371,606,80,78,313
orf19.4358,155,112,75,160,125,124
orf19.4362,448,310,402,66,80,236
orf19.4365,65,207,125,37,45,166
orf19.4366,1,2,4,3,2,2
orf19.4368,309,313,503,141,136,215
orf19.4369,348,327,265,75,71,209
orf19.4370,186,152,232,75,64,95
orf19.4372,202,286,246,171,204,177
orf19.4373,221,227,259,28,36,88
orf19.4375,486,559,567,137,176,502
orf19.4376,190,172,204,221,200,266
orf19.438,349,400,428,332,331,340
orf19.4380.1,707,989,770,232,261,335
orf19.4382,1106,690,1064,125,148,254
orf19.4383,14,21,11,17,24,9
orf19.4384.1,0,3,4,3,3,2
orf19.4388,485,229,251,38,35,105
orf19.439,460,506,464,133,128,308
orf19.4390,466,483,355,344,378,515
orf19.4391,32,33,40,13,11,17
orf19.4394,2,3,4,1,3,3
orf19.4395,4197,4064,3941,1900,2221,2174
orf19.4396,1765,1929,1262,381,391,815
orf19.4398,165,244,312,101,91,235
orf19.4400,159,127,105,41,57,83
orf19.4407,342,416,326,145,151,301
orf19.4409,220,417,398,228,241,229
orf19.4412,621,530,601,152,158,274
orf19.4414,119,94,159,23,20,56
orf19.4418.1,8,9,10,4,1,4
orf19.442,0,0,0,0,0,0
orf19.4420,414,545,488,430,418,488
orf19.4423,872,709,559,182,176,474
orf19.4428,206,147,140,26,27,56
orf19.443,123,132,175,88,84,158
orf19.4430,1816,1023,1330,333,347,542
orf19.4435,804,832,530,340,404,549
orf19.4437,2118,1553,1303,277,320,837
orf19.4439,7,2,0,0,0,5
orf19.4439.1,11,6,7,2,0,5
orf19.444,42,51,27,11,12,22
orf19.4441,533,404,443,68,79,126
orf19.4445,292,552,562,285,329,289
orf19.4446,1094,1095,877,1227,1336,987
orf19.445,615,813,605,230,223,494
orf19.4450.1,57,28,18,22,6,14
orf19.4450.2,6,4,6,1,0,9
orf19.4455,216,349,214,78,63,150
orf19.4459,422,572,445,667,626,832
orf19.446,373,272,249,101,121,196
orf19.446.1,101,83,110,18,13,81
orf19.446.2,25,9,28,2,3,31
orf19.4461,0,0,0,0,0,0
orf19.4463,1,0,1,1,0,0
orf19.4465,121,144,157,19,17,38
orf19.4466,44,52,41,22,13,45
orf19.4467,55,77,84,16,13,41
orf19.4468,571,739,857,474,471,757
orf19.4470,7,5,12,0,0,1
orf19.4471,239,122,149,19,34,65
orf19.4472,3,3,2,4,3,1
orf19.4474,202,145,232,40,22,79
orf19.4476,308,362,495,69,57,131
orf19.4478,381,476,466,100,131,244
orf19.4479,132,362,324,44,61,331
orf19.4488,1104,1197,1675,184,208,773
orf19.449,533,523,270,71,78,92
orf19.4492,220,415,290,48,72,231
orf19.4496,463,696,820,486,530,794
orf19.4498,10,14,18,2,1,4
orf19.450,0,1,0,0,0,0
orf19.4502,2044,1430,1352,369,411,1032
orf19.4503,865,626,551,157,145,424
orf19.4504,192,109,153,126,148,197
orf19.4507,99,107,183,109,116,134
orf19.4508,21,45,83,35,37,74
orf19.4509,3,2,18,1,0,2
orf19.4511,297,323,394,229,248,353
orf19.4513,934,960,1217,400,396,794
orf19.4515,35,26,54,28,43,22
orf19.4516,483,403,574,68,49,316
orf19.4517,151,209,198,81,61,93
orf19.4518,512,504,317,134,141,244
orf19.4520,48,50,31,10,10,23
orf19.4521,355,323,451,236,177,208
orf19.4522,66,61,63,31,30,37
orf19.4523,144,158,168,38,51,135
orf19.4525,904,1038,1230,774,713,1278
orf19.4528,121,150,141,74,66,107
orf19.4528.1,0,0,0,0,0,0
orf19.4529,62,41,80,6,2,94
orf19.4530.1,3209,1560,3657,1174,1207,3702
orf19.4531,1271,1309,3118,2730,3311,4772
orf19.4532,691,592,1232,366,454,1322
orf19.4533,528,460,430,104,133,280
orf19.4534,1597,972,1627,1060,1156,1983
orf19.4537,908,767,652,234,208,555
orf19.4538,466,289,460,92,74,179
orf19.4539,97,133,210,94,106,116
orf19.4542,183,109,155,17,23,72
orf19.4544,103,98,64,17,10,40
orf19.4550,291,252,223,84,106,217
orf19.4553,402,547,333,180,193,294
orf19.4557,220,153,151,16,21,46
orf19.4563,162,423,209,75,94,293
orf19.4566,0,0,0,0,0,0
orf19.4567,0,0,0,0,0,0
orf19.4569,2,2,3,3,3,3
orf19.457,1281,1164,991,336,368,669
orf19.4570,24,57,29,4,8,24
orf19.4571,0,8,3,1,2,5
orf19.4574,84,65,65,42,23,50
orf19.4575,234,276,292,34,64,146
orf19.4577,35,78,92,45,55,74
orf19.458,903,1101,996,488,556,838
orf19.458.1,16,4,16,3,1,3
orf19.4580,335,215,252,27,34,104
orf19.4581,129,137,150,93,90,86
orf19.4582,219,174,200,59,41,116
orf19.4583,61,133,68,52,81,42
orf19.4589,984,473,648,177,197,253
orf19.4593.1,9,11,14,1,2,5
orf19.4595,191,141,210,35,33,64
orf19.4596,720,442,519,74,58,142
orf19.4597,1227,896,1204,343,343,575
orf19.4600,157,150,175,56,77,68
orf19.4600.1,909,473,740,190,157,195
orf19.4601,212,156,117,17,15,59
orf19.4607,223,129,219,82,95,122
orf19.4609,3061,4552,4144,2960,3122,3560
orf19.4610,279,387,422,174,165,426
orf19.4611,1066,1144,1230,457,502,970
orf19.4612,359,384,253,402,369,305
orf19.4614,161,124,186,20,20,101
orf19.4615,119,99,134,15,7,38
orf19.4617,288,151,187,34,26,115
orf19.4621,357,428,452,152,163,309
orf19.4622,2102,2391,1703,380,372,910
orf19.4623,645,652,454,100,80,276
orf19.4626,88,116,95,15,18,47
orf19.4627,441,539,459,200,179,447
orf19.4628,252,284,174,49,54,144
orf19.4629,52,120,116,41,28,95
orf19.4633,1104,1303,1577,762,849,1106
orf19.4634,110,252,150,66,52,123
orf19.4636,0,0,0,0,0,0
orf19.4637,66,86,70,16,24,43
orf19.4639,160,241,217,211,210,198
orf19.4642,70,71,74,19,19,32
orf19.4643,216,187,129,51,51,79
orf19.4652,0,0,1,0,0,0
orf19.4653,36,1,1,7,6,0
orf19.4654,3,0,1,0,0,0
orf19.4656,21,24,9,0,3,6
orf19.4657,648,983,933,303,280,1114
orf19.4658,1988,1049,1620,196,248,609
orf19.4659,1340,785,1052,226,232,571
orf19.4665,755,304,499,47,47,149
orf19.4666,195,189,206,92,103,134
orf19.4668,96,91,91,47,54,59
orf19.4672,0,0,0,0,0,0
orf19.4676,7,8,11,0,1,13
orf19.4677,118,77,89,43,43,62
orf19.4678,168,169,185,74,73,130
orf19.4680,35,52,89,23,21,72
orf19.4685,0,0,0,0,0,0
orf19.4686,1600,1243,1410,294,302,703
orf19.4690,48,44,254,79,72,657
orf19.4699,119,142,159,22,24,40
orf19.470,408,498,289,70,90,174
orf19.4701,28,26,16,4,5,9
orf19.4702,84,59,45,18,14,38
orf19.4703,262,197,133,39,56,117
orf19.4705,381,481,550,192,219,493
orf19.4706,1153,1760,1347,624,650,325
orf19.4707,29,52,40,17,28,24
orf19.4711,1257,886,913,128,130,318
orf19.4713,680,448,549,63,64,166
orf19.4715,1579,1593,1096,476,487,622
orf19.4721,164,357,273,69,71,227
orf19.4724,257,157,204,52,54,118
orf19.4726,852,365,632,156,144,316
orf19.4727,392,251,364,73,77,164
orf19.4728,931,749,765,151,175,436
orf19.4730,121,132,147,23,36,74
orf19.4731,401,180,275,38,62,147
orf19.4734,263,177,158,23,34,146
orf19.4735,1635,359,284,478,425,343
orf19.4736,606,794,667,319,349,412
orf19.4738,654,444,431,82,89,245
orf19.474,362,408,439,157,208,325
orf19.4740,77,80,91,30,38,77
orf19.4741,0,0,0,0,0,0
orf19.4742,52,60,32,17,28,46
orf19.4744,407,508,485,211,205,271
orf19.4748,6,3,2,7,3,1
orf19.4749,602,508,765,1755,2030,2241
orf19.475,113,243,186,60,55,252
orf19.4750,79,119,55,22,15,45
orf19.4751,78,88,101,17,8,40
orf19.4751.1,83,26,44,16,17,31
orf19.4756,136,128,180,110,114,148
orf19.4758,432,494,364,218,207,485
orf19.4760,67,207,167,55,46,160
orf19.4763,133,183,234,95,85,89
orf19.4764,298,228,347,41,37,100
orf19.4768,10,15,17,2,3,2
orf19.477,312,314,318,60,42,277
orf19.4771,473,950,519,87,88,175
orf19.4779,1127,864,1261,577,715,991
orf19.478,207,173,282,65,59,90
orf19.4780,1520,1469,1599,1037,1230,1292
orf19.4783,28,39,24,18,23,28
orf19.4787,250,261,168,22,28,97
orf19.4789,1,2,2,1,5,2
orf19.4791,76,123,179,14,35,39
orf19.4792,1131,2496,1494,901,1070,1096
orf19.4793,28,86,57,17,17,60
orf19.4795,155,96,242,42,37,99
orf19.4796,1202,1092,1084,203,222,572
orf19.4798,1733,1826,1903,1438,1571,2071
orf19.480,499,933,551,1237,1397,758
orf19.4801,91,108,115,10,21,86
orf19.4803,0,0,0,0,1,0
orf19.4805,859,978,1706,1423,1593,1214
orf19.4807,134,122,183,26,37,99
orf19.4811,790,1015,1016,372,418,619
orf19.4812,223,361,342,252,262,301
orf19.4814,0,1,1,0,4,3
orf19.4816,336,501,352,328,307,558
orf19.4818,675,845,741,631,660,656
orf19.4819,10,4,6,2,1,6
orf19.4820,431,597,571,251,285,495
orf19.4824,571,558,364,209,207,444
orf19.4825,81,96,73,17,5,49
orf19.4828,1349,1090,1539,182,205,409
orf19.4830,273,129,192,44,42,85
orf19.4834,0,0,0,0,0,0
orf19.4835,241,709,427,112,139,339
orf19.4837.1,26,23,62,10,9,36
orf19.4839,1082,1221,1244,1504,1514,1320
orf19.4842,88,85,105,7,11,22
orf19.4843,490,365,412,296,310,336
orf19.4844,346,459,242,114,101,194
orf19.4846,657,751,681,282,278,515
orf19.4847,0,0,0,0,0,0
orf19.4849,723,824,887,437,473,654
orf19.485,339,193,179,63,62,161
orf19.4850,1341,854,1038,174,203,512
orf19.4857,192,322,188,160,187,213
orf19.4861,16,26,32,21,14,34
orf19.4861.1,35,27,35,15,16,25
orf19.4862,506,519,573,429,413,329
orf19.4864,298,468,671,121,127,258
orf19.4865,797,1071,1568,578,512,561
orf19.4872,4,4,5,2,4,0
orf19.4873,8,2,11,1,1,1
orf19.4875,71,41,26,1,3,15
orf19.4878,1480,1353,820,203,222,386
orf19.4880,188,141,214,164,172,200
orf19.4882,983,886,833,294,261,520
orf19.4883,482,570,418,98,145,182
orf19.4886,0,1,4,0,1,5
orf19.4888,293,292,223,49,47,141
orf19.4889,401,998,505,770,728,1074
orf19.4893,576,553,626,146,211,338
orf19.4894,22,116,133,28,30,38
orf19.4895,13,122,43,24,21,42
orf19.4898,1309,991,797,394,429,463
orf19.4901,96,110,127,59,77,88
orf19.4903,298,286,491,119,94,199
orf19.4904,200,143,184,43,29,117
orf19.4905,249,271,292,182,199,237
orf19.4906,1174,1655,886,1048,1041,921
orf19.4907,965,346,266,420,419,744
orf19.4908,0,0,0,0,1,2
orf19.491,7469,5611,10427,1448,1684,2561
orf19.4911,130,97,52,8,29,69
orf19.4912,842,625,482,187,200,302
orf19.4913,336,282,405,57,60,177
orf19.4914,7,2,7,0,0,1
orf19.4916,93,117,109,85,68,101
orf19.4917,27,32,27,17,21,17
orf19.4918,104,60,54,11,6,45
orf19.4919,39,58,75,3,5,30
orf19.4921,259,279,235,172,176,206
orf19.4921.1,0,0,0,1,0,1
orf19.4922,905,739,1164,594,643,535
orf19.4923,59,41,93,36,32,48
orf19.4923.1,0,2,1,3,1,1
orf19.4924,211,225,287,47,45,207
orf19.4929,216,406,243,64,83,242
orf19.4931,2519,2242,2974,255,261,1001
orf19.4932,1893,3032,2727,1536,1649,2992
orf19.4936,0,0,0,0,0,0
orf19.4936.1,43,41,170,42,13,119
orf19.494,144,596,212,111,120,343
orf19.4940,370,1477,731,1230,1232,1526
orf19.4942,3,3,3,1,0,4
orf19.4946,3,4,6,3,1,3
orf19.4947,1469,1473,2588,1306,1256,2477
orf19.4949,2,1,1,3,2,0
orf19.4951,338,539,325,90,93,117
orf19.4952,358,362,466,151,148,208
orf19.4952.1,812,739,989,329,319,543
orf19.4953,226,327,359,87,97,119
orf19.4954,956,952,1095,688,687,770
orf19.4955,5,2,2,0,2,1
orf19.4959,1260,774,544,349,324,468
orf19.496,978,972,1053,593,607,1165
orf19.4960,314,412,412,129,121,368
orf19.4963,52,71,67,12,16,58
orf19.4964,18,24,15,8,4,10
orf19.4965,24,68,35,9,5,9
orf19.4970,62,25,134,69,45,48
orf19.4972,18,2,20,41,57,55
orf19.4976,2,0,2,0,1,0
orf19.498,1290,1401,1404,288,294,1186
orf19.4981,255,223,348,109,111,188
orf19.4982,223,220,233,35,39,80
orf19.4983,51,107,42,11,16,32
orf19.4984,363,284,356,208,256,310
orf19.4988,76,85,53,4,10,40
orf19.499,31,149,55,157,153,85
orf19.4995,7,22,10,3,3,6
orf19.4996,3,9,4,2,1,1
orf19.50,201,126,198,16,23,59
orf19.500,207,355,404,112,125,410
orf19.5003,174,119,164,20,32,68
orf19.5006.1,1214,707,1144,671,700,502
orf19.5009,391,397,349,62,51,177
orf19.501,802,1120,1213,386,382,1113
orf19.5012,28,20,14,2,4,25
orf19.5014,109,58,37,14,4,16
orf19.5016,94,69,76,17,13,41
orf19.5019,583,580,758,305,304,424
orf19.5020,150,501,226,292,256,466
orf19.5022,1519,1382,2053,747,767,1126
orf19.5026,478,626,1233,428,495,877
orf19.5033,26,17,18,4,5,14
orf19.5038,94,214,240,75,77,252
orf19.504,1536,1352,1282,248,217,495
orf19.5040,309,305,212,51,45,156
orf19.5041,158,95,152,31,26,82
orf19.5042,10,9,14,2,4,0
orf19.5043,57,42,38,6,6,14
orf19.5049,34,159,61,33,25,52
orf19.5051,99,93,40,18,22,50
orf19.5052,122,174,186,91,101,183
orf19.5053,44,30,45,9,12,18
orf19.5054,875,913,1056,327,355,661
orf19.5056,72,45,44,12,6,26
orf19.5057,19,18,13,7,6,17
orf19.5064.1,35,16,39,8,2,91
orf19.5066,51,77,49,14,8,37
orf19.5067,12,41,33,2,5,22
orf19.5069,52,39,33,16,18,14
orf19.5070,326,237,174,141,167,116
orf19.5076.1,23,18,11,5,13,19
orf19.5077,762,708,560,184,158,459
orf19.5079.1,702,723,583,388,374,524
orf19.5085,4193,5038,4978,4144,4597,5784
orf19.5090,648,401,371,263,275,295
orf19.5092,63,37,26,20,13,23
orf19.5093,603,347,401,62,65,254
orf19.5095,2968,4853,5805,2494,2878,3399
orf19.51,354,534,471,97,85,322
orf19.510,571,446,1217,701,788,756
orf19.5103,316,224,158,74,96,127
orf19.511,749,603,649,685,728,492
orf19.5114,224,211,210,158,137,123
orf19.5114.1,1006,701,435,734,508,442
orf19.512,925,1489,1532,793,852,2210
orf19.5125,30,69,89,13,10,14
orf19.5126,1402,1607,1246,253,280,876
orf19.5129,244,145,291,119,106,128
orf19.513,7,14,11,10,10,12
orf19.5131,844,663,863,234,258,459
orf19.5132,6,2,1,2,4,3
orf19.5134,65,117,59,17,17,51
orf19.5136,794,297,425,169,172,419
orf19.5137,3,0,0,1,1,1
orf19.5139,1508,1032,1295,1005,1066,1094
orf19.5140,49,18,60,28,29,35
orf19.5141,106,22,56,26,34,19
orf19.515,33,29,23,4,2,23
orf19.5156,682,809,1248,467,536,1080
orf19.5157,31,51,88,32,47,100
orf19.5158,178,204,298,157,178,305
orf19.516,323,449,452,405,376,319
orf19.5160,1067,1071,1039,259,279,525
orf19.5161,431,407,665,115,127,684
orf19.5165,324,249,240,154,147,165
orf19.5168,428,485,406,126,124,388
orf19.5169,240,92,186,171,183,162
orf19.5175,2332,2702,3507,2369,2660,3149
orf19.5177,823,563,648,277,303,472
orf19.518,2270,2332,2763,747,842,2423
orf19.5184,7085,4561,4482,2036,2116,3023
orf19.519,354,217,253,98,86,208
orf19.5190,40,26,80,46,37,51
orf19.5194.1,877,1006,1138,675,681,735
orf19.52,682,749,887,293,288,489
orf19.520,332,258,234,42,44,116
orf19.5201,257,286,392,50,61,367
orf19.5201.1,717,669,586,276,257,479
orf19.5203,39,119,64,7,27,57
orf19.5204,446,794,908,268,316,358
orf19.5205,216,261,260,129,144,287
orf19.5206,105,232,216,44,51,162
orf19.5207,218,367,334,80,95,245
orf19.5209,434,254,487,39,35,141
orf19.5210,195,153,213,218,243,273
orf19.5210.1,58,34,53,16,15,45
orf19.5212,1,1,0,1,0,0
orf19.5213,573,460,774,175,192,411
orf19.5216,37,232,134,131,147,135
orf19.5220,21,136,37,41,33,56
orf19.5221,591,513,348,45,53,165
orf19.5223,3,6,4,2,0,1
orf19.5225,247,205,181,47,55,121
orf19.5227,177,144,255,46,51,88
orf19.5229,458,751,652,180,257,680
orf19.5231,3,1,3,0,1,0
orf19.5233,0,0,0,1,0,0
orf19.5235,11,14,9,3,1,2
orf19.5236,43,26,21,13,24,23
orf19.5238,663,765,431,450,495,407
orf19.5239,217,170,153,22,22,60
orf19.524,530,309,270,65,60,129
orf19.5246,1435,1050,1111,667,743,939
orf19.5247,434,304,304,69,83,188
orf19.5249,45,18,55,6,1,11
orf19.5250,218,453,695,163,160,250
orf19.5253,232,176,168,41,55,67
orf19.5254,10,5,9,1,0,3
orf19.5256,1,0,3,0,0,0
orf19.5258,356,298,496,101,121,196
orf19.5259,291,199,298,98,114,116
orf19.5262,0,0,2,0,0,0
orf19.5264,1,0,0,0,0,0
orf19.5266,12,23,12,7,5,7
orf19.5267,73,508,145,184,215,120
orf19.5269,215,181,117,48,45,94
orf19.5269.1,77,80,75,78,47,65
orf19.527,203,174,203,51,55,122
orf19.5270,5,4,9,1,4,5
orf19.5271,120,73,92,31,37,84
orf19.5274,566,619,340,136,153,254
orf19.5275,346,319,217,34,52,98
orf19.5276,22,29,23,11,10,10
orf19.5277,127,165,64,17,21,41
orf19.5278,86,223,441,101,92,174
orf19.5279,88,83,99,32,22,91
orf19.5281,8183,8576,8539,1702,1933,3595
orf19.5282,851,477,329,164,201,283
orf19.5284,5,3,3,0,0,7
orf19.5287,201,106,100,14,12,26
orf19.5288.1,177,74,93,87,56,90
orf19.5289,3,7,2,0,7,4
orf19.529,749,656,482,171,174,311
orf19.529.1,1,0,4,1,0,4
orf19.5290,0,0,0,0,0,0
orf19.5291,159,141,194,119,99,65
orf19.5293,1207,679,1118,520,472,788
orf19.5295,14,49,17,0,2,5
orf19.5296,481,522,546,171,146,427
orf19.5297,113,132,105,34,26,53
orf19.5299.1,0,0,0,0,0,0
orf19.53,120,156,90,38,38,70
orf19.530,18,14,14,5,3,7
orf19.5300,617,631,732,146,180,360
orf19.5304,0,0,0,0,0,0
orf19.5306,0,0,0,0,0,0
orf19.5308,1,0,0,0,0,2
orf19.5311,100,166,106,33,31,45
orf19.5321,1440,1002,967,346,360,554
orf19.5322,1327,1090,1094,618,692,598
orf19.5326,200,531,277,344,343,412
orf19.533,0,0,0,0,0,0
orf19.5334,9427,4871,6387,3350,3193,7122
orf19.5339,271,113,154,126,106,126
orf19.5340,2897,1533,2613,303,345,637
orf19.5342,599,976,777,1310,1426,996
orf19.5342.2,20,16,13,8,5,7
orf19.5345,6254,4983,4545,4100,4041,2849
orf19.5346,432,244,216,167,171,349
orf19.5350,604,320,526,129,120,307
orf19.5352,1751,2096,2130,1052,1015,688
orf19.5353,77,114,159,11,23,55
orf19.5356,992,1716,1940,1677,1913,3043
orf19.5358,862,1016,571,351,394,535
orf19.536,1207,1009,809,198,181,395
orf19.5363,605,471,470,537,557,663
orf19.5364,265,258,370,191,239,353
orf19.5365,748,1241,1362,1133,1297,2703
orf19.5365.1,147,65,325,96,58,469
orf19.5368,832,765,587,162,179,364
orf19.5369,5742,5358,4398,4450,4368,4364
orf19.537,185,111,115,21,13,36
orf19.5370,406,418,421,338,321,193
orf19.5376,269,205,125,52,52,95
orf19.5381,781,1204,711,650,682,731
orf19.5382,0,0,0,0,0,0
orf19.5390,0,0,0,0,0,0
orf19.5391,283,318,373,94,91,404
orf19.5393,2202,2109,3372,2528,3146,3430
orf19.5394.1,364,140,370,28,23,259
orf19.5395,913,825,1061,258,300,587
orf19.5397,197,86,131,22,13,64
orf19.540,493,313,384,122,172,205
orf19.5402,0,0,0,0,0,0
orf19.5406,402,666,376,410,418,371
orf19.541,37,242,227,169,179,260
orf19.5410,319,303,252,63,84,177
orf19.5411,717,568,645,283,246,339
orf19.5412,72,121,143,25,27,85
orf19.5413,256,285,247,119,102,203
orf19.5418,1929,1604,2035,402,423,786
orf19.5420,1397,1567,1445,399,415,931
orf19.5422,76,95,44,102,101,58
orf19.5424,42,70,31,30,27,45
orf19.5425,599,1123,824,487,501,928
orf19.5426,61,149,176,56,51,140
orf19.5428,108,131,136,73,82,104
orf19.5429,270,223,231,78,69,161
orf19.5431,2123,2025,1904,2580,2847,2050
orf19.5433,79,104,81,35,26,61
orf19.5438,1003,562,983,338,311,387
orf19.5439,1240,772,1428,275,310,648
orf19.5442,1841,1030,1378,272,296,408
orf19.5446,0,1,0,0,1,0
orf19.5449,107,139,249,179,154,175
orf19.5451,0,0,0,0,0,0
orf19.5455,958,834,1008,1236,1232,1748
orf19.5457,1050,1190,1260,2048,1844,1026
orf19.5459,464,1282,463,379,403,234
orf19.5461,0,0,0,0,0,0
orf19.5462,0,0,0,0,0,0
orf19.5464,0,0,0,0,0,0
orf19.5465,277,318,205,122,136,224
orf19.5468,14,20,12,15,6,7
orf19.5469,656,799,1023,275,261,234
orf19.547,457,387,281,80,121,207
orf19.5472,0,0,0,0,0,0
orf19.5474,181,203,232,73,61,64
orf19.5475,0,0,0,0,0,0
orf19.5483,379,471,373,118,100,243
orf19.5486,1297,1053,892,279,323,704
orf19.5488,88,48,44,12,12,25
orf19.5489,53,34,21,28,23,11
orf19.549,712,630,634,156,206,477
orf19.5491,12,14,7,2,1,3
orf19.5492,167,158,139,76,84,92
orf19.5495,2331,1969,2136,653,688,930
orf19.5499,0,1,0,1,0,1
orf19.55,801,815,1511,902,878,1032
orf19.5502,131,69,68,30,33,60
orf19.5503,0,0,0,3,0,0
orf19.5504,89,79,106,20,19,36
orf19.5508,43,46,71,34,27,44
orf19.551,516,711,545,270,342,758
orf19.5510,635,643,706,92,87,291
orf19.5514,71,62,84,77,77,72
orf19.5515,312,320,368,56,65,228
orf19.5516,560,439,465,80,85,302
orf19.5517,180,395,342,586,673,608
orf19.5518,209,131,223,34,49,192
orf19.552,12,21,11,21,20,20
orf19.5522,59,42,51,6,2,29
orf19.5523,192,70,142,17,11,66
orf19.5524,19,4,11,4,1,10
orf19.5525,9608,2861,2922,1288,1513,3330
orf19.5527,962,484,642,91,102,155
orf19.553,0,0,0,0,0,0
orf19.5532,2,0,5,3,1,4
orf19.5533,317,293,204,57,74,115
orf19.5534,398,499,697,251,277,254
orf19.5535,410,632,455,504,565,576
orf19.5536,9,45,63,30,48,66
orf19.5539,132,75,99,2,7,21
orf19.5541,593,1118,730,580,659,1145
orf19.5543,382,282,351,46,81,165
orf19.5547,339,303,314,78,88,260
orf19.5549,34,11,24,3,2,9
orf19.555,7,4,7,5,2,5
orf19.5552,168,105,158,35,36,86
orf19.5553,169,164,194,53,61,141
orf19.5555,790,790,685,156,202,312
orf19.5556,0,0,0,0,0,0
orf19.556,115,243,291,264,144,419
orf19.5564,550,667,525,342,368,504
orf19.5566,144,208,197,30,45,153
orf19.5569,1224,974,913,150,152,533
orf19.557,27,28,9,3,2,6
orf19.5572,367,250,182,59,49,86
orf19.5573,10,15,17,1,2,12
orf19.5574,146,172,183,30,29,126
orf19.5575,73,106,95,20,20,56
orf19.5576,3038,1954,3149,867,921,2335
orf19.5578,370,215,157,81,92,150
orf19.5579,60,44,44,18,7,47
orf19.5586,168,154,267,113,109,166
orf19.5587,93,72,105,21,35,86
orf19.5589,4,3,2,5,2,3
orf19.5592,17,24,32,26,12,27
orf19.5596,58,127,72,37,51,82
orf19.5597.1,36,11,38,3,1,35
orf19.5601,401,219,245,76,72,142
orf19.5605,1631,2708,1366,1289,1428,1361
orf19.5606,0,0,0,0,0,0
orf19.5607,576,588,631,82,79,308
orf19.5608,35,65,73,9,12,69
orf19.5609,52,81,51,12,11,66
