Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
CBP1,4148,5169,6693,4696,5113,5844
CBR1,1335,1734,2590,1509,1493,2787
CCC1,471,676,236,678,714,821
CCC2,460,380,576,364,339,649
CCE1,10,9,12,7,5,5
CCH1,778,1314,1168,280,339,604
CCN1,232,228,181,151,146,232
CCP1,1963,3304,2543,441,464,1997
CCR4,1859,1396,1434,293,341,752
CCS1,1995,1826,2168,1296,1332,1378
CCT2,4651,3171,4254,1490,1530,2182
CCT3,1932,1856,1639,343,371,951
CCT5,5189,4355,4240,2317,2516,2945
CCT6,3071,2814,2451,1315,1441,2506
CCT7,913,880,969,290,320,820
CCT8,2857,4710,3110,4159,3901,4776
CCW14,441,589,449,323,327,642
CDA2,57,159,86,162,182,49
CDC10,6309,3894,5926,1018,1125,2377
CDC11,5658,3713,3472,678,693,987
CDC12,6938,4327,6190,1779,1824,2348
CDC13,1481,847,1155,287,351,469
CDC14,1090,872,386,537,536,506
CDC19,387277,334962,242067,321675,355161,341277
CDC20,890,913,291,1123,1229,645
CDC21,818,557,578,320,382,688
CDC23,471,367,311,111,119,180
CDC24,1700,1072,1672,412,456,690
CDC27,158,96,101,18,20,48
CDC28,1131,928,1140,369,410,540
CDC3,3862,2379,3297,556,621,1345
CDC34,2657,2155,2435,2597,2586,2248
CDC37,660,444,439,60,56,266
CDC39,1569,1672,1603,831,985,1592
CDC4,5174,3944,6134,5580,6063,6227
CDC42,3356,2904,3605,2792,3068,2130
CDC43,33,47,50,20,20,32
CDC45,322,299,184,61,86,131
CDC46,1438,1638,1542,1822,2156,1929
CDC47,1466,1585,1189,720,792,1760
CDC48,42690,40837,43832,27469,31295,19075
CDC5,1936,984,482,781,849,608
CDC50,1377,1204,1193,211,222,486
CDC53,715,562,745,198,150,337
CDC54,329,543,398,336,408,684
CDC55,2032,1435,1727,289,324,704
CDC6,20,14,25,12,12,41
CDC60,7526,7372,6939,3221,3718,8462
CDC68,968,945,879,176,142,448
CDC7,861,569,497,159,192,258
CDC73,1707,1152,907,226,241,445
CDG1,2512,258,472,183,187,679
CDH1,689,515,520,230,253,333
CDL1,486,549,536,289,295,464
CDR1,5214,10810,7205,7152,8456,8488
CDR11,488,962,794,641,706,692
CDR2,463,864,587,673,808,648
CDR3,69,112,133,179,174,163
CDR4,704,880,299,379,415,458
