,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.4799,13.5285,9.81966,16.211,11.3698,18.9647,14.522,38.5938,35.2964,34.5368,31.4303,44.2079,6.22351,15.5494,16.4246,21.161,17.473,12.8655,26.2469,33.0057,49.389,35.6385,39.8527
orf19.48,2.87786,1.72463,5.71028,1.79293,4.46359,4.14049,30.8987,21.4982,14.5896,14.5882,20.1532,1.91494,3.68744,4.65044,1.89569,2.79295,1.18813,21.2543,16.729,14.4623,15.3997,19.9638
orf19.480,4.30085,5.39025,5.05632,9.54922,13.3728,12.6462,16.0029,10.9791,10.5313,20.5549,16.7063,5.07273,5.4059,7.46293,8.84398,8.8082,4.14811,13.3511,15.3993,37.8566,15.9707,21.4201
orf19.4800,9.85223,10.6212,14.1314,8.67668,18.8339,11.2132,35.7344,33.4707,28.1909,34.6923,30.9865,5.90778,14.3895,13.5829,5.65137,5.74725,3.53962,32.2543,23.8967,23.2541,29.3354,30.5224
orf19.4801,2.0157,2.0252,3.59209,1.84384,6.01416,3.79373,5.10263,4.7979,5.22772,6.27341,8.53096,1.31456,2.82861,3.7499,4.76447,5.06345,2.37923,5.69343,5.1128,14.2296,9.39143,8.24595
orf19.4802,1,1,1,2.67782,5.26887,13.5552,54.8323,27.3531,32.2414,15.9544,26.8892,1,1,1,2.72066,3.32003,3.4099,20.4457,18.4747,40.481,50.451,48.2306
orf19.4805,8.20216,8.06277,15.7313,18.4503,18.9155,21.1739,25.7707,30.64,18.1101,22.422,22.6305,8.11944,13.4414,15.1928,12.6211,10.9263,7.2656,10.8748,17.8799,7.19479,5.54062,13.8569
orf19.4807,7.13566,3.81569,8.06231,4.64185,9.74321,6.64779,57.6841,117.084,37.038,58.9979,54.6162,3.80308,8.86454,8.28445,4.07152,5.63687,2.45697,35.2016,35.1084,31.5136,36.2428,50.2821
orf19.4808,11.1052,10.4908,20.3978,9.39235,18.5074,15.7517,17.1541,16.617,16.928,14.3762,21.5674,9.73442,16.9696,20.3151,14.8655,13.2651,9.00067,20.4009,16.7039,20.1871,15.2967,21.1271
orf19.4809,69.6155,53.8495,79.0844,111.839,108.415,104.712,75.8151,94.6128,84.591,113.785,111.571,62.9366,72.5185,75.8906,95.7603,83.9435,77.3311,73.9556,82.502,61.046,53.3756,71.2446
orf19.481,27.328,25.794,40.7319,31.4054,49.0489,44.9224,61.5138,47.7912,56.8765,65.7004,65.9849,22.7831,39.8969,39.7185,32.7115,33.324,22.5698,62.3789,64.374,97.2116,61.8342,66.1894
orf19.4811,24.7213,25.8294,32.7819,25.8493,34.6328,29.0412,61.9712,56.2594,45.3964,66.1539,64.8251,28.214,36.4989,33.986,34.617,34.196,25.3035,55.7549,69.615,72.5571,61.0597,68.5533
orf19.4812,14.8763,23.6918,18.4513,19.9464,26.1174,28.839,31.6188,33.2644,31.2976,26.3407,54.1861,20.0081,14.6895,14.7885,13.0679,18.0352,14.4035,32.2184,36.5013,67.8689,47.5712,56.9298
orf19.4813,284.895,216.331,412.567,291.601,409.433,391.302,174.373,108.735,231.686,245.607,280.583,310.209,409.621,415.777,466.09,513.103,389.249,185.17,199.294,440,204.657,314.057
orf19.4815,28.3481,11.3611,38.1687,49.1832,54.1019,51.6709,25.7899,14.819,30.3042,30.7592,39.0353,21.1205,27.5335,34.0783,77.6041,79.9499,48.8712,28.8134,42.3487,101.243,36.0554,46.8559
orf19.4816,12.5286,12.9685,15.7252,13.783,23.8463,24.0688,225.805,53.3061,149.526,102.192,119.017,8.32376,17.0313,15.2565,13.5879,15.3658,10.7076,178.183,162.176,199.484,271.426,251.431
orf19.4817,12.709,11.6729,15.5465,22.4094,26.9031,28.0338,58.1152,54.2733,56.784,57.2617,66.1985,9.76099,17.0159,15.8842,17.2383,15.8614,12.3489,55.075,56.7661,55.3773,59.9766,70.2962
orf19.4818,4.60988,6.49122,4.90743,3.40983,4.48506,5.47992,8.62557,9.04103,8.63007,4.55724,10.9319,4.19267,6.91474,5.43612,4.57282,4.39201,2.86419,12.6717,13.3269,14.4601,8.75204,11.0574
orf19.4819,4.26135,3.50085,12.0615,1.89895,2.24927,2.48961,3.11783,1,3.83951,8.06738,6.1065,9.12769,1.27088,3.01743,4.01301,1,2.39506,3.94961,4.68299,3.87653,3.77665,1
orf19.482,83.9845,87.6918,123.969,88.5133,137.57,117.57,158.608,145.798,155.068,154.144,143.166,65.7711,130.036,128.559,108.282,99.8301,77.1595,174.864,158.191,211.308,181.652,174.085
orf19.4820,6.33761,4.67504,9.67466,12.1813,15.3106,15.3279,17.4578,13.2595,15.6238,18.4728,21.3673,7.4153,9.56919,9.42286,13.1409,11.3047,9.11805,19.3641,20.1879,29.0703,19.9226,24.4027
orf19.4823,3.08541,2.28461,3.35957,3.87104,5.41948,5.60808,4.58918,6.16001,6.947,9.3242,12.4626,2.03332,2.23563,2.77827,4.63331,5.24674,3.52234,5.82811,6.07071,4.64793,6.52614,7.7612
orf19.4824,33.6853,29.1855,39.5783,22.0787,34.8254,30.2061,47.0508,28.5209,33.0435,48.6483,65.3737,19.1484,44.0217,37.7466,25.1699,31.898,16.5009,55.6519,49.2876,50.2672,44.521,57.4015
orf19.4825,21.9147,21.5383,31.7856,30.7961,50.2442,33.7841,77.907,63.7014,65.5068,89.1578,65.0253,17.2627,37.7345,29.3585,33.437,42.0735,22.9141,66.5753,61.7594,91.8493,57.4022,78.3967
orf19.4826,641.169,515.073,1052.88,1076.95,1266.46,970.847,1035.14,765.498,1126.79,904.035,816.916,770.583,1076.13,1150.02,1118.12,1209.45,877.59,1048.49,779.853,1052.17,1067.64,1345.92
orf19.4827,371.364,433.317,483.966,350.872,404.269,415.979,482.054,352.962,499.91,485.099,493.31,461.597,583.014,508.256,343.517,403.405,335.493,575.581,519.712,719.767,572.557,608.405
orf19.4828,15.4322,15.2725,14.6841,15.1117,24.0732,25.4173,244.902,268.105,169.4,166.018,228.025,7.79107,12.6466,12.3921,10.3991,12.0238,9.55526,146.673,210.535,151.677,144.54,145.738
orf19.4829,28.6505,33.963,38.3548,27.4664,36.876,35.756,56.353,49.6967,45.4198,54.1491,46.2008,25.9763,39.5513,39.5078,29.9186,27.4319,23.8699,46.3364,39.3911,40.6555,42.2336,40.2935
orf19.4830,33.4442,42.7101,50.9139,24.494,87.0231,41.5687,120.715,169.687,155.43,147.613,134.052,17.7114,25.3529,27.9137,25.2919,36.8771,17.1662,99.8234,107.13,95.521,115.376,84.6366
orf19.4831,254.073,275.347,314.053,367.359,401.705,447.192,224.589,181.059,226.573,253.694,227.868,375.773,373.069,339.101,393.914,348.919,426.312,163.643,191.336,210.502,131.735,223.225
orf19.4833,41.4569,66.3602,56.8899,36.6222,27.3881,66.0441,369.617,209.106,164.416,107.927,150.757,81.1434,54.3271,54.2419,45.4779,36.9313,44.6666,137.104,126.043,81.2662,115.836,182.347
orf19.4835,16.5147,19.3104,28.3929,24.2464,35.334,35.6468,22.2873,11.741,22.4359,22.6106,34.0884,19.8174,25.039,28.2536,53.2648,51.2127,34.3659,26.6232,34.2461,83.1481,31.3108,35.4829
orf19.4836,335.381,497.768,326.532,421.548,404.466,430.577,139.294,131.988,185.776,166.928,216.843,403.155,419.993,347.894,353.428,315.202,486.11,220.922,175.305,280.398,269.748,238.48
orf19.4837,12.2591,10.003,13.1751,10.8034,16.8796,11.8424,15.1618,12.1307,17.8648,17.7433,27.1674,7.65316,11.9685,11.7253,13.6986,15.366,9.92568,16.5552,18.4016,9.5331,10.0758,15.3889
orf19.4839,48.6011,27.8453,54.9432,64.2649,59.2746,66.773,43.323,45.4964,55.8596,49.1095,51.0949,49.1037,35.5049,42.9601,54.7653,47.0998,53.9284,36.1876,44.0389,43.2087,35.7335,50.3241
orf19.484,22.2861,26.46,44.9113,59.9576,72.3269,63.4021,79.2594,67.9662,78.1523,100.649,115.943,26.3045,48.4254,42.0648,50.461,68.4309,31.033,111.856,125.679,178.523,94.031,132.259
orf19.4841,11.0502,11.3223,16.8314,19.0996,36.1605,22.8421,56.3527,58.7291,54.2576,51.3645,60.6229,8.01719,20.6593,17.9192,25.3586,24.2894,18.3993,48.3745,58.6167,61.1569,63.5505,68.7796
orf19.4842,7.07577,5.76813,5.05832,9.96202,10.9286,12.6677,106.304,96.0655,109.326,52.6461,129.428,1.98319,7.77163,9.36422,4.40528,4.00678,1.31533,81.8873,97.7999,109.523,135.745,128.956
orf19.4843,1.88781,1.95191,3.83472,8.32691,14.8739,10.0574,35.2198,35.5265,18.0567,19.4083,25.3469,1.31429,3.53601,3.86529,7.14912,7.20118,4.04506,18.2761,19.037,13.2303,19.8252,22.8864
orf19.4844,9.32674,10.9033,14.0081,9.9562,13.9969,14.4393,36.1245,29.0589,28.5907,39.0053,42.1602,8.01773,12.8959,14.6607,21.2106,20.7361,13.7554,33.0306,42.4279,58.8311,31.0388,36.8044
orf19.4845,581.763,224.557,480.405,176.357,154.986,146.537,151.154,149.165,126.134,178.768,116.301,469.756,173.408,369.123,186.954,105.251,241.432,92.4335,101.491,120.124,113.626,164.73
orf19.4846,18.7357,17.888,24.4184,18.5935,33.8923,28.5341,17.9756,18.0377,21.1046,21.8517,36.2246,18.8625,25.514,25.9038,25.6127,29.7092,26.3907,30.228,29.3805,55.7169,25.4007,34.4905
orf19.4848,14.0123,13.0991,24.9244,9.33016,17.3554,14.7482,20.437,19.5633,19.6548,16.753,20.6321,11.3289,19.5048,21.9024,15.646,14.336,10.1183,24.5678,19.9105,23.0682,21.6105,25.0271
orf19.4849,6.70234,10.0116,12.0871,20.8687,25.5688,27.7724,65.8296,75.8164,49.8497,56.0586,64.6427,8.37548,14.1279,13.6319,16.1632,17.292,10.5111,47.8245,55.4132,73.1206,61.0666,50.6577
orf19.485,18.8088,14.0693,21.4084,12.1251,25.0325,25.4038,50.2054,44.8474,76.3093,67.3359,54.6196,7.36658,22.81,15.2795,12.4744,12.4404,7.23858,57.4096,61.5686,59.3666,46.2488,40.4462
orf19.4850,38.1374,52.7432,59.7518,52.9353,88.0096,62.6037,135.891,158.379,98.2047,91.9767,152.754,25.7842,61.1174,59.7124,55.0668,51.8544,41.2979,114.39,105.306,87.1453,93.8793,102.673
orf19.4851,13.3796,10.3275,15.0473,11.3464,23.1202,20.7736,48.2943,34.1488,31.4808,39.1296,55.4276,7.30329,14.5954,12.3912,9.99458,11.6986,7.40593,42.2227,40.7656,42.4651,35.2013,45.2327
orf19.4855,12.4223,12.9465,15.7242,26.2633,23.2096,27.3575,38.1268,21.8065,22.4023,46.4707,55.258,12.5664,14.1007,12.3342,22.4485,19.4206,20.8146,34.5351,38.1553,47.4086,37.8863,33.803
orf19.4857,4.11587,2.68813,5.16268,4.60412,8.91309,7.02038,25.7902,26.6367,23.5922,35.1104,33.1445,2.73072,7.26998,4.70076,6.3845,8.56858,4.81273,23.8963,32.2173,27.2436,23.3647,29.2123
orf19.4858,4.89883,3.86264,6.60925,6.91283,12.8147,9.44556,12.5583,12.9471,10.7457,9.85156,16.3897,2.4458,5.30607,5.63697,5.86567,6.21889,4.20349,8.63674,8.54724,8.71782,9.99214,11.1947
orf19.486,5.89785,6.72404,8.25981,4.05343,9.14924,7.48323,21.1657,25.0715,16.9255,20.4023,22.0484,3.86391,7.69434,8.37125,4.29312,4.28286,2.67621,19.6841,17.4279,14.6868,19.094,19.514
orf19.4862,8.63484,7.59261,9.53118,15.1224,28.5684,27.5225,51.6301,42.3785,62.893,52.4517,54.4755,6.7627,11.8058,10.8273,12.6161,12.7671,12.6861,39.4101,35.0238,44.1722,37.1503,49.1429
orf19.4862.2,19.5653,29.5725,19.1627,11.2297,43.6795,47.9307,110.027,130.707,117.239,135.768,131.308,14.2261,20.515,17.1829,20.0587,29.6199,22.0924,119.565,151.765,168.892,172.063,116.402
orf19.4863,3.38936,2.09872,5.58272,3.39867,4.52053,5.67575,5.55434,5.64667,5.5899,8.10778,10.0629,3.48127,5.47227,4.94007,5.90534,6.68291,3.8327,7.56368,8.25119,12.1012,6.3727,8.02719
orf19.4864,14.6582,15.0024,21.793,23.8848,33.9277,30.5764,61.1917,64.8113,51.3211,39.4628,54.0189,6.83142,23.4303,19.865,12.5506,17.4772,9.95309,55.7157,41.2141,53.3495,79.1308,62.3188
orf19.4865,16.5925,17.765,24.0824,11.2376,29.5485,26.3079,53.9853,41.0117,40.7773,52.5019,59.7257,11.982,24.5417,23.7042,8.86424,11.6347,5.84868,49.1002,46.3254,50.5418,47.6609,54.2101
orf19.4866,5.13646,6.93535,9.17603,14.6813,15.4968,14.4327,19.6309,11.1798,12.2657,13.0452,20.5859,4.36383,7.9424,8.11953,14.8661,13.234,9.61108,20.7889,21.1015,23.0134,17.9974,20.6115
orf19.4867,15.5771,12.2248,17.1953,12.8256,12.5749,14.7867,10.8965,9.14104,9.21923,8.11402,13.1094,12.3095,14.5795,16.3146,19.4427,13.8642,10.9033,10.4878,9.3889,5.69305,8.01676,10.2387
orf19.4869,11.4093,12.4052,17.148,24.4403,23.1845,20.5604,40.6976,38.4125,26.3412,15.5422,35.6365,13.9069,14.3685,15.2876,30.9184,29.1512,22.5805,33.3629,34.175,50.3037,56.6822,40.6003
orf19.487,6.01261,5.40794,8.14972,12.2468,14.3169,12.8758,39.6392,36.4229,36.9496,35.1526,29.5115,4.9239,7.57066,8.49346,9.75469,9.10108,6.88091,25.7466,29.4261,23.5012,24.7351,26.2688
orf19.4870,24.455,13.8723,47.3774,21.6675,38.6287,33.0764,35.0858,16.4181,28.2536,37.8155,40.9805,18.7015,41.2379,43.8517,45.7153,46.488,29.2314,32.9109,50.2374,144.535,41.9429,31.9583
orf19.4871,81.1308,115.596,116.028,103.985,151.36,120.002,236.911,211.161,136.854,156.044,174.03,59.7916,122.817,111.867,88.5099,83.6582,69.8021,139.286,172.129,182.937,140.951,114.492
orf19.4873,1,1,1,1,1,1,42.7809,30.9085,5.13622,2.43752,16.044,1,1,1,1,1,1,9.07617,8.03705,20.6694,26.2558,23.4035
orf19.4874,11.966,12.3253,21.8529,10.955,21.4101,15.626,42.579,36.7753,31.1248,37.0068,44.5364,9.66057,19.7762,19.7846,12.7775,14.8211,6.87633,38.2096,44.0992,53.6323,45.8894,44.7628
orf19.4875,15.9207,16.6851,20.4244,11.29,19.3795,16.9416,44.4527,22.651,34.0818,33.7921,45.344,11.2926,18.3362,22.4793,17.386,18.9726,18.4016,20.6533,44.2659,59.232,41.4878,30.346
orf19.4878,51.8897,56.1654,56.7301,51.3745,39.63,39.8561,46.5566,42.7226,38.2602,28.495,39.9706,31.345,53.1177,58.4142,47.2019,42.6188,34.4101,41.51,33.7837,27.5491,42.8545,42.9297
orf19.4879.2,208.668,211.231,280.351,263.872,443.464,545.876,784.368,947.32,851.227,1164.53,1066.25,256.556,271.625,164.061,256.042,376.568,235.427,934.124,926.624,1127.57,998.88,1098.75
orf19.488,23.4295,22.9064,37.8897,28.7911,38.687,35.8876,28.3834,22.6656,31.2959,23.7042,31.8434,22.3475,36.2355,38.0122,47.0112,52.2257,27.3187,36.1933,33.453,53.9931,33.0748,40.0995
orf19.4882,28.1893,25.6125,35.7014,17.4911,38.2258,46.446,203.682,203.692,167.328,187.312,258.882,17.8676,32.7357,29.3847,20.9996,25.1454,11.9118,170.804,209.559,228.249,186.978,202.305
orf19.4883,2.90849,2.47784,4.57541,3.73609,4.11314,4.48598,6.885,8.51233,3.60958,4.37501,10.7433,2.36273,4.06878,4.2848,4.13158,3.28159,2.61274,5.94236,6.74822,7.04681,5.07966,7.90698
orf19.4885,692.625,356.209,1063.13,1167.17,1430.6,1105.29,1145.41,689.577,1106.53,804.555,816.831,816.423,1019.91,1077.08,1292.09,1298.73,1000.42,982.534,729.213,817.09,904.914,1157.56
orf19.4886,1,1,1,1,1,1,67.7708,3.6321,31.3737,11.1035,21.2066,1,1,1,1,1,1,30.5407,24.1144,26.6628,35.1972,79.738
orf19.4887,20.5017,15.5219,22.4148,19.0227,27.4469,19.0857,154.399,118.102,84.2319,69.1332,94.9991,9.96321,19.0899,19.6691,16.2785,14.106,10.3738,67.1302,92.9915,40.5644,94.4576,79.7756
orf19.4888,10.3,13.2426,25.858,9.16425,20.3347,15.2279,120.87,126.239,79.6569,75.2117,84.4461,11.3889,26.82,21.9664,11.2339,14.5516,6.05953,62.2314,88.4409,59.0344,75.1525,83.7291
orf19.4889,11.7246,7.95422,19.9448,9.49516,20.9519,18.7674,22.9116,22.3546,20.4254,34.7646,32.6074,11.6494,14.6992,18.3551,17.1541,16.8167,8.74346,27.4769,30.9185,39.4882,18.0407,25.1137
orf19.489,125.56,236.625,142.647,210.972,305.7,223.517,208.343,178.899,268.74,244.293,186.858,104.64,170.958,145.082,144.086,151.171,106.317,258.854,275.034,272.984,256.437,315.451
orf19.4890,5.52113,4.00842,6.23438,10.3078,10.5925,15.1662,32.411,26.0627,26.0679,27.0099,25.9552,3.42374,5.68153,6.93583,8.73008,9.38023,6.38874,18.8291,24.6329,17.7762,14.9425,19.9924
orf19.4892,11.413,17.6849,23.4418,9.74528,20.0787,19.7494,271.336,86.6515,126.185,106.435,116.834,9.18929,25.387,20.5453,12.6477,14.299,7.70303,167.056,232.413,310.262,306.244,190.687
orf19.4893,6.8391,5.6863,10.509,6.99725,11.6253,11.0871,32.6861,24.1997,19.0864,15.0757,24.0346,5.10527,7.84041,8.20528,6.56329,5.64103,4.59487,21.1897,19.4931,15.1985,25.343,23.3019
orf19.4894,1,1.71474,2.09232,2.06241,5.42488,4.81609,40.2264,38.6858,20.0907,33.6472,27.7657,1,2.21065,1.96374,1.85511,2.91166,1,20.9944,19.4284,19.6721,24.579,33.6208
orf19.4895,1,1,2.12678,1.80057,5.77973,3.67231,8.29265,3.81516,10.964,10.3258,16.357,1,2.30537,1.14753,3.18901,4.81747,1.16572,10.1349,8.35564,28.7895,11.5304,15.9503
orf19.4896,25.8493,15.7087,47.0126,30.8871,40.9061,42.4647,42.1933,26.6854,40.3624,40.1162,54.3394,30.1341,40.7698,38.4202,50.9193,49.1033,33.4015,27.9988,66.1317,148.584,49.0118,32.319
orf19.4897,22.9622,24.6811,35.2962,37.5193,58.7745,55.5772,90.8203,190.703,119.038,200.267,155.881,14.9899,40.2614,31.6452,25.9354,30.7061,19.0337,50.5721,50.5216,70.9039,54.9007,65.4254
orf19.4898,92.3064,93.5383,76.75,111.537,113.271,118.206,177.667,206.216,248.91,252.872,267.93,84.254,88.5353,80.627,92.2393,80.1041,90.9866,226.313,200.938,216.315,245.496,242.401
orf19.4899,4.85809,8.751,5.06323,18.2905,18.1481,25.8084,6.28371,69.7652,68.3507,58.8817,71.2537,2.97757,5.3826,4.7756,8.46073,7.07382,8.72269,32.787,32.9136,60.281,22.3979,38.1961
orf19.490,31.8599,29.0796,27.8113,30.9042,47.2086,56.5179,112.401,63.6214,126.106,97.399,103.859,25.5323,23.8056,23.6411,28.1213,37.7155,25.032,120.823,118.864,153.693,152.917,167.095
orf19.4900,3.61992,2.02009,5.98199,7.76794,10.6313,11.0153,13.585,23.1471,15.6323,18.1577,9.51843,2.79888,4.66226,5.10471,5.52207,4.99073,4.50489,3.90318,5.2646,1.26857,1.48056,2.36368
orf19.4901,1,1.31022,1.55713,1,2.69177,1.87985,13.7435,10.2212,9.18312,8.30991,13.8222,1,1.11546,1.38175,1,1,1,11.1156,9.03773,11.1674,11.106,10.9876
orf19.4903,5.24732,2.56598,6.89379,4.85254,11.4009,13.6018,35.0889,22.0669,12.5729,32.2163,30.4323,3.0348,7.28859,4.21367,5.46032,3.35553,3.87787,30.4083,23.6478,18.6705,26.9312,33.0248
orf19.4904,3.89417,4.46881,9.83625,4.49241,12.4555,8.64403,21.0783,15.6592,14.56,14.4425,18.8634,3.6535,6.87725,6.86152,7.05056,6.57868,3.61629,18.5593,15.0269,26.1217,17.6711,22.6027
orf19.4905,6.33132,3.34007,5.04318,1.9764,3.77793,5.79457,13.2824,11.3635,8.90478,11.8153,14.8755,3.28413,3.00437,3.59247,3.1881,3.65391,1.62541,14.6293,11.7199,16.6813,13.5047,20.2243
orf19.4906,24.3401,23.9733,31.8784,36.9248,29.8182,34.5749,16.4887,14.2273,14.2003,14.2917,15.9453,22.6533,29.1596,31.3267,28.6207,27.5955,21.0046,12.0129,12.3483,10.4423,12.6173,14.8764
orf19.4907,35.924,23.6412,51.8695,33.7029,36.1026,35.3167,148.891,142.99,101.594,92.3233,143.435,28.2287,38.9504,37.6877,49.0826,44.8808,37.5738,94.4888,96.1348,67.2365,115.813,141.813
orf19.4909,21.9243,24.0436,44.9709,20.0889,33.1882,24.0205,40.8083,43.7551,50.1429,40.1157,52.0576,13.9926,41.3207,42.7351,22.6005,27.0108,14.5623,53.3817,45.6817,45.3319,34.3556,44.7083
orf19.4909.1,1146.58,980.463,1185.06,604.14,1678.43,1783.36,1421.84,1608.13,2239.62,2737.66,2555.62,794.737,832.929,780.26,734.208,1123.66,580.816,1945.28,1754.78,2043.17,1433.3,1528.06
orf19.491,34.8349,35.4747,54.3673,45.001,69.614,61.845,188.264,167.554,132.955,197.977,126.177,33.1352,55.0217,56.3978,45.807,44.2793,28.5497,112.578,141.092,92.7275,79.0928,108.402
orf19.4910,106.398,132.66,119.984,107.148,98.1287,89.9906,217.549,159.019,195.116,130.056,183.848,108.429,115.181,118.533,148.224,152.994,129.037,211.327,153.976,196.346,359.977,220.942
orf19.4911,3.79394,3.09293,5.31116,3.734,4.35531,5.69537,19.31,8.07032,18.4517,8.87829,13.4729,4.14574,5.18003,4.35774,4.17858,4.7178,2.70887,21.1428,17.3665,23.0311,36.4854,24.3311
orf19.4912,11.4252,11.9077,12.7166,14.4904,14.4412,15.5225,17.4271,10.3458,19.5569,12.9106,20.5354,10.5727,12.715,11.9677,13.844,13.0369,11.477,14.9854,17.5017,19.86,18.6798,19.4562
orf19.4913,4.27539,4.76495,8.76011,2.64143,5.84573,5.76261,15.7487,15.9258,13.6701,13.2366,18.6528,3.38372,8.59085,8.22441,4.53777,4.2672,2.93383,17.7437,12.8058,15.0137,19.61,17.5003
orf19.4914,3.62356,3.1213,8.1966,2.90534,4.5882,4.06402,22.1975,21.4426,39.098,30.0822,23.1758,1.85608,5.16183,1.02434,2.62827,1.64392,2.44026,21.2754,32.611,26.2299,36.6059,20.3852
orf19.4916,2.4052,2.28108,3.41739,2.692,4.83879,4.03748,13.9221,11.0164,10.5201,18.0938,14.54,1.56213,3.02038,2.65189,3.19677,2.78315,2.85418,12.0193,13.4327,13.9445,14.5292,13.7404
orf19.4917,2.72381,1.28533,2.15299,2.73094,4.57762,3.89124,8.35161,7.38425,2.46077,11.1528,5.6992,1,2.16334,3.4339,2.54149,1.91088,2.21506,4.89745,5.77062,8.03232,5.94761,8.27425
orf19.4918,4.23378,3.59597,5.26277,3.50787,4.92705,4.27679,26.1651,40.2546,27.3688,25.219,27.4788,2.86947,5.79449,5.29978,2.71688,2.96955,2.48723,18.8325,17.7556,10.9184,15.6709,19.307
orf19.492,750.472,862.394,1098.42,671.984,566.031,603.325,252.773,208.196,296.758,195.396,251.85,724.329,1021.01,1065.98,689.327,645.881,490.007,288.084,227.883,235.571,227.453,321.09
orf19.4921,2.89229,2.09902,3.88762,3.68528,5.44233,4.80975,8.88608,6.59481,8.46467,6.72109,9.94361,2.06286,3.08513,2.98643,3.52082,3.61853,2.46914,9.02182,10.1496,9.98771,8.29331,9.66311
orf19.4922,20.3274,7.57874,16.5646,6.60274,14.2545,14.0562,43.3161,36.2941,29.8693,48.2056,42.1691,13.0716,9.84446,12.2321,7.38685,8.57322,5.22501,30.5989,27.7521,30.0457,28.0507,39.0977
orf19.4924,1.8937,1.22667,2.62902,1.50738,3.7069,3.85542,9.97269,9.63896,5.86985,8.44131,11.5007,1.18689,2.34187,2.57372,2.06801,2.34954,1.12729,9.19895,8.49384,10.1632,9.86329,10.8132
orf19.4927,17.4738,15.9703,21.8832,25.9109,28.1362,23.7251,64.6344,63.8974,50.3103,46.4938,57.5854,12.635,20.1494,22.7249,22.0572,20.152,13.5142,50.8231,49.4828,27.4962,36.7379,47.5251
orf19.4928,23.4193,37.2307,33.5854,22.318,39.7939,27.6926,38.6437,34.2757,32.3994,21.8034,37.5403,13.27,33.0664,33.0896,16.618,14.6277,12.9468,29.9074,31.8509,26.1593,30.8987,33.4675
orf19.4929,3.67777,3.6767,5.63047,4.28558,9.62242,7.11576,8.18289,8.72458,9.67845,8.39475,12.1504,3.75627,5.15889,5.47423,5.08806,5.80914,2.93369,15.272,12.4909,18.6576,7.7899,13.176
orf19.493,1557.45,1419.82,2037.75,1130.42,2483.24,2358.08,2200.49,1971.85,2433.22,3170.07,2546.9,1181.38,2015.74,2072.82,1766.24,2175.65,1238.09,2466.63,2050.81,2379.09,1429.58,2276.38
orf19.4930,13.629,17.9356,23.8208,12.0724,43.3347,36.1478,178.027,182.874,136.947,217.35,150.215,13.0234,26.2282,17.1124,13.7896,14.595,9.31227,95.5653,111.611,74.9025,72.4837,93.3631
orf19.4931,36.456,36.6813,76.8031,29.4814,70.7434,44.3616,55.3349,56.4905,61.8517,73.1024,83.4553,25.6229,76.386,77.2226,46.9863,57.7343,27.4396,50.7706,58.5087,52.8433,30.9482,50.5467
orf19.4931.1,1602.13,1585.64,2294.7,1415.42,2870.7,2162.65,1334.6,1271.52,1566.02,2046.75,2149.53,994.33,1997.34,1812.87,1875.63,2478.43,1525.82,1942.33,1340.19,1939.55,1073.25,1629.98
orf19.4932,27.6597,28.243,61.8985,65.3611,104.76,74.6967,79.8471,63.6696,86.9978,71.0755,107.439,30.8217,63.9928,59.1102,68.4111,87.5865,44.7647,91.0582,101.514,123.491,66.1454,113.788
orf19.4933,5.83558,4.51744,10.2368,9.20275,14.8851,16.3662,13.2875,4.25094,8.46848,4.68647,11.4912,8.8328,5.7407,8.89165,11.3661,13.0001,7.67381,7.974,8.6022,37.6551,10.2544,18.5101
orf19.4937,13.133,10.927,25.0533,27.1079,38.3589,36.41,71.3099,53.6175,55.2491,47.0119,52.1735,11.986,21.9215,22.3514,29.3929,28.4665,19.3494,48.7564,59.1284,42.2063,41.3558,50.8739
orf19.4939,6.13917,5.2989,9.85551,2.89613,8.81942,8.09062,25.4789,24.9669,20.4758,18.9156,22.7656,4.60579,8.6,9.27633,4.48587,4.44057,2.4774,21.0755,17.3424,14.5015,15.0534,18.2753
orf19.494,9.86221,5.04795,11.8435,12.3792,14.1294,16.1993,9.30615,4.02168,4.64453,6.11315,10.9539,5.80226,7.07656,8.31143,27.6529,30.1148,17.9191,9.68452,11.3907,36.5311,12.6617,17.638
orf19.4940,10.4755,8.78219,13.5695,5.92618,13.6178,13.6567,30.4001,25.567,28.7015,40.0035,53.9319,9.96288,13.452,14.5743,10.6373,13.665,8.32432,45.0401,54.7528,99.9848,47.8329,65.8974
orf19.4941,374.433,415.419,801.47,423.495,1121.69,673.954,1130.47,762.426,851.538,686.907,969.128,382.934,971.203,738.5,860.989,1016.76,459.116,1124.14,1217.47,1398.86,1001.83,1012.63
orf19.4943,13.37,18.8612,14.1533,64.0699,58.5013,114.106,283.085,441.48,326.896,289.366,415.546,10.4645,17.3781,12.8395,25.9389,21.5776,26.7763,258.447,241.001,283.955,289.348,344.367
