,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.1300,5.99047,3.61744,9.67172,9.64967,15.7212,18.5601,52.8392,68.858,65.9439,75.0929,83.1315,6.58264,6.00215,6.47342,7.64252,10.2163,5.24696,80.572,85.9196,130.328,72.3011,107.133
orf19.1301,10.8949,8.92937,13.7104,10.7777,20.5619,17.4442,129.527,144.245,81.1729,127.668,136.874,9.42461,13.1225,17.9009,8.26327,11.084,10.6848,66.9568,120.55,90.2467,103.114,51.1238
orf19.1303,1.20604,1.9969,6.09024,2.82769,8.214,9.57079,18.2563,16.3978,17.2377,27.8848,25.6708,2.58498,3.8242,4.18503,4.03862,5.98642,3.01161,20.0953,21.6821,34.1063,20.6065,23.5151
orf19.1304,5.28782,3.41765,8.29773,4.53533,12.0423,15.1108,32.9154,20.4134,16.9618,30.2614,44.9001,4.88657,6.15754,5.08152,10.5704,12.3756,7.85891,29.2876,38.959,84.1205,38.8419,42.3293
orf19.1305,3.59567,1.75927,8.27746,3.71818,14.7457,8.65657,16.7749,8.47627,16.2851,16.1875,23.5614,2.45962,5.76125,6.35677,7.62325,11.2819,5.06603,16.3955,22.482,45.6281,12.3284,23.9035
orf19.1306,5.78446,5.39704,19.1288,6.56545,23.9767,32.3946,40.7354,38.0949,31.6588,30.2166,67.9012,12.8058,15.5548,14.9356,11.6805,14.9317,7.81091,36.7168,43.214,83.7737,41.957,63.793
orf19.1308,12.2737,9.1626,19.1465,22.9977,29.7754,30.0695,18.1358,16.2813,18.0592,23.0209,23.6463,21.3343,11.7581,14.1038,24.8358,20.5147,40.0494,22.7825,17.7167,34.2462,25.7743,26.2872
orf19.1309,8.8619,2.4948,13.7687,21.2431,22.0635,20.1871,47.2155,62.5586,57.7783,64.7323,50.7784,10.6897,9.81659,4.99696,9.9789,13.1891,6.61496,41.8889,49.5522,41.0313,31.4568,35.1253
orf19.131,1.45142,2.37962,3.13878,5.33928,6.35829,6.81294,3.17662,2.75938,1.10168,12.5336,4.26299,1.30033,2.61282,2.77125,3.36055,2.87214,1.68105,3.98966,1.40455,6.99884,6.84111,8.12406
orf19.131.2,160.76,119.445,136.283,237.811,290.242,226.366,231.797,371.017,287.872,376.157,287.765,107.444,133.929,129.607,115.189,151.415,41.9598,335.647,289.944,320.508,322.931,362.848
