,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C5_00290W,19.17253,19.73183,19.73391,43.1272,43.9842,49.2659,16.37031,22.1111,23.8584,35.0245,31.0467,31.055
C5_00300C,14.33769,14.2107,15.16062,30.5429,24.1765,29.0951,13.95831,11.90495,16.17193,16.19543,17.17665,17.17738
C5_00310C,25.8973,32.12,33.8221,97.5328,122.0395,123.5585,15.69211,30.0953,30.6972,56.3753,52.4649,53.9475
C5_00320W,274.747,366.044,364.144,462.984,570.115,532.585,252.667,277.07,305.496,368.357,404.426,327.221
C5_00330C,5.98135,5.64667,5.58922,8.3657,6.34205,7.5315,6.64627,3.95868,4.58557,7.6879,7.72736,7.35383
C5_00340W,53.4938,64.5086,63.2818,83.5422,103.0046,78.7838,60.9576,47.4774,56.1337,72.4854,76.5538,68.6233
C5_00350C,15.77283,24.1699,26.5991,71.8413,88.7266,77.3065,15.26353,20.3552,27.2896,41.2946,43.9819,31.7352
C5_00370W,2157.01,2305.24,2047.14,1649.74,1657.992,1698.305,2039.29,2259.63,1958.12,2078.82,1953.885,1983.412
C5_00380W,5.5438,7.59368,7.99253,10.79567,14.47692,13.89659,6.11262,5.85016,7.09017,9.00496,10.7012,10.8867
C5_00390C,146.0628,176.3566,149.9075,316.86,510.142,283.195,154.9066,182.8869,172.0952,238.507,277.712,209.109
C5_00400C,22.0288,31.0439,28.5105,27.7363,36.4409,28.1654,25.6945,37.7299,31.948,24.9847,35.1901,34.1225
C5_00410W,4.52669,4.32598,4.04972,1.743435,4.3843,1.769521,1.937908,1.987971,1.24147,1.750675,3.69168,2.928007
C5_00420C,75.1807,93.2606,87.5987,147.0457,257.315,210.154,53.3567,78.0854,81.879,108.3432,127.9408,97.2585
C5_00430W,265.383,218.252,195.173,124.2054,223.936,219.593,151.3895,136.5489,125.5204,97.5717,74.1256,122.3703
C5_00440C,95.5495,107.1391,132.5144,163.0402,180.1317,202.7516,67.2387,70.2656,92.4803,76.0583,83.9412,106.0622
C5_00450C,46.2681,49.4228,45.5675,123.822,146.3398,144.9081,41.117,38.8719,39.5305,60.7717,53.5924,50.1797
C5_00460C,28.5987,28.5223,33.7008,35.4434,25.9484,38.5704,23.6399,23.382,27.8163,31.899,33.7816,36.5594
