,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C3_02430W_B,8.77978,8.79161,11.285,13.2899,14.0089,13.0827,12.5245,12.4906,26.8216,26.2553,34.1674,33.561,11.5832,11.3893,13.5981,12.8954,9.60322,10.1079,14.2245,13.8405,9.83459,11.4679,17.3864,17.4086,16.6523,15.9494,18.3545,18.4872
C2_02130C_A,0,0,0,0,0,0,0,0,0,0,2.68387,2.62828,2.22759,2.17649,0,0,0,0,1.35079,1.31924,1.75105,1.71157,2.7248,2.62517,0,0,0,0
CR_00990W_A,38.0583,37.5243,43.1768,41.9504,49.1741,46.7381,53.4409,53.5342,60.5278,59.25,70.9501,69.4803,28.6905,28.0324,60.2718,58.8792,34.1012,34.8233,38.6331,37.7309,55.1396,53.8966,112.663,110.323,60.4907,59.2153,51.2573,49.6863
C4_04010W_B,11.0621,9.13916,6.33258,6.56932,10.2846,11.4508,14.9803,15.3625,8.06088,9.13372,24.3436,23.8393,11.6137,9.76839,6.85717,7.98664,4.62344,4.50676,4.25868,4.15923,14.8681,14.3561,17.0317,25.2962,12.1229,9.87669,3.96035,3.32267
C2_00010W_B,18.9577,17.0738,21.7825,14.3346,7.82162,7.06355,21.8077,19.0463,22.5893,13.586,17.7318,11.5252,21.1907,27.1653,29.6511,24.7106,6.02875,4.19109,9.35801,10.3655,24.0791,15.9022,17.3853,19.2522,25.5267,15.0292,8.29639,7.2605
CR_10760C_A,55.4506,54.6726,40.3638,39.2172,32.5262,31.7504,25.7082,25.1093,37.8521,37.053,28.3335,27.7465,42.7646,41.7838,39.6983,38.7811,40.8143,39.7842,49.6435,48.4842,37.0877,36.2516,43.4808,41.891,39.5568,38.7228,28.008,27.1496
C2_04000C_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7_00040C_B,29.0644,28.6567,30.2096,29.3515,24.0558,23.482,21.1333,18.9456,14.5038,12.9467,21.1438,19.5774,32.8509,33.9662,29.6076,31.5253,28.1286,28.4212,25.692,25.092,18.31,16.9219,30.8248,29.6978,28.043,27.4517,34.8295,33.7621
C2_02340C_A,126.918,124.367,115.613,112.351,121.626,119.372,130.225,123.698,137.991,134.148,128.519,126.746,146.305,145.466,139.763,135.059,61.562,59.4702,65.358,62.5926,64.6095,68.0158,126.452,115.728,70.8009,70.601,80.8236,80.0591
C3_01950C_A,47.2821,59.9668,54.1848,44.1628,70.2933,74.0526,67.7379,71.948,2.13374,2.31019,1.87042,2.06041,86.633,88.2385,64.7781,60.3578,29.9767,17.8652,46.7052,38.1452,53.742,45.5393,65.7579,68.8368,81.8499,65.6312,23.8939,20.9649
C1_13180W_A,1.97747,1.94972,1.82281,1.77103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3_04800C_A,11.1031,10.6704,7.12808,6.42255,6.58814,6.431,9.07954,8.86801,10.6587,10.0547,15.1958,14.881,8.55639,8.07707,9.55651,9.33571,6.70909,6.53977,8.93163,8.99117,13.1592,12.8625,12.2381,11.4493,9.5217,9.32094,7.38339,6.53536
