,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C3_01210C_B,36.0405,36.7194,29.7025,30.6935,39.607,43.7266,25.1855,27.8343,68.5618,64.9424,66.0024,63.3878,31.1963,32.0498,33.1015,39.9023,29.1894,32.8209,25.0781,25.9098,23.9772,30.6455,47.8926,40.2481,22.0141,23.1638,23.3775,23.7783
C1_10390C_B,3910.11,4020.78,3795.97,3768.98,4026.33,4046.48,4005,4039.74,2633.37,2681.16,3022.61,3013.47,4169.8,4222.26,4049.34,3992.45,5220.47,5210.48,4921.62,4971.34,3258.5,3269.81,1622.94,1628.69,2596.31,2664.82,4081.94,4156.2
C1_10020W_B,10.9696,11.7598,9.05433,9.63809,13.0947,12.0921,11.6716,10.7092,10.4632,12.658,15.1979,13.8097,11.7718,9.47166,11.2983,10.0671,31.8364,24.8377,26.0995,24.5455,9.61685,11.4443,21.5168,22.1888,11.8133,8.44051,21.6273,19.377
CR_08600C_B,92.5581,91.2595,85.8268,82.402,80.3667,77.9744,81.4904,79.5918,73.6606,71.3621,83.5385,81.8079,90.3645,87.7366,108.154,105.14,53.7835,51.8304,63.5486,61.0125,88.3525,86.3607,89.6786,86.3998,84.1153,81.7226,43.1992,41.8752
C1_02240W_B,11.2832,12.0184,13.0737,13.8386,14.3013,14.4294,14.1257,14.4595,12.3047,12.534,19.2043,19.0271,16.6872,16.8525,13.7551,13.7764,22.3687,21.6082,17.2301,17.1738,17.9959,18.3529,13.0938,13.2761,15.6571,16.1416,17.9715,17.9557
CR_03690W_B,2.72142,2.68324,5.17346,4.00237,1.72922,1.76947,1.82562,1.61529,5.8708,6.81012,10.8475,10.0697,3.76027,2.94174,8.25622,7.46293,1.80173,1.75626,1.99973,1.48317,9.17217,8.71663,18.0526,17.5081,9.48037,11.7395,5.91419,4.81444
C6_01440C_B,0,0,0,0,1.63697,1.59792,0,0,2.5522,2.49832,0,0,0,0,0,0,2.05409,2.00225,0,0,0,0,0,0,0,0,0,0
C1_06920C_A,11.029,9.2768,10.1929,8.824,11.4936,9.8794,10.5308,10.1196,6.08462,7.36635,20.081,20.6427,4.643,4.53651,13.501,11.1058,14.3175,12.6508,8.31934,8.87595,11.5432,10.213,9.00269,8.67353,5.82406,4.70024,10.3406,10.1219
C1_07350C_B,8.40958,8.29159,2.93492,16.272,17.9325,17.5048,7.87261,7.68919,9.66976,9.46561,27.8125,27.2363,17.6298,17.2255,1.66539,1.62692,4.6893,4.57096,9.05821,8.84666,12.0522,10.3138,42.6239,41.4728,16.0554,15.7168,4.27927,4.14812
C5_01890W_A,80.7556,79.6646,89.6485,80.5822,76.2917,68.104,103.359,99.3353,77.3478,72.7698,90.9064,82.2293,83.3271,73.9359,77.3523,72.1606,81.4494,69.3893,49.897,38.1484,70.9336,71.295,78.4939,75.6588,60.6963,57.3141,79.9564,73.2911
C4_04600C_A,13.0872,12.9036,14.117,13.716,9.20688,8.98729,11.4175,11.1515,18.0389,17.6581,18.4805,18.6399,11.2025,10.9455,12.9589,12.6595,6.11648,5.96212,6.69606,6.53968,13.1266,12.8307,11.4543,11.5771,6.8407,6.69647,10.6412,10.315
CR_07890W_A,18.9694,13.9729,19.2293,15.0907,42.4325,34.4727,24.1383,22.279,16.6666,17.7185,21.6045,17.0822,16.6124,12.2554,12.9417,11.5638,19.4538,16.5071,13.0403,10.4524,10.6093,12.0419,11.589,11.1489,13.3751,12.5461,16.5911,12.8842
C1_05860W_B,4.39328,4.33164,5.06158,4.91781,6.7955,6.63342,7.19579,7.02814,6.81208,6.66826,10.9178,10.6916,5.66437,4.98123,5.78382,5.65019,4.87366,4.75066,4.29447,4.19418,9.4545,9.24136,12.4694,12.0135,9.45384,9.25451,8.35863,8.10245
C1_10990C_B,7.63841,7.79347,12.6617,14.1514,13.6168,15.7137,10.4611,6.54448,15.8258,13.8269,17.1368,14.6535,10.8448,11.1063,12.2494,11.8712,10.1309,10.2264,14.0581,14.5494,12.4591,12.0264,20.2376,19.2823,14.132,13.8341,15.4174,17.0381
C4_01420W_B,3.14201,3.03041,3.2848,3.48583,3.15216,3.04712,3.46071,3.32842,5.44351,5.23507,3.69616,3.49718,3.7464,3.85569,3.71544,3.80857,5.25228,4.64057,4.49089,4.11508,4.07178,4.10072,3.18784,3.30955,4.55654,4.23855,4.93512,4.8061
C1_12710C_A,21.6117,20.3634,15.2988,17.7602,11.5989,11.0097,12.0683,10.9391,4.52924,4.03281,13.9818,16.181,21.9659,19.4692,13.5849,14.521,5.16566,4.75157,4.56335,5.50798,6.58268,6.02587,10.8848,14.1354,11.2195,12.5227,8.24212,9.16254
C1_05910W_A,3.84727,3.79329,6.11856,6.29641,8.26663,7.88042,6.28335,5.7505,8.60223,8.42062,9.11766,8.57517,3.60215,2.99728,4.81068,3.8309,1.3103,1.80104,2.26721,2.21426,5.65989,4.96251,15.9915,14.6163,6.24742,6.76659,13.5715,13.6543
CR_10580W_A,26.9113,26.5338,25.5635,24.8373,28.1474,27.476,30.5741,29.4864,38.7913,36.8643,40.081,39.2507,28.1843,27.5379,33.6337,32.8566,24.8437,24.2167,27.5101,26.4757,31.6158,30.903,26.704,25.2285,39.3765,38.5463,27.0505,26.2215
CR_04060C_A,73.081,90.4944,29.9954,34.8634,149.065,136.919,185.417,162.04,127.269,155.181,70.873,51.0307,72.7636,54.3433,60.5868,64.2686,55.9224,47.8743,2.13631,2.36849,105.47,84.7524,120.993,81.7953,79.1244,91.8692,55.3539,20.3266
C4_05250W_B,0,0,0,0,0,0,0,0,4.08139,3.99523,0,0,3.05451,2.98446,0,0,2.32323,2.2646,3.74178,3.6544,0,0,4.83007,4.65347,0,0,5.55355,5.38334
C1_05090W_B,6.55385,6.4619,8.96192,10.033,8.1704,3.33105,4.65798,2.03408,8.76434,13.0277,9.69454,14.9607,7.80918,5.44011,7.24924,5.04916,7.0538,6.87579,11.2559,8.52442,3.77357,3.08141,9.891,9.17336,9.01956,9.36659,15.114,6.32803
C1_02510W_B,15.2823,15.0679,13.3241,13.6869,19.3645,17.4741,13.5317,13.2164,9.6561,9.45224,16.9365,16.5856,11.4957,11.232,17.8047,17.3933,16.0352,15.6305,18.984,18.5406,10.2124,9.98218,15.1059,14.5536,10.8923,10.6626,20.4551,19.8282
C1_05620C_B,1.46494,1.44438,3.65999,5.33122,3.14104,3.66393,5.59599,4.90949,3.54461,3.46978,9.57778,8.8682,2.80351,2.73921,1.80271,1.76106,5.30984,3.84195,3.92609,4.95812,4.27343,4.17709,4.5157,4.35059,6.03474,5.9075,4.29424,3.85447
C1_12520W_A,3.7201,4.0802,4.7897,5.0326,3.65851,3.02352,7.20606,6.34635,4.56759,5.02409,7.76829,7.60737,3.87935,3.53124,4.57057,4.06914,7.9673,6.30932,4.63477,4.73422,4.94711,4.33849,7.31639,5.0308,3.77901,2.97577,3.06499,2.79025
C3_06270C_B,3.8454,4.65119,9.97483,10.4724,6.48315,7.08102,5.23245,5.11055,11.3098,11.071,10.198,9.98677,5.76576,5.63352,8.69233,8.4915,9.10246,8.87274,5.46364,5.33604,9.76972,8.63213,13.6543,13.1551,18.4279,17.0595,6.24639,6.05494
C2_08170W_B,3.34256,3.29567,2.72649,2.64905,2.2748,2.22054,3.84947,3.75979,2.48605,2.43356,4.15435,4.06829,3.05119,2.98121,3.20083,3.12688,2.00085,1.95035,1.76307,1.72189,6.08206,5.94495,5.67408,5.46663,2.51211,2.45915,1.08016,1.04705
C3_07340W_A,68.965,67.9974,51.1844,49.7305,45.6958,44.6059,56.774,55.4513,108.288,106.002,107.982,106.524,56.6198,55.3212,78.9086,77.0855,23.9762,23.3712,27.3819,26.7424,89.3777,87.3628,137.889,132.847,110.019,107.699,65.6531,63.641
CR_01530C_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7_03870W_B,40.2692,39.7042,43.0913,44.188,59.6554,57.1144,63.1694,60.5131,51.9336,50.8372,59.7111,60.0511,26.8381,27.5284,49.7281,46.1551,31.7364,32.3365,44.4296,42.155,50.3137,46.4533,62.2564,61.5553,59.6127,59.8118,30.6555,30.6721
CR_10660W_A,26.7043,24.7181,30.1399,26.8441,26.0167,23.5156,20.919,18.4391,21.7893,20.5942,25.7414,24.5451,28.6712,26.9153,31.8324,29.0583,32.6461,30.0549,30.3641,29.1349,17.6005,15.4842,22.0093,21.2046,20.6484,19.6008,24.8912,22.5202
C4_01830C_B,9.27332,9.14322,6.25757,6.07982,7.22194,7.28795,13.592,13.2753,11.2598,11.022,14.6138,14.311,10.4204,9.90316,7.82257,7.64184,5.9994,5.54944,8.79488,8.58948,15.3295,14.9839,22.1525,21.3425,21.1041,20.9694,10.4223,10.3066
C5_02370C_B,1.14942,1.13329,1.01061,0.953916,0.941632,0.919173,1.00585,0,2.68591,2.6292,1.42857,1.39898,1.11751,1.14939,1.13848,1.03239,1.19805,1.22479,1.0717,1.08072,0,0,1.4134,1.36172,1.26687,1.24016,0.820698,0.813483
C5_01800C_B,1.89268,1.99246,1.56178,1.64075,1.39782,1.42512,1.32241,1.41207,2.41948,2.23354,1.64955,2.00393,1.651,1.69879,1.28305,1.36079,2.05462,2.00277,1.36195,1.77553,1.50708,1.4731,1.66461,2.1553,1.45102,1.96649,1.22735,1.25146
C1_13530W_A,11.5928,10.4692,6.35693,6.33659,6.94699,7.0217,7.96637,7.78077,8.22566,9.05895,6.7529,6.61301,8.39642,7.87706,5.60397,5.4745,8.83638,9.32596,4.66291,4.10451,8.73029,8.89047,8.27672,8.31938,12.8627,12.5915,3.72935,3.61505
CR_01490C_B,378.946,377.665,420.999,409.04,439.961,440.065,465.877,481.222,448.976,456.066,542.203,540.935,420.465,431.449,378.557,381.298,579.314,569.121,486.461,490.731,324.148,325.453,405.849,400.963,350.427,338.439,715.388,726.69
C2_10260C_A,36.6345,35.9878,31.997,30.6274,32.4932,31.135,33.7745,33.2483,48.9655,51.1098,29.7166,30.0972,42.6553,42.8299,46.0986,45.5848,16.9776,15.9124,12.5711,13.9907,29.2434,27.0215,45.9103,41.1092,28.2839,29.6455,17.9909,17.7616
C7_02970W_B,17.3594,16.6666,13.6735,14.6578,6.63672,4.33977,24.6963,22.3562,18.6432,20.2899,16.3865,12.1049,12.4108,11.0979,13.8406,12.0297,16.5511,13.1795,16.1741,16.0409,15.9556,16.5349,18.4713,18.6754,20.2747,19.7414,12.6302,11.5931
C2_10790C_A,24.2402,23.9001,22.3443,21.7096,20.5837,20.0928,23.5887,23.0391,26.8138,26.2477,25.3678,24.8423,16.1172,15.7475,30.5464,29.8407,25.8287,25.1769,33.9891,34.1093,27.1198,26.5085,29.3787,28.3045,20.1334,19.7089,34.4869,33.4299
C2_01110C_B,1.54728,1.5719,1.44021,1.45055,1.38813,2.59827,1.59176,2.64109,4.00467,5.6261,2.19642,1.94174,1.61568,1.56283,1.7424,1.65517,48.7267,44.6801,40.4708,47.6334,68.3282,63.6123,118.889,109.131,78.756,70.5356,41.0112,42.4569
C7_02640W_A,39.0032,39.2262,42.4336,41.6947,51.9779,50.5135,55.5272,54.9479,49.4532,47.0038,48.152,44.619,51.5164,50.3348,40.3417,39.4096,57.4229,55.6921,52.6351,50.6601,46.1827,46.5113,32.4572,31.2705,42.6808,42.0736,51.696,49.5351
C3_06660C_B,0,0,1.45704,1.41565,1.39742,1.36409,0,0,2.86819,2.80764,0,0,2.14655,2.09732,0,0,0,0,0,0,2.77799,2.71536,6.41272,6.17825,3.53715,3.46257,1.5841,1.53555
C2_06230W_A,12.6131,10.4694,22.8178,20.7095,18.1833,14.2599,15.1058,13.3206,16.1877,15.8459,14.5965,12.036,11.1775,10.9211,11.6623,9.42142,11.3748,11.0878,19.07,18.6252,10.2338,10.0031,9.76482,11.5784,19.2175,15.826,11.1377,10.7963
CR_08840C_A,26.2887,26.5399,21.3339,20.1647,12.1209,12.3746,24.6101,25.7618,22.3653,25.2874,24.8567,24.3418,20.6308,20.1576,28.7874,29.8873,15.9072,16.1858,16.4759,16.0911,23.5559,23.6865,40.3136,40.3688,25.8461,26.0079,25.2792,24.9685
C6_01560W_B,3.8807,3.8618,4.19598,1.32187,7.2965,10.7694,7.49183,5.01232,12.8143,12.4255,4.82149,5.93859,5.57422,6.18287,8.51141,10.5994,1.75632,1.82786,1.28395,1.33273,9.37831,7.61239,7.26557,8.8156,3.96291,5.85884,5.02668,5.10993
C5_04250W_A,0,0,0,0,0,0,0,0,3.26208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_10920W_B,4.82532,5.05222,3.41788,3.32079,3.39321,3.12403,8.84705,7.79565,4.11038,3.80101,6.98061,7.36771,3.28414,3.56401,4.59067,5.40184,3.87455,4.60727,8.43078,8.23388,5.4386,3.94951,3.4664,4.16789,2.05736,1.73738,5.46397,5.2965
CR_10010C_A,35.5989,34.3162,32.4485,30.4595,47.6266,44.091,40.7634,38.724,24.4289,22.8412,27.9521,26.8896,36.7226,34.6792,42.0777,39.6191,57.1185,53.9587,48.0006,45.7419,30.1914,28.257,17.351,15.2678,25.8173,25.2729,37.6844,35.0638
C2_05020W_B,36.8102,38.0303,42.0487,40.8543,29.4287,28.7268,41.0549,36.8777,33.7442,33.0318,39.1831,36.2277,36.1552,35.3259,26.8165,26.1969,52.5582,51.2318,29.0957,28.4162,26.349,25.755,35.3358,34.0438,26.0814,25.5315,30.7039,29.7629
C7_01910C_B,4.4609,4.39832,4.72319,4.58902,3.35759,3.2775,2.31397,2.26006,3.40702,3.33509,3.07211,3.00847,2.54981,2.49133,4.27175,4.17305,5.68421,5.54076,5.65682,5.52471,2.66036,2.60039,5.62883,5.42303,2.07635,2.03257,3.90068,3.78113
C2_08030W_B,18.3646,20.1432,28.501,32.2038,8.17278,19.0991,9.67932,17.691,11.65,20.1402,12.7312,14.9914,18.2991,19.734,12.851,16.2176,20.0544,24.8459,13.8886,19.743,15.0625,17.8394,20.1369,19.0727,25.7175,33.3631,14.0657,18.0096
C3_00570C_B,13.1541,12.1987,11.765,11.7809,15.0849,15.0624,15.2416,15.6013,18.6698,18.8031,25.5793,25.5252,14.3757,14.44,8.85321,7.91734,16.3269,17.1829,18.5897,18.1555,10.3712,10.5487,9.19965,9.33848,8.81813,8.6322,12.0967,12.3029
CR_09960C_A,5.93318,5.84993,7.11955,6.91732,6.65237,6.15034,4.99562,4.87923,5.16173,5.05276,5.14884,5.04217,4.4787,4.37597,5.49109,5.36422,4.15432,4.04947,4.63294,4.52475,3.81641,3.73037,5.98042,5.76176,4.98397,4.87888,5.12251,4.81871
C1_11050W_A,2.39638,1.74,0,1.58052,3.23537,2.89557,0,0,0,0,2.97838,2.91668,0,0,0,0,1.95772,1.90832,0,0,0,0,0,0,2.75091,2.6929,1.75731,1.70345
C1_10780C_A,115.493,113.873,111.162,106.482,105.111,104.071,117.67,114.928,152.159,148.947,126.634,126.081,122.646,119.833,136.65,133.492,58.3241,56.8522,54.7173,53.4394,164.568,160.858,250.869,239.63,181.38,177.556,62.0305,60.1294
C3_07950C_A,420.465,414.078,531.351,516.702,441.76,431.651,443.215,433.342,438.96,430.361,469.657,457.517,428.118,418.798,523.07,511.911,477.426,466.984,434.725,425.045,509.564,498.597,680.496,654.412,445.724,434.656,630.681,610.256
C2_00630C_A,9.05779,9.45426,10.3072,10.0145,8.94661,8.73322,10.4678,10.7094,16.1444,16.52,10.5976,10.3781,7.7004,7.52379,10.7076,9.96351,3.56853,3.47847,4.18256,4.08488,12.0348,11.7635,13.4393,14.239,7.95958,8.38846,4.87423,4.72484
C2_08880W_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_13860C_B,837.17,823.74,744.29,722.842,741.024,721.58,832.657,813.258,1172.29,1146.16,1215.89,1189.87,825.172,805.557,880.53,858.268,503.394,490.69,559.142,546.41,1112.14,1084.55,1064.11,1024.79,1190.1,1162.32,540.541,523.722
C1_02360C_A,2.00203,1.72255,1.84544,1.79302,1.0937,1.06761,0,0,1.70519,1.66919,0,0,1.40468,1.37246,1.67298,1.15729,1.30027,1.26746,1.45853,1.18105,1.33149,1.30148,1.56101,0,1.42014,1.39019,1.52407,1.28921
C2_04300C_A,12.1423,10.4048,12.7193,12.2155,19.0813,17.1383,17.171,16.69,18.6925,20.1045,19.0302,18.7117,15.8591,13.9075,16.0337,15.7404,14.6606,13.2174,18.6034,17.5537,5.37351,5.25237,9.45993,9.11405,8.60621,9.87437,4.96745,4.81521
C3_05730C_B,5.91515,6.2325,10.6924,10.3887,17.0753,16.668,13.1397,12.091,10.9515,9.62462,9.87497,9.17621,13.2223,12.5098,12.2743,11.6108,21.4263,20.8856,17.2924,15.7256,8.55147,8.78584,13.6119,12.6207,7.72246,7.55963,21.8127,21.4438
C1_02680C_B,4.04737,3.36408,2.44843,2.37888,4.37287,4.46913,2.31532,2.26138,3.61804,3.54166,8.68295,6.45241,3.47496,3.05804,2.72447,2.66153,2.73322,2.66424,3.73518,3.64795,4.89239,4.78209,3.3516,3.22906,3.04913,2.98484,2.16589,2.65278
C2_02420C_B,1.56078,1.26743,1.36454,1.3151,1.24222,1.21698,1.62131,1.64142,5.50622,4.55852,1.46022,1.42997,2.40706,2.05152,1.47863,1.37157,23.1725,21.261,29.7553,29.3577,15.3624,12.845,4.91072,4.2032,7.91967,7.77556,16.4179,14.5448
C3_02750W_B,0,0,0,0,0,0,0,0,0,0,2.94114,2.88021,0,0,2.26608,2.21372,0,0,0,0,2.30097,2.2491,6.81219,6.041,0,0,0.946925,0.917903
C2_09080C_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2_05450C_A,13.015,12.8324,10.2492,11.6563,13.1825,12.8681,10.4089,10.1664,4.87164,4.76879,11.4626,11.2252,3.64593,3.56231,12.4631,12.1752,12.3347,12.0234,7.16185,6.99459,16.0487,15.6869,11.6374,11.2119,8.41054,10.364,15.6817,16.6003
C1_08170C_B,11.813,11.8988,13.7054,13.5106,15.0376,13.9062,19.7118,16.1765,21.1375,18.1656,18.2174,19.3463,8.10332,7.91747,9.96095,11.0341,14.0019,10.4767,7.73744,9.18534,4.67704,9.59044,11.9549,13.1202,13.7744,16.7394,13.6254,11.2684
C2_03810C_B,15.281,7.85737,1.76939,1.67256,1.67315,7.15616,1.80589,1.6952,88.1833,99.977,2.39601,2.29146,24.8639,8.54768,1.82586,1.76074,3075.82,3079.15,3071.14,2957.51,1907.32,1935.56,898.038,812.903,1585.28,1532.22,2487.31,2421.31
C7_01790C_A,1314.28,1298.33,1255.74,1221.2,1419.34,1384.4,1378.18,1347.23,1017.56,998.632,954.426,936.961,1336.22,1304.93,1211.37,1180.43,1665.39,1623.36,1655.17,1615.91,1073.28,1047.75,471.656,455.179,983.767,963.025,1288.06,1247.65
CR_01920W_A,81.5908,86.8736,69.2623,63.162,113.802,111.246,127.354,127.374,105.215,107.663,105.249,100.994,87.5199,86.3114,79.9023,79.5361,52.447,52.2762,52.9342,51.7786,111.594,110.65,118.396,122.27,92.7055,81.0437,75.2567,67.9792
C5_03790W_A,83.7514,82.7141,105.618,102.618,86.739,84.5694,87.3242,85.2285,33.8102,33.0964,45.526,44.6853,108.451,105.851,107.456,104.987,150.664,146.902,146.652,143.216,59.825,58.4763,10.6482,10.2589,31.2691,30.6098,65.6349,63.6075
C1_09650W_B,19.5436,16.911,24.9266,22.5416,16.4318,15.5296,13.649,12.4662,15.2553,16.1002,23.7361,26.2987,24.3134,26.0676,25.6862,28.8406,12.9857,10.8872,11.246,9.71319,29.5823,24.4442,73.2464,66.6317,34.5183,32.9771,7.34183,6.37314
C2_06670C_B,5.85524,7.46709,3.63679,3.13153,4.32607,3.17282,4.20002,6.1863,12.8863,9.16462,11.1768,9.09422,5.95973,7.13135,6.16218,5.59386,5.31245,5.02566,12.9665,15.6564,4.80099,4.87615,17.274,21.1444,12.9241,12.9674,17.4074,16.5846
C3_01530C_A,3.63173,3.37619,7.42742,7.47716,3.89521,3.69495,4.38465,4.37018,2.1635,1.8652,1.56281,1.56756,4.4788,4.31065,5.79335,5.61634,5.44573,5.00384,5.42409,4.81253,7.85516,7.83475,45.0593,42.9988,5.24481,5.13422,12.249,12.4877
C2_07760W_B,2.21607,1.99809,2.44426,2.08251,2.08947,1.71027,1.66262,1.75308,3.36592,2.57787,2.46495,2.63696,1.99884,1.81725,1.93073,2.16581,6.39743,6.9305,5.69435,5.56136,17.3489,15.9366,16.3265,17.8258,24.4259,25.1435,10.0543,8.0729
C2_04300C_B,1.2765,1.27251,0,1.21334,1.13821,1.23946,1.29002,1.3409,4.14623,4.37756,1.56349,0,0,0,1.34172,1.23357,12.4587,13.2174,9.9128,10.2965,7.37347,7.20724,3.49654,3.36869,3.18099,1.66429,7.64635,7.412
C1_02260C_B,34.4855,32.3218,36.3209,31.5711,36.242,38.2004,38.0086,44.9757,41.5564,36.136,26.0163,24.1086,39.4741,36.7022,38.4182,29.1264,12.7278,18.8864,19.8059,21.0823,22.8207,13.4816,42.3582,37.9583,23.5615,26.4578,32.089,34.7554
C3_02300W_A,16.9348,16.5766,129.304,125.092,12.3214,11.9526,16.9972,15.829,1.3364,1.30916,0,1.15845,15.4748,14.873,166.94,162.615,4.45305,4.34067,26.0994,25.8596,29.4265,28.7476,1136.63,1091.27,32.5778,32.0199,346.114,337.395
C5_02050W_A,12.9702,12.924,13.6038,13.1784,14.089,13.8718,15.2241,15.2097,23.8521,23.3902,21.4895,21.1532,15.4855,15.4034,14.706,14.4678,11.3146,11.0847,13.0618,12.7567,19.9459,19.5432,26.3548,25.6215,13.0994,12.756,15.2771,15.3386
CR_03300C_B,2.07274,2.04366,1.91063,1.4114,0,0,0,0,0,0,3.46369,3.39194,0,0,0,0,0,0,2.02612,1.5045,0,0,1.98852,1.91581,2.37938,2.32921,0,0
C7_01100C_B,4.21292,4.37094,2.51664,1.1441,3.34671,3.66433,4.16686,2.93914,2.25731,2.57746,5.38402,2.38823,2.60841,2.68177,2.31896,1.62435,2.5255,3.02519,1.17279,1.02075,1.51274,2.62259,3.50013,2.57011,3.07888,2.78528,6.25565,6.07156
C4_04500C_B,10.7538,10.603,15.0504,13.9098,21.4738,20.9616,19.0118,18.5689,22.505,22.0299,15.3448,15.0269,16.8428,16.4565,14.8726,14.529,20.7626,20.2386,24.5217,24.7092,17.573,17.1768,12.5647,12.1053,16.9149,15.6635,19.0971,18.5118
C1_03350C_A,35.5734,36.7679,45.6566,48.2034,45.9747,34.5557,51.3706,57.7178,37.3447,33.8688,36.5871,43.1589,50.7933,47.849,45.6363,45.5685,107.53,92.3281,75.0454,91.6682,34.9488,32.08,15.9032,22.6548,22.9465,27.479,53.2994,44.9408
C6_04430W_B,2.94321,2.84582,8.88511,9.70647,11.9802,7.87708,6.65416,4.59673,6.33496,5.13085,6.24836,6.44004,10.0973,8.20364,11.2583,12.4215,1.25848,1.43417,1.43991,1.38066,6.03154,3.45654,47.338,43.855,5.0429,7.85198,7.34772,6.67508
C4_05040W_B,0,0,36.6025,35.5628,13.3141,23.6321,25.6356,25.0383,37.7451,53.5767,33.9511,33.3297,0,0,38.0245,37.1459,30.3784,29.6118,0,14.3775,0,0,19.003,18.3082,3.18784,16.9235,48.9923,56.5851
C3_07430W_A,14.9919,14.7816,16.5988,16.1273,17.5191,17.1012,14.0347,13.7077,15.6769,15.3459,28.3766,27.7888,19.8197,19.3652,18.9761,18.5377,9.27227,9.03826,6.99137,6.82809,27.1697,26.5571,28.0484,27.0228,26.9016,26.3344,7.74017,7.50294
C1_05750C_B,3.3234,3.37817,4.88669,4.41588,6.08846,5.27133,7.4755,7.4057,7.24656,7.09358,10.2685,10.2433,8.34337,8.23856,4.65551,5.19772,6.87953,6.00824,6.12256,6.22396,7.83076,8.04865,11.7841,11.4885,6.9602,7.27452,6.34462,6.27873
C5_00170W_B,26.5038,25.6404,23.9713,23.2904,19.4648,19.4307,28.5449,27.8799,22.7892,22.3081,27.3644,26.1908,28.3688,27.7182,27.2894,26.6589,15.5763,15.1832,17.6236,17.212,29.5988,28.9315,37.8461,37.0684,24.7022,24.1813,22.4534,21.3974
CR_09420C_A,6.24604,6.15841,6.2301,6.51228,5.06871,5.09529,6.64711,6.6485,10.2581,10.0416,6.70101,6.56219,5.91433,5.95092,5.6539,5.52327,2.75833,2.68872,2.26348,2.21062,9.48144,9.44747,9.82203,9.87841,7.7586,7.40298,4.88499,4.73527
C1_02810W_B,6.21767,5.79296,5.6315,4.26851,4.81012,6.69854,4.83691,4.99822,3.58826,3.84038,7.80975,6.47923,4.70228,4.59443,7.76346,7.17524,8.43805,7.70605,8.3152,8.61559,4.50856,3.58888,10.5038,9.46223,6.81355,7.17773,7.32227,6.30946
C5_02830W_B,2.33121,1.50317,5.37183,2.41173,3.0266,1.95617,2.6979,1.84873,5.31454,3.32102,4.75408,2.92504,8.48317,2.24728,6.65484,2.03955,2.93452,1.96723,2.61333,1.48051,3.68465,2.38468,5.33845,2.82416,4.60433,2.62014,2.50259,1.37276
C1_12850W_B,743.558,669.022,267.931,186.933,183.072,123.666,275.765,218.899,883.254,903.56,750.243,602.345,249.98,505.866,516.181,455.97,9.32073,9.0855,0,0,1141.71,983.655,191.15,416.71,1178,967.349,19.4058,10.4237
C7_03290C_B,3.62633,3.90477,3.28688,3.10573,2.33054,2.99261,3.8101,3.50242,3.59497,3.21458,3.28507,3.09573,2.35033,3.04874,3.42221,2.88376,2.21586,1.82824,2.5837,2.52336,4.57627,4.73959,3.21786,3.26238,2.49181,3.31073,1.57043,2.45261
C1_10220C_B,10.5655,9.99093,16.3511,15.2122,10.1356,7.83607,13.5337,16.1663,15.159,14.8389,12.5396,10.4944,18.6607,19.3463,5.42487,7.03831,12.68,11.4249,9.89246,7.65558,8.02889,7.93106,9.64275,9.8177,11.2854,9.44344,15.3626,10.7579
C2_09610W_A,14.4494,14.2467,25.8112,24.2347,9.46827,7.41449,19.7413,17.5037,16.4632,15.3266,18.968,18.7028,18.8841,17.5168,13.8367,13.4245,19.0098,18.53,4.85557,4.74217,12.2,9.97778,9.54492,7.59963,5.48472,6.12518,7.88531,8.15628
CR_00650W_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50137,1.46631,0,0,0,0,0,0,1.16924,1.13341
C1_04880C_B,123.25,122.611,28.4729,29.7141,32.8303,29.5337,40.4664,35.2757,97.018,93.5376,74.5926,92.564,126.894,98.4564,96.5542,83.7884,71.6434,100.615,23.0988,68.1435,60.4114,41.3558,36.7275,38.4727,35.8689,29.5135,125.753,116.97
C2_09730C_A,47.3377,46.6735,28.4192,27.6415,22.7555,22.1815,29.9173,29.2203,32.3503,31.5303,33.2373,32.5906,22.3473,21.7967,33.5765,32.8219,7.71399,7.51931,5.05863,4.9405,15.4337,16.3445,13.2364,12.7525,16.1697,13.3993,19.035,17.3339
