,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C302870CA,40.79501553,40.585792,42.95119732,57.01695658,66.31491872,33.69080106,30.5618014,52.74089936,31.78961163,55.76271612,30.60656064,40.21475347,52.09298003,27.68883348,55.33073436,53.0240541
CAALFM_C302880WA,1.004803338,1.41221364,1.1147639,0.671577816,1.307413513,1.086800034,1.225974841,1.267471547,0.313713273,1.285595761,0.539798248,1.285403079,0.415319886,0.278000336,0.593677407,1.178312313
CAALFM_C302890CA,4.555108466,4.912047444,4.524629946,3.693677988,2.760095193,1.086800034,3.327645998,3.168678867,2.614277273,3.455038607,3.940527207,4.28467693,4.093867451,2.946803563,5.283728925,3.907035565
CAALFM_C302900WA,10.65091538,9.148688364,9.705003363,8.529038263,7.336042487,6.437200203,6.129874207,11.19599866,5.437696727,10.36511582,7.179316693,7.957257156,8.069072078,4.225605109,10.44872237,9.798597132
CAALFM_C302910WA,4.823056023,6.569863456,7.34432687,6.782935941,5.810726722,11.11880035,14.62412846,11.05516849,12.33938873,15.02540045,6.369619322,8.50814419,8.484391964,7.506009076,13.29837392,14.63587926
CAALFM_C302920WA,67.18784987,68.58446243,82.82040032,73.67208641,73.28779078,114.3648036,129.8657635,182.8679782,129.2498684,206.2577699,81.56351521,100.4450692,100.6260753,79.78609647,194.7855573,181.5221127
CAALFM_C302930WA,1.473711563,2.271821943,1.1147639,1.813260103,1.743218017,2.006400063,1.225974841,1.830792234,2.405135091,2.972940197,1.457455269,0.979354727,1.483285308,2.502003025,2.255974148,2.542673939
NUO2,105.2364029,112.4244859,128.2634228,116.7873822,106.8447376,67.13080212,54.03046265,90.34255525,48.41641509,66.36888115,102.561667,123.5823246,98.31215024,68.66608303,99.67843669,84.09428931
MET13,130.7584077,92.7148955,97.31233102,82.26828246,69.07501391,75.65800239,72.77036379,90.97629102,53.22668527,78.82309008,86.96149769,74.92063661,42.59995406,53.76526501,51.35309573,57.73730335
KRE5,20.29702743,20.87620164,22.68872408,21.55764789,18.30378917,28.5912009,41.42043571,100.763988,38.48216145,68.21692506,32.65779398,46.21330118,47.16847281,48.98365923,92.19810135,84.83848656
