,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C102730WA,6.899649588,6.140059304,8.393516422,12.4241896,12.49306245,12.45640039,17.60149594,21.82867664,31.58046945,33.34514004,6.153700022,7.0391121,9.077706088,11.06441338,18.46336737,18.23283264
CAALFM_C102740CA,2.880436236,1.535014826,1.967230412,2.08189123,1.597949849,1.672000053,2.27681042,3.239093953,2.091421818,2.812240727,3.29276931,2.570806158,3.619216153,1.445601748,3.799535407,2.666706814
CAALFM_C102750CA,128.2798928,118.2575422,124.2633877,105.3705593,97.69284301,86.77680274,100.0920888,94.14496989,81.5654509,90.23275246,102.1298284,120.5830507,113.4416604,89.68290844,91.36695298,89.3656865
CAALFM_C102760WA,85.47527063,66.31264049,65.77107009,61.65084351,51.49756557,61.69680195,57.18296938,55.5575028,52.39011654,49.01333838,69.31009499,97.01732763,70.78237492,67.33168141,54.44021825,48.43483772
CAALFM_C102770WA,6.229780696,5.710255153,6.032839929,5.372622528,5.883360806,3.594800113,4.290911945,4.999471101,3.346274909,4.097836487,7.503195641,8.814192542,10.67965422,4.225605109,4.986890221,4.279134191
CAALFM_C102780WA,9.110216932,9.210088957,10.75419292,7.454513757,5.665458554,9.19600029,10.68349505,14.22384736,12.13024654,11.24896291,13.54893601,21.66822333,20.05401737,16.01281936,16.6229674,12.2172382
TIF34,97.33195002,101.0653762,95.14837757,85.08890928,92.02738446,78.24960247,91.86054347,70.62633119,89.09456945,73.84140651,101.4280907,127.4997435,109.2884615,84.56770225,60.4957278,66.48162105
CAALFM_C102800WA,8.105413594,10.00829667,8.721388158,9.200616079,11.40355119,23.65880075,24.86977535,13.80135684,27.71133909,19.04288721,4.912164053,7.589999133,6.407792532,8.784810622,6.055509555,12.40328751
RAD16,286.3689514,288.030182,330.8881552,353.3842468,333.0999093,371.3512117,542.9317154,329.401772,483.6412954,366.3144421,149.8479935,215.2744109,182.6814186,216.8958623,197.160267,280.2522813
LYS2,151.8592778,132.625281,133.1814989,109.2657107,95.80435683,104.8344033,129.9533332,111.2558358,108.6493634,103.4904587,198.2678963,227.2102966,170.9931304,155.0129874,135.5959198,146.3587926
CAALFM_C102830WA,26.0578999,18.84998206,17.50835066,15.17765864,13.80047596,12.37280039,12.7851662,16.54754519,13.90795509,15.5878486,21.5919299,20.62765894,20.41000584,16.01281936,13.53584489,13.82966557
PDE2,174.4338595,241.6113336,231.2151477,336.6619592,431.6643614,283.2368089,239.4153726,155.687755,271.8848363,235.344374,74.70807747,77.30781375,93.56563726,155.2353877,117.5481266,179.3515374
CAALFM_C102850WA,113.1408559,130.8446638,122.4273059,137.4048211,151.6599674,116.9564037,126.2754087,102.8060255,151.5235107,141.5762332,102.6156469,90.22305422,96.29488222,135.9977644,81.69001124,104.6837466
YKT6,22.90951611,22.59541824,19.80345281,20.75175451,21.3544207,20.48200065,16.1128122,22.74407275,14.74452382,18.23938986,27.6916501,25.76927125,33.1662595,23.4076283,34.67076059,27.03916677
YPT7,12.25860072,14.92034411,15.73784329,16.11786758,16.19740074,13.71040043,11.82190026,12.81554564,12.75767309,11.49001211,10.6880053,12.30314376,12.87491648,12.7324154,13.17963844,10.48077794
MIA40,125.5334304,101.0653762,105.5091244,100.870988,94.93274782,97.72840308,85.20525147,63.65523768,68.70320672,64.36013777,65.42354761,80.67434563,56.18684748,54.15446548,43.93212814,46.51232816
CAALFM_C102890CA,27.19667702,28.98107992,32.39372744,26.12437704,24.25978406,16.97080054,17.42635667,8.801885741,13.38509964,10.12406662,17.86732199,20.38282025,14.8921845,15.79041909,10.32998689,10.54279438
CAALFM_C102900CA,21.97169966,22.34981587,21.96740626,20.34880782,18.95749593,13.54320043,14.88683736,13.66052667,16.31309018,15.8288978,21.32203078,21.91306201,21.24064562,15.34561855,14.07015455,14.51184639
CAALFM_C102910CA,9.512138267,8.596083026,10.22959814,8.663353826,6.609701646,6.771600214,6.655291996,5.844452132,5.75141,6.106579864,6.477578971,6.243386384,5.873809821,9.396411361,7.717806295,7.690038255
CDC73,22.90951611,23.70062892,26.49203621,24.31111694,21.13651845,19.39520061,19.4404582,19.92746932,15.58109254,14.14155337,26.50409396,29.01338378,22.78326234,21.40602588,22.32227051,21.20962164
MST1,19.29222409,18.66578029,16.5903098,15.58060533,13.14676921,10.95160035,17.07607815,12.18180987,13.07138636,13.09700681,10.6880053,12.24193409,10.91697987,11.34241371,10.62682559,12.2172382
CAALFM_C102940CA,22.90951611,21.55160816,19.60672977,16.85660318,15.68896215,12.5400004,16.28795146,14.71675296,12.75767309,16.15029674,13.44097636,13.95580486,12.9935793,15.40121862,14.84193518,13.08546832
CAALFM_C102950WA,2.478514901,3.192830838,3.409866047,2.484837919,2.832729277,3.594800113,2.364380051,3.450339211,2.614277273,2.972940197,1.781334217,3.182902862,2.669913555,3.113603765,4.03700637,2.418641064
CAALFM_C102960CA,50.24016691,53.97112129,51.86930852,43.92118917,43.14464591,51.16320161,64.97666659,63.37357734,56.57296018,62.83349281,47.93408439,55.39475174,49.89771778,41.03284961,39.71701855,44.46578572
CAALFM_C102970WA,33.29248394,32.29671194,37.63967521,29.213635,28.25465869,64.79000204,61.91172949,54.50127651,51.34440563,55.60201665,31.52421766,35.99128621,37.0228013,38.97564713,35.32380573,32.99274477
GOR1,38.91938263,29.34948348,31.0822405,23.97532803,29.5620722,73.90240233,85.11768184,78.09033029,81.46087981,78.58204088,12.73923864,10.46685364,12.0442767,22.96282776,22.7378447,18.1708162
XOG1,21.56977832,33.09491965,33.3117683,41.83929794,47.86586137,41.71640132,45.44863876,40.48867441,45.59299563,41.46046328,33.46749135,23.68814246,14.47686461,31.97003866,29.09019296,27.03916677
HOL1,8.306374262,11.60471209,12.91814637,12.22271625,12.49306245,4.180000132,3.590354892,7.323168937,5.542267818,6.106579864,10.31014653,10.40564397,8.840380438,7.506009076,8.014644999,8.868350569
RPP1A,141.0743887,106.6528301,122.2961572,124.0404226,117.8124843,121.4708038,118.6568507,84.21644277,102.8979534,80.10868584,150.2798321,232.8415863,155.6262946,98.35651892,84.18345636,101.6449411
RPL13,762.0428516,738.7719355,700.1373034,576.4152395,538.3638308,506.866816,654.3202867,422.3496854,515.7446203,452.6100575,789.185038,945.2609405,774.3342624,520.9726299,360.5996572,426.5490574
RPS16A,352.1500766,366.0703357,340.9866047,294.8226612,284.2898049,272.8704086,339.0696132,241.1012542,281.6099478,238.3976639,409.1130918,407.5951954,390.519356,276.0543338,221.9166148,225.8638655
CAALFM_C103040WA,14.20122051,16.70096131,16.91818154,13.29724076,12.56569654,9.781200309,12.25974841,14.64633787,10.45710909,14.2219031,15.11435093,15.30241761,12.63759083,15.06761822,15.31687711,14.2017642
CAALFM_C103050WA,80.6522146,94.18850973,93.04999846,97.4459411,99.21815878,68.80280217,76.88613648,78.79448115,71.00377072,70.54706737,84.3704661,106.4436169,91.31104359,63.82887718,72.42864369,73.86157711
TSR2,12.72750895,14.1221364,11.80338247,11.55113843,14.01837822,11.20240035,16.72579962,10.13977237,14.11709727,13.25770628,14.52057286,20.38282025,16.90945252,9.896811966,12.70469652,12.46530395
ORC1,35.63702506,38.12976828,42.42660254,35.3921509,30.43368121,23.07360073,31.87534587,36.47501451,26.97934145,30.21150038,37.35403873,41.92862425,40.22669756,28.13363402,30.98996066,31.62838315
TEM1,0.803842671,0.982409489,0.918040859,1.074524506,0.72634084,2.006400063,1.313544473,1.689962062,1.463995273,1.848043906,1.619394743,0.918145057,0.889971185,3.502804235,2.612180592,2.418641064
RPS1,983.9034287,945.9375364,926.1065034,770.7698594,766.4348546,829.8972262,888.6566207,663.5917698,741.7227478,657.7429311,1084.076821,1181.040591,1127.830817,800.0849674,561.0251499,616.6914549
CAALFM_C103100WA,162.5101932,149.4490435,175.542527,125.9879983,106.4089331,79.2528025,132.5804221,153.8569628,127.7858731,154.5125405,239.2925632,343.0189931,298.9709868,173.9170103,192.8857896,234.856249
RPL6,558.9386035,530.3169221,504.4634518,432.6975868,432.8265067,401.8652127,464.7320345,306.9393596,375.5147874,321.3185905,552.5374862,596.3046093,503.4863651,364.1804403,262.7022527,301.2138371
CAALFM_C103120WA,105.8392849,109.7842604,121.4436907,128.8757829,139.3848072,167.9524053,166.9952873,115.9736465,159.889198,134.8268554,69.95785289,67.45305681,86.20854213,104.194526,121.4663975,122.1103655
GGA2,50.84304891,47.09425487,51.1479907,37.27256879,35.51806709,45.64560144,52.19150039,51.75508816,43.39700272,50.45963361,54.46564318,63.47442824,61.34868036,62.04967503,51.8874054,55.31866229
CAALFM_C103140WA,8.44034804,6.631264049,5.967265581,4.298098022,4.430679126,5.434000172,4.903899365,6.126112476,4.182843636,5.785180923,5.937780723,4.28467693,6.051804058,7.506009076,7.658438554,5.643495816
CAALFM_C103150CA,19.49318476,18.35877732,20.0657502,15.71492089,13.72784188,14.88080047,14.18628031,22.32158224,12.33938873,17.99834065,31.79411678,39.78628578,40.16736615,24.51962965,36.21432185,36.65171459
COQ4,15.33999763,13.44672988,14.62307939,13.63302966,13.14676921,12.7908004,13.92357141,15.28007365,13.59424182,11.89176079,19.05487814,21.79064267,22.48660528,19.12642313,15.91055452,17.05452032
CAALFM_C103170CA,17.61755186,13.07832632,13.83618723,15.04334308,16.56057116,16.30200051,10.33321652,13.5196965,11.60739109,14.30225284,17.11160445,12.05830507,18.98605195,17.84762158,21.4317544,20.34139151
CAALFM_C103180WA,3.215370682,3.868237362,3.934460823,4.566729149,5.520190386,7.60760024,5.516886786,4.576980585,5.019412363,3.856787282,3.940527207,4.162257589,4.390524513,6.060407328,6.174245036,5.829545129
ECM33,731.2288826,557.7629872,616.3332879,425.1087575,384.3069386,471.8384149,570.2534405,673.0978064,600.0289196,562.5284951,661.3068331,782.9328945,628.082331,517.4698257,443.0020813,403.3549098
ARO80,71.07308945,67.41785116,75.14820172,58.15863886,49.1006408,35.27920111,44.13509429,58.30369115,34.71760218,54.5574701,93.7629556,88.50918344,84.84391964,66.10847993,54.02464406,63.19474986
CDC12,23.98130634,19.4025874,23.2788932,23.03511909,23.53344322,26.25040083,25.65790204,47.31893774,27.92048127,29.00625435,25.20857816,32.93080269,35.06486469,38.64204672,46.06936681,34.10904065
BMH1,303.3166343,261.5665264,311.4781485,240.4248581,235.988139,246.6200078,302.8157858,329.1201116,255.9900305,286.9289039,289.2239011,427.733177,370.6433329,315.919582,336.0214125,301.8340015
ARX1,122.5190204,145.8878091,124.0666646,119.1379046,117.3766798,109.1816034,144.6650313,96.04617721,142.8441102,134.2644073,150.4957514,160.3693365,144.6499833,124.7665509,71.7162308,97.36580694
CAALFM_C103240WA,9.244190711,12.21871802,9.77057771,10.00650946,8.498187831,10.03200032,11.82190026,11.47765901,10.03882473,13.90050416,15.11435093,20.99491696,23.49523929,11.73161418,12.11101911,14.01571488
SPP1,31.68479859,26.27945382,28.45926662,24.57974806,22.15339563,19.39520061,19.09017967,22.25116715,16.62680345,17.43589251,20.94417201,23.99419081,21.00331997,16.51321997,20.42250281,15.62814226
CAALFM_C103260WA,30.61300837,34.32293151,37.90197259,27.53469046,24.33241815,21.31800067,27.75957319,30.20807186,24.99249073,27.39925965,23.64316324,33.29806071,30.08102605,21.85082642,28.79335425,28.52756127
CAALFM_C103270WA,49.6372849,49.12047444,64.45958315,45.33150258,39.87611213,92.54520292,81.43975731,48.72723946,70.89919963,63.15489175,34.97892644,33.1144317,24.74119894,58.93607126,64.29526321,68.59017992
CAALFM_C103280WA,58.54654117,69.32126955,67.41042877,66.88915047,61.30316692,50.32720159,60.07276722,57.10663469,50.612408,57.12866162,56.57085635,76.14483002,67.341153,56.87886877,52.06550862,53.14808697
NGG1,36.70881529,36.41055168,34.09866047,32.97447076,30.57894937,32.68760103,34.32729556,28.30686454,21.95992909,27.07786071,32.44187468,45.17273678,31.2676543,35.02804235,25.11255433,27.96941333
MAS1,124.3946533,118.5031446,130.6240993,132.5694609,138.1500278,101.4904032,92.91137904,55.20542737,81.87916418,53.75397275,40.16098962,43.70370469,31.92029984,32.19243892,28.91208974,31.75241602
CAALFM_C103310WA,80.11631949,79.39096681,86.09911768,84.08154256,85.99875549,99.31680313,87.65720115,53.86754073,72.04948163,65.48503406,57.97433179,58.82249328,56.30551031,69.44448397,66.43250188,64.24902929
EHD3,306.2640575,319.0988821,364.855667,291.196141,275.791617,170.3768054,150.7949055,176.2489601,144.935532,147.1203649,252.6255799,227.0878773,148.0912052,185.2038239,137.9706295,156.901587
CAALFM_C103330CA,58.81448872,61.58479482,63.21367056,53.92769862,48.88273855,33.27280105,32.13805477,39.08037269,31.057614,38.24647388,46.20672999,42.47951128,33.34425373,34.08284121,40.54816692,37.39591184
SEC62,50.30715379,49.48887799,52.39390329,41.16772012,37.40655327,38.45600121,44.04752466,52.5296541,32.62618036,43.30850719,41.29456594,45.84604315,40.64201745,37.53004538,45.41632166,35.41138584
RLI1,308.6755855,332.7298137,327.9373096,307.0453775,316.8298745,192.1128061,230.1329916,169.9116023,225.6644142,217.0246344,389.356476,388.4365686,268.0593209,226.2366735,146.4008486,172.9018279
CAALFM_C103360WA,98.40374024,97.25853938,99.14841274,107.2509772,88.6862166,70.72560223,102.9818867,89.42715913,98.19225436,95.3751355,100.7803328,140.5374033,120.9767498,70.44528518,87.86425628,100.776711
CAALFM_C103370WA,1191.562785,1121.727434,1115.878664,999.6435791,999.1544599,809.6660255,979.11605,783.2270008,854.0320994,824.7096805,1075.17015,1188.018493,947.5819864,815.9309866,642.062116,684.7855034
TPS2,369.5666678,524.7908687,597.3167273,509.4589312,513.0871696,538.802017,846.9734761,532.8309552,693.9337592,663.9298607,227.0391429,330.5322203,368.3887392,314.1959799,372.770044,478.5188321
EHT1,21.83772588,21.06040341,23.73791363,24.98269475,22.00812746,54.92520173,81.61489658,27.81395894,79.68317127,37.44297653,8.096973714,8.324515179,7.713083604,12.34321492,11.63607718,13.14748476
CAALFM_C103400WA,61.15902985,74.72452173,71.86948437,75.75397764,73.57832712,78.16600247,72.42008527,49.00889981,75.918612,69.02042241,71.41530815,111.2791808,104.897937,66.99808101,66.96681154,72.93133055
CAALFM_C103410WA,1.540698452,1.842017791,2.032804759,2.95494239,3.922240537,3.093200098,2.539519314,2.25328275,3.032561636,2.089093111,1.889293867,1.775080443,1.957936607,2.724403294,1.899767703,2.790739689
tN(GUU)3,0.334934446,0.368403558,0.262297388,0,0.072634084,0.167200005,0.262708895,0.140830172,0.731997636,0.080349735,0.161939474,0.122419341,0.059331412,0.333600403,0.237470963,0.124032875
CAALFM_C103430WA,11.45475805,12.64852217,15.01652547,9.67072055,8.716090083,9.112400288,13.92357141,16.75879045,10.14339582,15.66819833,19.21681761,29.01338378,23.49523929,15.67921896,21.78796085,23.6282627
CAALFM_C103440CA,35.83798573,34.69133507,31.54126093,27.13174377,21.42705479,23.07360073,31.43749772,22.95531801,28.96619218,25.87261469,30.44462116,41.1941082,35.5988474,22.07322669,29.38703166,26.17093664
CAALFM_C103450CA,163.1800621,157.0013164,153.7718438,109.4000262,82.94812396,118.2104037,181.4442765,116.0440616,160.9349089,158.3693278,114.4912083,135.2733717,114.3316316,87.68130602,99.5597012,124.3429573
CAALFM_C103460CA,10.65091538,8.596083026,10.75419292,9.603562769,9.224528671,8.443600266,10.94620394,10.42143272,11.29367782,12.6149084,8.798711436,8.875402213,10.5609914,11.39801378,11.220503,11.34900807
CAALFM_C103470CA,0.535895114,0.736807117,0.590169123,1.27599785,1.670583933,2.340800074,2.714658577,2.534943093,2.823419454,2.651541257,0.269899124,0.550887034,0.237325649,2.335202824,1.66229674,2.728723252
AGE1,36.77580217,43.53302047,44.72170469,47.21192046,54.1123926,84.18520266,77.58669353,60.76821916,78.42831818,70.3863679,53.76390546,56.3128968,46.57515868,77.00609311,67.32301799,70.32664017
CAALFM_C103490WA,62.63274141,49.61167918,53.11522111,36.46667541,32.10426514,36.19880114,26.35845909,39.15078778,20.49593382,18.40008933,76.54339151,76.14483002,39.51472062,46.92645674,24.10330274,16.6824217
YPT1,106.3751801,105.1792159,108.9845648,106.1092949,99.50869512,109.3488035,114.6286477,111.3966659,119.3156147,128.9613248,92.19754069,96.16039225,98.07482459,90.96170998,124.3754168,120.7460039
CAALFM_C103510CA,75.76217169,59.37437347,55.6070463,46.00308039,43.58045042,66.88000211,69.88056595,39.71410846,54.27239618,43.62990613,37.08413961,52.94636492,68.23112419,39.47604773,48.3847087,41.86109534
RPN3,228.8942004,181.2545507,179.6737109,151.7094286,147.810361,164.0232052,145.7158669,140.4076813,115.6556265,127.7560787,141.2112216,150.4533699,107.0931993,139.8341691,98.78792058,96.12547819
MED17,45.08217644,44.69963174,43.67251513,47.34623603,47.72059321,38.95760123,33.10132072,34.92588262,30.84847182,29.08660409,44.6952949,38.62330204,40.52335463,36.75164444,36.62989603,36.89978034
CAALFM_C103540CA,3.148383793,4.789246258,4.262332558,4.499571367,5.011751798,6.353600201,7.443418679,8.731470655,7.947402909,10.44546556,5.721861424,6.733063747,6.467123945,9.563211563,9.855044961,9.984646444
COQ6,32.15370682,34.20013033,36.19703957,38.34709329,42.63620732,27.75520088,43.25939797,29.15184557,42.45586291,30.53289932,29.63492379,49.09015569,42.12530276,34.75004202,33.24593481,31.81443246
SUA71,391.0694592,421.8834748,442.8235656,440.3535739,494.9286486,393.4216124,424.7127129,277.4354386,392.7690174,325.1753777,243.6109491,281.4420646,247.1746638,223.9014707,239.964408,255.3216734
tL(UAA)3,0,0,0.131148694,0,0,0,0.087569632,0,0.104571091,0,0,0,0.059331412,0,0.059367741,0.062016438
CAALFM_C103580WA,0,0.122801186,0,0.134315563,0,0,0.087569632,0.070415086,0,0,0,0,0,0,0,0
CAALFM_C103600WA,24.71816212,21.36740638,19.08213499,17.19239209,15.61632807,22.90640072,17.16364778,31.05305289,17.56794327,21.05163058,21.32203078,29.25822247,27.35178109,25.07563032,35.38317348,23.00809833
IMP1,5.425938026,4.789246258,4.721352988,3.895151333,3.704338285,3.344000106,3.677924524,5.562791788,2.614277273,5.383432248,7.233296518,8.752982872,8.543723377,4.225605109,6.47108374,6.015594442
CAALFM_C103620CA,83.26470328,83.50480654,78.49249342,91.73752966,103.3583016,100.0692032,63.83826138,66.5422562,66.92549818,59.86055261,108.4454679,101.5468432,96.23555081,72.39128753,67.85732765,65.05524298
CAALFM_C103630WA,41.86680575,41.69100268,42.03315646,38.41425107,39.87611213,29.34360093,29.33582656,33.37675073,34.19474673,34.06828766,54.89748178,47.1926559,41.8286457,38.80884692,41.85425721,47.87668978
HFL1,6.564715142,6.140059304,6.032839929,5.977042562,6.028628974,7.942000251,6.567722364,6.689433163,5.646838909,7.63322483,7.179316693,7.345160452,7.772415016,8.22880995,8.252115962,7.379956068
MRPL27,23.84733256,29.04248051,26.7543336,28.87784609,26.65670884,26.25040083,30.5618014,31.61637358,24.36506418,25.31016654,25.69439658,34.21620577,32.63227679,24.90883012,25.11255433,25.17867364
CAALFM_C103660WA,5.09100358,4.482243292,4.524629946,3.492204643,2.251656605,2.926000092,3.765494155,6.05569739,4.601128,4.097836487,5.128083352,6.243386384,7.179100893,5.726806924,4.215109592,5.891561567
DAO1,46.08697977,44.63823114,54.82015413,46.94328934,43.79835267,28.6748009,21.54212935,27.25063825,16.31309018,18.23938986,42.32018261,53.43604229,48.71108953,30.96923745,33.42403803,27.65933114
ENG1,30.14410014,23.39362595,23.2788932,16.11786758,14.16364639,17.05440054,17.60149594,21.68784647,19.65936509,26.75646177,32.06401591,32.56354467,30.49634594,27.85563368,35.44254122,37.39591184
CAALFM_C103690WA,23.84733256,16.94656368,19.27885803,12.7599785,8.933992335,12.6236004,15.93767294,18.58958269,13.90795509,18.31973959,22.77948605,26.99346466,25.45317589,19.18202319,24.45950918,21.20962164
tT(CGU)1,0.066986889,0.061400593,0,0.067157782,0,0.083600003,0,0,0.104571091,0.241049205,0.053979825,0.244838682,0.237325649,0.055600067,0,0.062016438
MSB1,52.78566869,65.94423693,80.06627775,82.33544024,87.88724167,45.98000145,56.56998196,82.38565054,53.12211418,56.56621347,39.35129225,38.92935039,52.44896851,49.15045943,58.35848914,44.71385147
CAALFM_C103720CA,33.89536594,33.40192262,46.03319163,43.71971582,58.10726722,33.18920105,30.64937103,44.07984379,32.10332491,31.1756972,24.18296149,32.99201236,23.31724505,33.30444027,39.77638629,32.99274477
MNS1,18.68934209,16.82376249,17.7050737,17.72965434,12.56569654,20.39840064,20.66643304,38.65788217,23.42392436,26.99751098,27.79960975,35.44039918,38.03143531,33.13764007,37.93598633,35.41138584
WAR1,138.1269655,128.5114412,133.4437962,97.11015219,92.89899347,104.3328033,163.8427806,68.93636912,165.4314658,92.32184557,127.5543259,114.217245,90.83639229,77.39529358,60.13952136,68.52816349
CAALFM_C103750WA,4.689082245,7.245269979,6.22956297,6.178515907,5.810726722,8.360000264,10.50835578,11.40724392,8.051974,9.240219531,16.84170532,21.54580399,28.06375804,13.28841607,17.27601255,16.49637239
STR2,31.14890348,31.31430245,30.16419964,30.82542175,30.86948571,49.40760156,30.8245103,31.47554341,35.658742,31.73814534,35.46474487,27.85040005,30.37768312,42.14485096,33.60214125,33.42685984
SKO1,61.82889874,66.12843871,72.06620741,62.65821023,62.53794635,56.01200177,53.50504486,56.47289891,47.89355963,50.29893414,51.76665194,48.17201063,50.0163806,63.49527677,48.02850225,52.5279226
HMG1,103.963652,82.70659883,79.67283166,72.46324634,57.3082923,75.07280237,85.20525147,81.11817899,82.82030399,91.67904769,143.1005154,145.2505479,133.9703291,119.3177443,126.4532878,108.7768315
CAALFM_C103790CA,187.429316,200.1659333,168.0670515,172.9312876,161.9013733,255.6488081,273.4799592,217.7938608,258.1860234,272.2249023,191.2505191,236.9426342,196.8022947,227.1818747,147.7663067,186.3593948
RPP1,3.952226463,5.894456932,3.475440394,7.051567068,5.520190386,15.29880048,7.093140153,9.013130999,12.44395982,13.01665708,8.150953539,5.570080009,7.950409253,14.06681701,12.52659329,13.51958338
ELA1,21.50279144,25.91105026,25.31169796,33.44457524,43.50781633,34.8612011,26.44602872,20.56120509,29.27990545,25.31016654,14.68251233,11.56862771,14.35820179,22.7404275,23.27215437,21.58172027
PDR16,377.4711207,416.9100268,399.4133479,678.2935941,1031.549261,1069.829234,1076.58105,537.4783509,1186.254455,745.0027434,24.99265886,22.34152971,24.20721623,59.77007227,36.51116055,49.92323222
CAALFM_C103830CA,19.2252372,20.50779808,20.32804759,26.9974282,34.50118991,26.50120084,28.54769988,19.22331846,33.358178,25.14946707,30.71452029,27.66677103,31.97963125,25.85403126,27.90283814,25.73682158
CAALFM_C103840WA,0.267947557,0.368403558,0.262297388,0.671577816,2.179022521,1.337600042,1.050835578,0.915396117,3.241703818,1.285595761,0.647757897,0.244838682,0.889971185,1.056401277,1.068619333,1.550410939
BNI4,142.4141265,136.9847231,131.1486941,141.0984991,147.3745565,158.589205,155.6112352,180.4034501,171.392018,142.54043,156.3255725,145.985064,165.4159776,197.2134385,161.1240483,149.0875159
CAALFM_C103870CA,3.215370682,5.710255153,7.737772952,9.200616079,12.63833062,33.69080106,17.16364778,20.63162018,28.96619218,16.9537941,12.41535969,8.56935386,15.18884156,47.92725795,26.53738011,23.19414764
CAALFM_C103880CA,0.066986889,0.122801186,0.065574347,0.067157782,0.217902252,0.250800008,0.262708895,0.281660344,0.418284364,0.241049205,0,0,0.059331412,0.111200135,0.059367741,0.310082188
CAALFM_C103890WA,0.133973778,0.184201779,0.065574347,0.134315563,0.145268168,0.585200019,1.313544473,0.844981031,1.150282,1.285595761,0.161939474,0.122419341,0.118662825,1.167601412,0.712412889,0.868230126
SEN15,2.009606676,1.289412454,1.377061288,2.149049011,1.670583933,4.76520015,2.189240788,2.675773265,3.137132727,3.213989402,4.048486857,1.34661275,3.619216153,5.504406656,4.986890221,5.271397191
CAALFM_C103910CA,39.7232253,33.64752499,35.21342437,40.1603534,39.07713721,48.82240154,28.8979784,30.63056238,28.86162109,23.78352157,30.06676239,25.64685191,24.97852459,33.13764007,27.13105751,22.26390108
CAALFM_C103920CA,6.095806918,5.833056339,7.34432687,5.574095873,5.084385882,6.604400208,3.064937103,5.492376702,4.705699091,5.865530659,8.96065091,6.365805725,7.891077841,11.23121358,11.33923848,9.984646444
CAALFM_C103930WA,7.301570924,5.464652781,6.032839929,7.790302665,5.302288134,6.353600201,4.290911945,6.900678421,7.006263091,6.267279334,10.31014653,6.610644407,9.730351623,13.3996162,10.74556107,11.59707382
CAALFM_C103940WA,51.98182602,43.47161988,41.37741299,50.43549398,63.26428719,38.53960122,20.75400267,32.88384513,27.18848363,22.49792581,70.17377219,48.53926865,70.48571786,59.65887213,45.23821844,38.45019128
CAALFM_C103950CA,1.473711563,1.473614233,1.1147639,1.544628977,1.888486185,1.922800061,1.401114104,1.126641375,1.359424182,2.089093111,3.130829836,1.591451431,2.729244968,3.113603765,3.26522574,1.922509564
CAALFM_C103960CA,53.3885507,41.99800564,50.75454462,46.60750043,46.77635011,46.14720146,27.14658577,54.85335194,30.43018745,35.67528236,53.87186511,39.35781809,41.88797711,51.59686239,40.72627014,35.41138584
SPC19,3.34934446,2.578824908,2.426250841,2.619153482,4.14014279,6.771600214,2.627088946,1.760377148,2.509706182,2.571191522,3.022870187,1.46903209,1.77994237,5.393206521,2.790283814,2.604690377
CAALFM_C103990WA,39.99117286,28.55127577,26.36088751,31.09405288,37.04338285,75.49080238,22.94324346,26.89856282,20.80964709,30.61324905,23.37326412,13.28249848,13.23090495,43.53485264,34.78949607,20.46542439
KTR4,15.80890585,11.91171505,13.96733592,13.29724076,13.58257371,34.19240108,10.07050762,16.82920554,14.84909491,15.90924754,27.15185185,18.36290113,22.72393093,39.14244733,42.32919914,35.28735296
CAALFM_C104010CA,67.32182365,67.66345353,91.21391674,112.0191797,142.2901706,127.406404,80.564061,20.06829949,86.37572109,30.37219985,13.27903689,23.01483608,15.01084732,16.06841943,8.96452885,8.310202631
