,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
orf19.4157,331,310,1136,971,342,411,786,817
orf19.4159,84,88,422,341,115,162,211,223
orf19.416,23,23,24,20,29,28,26,30
orf19.4160,33,29,146,123,32,51,74,91
orf19.4161,237,199,477,479,289,348,354,353
orf19.4162,221,263,238,200,302,352,131,172
orf19.4163,963,1116,1223,1095,1266,1200,698,796
orf19.4164,752,758,828,926,848,886,737,708
orf19.4166,626,751,1506,1312,487,436,1015,1371
orf19.4167,25,35,83,82,32,30,50,60
orf19.4168,114,113,208,200,77,106,145,162
orf19.4169,4,11,20,21,23,19,5,4
orf19.417,70,72,407,359,85,98,176,277
orf19.4170,35,75,211,180,57,70,268,307
orf19.4171,393,531,803,740,514,609,490,570
orf19.4172,223,385,995,1111,337,426,465,591
orf19.4173,121,99,382,369,73,69,274,303
orf19.4174,933,766,1755,1577,612,774,876,1286
orf19.4175,515,488,1937,1638,356,314,1046,1222
orf19.4176,276,345,1149,939,609,649,577,643
orf19.4177,548,1353,5204,5491,1456,1479,1951,3394
orf19.4179,1,3,28,28,0,1,13,17
orf19.418,2568,2340,3159,2642,2422,2543,1654,2200
orf19.4180,968,768,955,1075,984,957,606,539
orf19.4181,495,319,273,340,431,423,316,242
orf19.4182,381,326,734,726,347,399,431,568
orf19.4183,1758,1788,2583,2429,1108,1087,1065,1399
orf19.4184,1411,1571,919,787,1591,1578,471,611
orf19.4185,396,450,237,271,260,304,171,157
orf19.4186,2372,2579,1927,1887,2570,2717,1516,1490
orf19.4187,1017,811,987,966,892,935,571,578
orf19.4188,482,587,1599,1352,781,864,863,1037
orf19.4189,9,4,16,25,3,3,32,33
orf19.419,4590,3795,3768,3518,4188,4228,2920,4725
orf19.4190,125,126,778,637,160,200,338,370
orf19.4191,91,86,258,275,97,64,120,152
orf19.4191.1,1126,1211,1618,1494,1053,1066,1194,1279
orf19.4192,289,455,521,518,695,780,527,541
orf19.4192.1,470,401,246,281,347,331,158,149
orf19.4193,685,652,1042,897,885,1151,633,678
orf19.4193.1,4274,4958,3867,4564,6465,6454,2475,2682
orf19.4194,235,275,295,302,341,350,240,314
orf19.4195,46,43,89,94,61,63,78,102
orf19.4195.1,61,59,359,406,73,67,635,664
orf19.4196,2,0,5,13,0,1,16,15
orf19.4197,699,584,1694,1516,621,713,913,1147
orf19.4199,833,652,1522,1508,532,533,966,1299
orf19.420,0,0,0,0,0,0,0,1
orf19.4200,1,1,15,14,0,0,13,24
orf19.4201,1401,1261,1604,1373,1213,1320,892,1102
orf19.4203,1902,1958,454,459,1844,1968,280,309
orf19.4204,469,365,1307,1339,793,811,1055,1160
orf19.4205.1,257,204,266,272,252,290,144,172
orf19.4206,294,391,411,343,394,435,233,271
orf19.4207,77,75,92,105,67,82,86,94
orf19.4208,495,544,1004,902,608,652,700,771
orf19.4209,376,427,265,223,415,429,130,125
orf19.4210,230,213,851,710,199,194,500,566
orf19.4211,448,494,1339,1057,249,281,290,630
orf19.4212,1885,3228,1806,1475,2,5,130,229
orf19.4213,319,426,284,232,302,346,56,102
orf19.4214,0,0,4,0,0,0,2,1
orf19.4215,844,1149,14791,12612,1900,2140,6158,7857
orf19.4216,45778,41164,4234,4287,29138,26840,1247,1720
orf19.4217,0,2,1,0,1,0,3,2
orf19.4219,156,254,427,479,269,294,232,338
orf19.422,378,496,423,387,395,411,176,245
orf19.4220,2980,2343,2127,2207,2108,1909,1341,1237
orf19.4221,881,806,620,658,1074,1030,380,477
orf19.4222,175,166,277,231,201,201,195,297
orf19.4223,1181,1703,3414,3586,2383,2370,1577,2081
orf19.4225,893,1123,1554,1489,1286,1190,1195,1610
orf19.4225.1,2714,2047,4736,4520,2531,2651,4832,4541
orf19.4227,84,67,161,137,101,77,121,139
orf19.4228,891,935,1287,1209,1124,1111,626,719
orf19.4229,426,366,1042,923,301,355,820,828
orf19.423,340,249,572,574,335,336,372,413
orf19.4230,4234,3833,4045,3910,3652,3715,2228,2797
orf19.4231,51,49,55,38,81,71,52,41
orf19.4232,471,495,1217,1083,524,583,988,1127
orf19.4233,1521,2536,3126,3311,3091,3339,1492,2217
orf19.4234,242,241,269,272,227,194,147,196
orf19.4235,287,271,372,357,338,375,229,405
orf19.4236,1317,1316,1056,1076,2365,2611,752,790
orf19.4239,392,418,250,227,460,492,203,233
orf19.424,2047,1806,1008,975,2099,1928,349,438
orf19.4240,751,816,624,610,770,813,372,401
orf19.4241,1386,1415,1115,1050,1506,1387,699,701
orf19.4242,637,824,1306,1134,1018,1037,1079,1396
orf19.4243,86,89,181,140,133,131,106,130
orf19.4244,30,29,43,34,35,66,24,28
orf19.4245,523,483,588,615,453,497,543,660
orf19.4246,9577,8272,14639,14675,11748,11213,15927,19403
orf19.4247,1198,1131,1700,1609,1096,1040,522,693
orf19.4248,2621,2442,4277,4050,2288,2339,1285,1540
orf19.425,176,128,334,334,97,82,180,224
orf19.4250,130,138,242,280,130,136,135,120
orf19.4251,6,2,79,81,9,7,115,126
orf19.4252,83,160,338,375,129,134,206,246
orf19.4253,628,769,476,447,674,672,328,341
orf19.4255,1533,2450,7843,8301,2261,2482,4704,4067
orf19.4257,507,1067,3239,3115,1802,1551,4391,5292
orf19.4258,6742,2928,3468,5206,3211,4512,1784,1281
orf19.426,864,926,1312,1225,1168,1075,816,811
orf19.4261,650,850,824,796,1335,1498,466,459
orf19.4262,1538,1781,842,737,1281,1492,373,557
orf19.4263,680,797,275,310,752,796,132,234
orf19.4264,1843,1285,300,365,1601,1813,238,189
orf19.4265,377,366,662,712,582,671,1004,790
orf19.4266,112,129,57,82,69,73,39,45
orf19.4268,134,174,392,401,227,285,297,377
orf19.4269,1596,1541,1440,1326,1237,1372,617,847
orf19.427,631,603,1345,1177,842,770,777,990
orf19.4270,1408,804,1597,2327,675,923,385,341
orf19.4271,1252,1122,1493,1373,849,994,972,986
orf19.4273,42,41,197,250,40,51,99,120
orf19.4274,1669,649,6616,6128,505,657,7574,10104
orf19.4275,791,792,560,481,872,1030,336,365
orf19.4278,597,615,1482,1215,647,663,1211,1476
orf19.4279,2550,3178,571,529,2125,2591,614,851
orf19.428,2481,2187,3081,2772,1808,1871,1504,2097
orf19.4280,1813,1870,442,334,2242,2214,178,224
orf19.4282,2869,4684,1951,1734,4958,5675,841,1232
orf19.4283,455,546,367,374,879,990,302,301
orf19.4284,214,227,209,165,344,347,132,152
orf19.4286,156,96,771,891,120,141,466,696
orf19.4287,2053,2070,1452,1241,1484,1686,767,995
orf19.4288,801,714,665,718,770,913,539,654
orf19.429,455,528,939,814,611,683,494,610
orf19.4290,1154,1070,1938,1887,1304,1387,754,954
orf19.4292,487,414,887,941,367,334,659,708
orf19.4293,266,279,742,702,230,208,298,352
orf19.4294,297,197,704,701,204,266,417,449
orf19.4295,736,825,629,611,1056,1102,402,478
orf19.4297,733,741,1146,1113,730,751,669,753
orf19.4299,295,231,964,900,262,303,453,529
orf19.430,194,182,3643,3628,244,202,3559,2910
orf19.4301,300,420,490,541,585,574,285,313
orf19.4304,127,166,791,922,1419,1637,1038,1135
orf19.4305,2,1,10,7,3,10,6,15
orf19.4305.1,194,195,229,205,208,200,136,170
orf19.4306,439,479,771,757,532,588,483,467
orf19.4307,737,624,1161,1221,528,563,671,887
orf19.4308,412,745,898,824,1043,1184,640,724
orf19.4309,11562,11536,11052,9690,14746,15449,9605,11472
orf19.431,473,342,16250,13551,299,280,13890,14315
orf19.4310,0,0,39,19,0,1,30,23
orf19.4311,2084,1300,7165,8467,2626,2727,4002,3635
orf19.4312,412,493,561,465,494,572,347,423
orf19.4315,715,663,287,299,628,694,213,264
orf19.4316,234,308,373,367,452,450,286,271
orf19.4317,11903,9765,2258,2143,6361,6519,1103,1131
orf19.4318,5309,5361,2071,1919,3491,3641,537,659
orf19.432,243,204,554,600,284,338,348,375
orf19.4320,7,5,6,1,5,3,1,0
orf19.4321,8,8,6,3,7,9,5,2
orf19.4322,522,604,1083,1016,382,449,688,1010
orf19.4323,278,276,343,378,223,208,290,253
orf19.4324,81,57,204,195,47,49,123,148
orf19.4325,385,470,468,518,651,658,391,433
orf19.4326,237,311,210,204,304,334,168,169
orf19.4328,620,580,3328,2901,696,935,1131,1352
orf19.433,321,402,413,330,539,568,268,277
orf19.4330,66,113,273,219,90,60,150,151
orf19.4332,193,252,434,426,199,256,285,321
orf19.4334,22,18,65,53,14,11,22,21
orf19.4335,823,950,5404,5844,692,894,2782,3910
orf19.4336,5852,7654,3311,3816,10492,10767,1924,2623
orf19.4337,415,258,3270,3023,306,288,880,1109
orf19.4339,910,778,1572,1388,620,674,1012,1164
orf19.434,4568,5417,1736,1569,7197,7432,3488,3583
orf19.4340,295,277,267,238,358,453,205,210
orf19.4340.1,100,98,140,192,88,93,143,140
orf19.4341,254,254,360,363,386,657,263,236
orf19.4342,418,309,3604,3808,455,619,1932,2475
orf19.4346,2189,2115,2455,2264,2037,2016,1305,1325
orf19.4347,3971,4234,8030,6247,3111,3529,4376,5929
orf19.4348,871,876,773,645,816,866,448,485
orf19.4349,476,640,811,723,821,810,895,1014
orf19.4353,688,623,600,634,513,550,421,604
orf19.4354,229,351,631,656,396,483,625,690
orf19.4355,15,20,72,82,11,13,80,80
orf19.4356,308,278,440,470,343,289,442,551
orf19.4357,974,923,1955,1717,1212,1267,1985,2305
orf19.4358,934,546,2016,1617,360,383,1946,2176
orf19.4361,61,65,45,17,25,40,57,41
orf19.4362,992,876,1986,1934,765,906,1201,1329
orf19.4363,416,408,859,725,225,211,349,546
orf19.4365,52,55,151,138,49,73,129,153
orf19.4366,3,5,16,12,5,6,25,7
orf19.4367,301,372,830,820,793,799,894,843
orf19.4368,1254,1678,1089,957,1618,1716,908,1041
orf19.4369,1106,1184,1012,994,1361,1282,641,792
orf19.437,2861,3541,3865,3823,8463,8764,3002,4001
orf19.4370,1487,1022,2873,2498,319,446,365,586
orf19.4371,24536,21407,12025,11673,28166,27196,8974,8531
orf19.4372,1060,779,3328,3078,854,883,3304,4579
orf19.4373,134,151,360,409,119,162,237,269
orf19.4374,210,203,220,209,398,382,172,203
orf19.4375,706,696,522,445,1161,1403,348,468
orf19.4375.1,6385,6781,3698,3779,6715,6713,2007,2339
orf19.4376,683,590,182,211,1119,1087,279,340
orf19.4377,659,759,574,549,460,486,402,381
orf19.4378,308,326,360,389,322,372,225,280
orf19.4379,3280,3452,2841,2085,2646,2729,1111,1313
orf19.438,1015,1098,545,543,1063,1121,250,367
orf19.4380.1,2299,2405,1946,1839,1962,2001,781,1148
orf19.4381,4866,5900,1855,1624,6316,6962,1518,1716
orf19.4382,1087,931,758,867,1307,1337,675,608
orf19.4383,46,35,43,31,30,37,36,36
orf19.4384,899,695,662,276,340,381,82,161
orf19.4384.1,370,282,324,242,136,104,54,85
orf19.4388,966,1244,855,843,947,1066,530,708
orf19.439,335,357,1202,1118,498,566,611,544
orf19.4390,1662,2653,813,708,2058,2563,542,722
orf19.4391,40,44,111,107,90,81,184,200
orf19.4392,253,279,489,482,364,410,422,450
orf19.4393,2454,905,193778,189404,1264,1041,174547,155765
orf19.4394,25,16,90,86,14,17,100,111
orf19.4395,2413,2772,2010,1895,3360,3543,1553,1763
orf19.4396,5867,6429,5597,5549,8537,8321,3545,3662
orf19.4398,144,151,270,245,78,99,136,200
orf19.4399,261,287,869,813,237,286,527,718
orf19.440,672,711,879,742,719,731,206,229
orf19.4400,363,434,310,330,507,487,208,238
orf19.4401,122,138,272,244,115,138,141,173
orf19.4403,1138,1195,838,670,1196,1220,512,595
orf19.4404,442,472,575,504,393,426,418,600
orf19.4405,351,394,517,482,283,334,593,645
orf19.4406,923,1073,601,607,1389,1399,452,393
orf19.4407,4476,2970,1381,1709,2371,3652,737,624
orf19.4409,246,220,604,497,148,218,262,382
orf19.441,4285,4192,6434,6235,3693,3890,3679,4902
orf19.4410,494,479,507,441,546,617,231,347
orf19.4411,485,505,592,572,449,421,272,369
orf19.4412,825,870,990,861,823,887,721,845
orf19.4413,7995,5953,8102,9076,6583,6222,7232,6398
orf19.4414,150,135,352,302,162,152,253,319
orf19.4415,151,185,592,550,194,183,449,543
orf19.4416,3516,3446,3422,2360,2684,2960,1681,2020
orf19.4418,169,172,451,443,168,166,278,341
orf19.4418.1,88,83,148,135,92,85,132,123
orf19.442,2,0,1,2,0,2,0,0
orf19.4420,480,486,812,818,576,553,665,740
orf19.4423,2050,2074,1555,1275,1957,2053,1169,1270
orf19.4424,5,2,97,101,5,6,47,48
orf19.4426,233,219,648,618,350,349,424,518
orf19.4427,7088,6404,4720,5065,5771,5399,4241,3918
orf19.4428,232,171,677,573,277,282,535,814
orf19.443,92,82,121,116,91,60,92,97
orf19.4430,1327,1355,1991,1866,1041,1116,1125,1363
orf19.4432,2469,1983,2572,2347,2302,1999,1486,2226
orf19.4433,212,285,442,473,303,363,694,715
orf19.4435,856,699,2499,2178,1300,1381,1701,1945
orf19.4436,2546,2098,2442,2308,1675,1610,2803,3334
orf19.4437,1021,1426,1399,1283,1810,1967,1110,1320
orf19.4438,592,837,118,101,1448,1660,53,63
orf19.4439,85,97,55,87,146,119,43,76
orf19.4439.1,166,149,129,110,162,161,49,86
orf19.444,10,15,18,19,23,19,17,24
orf19.4440,1096,1122,1189,1106,1524,1556,869,921
orf19.4441,518,568,450,447,630,637,397,428
orf19.4442,2030,2021,2145,1987,1471,1526,1581,1665
orf19.4443,388,439,554,495,623,629,406,390
orf19.4444,1743,1584,655,626,1426,1683,372,441
orf19.4445,1615,1199,7246,7018,6938,7653,32802,36441
orf19.4446,1018,996,1445,1367,884,994,1079,1352
orf19.4447,58,116,341,324,233,250,241,328
orf19.4448,1502,1432,1594,1533,1615,1561,815,1052
orf19.4449,5831,4745,4118,3830,4218,4131,2745,2768
orf19.445,361,347,689,648,563,604,251,360
orf19.4450,437,252,5070,5703,155,147,8053,6582
orf19.4450.1,35370,18866,61869,69050,6126,5349,86227,62225
orf19.4450.2,276,168,1166,1282,90,78,1457,1186
orf19.4451,1501,1547,7028,6185,1229,1213,6441,7225
orf19.4455,397,496,2147,1896,495,496,2679,3542
orf19.4456,14956,22656,2495,2238,39326,39855,3442,4131
orf19.4457,891,993,1154,1132,877,775,728,921
orf19.4459,106,170,6595,6379,36,48,9677,6501
orf19.446,966,1134,799,675,866,950,323,373
orf19.446.1,441,387,742,828,504,507,590,431
orf19.446.2,409,299,616,686,479,405,638,500
orf19.4461,0,0,3,1,0,0,3,7
orf19.4463,2,3,11,7,4,5,13,7
orf19.4464,93,84,48,59,65,58,28,32
orf19.4465,215,232,400,440,276,251,231,290
orf19.4466,172,217,136,109,163,166,65,89
orf19.4467,321,361,382,428,355,446,360,379
orf19.4468,2815,2623,4939,4893,3692,3839,5436,4749
orf19.4470,69,80,86,75,53,46,43,74
orf19.4471,718,831,459,472,1045,1256,277,388
orf19.4472,11,10,10,19,13,8,19,13
orf19.4473,190,155,309,316,179,181,172,176
orf19.4474,357,368,627,787,169,211,411,459
orf19.4475,1080,1304,471,435,1177,1395,382,421
orf19.4476,446,316,4852,5188,1116,1114,639,1763
orf19.4477,8348,8985,5622,5966,14755,14230,1018,2229
orf19.4478,378,357,433,377,380,448,219,218
orf19.4479,98,130,424,364,88,140,213,322
orf19.448,2764,2664,4660,4298,2616,2533,4474,5349
orf19.4481,0,0,0,0,0,0,2,3
orf19.4482,281,341,251,277,749,709,832,846
orf19.4488,59359,27999,18839,31133,18553,25537,17012,10009
orf19.449,7678,3343,59636,54926,5056,4532,63619,68946
orf19.4490,5661,6321,3720,4486,8099,7704,2164,2388
orf19.4490.2,6256,5062,6321,6726,5327,5157,5076,4493
orf19.4491,2841,2753,1841,1956,2706,2867,889,916
orf19.4492,90,93,220,235,153,153,125,175
orf19.4494,289,327,266,270,404,432,188,208
orf19.4495,4363,3821,8173,7192,5108,5436,7190,7514
orf19.4496,212,168,630,690,174,177,315,399
orf19.4497,589,309,482,749,288,467,340,186
orf19.4498,87,88,60,71,68,85,44,53
orf19.4499,1134,1129,454,422,975,1074,213,231
orf19.450,25,17,39,49,23,23,84,91
orf19.4502,3508,4381,6292,5457,5212,5361,5246,6028
orf19.4503,1773,2244,1273,1180,2005,2037,547,692
orf19.4504,861,611,1496,1340,913,910,697,838
orf19.4505,285,176,2194,2408,182,180,75,110
orf19.4506,1645,3161,13512,14907,3001,3212,5500,9390
orf19.4507,77,82,214,206,151,187,453,208
orf19.4508,11,16,44,50,63,84,81,58
orf19.4509,5,4,10,14,19,29,28,18
orf19.451,1768,2141,3991,3934,2021,2071,3459,4854
orf19.4510,240,297,222,207,258,241,177,206
orf19.4511,651,785,418,283,817,827,280,304
orf19.4513,3575,4815,11396,10678,4016,3994,5699,7856
orf19.4515,14,31,76,41,13,20,39,63
orf19.4516,400,489,611,452,541,628,305,432
orf19.4517,350,403,788,733,716,850,499,450
orf19.4518,484,554,687,629,584,601,272,325
orf19.4519,168,184,223,180,167,183,140,219
orf19.4520,75,108,59,71,82,76,41,56
orf19.4521,1448,1452,865,730,1194,1349,452,570
orf19.4522,132,140,416,370,78,92,187,186
orf19.4523,165,155,216,300,203,171,113,141
orf19.4524,369,313,552,568,327,352,463,492
orf19.4525,1926,1577,1438,1542,1064,990,750,900
orf19.4526,21136,10860,1896,1739,15276,16392,207,460
orf19.4527,1351,446,39339,34594,9065,8599,60473,81458
orf19.4528,462,442,1077,1059,335,394,398,501
orf19.4528.1,7,1,3,10,1,0,5,6
orf19.4529,171,195,266,353,195,247,267,263
orf19.4530.1,18294,23020,2397,2322,14454,14845,955,1054
orf19.4531,812,775,542,448,451,429,344,448
orf19.4532,576,678,550,489,572,602,181,186
orf19.4533,607,686,388,412,789,773,242,274
orf19.4534,2559,2090,4576,4098,1854,1917,2032,2785
orf19.4535,524,665,410,334,703,730,187,241
orf19.4536,1259,1372,1983,2015,2766,2801,728,769
orf19.4537,717,768,1326,1506,1079,1104,916,1034
orf19.4538,870,786,1197,1260,636,727,805,1073
orf19.4539,1256,1039,2300,2067,761,899,2261,2781
orf19.454,502,632,1249,1058,535,538,487,745
orf19.4540,2272,1901,6406,6139,1645,1675,4761,6073
orf19.4542,417,456,366,341,434,468,175,285
orf19.4543,3538,3327,1873,1809,3896,3988,923,950
orf19.4544,461,434,580,650,470,431,334,336
orf19.4545,561,749,1709,1448,893,931,3072,3589
orf19.4546,744,735,7093,5837,1284,1408,12779,18562
orf19.4548,326,357,230,213,278,273,133,148
orf19.4549,600,642,560,472,845,894,377,389
orf19.4550,346,520,759,728,638,695,375,518
orf19.4551,8986,4087,45741,44608,416,436,23610,20612
orf19.4553,943,826,933,712,685,701,488,702
orf19.4555,8226,14117,2055,1874,28601,33289,1043,1031
orf19.4557,405,425,469,436,586,643,429,500
orf19.4560,960,952,446,466,2094,2032,286,311
orf19.4563,38,64,70,83,51,64,74,73
orf19.4565,7114,7605,7924,7895,9384,9623,5876,5611
orf19.4566,1,5,13,13,2,1,16,20
orf19.4567,16,21,108,68,7,11,39,63
orf19.4568,56,55,936,754,42,39,513,577
orf19.4569,7,4,106,75,2,1,73,95
orf19.457,2758,2715,2006,1822,2638,2671,1108,1506
orf19.4570,24,26,180,163,26,30,125,122
orf19.4571,3,3,11,19,3,7,5,3
orf19.4573,55,118,134,72,73,84,86,95
orf19.4574,130,130,376,333,131,118,273,408
orf19.4575,299,286,671,553,340,340,491,507
orf19.4577,113,138,305,286,162,171,261,342
orf19.4577.3,498,369,798,948,528,577,452,398
orf19.4578,256,210,911,893,213,240,545,578
orf19.4579,1165,913,845,891,1293,1398,645,645
orf19.458,769,684,1146,1032,706,824,451,572
orf19.458.1,152,168,245,269,226,242,175,206
orf19.4580,583,542,891,925,301,341,504,404
orf19.4581,327,425,172,143,185,238,85,58
orf19.4582,167,155,338,408,208,207,210,275
orf19.4583,8,14,25,13,8,8,18,13
orf19.4584,4058,2670,1109,1338,1001,843,379,688
orf19.4585,9194,8990,3559,3136,9002,8580,1390,2461
orf19.4587,110,161,295,334,174,195,175,210
orf19.4589,514,459,960,890,331,414,337,361
orf19.459,3462,3576,1610,1302,3368,3579,833,1041
orf19.4590,210,237,3324,2867,268,249,3330,4236
orf19.4591,1720,1306,10911,10580,1814,1748,10619,9428
orf19.4592,205,192,289,313,94,144,145,156
orf19.4593,3030,2753,5511,4305,2246,2361,2749,3429
orf19.4593.1,27,11,129,177,20,19,143,127
orf19.4594,1717,1484,1502,1482,2170,2052,1175,1211
orf19.4595,1748,1521,3047,2650,905,1049,1816,2018
orf19.4596,463,333,1521,1586,318,336,1065,1149
orf19.4597,1276,1287,1188,1104,1349,1196,866,746
orf19.4599,9,9,58,37,72,137,111,264
orf19.460,1,7,189,170,2,1,114,169
orf19.4600,112,93,916,810,129,105,426,583
orf19.4600.1,694,483,651,797,910,931,624,520
orf19.4601,1032,1095,1277,1306,465,469,778,720
orf19.4602,27896,18317,106832,116689,16577,15760,55734,44635
orf19.4603,279,259,781,754,329,335,625,659
orf19.4605,453,591,856,777,736,726,421,481
orf19.4606,938,1097,829,742,1332,1298,452,495
orf19.4607,646,459,1390,1124,388,543,1366,1617
orf19.4608,93,93,295,229,106,102,352,357
orf19.4609,2821,2231,3780,3730,1973,1986,2191,1992
orf19.4610,983,997,508,406,1113,1107,255,253
orf19.4611,1524,1343,2434,2053,1299,1235,1683,1667
orf19.4612,171,363,164,184,123,166,45,64
orf19.4614,766,701,866,723,721,693,583,691
orf19.4615,535,463,1115,1022,592,544,909,999
orf19.4616,1017,924,1605,1747,1764,1666,1830,1155
orf19.4617,3306,3284,1638,1486,2511,2839,1784,1936
orf19.4618,308870,379879,24617,23102,287877,287361,24127,24672
orf19.4620,53,46,118,143,55,67,52,61
orf19.4621,341,392,410,383,480,540,184,198
orf19.4622,1468,1351,3202,2637,1765,1873,1687,2245
orf19.4623,893,961,2298,1769,1139,1017,1153,1589
orf19.4623.3,17396,14967,8120,9072,12911,12366,8558,7586
orf19.4624,1396,1327,528,462,1416,1690,294,289
orf19.4625,420,347,386,398,317,336,240,223
orf19.4626,266,272,257,268,165,232,139,131
orf19.4627,618,912,545,537,1335,1395,332,335
orf19.4628,397,432,295,314,373,354,202,186
orf19.4629,209,224,298,278,203,225,255,261
orf19.4630,629,1200,2077,2140,1256,1506,767,993
orf19.4631,5606,4999,19418,17144,4450,4771,14470,14575
orf19.4632,6526,6944,3593,3950,8844,8020,2125,2453
orf19.4633,1586,1630,1509,1608,1795,1760,1011,1108
orf19.4634,336,254,420,488,173,184,308,331
orf19.4635,806,1141,927,898,1904,2022,612,731
orf19.4636,2,2,5,11,2,0,8,3
orf19.4637,68,85,133,143,73,103,78,96
orf19.4639,417,455,482,443,602,566,357,281
orf19.4640,329,441,1070,972,602,560,551,618
orf19.4641,485,500,854,867,755,873,768,793
orf19.4642,546,592,341,308,569,586,232,236
orf19.4643,409,363,2158,1797,685,670,1557,1691
orf19.4645,22033,9747,9946,15424,9695,13983,8725,4540
orf19.4646,487,202,154,313,187,314,153,107
orf19.4647,8,11,703,598,69,74,82,107
orf19.4649,1336,1984,295,253,1083,1240,231,215
orf19.465,1310,2037,1129,858,1325,1529,662,926
orf19.4650,2779,3567,3437,3615,3181,3402,2134,2176
orf19.4651,2562,2224,1289,1276,1541,1628,476,421
orf19.4652,0,1,402,379,1,1,1,7
orf19.4653,1,2,2422,3418,7,13,2155,2699
orf19.4654,13,12,2887,3420,16,33,577,684
orf19.4655,641,549,2060,1883,909,940,1625,2077
orf19.4656,227,134,316,418,154,243,257,193
orf19.4657,1919,1601,3233,2649,1196,1238,2434,3177
orf19.4658,1505,1523,3682,2982,1117,1275,2398,2796
orf19.4659,466,533,495,421,326,329,302,359
orf19.4660,7926,9552,5326,5355,11890,11025,2955,3536
orf19.4662,185,176,245,289,232,245,252,374
orf19.4664,4950,4436,1575,1829,4480,4702,1408,1610
orf19.4665,2234,2358,904,797,2771,2778,862,929
orf19.4666,1130,1078,822,803,1281,1392,882,991
orf19.4668,546,525,624,540,307,421,712,718
orf19.4669,86,107,157,177,211,226,60,85
orf19.467,1801,2603,1398,1256,2684,2669,1575,1922
orf19.4670,1194,1663,1283,1154,2049,2159,596,777
orf19.4672,1,1,4,2,1,2,7,5
orf19.4673,69,35,243,166,26,21,146,147
orf19.4674.1,739,793,699,581,489,420,1257,948
orf19.4675,290,410,414,323,465,510,376,294
orf19.4676,222,133,636,597,162,197,330,286
orf19.4677,218,227,194,174,266,306,97,135
orf19.4678,502,428,518,399,442,471,229,250
orf19.4679,283,311,197,175,833,909,884,1157
orf19.4680,139,121,180,168,90,86,128,146
orf19.4681,638,692,661,579,620,633,333,463
orf19.4682,3491,2054,1525,979,142,157,53,117
orf19.4683,3752,3866,3304,2639,3341,3393,1773,1962
orf19.4684.2,2761,3038,1605,1945,3177,2954,1165,1301
orf19.4685,0,0,1,5,0,0,5,6
orf19.4686,1937,2149,992,868,1934,2174,547,620
orf19.4688,2351,3527,435,511,4474,4231,391,592
orf19.4689,34,23,220,267,1,2,65,107
orf19.469,828,918,1766,1584,974,993,1125,1500
orf19.4690,165,452,50,58,34,20,12,17
orf19.4691,63,48,43,29,36,43,22,14
orf19.4697,881,690,2802,2168,529,568,1237,1579
orf19.4698,537,617,1781,1667,728,898,1346,1844
orf19.4699,866,769,1749,1432,689,804,713,804
orf19.470,532,594,869,695,634,649,311,452
orf19.4701,46,59,66,57,84,100,53,44
orf19.4702,117,171,210,173,242,266,108,137
orf19.4703,560,670,1100,1008,856,896,648,655
orf19.4704,2951,3289,10286,8989,4038,4217,4509,5987
orf19.4705,493,420,1027,1065,464,506,494,453
orf19.4706,607,782,652,625,430,553,546,622
orf19.4707,29,33,429,339,17,21,672,775
orf19.4711,738,636,1741,1568,764,829,1357,1351
orf19.4712,146,229,89,100,370,413,178,131
orf19.4713,764,828,567,496,1058,1016,355,436
orf19.4715,3487,3488,9840,7390,4172,4239,7540,7951
orf19.4716,12208,25417,22919,22286,19920,20696,9554,12784
orf19.4718,811,2039,4533,4351,1668,2126,2049,3025
orf19.4719,638,747,451,398,774,825,228,246
orf19.4720,455,332,2898,2732,296,329,1820,2020
orf19.4721,479,396,881,787,342,373,384,402
orf19.4722,1875,1762,1391,1414,1684,1817,735,835
orf19.4723,188,134,395,485,134,143,312,394
orf19.4724,215,225,442,530,272,263,340,379
orf19.4725,231,334,523,546,650,709,396,471
orf19.4726,916,816,1015,1031,909,963,843,843
orf19.4727,481,434,1440,1641,594,582,1235,1152
orf19.4728,2865,2992,3046,2545,2644,2615,1794,2221
orf19.473,590,670,2018,1847,540,651,853,1110
orf19.4730,131,146,295,325,114,132,217,222
orf19.4731,398,369,1037,1004,408,481,730,838
orf19.4732,5039,4647,3379,3094,7717,8228,2778,2726
orf19.4733,173,237,528,451,695,781,71,83
orf19.4734,143,196,174,187,140,160,165,163
orf19.4735,225,249,492,488,257,269,303,316
orf19.4736,933,1213,741,724,1406,1514,906,865
orf19.4737,8505,6230,8422,10804,5019,6646,840,819
orf19.4738,1895,1757,375,284,1642,1780,283,292
orf19.4739,289,328,549,559,361,491,371,532
orf19.474,420,437,387,356,453,502,218,286
orf19.4740,172,147,181,220,110,79,78,110
orf19.4741,43,44,39,52,26,34,20,35
orf19.4742,152,183,239,271,35,45,40,67
orf19.4743,88,72,1335,1068,85,58,334,555
orf19.4744,506,462,582,548,550,574,341,482
orf19.4746,194,215,627,524,151,155,233,374
orf19.4747,956,1043,456,487,932,967,352,338
